漢字	IPA	釋義
须	si1	必～；胡～
顽	wæ̃2	
顾	ku5	
顿	tən5	
颁	pæ̃1	
颂	dzən6-	
颂	tsən5=	
预	ʯ5	
领	njæ̃3-	
领	njən3=	
颇	pʰʊ1	
颈	cjæ̃3-	
颈	cjən3=	
频	bjən2	
颗	kʰʊ3	一～珠
题	di2	
颜	ŋæ̃2	
额	ŋɔ5	～头
额	ŋɛ7	金～
颠	tĩ1	
颤	cĩ5	
颧	dʐɻʷĩ2	
风	xwən1	
飕	sjɔ1-	
飕	səw1=	
飘	pʰjɔ1	
飞	xwej1	
食	ʂʅ7	
餈	dzɿ2	
餐	tsʰæ̃1	
饥	ci1	～饿；～荒
饨	dən2	馄～
饭	xwæ̃6-	
饭	xwæ̃5=	
饮	jən3	
饰	ʂʅ5	
饱	pɔ3	
饲	sɿ5	
饴	i2	
饵	ɛ3	
饶	jɔ2	
饷	çjaŋ3	
饺	cjɔ3	
饼	pjæ̃3-	
饼	pjən3=	
饿	ŋʊ6-	
饿	ŋʊ5=	
馃	kʊ3	
馄	xwən2	～饨
馆	kwĩ3	
馊	sjɔ1-	
馊	səw1=	
馋	dzæ̃2	
馍	mʊ2	
馒	mæ̃2	
首	ʂəw3	
香	çjaŋ1	
马	mɰa3	
驮	dʊ2	～肚：怀孕
驰	dʐʅ2	
驱	tʂʰʯ1	
驳	pʊ7	
驴	ni2-	
驴	nəw2=	
驶	ʂʅ3	
驹	tʂʯ5	
驻	tʂʯ5	
驼	dʊ2	
驾	cja5	
骂	mɰa6-	
骂	mɰa5=	
骄	cjɔ1	
骆	nʊ7	
验	ɲĩ5	
骑	ɟi2	
骗	pʰĩ5	欺～
骚	sɔ1	
骡	nʊ2	
骤	tsʰi5-	
骤	tsʰəw5=	
骨	kwej7-	
骨	ku7=	
髓	si1	
高	kɔ1	
鬃	tsən1	
鬓	pjən5	
鬼	kwej3	
魁	kʰwɛ1	
魂	xwən2	
魄	pʰɰa7-	
魄	pʰɛ7=	
魇	ĩ3	
魏	wej5	
魔	mʊ2	
鱼	ʯ2	
鲁	nəw3	
鲇	ɲĩ2	
鲜	sĩ1	
鲤	ni3	
鲥	ʂʅ2	
鲫	tsi7	
鲸	cjən1	
鳃	sɛ1	
鳍	ɟi2	
鳏	kwæ̃1	～寡
鳖	pʰjɛ7	
鳜	kwej5	～鱼
鳞	njən2	
鸟	tjɔ3-	
鸟	ɲjɔ3=	
鸠	cjʊ1	
鸡	ci1	
鸣	mjən2	
鸦	ŋwa1-	
鸦	wa1-	
鸦	ja1=	
鸬	nəw2	～鹚
鸭	ŋæ̃7-	
鸭	ja7=	
鸽	kʊ7	
鸾	nwĩ2	
鸿	xən2	
鹅	ŋʊ2	
鹉	u3	
鹊	tsʰjʊ7	
鹞	jɔ6-	
鹞	jɔ5=	
鹤	xʊ7	
鹦	jən1	
鹭	nəw6-	～鸶
鹭	nəw5=	～鸶
鹰	jən1	
鹿	nəw7	
麝	ʂɻʷa6-	
麝	ʂɛ6=	
麦	mɛ7	
麸	ɸu1	
麻	mɰa2	
黄	ŋ̍2-	～瓜
黄	waŋ2	
黄	xaŋ2=	
黎	ni2	
黑	xɛ7	
默	mɛ7	
鼎	tjən3	
鼓	ku3	
鼠	ʂʯ3	
鼻	pʰi5	
鼾	xwĩ1	
齐	dzi2	
齧	ŋæ̃5	咬
齿	tʂʰʅ3	
龙	nən2	
龛	kʰwĩ1-	
龛	kʰæ̃1=	
龟	kwej1	
𡎺	tsəw7	塞
𣕅	pʰɔ5	一～：十个
𥣘	jɛ7	瘪：～谷子
𨉣	xwa1	～腰
