"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"嬿"	"嬿"	"iɛ5"		"墳派"			
"晏"	"晏"	"iɛ5"	"姓"	"墳派"			
"厭"	"厌"	"iɛ5"	"讨惹~"	"墳派"			
"贗"	"赝"	"iɛ5"		"墳派"			
"燕"	"燕"	"iɛ5"	"~子"	"墳派"			
"焰"	"焰"	"iɛ5"		"墳派"			
"鷃"	"鷃"	"iɛ5"		"墳派"			
"饜"	"餍"	"iɛ5"		"墳派"			
"因"	"因"	"iɪn1"		"墳派"			
"英"	"英"	"iɪn1"		"墳派"			
"姻"	"姻"	"iɪn1"	"婚~"	"墳派"			
"應"	"应"	"iɪn1"	"~該"	"墳派"			
"膺"	"膺"	"iɪn1"		"墳派"			
"蠅"	"蝇"	"iɪn1"	"蒼~"	"墳派"			
"嬰"	"婴"	"iɪn1"	"育~堂"	"墳派"			
"鷹"	"鹰"	"iɪn1"	"鷂~"	"墳派"			
"茵"	"茵"	"iɪn1"		"墳派"			
"尹"	"尹"	"iɪn3"		"墳派"			
"引"	"引"	"iɪn3"		"墳派"			
"蚓"	"蚓"	"iɪn3"		"墳派"			
"影"	"影"	"iɪn3"		"墳派"			
"穎"	"颖"	"iɪn3"		"墳派"			
"印"	"印"	"iɪn5"		"墳派"			
"音"	"音"	"iən1"		"墳派"			
"陰"	"阴"	"iən1"		"墳派"			
"飲"	"饮"	"iən3"		"墳派"			
"隱"	"隐"	"iən3"		"墳派"			
"蔭"	"荫"	"iən5"		"墳派"			
"窨"	"窨"	"iən5"		"墳派"			
"間"	"间"	"kɛ1"	"房子五~"	"墳派"			
"監"	"监"	"kɛ1"	"~牢"	"墳派"			
"尷"	"尴"	"kɛ1"		"墳派"			
"艱"	"艰"	"kɛ1"	"~难"	"墳派"			
"柬"	"柬"	"kɛ3"		"墳派"			
"減"	"减"	"kɛ3"		"墳派"			
"鹼"	"硷"	"kɛ3"		"墳派"			
"揀"	"拣"	"kɛ3"	"~好"	"墳派"			
"橄"	"橄"	"kɛ3"		"墳派"			
"襇"	"裥"	"kɛ3"	"褶~"	"墳派"			
"監"	"监"	"kɛ5"		"墳派"			
"澗"	"涧"	"kɛ5"	"山~水"	"墳派"			
"嵌"	"嵌"	"kʰɛ1"		"墳派"			
"鉛"	"铅"	"kʰɛ1"	"~子"	"墳派"			
"檻"	"槛"	"kʰɛ3"	"门~"	"墳派"			
"嵌"	"嵌"	"kʰɛ5"		"墳派"			
"郭"	"郭"	"kuoʔ7"	"姓"	"墳派"			
"戈"	"戈"	"kᵊu1"	"姓"	"墳派"			
"哥"	"哥"	"kᵊu1"	"阿~"	"墳派"			
"歌"	"歌"	"kᵊu1"	"唱山~"	"墳派"			
"鍋"	"锅"	"kᵊu1"	"砂~"	"墳派"			
"姑"	"姑"	"kᵊu1"		"墳派"			
"沽"	"沽"	"kᵊu1"		"墳派"			
"蛄"	"蛄"	"kᵊu1"		"墳派"			
"酤"	"酤"	"kᵊu1"		"墳派"			
"孤"	"孤"	"kᵊu1"		"墳派"			
"苽"	"苽"	"kᵊu1"		"墳派"			
"菰"	"菰"	"kᵊu1"		"墳派"			
"呱"	"呱"	"kᵊu1"		"墳派"			
"觚"	"觚"	"kᵊu1"		"墳派"			
"罛"	"罛"	"kᵊu1"		"墳派"			
"柧"	"柧"	"kᵊu1"		"墳派"			
"胍"	"胍"	"kᵊu1"		"墳派"			
"鼓"	"鼓"	"kᵊu1"		"墳派"			
"辜"	"辜"	"kᵊu1"	"~负"	"墳派"			
"鴣"	"鸪"	"kᵊu1"		"墳派"			
"箍"	"箍"	"kᵊu1"	"~桶匠"	"墳派"			
"古"	"古"	"kᵊu3"		"墳派"			
"估"	"估"	"kᵊu3"	"~~价钿"	"墳派"			
"詁"	"诂"	"kᵊu3"		"墳派"			
"罟"	"罟"	"kᵊu3"		"墳派"			
"盬"	"盬"	"kᵊu3"		"墳派"			
"蠱"	"蛊"	"kᵊu3"		"墳派"			
"瞽"	"瞽"	"kᵊu3"		"墳派"			
"裹"	"裹"	"kᵊu3"	"包~"	"墳派"			
"嘏"	"嘏"	"kᵊu3"		"墳派"			
"股"	"股"	"kᵊu3"	"~东"	"墳派"			
"羖"	"羖"	"kᵊu3"		"墳派"			
"賈"	"贾"	"kᵊu3"	"商~"	"墳派"			
"咕"	"咕"	"kᵊu3"		"墳派"			
"過"	"过"	"kᵊu5"		"墳派"			
"固"	"固"	"kᵊu5"		"墳派"			
"錮"	"锢"	"kᵊu5"		"墳派"			
"痼"	"痼"	"kᵊu5"		"墳派"			
"故"	"故"	"kᵊu5"	"啥个缘~"	"墳派"			
"顧"	"顾"	"kᵊu5"	"姓"	"墳派"			
"箇"	"箇"	"kᵊu5"		"墳派"			
"枯"	"枯"	"kʰᵊu1"		"墳派"			
"骷"	"骷"	"kʰᵊu1"		"墳派"			
"窠"	"窠"	"kʰᵊu1"		"墳派"			
"科"	"科"	"kʰᵊu1"		"墳派"			
"蝌"	"蝌"	"kʰᵊu1"		"墳派"			
"顆"	"颗"	"kʰᵊu1"		"墳派"			
"棵"	"棵"	"kʰᵊu1"		"墳派"			
"苛"	"苛"	"kʰᵊu1"		"墳派"			
"薖"	"薖"	"kʰᵊu1"		"墳派"			
"軻"	"轲"	"kʰᵊu1"		"墳派"			
"珂"	"珂"	"kʰᵊu1"		"墳派"			
"刳"	"刳"	"kʰᵊu1"	"从中间破开再挖空"	"墳派"			
"屙"	"疴"	"kʰᵊu1"		"墳派"			
"橭"	"橭"	"kʰᵊu1"		"墳派"			
"苦"	"苦"	"kʰᵊu3"	"吃得~中~，方为人上人"	"墳派"			
"可"	"可"	"kʰᵊu3"		"墳派"			
"坷"	"坷"	"kʰᵊu3"		"墳派"			
"舸"	"舸"	"kʰᵊu3"		"墳派"			
"哿"	"哿"	"kʰᵊu3"		"墳派"			
"笴"	"笴"	"kʰᵊu3"		"墳派"			
"顆"	"颗"	"kʰᵊu3"		"墳派"			
"庫"	"库"	"kʰᵊu5"		"墳派"			
"褲"	"裤"	"kʰᵊu5"		"墳派"			
"課"	"课"	"kʰᵊu5"		"墳派"			
"絝"	"绔"	"kʰᵊu5"		"墳派"			
"鰥"	"鳏"	"kuɛ1"	"老而无妻"	"墳派"			
"瘝"	"瘝"	"kuɛ1"		"墳派"			
"慣"	"惯"	"kuɛ5"	"习~"	"墳派"			
"艸"	"艸"	"kuɛ5"		"墳派"			
"串"	"串"	"kuɛ5"		"墳派"			
"筷"	"筷"	"kʰuɛ3"	"~儿，“儿”读[ŋ]"	"墳派"			
"廓"	"廓"	"kʰuoʔ7"		"墳派"			
"鞟"	"鞟"	"kʰuoʔ7"		"墳派"			
"擴"	"扩"	"kʰuoʔ7"	"~充"	"墳派"			
"彍"	"彍"	"kʰuoʔ7"		"墳派"			
"肩"	"肩"	"tɕiɛ1"		"墳派"			
"兼"	"兼"	"tɕiɛ1"		"墳派"			
"鶼"	"鹣"	"tɕiɛ1"		"墳派"			
"鰜"	"鳒"	"tɕiɛ1"		"墳派"			
"蒹"	"蒹"	"tɕiɛ1"		"墳派"			
"鬑"	"鬑"	"tɕiɛ1"		"墳派"			
"縑"	"缣"	"tɕiɛ1"		"墳派"			
"堅"	"坚"	"tɕiɛ1"	"~固"	"墳派"			
"慳"	"悭"	"tɕiɛ1"		"墳派"			
"監"	"监"	"tɕiɛ1"		"墳派"			
"間"	"间"	"tɕiɛ1"		"墳派"			
"蕳"	"蕳"	"tɕiɛ1"		"墳派"			
"緘"	"缄"	"tɕiɛ1"		"墳派"			
"菅"	"菅"	"tɕiɛ1"		"墳派"			
"豜"	"豜"	"tɕiɛ1"		"墳派"			
"椷"	"椷"	"tɕiɛ1"		"墳派"			
"癇"	"痫"	"tɕiɛ1"		"墳派"			
"繭"	"茧"	"tɕiɛ3"	"~子"	"墳派"			
"簡"	"简"	"tɕiɛ3"		"墳派"			
"柬"	"柬"	"tɕiɛ3"	"书~"	"墳派"			
"揀"	"拣"	"tɕiɛ3"		"墳派"			
"鹼"	"硷"	"tɕiɛ3"		"墳派"			
"檢"	"检"	"tɕiɛ3"	"~点"	"墳派"			
"瞼"	"睑"	"tɕiɛ3"	"眼~毛"	"墳派"			
"減"	"减"	"tɕiɛ3"		"墳派"			
"覸"	"覸"	"tɕiɛ3"		"墳派"			
"謇"	"謇"	"tɕiɛ3"		"墳派"			
"蹇"	"蹇"	"tɕiɛ3"		"墳派"			
"寋"	"寋"	"tɕiɛ3"		"墳派"			
"筧"	"笕"	"tɕiɛ3"		"墳派"			
"澗"	"涧"	"tɕiɛ3"		"墳派"			
"見"	"见"	"tɕiɛ5"		"墳派"			
"建"	"建"	"tɕiɛ5"	"~设"	"墳派"			
"劍"	"剑"	"tɕiɛ5"	"宝~"	"墳派"			
"諫"	"谏"	"tɕiɛ5"		"墳派"			
"監"	"监"	"tɕiɛ5"		"墳派"			
"澗"	"涧"	"tɕiɛ5"		"墳派"			
"間"	"间"	"tɕiɛ5"		"墳派"			
"瞷"	"瞷"	"tɕiɛ5"		"墳派"			
"覸"	"覸"	"tɕiɛ5"		"墳派"			
"毽"	"毽"	"tɕiɛ5"	"踢~子，即踢绢踢"	"墳派"			
"牽"	"牵"	"tɕʰiɛ1"	"~牛"	"墳派"			
"謙"	"谦"	"tɕʰiɛ1"	"~虚"	"墳派"			
"汧"	"汧"	"tɕʰiɛ1"		"墳派"			
"掔"	"掔"	"tɕʰiɛ1"		"墳派"			
"愆"	"愆"	"tɕʰiɛ1"		"墳派"			
"褰"	"褰"	"tɕʰiɛ1"		"墳派"			
"鶱"	"鶱"	"tɕʰiɛ1"		"墳派"			
"搴"	"搴"	"tɕʰiɛ1"		"墳派"			
"鉛"	"铅"	"tɕʰiɛ1-"		"墳派"			
"慳"	"悭"	"tɕʰiɛ1"		"墳派"			
"遣"	"遣"	"tɕʰiɛ3"	"~散"	"墳派"			
"繾"	"缱"	"tɕʰiɛ3"		"墳派"			
"譴"	"谴"	"tɕʰiɛ3"		"墳派"			
"轞"	"轞"	"tɕʰiɛ3"		"墳派"			
"檻"	"槛"	"tɕʰiɛ3"		"墳派"			
"豏"	"豏"	"tɕʰiɛ3"		"墳派"			
"嵰"	"嵰"	"tɕʰiɛ3"		"墳派"			
"慊"	"慊"	"tɕʰiɛ3"		"墳派"			
"歉"	"歉"	"tɕʰiɛ3"		"墳派"			
"蹇"	"蹇"	"tɕʰiɛ3"		"墳派"			
"芡"	"芡"	"tɕʰiɛ3"		"墳派"			
"艦"	"舰"	"tɕʰiɛ3"	"军~"	"墳派"			
"欠"	"欠"	"tɕʰiɛ5"	"~债"	"墳派"			
"謙"	"谦"	"tɕʰiɛ5"	"~虚"	"墳派"			
"芡"	"芡"	"tɕʰiɛ5"	"~实"	"墳派"			
"譴"	"谴"	"tɕʰiɛ5"	"~责"	"墳派"			
"巾"	"巾"	"tɕiɪn1"		"墳派"			
"京"	"京"	"tɕiɪn1"		"墳派"			
"觔"	"觔"	"tɕiɪn1"		"墳派"			
"荊"	"荆"	"tɕiɪn1"		"墳派"			
"涇"	"泾"	"tɕiɪn1"		"墳派"			
"經"	"经"	"tɕiɪn1"		"墳派"			
"驚"	"惊"	"tɕiɪn1"	"~吓"	"墳派"			
"鯨"	"鲸"	"tɕiɪn1"		"墳派"			
"矜"	"矜"	"tɕiɪn1"		"墳派"			
"景"	"景"	"tɕiɪn3"		"墳派"			
"境"	"境"	"tɕiɪn3"		"墳派"			
"緊"	"紧"	"tɕiɪn3"	"~要"	"墳派"			
"頸"	"颈"	"tɕiɪn3"	"头~"	"墳派"			
"儆"	"儆"	"tɕiɪn3"		"墳派"			
"脛"	"胫"	"tɕiɪn5"		"墳派"			
"徑"	"径"	"tɕiɪn5"		"墳派"			
"逕"	"迳"	"tɕiɪn5"		"墳派"			
"竟"	"竟"	"tɕiɪn5"		"墳派"			
"敬"	"敬"	"tɕiɪn5"		"墳派"			
"鏡"	"镜"	"tɕiɪn5"		"墳派"			
"金"	"金"	"tɕiən1"	"姓"	"墳派"			
"今"	"今"	"tɕiən1"		"墳派"			
"斤"	"斤"	"tɕiən1"		"墳派"			
"錦"	"锦"	"tɕiən3"		"墳派"			
"謹"	"谨"	"tɕiən3"		"墳派"			
"禁"	"禁"	"tɕiən5"	"~止"	"墳派"			
"卿"	"卿"	"tɕʰiɪn1"		"墳派"			
"傾"	"倾"	"tɕʰiɪn1"	"~覆"	"墳派"			
"輕"	"轻"	"tɕʰiɪn1"	"~重"	"墳派"			
"頃"	"顷"	"tɕʰiɪn3"	"~刻"	"墳派"			
"慶"	"庆"	"tɕʰiɪn5"	"国~纪念"	"墳派"			
"欽"	"钦"	"tɕʰiən1"		"墳派"			
"衾"	"衾"	"tɕʰiən1"		"墳派"			
"皸"	"皲"	"tɕyən1"		"墳派"			
"君"	"君"	"tɕyən1"		"墳派"			
"均"	"均"	"tɕyən1"		"墳派"			
"鈞"	"钧"	"tɕyən1"		"墳派"			
"軍"	"军"	"tɕyən1"		"墳派"			
"囷"	"囷"	"tɕyən1"		"墳派"			
"箘"	"箘"	"tɕyən1"		"墳派"			
"鋆"	"鋆"	"tɕyən1"		"墳派"			
"窘"	"窘"	"tɕʰyən3"		"墳派"			
"藍"	"蓝"	"lɛ2"		"墳派"			
"蘭"	"兰"	"lɛ2"	"~花"	"墳派"			
"欄"	"栏"	"lɛ2"	"~干"	"墳派"			
"攔"	"拦"	"lɛ2"		"墳派"			
"籃"	"篮"	"lɛ2"		"墳派"			
"闌"	"阑"	"lɛ2"		"墳派"			
"瀾"	"澜"	"lɛ2"		"墳派"			
"斕"	"斓"	"lɛ2"		"墳派"			
"讕"	"谰"	"lɛ2"		"墳派"			
"覽"	"览"	"lɛ4"		"墳派"			
"欖"	"榄"	"lɛ4"	"橄~"	"墳派"			
"赧"	"赧"	"lɛ4"		"墳派"			
"懶"	"懒"	"lɛ4"	"~惰"	"墳派"			
"戁"	"戁"	"lɛ4"		"墳派"			
"濫"	"滥"	"lɛ6"		"墳派"			
"纜"	"缆"	"lɛ6"	"~绳"	"墳派"			
"爛"	"烂"	"lɛ6"		"墳派"			
"糷"	"糷"	"lɛ6"	"饭烂相粘着。"	"墳派"			
"連"	"连"	"liɛ2"	"打~厢"	"墳派"			
"廉"	"廉"	"liɛ2"	"清~"	"墳派"			
"濂"	"濂"	"liɛ2"		"墳派"			
"蓮"	"莲"	"liɛ2"	"~蓬"	"墳派"			
"憐"	"怜"	"liɛ2"		"墳派"			
"縺"	"縺"	"liɛ2"		"墳派"			
"褳"	"裢"	"liɛ2"		"墳派"			
"聯"	"联"	"liɛ2"	"~络"	"墳派"			
"鐮"	"镰"	"liɛ2"	"~刀"	"墳派"			
"𩼔"	"𩼔"	"liɛ2"		"墳派"			
"鰱"	"鲢"	"liɛ2"		"墳派"			
"蘞"	"蔹"	"liɛ2"		"墳派"			
"漣"	"涟"	"liɛ2"		"墳派"			
"摙"	"摙"	"liɛ4"		"墳派"			
"璉"	"琏"	"liɛ4"		"墳派"			
"臉"	"脸"	"liɛ4"		"墳派"			
"斂"	"敛"	"liɛ4"		"墳派"			
"瀲"	"潋"	"liɛ4"		"墳派"			
"練"	"练"	"liɛ6"		"墳派"			
"戀"	"恋"	"liɛ6"		"墳派"			
"鍊"	"鍊"	"liɛ6"		"墳派"			
"殮"	"殓"	"liɛ6"		"墳派"			
"鏈"	"链"	"liɛ6"	"~条"	"墳派"			
"楝"	"楝"	"liɛ6"		"墳派"			
"伶"	"伶"	"liɪn2"		"墳派"			
"林"	"林"	"liɪn2"	"~林"	"墳派"			
"玲"	"玲"	"liɪn2"	"~珑"	"墳派"			
"苓"	"苓"	"liɪn2"		"墳派"			
"瓴"	"瓴"	"liɪn2"		"墳派"			
"陵"	"陵"	"liɪn2"		"墳派"			
"蛉"	"蛉"	"liɪn2"		"墳派"			
"淋"	"淋"	"liɪn2"		"墳派"			
"羚"	"羚"	"liɪn2"		"墳派"			
"翎"	"翎"	"liɪn2"		"墳派"			
"菱"	"菱"	"liɪn2"		"墳派"			
"鈴"	"铃"	"liɪn2"		"墳派"			
"領"	"领"	"liɪn2"	"~头"	"墳派"			
"鴒"	"鸰"	"liɪn2"		"墳派"			
"霖"	"霖"	"liɪn2"		"墳派"			
"臨"	"临"	"liɪn2"		"墳派"			
"鱗"	"鳞"	"liɪn2"		"墳派"			
"靈"	"灵"	"liɪn2"		"墳派"			
"鄰"	"邻"	"liɪn2"	"家弗和防~欺。~弗和防外难。"	"墳派"			
"拎"	"拎"	"liɪn2"	"~起来"	"墳派"			
"嶺"	"岭"	"liɪn4"	"山~"	"墳派"			
"凜"	"凛"	"liɪn4"		"墳派"			
"另"	"另"	"liɪn6"	"~外"	"墳派"			
"令"	"令"	"liɪn6"	"号~"	"墳派"			
"囉"	"啰"	"lᵊu1"		"墳派"			
"盧"	"卢"	"lᵊu2"	"姓"	"墳派"			
"轤"	"轳"	"lᵊu2"		"墳派"			
"蘆"	"芦"	"lᵊu2"	"~柴"	"墳派"			
"爐"	"炉"	"lᵊu2"	"风~"	"墳派"			
"艫"	"舻"	"lᵊu2"		"墳派"			
"鱸"	"鲈"	"lᵊu2"		"墳派"			
"瀘"	"泸"	"lᵊu2"		"墳派"			
"壚"	"垆"	"lᵊu2"		"墳派"			
"艫"	"舻"	"lᵊu2"		"墳派"			
"櫨"	"栌"	"lᵊu2"		"墳派"			
"顱"	"颅"	"lᵊu2"		"墳派"			
"臚"	"胪"	"lᵊu2"		"墳派"			
"罏"	"罏"	"lᵊu2"		"墳派"			
"矑"	"矑"	"lᵊu2"		"墳派"			
"鑪"	"鑪"	"lᵊu2"		"墳派"			
"纑"	"纑"	"lᵊu2"		"墳派"			
"羅"	"罗"	"lᵊu2"	"姓"	"墳派"			
"籮"	"箩"	"lᵊu2"	"饭~"	"墳派"			
"蘿"	"萝"	"lᵊu2"		"墳派"			
"鑼"	"锣"	"lᵊu2"		"墳派"			
"騾"	"骡"	"lᵊu2"		"墳派"			
"螺"	"螺"	"lᵊu2"		"墳派"			
"獹"	"獹"	"lᵊu2"		"墳派"			
"玈"	"玈"	"lᵊu2"		"墳派"			
"覶"	"覶"	"lᵊu2"		"墳派"			
"𫌨"	"𫌨"	"lᵊu2"		"墳派"			
"𤬛"	"𤬛"	"lᵊu2"		"墳派"			
"虜"	"虏"	"lᵊu4"		"墳派"			
"艣"	"艣"	"lᵊu4"		"墳派"			
"擄"	"掳"	"lᵊu4"		"墳派"			
"婐"	"婐"	"lᵊu4"		"墳派"			
"卵"	"卵"	"lᵊu4"		"墳派"			
"櫓"	"橹"	"lᵊu4"	"摇~"	"墳派"			
"魯"	"鲁"	"lᵊu4"	"姓"	"墳派"			
"𡀔"	"𡀔"	"lᵊu4"		"墳派"			
"嚕"	"噜"	"lᵊu4"	"今于“~嗦”中读阴平"	"墳派"			
"鷺"	"鹭"	"lᵊu6"		"墳派"			
"路"	"路"	"lᵊu6"		"墳派"			
"露"	"露"	"lᵊu6"	"~水"	"墳派"			
"潞"	"潞"	"lᵊu6"		"墳派"			
"賂"	"赂"	"lᵊu6"	"贿~"	"墳派"			
"輅"	"辂"	"lᵊu6"		"墳派"			
"簵"	"簵"	"lᵊu6"		"墳派"			
"簬"	"簬"	"lᵊu6"		"墳派"			
"璐"	"璐"	"lᵊu6"		"墳派"			
"鷺"	"鹭"	"lᵊu6"		"墳派"			
"蠻"	"蛮"	"mɛ1"	"~好"	"墳派"			
"蠻"	"蛮"	"mɛ2"	"野~"	"墳派"			
"曼"	"曼"	"mɛ6"		"墳派"			
"蔓"	"蔓"	"mɛ6"	"瓜~"	"墳派"			
"縵"	"缦"	"mɛ6"		"墳派"			
"謾"	"谩"	"mɛ6"		"墳派"			
"慢"	"慢"	"mɛ6"	"急~"	"墳派"			
"鬘"	"鬘"	"mɛ6"		"墳派"			
"萬"	"万"	"mɛ6"		"墳派"			
"嫚"	"嫚"	"mɛ6"		"墳派"			
"棉"	"棉"	"miɛ2"	"~花"	"墳派"			
"眠"	"眠"	"miɛ2"		"墳派"			
"矏"	"矏"	"miɛ2"		"墳派"			
"免"	"免"	"miɛ4"		"墳派"			
"冕"	"冕"	"miɛ4"		"墳派"			
"娩"	"娩"	"miɛ4"	"分~"	"墳派"			
"緬"	"缅"	"miɛ4"	"~甸"	"墳派"			
"偭"	"偭"	"miɛ6"		"墳派"			
"緬"	"缅"	"miɛ6"		"墳派"			
"湎"	"湎"	"miɛ6"		"墳派"			
"窮"	"穷"	"miɛ6"		"墳派"			
"眄"	"眄"	"miɛ6"		"墳派"			
"瞑"	"瞑"	"miɛ6"		"墳派"			
"名"	"名"	"miɪn2"		"墳派"			
"明"	"明"	"miɪn2"		"墳派"			
"民"	"民"	"miɪn2"	"~權"	"墳派"			
"冥"	"冥"	"miɪn2"		"墳派"			
"銘"	"铭"	"miɪn2"		"墳派"			
"鳴"	"鸣"	"miɪn2"		"墳派"			
"茗"	"茗"	"miɪn4"		"墳派"			
"皿"	"皿"	"miɪn4"		"墳派"			
"敏"	"敏"	"miɪn4"		"墳派"			
"閔"	"闵"	"miɪn4"	"姓"	"墳派"			
"憫"	"悯"	"miɪn4"	"憐~"	"墳派"			
"命"	"命"	"miɪn6"		"墳派"			
"母"	"母"	"mu4"		"墳派"			
"難"	"难"	"nɛ2"		"墳派"			
"黏"	"黏"	"niɛ1"		"墳派"			
"拈"	"拈"	"niɛ1"		"墳派"			
"岩"	"岩"	"ŋɛ2"	"靈~山"	"墳派"			
"顏"	"颜"	"ŋɛ2"		"墳派"			
"眼"	"眼"	"ŋɛ4"	"~睛"	"墳派"			
"雁"	"雁"	"ŋɛ6"		"墳派"			
"吾"	"吾"	"ŋᵊu2"		"墳派"			
"梧"	"梧"	"ŋᵊu2"		"墳派"			
"峨"	"峨"	"ŋᵊu2"		"墳派"			
"俄"	"俄"	"ŋᵊu2"	"~國"	"墳派"			
"蛾"	"蛾"	"ŋᵊu2"	"蠶~"	"墳派"			
"梧"	"梧"	"ŋᵊu2"		"墳派"			
"哦"	"哦"	"ŋᵊu2"		"墳派"			
"莪"	"莪"	"ŋᵊu2"		"墳派"			
"娥"	"娥"	"ŋᵊu2"		"墳派"			
"我"	"我"	"ŋᵊu4"		"墳派"			
"寤"	"寤"	"ŋᵊu6"		"墳派"			
"臥"	"卧"	"ŋᵊu6"		"墳派"			
"餓"	"饿"	"ŋᵊu6"		"墳派"			
"互"	"互"	"ŋᵊu6"	"交~"	"墳派"			
"冱"	"冱"	"ŋᵊu6"		"墳派"			
"枑"	"枑"	"ŋᵊu6"		"墳派"			
"悟"	"悟"	"ŋᵊu6"	"醒~"	"墳派"			
"晤"	"晤"	"ŋᵊu6"		"墳派"			
"危"	"危"	"ŋuᴇ2"	"~險"	"墳派"			
"嵬"	"嵬"	"ŋuᴇ2"		"墳派"			
"桅"	"桅"	"ŋuᴇ2"	"~杆"	"墳派"			
"巍"	"巍"	"ŋuᴇ2"		"墳派"			
"巋"	"岿"	"ŋuᴇ2"		"墳派"			
"犩"	"犩"	"ŋuᴇ2"		"墳派"			
"偽"	"伪"	"ŋuᴇ6"	"~造"	"墳派"			
"魏"	"魏"	"ŋuᴇ6"	"姓"	"墳派"			
"頑"	"顽"	"ŋuɛ2"	"~皮。声调拟用今音"	"蘇州同音常用字彙"			
"瓦"	"瓦"	"ŋuo4"	"~爿亦有翻身日"	"墳派"			
"拿"	"拿"	"nɔ2"		"墳派"			
"嗱"	"嗱"	"nɔ2"		"墳派"			
"諾"	"诺"	"nɔʔ8"		"墳派"			
"喏"	"喏"	"nɔʔ8"		"墳派"			
"奴"	"奴"	"nᵊu2"		"墳派"			
"駑"	"驽"	"nᵊu2"		"墳派"			
"挪"	"挪"	"nᵊu2"		"墳派"			
"捼"	"捼"	"nᵊu2"	"~~痛"	"墳派"			
"孥"	"孥"	"nᵊu2"		"墳派"			
"努"	"努"	"nᵊu4"	"~力"	"墳派"			
"弩"	"弩"	"nᵊu4"		"墳派"			
"娜"	"娜"	"nᵊu4"		"墳派"			
"那"	"那"	"nᵊu4"		"墳派"			
"儺"	"傩"	"nᵊu4"		"墳派"			
"懦"	"懦"	"nᵊu4"	"~弱"	"墳派"			
"糯"	"糯"	"nᵊu4"	"~米"	"墳派"			
"砮"	"砮"	"nᵊu4"		"墳派"			
"怒"	"怒"	"nᵊu6"		"墳派"			
"人"	"人"	"ȵiən2"		"墳派"			
"認"	"认"	"ȵiən6"	"~得个"	"墳派"			
"年"	"年"	"ȵiɛ2"		"墳派"			
"妍"	"妍"	"ȵiɛ2"		"墳派"			
"研"	"研"	"ȵiɛ2"	"~細"	"墳派"			
"拈"	"拈"	"ȵiɛ2"		"墳派"			
"喦"	"喦"	"ȵiɛ2"		"墳派"			
"碞"	"碞"	"ȵiɛ2"		"墳派"			
"閻"	"阎"	"ȵiɛ2"		"墳派"			
"閆"	"闫"	"ȵiɛ2"		"墳派"			
"撚"	"撚"	"ȵiɛ4"		"墳派"			
"涊"	"涊"	"ȵiɛ4"		"墳派"			
"輦"	"辇"	"ȵiɛ4"		"墳派"			
"染"	"染"	"ȵiɛ4"		"墳派"			
"嚴"	"严"	"ȵiɛ4"	"姓"	"墳派"			
"儼"	"俨"	"ȵiɛ4"		"墳派"			
"撚"	"捻"	"ȵiɛ4"	"紙~"	"墳派"			
"罱"	"罱"	"ȵiɛ4*"		"墳派"			
"染"	"染"	"ȵiɛ4"	"~坊"	"墳派"			
"硯"	"砚"	"ȵiɛ6"	"~瓦"	"墳派"			
"唁"	"唁"	"ȵiɛ6"		"墳派"			
"硯"	"砚"	"ȵiɛ6"	"~瓦"	"墳派"			
"諺"	"谚"	"ȵiɛ6"		"墳派"			
"彥"	"彦"	"ȵiɛ6"		"墳派"			
"甗"	"甗"	"ȵiɛ6"		"墳派"			
"峴"	"岘"	"ȵiɛ6"		"墳派"			
"巘"	"巘"	"ȵiɛ6"		"墳派"			
"讞"	"谳"	"ȵiɛ6"		"墳派"			
"甯"	"甯"	"ȵiɪn2"		"墳派"			
"迎"	"迎"	"ȵiɪn2"		"墳派"			
"銀"	"银"	"ȵiɪn2"		"墳派"			
"辛"	"壬"	"ȵiɪn2"		"墳派"			
"凝"	"凝"	"ȵiɪn2"	"~攏来"	"墳派"			
"佞"	"佞"	"ȵiɪn6"		"墳派"			
"任"	"任"	"ȵiɪn6"		"墳派"			
"班"	"班"	"pɛ1"		"墳派"			
"扳"	"扳"	"pɛ1"	"~價"	"墳派"			
"朌"	"朌"	"pɛ1"		"墳派"			
"瘢"	"瘢"	"pɛ1"	"疤~"	"墳派"			
"般"	"般"	"pɛ1"	"一~"	"墳派"			
"板"	"板"	"pɛ3"		"墳派"			
"版"	"版"	"pɛ3"		"鄉音字類"			
"皈"	"皈"	"pɛ3"		"墳派"			
"瓣"	"瓣"	"pɛ3"		"墳派"			
"𫪒"	"𫪒"	"pɛ3"		"墳派"			
"扮"	"扮"	"pɛ5"	"装~"	"墳派"			
"絆"	"绊"	"pɛ5-"	"~住身體"	"墳派"			
"攀"	"攀"	"pʰɛ1"		"墳派"			
"襻"	"襻"	"pʰɛ5"	"鈕~"	"墳派"			
"盼"	"盼"	"pʰɛ5"	"~望"	"墳派"			
"蝙"	"蝙"	"piɛ1"	"~蝠子"	"墳派"			
"鞭"	"鞭"	"piɛ1"	"~子"	"墳派"			
"鯿"	"鳊"	"piɛ1"		"墳派"			
"籩"	"笾"	"piɛ1"		"墳派"			
"邊"	"边"	"piɛ1"		"墳派"			
"編"	"编"	"piɛ1"		"墳派"			
"砭"	"砭"	"piɛ1"		"墳派"			
