字目	读音	注释	声母	韵母	声调	重复数	潮语拼音	罗马字拼音	(声母)	(声母序)	(韵母序)	(调序)	同音字个数	ID(暂定)	音节序(暂定)	文白区别工程
掙	=D4931&E4931&F4931		ts	ẽ	22	=COUNTIF(A:A,A4931)	=IF(D4931=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4931=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4931=0,"〇",D4931)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4931)	6460	=IF(B4931=B4930,P4930,P4930+1)	=IF(LEN(C4931)-LEN(SUBSTITUTE(C4931,"白",""))=1,"白",(IF(LEN(C4931)-LEN(SUBSTITUTE(C4931,"文",""))=1,"文",(IF(LEN(C4931)-LEN(SUBSTITUTE(C4931,"训",""))=1,"训","无")))))
晴	=D4932&E4932&F4932		ts	ẽ	44	=COUNTIF(A:A,A4932)	=IF(D4932=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4932=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4932=0,"〇",D4932)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4932)	6648	=IF(B4932=B4931,P4931,P4931+1)	=IF(LEN(C4932)-LEN(SUBSTITUTE(C4932,"白",""))=1,"白",(IF(LEN(C4932)-LEN(SUBSTITUTE(C4932,"文",""))=1,"文",(IF(LEN(C4932)-LEN(SUBSTITUTE(C4932,"训",""))=1,"训","无")))))
井	=D4933&E4933&F4933		ts	ẽ	53	=COUNTIF(A:A,A4933)	=IF(D4933=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4933=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4933=0,"〇",D4933)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4933)	1201	=IF(B4933=B4932,P4932,P4932+1)	=IF(LEN(C4933)-LEN(SUBSTITUTE(C4933,"白",""))=1,"白",(IF(LEN(C4933)-LEN(SUBSTITUTE(C4933,"文",""))=1,"文",(IF(LEN(C4933)-LEN(SUBSTITUTE(C4933,"训",""))=1,"训","无")))))
靜	=D4934&E4934&F4934		ts	ẽ	13	=COUNTIF(A:A,A4934)	=IF(D4934=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4934=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4934=0,"〇",D4934)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4934)	1205	=IF(B4934=B4933,P4933,P4933+1)	=IF(LEN(C4934)-LEN(SUBSTITUTE(C4934,"白",""))=1,"白",(IF(LEN(C4934)-LEN(SUBSTITUTE(C4934,"文",""))=1,"文",(IF(LEN(C4934)-LEN(SUBSTITUTE(C4934,"训",""))=1,"训","无")))))
生	=D4935&E4935&F4935	不熟	tsʰ	ẽ	22	=COUNTIF(A:A,A4935)	=IF(D4935=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4935=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4935=0,"〇",D4935)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4935)	1197	=IF(B4935=B4934,P4934,P4934+1)	=IF(LEN(C4935)-LEN(SUBSTITUTE(C4935,"白",""))=1,"白",(IF(LEN(C4935)-LEN(SUBSTITUTE(C4935,"文",""))=1,"文",(IF(LEN(C4935)-LEN(SUBSTITUTE(C4935,"训",""))=1,"训","无")))))
青	=D4936&E4936&F4936		tsʰ	ẽ	22	=COUNTIF(A:A,A4936)	=IF(D4936=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4936=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4936=0,"〇",D4936)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4936)	1198	=IF(B4936=B4935,P4935,P4935+1)	=IF(LEN(C4936)-LEN(SUBSTITUTE(C4936,"白",""))=1,"白",(IF(LEN(C4936)-LEN(SUBSTITUTE(C4936,"文",""))=1,"文",(IF(LEN(C4936)-LEN(SUBSTITUTE(C4936,"训",""))=1,"训","无")))))
星	=D4937&E4937&F4937		tsʰ	ẽ	22	=COUNTIF(A:A,A4937)	=IF(D4937=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4937=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4937=0,"〇",D4937)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4937)	1199	=IF(B4937=B4936,P4936,P4936+1)	=IF(LEN(C4937)-LEN(SUBSTITUTE(C4937,"白",""))=1,"白",(IF(LEN(C4937)-LEN(SUBSTITUTE(C4937,"文",""))=1,"文",(IF(LEN(C4937)-LEN(SUBSTITUTE(C4937,"训",""))=1,"训","无")))))
腥	=D4938&E4938&F4938	文	tsʰ	ẽ	22	=COUNTIF(A:A,A4938)	=IF(D4938=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4938=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4938=0,"〇",D4938)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4938)	1200	=IF(B4938=B4937,P4937,P4937+1)	=IF(LEN(C4938)-LEN(SUBSTITUTE(C4938,"白",""))=1,"白",(IF(LEN(C4938)-LEN(SUBSTITUTE(C4938,"文",""))=1,"文",(IF(LEN(C4938)-LEN(SUBSTITUTE(C4938,"训",""))=1,"训","无")))))
氰	=D4939&E4939&F4939		tsʰ	ẽ	22	=COUNTIF(A:A,A4939)	=IF(D4939=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4939=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4939=0,"〇",D4939)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4939)	6218	=IF(B4939=B4938,P4938,P4938+1)	=IF(LEN(C4939)-LEN(SUBSTITUTE(C4939,"白",""))=1,"白",(IF(LEN(C4939)-LEN(SUBSTITUTE(C4939,"文",""))=1,"文",(IF(LEN(C4939)-LEN(SUBSTITUTE(C4939,"训",""))=1,"训","无")))))
醒	=D4940&E4940&F4940		tsʰ	ẽ	53	=COUNTIF(A:A,A4940)	=IF(D4940=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4940=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4940=0,"〇",D4940)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4940)	1196	=IF(B4940=B4939,P4939,P4939+1)	=IF(LEN(C4940)-LEN(SUBSTITUTE(C4940,"白",""))=1,"白",(IF(LEN(C4940)-LEN(SUBSTITUTE(C4940,"文",""))=1,"文",(IF(LEN(C4940)-LEN(SUBSTITUTE(C4940,"训",""))=1,"训","无")))))
些	=D4941&E4941&F4941		s	ẽ	22	=COUNTIF(A:A,A4941)	=IF(D4941=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4941=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4941=0,"〇",D4941)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4941)	1219	=IF(B4941=B4940,P4940,P4940+1)	=IF(LEN(C4941)-LEN(SUBSTITUTE(C4941,"白",""))=1,"白",(IF(LEN(C4941)-LEN(SUBSTITUTE(C4941,"文",""))=1,"文",(IF(LEN(C4941)-LEN(SUBSTITUTE(C4941,"训",""))=1,"训","无")))))
生	=D4942&E4942&F4942	生活	s	ẽ	22	=COUNTIF(A:A,A4942)	=IF(D4942=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4942=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4942=0,"〇",D4942)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4942)	1220	=IF(B4942=B4941,P4941,P4941+1)	=IF(LEN(C4942)-LEN(SUBSTITUTE(C4942,"白",""))=1,"白",(IF(LEN(C4942)-LEN(SUBSTITUTE(C4942,"文",""))=1,"文",(IF(LEN(C4942)-LEN(SUBSTITUTE(C4942,"训",""))=1,"训","无")))))
牲	=D4943&E4943&F4943		s	ẽ	22	=COUNTIF(A:A,A4063)	=IF(D4943=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4943=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4943=0,"〇",D4943)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4943)	1221	=IF(B4943=B4942,P4942,P4942+1)	=IF(LEN(C4943)-LEN(SUBSTITUTE(C4943,"白",""))=1,"白",(IF(LEN(C4943)-LEN(SUBSTITUTE(C4943,"文",""))=1,"文",(IF(LEN(C4943)-LEN(SUBSTITUTE(C4943,"训",""))=1,"训","无")))))
省	=D4944&E4944&F4944		s	ẽ	53	=COUNTIF(A:A,A4944)	=IF(D4944=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4944=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4944=0,"〇",D4944)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4944)	1218	=IF(B4944=B4943,P4943,P4943+1)	=IF(LEN(C4944)-LEN(SUBSTITUTE(C4944,"白",""))=1,"白",(IF(LEN(C4944)-LEN(SUBSTITUTE(C4944,"文",""))=1,"文",(IF(LEN(C4944)-LEN(SUBSTITUTE(C4944,"训",""))=1,"训","无")))))
性	=D4945&E4945&F4945		s	ẽ	21	=COUNTIF(A:A,A4945)	=IF(D4945=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4945=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4945=0,"〇",D4945)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4945)	1222	=IF(B4945=B4944,P4944,P4944+1)	=IF(LEN(C4945)-LEN(SUBSTITUTE(C4945,"白",""))=1,"白",(IF(LEN(C4945)-LEN(SUBSTITUTE(C4945,"文",""))=1,"文",(IF(LEN(C4945)-LEN(SUBSTITUTE(C4945,"训",""))=1,"训","无")))))
姓	=D4946&E4946&F4946		s	ẽ	21	=COUNTIF(A:A,A4946)	=IF(D4946=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4946=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4946=0,"〇",D4946)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4946)	1223	=IF(B4946=B4945,P4945,P4945+1)	=IF(LEN(C4946)-LEN(SUBSTITUTE(C4946,"白",""))=1,"白",(IF(LEN(C4946)-LEN(SUBSTITUTE(C4946,"文",""))=1,"文",(IF(LEN(C4946)-LEN(SUBSTITUTE(C4946,"训",""))=1,"训","无")))))
更	=D4947&E4947&F4947		k	ẽ	22	=COUNTIF(A:A,A4947)	=IF(D4947=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4947=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4947=0,"〇",D4947)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4947)	1238	=IF(B4947=B4946,P4946,P4946+1)	=IF(LEN(C4947)-LEN(SUBSTITUTE(C4947,"白",""))=1,"白",(IF(LEN(C4947)-LEN(SUBSTITUTE(C4947,"文",""))=1,"文",(IF(LEN(C4947)-LEN(SUBSTITUTE(C4947,"训",""))=1,"训","无")))))
羮	=D4948&E4948&F4948		k	ẽ	22	=COUNTIF(A:A,A4948)	=IF(D4948=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4948=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4948=0,"〇",D4948)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4948)	1239	=IF(B4948=B4947,P4947,P4947+1)	=IF(LEN(C4948)-LEN(SUBSTITUTE(C4948,"白",""))=1,"白",(IF(LEN(C4948)-LEN(SUBSTITUTE(C4948,"文",""))=1,"文",(IF(LEN(C4948)-LEN(SUBSTITUTE(C4948,"训",""))=1,"训","无")))))
庚	=D4949&E4949&F4949		k	ẽ	22	=COUNTIF(A:A,A4949)	=IF(D4949=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4949=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4949=0,"〇",D4949)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4949)	1240	=IF(B4949=B4948,P4948,P4948+1)	=IF(LEN(C4949)-LEN(SUBSTITUTE(C4949,"白",""))=1,"白",(IF(LEN(C4949)-LEN(SUBSTITUTE(C4949,"文",""))=1,"文",(IF(LEN(C4949)-LEN(SUBSTITUTE(C4949,"训",""))=1,"训","无")))))
耕	=D4950&E4950&F4950		k	ẽ	22	=COUNTIF(A:A,A4950)	=IF(D4950=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4950=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4950=0,"〇",D4950)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4950)	1241	=IF(B4950=B4949,P4949,P4949+1)	=IF(LEN(C4950)-LEN(SUBSTITUTE(C4950,"白",""))=1,"白",(IF(LEN(C4950)-LEN(SUBSTITUTE(C4950,"文",""))=1,"文",(IF(LEN(C4950)-LEN(SUBSTITUTE(C4950,"训",""))=1,"训","无")))))
經	=D4951&E4951&F4951	～布（织布）	k	ẽ	22	=COUNTIF(A:A,A4951)	=IF(D4951=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4951=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D4951=0,"〇",D4951)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I4951)	1247	=IF(B4951=B4950,P4950,P4950+1)	=IF(LEN(C4951)-LEN(SUBSTITUTE(C4951,"白",""))=1,"白",(IF(LEN(C4951)-LEN(SUBSTITUTE(C4951,"文",""))=1,"文",(IF(LEN(C4951)-LEN(SUBSTITUTE(C4951,"训",""))=1,"训","无")))))
