"繁体字"	"简体字"	"新晃凳寨"	"国际音标"	"说明"	
"嘰"	"叽"	"ji1"	"tɕi13"		
"基"	"基"	"ji1"	"tɕi13"		
"姬"	"姬"	"ji1"	"tɕi13"		
"屐"	"屐"	"ji1"	"tɕi13"		
"嵇"	"嵇"	"ji1"	"tɕi13"		
"幾"	"几"	"ji1"	"tɕi13"		
"機"	"机"	"ji1"	"tɕi13"		
"璣"	"玑"	"ji1"	"tɕi13"		
"磯"	"矶"	"ji1"	"tɕi13"		
"稽"	"稽"	"ji1"	"tɕi13"		
"稽"	"稽"	"ji1"	"tɕi13"		
"箕"	"箕"	"ji1"	"tɕi13"		
"羈"	"羁"	"ji1"	"tɕi13"		
"肌"	"肌"	"ji1"	"tɕi13"		
"蛐"	"蛐"	"ji1"	"tɕi13"	"叫蛐蛐"	
"蟣"	"虮"	"ji1"	"tɕi13"		
"譏"	"讥"	"ji1"	"tɕi13"		
"雞"	"鸡"	"ji1"	"tɕi13"		
"飢"	"饥"	"ji1"	"tɕi13"		
"饑"	"饥"	"ji1"	"tɕi13"		
"躋"	"跻"	"ji1"	"tɕi13"	"新"	
"齏"	"齑"	"ji1"	"tɕi13"	"新"	
"亟"	"亟"	"ji2"	"tɕi11"		
"即"	"即"	"ji2"	"tɕi11"		
"及"	"及"	"ji2"	"tɕi11"		
"吉"	"吉"	"ji2"	"tɕi11"		
"圾"	"圾"	"ji2"	"tɕi11"		
"奇"	"奇"	"ji2"	"tɕi11"		
"嫉"	"嫉"	"ji2"	"tɕi11"		
"岌"	"岌"	"ji2"	"tɕi11"		
"急"	"急"	"ji2"	"tɕi11"	"文读"	
"擊"	"击"	"ji2"	"tɕi11"		
"棘"	"棘"	"ji2"	"tɕi11"		
"極"	"极"	"ji2"	"tɕi11"		
"殖"	"殖"	"ji2"	"tɕi11"		
"汲"	"汲"	"ji2"	"tɕi11"		
"激"	"激"	"ji2"	"tɕi11"		
"疾"	"疾"	"ji2"	"tɕi11"	"新"	
"笈"	"笈"	"ji2"	"tɕi11"		
"級"	"级"	"ji2"	"tɕi11"		
"緝"	"缉"	"ji2"	"tɕi11"		
"瘠"	"瘠"	"ji2"	"tɕi11"	"新"	
"積"	"积"	"ji2"	"tɕi11"	"新"	
"籍"	"籍"	"ji2"	"tɕi11"	"新"	
"績"	"绩"	"ji2"	"tɕi11"	"新"	
"脊"	"脊"	"ji2"	"tɕi11"	"新"	
"藉"	"藉"	"ji2"	"tɕi11"	"新"	
"輯"	"辑"	"ji2"	"tɕi11"	"新"	
"集"	"集"	"ji2"	"tɕi11"	"新"	
"鯽"	"鲫"	"ji2"	"tɕi11"	"新"	
"幾"	"几"	"ji3"	"tɕi21"		
"戟"	"戟"	"ji3"	"tɕi21"		
"紀"	"纪"	"ji3"	"tɕi21"		
"擠"	"挤"	"ji3"	"tɕi21"	"新"	
"濟"	"济"	"ji3"	"tɕi21"	"新"	
"己"	"己"	"ji3"	"tɕi21"		
"伎"	"伎"	"ji5"	"tɕi45"		
"係"	"系"	"ji5"	"tɕi45"		
"冀"	"冀"	"ji5"	"tɕi45"		
"劑"	"剂"	"ji5"	"tɕi45"	"新"	
"妓"	"妓"	"ji5"	"tɕi45"		
"季"	"季"	"ji5"	"tɕi45"		
"寄"	"寄"	"ji5"	"tɕi45"		
"忌"	"忌"	"ji5"	"tɕi45"		
"悸"	"悸"	"ji5"	"tɕi45"		
"技"	"技"	"ji5"	"tɕi45"	"新"	
"既"	"既"	"ji5"	"tɕi45"		
"暨"	"暨"	"ji5"	"tɕi45"		
"寂"	"寂"	"ji5"	"tɕi45"	"新"	
"濟"	"济"	"ji5"	"tɕi45"	"新"	
"祭"	"祭"	"ji5"	"tɕi45"	"新"	
"薺"	"荠"	"ji5"	"tɕi45"	"新"	
"稷"	"稷"	"ji5"	"tɕi45"		
"跡"	"迹"	"ji5"	"tɕi45"	"新"	
"蹟"	"迹"	"ji5"	"tɕi45"	"新"	
"際"	"际"	"ji5"	"tɕi45"	"新"	
"繫"	"系"	"ji5"	"tɕi45"		
"繼"	"继"	"ji5"	"tɕi45"		
"聚"	"聚"	"ji5"	"tɕi45"	"老"	
"薊"	"蓟"	"ji5"	"tɕi45"		
"覬"	"觊"	"ji5"	"tɕi45"		
"計"	"计"	"ji5"	"tɕi45"		
"記"	"记"	"ji5"	"tɕi45"		
"騎"	"骑"	"ji5"	"tɕi45"		
"伽"	"伽"	"jia1"	"tɕia13"		
"傢"	"家"	"jia1"	"tɕia13"		
"加"	"加"	"jia1"	"tɕia13"		
"咖"	"咖"	"jia1"	"tɕia13"		
"嘉"	"嘉"	"jia1"	"tɕia13"		
"家"	"家"	"jia1"	"tɕia13"		
"枷"	"枷"	"jia1"	"tɕia13"		
"珈"	"珈"	"jia1"	"tɕia13"		
"痂"	"痂"	"jia1"	"tɕia13"		
"葭"	"葭"	"jia1"	"tɕia13"		
"袈"	"袈"	"jia1"	"tɕia13"		
"賈"	"贾"	"jia1"	"tɕia13"		
"迦"	"迦"	"jia1"	"tɕia13"		
"鎵"	"镓"	"jia1"	"tɕia13"		
"夾"	"夹"	"jia2"	"tɕia11"	"新"	
"甲"	"甲"	"jia2"	"tɕia11"	"新"	
"莢"	"荚"	"jia2"	"tɕia11"		
"鉀"	"钾"	"jia2"	"tɕia11"		
"頰"	"颊"	"jia2"	"tɕia11"		
"假"	"假"	"jia3"	"tɕia21"		
"價"	"价"	"jia5"	"tɕia45"		
"嫁"	"嫁"	"jia5"	"tɕia45"		
"架"	"架"	"jia5"	"tɕia45"		
"稼"	"稼"	"jia5"	"tɕia45"		
"駕"	"驾"	"jia5"	"tɕia45"		
"兼"	"兼"	"jian1"	"tɕien13"		
"堅"	"坚"	"jian1"	"tɕien13"		
"姦"	"奸"	"jian1"	"tɕien13"		
"尖"	"尖"	"jian1"	"tɕien13"	"新"	
"殲"	"歼"	"jian1"	"tɕien13"	"新"	
"監"	"监"	"jian1"	"tɕien13"		
"箋"	"笺"	"jian1"	"tɕien13"	"新"	
"緘"	"缄"	"jian1"	"tɕien13"		
"肩"	"肩"	"jian1"	"tɕien13"	"新"	
"艱"	"艰"	"jian1"	"tɕien13"		
"蒹"	"蒹"	"jian1"	"tɕien13"		
"間"	"间"	"jian1"	"tɕien13"		
"儉"	"俭"	"jian3"	"tɕien21"		
"戩"	"戬"	"jian3"	"tɕien21"	"新"	
"揀"	"拣"	"jian3"	"tɕien21"		
"撿"	"捡"	"jian3"	"tɕien21"		
"柬"	"柬"	"jian3"	"tɕien21"		
"檢"	"检"	"jian3"	"tɕien21"		
"減"	"减"	"jian3"	"tɕien21"	"新"	
"剪"	"剪"	"jian3"	"tɕien21"	"新"	
"簡"	"简"	"jian3"	"tɕien21"		
"繭"	"茧"	"jian3"	"tɕien21"		
"鹼"	"碱"	"jian3"	"tɕien21"		
"件"	"件"	"jian5"	"tɕien45"		
"健"	"健"	"jian5"	"tɕien45"		
"濺"	"溅"	"jian5"	"tɕien45"	"新"	
"劍"	"剑"	"jian5"	"tɕien45"		
"箭"	"箭"	"jian5"	"tɕien45"	"新"	
"建"	"建"	"jian5"	"tɕien45"		
"檻"	"槛"	"jian5"	"tɕien45"		
"賤"	"贱"	"jian5"	"tɕien45"	"新"	
"毽"	"毽"	"jian5"	"tɕien45"		
"踐"	"践"	"jian5"	"tɕien45"	"新"	
"漸"	"渐"	"jian5"	"tɕien45"	"新"	
"澗"	"涧"	"jian5"	"tɕien45"		
"餞"	"饯"	"jian5"	"tɕien45"	"新"	
"監"	"监"	"jian5"	"tɕien45"		
"荐"	"荐"	"jian5"	"tɕien45"	"新"	
"見"	"见"	"jian5"	"tɕien45"		
"鍵"	"键"	"jian5"	"tɕien45"		
"鑑"	"鉴"	"jian5"	"tɕien45"		
"鑒"	"鉴"	"jian5"	"tɕien45"		
"艦"	"舰"	"jian5"	"tɕien45"		
"僵"	"僵"	"jiang1"	"tɕiang13"		
"姜"	"姜"	"jiang1"	"tɕiang13"		
"疆"	"疆"	"jiang1"	"tɕiang13"		
"將"	"将"	"jiang1"	"tɕiaŋ13"	"新"	
"薑"	"姜"	"jiang1"	"tɕiang13"		
"漿"	"浆"	"jiang1"	"tɕiaŋ13"	"新"	
"韁"	"缰"	"jiang1"	"tɕiang13"		
"槳"	"桨"	"jiang3"	"tɕiaŋ21"	"新"	
"獎"	"奖"	"jiang3"	"tɕiaŋ21"	"新"	
"蔣"	"蒋"	"jiang3"	"tɕiaŋ21"	"新"	
"頸"	"颈"	"jiang3"	"tɕiaŋ21"	"白读，颈根"	
"講"	"讲"	"jiang3"	"tɕiaŋ21"		
"匠"	"匠"	"jiang5"	"tɕiaŋ45"	"新"	
"將"	"将"	"jiang5"	"tɕiaŋ45"	"新"	
"醬"	"酱"	"jiang5"	"tɕiaŋ45"	"新"	
"降"	"降"	"jiang5"	"tɕiaŋ45"		
"交"	"交"	"jiao1"	"tɕiau13"		
"姣"	"姣"	"jiao1"	"tɕiau13"		
"嬌"	"娇"	"jiao1"	"tɕiau13"		
"椒"	"椒"	"jiao1"	"tɕiau13"	"新"	
"澆"	"浇"	"jiao1"	"tɕiau13"		
"焦"	"焦"	"jiao1"	"tɕiau13"	"新"	
"礁"	"礁"	"jiao1"	"tɕiau13"	"新"	
"膠"	"胶"	"jiao1"	"tɕiau13"		
"茭"	"茭"	"jiao1"	"tɕiau13"		
"蕉"	"蕉"	"jiao1"	"tɕiau13"	"新"	
"蛟"	"蛟"	"jiao1"	"tɕiau13"		
"郊"	"郊"	"jiao1"	"tɕiau13"		
"驕"	"骄"	"jiao1"	"tɕiau13"		
"鮫"	"鲛"	"jiao1"	"tɕiau13"		
"嚼"	"嚼"	"jiao2"	"tɕiau11"	"白读"	
"僥"	"侥"	"jiao3"	"tɕiau21"		
"剿"	"剿"	"jiao3"	"tɕiau21"	"新"	
"勦"	"剿"	"jiao3"	"tɕiau21"	"新"	
"攪"	"搅"	"jiao3"	"tɕiau21"	"文"	
"狡"	"狡"	"jiao3"	"tɕiau21"		
"皎"	"皎"	"jiao3"	"tɕiau21"		
"矯"	"矫"	"jiao3"	"tɕiau21"		
"絞"	"绞"	"jiao3"	"tɕiau21"		
"繳"	"缴"	"jiao3"	"tɕiau21"		
"餃"	"饺"	"jiao3"	"tɕiau21"		
"叫"	"叫"	"jiao5"	"tɕiau45"		
"教"	"教"	"jiao5"	"tɕiau45"		
"校"	"校"	"jiao5"	"tɕiau45"	"文"	
"覺"	"觉"	"jiao5"	"tɕiau45"	"文"	
"較"	"较"	"jiao5"	"tɕiau45"		
"轎"	"轿"	"jiao5"	"tɕiau45"		
"酵"	"酵"	"jiao5"	"tɕiau45"		
"鉸"	"铰"	"jiao5"	"tɕiau45"		
"傑"	"杰"	"jie2"	"tɕie11"		
"劫"	"劫"	"jie2"	"tɕie11"		
"孑"	"孑"	"jie2"	"tɕie11"		
"孓"	"孓"	"jie2"	"tɕie11"		
"截"	"截"	"jie2"	"tɕie11"	"新"	
"抉"	"抉"	"jie2"	"tɕie11"		
"拮"	"拮"	"jie2"	"tɕie11"		
"捷"	"捷"	"jie2"	"tɕie11"	"新"	
"掘"	"掘"	"jie2"	"tɕie11"		
"接"	"接"	"jie2"	"tɕie11"	"新"	
"揭"	"揭"	"jie2"	"tɕie11"		
"攫"	"攫"	"jie2"	"tɕie11"		
"杰"	"杰"	"jie2"	"tɕie11"		
"桀"	"桀"	"jie2"	"tɕie11"		
"桔"	"桔"	"jie2"	"tɕie11"		
"潔"	"洁"	"jie2"	"tɕie11"		
"睫"	"睫"	"jie2"	"tɕie11"	"新"	
"秸"	"秸"	"jie2"	"tɕie11"		
"竭"	"竭"	"jie2"	"tɕie11"		
"節"	"节"	"jie2"	"tɕie11"	"新"	
"結"	"结"	"jie2"	"tɕie11"	"文读"	
"絕"	"绝"	"jie2"	"tɕie11"	"白，死绝"	
"羯"	"羯"	"jie2"	"tɕie11"		
"蕨"	"蕨"	"jie2"	"tɕie11"	"老"	
"钁"	"镢"	"jie2"	"tɕie11"		
"姐"	"姐"	"jie3"	"tɕie21"	"新"	
"借"	"借"	"jie5"	"tɕie45"	"新"	
"京"	"京"	"jin1"	"tɕin13"		
"今"	"今"	"jin1"	"tɕin13"	"今明两天"	
"兢"	"兢"	"jin1"	"tɕin13"		
"巾"	"巾"	"jin1"	"tɕin13"		
"斤"	"斤"	"jin1"	"tɕin13"		
"旌"	"旌"	"jin1"	"tɕin13"	"新"	
"晶"	"晶"	"jin1"	"tɕin13"	"新"	
"津"	"津"	"jin1"	"tɕin13"	"新"	
"涇"	"泾"	"jin1"	"tɕin13"		
"睛"	"睛"	"jin1"	"tɕin13"	"新"	
"禁"	"禁"	"jin1"	"tɕin13"		
"筋"	"筋"	"jin1"	"tɕin13"		
"粳"	"粳"	"jin1"	"tɕin13"		
"精"	"精"	"jin1"	"tɕin13"	"新"	
"經"	"经"	"jin1"	"tɕin13"		
"荊"	"荆"	"jin1"	"tɕin13"		
"莖"	"茎"	"jin1"	"tɕin13"		
"菁"	"菁"	"jin1"	"tɕin13"	"新"	
"襟"	"襟"	"jin1"	"tɕin13"		
"金"	"金"	"jin1"	"tɕin13"		
"驚"	"惊"	"jin1"	"tɕin13"		
"鯨"	"鲸"	"jin1"	"tɕin13"		
"井"	"井"	"jin3"	"tɕin21"	"新"	
"僅"	"仅"	"jin3"	"tɕin21"		
"景"	"景"	"jin3"	"tɕin21"		
"瑾"	"瑾"	"jin3"	"tɕin21"		
"緊"	"紧"	"jin3"	"tɕin21"		
"謹"	"谨"	"jin3"	"tɕin21"		
"警"	"警"	"jin3"	"tɕin21"		
"錦"	"锦"	"jin3"	"tɕin21"		
"阱"	"阱"	"jin3"	"tɕin21"	"新"	
"頸"	"颈"	"jin3"	"tɕin21"	"文读"	
"儆"	"儆"	"jin5"	"tɕin45"		
"儘"	"尽"	"jin5"	"tɕin45"	"新"	
"勁"	"劲"	"jin5"	"tɕin45"		
"噤"	"噤"	"jin5"	"tɕin45"		
"境"	"境"	"jin5"	"tɕin45"		
"妗"	"妗"	"jin5"	"tɕin45"		
"徑"	"径"	"jin5"	"tɕin45"		
"敬"	"敬"	"jin5"	"tɕin45"		
"晉"	"晋"	"jin5"	"tɕin45"	"新"	
"淨"	"净"	"jin5"	"tɕin45"	"新"	
"燼"	"烬"	"jin5"	"tɕin45"	"新"	
"痙"	"痉"	"jin5"	"tɕin45"		
"盡"	"尽"	"jin5"	"tɕin45"	"新"	
"禁"	"禁"	"jin5"	"tɕin45"		
"竟"	"竟"	"jin5"	"tɕin45"		
"競"	"竞"	"jin5"	"tɕin45"		
"覲"	"觐"	"jin5"	"tɕin45"		
"近"	"近"	"jin5"	"tɕin45"		
"逕"	"径"	"jin5"	"tɕin45"		
"進"	"进"	"jin5"	"tɕin45"	"新"	
"鏡"	"镜"	"jin5"	"tɕin45"		
"靖"	"靖"	"jin5"	"tɕin45"	"新"	
"靚"	"靓"	"jin5"	"tɕin45"	"新"	
"靜"	"静"	"jin5"	"tɕin45"	"新"	
"饉"	"馑"	"jin5"	"tɕin45"		
"玨"	"珏"	"jio2"	"tɕio11"		
"腳"	"脚"	"jio2"	"tɕio11"		
"躬"	"躬"	"jiong1"	"tɕioŋ13"	"白读，躬背"	
"炯"	"炯"	"jiong3"	"tɕioŋ21"		
"窘"	"窘"	"jiong3"	"tɕioŋ21"		
"揪"	"揪"	"jiu1"	"tɕiəu13"	"新"	
"灸"	"灸"	"jiu1"	"tɕiəu13"		
"究"	"究"	"jiu1"	"tɕiəu13"		
"糾"	"纠"	"jiu1"	"tɕiəu13"		
"赳"	"赳"	"jiu1"	"tɕiəu13"		
"鬮"	"阄"	"jiu1"	"tɕiəu13"		
"鳩"	"鸠"	"jiu1"	"tɕiəu13"		
"龜"	"龟"	"jiu1"	"tɕiəu13"		
"久"	"久"	"jiu3"	"tɕiəu21"		
"九"	"九"	"jiu3"	"tɕiəu21"		
"玖"	"玖"	"jiu3"	"tɕiəu21"		
"酒"	"酒"	"jiu3"	"tɕiəu21"	"新"	
"韭"	"韭"	"jiu3"	"tɕiəu21"		
"咎"	"咎"	"jiu5"	"tɕiəu45"		
"就"	"就"	"jiu5"	"tɕiəu45"	"文"	
"廄"	"厩"	"jiu5"	"tɕiəu45"		
"救"	"救"	"jiu5"	"tɕiəu45"		
"疚"	"疚"	"jiu5"	"tɕiəu45"		
"臼"	"臼"	"jiu5"	"tɕiəu45"		
"舅"	"舅"	"jiu5"	"tɕiəu45"		
"舊"	"旧"	"jiu5"	"tɕiəu45"		
"鷲"	"鹫"	"jiu5"	"tɕiəu45"	"新"	
"㲃"	"㲃"	"jiu5"	"tɕiəu45"	"拧"	
"掬"	"掬"	"ju1"	"tɕy13"		
"居"	"居"	"ju1"	"tɕy13"		
"拘"	"拘"	"ju1"	"tɕy13"		
"朱"	"朱"	"ju1"	"tɕy13"		
"株"	"株"	"ju1"	"tɕy13"		
"狙"	"狙"	"ju1"	"tɕy13"		
"珠"	"珠"	"ju1"	"tɕy13"		
"硃"	"朱"	"ju1"	"tɕy13"		
"蛛"	"蛛"	"ju1"	"tɕy13"		
"鞠"	"鞠"	"ju1"	"tɕy13"		
"誅"	"诛"	"ju1"	"tɕy13"		
"諸"	"诸"	"ju1"	"tɕy13"		
"豬"	"猪"	"ju1"	"tɕy13"		
"車"	"车"	"ju1"	"tɕy13"	"文"	
"雎"	"雎"	"ju1"	"tɕy13"		
"駒"	"驹"	"ju1"	"tɕy13"		
"菊"	"菊"	"ju2"	"tɕy11"		
"局"	"局"	"ju2"	"tɕy11"		
"橘"	"橘"	"ju2"	"tɕy11"		
"跼"	"局"	"ju2"	"tɕy11"		
"主"	"主"	"ju3"	"tɕy21"		
"咀"	"咀"	"ju3"	"tɕy21"		
"嘴"	"嘴"	"ju3"	"tɕy21"		
"囑"	"嘱"	"ju3"	"tɕy21"		
"拄"	"拄"	"ju3"	"tɕy21"		
"沮"	"沮"	"ju3"	"tɕy21"		
"沮"	"沮"	"ju3"	"tɕy21"		
"煮"	"煮"	"ju3"	"tɕy21"		
"矚"	"瞩"	"ju3"	"tɕy21"		
"矩"	"矩"	"ju3"	"tɕy21"		
"舉"	"举"	"ju3"	"tɕy21"		
"齟"	"龃"	"ju3"	"tɕy21"		
"齲"	"龋"	"ju3"	"tɕy21"		
"劇"	"剧"	"ju5"	"tɕy45"		
"住"	"住"	"ju5"	"tɕy45"		
"俱"	"俱"	"ju5"	"tɕy45"		
"具"	"具"	"ju5"	"tɕy45"		
"句"	"句"	"ju5"	"tɕy45"		
"巨"	"巨"	"ju5"	"tɕy45"		
"懼"	"惧"	"ju5"	"tɕy45"	"新"	
"拒"	"拒"	"ju5"	"tɕy45"		
"據"	"据"	"ju5"	"tɕy45"		
"柱"	"柱"	"ju5"	"tɕy45"		
"注"	"注"	"ju5"	"tɕy45"		
"炬"	"炬"	"ju5"	"tɕy45"		
"炷"	"炷"	"ju5"	"tɕy45"		
"聚"	"聚"	"ju5"	"tɕy45"	"新"	
"著"	"著"	"ju5"	"tɕy45"		
"蛀"	"蛀"	"ju5"	"tɕy45"		
"註"	"注"	"ju5"	"tɕy45"		
"祝"	"祝"	"ju5"	"tɕy45"		
"距"	"距"	"ju5"	"tɕy45"		
"踞"	"踞"	"ju5"	"tɕy45"		
"鋸"	"锯"	"ju5"	"tɕy45"	"文"	
"鑄"	"铸"	"ju5"	"tɕy45"		
"颶"	"飓"	"ju5"	"tɕy45"		
"駐"	"驻"	"ju5"	"tɕy45"		
"著"	"著"	"ju5"	"tɕiu45"	"著名"	
"抓"	"抓"	"jua1"	"tɕya13"		
"蹠"	"蹠"	"jua2"	"tɕya11"		
"娟"	"娟"	"juan1"	"tɕyen13"		
"專"	"专"	"juan1"	"tɕyen13"		
"捐"	"捐"	"juan1"	"tɕyen13"		
"涓"	"涓"	"juan1"	"tɕyen13"		
"磚"	"砖"	"juan1"	"tɕyen13"		
"絹"	"绢"	"juan1"	"tɕyen13"		
"鵑"	"鹃"	"juan1"	"tɕyen13"		
"轉"	"转"	"juan3"	"tɕyen21"	"老"	
"倦"	"倦"	"juan5"	"tɕyen45"		
"傳"	"传"	"juan5"	"tɕyen45"		
"卷"	"卷"	"juan5"	"tɕyen45"		
"撰"	"撰"	"juan5"	"tɕyen45"		
"眷"	"眷"	"juan5"	"tɕyen45"		
"篆"	"篆"	"juan5"	"tɕyen45"		
"賺"	"赚"	"juan5"	"tɕyen45"	"老"	
"轉"	"转"	"juan5"	"tɕyen45"	"老"	
"雋"	"隽"	"juan5"	"tɕien45"		
"妝"	"妆"	"juang1"	"tɕyaŋ13"		
"莊"	"庄"	"juang1"	"tɕyaŋ13"		
"裝"	"装"	"juang1"	"tɕyaŋ13"		
"撞"	"撞"	"juang5"	"tɕyaŋ45"		
"倔"	"倔"	"jue2"	"tɕye11"		
"厥"	"厥"	"jue2"	"tɕye11"		
"噘"	"噘"	"jue2"	"tɕye11"		
"崛"	"崛"	"jue2"	"tɕye11"		
"撅"	"撅"	"jue2"	"tɕye11"		
"撅"	"撅"	"jue2"	"tɕye11"		
"橛"	"橛"	"jue2"	"tɕye11"		
"決"	"决"	"jue2"	"tɕye11"		
"獗"	"獗"	"jue2"	"tɕye11"		
"蕨"	"蕨"	"jue2"	"tɕye11"	"新"	
"訣"	"诀"	"jue2"	"tɕye11"		
"蹶"	"蹶"	"jue2"	"tɕye11"		
"爵"	"爵"	"jue2"	"tɕye22"		
"絕"	"绝"	"jue2"	"tɕye11"	"文读"	
"君"	"君"	"jun1"	"tɕyn13"		
"均"	"均"	"jun1"	"tɕyn13"		
"諄"	"谆"	"jun1"	"tɕyn13"	"老"	
"軍"	"军"	"jun1"	"tɕyn13"		
"遵"	"遵"	"jun1"	"tɕyn13"		
"鈞"	"钧"	"jun1"	"tɕyn13"		
"准"	"准"	"jun3"	"tɕyn21"		
"準"	"准"	"jun3"	"tɕyn21"		
"俊"	"俊"	"jun5"	"tɕyn45"	"新"	
"峻"	"峻"	"jun5"	"tɕyn45"		
"俊"	"俊"	"jun5"	"tɕyn45"	"老"	
"竣"	"竣"	"jun5"	"tɕyn45"		
"菌"	"菌"	"jun5"	"tɕyn45"		
"郡"	"郡"	"jun5"	"tɕyn45"		
"駿"	"骏"	"jun5"	"tɕyn45"		
"咖"	"咖"	"ka1"	"kʰa13"		
"喀"	"喀"	"ka1"	"kʰa13"		
"掐"	"掐"	"ka1"	"kʰa13"	"掐颈"	
"掐"	"掐"	"ka2"	"kʰa11"	"掐手"	
"卡"	"卡"	"ka3"	"kʰa21"		
"掐"	"掐"	"ka3"	"kʰa21"	"掐菜"	
"胯"	"胯"	"ka5"	"kʰa45"	"白读"	
"揩"	"揩"	"kai1"	"kʰai13"		
"開"	"开"	"kai1"	"kʰai13"		
"凱"	"凯"	"kai3"	"kʰai21"		
"慨"	"慨"	"kai3"	"kʰai21"		
"楷"	"楷"	"kai3"	"kʰai21"		
"鎧"	"铠"	"kai3"	"kʰai21"		
"愾"	"忾"	"kai5"	"kʰai45"		
"概"	"概"	"kai5"	"kʰai45"		
"溉"	"溉"	"kai5"	"kʰai45"		
"漑"	"漑"	"kai5"	"kʰai45"		
"刊"	"刊"	"kan1"	"kʰan13"		
"勘"	"勘"	"kan1"	"kʰan13"		
"堪"	"堪"	"kan1"	"kʰan13"		
"戡"	"戡"	"kan1"	"kʰan13"		
"侃"	"侃"	"kan3"	"kʰan21"		
"坎"	"坎"	"kan3"	"kʰan21"		
"砍"	"砍"	"kan3"	"kʰan21"		
"看"	"看"	"kan5"	"kʰan45"		
"瞰"	"瞰"	"kan5"	"kʰan45"		
"康"	"康"	"kang1"	"kʰaŋ13"		
"糠"	"糠"	"kang1"	"kʰaŋ13"		
"扛"	"扛"	"kang2"	"kʰaŋ11"		
"亢"	"亢"	"kang5"	"kʰaŋ45"		
"囥"	"囥"	"kang5"	"kʰaŋ45"		
"抗"	"抗"	"kang5"	"kʰaŋ45"		
"炕"	"炕"	"kang5"	"kʰaŋ45"		
"尻"	"尻"	"kao1"	"kʰau13"		
"敲"	"敲"	"kao1"	"kʰau13"	"白"	
"拷"	"拷"	"kao3"	"kʰau21"		
"烤"	"烤"	"kao3"	"kʰau21"		
"考"	"考"	"kao3"	"kʰau21"		
"犒"	"犒"	"kao5"	"kʰau45"		
"銬"	"铐"	"kao5"	"kʰau45"		
"靠"	"靠"	"kao5"	"kʰau45"		
"掐"	"掐"	"ke1"	"kʰe13"	"掐颈"	
"克"	"克"	"ke2"	"kʰe11"		
"刻"	"刻"	"ke2"	"kʰe11"		
"剋"	"克"	"ke2"	"kʰe11"		
"咳"	"咳"	"ke2"	"kʰe11"		
"客"	"客"	"ke2"	"kʰe11"		
"蛤"	"蛤"	"ke2"	"kʰe11"		
"吭"	"吭"	"ken1"	"kʰən13"		
"坑"	"坑"	"ken1"	"kʰən13"		
"鏗"	"铿"	"ken1"	"kʰən13"		
"啃"	"啃"	"ken3"	"kʰən21"		
"墾"	"垦"	"ken3"	"kʰən21"		
"懇"	"恳"	"ken3"	"kʰən21"		
"肯"	"肯"	"ken3"	"kʰən21"		
"柯"	"柯"	"ko1"	"kʰo13"		
"珂"	"珂"	"ko1"	"kʰo13"		
"科"	"科"	"ko1"	"kʰo13"		
"稞"	"稞"	"ko1"	"kʰo13"		
"窠"	"窠"	"ko1"	"kʰo13"		
"蝌"	"蝌"	"ko1"	"kʰo13"		
"軻"	"轲"	"ko1"	"kʰo13"		
"殼"	"壳"	"ko2"	"kʰo11"		
"渴"	"渴"	"ko2"	"kʰo11"		
"瞌"	"瞌"	"ko2"	"kʰo11"		
"磕"	"磕"	"ko2"	"kʰo11"		
"搕"	"搕"	"ko2"	"kʰo11"	"敲"	
"可"	"可"	"ko3"	"kʰo21"		
"坷"	"坷"	"ko3"	"kʰo21"		
"棵"	"棵"	"ko3"	"kʰo21"		
"顆"	"颗"	"ko3"	"kʰo21"		
"擱"	"搁"	"ko5"	"kʰo45"		
"擴"	"扩"	"ko5"	"kʰo45"		
"課"	"课"	"ko5"	"kʰo45"		
"闊"	"阔"	"ko5"	"kʰo45"		
"崆"	"崆"	"kong1"	"kʰoŋ13"		
"空"	"空"	"kong1"	"kʰoŋ13"		
"孔"	"孔"	"kong3"	"kʰoŋ21"	"文读"	
"恐"	"恐"	"kong3"	"kʰoŋ21"		
"控"	"控"	"kong5"	"kʰoŋ45"		
"空"	"空"	"kong5"	"kʰoŋ45"		
"摳"	"抠"	"kou1"	"kʰəu13"		
"口"	"口"	"kou3"	"kʰəu21"		
"叩"	"叩"	"kou5"	"kʰəu45"		
"寇"	"寇"	"kou5"	"kʰəu45"		
"扣"	"扣"	"kou5"	"kʰəu45"		
"蔻"	"蔻"	"kou5"	"kʰəu45"		
"釦"	"扣"	"kou5"	"kʰəu45"		
"挎"	"挎"	"ku1"	"kʰu13"		
"枯"	"枯"	"ku1"	"kʰu13"		
"窟"	"窟"	"ku1"	"kʰu13"		
"骷"	"骷"	"ku1"	"kʰu13"		
"哭"	"哭"	"ku2"	"kʰu11"		
"苦"	"苦"	"ku3"	"kʰu21"		
"庫"	"库"	"ku5"	"kʰu45"		
"褲"	"裤"	"ku5"	"kʰu45"		
"酷"	"酷"	"ku5"	"kʰu45"		
"夸"	"夸"	"kua1"	"kʰua13"		
"誇"	"夸"	"kua1"	"kʰua13"		
"垮"	"垮"	"kua3"	"kʰua21"		
"胯"	"胯"	"kua5"	"kʰua45"		
"跨"	"跨"	"kua5"	"kʰua45"		
"塊"	"块"	"kuai3"	"kʰuai21"	"一块钱"	
"儈"	"侩"	"kuai5"	"kʰuai45"		
"劊"	"刽"	"kuai5"	"kʰuai45"		
"塊"	"块"	"kuai5"	"kʰuai45"	"石块"	
"快"	"快"	"kuai5"	"kʰuai45"		
