正體	簡體	音標	調類	備註
門	门	məŋ	②	
蚊	蚊	məŋ	②	
聞	闻	məŋ	②	
萌	萌	məŋ	②	
盟	盟	məŋ	②	又
明	明	məŋ	②	～朝：明天
悶	闷	məŋ	⑤	
問	问	məŋ	⑥	
分	分	fəŋ	①	
芬	芬	fəŋ	①	
紛	纷	fəŋ	①	
吩	吩	fəŋ	①	
酚	酚	fəŋ	①	
粉	粉	fəŋ	③ⓐ	
糞	粪	fəŋ	⑤	拖～：拖把
奮	奋	fəŋ	⑤	
焚	焚	vəŋ	②	
墳	坟	vəŋ	②	
紋	纹	vəŋ	②	
聞	闻	vəŋ	②	文
文	文	vəŋ	②	戲～：戲
憤	愤	vəŋ	④	
忿	忿	vəŋ	④	
刎	刎	vəŋ	④	
吻	吻	vəŋ	④	
問	问	vəŋ	⑥	文
份	份	vəŋ	⑥	
敦	敦	təŋ	①	
墩	墩	təŋ	①	墳～：墳墓
登	登	təŋ	①	
燈	灯	təŋ	①	
☐	☐	təŋ	①	～～看：掂掂重量
蹲	蹲	təŋ	①	
膯	膯	təŋ	①	
驐	驐	təŋ	①	～雞｜～豬玀
惇	惇	təŋ	①	
等	等	təŋ	③ⓐ	
盹	盹	təŋ	③ⓐ	
躉	趸	təŋ	③ⓐ	
頓	顿	təŋ	⑤	
凳	凳	təŋ	⑤	
鐙	镫	təŋ	⑤	
燉	炖	təŋ	⑤	～開水
瞪	瞪	təŋ	⑤	
吞	吞	tʰəŋ	①	
汆	汆	tʰəŋ	③ⓑ	～木排｜～勒水上｜油里～～
屯	屯	dəŋ	②	
豚	豚	dəŋ	②	
飩	饨	dəŋ	②	
臀	臀	dəŋ	②	
騰	腾	dəŋ	②	
藤	藤	dəŋ	②	
滕	滕	dəŋ	②	
謄	誊	dəŋ	②	
疼	疼	dəŋ	②	
螣	螣	dəŋ	②	
縢	縢	dəŋ	②	
幐	幐	dəŋ	②	
魨	鲀	dəŋ	②	
盾	盾	dəŋ	④	
沌	沌	dəŋ	④	
囤	囤	dəŋ	④	
庉	庉	dəŋ	④	
鈍	钝	dəŋ	⑥	
遁	遁	dəŋ	⑥	
鄧	邓	dəŋ	⑥	
能	能	nəŋ	②	
嫩	嫩	nəŋ	⑥	
侖	仑	ləŋ	②	
倫	伦	ləŋ	②	
淪	沦	ləŋ	②	
輪	轮	ləŋ	②	
掄	抡	ləŋ	②	
圇	囵	ləŋ	②	
綸	纶	ləŋ	②	
崙	仑	ləŋ	②	
棱	棱	ləŋ	②	
愣	愣	ləŋ	②	
塄	塄	ləŋ	②	
輪	轮	ləŋ	②	
論	论	ləŋ	②	～語
䑳	䑳	ləŋ	②	
惀	惀	ləŋ	②	
蜦	蜦	ləŋ	②	
論	论	ləŋ	⑥	～年：好幾年｜～轉：好幾次
愣	愣	ləŋ	⑥	
今	今	tsəŋ	①	～朝：今天
針	针	tsəŋ	①	
斟	斟	tsəŋ	①	
珍	珍	tsəŋ	①	
臻	臻	tsəŋ	①	
眞	眞	tsəŋ	①	
尊	尊	tsəŋ	①	
遵	遵	tsəŋ	①	
肫	肫	tsəŋ	①	鴨～肝
曾	曾	tsəŋ	①	姓
憎	憎	tsəŋ	①	
徴	征	tsəŋ	①	
征	征	tsəŋ	①	
蒸	蒸	tsəŋ	①	
爭	争	tsəŋ	①	文
貞	贞	tsəŋ	①	
偵	侦	tsəŋ	①	
正	正	tsəŋ	①	～月
贈	赠	tsəŋ	①	又
罾	罾	tsəŋ	①	扳～
診	诊	tsəŋ	③ⓐ	
疹	疹	tsəŋ	③ⓐ	
準	准	tsəŋ	③ⓐ	
准	准	tsəŋ	③ⓐ	
拯	拯	tsəŋ	③ⓐ	
枕	枕	tsəŋ	③ⓐ	
整	整	tsəŋ	③ⓐ	
鎭	鎭	tsəŋ	⑤	
鎮	镇	tsəŋ	⑤	
振	振	tsəŋ	⑤	
震	震	tsəŋ	⑤	
證	证	tsəŋ	⑤	
証	证	tsəŋ	⑤	
正	正	tsəŋ	⑤	筆官筆～：儀表端莊，衣著整齊
☐	☐	tsəŋ	⑤	總是，一個勁兒：阿三～笑呃
政	政	tsəŋ	⑤	
村	村	tsʰəŋ	①	
椿	椿	tsʰəŋ	①	
春	春	tsʰəŋ	①	
稱	称	tsʰəŋ	①	～重
檉	柽	tsʰəŋ	①	
參	参	tsʰəŋ	①	
郴	郴	tsʰəŋ	①	
琛	琛	tsʰəŋ	①	
嗔	嗔	tsʰəŋ	①	
皴	皴	tsʰəŋ	①	
蠢	蠢	tsʰəŋ	③ⓑ	
逞	逞	tsʰəŋ	③ⓑ	
忖	忖	tsʰəŋ	③ⓑ	
騁	骋	tsʰəŋ	③ⓑ	
趁	趁	tsʰəŋ	⑤	～車
襯	衬	tsʰəŋ	⑤	幫～：從中協助
寸	寸	tsʰəŋ	⑤	
稱	称	tsʰəŋ	⑤	相～
乘	乘	tsʰəŋ	⑤	
秤	秤	tsʰəŋ	⑤	
☐	☐	tsʰəŋ	⑤	～相罵：吵嘴
蹭	蹭	tsʰəŋ	⑤	
櫬	榇	tsʰəŋ	⑤	
讖	谶	tsʰəŋ	⑤	
森	森	səŋ	①	
參	参	səŋ	①	人～
深	深	səŋ	①	
身	身	səŋ	①	
申	申	səŋ	①	
伸	伸	səŋ	①	
孫	孙	səŋ	①	
娠	娠	səŋ	①	
僧	僧	səŋ	①	
升	升	səŋ	①	
聲	声	səŋ	①	
猻	狲	səŋ	①	活～：猴子
呻	呻	səŋ	①	
昇	升	səŋ	①	
牲	牲	səŋ	①	
砷	砷	səŋ	①	
胂	胂	səŋ	①	
笙	笙	səŋ	①	
陞	升	səŋ	①	
紳	绅	səŋ	①	
莘	莘	səŋ	①	
勝	胜	səŋ	①	
飧	飧	səŋ	①	
猻	狲	səŋ	①	
詵	诜	səŋ	①	
蓀	荪	səŋ	①	
沈	沈	səŋ	③ⓐ	
瀋	沈	səŋ	③ⓐ	～陽
審	审	səŋ	③ⓐ	
嬸	婶	səŋ	③ⓐ	～媽
損	损	səŋ	③ⓐ	
笋	笋	səŋ	③ⓐ	
筍	笋	səŋ	③ⓐ	
榫	榫	səŋ	③ⓐ	
瀋	渖	səŋ	③ⓐ	
諗	谂	səŋ	③ⓐ	
遜	逊	səŋ	⑤	
舜	舜	səŋ	⑤	
勝	胜	səŋ	⑤	
聖	圣	səŋ	⑤	
滲	渗	səŋ	⑤	
巽	巽	səŋ	⑤	
瞬	瞬	səŋ	⑤	
抻	抻	səŋ	⑤	
姺	姺	səŋ	⑤	
珅	珅	səŋ	⑤	
城	城	zəŋ	②	
誠	诚	zəŋ	②	
盛	盛	zəŋ	②	～飯
承	承	zəŋ	②	
丞	丞	zəŋ	②	
仍	仍	zəŋ	②	
呈	呈	zəŋ	②	
程	程	zəŋ	②	
成	成	zəŋ	②	
曾	曾	zəŋ	②	勿～
層	层	zəŋ	②	
澄	澄	zəŋ	②	
橙	橙	zəŋ	②	
懲	惩	zəŋ	②	
乘	乘	zəŋ	②	～法
繩	绳	zəŋ	②	
沉	沉	zəŋ	②	
岑	岑	zəŋ	②	
陳	陈	zəŋ	②	
塵	尘	zəŋ	②	塳～：灰塵
晨	晨	zəŋ	②	
辰	辰	zəŋ	②	～光：時間
臣	臣	zəŋ	②	
人	人	zəŋ	②	文
神	神	zəŋ	②	得～：神氣，振奮
存	存	zəŋ	②	
仁	仁	zəŋ	②	～義
純	纯	zəŋ	②	
脣	唇	zəŋ	②	嘴～巴：唇
醇	醇	zəŋ	②	
沈	沈	zəŋ	②	
忱	忱	zəŋ	②	
埕	埕	zəŋ	②	
宸	宸	zəŋ	②	
晟	晟	zəŋ	②	
涔	涔	zəŋ	②	
淳	淳	zəŋ	②	
塍	塍	zəŋ	②	
鶉	鹑	zəŋ	②	
澠	渑	zəŋ	②	
諶	谌	zəŋ	②	
甚	甚	zəŋ	④	
葚	葚	zəŋ	④	
腎	肾	zəŋ	④	
忍	忍	zəŋ	④	文
吮	吮	zəŋ	④	
朕	朕	zəŋ	④	
恁	恁	zəŋ	④	
飪	饪	zəŋ	④	
荏	荏	zəŋ	④	
稔	稔	zəŋ	④	
椹	椹	zəŋ	④	
任	任	zəŋ	⑥	文
潤	润	zəŋ	⑥	
閏	闰	zəŋ	⑥	又
鄭	郑	zəŋ	⑥	
盛	盛	zəŋ	⑥	昌～
紝	纴	zəŋ	⑥	
陣	阵	zəŋ	⑥	
慎	慎	zəŋ	⑥	
刃	刃	zəŋ	⑥	
認	认	zəŋ	⑥	文
順	顺	zəŋ	⑥	
剩	剩	zəŋ	⑥	
贈	赠	zəŋ	⑥	文
韌	韧	zəŋ	⑥	文
仞	仞	zəŋ	⑥	
衽	衽	zəŋ	⑥	
軔	轫	zəŋ	⑥	
嵊	嵊	zəŋ	⑥	
蜃	蜃	zəŋ	⑥	
鴆	鸩	zəŋ	⑥	
跟	跟	kəŋ	①	
根	根	kəŋ	①	
更	更	kəŋ	①	～換
耕	耕	kəŋ	①	文
耿	耿	kəŋ	③ⓐ	
更	更	kəŋ	⑤	～加
亙	亘	kəŋ	⑤	
艮	艮	kəŋ	⑤	
茛	茛	kəŋ	⑤	
墾	垦	kʰəŋ	③ⓑ	
懇	恳	kʰəŋ	③ⓑ	
肯	肯	kʰəŋ	③ⓑ	
啃	啃	kʰəŋ	③ⓑ	
☐	☐	ɡəŋ	④	倔強，固執：～脾氣
亨	亨	həŋ	①	
哼	哼	həŋ	①	
很	很	həŋ	③ⓐ	
狠	狠	həŋ	③ⓐ	
擤	擤	həŋ	⑤	～鼻涕
痕	痕	ɦəŋ	②	
恆	恒	ɦəŋ	②	
衡	衡	ɦəŋ	②	
恨	恨	ɦəŋ	⑥	
恩	恩	əŋ	①	
蒽	蒽	əŋ	①	
摁	摁	əŋ	①	
錕	锟	kuəŋ	③ⓐ	
褌	裈	kuəŋ	③ⓐ	
袞	衮	kuəŋ	③ⓐ	
滾	滚	kuəŋ	③ⓐ	
緄	绲	kuəŋ	③ⓐ	
輥	辊	kuəŋ	③ⓐ	
鯀	鲧	kuəŋ	③ⓐ	
磙	磙	kuəŋ	③ⓐ	
棍	棍	kuəŋ	⑤	
昆	昆	kʰuəŋ	①	
崑	昆	kʰuəŋ	①	
坤	坤	kʰuəŋ	①	
鯤	鲲	kʰuəŋ	①	
琨	琨	kʰuəŋ	①	
捆	捆	kʰuəŋ	③ⓑ	
困	困	kʰuəŋ	⑤	
睏	困	kʰuəŋ	⑤	～晏朝：早晨遲起床
昏	昏	huəŋ	①	
婚	婚	huəŋ	①	
葷	荤	huəŋ	①	
閽	阍	huəŋ	①	
魂	魂	ɦuəŋ	②	
渾	浑	ɦuəŋ	②	～登登｜～陶陶：糊裡糊塗
餛	馄	ɦuəŋ	②	
混	混	ɦuəŋ	④	～堂：浴室
諢	诨	ɦuəŋ	④	
溫	温	uəŋ	①	
瘟	瘟	uəŋ	①	
韞	韫	uəŋ	①	
蕰	蕰	uəŋ	①	
穩	稳	uəŋ	③ⓐ	～去：一定去
揾	揾	uəŋ	③ⓐ	
均	均	ʨyiŋ	①	
鈞	钧	ʨyiŋ	①	
君	君	ʨyiŋ	①	
軍	军	ʨyiŋ	①	
皸	皲	ʨyiŋ	①	
菌	菌	ʨyiŋ	③ⓐ	
窘	窘	ʨyiŋ	③ⓐ	
羣	羣	ʥyiŋ	②	
裙	裙	ʥyiŋ	②	
郡	郡	ʥyiŋ	②	
熏	熏	ɕyiŋ	①	
勳	勋	ɕyiŋ	①	
薰	熏	ɕyiŋ	①	
燻	熏	ɕyiŋ	①	
訓	训	ɕyiŋ	⑤	
荀	荀	ʑyiŋ	②	
殉	殉	ʑyiŋ	⑥	
匀	匀	ɦyiŋ	②	
雲	云	ɦyiŋ	②	
云	云	ɦyiŋ	②	
蕓	芸	ɦyiŋ	②	
耘	耘	ɦyiŋ	②	
紜	纭	ɦyiŋ	②	
狁	狁	ɦyiŋ	②	
隕	陨	ɦyiŋ	②	
孕	孕	yiŋ	③ⓐ	又
熨	熨	yiŋ	③ⓐ	又
熨	熨	yiŋ	⑤	又
韻	韵	yiŋ	⑤	
運	运	yiŋ	⑤	～道
暈	晕	yiŋ	⑤	
孕	孕	yiŋ	⑤	又
篷	篷	boŋ	②	
蓬	蓬	boŋ	②	
塳	塳	boŋ	②	
蒙	蒙	moŋ	②	
檬	檬	moŋ	②	
朦	朦	moŋ	②	
忙	忙	moŋ	②	生活～來：活兒很忙
懵	懵	moŋ	④	
忘	忘	moŋ	⑥	～記哩
夢	梦	moŋ	⑥	
風	风	foŋ	①	
楓	枫	foŋ	①	
瘋	疯	foŋ	①	
豐	丰	foŋ	①	
封	封	foŋ	①	原～：完整未動
峯	峯	foŋ	①	
蜂	蜂	foŋ	①	
鋒	锋	foŋ	①	
諷	讽	foŋ	③ⓐ	
捧	捧	foŋ	③ⓐ	～來一碗湯
馮	冯	voŋ	②	
逢	逢	voŋ	②	
縫	缝	voŋ	②	～紉
鳳	凤	voŋ	④	
奉	奉	voŋ	④	
俸	俸	voŋ	⑥	
縫	缝	voŋ	⑥	一條～
東	东	toŋ	①	
冬	冬	toŋ	①	
董	董	toŋ	③ⓐ	
懂	懂	toŋ	③ⓐ	
凍	冻	toŋ	⑤	
棟	栋	toŋ	⑤	
通	通	tʰoŋ	①	
捅	捅	tʰoŋ	③ⓑ	
統	统	tʰoŋ	③ⓑ	
痛	痛	tʰoŋ	⑤	
同	同	doŋ	②	通～：串通一氣幹壞事兒
銅	铜	doŋ	②	
筒	筒	doŋ	②	
童	童	doŋ	②	
瞳	瞳	doŋ	②	
桐	桐	doŋ	②	
彤	彤	doŋ	②	
佟	佟	doŋ	②	
酮	酮	doŋ	②	
衕	衕	doŋ	②	
潼	潼	doŋ	②	
僮	僮	doŋ	②	
峒	峒	doŋ	②	
鼕	冬	doŋ	②	
動	动	doŋ	④	
桶	桶	doŋ	④	馬～
侗	侗	doŋ	④	
洞	洞	doŋ	⑥	
慟	恸	doŋ	⑥	
恫	恫	doŋ	⑥	
胴	胴	doŋ	⑥	
農	农	noŋ	②	
膿	脓	noŋ	②	
弄	弄	noŋ	⑤	好～打：易對付，易相處｜～頭勁：惡作劇
籠	笼	loŋ	②	
聾	聋	loŋ	②	～甏：聾子
隆	隆	loŋ	②	
龍	龙	loŋ	②	
濃	浓	loŋ	②	又
攏	拢	loŋ	④	
隴	陇	loŋ	④	
壠	垄	loŋ	④	
弄	弄	loŋ	⑥	夾～｜～堂
鬃	鬃	tsoŋ	①	
宗	宗	tsoŋ	①	
中	中	tsoŋ	①	當～彎里：半當中
忠	忠	tsoŋ	①	
終	终	tsoŋ	①	
蹤	踪	tsoŋ	①	
鍾	钟	tsoŋ	①	
鐘	钟	tsoŋ	①	
盅	盅	tsoŋ	①	
衆	众	tsoŋ	①	～牲：牲畜
棕	棕	tsoŋ	①	
衷	衷	tsoŋ	①	
綜	综	tsoŋ	①	
踪	踪	tsoŋ	①	
總	总	tsoŋ	③ⓐ	
冢	冢	tsoŋ	③ⓐ	
種	种	tsoŋ	③ⓐ	～類
腫	肿	tsoŋ	③ⓐ	
粽	粽	tsoŋ	⑤	
中	中	tsoŋ	⑤	～獎
衆	众	tsoŋ	⑤	
縱	纵	tsoŋ	⑤	
種	种	tsoŋ	⑤	～樹
聰	聪	tsʰoŋ	①	
蔥	葱	tsʰoŋ	①	
匆	匆	tsʰoŋ	①	
囪	囱	tsʰoŋ	①	
充	充	tsʰoŋ	①	
從	从	tsʰoŋ	①	～容
衝	冲	tsʰoŋ	①	
沖	冲	tsʰoŋ	①	
寵	宠	tsʰoŋ	③ⓑ	
☐	☐	tsʰoŋ	⑤	人向前衝擊慾倒
惷	惷	tsʰoŋ	⑤	
松	松	soŋ	①	
鬆	松	soŋ	①	
嵩	嵩	soŋ	①	
淞	淞	soŋ	①	
菘	菘	soŋ	①	
凇	凇	soŋ	①	
慫	怂	soŋ	③ⓐ	
聳	耸	soŋ	③ⓐ	
宋	宋	soŋ	⑤	
送	送	soŋ	⑤	
蟲	虫	zoŋ	②	
從	从	zoŋ	②	跟～
崇	崇	zoŋ	②	
叢	丛	zoŋ	②	
重	重	zoŋ	②	～複
茸	茸	zoŋ	②	文
戎	戎	zoŋ	②	
重	重	zoŋ	④	輕～
仲	仲	zoŋ	⑥	
誦	诵	zoŋ	⑥	
頌	颂	zoŋ	⑥	
訟	讼	zoŋ	⑥	
公	公	koŋ	①	外～大爹：外祖父
工	工	koŋ	①	
弓	弓	koŋ	①	
功	功	koŋ	①	
攻	攻	koŋ	①	
宮	宫	koŋ	①	洞～：肛門
恭	恭	koŋ	①	
躬	躬	koŋ	①	
蚣	蚣	koŋ	①	
肱	肱	koŋ	①	
供	供	koŋ	①	～給制
汞	汞	koŋ	③ⓐ	
拱	拱	koŋ	③ⓐ	
鞏	巩	koŋ	③ⓐ	
貢	贡	koŋ	⑤	
供	供	koŋ	⑤	～養
空	空	kʰoŋ	①	脱～：無憑借，不現實
倥	倥	kʰoŋ	①	
崆	崆	kʰoŋ	①	
箜	箜	kʰoŋ	①	
孔	孔	kʰoŋ	③ⓑ	
恐	恐	kʰoŋ	③ⓑ	
倥	倥	kʰoŋ	③ⓑ	
空	空	kʰoŋ	⑤	～宵宵：十分清閒
控	控	kʰoŋ	⑤	
共	共	ɡoŋ	⑥	
轟	轰	hoŋ	①	
烘	烘	hoŋ	①	
訇	訇	hoŋ	①	
哄	哄	hoŋ	①	
鬨	哄	hoŋ	①	
薨	薨	hoŋ	①	
蕻	蕻	hoŋ	①	
嗅	嗅	hoŋ	⑤	～香：親吻
紅	红	ɦoŋ	②	
宏	宏	ɦoŋ	②	
洪	洪	ɦoŋ	②	
鴻	鸿	ɦoŋ	②	
虹	虹	ɦoŋ	②	
葒	荭	ɦoŋ	②	
泓	泓	ɦoŋ	②	
弘	弘	ɦoŋ	②	
閎	闳	ɦoŋ	②	
竑	竑	ɦoŋ	②	
翃	翃	ɦoŋ	②	
纮	纮	ɦoŋ	②	
葓	葓	ɦoŋ	②	
訌	讧	ɦoŋ	②	
翁	翁	oŋ	①	
嗡	嗡	oŋ	①	
蓊	蓊	oŋ	①	
瓮	瓮	oŋ	⑤	
齆	齆	oŋ	⑤	～鼻頭
瞈	瞈	oŋ	⑤	
勜	勜	oŋ	⑤	
滃	滃	oŋ	⑤	
鶲	鹟	oŋ	⑤	
窮	穷	ʥioŋ	②	
瓊	琼	ʥioŋ	②	
邛	邛	ʥioŋ	②	
蛩	蛩	ʥioŋ	②	
煢	茕	ʥioŋ	②	
筇	筇	ʥioŋ	②	
兄	兄	ɕioŋ	①	
兇	凶	ɕioŋ	①	
胸	胸	ɕioŋ	①	～彭頭：胸口
匈	匈	ɕioŋ	①	
洶	汹	ɕioŋ	①	
訩	讻	ɕioŋ	①	
嗅	嗅	ɕioŋ	⑤	～～看：聞一下
絨	绒	ȵioŋ	②	
茸	茸	ȵioŋ	②	白
濃	浓	ȵioŋ	②	白
狨	狨	ȵioŋ	②	
冗	冗	ȵioŋ	②	
榮	荣	ɦioŋ	②	
熒	荧	ɦioŋ	②	
塋	茔	ɦioŋ	②	
鎣	蓥	ɦioŋ	②	
滎	荥	ɦioŋ	②	
熊	熊	ɦioŋ	②	
雄	雄	ɦioŋ	②	
庸	庸	ɦioŋ	②	
墉	墉	ɦioŋ	②	
慵	慵	ɦioŋ	②	
鏞	镛	ɦioŋ	②	
鱅	鳙	ɦioŋ	②	
鄘	墉	ɦioŋ	②	
容	容	ɦioŋ	②	
蓉	蓉	ɦioŋ	②	
溶	溶	ɦioŋ	②	
熔	熔	ɦioŋ	②	
瑢	瑢	ɦioŋ	②	
榕	榕	ɦioŋ	②	
鎔	镕	ɦioŋ	②	
嶸	嵘	ɦioŋ	②	
瑩	莹	ɦioŋ	②	
螢	萤	ɦioŋ	②	
鯒	鲬	ɦioŋ	②	
用	用	ɦioŋ	②	
傭	佣	ɦioŋ	②	
雍	雍	ioŋ	①	
擁	拥	ioŋ	①	
邕	邕	ioŋ	①	
臃	臃	ioŋ	①	
癰	痈	ioŋ	①	
饔	饔	ioŋ	①	
永	永	ioŋ	③ⓐ	
泳	泳	ioŋ	③ⓐ	
擁	拥	ioŋ	③ⓐ	
甬	甬	ioŋ	③ⓐ	
勇	勇	ioŋ	③ⓐ	
湧	涌	ioŋ	③ⓐ	
俑	俑	ioŋ	③ⓐ	
蛹	蛹	ioŋ	③ⓐ	
踴	踊	ioŋ	③ⓐ	
恿	恿	ioŋ	③ⓐ	
泳	泳	ioŋ	⑤	
詠	咏	ioŋ	⑤	
壅	壅	ioŋ	⑤	
浜	浜	pã	①	死水塘
☐	☐	pã	①	難～：難看
繃	绷	pã	①	
崩	崩	pã	①	
弸	弸	pã	①	
嘣	嘣	pã	①	
迸	迸	pã	⑤	繃裂
泵	泵	pã	⑤	
跰	跰	pã	⑤	
祊	祊	pã	⑤	
堋	堋	pã	⑤	
朋	朋	bã	②	
彭	彭	bã	②	
棚	棚	bã	②	草～
堋	堋	bã	②	
硼	硼	bã	②	
鵬	鹏	bã	②	
嘭	嘭	bã	②	
膨	膨	bã	②	
蟛	蟛	bã	②	
蚌	蚌	bã	④	
甏	甏	bã	⑥	
碰	碰	bã	⑥	
掽	掽	bã	⑥	
盲	盲	mã	②	～子：瞎子
忙	忙	mã	②	
虻	虻	mã	②	烏～子：北方稱小咬
稝	稝	mã	②	
甍	甍	mã	②	
勐	勐	mã	②	
猛	猛	mã	④	
稝	稝	mã	④	草等長得密
黾	黾	mã	④	
艋	艋	mã	④	
蜢	蜢	mã	④	
孟	孟	mã	⑥	
打	打	tã	③ⓐ	
趤	趤	dã	④	～馬路｜～來～去
冷	冷	lã	④	
張	张	tsã	①	
章	章	tsã	①	講～：談論
樟	樟	tsã	①	
彰	彰	tsã	①	
漳	漳	tsã	①	
鄣	鄣	tsã	①	
獐	獐	tsã	①	
璋	璋	tsã	①	
蟑	蟑	tsã	①	
爭	争	tsã	①	
睜	睁	tsã	①	白
諍	诤	tsã	①	
錚	铮	tsã	①	
長	长	tsã	③ⓐ	生～
漲	涨	tsã	③ⓐ	
掌	掌	tsã	③ⓐ	巴～肉：兩頰｜敲巴～：打耳光
帳	帐	tsã	⑤	
賬	账	tsã	⑤	
脹	胀	tsã	⑤	
障	障	tsã	⑤	
瘴	瘴	tsã	⑤	
嶂	嶂	tsã	⑤	
昌	昌	tsʰã	①	
菖	菖	tsʰã	①	
撐	撑	tsʰã	①	
倀	伥	tsʰã	①	
戧	戗	tsʰã	①	
瞠	瞠	tsʰã	①	
娼	娼	tsʰã	①	
閶	阊	tsʰã	①	
猖	猖	tsʰã	①	
鯧	鲳	tsʰã	①	
廠	厂	tsʰã	③ⓑ	
敞	敞	tsʰã	③ⓑ	
氅	氅	tsʰã	③ⓑ	
昶	昶	tsʰã	③ⓑ	
悵	怅	tsʰã	⑤	
倡	倡	tsʰã	⑤	
暢	畅	tsʰã	⑤	吃得～來
牚	牚	tsʰã	⑤	椅子～腳
商	商	sã	①	
傷	伤	sã	①	
生	生	sã	①	出～：補損，賺回來
牲	牲	sã	①	
笙	笙	sã	①	
甥	甥	sã	①	
殤	殇	sã	①	
聲	声	sã	①	
觴	觞	sã	①	
熵	熵	sã	①	
墒	墒	sã	①	
省	省	sã	③ⓐ	
眚	眚	sã	③ⓐ	
晌	晌	sã	③ⓐ	
賞	赏	sã	③ⓐ	
㾪	㾪	sã	③ⓐ	
貹	貹	sã	③ⓐ	
長	长	zã	②	～遠
常	常	zã	②	日～
嫦	嫦	zã	②	
場	场	zã	②	落～：下場
腸	肠	zã	②	肚～
償	偿	zã	②	
棖	枨	zã	②	
萇	苌	zã	②	
塍	塍	zã	②	
澄	澄	zã	②	
橙	橙	zã	②	
丈	丈	zã	④	
杖	杖	zã	④	
仗	仗	zã	④	
嚷	嚷	zã	④	
壤	壤	zã	④	文
攘	攘	zã	④	
緔	绱	zã	④	
盛	盛	zã	④	
剩	剩	zã	④	
尚	尚	zã	④	又
鋥	锃	zã	④	
䂻	䂻	zã	④	
更	更	kã	①	五～
粳	粳	kã	①	
庚	庚	kã	①	
羹	羹	kã	①	
耕	耕	kã	①	
☐	☐	kã	①	用力擠進：到處亂～｜倒～轉
賡	赓	kã	①	
鶊	鹒	kã	①	
梗	梗	kã	①	
埂	埂	kã	①	
哽	哽	kã	③ⓐ	骨頭～牢
鯁	鲠	kã	③ⓐ	
綆	绠	kã	③ⓐ	
梗	梗	kã	③ⓐ	菜～子
挭	挭	kã	③ⓐ	
骾	鲠	kã	③ⓐ	
筻	筻	kã	③ⓐ	
坑	坑	kʰã	①	～棚：鄉間廁所
硜	硁	kʰã	①	
鏗	铿	kʰã	①	
亨	亨	hã	①	
哼	哼	hã	①	
夯	夯	hã	①	
脝	脝	hã	①	
行	行	ɦã	②	流行：舊年～短髮
珩	珩	ɦã	②	
桁	桁	ɦã	②	
蘅	蘅	ɦã	②	
鴴	鸻	ɦã	②	
杏	杏	ɦã	④	
荇	荇	ɦã	④	
硬	硬	ɦã	⑥	
雁	雁	ã	⑤	～鳥：大雁
櫻	樱	ã	⑤	
鸚	鹦	ã	⑤	
嚶	嘤	ã	⑤	
甖	罂	ã	⑤	
㹙	㹙	ã	⑤	
良	良	liã	②	
涼	凉	liã	②	風～
量	量	liã	②	～長短
粮	粮	liã	②	
梁	梁	liã	②	
粱	粱	liã	②	
莨	莨	liã	②	
輬	辌	liã	②	
兩	两	liã	④	
倆	俩	liã	④	
輛	辆	liã	④	
魎	魉	liã	④	
亮	亮	liã	⑥	
諒	谅	liã	⑥	
晾	晾	liã	⑥	
量	量	liã	⑥	數～
哴	哴	liã	⑥	
踉	踉	liã	⑥	
靚	靓	liã	⑥	
悢	悢	liã	⑥	
疆	疆	ʨiã	①	
僵	僵	ʨiã	①	搭～：事搞糟弄僵
薑	姜	ʨiã	①	
繮	缰	ʨiã	①	
礓	礓	ʨiã	①	
姜	姜	ʨiã	①	
將	将	ʨiã	①	～方：剛才
漿	浆	ʨiã	①	
蔣	蒋	ʨiã	③ⓐ	
獎	奖	ʨiã	③ⓐ	
槳	桨	ʨiã	③ⓐ	
襁	襁	ʨiã	③ⓐ	
鏹	镪	ʨiã	③ⓐ	
膙	膙	ʨiã	③ⓐ	
繈	襁	ʨiã	③ⓐ	
絳	绛	ʨiã	③ⓐ	
將	将	ʨiã	⑤	大～
醬	酱	ʨiã	⑤	
腔	腔	ʨʰiã	①	老～：老練
羌	羌	ʨʰiã	①	
槍	枪	ʨʰiã	①	
蜣	蜣	ʨʰiã	①	
鏹	镪	ʨʰiã	①	
錆	锖	ʨʰiã	①	
鏘	锵	ʨʰiã	①	
鎗	鎗	ʨʰiã	①	
蹌	跄	ʨʰiã	①	
☐	☐	ʨʰiã	③ⓑ	～刀：鍋鏟
搶	抢	ʨʰiã	③ⓑ	
羥	羟	ʨʰiã	③ⓑ	
嗆	呛	ʨʰiã	⑤	咳：夜來～來
☐	☐	ʨʰiã	⑤	勉～，通作強
熗	炝	ʨʰiã	⑤	
牆	墙	ʥiã	②	
祥	祥	ʥiã	②	
詳	详	ʥiã	②	～怕：生怕
強	强	ʥiã	②	～性：盡情地｜～熟：人工促果實成熟
戕	戕	ʥiã	②	
翔	翔	ʥiã	②	
祥	祥	ʥiã	②	
庠	庠	ʥiã	②	
樯	樯	ʥiã	②	
嫱	嫱	ʥiã	②	
詳	详	ʥiã	②	
勥	勥	ʥiã	④	
強	强	ʥiã	④	
犟	犟	ʥiã	④	～脾氣，通作犟
痒	痒	ʥiã	④	
象	象	ʥiã	④	
像	像	ʥiã	④	
橡	橡	ʥiã	④	
彊	强	ʥiã	④	
匠	匠	ʥiã	⑥	
糨	糨	ʥiã	⑥	
弶	弶	ʥiã	⑥	
相	相	ɕiã	①	～幫：幫
