#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
ɗ	［1］掂颠巅癫［3］典碘点玷［5］店踮惦典垫
tʰ	［1］天添［3］舔忝掭（~笔）铦（~锁）［5］㮇（火~，烧火工具）銛（~锁）
d	［2］田钿佃填滇恬湉甜阗［4］殄［6］电垫㼭奠淀佃甸靛腆殿澱殄
l	［2］廉镰濂帘奁怜联鲢连莲裢涟恋謰（~謱，語亂）［4］脸［6］链练炼敛殓楝㼑（瓜~）恋
ʦ	［1］尖歼煎笺湔（洗衣被的局部）嗟［3］剪姐戬［5］箭饯（蜜~）溅荐薦笺僭占
ʦʰ	［1］千阡歼佥签扦迁纤仟釬钎签堑铨荃醛诠籤（~移）椠（削，~脚）韆㹂［3］倩浅迁（~就）［5］堑
s	［1］仙籼鲜（新~）先宣暹纤［3］洗选筅箲铣跣玺鲜（~见，罕见）藓癣鏾（~鸡，阉，~卵子，去势）写=［5］线霰腺泻=
z	［2］旋潜钱前全泉邪=［4］渐［6］荐贱践饯渐羡旋（头发~）鏇璇漩（~脶潭）谢=
ʄ	［1］艰间=（空~）坚兼蒹搛菅肩［3］拣=裥=柬=检睑笕趼简涧锏茧毽键腱蹇謇［5］鉴=间（~断）谏涧=锏剑建见笕建腱（~子肉）毽检睑暨
cʰ	［1］谦牵愆骞［3］缱遣［5］遣欠芡欹纤（~背）谴歉慊
ɟ	［2］掮乾钳虔揵（举起）□黔［4］件键［6］俭健键建腱□（~介，尤其）
ɲ	［1］研粘黏拈妍［2］年阎严言=［3］捻蹍碾撵辇［4］染-瘾-俨儼捻［6］日验彦谚-砚酽念=（~经）唁孽
ç	［1］岘仚轩掀锨妗（不庄重）［3］猃险蚬显［5］宪显献歇
h	［1］妗［3］蚬显险睒［5］歇显献
ɦ	［2］延涎筵蜒言弦舷衍檐盐炎=焉（心不在~）沿贤娴閒=［6］现腌演冶艳盐（腌制）嫌限（有~）
ø	［1］燕（姓）烟胭（~脂）淹阉奄罨掩鹌咽（~喉）湮嫌焉蔫嫣𥀬［3］掩=魇厴厣（~头）演匽（隐蔽）［5］厌燕（~子）咽（吞~）晏-宴䞁（比~长短）堰
#ue	
k	［1］圭闺邽鲑硅规晷归=龟=官倌棺观（~看）冠（弱~）［3］馃（油煠~，油条）诡鬼=轨癸会（~稽）匦管晷［5］桂贵=灌罐鹳观（道~）贯冠（~军）馆鳜=瑰盥烩会（~计）桧
kʰ	［1］恢亏盔奎魁宽髋［3］傀刽会（~计）款［5］块窥哙
g	［2］葵=睽揆逵夔（姓）馗=［4］跪=［6］溃逵馈愧匮柜=跪葵=桧
ŋ	［2］危-桅-巍［6］伪-魏
ø	［1］威葳偎煨萎烩［3］缓宛碗琬婉畹剜蜿菀浣皖惋腕豌委萎痿荟［5］畏猥喂=（~食）尉慰蔚萎慧彗秽会（能够）
#ui	
k	［1］规［5］桂
kʰ	［1］恢亏盔［3］刽［5］块
g	［2］葵
ø	［1］威煨萎［3］委荟
#ø	
ɗ	［1］端𧍒［3］短掸（鸡毛~帚）［5］断（决~）簖锻碫（~磨）
tʰ	［1］惴湍煓［5］蜕毻（~毛）褪
d	［2］团抟糰篿（圓形竹器）［4］断（~决）段（姓）［6］段（~落）缎
n	［1］囡（洋~~，昵称）［4］囝（男~头）暖媛囡（小孩）［6］囡（女儿）
l	［2］鸾脔峦孪娈栾滦銮挛恋岚圞□（笼络，~拍）［4］卵（~子，睾丸）毛干（男阴）［6］乱
ʦ	［1］最锥=钻（~圈套）追隹椎骓［3］最嘴=攒（积~）［5］醉赘钻（~孔）缀锥纂
ʦʰ	［1］崔催摧璀啐吹=炊=猜餐撺汆痊爨䱗（~条，白条鱼）［3］喘［5］翠脆篡窜撺蹿揣（~度）
s	［1］虽绥酸痠糁（饭~，饭粒）［3］水=糁（饭粒）绥□（撒）［5］岁祟邃蒜算税说（~客）锐扇
z	［2］谁睡垂陲隋随髓锤槌缒篅［4］罪［6］睡蕊=瑞睿芮遂隧燧穗坠粹萃悴瘁
k	［1］囝干（~净）杆竿肝［3］赶干（~事）杆秆擀贛［5］干（~部）
kʰ	［1］看（~守）刊侃［3］侃［5］看（~见）勘
ŋ	［6］岸
h	［1］獾貆揎㧦喧煊萱［3］虾［5］汉罕熯（煎烤）㗿（怒責）楦□（用掌心手背轮流拍球）□（吞食）
