音標	調類	調值	
viɛ	7	45	越粵悅曰缺
xa	1	22	開揩
xa	2	21	孩鞋咸鹹銜閑還
xa	3	53	凱海楷蟹喊
xa	5	213	慨嵌
xa	6	44	害
xa	7	45	掐瞎
xau	1	22	敲蒿薅
xau	3	53	考烤好
xau	5	213	靠犒好
xau	6	44	浩耗號
xɑŋ	1	22	康糠慷夯坑
xɑŋ	2	21	行航杭扛
xɑŋ	5	213	抗炕囥
xɑŋ	6	44	項巷
xən	1	22	烘
xən	3	53	孔恐
xən	5	213	控空
xən	6	44	共
xiɛ	2	21	痕恆衡
xiɛ	3	53	懇墾齦很肯
xiɛ	6	44	恨
xiɛ	7	45	咳刻刻克黑赫核核
xɤ	1	22	堪龕憨酣看刊鼾
xɤ	2	21	含函寒韓
xɤ	3	53	坎砍喊罕
xɤ	5	213	勘憾看漢
xɤ	6	44	撼旱汗銲翰莧
xɤ	7	45	喝合盒磕渴喝
xɔ	1	22	揢蝦鷺
xɔ	2	21	蝦
xɔ	3	53	下
xɔ	6	44	下
xɔ	7	45	客嚇
xʊ	1	22	科窠棵顆
xʊ	2	21	河何荷和
xʊ	3	53	可火
xʊ	5	213	課貨
xʊ	6	44	禍
xʊ	7	45	鶴霍殼學
za	2	21	才材財裁纔豺柴慚讒饞殘涎
za	3	53	彩採睬揣鏟產
za	5	213	菜蔡燦
za	7	45	插擦察浞
zau	1	22	操抄鈔
zau	2	21	曹槽巢
zau	3	53	草炒吵
zau	5	213	糙造
zau	6	44	皂造（~孽）櫂
zɑŋ	1	22	倉蒼瘡窗
zɑŋ	2	21	藏牀床
zɑŋ	3	53	闖撞
zɑŋ	5	213	創倡
zɑŋ	6	44	藏臓狀
zən	1	22	村皴椿聰怱葱囱蔥
zən	2	21	存澄橙呈城誠叢崇從從
zən	3	53	忖
zən	5	213	寸
zən	6	44	仲
zəu	1	22	初（文）
zəu	2	21	鋤（文）雛
zəu	3	53	楚礎
zəu	5	213	凑
zəu	6	44	助紂宙
zəu	7	45	猝族促觸
zɤ	1	22	參汆川
zɤ	2	21	蠶
zɤ	3	53	慘
zɤ	5	213	竄篡
zɤ	6	44	賺
zɤ	7	45	撤撮
zɔ	1	22	叉杈差
zɔ	2	21	茶搽茬查
zɔ	5	213	岔
zɔ	7	45	雜拆㿭擇栅
zɿ	1	22	初（白）
zɿ	2	21	鋤（白）池遲祠
zɿ	5	213	醋刺賜次伺
zɿ	6	44	字寺治柿
zɿ	7	45	侄姪秩直值殖植擲斥
zʊ	1	22	搓矬
zʊ	5	213	銼莝措錯
zʊ	6	44	坐座
zʊ	7	45	錯鑿昨柞戳濁鐲
ɕi	1	22	須鬚需西犀奚兮犧嬉熙希雖
ɕi	3	53	洗璽徙喜髓
ɕi	5	213	絮細碎歲戲
ɕi	6	44	序敍緒壻系繫係遂隧穗
ɕi	7	45	習襲吸悉膝戌恤息熄媳惜昔席夕析
ɕin	1	22	心辛新薪欣興馨胸凶兇
ɕin	2	21	荀旬循巡行形型刑熊雄
ɕin	3	53	筍榫省
ɕin	5	213	信訊釁迅殉興
ɕiɑŋ	1	22	相箱廂湘襄鑲香鄉星（白）
ɕiɑŋ	2	21	降
ɕiɑŋ	3	53	想享響醒（白）
ɕiɑŋ	5	213	相向性（白）姓（白）腥（白）
ɕiɑŋ	6	44	象橡項（文）
ɕiəu	1	22	修羞休
ɕiəu	3	53	朽
ɕiəu	5	213	秀繡宿銹袖
ɕiəu	7	45	肅宿畜蓄粟俗續
ɕiɛ	1	22	參鮮先僧生牲甥聲
ɕiɛ	2	21	嫌閑賢弦旋
ɕiɛ	3	53	險癬顯選
ɕiɛ	5	213	線羡
ɕiɛ	6	44	陷餡限憲獻現旋縣眩
ɕiɛ	7	45	脅協薛泄歇蠍屑屑楔雪澀瑟蝨塞色嗇
ɕiɔ	1	22	些
ɕiɔ	3	53	寫
ɕiɔ	5	213	瀉卸
ɕiɔ	6	44	夏
ɕiɔ	7	45	錫
ɕiʊ	1	22	消宵霄硝銷囂蕭簫搜颼餿蒐
ɕiʊ	3	53	小曉
ɕiʊ	5	213	孝笑嗽瘦
ɕiʊ	6	44	效校校
ɕiʊ	7	45	削
ɤ	2	21	如儒兒而
ɤ	3	53	爾耳乳耳餌
ɤ	6	44	二貳
ȵin	2	21	吟人仁銀凝凝迎寧
ȵin	6	44	任賃任紝刃認韌潤閏寧佞
ȵin	7	45	日
ȵiɑŋ	2	21	娘
ȵiɑŋ	3	53	仰
ȵiɑŋ	6	44	釀讓（白）
ȵiəu	2	21	牛
ȵiəu	3	53	紐扭
