"h"	"［1］□{蛇～：蛇蜕}［2］侯猴喉瘊□{着～：渴望得到}［3］吼［6］后厚後候□{～病：哮喘}"	""	""	""	""	""	""
"#iɛu"	""	""	""	""	""	""	""
"p"	"［1］标標镖膘熛{崽哩屙尿～得好远}［3］表錶標{甘蔗或树木的末端}"	""	""	""	""	""	""
"pʰ"	"［1］飘［2］嫖［3］漂{～白粉}［5］漂{～亮}票"	""	""	""	""	""	""
"m"	"［2］描苗猫［3］秒杳{～无音讯}藐渺［6］妙庙"	""	""	""	""	""	""
"t"	"［1］刁貂雕凋［3］鸟［5］吊钓掉={～下去}"	""	""	""	""	""	""
"tʰ"	"［1］挑［2］条调{～和，～味}［3］调{～换}［5］跳粜［6］掉{～头}调{声～，音～，～动}"	""	""	""	""	""	""
"l"	"［2］燎療遼瞭撩镣{一种捕鱼工具，带刺，长柄}聊［3］了鸟=［6］料廖"	""	""	""	""	""	""
"ts"	"［1］焦蕉椒僬{～哩：长得矮小的孩子。《集韵》萧韵兹消切：“短人谓之～侥”。}［3］剿□{～到：栏住，挡住}𢄺{擦，抹：～台门，～板凳}［5］醮"	""	""	""	""	""	""
"tsʰ"	"［1］锹缲{～边}［2］樵瞧［3］悄［5］俏［6］噍{～牙交}"	""	""	""	""	""	""
"s"	"［1］硝消宵销萧箫霄逍［3］小［5］笑"	""	""	""	""	""	""
"tɕ"	"［1］骄娇浇蛟{～水：特大洪水。发～：爆发特大洪水}［3］矫缴［5］叫"	""	""	""	""	""	""
"tɕʰ"	"［2］乔侨桥荞［3］跷［5］窍［6］轿藠"	""	""	""	""	""	""
"ȵ"	"［5］尿{屙～：大人解小便}"	""	""	""	""	""	""
"ɕ"	"［1］嚣［3］晓"	""	""	""	""	""	""
"∅"	"［1］妖邀要{～求}幺{～二三}［2］姚摇谣窑尧［3］舀［5］要{想～，重～}［6］耀"	""	""	""	""	""	""
"#uɛu"	""	""	""	""	""	""	""
"ɸ"	"［2］浮［3］否［5］阜"	""	""	""	""	""	""
"#iu"	""	""	""	""	""	""	""
"l"	"［2］流=刘=留=榴=硫=琉="	""	""	""	""	""	""
"ts"	"［1］揪鬏［3］酒［5］皱"	""	""	""	""	""	""
