漢字	雲陽話	訪仙話	河陽話	埤城話
摳	kʰᴇ33	kʰɘi55	kʰᴇ33	kʰe51
侯	xᴇ25	xɘu31	xᴇ24	xe51
喉	xᴇ25	xɘi31	xᴇ24	xe25
猴	xᴇ31	xɘi31	xᴇ24	xe25
歐	ɤ33	ɘu55	ᴇ33	e51
甌		ɘu55	əu33	e51
剖	pʰɤ424	pʰu434	pʰɤ24	pʰou51
某	mɤ25	mɘi55	mᴇ31	mou51
畝	mɤ25	mɘu325	məu24	mou25
牡	mᴇ25	mɘi31	məu31	mou25
母	mɤ25	mɘu55	məu31	mou25
拇	mɤ55	mɘu55	məu31	mou25
斗（容器）	tᴇ55	tɘi41	tᴇ55	te33
抖	tᴇ55	tɘi41	tᴇ55	te33
陡	tᴇ55	tɘi41	tᴇ55	te33
敨（《集韻》敨衣服,敨氣）	tᴇ55	tʰɘi41	tʰᴇ55	tʰe25
簍	lᴇ31	lɘi434	lᴇ31	le25
摟抱	lɤ35	lɘu325	lᴇ24	lou25
走	ʦᴇ55	ʦɘi41	ʦᴇ55	ʦe33
叟	sɤ55		səu24	se33
狗	kᴇ55	kɘi41	kᴇ55	ke33
苟	kᴇ55	kɘi41	kᴇ55	ke33
口	kʰᴇ55	kʰɘi41	kʰᴇ55	kʰe25
藕	ŋ̩25	ŋɘi325	ŋᴇ24	ŋe25
偶（配偶）	ɤ25	ŋɘu55	ŋᴇ24	e25
吼			xəu24	xou25
後	xᴇ31	xɘi325	xᴇ31	xe51
厚	xᴇ25	kɘi325	xᴇ24	xe25
後	xᴇ31	xɘi325	xᴇ31	xe51
嘔	ᴇ31	ɘi41	ɔ55	e33
毆	ɤ55		əu55	e33
戊		u55	u55	u41
茂	mɔ31	mɘi55	mɔ31	mou25
貿	mɔ31	mɘi434	mɔ31	mɔ41
鬥（鬥爭）	tᴇ424	tɘi434	tᴇ31	te41
透	tʰᴇ424	tʰɘi434	tʰᴇ31	tʰe41
豆	tᴇ31	tɘi325	tᴇ31	te41
逗	tᴇ31	tɘi434	tᴇ31	te41
漏	lᴇ31	lɘi434	lᴇ31	le41
奏	ʦᴇ424	ʦɘu434	ʦəu31	ʦe25
湊	ʦʰᴇ424	ʦʰɘi434	ʦʰᴇ31	ʦʰe41
嗽	sᴇ25	sɘi434	sᴇ24	se25
夠（足夠）	kᴇ424	kɘi434	kᴇ31	ke25
構	kᴇ424	kɘi41	kᴇ31	ke41
購	kᴇ424	kɘi434	kᴇ31	ke41
勾（勾當）	kᴇ31	kɘi41	kᴇ31	ke41
扣	kʰᴇ424	kʰɘi434	kʰᴇ31	kʰe41
寇	kʰᴇ424	kʰɘi434	kʰᴇ31	kʰe41
偶（偶然）	ᴇ25	ŋɘi434	ŋᴇ31	e25
候	xᴇ25	xɘi325	xᴇ31	xe41
慪（慪氣）		ɘi41	əu31	e25
浮	fu25	fu31	fu24	fu25
謀	mᴇ25	mɘi55	mᴇ31	mou51
矛	mɔ25	maɔ55	mɔ24	mou25
流	liɤ31	lɘi55	liəu31	le51
留	liɤ31	lɘi55	lᴇ31	le51
劉	liɤ31	lɘi55	liəu31	le25
榴	lᴇ31	lɘi55	lᴇ31	le25
硫	liɤ31	lɘi31	liəu31	le25
琉	liɤ31	lɘi31	liəu31	le25
揪	ʨiɤ33	ʨʰiɘu41	ʨʰiəu33	ʨiou51
秋	ʨʰiɤ33	ʨʰiɘu55	ʨʰiəu33	ʨʰiou51
鞦	ʨʰiɤ33	ʨʰiɘu55	ʨʰiəu33	ʨʰiou51
修	ɕiɤ33	ɕiɘu55	ɕiəu33	ɕiou51
羞	ɕiɤ33	ɕiɘu41	ɕiəu33	ɕiou51
囚	ʨʰiɤ33	ʨiɘu31	ʨʰiəu24	ʨʰiou25
抽	ʦʰᴇ33	ʦʰɘi55	ʦʰᴇ33	ʦʰe51
綢	ʦᴇ25	ʦɘi31	ʦᴇ24	ʦe25
稠	ʦᴇ25	ʦɘi31	ʦᴇ24	ʦe25
籌	ʦᴇ25	ʦɘi31	ʦᴇ24	ʦʰe25
鄒	ʦᴇ33	ʦɘi55	ʦᴇ33	ʦe51
愁	sᴇ25	ʦɘi31	ʦʰəu24	ʦʰe25
搜	sᴇ33	sɘi55	sᴇ33	se51
颼	ɕɿ33	sɘu55		se51
餿	sᴇ33	sɘi55	sᴇ33	se51
搜	sᴇ33	sɘi55	sᴇ33	se51
周	ʦᴇ33	ʦɘi55	ʦᴇ33	ʦe51
舟	ʦᴇ33	ʦɘi55	ʦᴇ33	ʦe51
州	ʦᴇ33	ʦɘi55	ʦᴇ33	ʦe51
洲	ʦᴇ33	ʦɘi55	ʦᴇ33	ʦe51
收	sᴇ33	sɘi55	sᴇ33	se51
仇	ʦᴇ25	ʦɘi31	ʦᴇ24	se25
酬	ʦᴇ25	ʦɘi31	ʦʰᴇ24	ʦʰe25
柔		ȵiɘu31	ləu24	nou25
揉	ȵyɔʔ12	ȵiɘu55	ȵiəu33	ȵiou51
鳩	ʨiɤ33	ʨiɘu55	ʨiəu33	ʨiou51
鬮	ʨiɤ33	ʨiɘu55	ʨiəu33	ʨiou51
糾	ʨiɤ33	ʨiɘu55	ʨiəu33	ʨiou51
丘	ʨʰiɤ33	ʨʰiɘu55	ʨʰiəu33	ʨʰiou51
求	ʨiɤ25	ʨiɘu31	ʨiəu24	ʨiou25
球	ʨiɤ25	ʨiɘu31	ʨiəu24	ʨiou25
仇姓	ʨʰiɤ25	ʨiɘu31	ʨiəu24	ʨiou25
牛	ȵiɤ33	ȵiɘu55	ȵiəu33	ȵiou25
休	ɕiɤ33	ɕiɘu55	ɕiəu33	ɕiou51
憂		iɘu55	iəu33	iou51
優	iɤ33	iɘu55	iəu33	iou51
尤	iɤ25	iɘu55	iəu33	iou51
郵	iɤ31	iɘu31	iəu24	iou25
由	iɤ25	iɘu325	iəu31	iou25
油	iɤ25	iɘu31	iəu24	iou25
遊	iɤ25	iɘu31	iəu24	iou25
猶	iɤ25	iɘu31	iəu33	iou51
婦	fu31	fu31	fu24	fu51
負	fu424	fu434	fu31	fu51
阜	fu424	fu434	fu31	fu51
紐	ȵiɤ25	ȵiɘu55	ȵiəu24	ȵiou25
扭	ȵiɤ25	ȵiɘu325	ȵiəu24	ȵiou25
柳	liɤ25	lɘi325	liəu24	le25
酒	ʨiɤ55	ʨiɘu41	ʨiəu55	ʨiou33
肘		ʦɘi31		ʦe51
丑	ʦʰᴇ55	ʦʰɘi41	ʦʰəu24	ʦʰe214
紂		ʦɘi31	ʦəu31	ʦe41
帚	ʦᴇ55	ʦɘi41	ʦᴇ55	ʦe33
醜	ʦʰᴇ55	ʦʰɘi41	ʦʰəu24	ʦʰe25
手	sᴇ55	sɘi41	sᴇ55	se33
首	sᴇ55	sɘi41	sᴇ24	se25
守	sᴇ55	sɘi41	sᴇ24	se25
受	sᴇ31	sɘi325	sᴇ31	se25
九	ʨiɤ55	ʨiɘu41	ʨiəu55	ʨiou33
久	ʨiɤ55	ʨiɘu41	ʨiəu24	ʨiou33
韭	ʨiɤ55	ʨiɘu55	ʨiəu55	ʨiou33
灸	ʨiɤ55	ʨiɘu55	ʨiəu55	ʨiou51
臼	ʨiɤ31	ʨiɘu31	ʨiəu31	ʨiou51
舅	ʨiɤ31	ʨiɘu31	ʨiəu31	ʨiou51
咎	ʨiɤ31	ʨiɘu55	ʨiəu31	ʨiou51
朽	ɕiɤ424	ɕiɘu434	ɕiəu31	ɕiou51
有	iɤ55	iɘu325	iəu55	iou33
友	iɤ55	iɘu55	iəu55	iou33
酉		iɘu55	iəu55	iou25
莠		iɘu31	iəu31	iou25
誘	iɤ31	iɘu41	iəu31	iou25
富	fu424	fu434	fu31	fu41
副	fu424	fu434	fu31	fu41
復（~興）	fɔʔ44	fɔʔ44	fɔʔ33	fɔʔ44
溜	liɤ33	lɘi55	liəu55	le41
廖（姓）	liɔ31	liaɔ325	liɔ31	liɔ25
就	ʨiɤ31	ɕiɘu325	ʨiəu31	ʨiou41
秀	ɕiɤ424	ɕiɘu55	ɕiəu31	ɕiou41
繡	ɕiɤ424	ɕiɘu434	ɕiəu31	ɕiou41
宿（星宿）	ɕiɤ424	ɕiɘu41	ɕiəu31	ɕiou41
鏽	ɕiɤ424	ɕiɘu41	ɕiəu31	ɕiou41
袖	ɕiɤ31	ɕiɘu325	ɕiəu31	ɕiou41
晝	ʦᴇ31	ʦɘi434	ʦᴇ31	ʦe41
宙	ʦᴇ31	ʦɘi55	ʦᴇ31	ʦe41
皺	ʦᴇ424	ʦɘi434	ʦᴇ31	ʦe41
縐	ʦᴇ33	ʦɘi55	ʦᴇ55	ʦe25
驟	ʦᴇ31	ʦɘi434	ʦəu31	ʦe41
瘦	sᴇ424	sɘi434	sᴇ24	se25
漱	su33	sɘu434	sʮ55	sʮ41
呪	ʦᴇ424	ʦɘi434	sᴇ31	ʦe41
臭（香臭）	ʦʰᴇ424	ʦʰɘi434	ʦʰᴇ24	ʦʰe41
獸	sᴇ424	sɘi55	sᴇ24	se25
壽	sᴇ31	sɘi325	sᴇ31	se41
授	sᴇ25	sɘi325	sᴇ31	se25
售	sᴇ31	sɘi325	sᴇ31	se41
救	ʨiɤ424	ʨiɘu434	ʨiəu24	ʨiou25
究	ʨiɤ33	ʨiɘu55	ʨiəu55	ʨiou41
舊	ʨiɤ31	ʨiɘu325	ʨiəu31	ʨiou41
柩		ʨiɘu55	ʨiəu31	ʨiou41
嗅	ɕiɤ424	ɕiɘu434		
又	iɤ31	iɘu31	iəu31	iou41
右	iɤ31	iɘu31	iəu31	iou25
佑	iɤ31	iɘu31	iəu31	∅ʮ41
柚	iɤ31	iɘu325	iəu31	iou41
釉		iɘu325	iəu31	iou41
彪	piɔ33	piaɔ55	piɑɔ33	piɔ51
丟		tɘi55	təʔ33	te51
幽		iɘu55	iəu33	iou51
糾（糾正）	ʨiɤ55	ʨiɘu55	ʨiəu33	ʨiou51
謬	miɔ31	miɘu41	miɔ31	miɔ41
幼	iɤ31	iɘu55	iəu31	iou41
耽	tæ33	tᴀ31	tæ33	tæ33
貪	tʰeŋ33	tʰʏ55	tʰoŋ33	tʰœ51
潭		tʏ31	tʰæ24	tʰæ25
譚		tʏ31	toŋ24	tʰæ25
南	neŋ33	nʏ55	noŋ31	nœ25
男	neŋ33	nʏ325	noŋ31	nœ25
簪	ʦæ33	ʦᴀ55	ʦæ33	
參	ʦʰeŋ33	ʨʰʏ55	ʦʰæ33	ʦʰæ51
蠶	seŋ25	ɕʏ31	soŋ24	ɕœ25
堪	kʰæ33	kʰʏ55	kʰæ33	kʰæ51
龕		kʰʏ55	kʰæ33	
含	xeŋ25	xʏ31	xoŋ24	xœ25
函	xeŋ25	xʏ31	xoŋ24	xœ25
庵	ŋ̩33	aɲ55	i33	œ51
慘	ʦʰæ55	ʦʰᴀ41	ʦʰæ24	ʦʰæ25
感	keŋ55	kʏ434	koŋ55	kæ33
坎	kʰæ55	kʰᴀ41	kʰæ55	kʰœ25
砍	kʰæ55		kʰæ55	kʰæ25
探（試探）	tʰeŋ424	tʰʏ434	tʰoŋ31	tʰœ25
勘（勘誤）	kʰæ33	kʰʏ434	kʰoŋ55	kʰæ25
憾	xɑ31		xæ31	xæ41
暗	ŋ̩424	ʏ434	ŋ̩31	œ25
答	tɑʔ12	tᴀʔ44	tɑʔ33	tᴀʔ44
搭	tɑʔ44	tᴀʔ44	tɑʔ33	tᴀʔ44
踏	tɑʔ12	tᴀʔ31	tɑʔ24	tᴀʔ44
沓（一沓紙）	tɑʔ12	tᴀʔ44	tɑʔ33	tᴀʔ44
納	nɑʔ44	nəʔ31	nɑʔ33	nᴀʔ44
拉	lɑʔ44	lᴀ55	lɑʔ33	lᴀ51
雜	ʦɑʔ12	sᴀʔ31	ʦɑʔ24	lᴀʔ44
合（容量。十合一升）	xəʔ12	xəʔ31	xuəʔ24	kuʔ44
鴿	kuəʔ44	kəʔ44	kuəʔ31	kuʔ44
欱（欱酒）	xəʔ12	xəu55	xuəʔ33	
合	xɑʔ12	xəʔ31	xuəʔ31	kuʔ44
盒（煙盒）	xɑʔ44	xᴀʔ31	xɑʔ24	xuʔ44
擔（擔任）	tæ33	tᴀ434	tɑ33	tæ251
坍（坍下來）	tʰæ33	tʰᴀ55	tʰɑʔ33	tʰᴀ33
談	tæ25	tᴀ31	tɑ31	tæ25
痰	tæ25	tᴀ325	tɑ24	tæ25
藍	læ25	lᴀ31	læ24	læ25
籃	læ25	lᴀ31	læ24	læ25
慚	ʦʰæ31	ʦᴀ31	ʦʰæ24	ʦʰæ25
三	sæ33	sᴀ55	sæ33	sæ51
甘	keŋ33	kʏ55	koŋ33	kœ51
柑	keŋ33	kʏ55	koŋ33	kœ51
泔（泔水）	keŋ33	kʏ55		kœ51
憨（癡）	xeŋ33	xᴀ55		xɑŋ51
膽	tæ55	tᴀ41	tæ55	tæ33
毯	tʰæ55	tʰᴀ41	tʰæ55	tʰæ25
淡	tæ25	tᴀ325	tæ31	tæ25
覽	læ25	lᴀ325	læ24	læ25
攬	læ25	lᴀ325	læ24	læ25
欖（橄欖）	læ55	lᴀ55	læ24	læ33
敢	keŋ55	kʏ41	koŋ55	kœ33
橄（橄欖）	keŋ55	kʏ41	kæ51	kœ33
喊	xæ55	xᴀ434	xæ55	xæ33
擔（挑擔）	tæ424	tᴀ434	tæ24	tæ41
濫	læ31	lᴀ434	læ31	læ41
纜	læ33	lᴀ434	læ31	læ41
暫	ʦæ31	ʦᴀ325	ʦæ31	ʦæ25
塔	tʰɑʔ12	tʰᴀʔ31	tʰɑʔ33	tʰᴀʔ44
榻	tʰɑʔ44	tʰᴀ434	tʰɑʔ33	tʰᴀʔ44
塌	tʰɑʔ44	tᴀ434	tʰɑʔ33	tʰᴀʔ44
臘	lɑʔ12	lᴀʔ31	lɑʔ31	lᴀʔ44
蠟	lɑʔ12	lᴀʔ31	lɑʔ31	lᴀʔ44
磕	kʰuəʔ44	kʰəʔ44	kʰuəʔ33	kʰuʔ44
饞	ʦæ25	sᴀ31	sæ31	sæ25
杉	sæ33	sᴀ55	sæ33	sæ51
尷（尷尬）	kæ33	kaɲ31	kæ33	kæ33
鹹	xæ25	xᴀ31	xæ24	xæ25
斬	ʦæ55	ʦᴀ55	ʦæ55	ʦæ33
減	kʰæ55	ʨi41	kʰæ55	ʨiæ33
鹻	kæ55	kᴀ41	kæ55	kæ33
站（立）	ʦæ424	ʦᴀ434	ʦæ31	ʦæ25
賺	ʦuæ31	ʦᴀ325	ʨyæ24	ʨyæ25
站(車站)	ʦæ33	ʦᴀ325	ʦæ31	ʦæ41
蘸（蘸醬油）	ʦæ424	ʦᴀ434	ʦæ31	
陷	ɕi31	ɕi434	xæ31	xæ41
劄（用針紮）	ʦɑʔ44	ʦᴀʔ44	ʦɑʔ33	ʦᴀʔ44
眨（眨眼）	ʦɑʔ44	ʦᴀʔ44	ʦɑʔ33	ʦᴀʔ44
插	ʦʰɑʔ44	ʦʰᴀʔ44	ʦʰɑʔ33	ʦʰᴀʔ44
牐	ʦɑʔ12	sᴀʔ31	sɑʔ24	ʦᴀʔ44
煠（用油煠）	ʦʊ424	ʦʊ434	sɑʔ24	ʦu41
夾	kɑʔ44	kᴀʔ44	kɑʔ33	kᴀʔ44
夾(夾衣)	kɑʔ44	kᴀʔ44	kɑʔ33	kᴀʔ44
恰	ʨʰiɑʔ44	ʨʰiᴀʔ44	ʨʰiɑʔ33	ʨʰiᴀʔ44
掐	kʰɑʔ12	kʰᴀʔ44	kʰɑʔ33	kʰᴀʔ44
狹	xɑ25	ɕiᴀʔ31	xɑʔ24	xᴀʔ44
峽	ɕiɑ25	ɕiᴀʔ44	ɕiɑʔ24	ɕiᴀʔ44
洽	ʨʰiɑʔ44	ʨʰiᴀʔ44	ʨʰiɑʔ33	ʨʰiᴀʔ44
攙	ʦʰæ33	ʦʰᴀ55	ʦʰæ33	ʦʰæ51
衫	sæ33	sᴀ55	sæ33	sæ51
監(監視,監牢)	kæ33	kᴀ55	kæ33	ʨiæ51
嵌	kʰæ31	kʰᴀ434	kʰæ31	kʰæ25
岩	i31	ȵi325	ȵi24	ŋæ25
銜	xæ25	xᴀʔ31	xæ24	xæ25
艦	kæ55	kʰᴀ41	ʨi31	kæ25
鑒		ʨi434	ʨi31	ʨiæ41
甲	kɑʔ44	ʨiᴀʔ44	ʨiɑʔ33	ʨiᴀʔ44
胛(肩胛)	kɑʔ44	kᴀʔ31	kɑʔ33	ʨiᴀʔ44
匣(箱匣)	xɑʔ31	ɕiᴀ325	xɑʔ33	xᴀʔ44
鴨	ɑʔ44	ᴀʔ44	ɑʔ33	ᴀʔ44
押	ɑʔ44	ᴀʔ44	ɑʔ33	ᴀʔ44
壓	ɑʔ44	ᴀʔ44	ɑʔ33	ᴀʔ44
廉	li31	li434	li31	li25
鐮	li31	li434	li31	
簾(門簾)	li33	li55	li31	li25
鑯	ʨi33	ʨi55	ʨi33	ʨi51
殲(殲滅)	ʨi33	ʨi55	ʨi33	ʨʰi51
籤（標籤）	ʨʰi33	ʨʰi55	tɕʰi33	ʨʰi51
簽（簽名）	ʨʰi33	ʨʰi55	ʨʰi33	ʨʰi51
潛	ʨʰi31	ʨʰi31	ʨʰi31	ʨʰi25
沾	ʦæ33	ʦᴀ55	ʦæ33	ʨiou51
粘（粘貼）	ʦæ33	ʦᴀ55	ʦæ33	
瞻	ʦæ33	ʦᴀ55	ʦæ33	ʦæ51
占（占卜）	ʦæ33	ʦᴀ55	ʦæ33	ʨiou51
鉗	kæ25	ʨi31	kæ24	kæ25
淹	æ31	ᴀ55	æ33	æ51
閹	i25	i55	i33	i25
炎	i25	i31	i24	i25
鹽	i25	i31	i24	i25
閻	ȵi31	ȵi31	ȵi24	i25
簷	i25	i31	i24	i25
貶	pi55	pi41	pi55	pi33
斂	li55	li434	li24	li33
漸		ʨi325	ʨi31	ʨi51
陝(陝西)	sæ31	ɕi55	sɑn24	sæ25
閃	sæ55	sᴀ41	sɑ31	sæ25
染	læ25	ȵi325	ȵi24	ȵi25
檢	ʨi55	ɕi41	ʨi55	ʨi33
臉	li25		li24	li25
儉	ʨi55	ʨi41	ʨi55	ʨi51
險	ɕi55	ɕi41	ɕi55	ɕi33
掩	i55	i41	i55	i25
斂		li434	li24	li25
殮	li31	li434		li25
占(佔領)	ʦæ31	ʦᴀ434	ʦæ31	ʦæ31
驗	ȵi25	i325	ȵi31	ȵi31
厭	i424	i434	i31	i31
豔	i55	i434	i31	i31
焰	i424	i41	i31	i31
鹽（醃）	i55	i41	i31	i25
聶（姓）	ȵiəʔ12	ȵiɛʔ24	ȵiɛʔ33	ȵiɛʔ44
鑷（鑷子）	ȵiəʔ31	ȵiɛʔ24	ȵiɛʔ31	ȵiɛʔ44
躡（躡腳走）	ȵiəʔ31		ȵiɛʔ31	ȵiɛʔ44
獵	liəʔ31	liɛʔ31	liɛʔ24	liɛʔ44
接	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiɛʔ44
妾	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiɛʔ44
捷	ʨiəʔ12	ʨiɛʔ44	ʨiɛʔ33	ʨiɛʔ44
折（折疊）	ʦəʔ44	ʦəʔ55	ʦəʔ33	ʦəʔ44
褶（褶子,皺紋）	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
攝	səʔ44	səʔ44	səʔ33	səʔ44
涉	səʔ44	səʔ44	səʔ33	səʔ44
葉	iəʔ31	iɛʔ31	ȵiɑʔ31	iɛʔ44
頁	iəʔ31	iɛʔ31	iɛʔ24	iɛʔ44
嚴	ȵi31	ȵi55	ȵi24	ȵi25
鍁（鍬屬）	ʨʰi33	ɕi55	ɕi33	ɕi51
醃	i33	i55	i33	i51
劍	ʨi424	ʨi434	ʨi24	ʨi25
欠	ʨʰi424	ʨʰi434	ʨʰi24	ʨʰi25
劫	ʨiəʔ12	ʨiɛʔ44	ʨiɛʔ33	ʨiɛʔ44
怯（畏怯）	ʨʰiəʔ44	ʨʰiɛʔ31	ʨʰiɛʔ33	ʨʰiᴀʔ44
業	ȵiəʔ12	ȵiɛʔ31	ȵiɛʔ24	ȵiɛʔ44
脅	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiɛʔ44
醃	i33	i55	i33	i51
掂（掂掇，掂量）	ti33	ti55	ti33	ti51
添	tʰi33	tʰi55	tʰi33	tʰi51
甜	ti25	ti31	ti24	ti25
鯰（鯰魚）	ȵi31	ȵi31	ȵi31	ȵi25
拈（拈起來）	ȵi33	ȵi55		ȵi51
兼	ʨi33	ʨi55	ʨi33	ʨi51
搛（搛菜,夾菜）	ʨi33	ʨi55	ʨi33	ʨi51
謙	ʨʰi33	ʨʰi55	ʨʰi33	ʨʰi51
嫌	ɕi31	i31	i24	i25
點	ti55	ti41	ti55	ti33
舔（以舌取物）	tʰi55	tʰi41	tʰi55	tʰi25
店	ti424	tʰi434	ti24	ti25
念	ȵi424	ȵi434	ȵi31	ȵi41
歉	ʨʰi424	ʨʰi434	ʨʰi31	ʨʰi41
跌	tiəʔ44	tiɛʔ44	tiɛʔ33	tiɛʔ44
帖（碑帖,請帖）	tʰiəʔ44	tʰiɛʔ44	tʰiɛʔ33	tʰiɛʔ44
貼	tʰiəʔ44	tʰiɛʔ44	tʰiɛʔ33	tʰiɛʔ44
疊	tiəʔ12	tiɛʔ31	tiɛʔ33	tiɛʔ44
碟	tiəʔ12	tiɛʔ31	tiɛʔ33	tiɛʔ44
牒（通牒，度牒，影牒）	tiəʔ12	tiɛʔ31	tiɛʔ33	tiɛʔ44
蝶	tiəʔ12	tiɛʔ31	tiɛʔ33	tiɛʔ44
諜	tiəʔ12	tiɛʔ31	tiɛʔ33	tiɛʔ44
夾（夾菜）	kɑʔ44	kᴀʔ44	kɑʔ33	
協	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiɛʔ44
凡	fæ25	fᴀ325	fæ24	fæ25
帆	fæ25	fᴀ55	fæ24	fæ25
範（範圍）	fæ31	fᴀ325	fæ31	fæ25
範（榜樣）	fæ55	fᴀ325	fæ31	fæ25
犯	fæ31	fᴀ325	fæ31	fæ51
泛		fᴀ325	fæ31	fæ41
法（方法,法子）	fɑʔ44	fᴀʔ44	fɑʔ33	fᴀʔ44
乏	fɑʔ44	fᴀʔ31	fɑʔ33	fᴀʔ44
林	liŋ31	liɪŋ55	liŋ24	liŋ25
淋（淋漓,淋溼）	liŋ31	liɪŋ325	liŋ24	liŋ25
臨	liŋ25	liɪŋ55	liŋ24	liŋ25
侵	ʨʰiŋ33	ʨʰiɪŋ434	ʨʰiŋ33	ʨʰiŋ51
心	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
尋	ɕiŋ25	ɕiɪŋ31	ɕiŋ24	ɕiŋ25
沈	ʦeŋ31	ʦɘŋ31	ʦəŋ24	ʦəŋ25
簪	ʦæ	33	ʦᴀ55	ʦæ
參（參差）		ʦʰɘŋ55	ʦʰəŋ33	ʦʰəŋ51
岑		ʦɘŋ31	ʦʰəŋ33	səŋ51
森	seŋ33	sɘŋ55	səŋ33	səɡ51
薓	seŋ33	sɘŋ55	səŋ33	səŋ51
針	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
斟	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
深	seŋ33	sɘŋ55	səŋ33	səŋ51
任姓	leŋ31	lɘŋ325	lᴇn31	ᴇn51
今		ʨiɪŋ55	kəŋ33	ʨiŋ51
金	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
禁（禁不住）	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
襟	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
欽	ʨʰiŋ33	ʨʰiɪŋ55	ʨʰiŋ33	ʨʰiŋ51
琴	ʨʰiŋ25	ʨiɪŋ31	ʨiŋ24	ʨiŋ25
禽	ʨʰiŋ25	ʨiɪŋ31	ʨʰiŋ24	ʨʰiŋ25
擒	ʨʰiŋ25	ɕiɪŋ31	ʨʰiŋ24	ʨʰiŋ25
吟	iŋ25	iɪŋ31	iŋ24	iŋ25
音	iŋ33	iɪŋ55	iŋ33	iŋ51
陰	iŋ33	iɪŋ55	iŋ33	iŋ51
淫	iŋ25	iɪŋ325	iŋ24	iŋ51
品	pʰiŋ55	pʰiɪŋ41	pʰiŋ55	pʰiŋ25
寢		ʨʰiɪŋ434	ʨʰiŋ24	ʨʰiŋ25
枕	ʦeŋ55	ʦɘŋ434	ʦəŋ31	ʦəŋ33
沈	seŋ55	sɘŋ55	səŋ55	səŋ51
審	seŋ55	sɘŋ434	səŋ55	səŋ25
嬸	seŋ55	sɘŋ55	səŋ55	səŋ33
甚		sɘŋ325	səŋ31	səŋ51
錦	ʨiŋ55	ʨiɪŋ55	ʨiŋ55	ʨiŋ51
浸	ʨiŋ31	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
滲（水滲透）	seŋ424	sɘŋ434	səŋ31	səŋ41
枕（動詞）	ʦeŋ55	ʦɘŋ434	ʦəŋ24	ʦəŋ25
任（責任）	leŋ31	sɘŋ41	lᴇn31	∅ᴇn41
紉（縫紉）	leŋ31	lɘŋ434	lᴇn31	∅ᴇn25
禁（禁止）	ʨiŋ424	ʨiɪŋ434	ʨiŋ31	ʨiŋ41
立	liəʔ12	liɛʔ31	liɛʔ31	liʔ44
笠	liəʔ44	liɛʔ31	liɛʔ33	liʔ44
粒	liəʔ12	liɛʔ31	liɛʔ33	liʔ44
集	ʨiəʔ31	ʨiɛʔ31	ʨiɛʔ33	ʨiʔ44
輯（編輯）	ʨiəʔ44	ʨiɛʔ31	ʨiɛʔ33	ʨʰiʔ44
習	ɕiəʔ31	ɕiɛʔ31	ɕiɛʔ31	ɕiʔ44
襲	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
蟄（驚蟄）	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
澀	səʔ44	səʔ44	səʔ33	səʔ44
執	ʦəʔ44	ʦəʔ44	ʦəʔ24	ʦəʔ44
汁	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
溼	səʔ44	səʔ44	səʔ33	səʔ44
十	səʔ12	səʔ31	səʔ33	səʔ44
拾（拾起來）	səʔ12	ɕiɛʔ31	səʔ24	səʔ44
入	lyɛʔ12	lyɔʔ31	ləʔ24	yəʔ44
急	ʨiəʔ12	ʨiɛʔ31	ʨiɛʔ31	ʨiʔ44
級	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
泣	ʨʰiəʔ44		ʨʰiɛʔ33	ʨʰiʔ44
及	ʨiəʔ12	ʨiɛʔ31	ʨiɛʔ33	ʨiʔ44
吸	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
揖（作揖）	iəʔ44	iɛʔ44	ʨʰiɛʔ33	iʔ44
丹	tæ33	tᴀ55	tæ33	tæ33
單（單獨）	tæ33	tᴀ55	tæ33	tæ51
灘	tʰæ33	tʰᴀ55	tʰæ33	tʰæ51
攤	tʰæ33	tʰᴀ55	tʰæ33	tʰæ51
檀	tʰæ424	tᴀ31	tʰɑn24	tʰæ25
壇（花壇）	tʰæ33	tᴀ31	tæ24	tʰæ25
彈（彈琴）	tæ31	tᴀ31	tæ24	tʰæ25
難（難易）	næ33	nᴀ55	næ33	ȵæ51
蘭	læ25	lᴀ55	læ24	læ25
攔	læ25	lᴀ31	læ31	læ25
欄	læ25	lᴀ55	læ33	læ25
餐	ʦʰæ33	ʦʰᴀ55	ʦʰæ33	ʦʰæ51
