语素	音标	注释
寇	kʰʏ5	~准；日~
□	kʰʏ9	猪~臭：狐臭
牛	ŋʏ2	铁~；雄~/雌~：公牛/母牛；~棚；看~男：看牛的孩子
扭	ŋʏ3	~秧歌
偶	ŋʏ3	~到
蕊	ŋʏ4	花~头：花蕾
藕	ŋʏ4	
纽	ŋʏ4	秤~
钮	ŋʏ4	~子：扣子；扣（~扣子）
搬	pɵ1	~行嫁：搬嫁妆
半	pɵ5	上~日/下~日：上午/下午；正月~/七月~/八月~：元宵节/中元节/中秋节
潘	pʰɵ1	
拚	pʰɵ1	~死吃河豚
判	pʰɵ5	~断
盘	bɵ2	窗~：窗台；~缠/~费：路费；~牙：臼牙；~~头/~丝头/~龙头：梳发髻的发型
瀊	bɵ2	（液体）溢（~出来）
槃	bɵ2	涅~
伴	bɵ4	杂割乱~：乱七八糟
拌	bɵ4	搅拌（浓稠的东西）；费口舌、啰嗦、争辩
叛	bɵ4	~徒；~国；~逃
畔	bɵ6	躲藏；~瓜=瓜=：捉迷藏；~好22-22
馒	mɵ2	~头：包子（有馅的），如：肉~头、菜~头；脊=~头/脚~头：膝盖
鳗	mɵ2	~鲡：鳗鱼
瞒	mɵ2	欺~：欺负
幔	mɵ2	灵堂里挂的白色帐幔
满	mɵ4	小~；~月
漫	mɵ6	~山：太湖里的一个岛屿
单	tɵ1	褥~：床单；~~：仅仅
端	tɵ1	~阳日：端午节；~正：准备
掸	tɵ3	~灰尘；~檐尘
短	tɵ3	
□	tɵ3	沾染（~泥土/污渍等），~着烂泥：沾上泥土
锻	tɵ3	~炼
断	tɵ3	判~；~me44：断奶；~祸福：凑热闹断是非
簖	tɵ5	捕鱼工具，插在水里的竹栅
贪	tʰɵ1	~嘴：馋嘴；~便宜
滩	tʰɵ1	河~头：河滩；东河~：西山地名；一~血
摊	tʰɵ1	冷~瓦：不铺望砖，直接摊在椽子上的瓦
瘫	tʰɵ1	风~：瘫痪；~子：瘫子
探	tʰɵ5	从高处拿下，~下来；~亲
炭	tʰɵ5	火~：炭
叹	tʰɵ5	~冷气（读字读tʰɛ）
□	tʰɵ5	~壳：蛇/蝉蜕壳
疃	tʰɵ1/5	~里：西山地名
谭	dɵ2	~震林
潭	dɵ2	池~：池塘；（水）~~：水坑；打木头~：潜水、扎猛子
檀	dɵ2	~香
坛	dɵ2	社~里：西山地名（读字读de2）
团	dɵ2	癞~：癞蛤蟆；~鱼：甲鱼；一~糟
糰	dɵ2	汤~：有馅的汤圆；麻~：麻球；青~子/瘪嘴~/冬至~/茧念=~：本地食物
缎	dɵ2	绸~
椴	dɵ2	~树22-22
断	dɵ4	~气：咽气
蛋	dɵ6	鸡~；~白/~黄；皮~；~饺；喜~：毛鸡蛋；生~：下蛋
段	dɵ6	近~：附近
南	nɵ2	~浪=/~面：南/南边；~湾：西山地名
楠	nɵ2	石~
男	nɵ2	~人；小~头：男孩；有~：怀孕；看牛~：看牛的孩子
囡	nɵ1	呆~：呆子/笨蛋；私~/壁角~：私生子
媛	nɵ1	（疑为“囡”的训读）
暖	nɵ4	~热：暖和；~锅：传统火锅
囡	nɵ4	~儿：女儿；外甥~：外甥女，外孙女；侄~儿：侄女
婪	lɵ1	贪~
拦	lɵ2	~牢渠：拦住他；讲闲话无不关~：形容人说话不把门
栏	lɵ2	~杆；~栅：猪圈里的木栏杆
鸾	lɵ2	~凤
挛	lɵ2	痉~
卵	lɵ4	男阴；~㞞：精液；~子：睾丸；~脬；咬~：生气、发火；钝~：怄气
乱	lɵ1/5	~44uã31：心里烦恼、乱七八糟、乱套；~用
乱	lɵ6	杂割~拌：乱七八糟
圞	lɵ9	四面dəʔ2~：四边一周
追	ʦɵ1	~牢渠：追住他
锥	ʦɵ1	~栗
簪	ʦɵ1	~子；骨~：骨制簪子
沾	ʦɵ1	~亲带故
瞻	ʦɵ1	~仰
钻	ʦɵ1	
专	ʦɵ1	~门：常常
砖	ʦɵ1	~头；望=~：铺在椽子上的薄砖
毡	ʦɵ1	~子
者	ʦɵ1	或~
占	ʦɵ1	~领
钻	ʦɵ1	牵~：木匠用的方柄锥子
撰	ʦɵ1	~写
展	ʦɵ3	
转	ʦɵ3	~眼；~去/回~/回~去：回去，回家；~来：回来；~弯
战	ʦɵ5	~争
转	ʦɵ5	做~炼：葬礼过程之一，陪夜人由道士带领逆时针围绕遗体转圈
攒	ʦɵ5	~钱
鲇	ʦɵ3/5	横~：鳡鱼，太湖里最凶猛的一种鱼
参	ʦʰɵ1	~加
餐	ʦʰɵ1	~厅；早~；无不~顿：三餐不规律
汆	ʦʰɵ1	~粥：用米饭加水烧粥
穿	ʦʰɵ1	~马路；过马路；戳~：戳破；~条鱼
川	ʦʰɵ1	四~
□	ʦʰɵ1	青~鱼：秋刀鱼
串	ʦʰɵ1	量词，一~佛珠
揣	ʦʰɵ1	~摩
篡	ʦʰɵ1	~位
窜	ʦʰɵ5	东~西~
惨	ʦʰɵ5	悲~
颤	ʦʰɵ5	打~
喘	ʦʰɵ5	
纂	ʦʰɵ1	编~
缠	ʣɵ2	盘~：路费；~小脚
传	ʣɵ2	用手传递（东西）
椽	ʣɵ2	~子
染	ʣɵ4	传~；感~（<zɵ）
传	ʣɵ4	~记
篆	ʣɵ6	~体；~书
□	ʣɵ9	将要做出打人的姿势，如：我搭你~~看：我跟你打打看
酸	sɵ1	反~
闩	sɵ1	门~
拴	sɵ1	
闪	sɵ3	~腰；~电<读字>
陕	sɵ3	~西
伞	sɵ5	一把~；降落~
散	sɵ5	兑~：把整钱换成零钱；~灰：碎石灰；~黄：散的蛋黄
扇	sɵ5	一~门；~子；蒲~；扯~：折扇；打~：扇扇子
算	sɵ5	打~；~盘；~命；合~：值得
蒜	sɵ5	大~；~苗；~板：蒜瓣；大~头/大~叶：蒜头/蒜叶
糁	sɵ9	饭米~：饭粒
蚕	zɵ2	~/~宝宝：蚕；~豆
蟾	zɵ2	
蝉	zɵ2	~衣
禅	zɵ2	~师；~宗
然	zɵ2	天~几：厅堂里的长台；虽~
燃	zɵ2	~料；点~
船	zɵ2	航~：运输用的船；网~：捕鱼用的船；扯篷~：帆船
禅	zɵ2	~让
膳	zɵ2	~食；用~
单	zɵ2	~雄信
善	zɵ4	
鳝	zɵ4	黄~
蟮	zɵ4	触~：蚯蚓
禅	zɵ6	~让22-41
全	zɵ2/6	~靠：全靠
甘	kɵ1	~蔗（ʦoʔ31，根据连调来看应为“蔗”促化）
泔	kɵ1	~脚：泔水；米~水：淘米水
柑	kɵ1	~橘
干	kɵ1	天~地支
肝	kɵ1	猪~；鸡胗~/鸡硬~：鸡胗
干	kɵ1	嘴~：口渴；旱~：干旱；~净；~燥；鱼~；豆腐~
杆	kɵ1	栏~；电线~
竿	kɵ1	竹~<读字>
感	kɵ3	~觉
敢	kɵ3	
赶	kɵ3	
干	kɵ5	~部
擀	kɵ3	~面
堪	kʰɵ1	实~夸
看	kʰɵ1	~家；~牛男：看牛的孩子
刊	kʰɵ1	~物33-41；报~
勘	kʰɵ1	~察队；踏~
墈	kʰɵ5	~头：田地边的石筑围墙
看	kʰɵ5	~病；~戏；好~/难~：漂亮/丑；尝试体标记，如：做做~、看看~
酣	hɵ1	~睡
汉	hɵ5	罗~寺：西山寺院名
熯	hɵ5	用少量油煎
憾	hɵ1	遗~
撼	hɵ3	震~
罕	hɵ5	稀~
翰	hɵ3	~林
庵	ɵ1	~堂
安	ɵ1	安放、摆放；~逸（i44）：消停
鞍	ɵ1	马~
含	ɵ2	
函	ɵ2	~授
涵	ɵ2	~村：西山地名
寒	ɵ2	~露/小~/大~；~毛：汗毛；~天：冬天
韩	ɵ2	~氏
揞	ɵ3	用手捂住、按住
按	ɵ3	~照
旱	ɵ4	~灾；~烟；~地；~干：干旱
焊	ɵ4	~接22-41
暗	ɵ5	
案	ɵ5	~案
□	ɵ1/5	~豆：豌豆
岸	ɵ6	帮=~：铺筑石头的河岸；堤岸：堤；田~：田埂（读字又读ŋɵ6）
汗	ɵ6	~衫；~背心：夏天穿的背心
捍	ɵ6	~卫24-31
官	kuɵ1	新~人；~司草：车前草
棺	kuɵ1	~材
观	kuɵ1	~音菩萨
管	kuɵ3	尺子、梯子的量词，一~尺、一~梯
馆	kuɵ3	宾~；会~
灌	kuɵ5	~水
罐	kuɵ5	~头：罐子；汤~：两灶间加热水的罐子
贯	kuɵ5	~彻；连~
观	kuɵ5	道~
冠	kuɵ5	~军
冠	kuɵ5	凤~霞帔；衣冠
宽	kʰuɵ1	~舒：宽敞
□	kʰuɵ1	把买来的绒线处理成线团的动作
款	kʰuɵ5	赔~
欢	huɵ1	~喜：喜欢
痪	huɵ1	瘫~<读字>
唤	huɵ5	~指
焕	huɵ5	~然一新
桓	uɵ2	齐~公24-33-21
完	uɵ2	
顽	uɵ2	
玩	uɵ2	开~笑；游~
纨	uɵ2	~绔子弟
碗	uɵ3	~橱；~盏家生/~~盏盏：餐具
缓	uɵ3	~解；死~
婉	uɵ3	委~
宛	uɵ3	~平
腕	uɵ5	手~44-44
皖	uɵ5	~南事变
换	uɵ6	
捐	ʨyɵ1	
卷	ʨyɵ3	卷、挽
卷	ʨyɵ5	考~
绢	ʨyɵ5	~头：手帕；踢~踢：踢毽子
眷	ʨyɵ5	亲~：亲戚；跑亲~：走亲戚
圈	ʨʰyɵ1	铁箍罗=~：铁环；井箍罗=~：井圈；金~：金耳环
劝	ʨʰyɵ5	
券	ʨʰyɵ5	国库~
犬	ʨʰyɵ5	反~帮：反犬旁
拳	ʥyɵ2	~头；豁~：划拳
权	ʥyɵ2	政~；~利
颧	ʥyɵ2	~骨<读字>
蜷	ʥyɵ2	~~尾巴缩缩脚
倦	ʥyɵ2	疲~
圈	ʥyɵ4	猪~；羊~；~基泥
元	ȵyɵ2	~山：西山地名（古称鼋头山）
原	ȵyɵ2	~/~旧：仍然；~因；~子笔：圆珠笔
源	ȵyɵ2	资~；发~地
阮	ȵyɵ2	~玲玉
软	ȵyɵ4	~/~熟：软；还~：受潮
愿	ȵyɵ6	许~；情~：宁可
煊	ɕyɵ1	~~红：形容非常红
喧	ɕyɵ1	~哗
楦	ɕyɵ5	~头
冤	yɵ1	~枉；~假错案
苑	yɵ1	新~
袁	yɵ2	~大头
辕	yɵ2	~门
猿	yɵ2	~人
圆	yɵ2	药~：药丸；肉~：肉丸；~堂：大客厅；~台：圆桌；~子：无馅的圆子
园	yɵ2	菜~
缘	yɵ2	~份；人~
橼	yɵ2	香~
玄	yɵ2	~孙；~色：黑色
悬	yɵ2	~空；~念
员	yɵ2	邮递~
渊	yɵ2	~博；李~
院	yɵ2	~子
眩	yɵ2	晕~
远	yɵ4	削水~：打水漂
县	yɵ4	吴~；震泽~
□	yɵ2/4	杜=：自家养
怨	yɵ5	埋~
援	yɵ5	~助；支~
丸	yɵ2	（训读“圆”）
多	təu1	
都	təu1	
垛	təu3	~头：旧时墙门在大门上方两侧的方形突出物
朵	təu3	耳~；面~子：脸颊
躲	təu3	老虫~勒风箱里：形容人两头受气
剁	təu3	<读字>
赌	təu3	~铜钱：赌博
肚	təu3	~子：牲畜的肚子
堵	təu3	~塞；~家地地：堵家地，西山地名
妒	təu3	~忌：忌妒
□	təu5	把饭嚼烂喂给小孩吃
□	təu9	牵跟~：翻跟斗
拖	tʰəu1	~鞋；~fən44：拖把
兔	tʰəu1	~子
妥	tʰəu3h	贴~：妥帖
椭	tʰəu3h	~圆
土	tʰəu3h	~匪；~地
吐	tʰəu3h	~痰；呼气
唾	tʰəu3h	涎~水：口水
毻	tʰəu5	褪、脱（皮/毛/头发），~皮
驮	dəu2	背；~子：背东西的人；鹞鹰~小鸡：老鹰捉小鸡
涂	dəu2	~油；糊~：模糊
图	dəu2	画儿；~书：图章
徒	dəu2	学~；~弟
驼	dəu2	骆~；~峰；~子/~背：驼背的人
陀	dəu2	头（dəu2）~桥：西山地名
砣	dəu2	秤~
途	dəu2	长~
屠	dəu2	~杀；里~坞/外~坞：西山地名；杀猪~
肚	dəu4	~皮：人的肚子；大~皮：怀孕，孕妇；~肠：人的肠子
杜	dəu4	~做：自家制作；~远=：自家养
□	dəu4	踏~：河岸边铺筑的石台阶
镀	dəu4	~金；电~
堕	dəu4	~落
大	dəu6	~年夜：除夕；龙=大碗：最大的碗；~水：洪水；~门；~气
舵	dəu6	掌~
度	dəu6	角~；速~；印~
惰	dəu6	懒~；~性
渡	dəu2/6	~渚22-22：西山地名
奴	nəu2	~才
捼	nəu2	揉（~菜籽）
努	nəu3	~力
糯	nəu6	口感软糯
怒	nəu6	激~
撸	ləu1	捋（~胡子）；揉（~腿）
啰	ləu1	~唆
罗	ləu2	支~湾、~汉寺：西山地名
锣	ləu2	~鼓家生：锣鼓；鸣~开道
箩	ləu2	谷~担/洋~担：一种盛谷的箩筐；饭~：淘米箩；推~：捕鱼用具
螺	ləu2	田~；蛳~：螺蛳；绝=~：头发旋；背包田~：蜗牛
脶	ləu2	~纹：指纹
卢	ləu2	姓氏
炉	ləu2	~子；香~
芦	ləu2	~头：芦苇；~窠：芦苇荡；~叶：芦苇叶；活=~：葫芦
□	ləu2	菩=~头：茬，块茎
卵	ləu3	~子：睾丸
鲁	ləu3	~迅
虏	ləu3	俘~
裸	ləu4	~体22-22
橹	ləu4	
掳	ləu4	~钩：捕鱼用具
卤	ləu4	
骡	ləu4	~子
鹭	ləu4	长脚~鸶：鹭鸶
逻	ləu4	~辑
庐	ləu4	~山
路	ləu6	荡马~：逛马路；沿~：一边；寻死~：自杀；抄近~
露	ləu6	白~/寒~；~水；雾~：雾
□	ləu9	箍~圈：圈儿、环儿；果~：果子；村窠~：村落
租	ʦəu1	~房子；~钱
左	ʦəu1	~偏子：左撇子
佐	ʦəu1	~料
祖	ʦəu3	拜~宗/请~宗：祭拜祖先
组	ʦəu3	互助~
做	ʦəu5	~戏：演戏；~生活：干活儿；~生意：做买卖；~长工：打工
阻	ʦəu5	~塞
咀	ʦəu5	~嚼
搓	ʦʰəu1	
粗	ʦʰəu1	
初	ʦʰəu1	~伏；年~头：年初；年~一：大年初一
楚	ʦʰəu3h	灭~；~平王
础	ʦʰəu3h	基~
锉	ʦʰəu5	~刀
醋	ʦʰəu5	~/酸~：醋
措	ʦʰəu5	~施
错	ʦʰəu5	因计算或点数发生差错而多得钱或少付钱，如：~脱、~拨你
蓑	səu1	~衣
梭	səu1	~子
唆	səu1	啰~；教~
苏	səu1	~州；江~
酥	səu1	杏仁~；袜底~
须	səu1	~~头：植物的穗/须
梳	səu1	~妆台
疏	səu1	间隔大，“密”的反义词
蔬	səu1	~菜
粟	səu1	（甜）芦~：芦粟
锁	səu3	~骨
琐	səu3	~碎；烦~
所	səu3	厕~
数	səu3	~字；岁~；有~脉=：有数
唢	səu3	~呐
诉	səu3	倾~
素	səu5	~菜；吃~
数	səu5	算~
□	səu9	əu44~：不舒服、难受
锄	zəu2	<读字>
助	zəu2	~词；互~组；援~
坐	zəu4	
座	zəu6	~台
□	zəu2/6	瘫软，~下来
歌	kəu1	唱~
哥	kəu1	阿~：哥哥（背称）；鹦~：鹦鹉
锅	kəu1	钢宗=~子：铝锅；暖~：传统火锅
姑	kəu1	~夫：姑姑的丈夫；~娘：丈夫的姊妹；老~娘
菇	kəu1	蘑~；茨~
蛄	kəu1	蝼~
箍	kəu1	~桶匠；节头~：顶针；脚~骨：踝骨、脚腕
辜	kəu1	无~；~负
孤	kəu1	~儿；~立
□	kəu1	~ɕie44：现在
顾	kəu1	照~
果	kəu3	水~；长生~：花生；~肉：花生仁；白~：银杏
裹	kəu3	包（~粽子/馄饨）
古	kəu3	~迹
估	kəu3	~计
股	kəu3	一~香味；屁~；光屁~：裸体
鼓	kəu3	石~墩：柱础
□	kəu3	折~：因不能前来吊唁，故改出折算供品的钱
故	kəu3	讲~事
雇	kəu3	
个	kəu3	~把
戈	kəu3	大动干~
固	kəu3	凝~
过	kəu5	传染；就（~饭）；漂洗；~年；~节：祭祖
锢	kəu5	禁~
蛊	kəu5	~惑
柯	kʰəu1	~家上头：西山地名
轲	kʰəu1	荆~
科	kʰəu1	~学；插~：插嘴
窠	kʰəu1	窝，如：鸡~，茶~，焐~
棵	kʰəu1	树的量词，一~树
颗	kʰəu1	~粒
枯	kʰəu1	焦/糊（烧~）；~竹笋
□	kʰəu1	尿的量词，一~尿
可	kʰəu3h	~以
苦	kʰəu3h	
课	kʰəu5	~堂：教室；起~
库	kʰəu5	国~券；仓~
裤	kʰəu5	~子；夹~：单裤；半~：短裤；~脚管：裤腿
□	kʰəu9	鸡墩~：鸡肚子
□	ɡəu2	臃肿，如形容衣服穿得太多
咕	ɡəu4	嘀咕
蛾	ŋəu2	麦~：飞蛾
鹅	ŋəu2	呆~：大雁
俄	ŋəu2	~国；~罗斯
互	ŋəu2	~助组
我	ŋəu3	自~
饿	ŋəu6	肚皮~/~：饿
误	ŋəu6	错~；~杀；失~
悟	ŋəu6	觉~
卧	ŋəu6	~室
呼	həu1	吮吸/嗍；打~：打呼噜；~香烟：吸烟
浒	həu1	水~传
火	həu3	自来~：火柴；~缸：脚炉；~钳；封~墙
伙	həu3	~计；~食
虎	həu3	老~；~口；壁~；~丘
货	həu5	~色：货物；海~
荷	həu9	薄~
阿	əu1	~胶；~弥陀佛
莴	əu1	~苣笋：莴苣
窝	əu1	<读字>
涡	əu1	<读字>
蜗	əu1	耳~
五	əu1	~官；~路财神
午	əu1	地支第七
乌	əu1	~龟；~尖：短柄狭锄头；~青块：淤青；~天：黑天
污	əu1	~水
河	əu2	~泥夹；~浜：小河
何	əu2	
荷	əu2	~花
和	əu2	均匀；~尚
禾	əu2	~木帮：禾字旁
吴	əu2	~承恩
梧	əu2	~桐
胡	əu2	~琴；~梯：楼梯；~葱：大葱
湖	əu2	~羊；~州；镇~：原吴县地名
蝴	əu2	~蝶
糊	əu2	~涂；酒水~涂：醉酒后神志不清
狐	əu2	~狸
弧	əu2	~度
壶	əu2	
胡	əu2	~子
和	əu2	~诗
捂	əu3	~牢：捂住
伍	əu3	~子胥
户	əu4	~头：家伙；~槛：门槛；~口
贺	əu4	
沪	əu4	~剧
护	əu4	~工
焐	əu5	~心：开心
□	əu1/5	~səu31：不舒服、难受
祸	əu6	~不单行
诬	əu1	~陷
帮	pɑ̃1	~工；~忙/相~：帮忙；~岸：有石头铺筑的河岸；边~：偏旁
邦	pɑ̃1	刘~
谤	pɑ̃1	诽~33-55
绑	pɑ̃3	
磅	pɑ̃3	~秤
榜	pɑ̃3	标~
膀	pɑ̃3	飞~：翅膀
髈	pʰɑ̃3h	腿；~蹄：蹄膀，猪肘子；招黄~：丈夫去世另找男人进门
胖	pʰɑ̃5	鲢~头（di）：鲢鱼与鳙鱼的统称
旁	bɑ̃2	~边
鳑	bɑ̃2	~鲏鱼
防	bɑ̃2	~止
庞	bɑ̃2	~大
棒	bɑ̃4	~/~头：棒子；扛~：抬重物的棒子；~冰：冰棍
傍	bɑ̃4	~晚<读字>；比较，搭尔笃是弗好~个：跟你们是不能比的，~起来：比起来
滂	bɑ̃2	~沱
亡	mɑ̃2	关~、关~婆
忙	mɑ̃2	帮~
茫	mɑ̃2	
盲	mɑ̃2	~人
芒	mɑ̃2	~种
氓	mɑ̃2	流~
网	mɑ̃4	~船：捕鱼用的船；~油；结蛛荡~：蜘蛛网
蟒	mɑ̃4	~蛇
莽	mɑ̃4	~撞；王~
望	mɑ̃6	往/朝/向（~前走）；看望（~病人）；巴~：希望；平~：吴江地名
忘	mɑ̃6	~记
□	mɑ̃6	~砖：铺在椽子上的薄砖
方	fɑ̃1	~凳；譬~：比如；~肉：酱汁肉
坊	fɑ̃1	牌~；车~：原吴县地名
芳	fɑ̃1	~香
访	fɑ̃1	家~
纺	fɑ̃3	~漆=娘：纺织娘
仿	fɑ̃3	~效；~照，模~；~佛
舫	fɑ̃3	息~
妨	fɑ̃3	~碍
肪	fɑ̃3	脂~
放	fɑ̃5	~学；~手；存~；暂~
□	fɑ̃9	老y44~：备用的棺材
房	vɑ̃2	~子；楼~；堂~；~间：房间，卧室
亡	vɑ̃2	死~<读字>
妄	vɑ̃4	~想
望	vɑ̃6	希~
当	tɑ̃1	~心；~中/半~中/~中弯里：中间；便~：方便
裆	tɑ̃1	裤~：胯
档	tɑ̃1	分~：区分
挡	tɑ̃3	拿，~剪刀/~筷子
档	tɑ̃3	~次
当	tɑ̃5	上~；~铺/典~屋：当铺；行~
档	tɑ̃5	~案
党	tɑ̃5	政~；~派
汤	tʰɑ̃1	~婆子；~碗；~罐：两灶间加热水的罐子
□	tʰɑ̃1	挡
□	tʰɑ̃1	~光：本应该
躺	tʰɑ̃3h	
烫	tʰɑ̃5	烫；熨
趟	tʰɑ̃5	
耥	tʰɑ̃5	~稻；~耙
倘	tʰɑ̃5	~使
堂	dɑ̃2	~里：西山地名；圆~：大客厅；学~：学校
膛	dɑ̃2	灶~灰；门~子：门框
螳	dɑ̃2	~螂
棠	dɑ̃2	海~
唐	dɑ̃2	~诗
糖	dɑ̃2	蜜~：蜂蜜；赤~：红糖；~汤：加糖的开水
溏	dɑ̃2	~黄：溏心蛋黄
搪	dɑ̃2	~瓷
塘	dɑ̃2	~婆=鱼：塘鳢鱼；水~：水坑；打~：种菜前掘坑
荡	dɑ̃4	下垂；逛，~马路：逛街，~白相：游逛；湖泊，~田：沿湖的田地、天王~
凼	dɑ̃4	坳~：山谷
宕	dɑ̃4	~潭：山上挖掉石头或土留下的坑；跌~起伏
□	dɑ̃4/6	凌~：冰锥儿（当为“铎儿”的合音）
囊	lɑ̃2	瓣，一~橘子（又读nɑ̃2）
郎	lɑ̃2	~中：中医；黄花~：蒲公英；猪~：配种用的公猪
榔	lɑ̃2	~头：锤子
螂	lɑ̃2	蟑~；螳~
狼	lɑ̃2	黄~：黄鼠狼
廊	lɑ̃2	走~
瓤	lɑ̃2	瓜~
□	lɑ̃2	光~头：光头
朗	lɑ̃2	晴~；~读
上	lɑ̃4	上（<zɑ̃4），时间/方位/地名后缀；持续体标记，（勒=）~
浪	lɑ̃6	~费
㫰	lɑ̃6	晾（~干/~衣裳）
□	lɑ̃9	季=割=~：激浪鱼
脏	ʦɑ̃1	肮~
赃	ʦɑ̃1	~物；贪~
妆	ʦɑ̃1	梳~台
装	ʦɑ̃1	
章	ʦɑ̃1	姓氏
樟	ʦɑ̃1	~木树：樟树；~脑
蟑	ʦɑ̃1	~螂
獐	ʦɑ̃1	
庄	ʦɑ̃1	~稼；浦~：原吴县地名
桩	ʦɑ̃1	件，一~事体：一件事；木~
瘴	ʦɑ̃1	~气44-31
掌	ʦɑ̃3	~舵
障	ʦɑ̃3	白内~；~碍
葬	ʦɑ̃5	落~：下葬
壮	ʦɑ̃5	肥、胖，可形容动物，也可形容肥料；~肉：肥肉
□	ʦɑ̃5	打年糕的动作
仓	ʦʰɑ̃1	~库；太~
苍	ʦʰɑ̃1	~蝇
舱	ʦʰɑ̃1	船~
疮	ʦʰɑ̃1	癞疥头~：疥疮；冻~
窗	ʦʰɑ̃1	~盘：窗户；天~
菖	ʦʰɑ̃1	~蒲44-31
鲳	ʦʰɑ̃1	~鳊鱼：鲳鱼
敞	ʦʰɑ̃3h	宽~
唱	ʦʰɑ̃5	~歌；~堂会
闯	ʦʰɑ̃5	~祸；~人家：串门；~江湖：走江湖
藏	ʣɑ̃4	西~
状	ʣɑ̃6	恶行恶~（<zɑ̃）；生活~况；状元22-22
撞	ʣɑ̃6	
□	ʣɑ̃6	叠、摞，碗碟的量词
丧	sɑ̃1	出~：出殡；
丧	sɑ̃1	垂头~气
桑	sɑ̃1	~树；~果子：桑葚；~篮：采桑叶的篮子
霜	sɑ̃1	~降
孀	sɑ̃1	孤~
商	sɑ̃1	~量
伤	sɑ̃1	~风：感冒；吃~脱：吃多后消化不了
双	sɑ̃1	~胞胎/~~子：双胞胎
搡	sɑ̃1	推推~~
嗓	sɑ̃3	~子<读字>
爽	sɑ̃3	~气：直爽；清~：清楚；~性/~加：索性
赏	sɑ̃3	欣~
床	zɑ̃2	大铺~；稻~：打稻工具
尝	zɑ̃2	~味道
偿	zɑ̃2	~还
裳	zɑ̃2	衣~：衣服；衣~管：袖子；汏衣~板：洗衣板
□	zɑ̃2	翘嘴黄~鱼；翘嘴鲌（又音zɑʔ）；黄~鱼：红鳍鲌
尚	zɑ̃2	和~
上	zɑ̃4	~去/~工/~班/~坟/~船/~梁酒；~底：上面；~两日：前几天
□	zɑ̃4	一~：一会儿
脏	zɑ̃4	内~
藏	zɑ̃6	~书：原吴县地名（读字为ʣɑ̃4）
□	zɑ̃2/6	~小肠：猪的大小肠（量词用“幅”）
□	zɑ̃2/6	~菜：腌水咸菜使用的一种青菜
缸	kɑ̃1	茶~；小~；火~：脚炉
钢	kɑ̃1	~铁；~笔；~宗=：铝
刚	kɑ̃1	~~；~好
岗	kɑ̃1	站~；花~岩
纲	kɑ̃1	上~上线
冈	kɑ̃1	井~山
江	kɑ̃1	~北人：操江淮官话的人；跑~湖/闯~湖：走江湖
豇	kɑ̃1	~豆/长~豆：豇豆
扛	kɑ̃1	扛（多人），两个人用肩抬；~棒
肛	kɑ̃1	~门<读字>
讲	kɑ̃3	~张：说话；~山海经/~白相：聊天；~渠弗过/~弗过渠：说不过他
港	kɑ̃3	小型河流，如：后堡~、郑泾~；张家~
杠	kɑ̃5	敲竹~：讹人；麻将术语
降	kɑ̃5	~落伞；霜~
康	kʰɑ̃1	健~；~熙
糠	kʰɑ̃1	砻~爿：谷壳；~虾：小虾
慷	kʰɑ̃1	~慨
抗	kʰɑ̃3h	~议；对~
囥	kʰɑ̃5	藏（物品）
坑	kʰɑ̃5	~石：宋朝时一种殡葬的形式
炕	kʰɑ̃5	
戆	ɡɑ̃4	傻；~大：傻子
□	ɡɑ̃4	~牢：闭合得很好，中间没有空袭
□	hɑ̃1	喘气，急速呼吸
肮	ɑ̃1	~堂水：温水；~脏
行	ɑ̃2	银~；~书；米~；~当
绗	ɑ̃2	粗线条地缝制，使棉花与布连在一起，如：~被头/~尿布/~棉花絮
航	ɑ̃2	~船：运输用的船
杭	ɑ̃2	~州
降	ɑ̃2	投~
□	ɑ̃2	~弗住：受不了
昂	ɑ̃2	~首
巷	ɑ̃2	西山地名后缀，有“七村八巷”之称，如：陈~/杨~/蒋家~等；~门
□	ɑ̃5	投资，投入：~本钱
项	ɑ̃6	~链；~圈；~圈肉：猪脖子肉；~目24-31
江	ʨiɑ̃1	半壁~山
讲	ʨiɑ̃3	~话
腔	ʨʰiɑ̃1	~调：样子；像~：像样；江北~
框	ʨʰiɑ̃1	方~档：固定门闩的框子
旺	iɑ̃6	
养	iɑ̃4/6	~新妇：童养媳
光	kuɑ̃1	耳~；~棍；~屁股：裸体；辰~：时间
广	kuɑ̃3	~勺：舀水用的大勺子
□	kuɑ̃5	晃（碗里放水~一~）
框	kʰuɑ̃1	门~~：门框；木~~：木框
筐	kʰuɑ̃1	箩~22-22
旷	kʰuɑ̃3h	~工；~课
矿	kʰuɑ̃3h	~泉水；煤~
匡	kʰuɑ̃3h	赵~胤
眶	kʰuɑ̃3h	眼~22-41
狂	ɡuɑ̃2	~草
荒	huɑ̃1	逃~；“黄梅无雨大~年”
慌	huɑ̃1	
黄	huɑ̃1	蛋~
谎	huɑ̃3	说~；~言
晃	huɑ̃5	摇~
况	huɑ̃5	情~
逛	huɑ̃5	闲~
汪	uɑ̃1	
□	uɑ̃1	反正
黄	uɑ̃2	~颜色；~金；~酒；~落：不可靠；~伯伯：不可靠的人
簧	uɑ̃2	滩~：本地戏曲，有“四戏一滩~”之说
横	uɑ̃2	~山：西山地名；~竖：反正，有俗语“~竖~，拆牛棚”
蟥	uɑ̃2	蚂~
王	uɑ̃2	天~门口、禹~庙：西山地名
皇	uɑ̃2	~粮；~帝；~后
