星宿	ɕin1 ɕiɵu2	星星
扯淡 tsʰɛ3 tæ̃5 说不切题的话：要说就明说，不要~。
扯直 tsʰɛ3 tsɿ2 ①直截了当地：不要绕弯子，~说清楚就可以了。②拉直：把绳子~起。
扯火 tsʰɛ3 xo3 ①火炉里通风，火力旺盛：这炉子安逸，好~哟。②搭伙：我两个~做。
扯故 tʰɛ3 ku5 借故：她~不来了。
扯筋 tsʰɛ3 tɕin1 扯皮。
伸展 tsʰən1 tsæ̃3 ①平直：这条路还~。②平贴：衣服烫得~。②清楚，明白：把事情扯~了再来。
承头 tsʰən2 tʰɵu2 牵头负责：这些事还望着二哥~。
□ tsʰən3 ①用力压使紧缩：他~了满满的一碗饭。②按住：把他~倒不放。③支撑：你~倒走过来。④赶浪头抢购：这挑菜好，大家几法式就~完了。⑤赶热门：这几年都去~英语了，不得人搞俄语。
摛脚动手 tsʰɿ1 tɕio2 toŋ5 sɵu3 动手动脚。
吃喝皮 tsʰɿ2 xo1 pʰi2 白吃：他每天都来我们家~。
撮 tsʰo2 ①活动，钻营：他一天到处~。②用工具装：把渣渣~了。
嘈 tsʰɐɤ2 疯癫：你硬是~得很勒。
稠糊糊 tsʰɵu1 fu2 fu2 形容液体密度大而稠：米汤~的。
抻抖 tsʰən1 tʰɵu3 ①笔挺：他穿着很~。②清楚，明白：这件事搞~没？
昌盛 tsʰaŋ1 sən5 规矩：你给我~点。又作"逗（阴平）人作"。
叉巴 tsʰa1 pa1 言语行为不检点，多指女青年。又作"纤翻"。
冲壳子 tsʰoŋ1 kʰo2 tsɿ3 挑拨是非。
搓磨 tsʰo1 mo2 折磨：得人钱财，受人~。
踔 tsʰo2 ①走到（有贬义）：不晓得他是哪歇~来的。②到处活动，钻营：你一天东~西~的，~些哪样？③通过活动而得到（有贬义）：你的票是哪点~来的？
抽条 tsʰɵu1 tʰiɐɤ2 植物长嫩芽嫩枝。喻指孩子发育期迅速长个子：二妹~喽。瘦而高。
出脱 tsʰu2 tʰo2 ①丢掉：一笔生意遭他~了。②抵消：上盘我该你五十，这盘全总~。③死：他一病就~了。
杵 tsʰu3 戳：①拿棒棒~他一下。②盖印：~个章巴巴。③用言语顶撞：不要动不动就拿话~人。④直接面对：最好背开点，~倒反而不好讲话。
杵杵 tsʰu3 tsʰu3 ①短木棒，一般指失去主要构件后的工具的柄。②指找期使用而失去尖端的物品：毛管只剩下个~。③有时专指失指头的手。
吹脱 tsʰuei1 tʰo2 两相抵消：你不要我的钢笔，我也不要你的钱，~！
充狠 tsʰoŋ1 xən3 逞能，充内行：不要~，做不起就算了。
怂包 tsʰoŋ5 pɐɤ1 ①挑拨离间的人。②好出风头，好大喜功，其实又无多大本事的人：他不过是个~。
重三遍四 tsʰoŋ2 sæ̃1 piɛ̃5 sɿ5 重复同样的话：他这个人~的，不怕别人烦他。
怂嘴 tsʰoŋ5 tsuei3 搬弄是非，挑起矛盾：她这个就爱~。
冲 tsʰoŋ5 ①向上抬：头不要往上~。②人或植物迅速长高：这几个月二妹又~了一节。③将易燃物入火中使其旺盛：~根柴在火坑头。④添加：锅头~点水。⑤好出风头，好表现自己：这个人~得很，一点不谦逊。⑥刺激：大蒜~鼻子。
砂 sa1 ①用砂纸、砂布摩擦物体使其光滑：把家具~一下。②用锯子把木料解开：~几块板子。
沙声沙气 sa1 sən1 sa1 tɕʰi5 声音沙哑的样子：我~的，参加不倒合唱队。
煞角 sa2 ko2 ①最后剩下的：~生意。②结束，收尾：等这桩事~我再去做生意。③后来：~他去没有？④将剩下的全部买下：剩下这点菜我~了。
杀 sa2 跑、走：你又~到哪里去了。
杀贴 sa2 tʰi2 ①收捡：把东西~好再去吃饭。②整治：小心着人~。③帮忙：明天你到我家来~哈。
刹果 sa2 ko3 结果
梭 so1 溜：趁人不注意就~了。
梭边边 so1 piɛ̃1 piɛ̃1 逃避责任。
瘦筋囊壳 sɵu5 tɕin1 laŋ1 kʰo2 单薄瘦弱的样子。
水 suei3 ①马虎，不负责。②差。
水场合 suei3 tsʰaŋ2 xo2 不可靠。
三脚猫 sæ̃1 tɕio2 miɐɤ1 喻指喜欢东路西跑，不爱在家或单位久留的人：你找不到他，他是个~。
闪 sæ̃3 ①颤抖：上坡脚杆软，下坡脚杆~。②扭伤。下坡时，腰杆~着了。③脑子出差错。脑壳~得很，这个办法都没想出来。④受阻碍，受影响：你要抓紧学习，一点都~不得。⑤长形物体有幅度的颤动：一根扁担~悠悠。
闪脑壳 sæ̃3 lɐɤ3 kʰo2 考虑事情不周到的人。
梭不脱 so1 pu2 tʰo2 躲不过：你~了，终于逮倒你了。
搡 saŋ3 做脸色：你~起块脸给哪个看。
搧 sæ̃3 揍、打：不听话就~他两坨。
少保 sɐɤ5 pɐɤ5 多得很（常用在不服气、炫耀的语气中）：要说果树嘛，我家~的不是。
臊皮 sɐɤ5 pʰi2 ①丢面子：死都不怕，还怕~。②使难堪：拿个跟我过不去，我就臊他的皮。
身披 sən1 pʰei1 个头：你这个~好买衣服。
生拉活扯 sən1 la1 xo2 tsʰɛ3 ①强力拉扯。②牵强附会：~硬说李白是外国人。
神戮戮 sən2 tsʰo2 tsʰo2 言行举止有点怪异：他有点~的。
审倒审倒 sən3 tɐɤ3 sən3 tɐɤ3 ①试着试着的：~下脚，警防陷下去。②有节制地：~用，不要一下就用完了。
尸臭 sɿ1 tsʰɵu5 熟食放久变质后发出的气味：再不吃就要~了。
时黑 sɿ2 xə2 ①时常：这个娃儿~哭，一晚上都不得清静。②时而：~晴，~雨。
实打实 sɿ2 ta3 sɿ2 实实在在：我~的对你说，不同意这门亲事。
死崽了 sɿ3 tsæe3 la3 笃定没希望：你落到他手头，那就~了。
四眼落眍 sɿ5 iɛ̃3 lo2 kʰɵu1 人消瘦后眼珠深陷在眼眶里的样子：他病得~的。
是 sɿ5 全部的：~人都来了；~毛病都找了。
试倒 sɿ5 tɐɤ3 ①认为：我~你明天才来嘞。②觉得：我~身上不舒服。
收心 sɵu1 ɕin1 收敛情欲：老都老了，你还不~。
收拾 sɵu1 sɿ2 ①整理：~房间。②整治：找人~他。③打扮：这姑娘爱~。
手倒拐往里头拐 sɵu3 tɐɤ3 kuæe3 uaŋ3 li3 tʰɵu2 kuæe3 指偏向自己人。
手背 sɵu3 pei5 赌博等运气不好：这两天~，一打牌就输。
手气背 sɵu3 tɕʰi5 pei5
手气 sɵu3 tɕʰi5 赌博等方面的运气：今天~不好，输了几十块钱。
守嘴 sɵu3 tsuei3 因嘴馋而盯着别人吃东西：这个孩子太~了，大人们都不怎么喜欢他。
松和 soŋ1 xo2 ①轻松：这活路~。②病情减轻：他今天的病~多了。③容易：今天的题目我做起来好~。
水场合 suei3 tsʰaŋ2 xo2 （做事）马虎、不负责：他搞哪样都是~，靠不住的。
穰 zaŋ1 ①软而不结实：这种布有点~。②虚弱、无精神：他刚出院，身体有点~。③使人皮软：这种事，作起来~人得很。
热和 zæ̃2 xo1 暖和。
忍嘴 zən3 tsuei3 ①自己不吃或少吃，留下来给客人还有小孩吃。②常说："待客忍嘴"。
认人 zən5 zən2 ①讲交情：你当官了就不~啦。②幼儿只与熟人亲近：他不要你抱，有点~。
认生 zən5 sən1 小孩子怕见生人：这个孩子不~。
认床 zən5 tsʰuaŋ2 只在自己熟悉的床铺上睡觉：我一般不再外面睡觉，因为我有点~。
茸 zoŋ2 ①黏糊状：把蒜擂~点。②细碎：这挑米~了点。
日妈捣娘 zɿ3 ma1 lɐɤ3 niaŋ2 骂架时用下流话对方：一天~的，那个像欠了你的。
日鼓鼓 zɿ2 ku3 ku3 生气不与人交流的样子。
擂 luei2 ①捅、打：~你两坨。②揉搓：~糍粑。③反复交涉、纠缠：问题~了几天都没有搞成。
擩 zu1 ①揍：我~你两锭子。②塞、递：~他几块钱。③推拥：~他进派出所。④伸：把手~进荷包里。
擩zu2 ①揍：我~你两锭子。②塞、递：~他几块钱。③推拥：~他进派出所。④伸：把手~进荷包里。
耳巴 ɚ3 pa1 耳光：你再不听话，等哈我给你两~。
耳巴子 ɚ3 pa1 tsɿ3
耳屎 ɚ3 sɿ3 ①耳朵里的污垢。②耳光。
二冲二冲 ɚ5 tsʰoŋ5 ɚ5 tsʰoŋ5 好表现逞能的样子：又没多大本事还~的。
二回 ɚ5 xuei2 下次：~再这样，我就不依你。
押倒 ia2 tɐɤ3 强制：这些娃儿读书要有人~才行。
押 ia2 你~倒他去做。
眼水 iɛ̃3 suei3 ①眼力：~好，一见面就认出来我来拉。②眼界：这人~太浅，只看倒钱。
敥 iɛ̃5 撒放粉上状物于某物之上：路太滑，~点灰
央 iaŋ1 ①迁就：~倒点，二天还要找他办事。②维持住：~到场合。③调护：把身体~好了再去上班。④细心、小心：那钵要~到用。⑤从中部捆：把板子~好。⑥（并肩）挽搂博或楼腰：一个~起一个走。
佯张不睬 iaŋ2 tsaŋ1 pu2 tsʰæe3 爱里不里的样子：你去问他，他~的，傲得很。
妖精八怪 iɐɤ1 tɕin1 pa2 kuæe5 形容女子过分讲究穿戴：那一带的姑娘，个个~的。
牙精舌怪 ia2 tɕin1 sɿ2 kuæe5 拨弄是非，话说刻薄。
夜猫子 i5 mɐɤ1 tsɿ3 指睡得晚，深夜仍在活动的人。
衣包 i1 pɐɤ1 ①胎盘和胎膜的总称。②形容人像未成人的胎盘未入世，一般用于骂人的话：你这个~。
依还 i1 xæ̃2 依然：有福~在。
一下 i2 xa2 ①总共：~五个人。②全部：要走~走。③表动量一次：打~。④一会儿：你等~。
一发式 i2 fa2 sɿ5 突然一下：~就病了。
一家伙 i2 tɕia1 xo3 一鼓作气：不要拖了，~把它干完。
一根葱 i2 kən1 tsʰoŋ1 ①形容鼻子直而高：~的鼻子。②形容人很憨直。
倚老卖老 i1 lɐɤ3 mæe5 lɐɤ3 依仗年老而无理取闹。
以烂为烂 i3 læ̃5 uei2 læ̃5 破罐子破摔：你还是要学好，不要~。
阴 in1 工于心计但不外露，阴险：那人~得很，不会跟你讲哪样的。
阴倒 in1 tɐɤ3 ①沉默寡言：~点，少说为佳。②不公开，暗中背着干某事：~整人。
阴倒悄悄的 in1 tɐɤ3 tɕʰiɐɤ1 tɕʰiɐɤ1 ①沉默寡言：~点，少说为佳。②不公开，暗中背着干某事：~整人。
阴心 in1 ɕin1 不外露的心计，常用在"~重"这一短语中：那人~重，打不得交道。
赢 in2 ①及，赶上（作补语）：来得~。②胜过（作补语）：我说不~你。
引 in3 ①引导。②抚养：娃儿由奶奶~。③勾引：着人~去做坏事。④生（火）：火~不燃。
印印 in5 in5 脸上伤痕，器皿上的痕迹：脸上有个~。
□ in5 用量器量：~升米。
悠 iɵu1 ①纠缠：一天就把大人~倒起。②取笑、逗乐（多指对男女情爱）：去~他们两个。
油光水滑 iɵu2 kuaŋ1 suei3 xua1 形容毛色、面容等光滑润泽：这马长得~的。
无多八多 u2 to1 pa2 to1 多而失当。
凹眉凹眼 ua5 mei2 ua5 iɛ̃3 形容眼眶深陷的样子：她~的，不好看。
歪 uæe1 ①霸道，逞强：他这个人~得很，啥子事都不让人。②傲慢，神气：他这几年赚了点钱，该他~。③有时指走霉运，有点幸灾乐祸：这几年他运气不好，该他~。
崴 uæe3 ①扭伤：他把脚~倒起了。②左右摇晃：不要~来~去的。
外前 uæe5 tɕʰiɛ̃2 外面。又说成"外头"、"外边"。
弯 uæ̃1 ①使弯曲：~个粪夹。②滞留，缩：一天~在家头不出门。
旺 uaŋ5 称秤时秤杆翘起，表示足秤。
萎 uei1 情绪低落的样子：这两年他着人整~了。
萎妥妥 uei1 tʰo3 tʰo3 精神不振的样子：你看他那~的样子，哪里像个青年人。
卫护 uei5 xu5 袒护：要不是有人~，他又倒霉了。
焐 u2 ①用物覆盖使热：儿给我~脚。②加温使干：拿焐壶把尿~干。
无大八大 u2 ta5 pa2 ta5 很大。
屋毒 u2 tu2 狠毒，厉害：他~得很，没得哪个敢惹他。
越更 y2 kən 更加：糍粑越打~茸。
遇缘 y5 iɛ̃2 碰巧：真是~了，想不倒在这里会碰到他。
圆泛 iɛ̃2 fæ̃5 圆满周全：人家考虑问题就是~
圆不溜秋 iɛ̃2 pu1 liɵu1 tɕʰiɵu1 形容圆的样子：~的脑壳。
圆咕咕 iɛ̃2 ku1 ku1 圆溜溜的样子
齆鼻子 oŋ5 pi2 tsɿ3 因鼻塞而发音浑浊。
屙痢 o1 li5 ①痢疾腹泻。②吃（带贬义）：只知道~，不晓得做的家伙。③与"得"连用，指得到便宜（贬义）：你默倒又得~了。又如"哪个~了要打彪枪"。
屙屎屙尿 o1 sɿ3 o1 lɐɤ5 比喻每一件小事都要亲自去做：鬼老头，连~都要人帮。
饿痨痨 o5 lɐɤ2 lɐɤ2 十分饥饿的样子。
瓮热 oŋ5 zæ̃2 闷热：天气~得很。
瓮臭 oŋ5 tsʰɵu5 闷着臭。
齆声齆气 oŋ5 sən5 oŋ5 tɕʰi5 形容声音低沉含混不清：他说话~的。
