使用綠色的								#客	#客	#闽南		藍色是鸡老师抄的									
id	注释	单字	番禺市桥	天河石牌	花都炭步	从化吕田	增城荔城	花都梯面	白云太和	南沙东涌		番禺市橋	天河石牌	花都文崗	從化獅象	增城荔城	白雲人和	黃埔蘿崗	南沙黃閣		issame
607	三～，颗～	粒	lɐp5	lɐp5	lɐp5	lɐp5	nɐp5	lɛp32	liap21	liap5											
608	～水	浸	tʃɐm33	tʃɐm33	tʃɐm33	tɐm31	tʃɐm33	tsim55	ʦim51	tsim12											
609	～合，～体	集	tʃap2	tʃap2	tʃɐp2	tʃɐp5	tʃɐp2	tsʰip5	sip5	tsip5											
610	～肝，内～	心	ʃɐm55	ʃɐm53	ʃɐm55	ʃɐm53	ʃɐm55	sim34	sim33	sim33		ʃɐm55	ʃɐm53	ʃɐm55	ʃɐm53	ʃɐm55	ʃɐm53	ʃɐm55	ʃɐŋ55		1
611	～人	尋	tʃʰɐm31	tʃʰɐm21	tʃʰɐm21	tʰɐm22	tʃʰɐm21	tsʰim21	ʦʰim22	tsʰim55											
612	～底	沉	tʃʰɐm31	tʃʰɐm21	tʃʰɐm21	tʃʰɐm22	tʃʰɐm21	tsʰim21	tsʰim22	tim55											
613	人～	參		ʃɐm53	ʃɐm55	ʃɐm35	ʃam55	tsʰam34	siam33	sim33											
614	～线，～对	針	tʃɐm53	tʃɐm53	tʃɐm55	tʃɐm55	tʃɐm55	tsim34	ʧim33	tsam33											
615	～头[名]；～枕头[动]	枕	tʃɐm35	tʃɐm25	tʃɐm25	tʃɐm35	tʃɐm33	tsim42	tʃim31	tsim51											
616	菜～，果～	汁	tʃɐp5	tʃɐp5	tʃɐp5	tʃɐp5	tʃap5	tsip32	tʃip21	tsap21		tʃɐp55	tʃɐp55	tʃɐp55	tʃɐp55	tʃɐp55	tʃɐp55	tʃɐp55	tʃɐʋʔ55		番禺, 天河, 花都, 从化, 增城
617	～浅，～入	深	ʃɐm53	ʃɐm53	ʃɐm55	ʃɐm53	ʃɐm55	tsʰim34	tʃʰim33	tsʰim33											
618	姓；地名，～阳	沈	ʃɐm35	ʃɐm25	ʃɐm25	ʃɐm35	ʃɐm35	ʃim42	ʃim31	sim51											
619	潮～	濕	ʃɐp5	ʃɐp5	ʃɐp5	ʃɐp5	ʃap5	ʃip32	ʃip21	sip21											
620	数字	十	ʃɐp2	ʃap2	ʃɐp2	ʃɐp5	ʃɐp2	ʃip5	ʃip5	tsap5		ʃɐp22	ʃɐp22	ʃɐp22	ʃɐp22	ʃɐp2	ʃɐp22	ʃɐp22	ʃɐʋʔ31		番禺, 天河, 花都, 从化
621	姓；责～，～何	任	jɐm22	jɐm31	jɐm32	zɐm31	jɐm31	ɡim55	ŋim51	zim35											
622	～门，进～	入	jɐp2	jɐp2	jɐp2	zɐp5	jɐp2	ɡip5	ŋip5	zip5		jɐp22	jɐp22	jɐp22	zɐp22	jɐp22	jɐp22	jɐp22	jɐʋʔ31		番禺, 天河, 花都, 从化, 增城
623	～银	金	kɐm55	kɐm55	kɐm55	kɐm53	kɐm55	kim34	kim33	kim33		kɐm53	kɐm53	kɐm55	kɐm53	kɐm55	kɐm53	kɐm55	kɐŋ55		番禺, 天河
624	～绣，～旗	錦	kɐm35	kɐm25	kɐm25	kɐm35	kɐm35	kim42	kim31	kim51											
625	～止	禁	kɐm33	kɐm33	kɐm33	kɐm33	kɐm33	kʰim55	kim51	kim35											
626	心～	急	kɐp5	kɐp5	kɐp5	kɐp5	kɐp5	kip32	kip21	kip21		kɐp55	kɐp55	kɐp55	kɐp55	kɐp55	kɐp55	kɐp55	kɐʋʔ55		番禺, 天河, 花都, 从化, 增城
627	～别，年～	級	kʰɐp5	kʰɐp5	kʰɐp5	kʰip5	kʰɐp5	kʰip32	kʰip21	kʰip21											
628	～差，～佩	欽	jɐm53	jɐm55	jɐm55	zɐm55	jɐm55	jim34	kʰim33	kʰim33											
629	弹～	琴	kʰɐm31	kʰɐm21	kʰɐm21	kʰɐm22	kʰɐm21	kʰim21	kʰim22	kʰim55											
630	～时	及	kʰɐp2	kɐp2		kɐp35	kʰɐp2	kʰip5	kʰip5	kip21											
631	呼～，～引	吸	kʰɐp5	kʰɐp5	kʰɐp5	kʰip5	kʰɐp5	kʰip32	kʰip21	kʰip21											
632	～天	陰	jɐm53	jɐm53	jɐm55	zɐm53	jɐm55	jim34	im33	im33											
633	～料	飲	jɐm35	jɐm25	jɐm25	zɐm35	jɐm35	ɡim42	im31	im51											
634	～独	單	tan55	taŋ53	tan55	tan53	tan55	tan34	tan33	tuã33											
635	元～，花～	旦	tan33	taŋ33	tan33	tan33	tan31	tʰan55	tan51	taŋ22											
636	分～，～开，摆～	攤	tʰan55		tʰan55	han53	tʰan55	tʰan34	tʰan33	tʰuã33											
637	烧～	炭	tʰan33	tʰaŋ33	tʰan33	han31	tʰan33	tʰan55	tʰan51	tʰuã12											
638	～琴	彈	tʰan31	tʰaŋ21	tan32		tʰan21	tʰan21	tʰan22	tʰaŋ55											
639	发～，～到	達	tat2	tak2	tɐt2	tat2	tat2	tʰat5	tʰat5	tak5											
640	困～	難	lan31	laŋ21	lan21	nan22	nan21	lan21	lan22	naŋ55											
641	撇～	捺	lat3	lak2	lɐt2	lat3	lat2	lat5	lai51												
642	～花	蘭	lan31	laŋ21	lan21	lan22	lan21	lan21	lan22	laŋ55											
643	懒惰，～尸	懶	lan13	laŋ34	lan34	lan33	lan13	lan34	lan33	tuã35											
644	灿～，腐～	爛	lan22	laŋ22	lan32	lan22	lan31	lan55	lan51	nĩ55											
645	～椒	辣	lat2	lak2	lɐt2	lat2	lat2	lat5	lat5	hiam33		lat22	lak22	lɐt22	lat22	lak22	lat22	lak22	lak31		番禺, 天河, 花都, 从化, 增城
646	称～，～助	贊	tʃan33	tʃaŋ33	tʃan33	tʃan33	tʃan33	tsan55	tsan51	tsaŋ12											
647	～车，快～	餐	tʃʰan55	tʃʰaŋ55	tʃʰan55	tʰan53	tʃʰan55	tsʰɔn34	tsʰuɔn33	tsʰaŋ33											
648	～废	殘	tʃʰan31	tʃʰaŋ21	tʃʰan21	tʃʰan22	tʃʰan21	tsʰan21	tsʰan22	tsʰaŋ55											
649	药～	散	ʃan35	ʃaŋ25	ʃan55	ʃan35	ʃan35	san42	san31	suã12		ʃan35	ʃaŋ25	ʃan55	ʃan35	ʃaŋ35	ʃan231	ʃaŋ35	ʃaŋ25		增城
650	分～，解～	散	ʃan35	ʃaŋ33	ʃan33	ʃan35	ʃan35	san55	san51	suã12		ʃan35	ʃaŋ25	ʃan55	ʃan35	ʃaŋ35	ʃan231	ʃaŋ35	ʃaŋ25		天河, 花都, 增城
651	烘～，饼～	亁	kɔn53	kɔŋ53	kɔn55	tʃau53	kœŋ55	kɔn34	kɔn33	kuã33											
652	追～	趕	kɔn35	kɔŋ25	kɔn25	kan35	kœŋ35	kɔn42	kɔn31	kuã51											
653	～部，才～	幹	kɔn33	kɔŋ33	kɔn33	kɔn33	kœŋ55	kɔn55	kɔn51	kaŋ12											
654	～禾（割稻）	割	kɔt3	kut3	kɔt3	kak3	kœk3	kɔt32	kɔt21	kuaʔ21		kɔt33	kut33	kɔt33	kat33	kœk33	kœk33	kut33	kɔk33		番禺, 天河, 花都, 从化, 增城
655	看见	看	hɔn33	hɔŋ53	hɔn55	hiɛ35	hœŋ33	kʰɔn55	kʰɔn51	koĩ51											
656	口渴；～望	渴	hɔt3	hut3	hɔt3	hat3	hœk3	hɔt32	hɔt21	kʰuaʔ21		hɔt33	hut33	hɔt33	hat33	hœk33	hœk33	hɔt33	hɔk33		番禺, 天河, 花都, 从化, 增城
657	口～，两～	岸	ɔn22	ɔŋ33	ŋɔn32	ŋɔn31	ŋœŋ31	ɔn55	ŋan51	ŋaĩ35		ɔn22	ɔŋ33	ŋɔn32	ŋɔn31	ŋœŋ31	ŋœŋ31	ɔn41	ɔŋ31		1
658	大～，～流	寒	hɔn31	hɔŋ21	hɔn21	hɔn22	hœŋ21	hɔn21	hɔn22	haŋ55		hɔn31	hɔŋ21	hɔn21	hɔn22	hœŋ21	hœŋ21	hɔn21	hɔŋ21		1
659	出～，～马功劳	汗	hɔn22	hɔŋ31	hɔn32		hœŋ31	hɔn55	hɔn51	kuã22		hɔn22	hɔŋ31	hɔn32	hɔn22	hœŋ31	hœŋ31	hɔn41	hɔŋ31		
660	公～，～全	安	ɔn53	ŋɔŋ53	ŋɔn55	ŋɔn53	œŋ55	ɔn34	ɔn33	aŋ33		ɔn53	ŋɔŋ53	ŋɔn55	ɔn53	œŋ55	œŋ53	ɔn55	ɔŋ55		从化
661	～件，档～	案	ɔn33	ɔŋ33	ŋɔn33	ɔn33	œŋ33	ɔn55	ɔn51	uã12		ɔn33	ɔŋ33	ŋɔn33	ɔn33	œŋ33	œŋ33	ɔn33	ɔŋ23		1
662	打～	扮	pan22	paŋ22	pʰan33	pan31	pan31	pʰan55	pʰan51	paŋ35											
663	数字	八	pat3	paŋ22	pɐt3	pat3	pak3	pat32	pat21	poit21		pat33	pak33	pɐt33	pat33	pak33	pat33	pak33	pak33		番禺, 天河, 花都, 从化, 增城
664	～事	辦	pan22	paŋ31	pan32	pan31	pan31	pʰan55	pan51	paĩ33											
665	～河，选～	拔	pɐt2	pɐt2	pɐt2	pat3	pak2	maŋ34	pʰat5	puap5		pɐt22	pɐt22	pɐt22	pat33	pak22	pɐt22	pɐt22	pɐk31		番禺, 天河, 花都, 从化, 增城
666	灯～（灯）	盞	tʃan35	tʃaŋ25	tʃan25	tʃan35	tʃan35	tsan42	tsan31												
667	～紧，驻～	紮	tʃat3	tʃak3	tʃɐt3	tʃat3	tʃak3	tsat32	tsat21	tsak21											
668	～草	鏟	tʃʰan35	tʃʰaŋ25	tʃʰan25	tʃʰan35	tʃʰan35	tsʰan42	tsʰan31	tsʰaŋ51											
669	观～	察	tʃʰat3	tʃʰak3	tʃʰɐt3	tʃʰat3	tʃʰak3	tsʰat32	tsʰat21	tsʰak21											
670	山	山	ʃan53	ʃaŋ53	ʃan55	ʃan53	ʃan55	san34	san33	suã33		ʃan53	ʃaŋ53	ʃan55	ʃan53	ʃaŋ55	ʃan53	ʃaŋ55	ʃaŋ55		增城
671	生～	產	tʃʰan35	tʃʰaŋ25	tʃʰan25	tʃʰan35	tʃʰan35	tsʰan42	tsʰan31	suã51											
672	～人，自～	殺	ʃat3	ʃak3	ʃɐt3	ʃat3	ʃak3	sat32	sat21	suaʔ21											
673	房～，中～	間	kan55	kaŋ55	kan55	kan55	kan55	kan34	kan33	kaĩ33											
674	挑选	揀	kan35	kaŋ25	kan25	kiɛn35	kan35	kiam42	kan31	kaĩ51											
675	双～皮	眼	an13	ŋaŋ34	ŋan34	ŋiɛn35	ŋan13	ɡan42	ŋan31	mak5											
676	～事，空～	閑	han31	haŋ21	han21	han22	haŋ21	han21	han22	aĩ55											
677	期～，～制	限	han22	haŋ22	han32	han31	haŋ21	han55	han51	haŋ35											
678	上～	班	pan55	paŋ55	pan55	pan55	paŋ55	pan34	pan33	paŋ33											
679	黑～，石～	板	pan35	paŋ25	pan25		paŋ35	pan42	pan31	paĩ51											
680	不听话；野～	蠻	man31	maŋ21	man21	man22	maŋ21	man21	man22	maŋ33											
681	～车	慢	man22	maŋ22	man32	man31	maŋ31	man55	man51	maŋ22											
682	姓；～色	顏	an31	ŋaŋ21	ŋan21	ŋan22	ŋaŋ21	ɡan21	ŋan22	ŋaŋ33											
683	大～	雁	an22	ŋaŋ22	ŋan32	ŋan31	ŋaŋ31	ɡan21	ŋan51	ŋaŋ35		an22	ŋaŋ22	ŋan32	ŋan31	ŋaŋ31	ŋan31	aŋ41	aŋ31		1
684	～目	瞎	hɐt2	maŋ21	hɐt2	maŋ22		maŋ21	hat5												
685	～化，改～	變	pin33	pin33	pin33	piɛn33	pin33	pɛn55	pian51	piaŋ12											
686	甲鱼	鼈	pit2	pit2	pit3	piɛt5	pit2		piat5												
687	一～文章	篇	pʰin53	pin25	pʰin55	pʰiɛn55	pʰin55	pʰɛn34	pʰian33	pʰiaŋ33											
688	～宜	便	pʰin31	pin31	pin32	piɛn31	pʰin21	pʰɛn55	pʰian22	piaŋ35											
689	分～，～别	辨	pin22	pin31	pin32	piɛn31	pin31	pɛn55	pian51	pĩ33											
690	方～	便	pin22	pin31	pin32	pʰiɛn22	pin31	pʰɛn55	pʰian51	piaŋ35											
691	离～，分～	別	pit2	pit2	pit2	piɛt3	pit2	pɛt5	pʰiat5	piat5											
692	～花	棉	min31	min21	min21	miɛn22	min21	mɛn21	mian22	mĩ55		min31	min21	min21	miɛn22	min21	miɛn21	min21	miŋ21		1
693	难～，～除	免	min13	min34	min34	miɛn33	min13	mɛn34	mian33	miaŋ51		min13	min34	min34	miɛn33	min13	miɛn231	min13	miŋ23		1
694	～子	面	min22	min21	min32	miɛn35	min31	mɛn55	mian51	miŋ22		min22	min21	min32	miɛn35	min31	miɛn31	min41	miŋ31		1
695	消～，～亡	滅	mit2	mit2	mit2	miɛt2	mit2	mɛt5	miat5	miãt5											
696	～系；对～	聯	lyn31	lyn21	lyn21	liɛn22	lœŋ21	lɛn21	lian22	liaŋ55											
697	～士，热～	烈	lit2	lit2	lit2	liɛt2	lit2	lɛt5	liat5	liak5											
698	～药，～鱼	煎	tʃin53	tʃin53	tʃin55	tiɛn53	tʃin55	tsin34	tsian33	tsiaŋ33											
699	～刀	剪	tʃin35	tʃin25	tʃin25	tiɛn35	tʃin35	tsɛn42	tsian31	tsiaŋ51											
700	射～	箭	tʃin33	tʃin33	tʃin33	tiɛn33	tʃin33	tsɛn55	tsian51	tsĩ12											
701	深～	淺	tʃʰin35	tʃʰin25	tʃʰin25	tʰiɛn35	tʃʰin35	tsʰɛn42	tsʰian31	tsʰiaŋ51											
702	～财	錢	tʃʰin31	tʃʰin21	tʃʰin21	tʰiɛn35	tʃʰin21	tsʰɛn21	tsʰian22	tsĩ55											
703	下～，～人	賤	tʃin22	tʃin31	tʃin32	tʰiɛn33	tʃin31	tsʰɛn55	tsʰian51	tsiaŋ35											
704	神～	仙	ʃin55	ʃin55	ʃin55	ʃiɛn53	ʃin55	sɛn34	sian33	siaŋ33											
705	发～（生癣）	癬	ʃin35	ʃin25	ʃin25	ʃiɛn35	ʃin35	sɛn42	sian31	siaŋ51											
706	～索	線	ʃin33	ʃin33	ʃin33	ʃiɛn33	ʃin33	sɛn55	sian51	suã12											
707	开～，发～	展	tʃin35	tʃin25	tʃin25	tʃiɛn35	tʃin35	tsɛn42	tsian31	tsiaŋ51		tʃin35	tʃin25	tʃin25	tʃiɛn35	tʃin35	tʃiɛn231	tʃin35	tʃiŋ25		1
708	～退	撤	tʃʰit3	tʃʰit3	tʃʰit3	tʃʰiɛt3	tʃʰit3	tsʰɛt32	tsʰiat5												
709	纠～，～线	纏	tʃin22	tʃʰin21	tʃin33	tʃʰiɛn22	tʃʰin21	tsʰɛn21	tsʰian22	tsʰiaŋ55											
710	～斗	戰	tʃin33	tʃin33	tʃin33	tʃiɛn33	tʃin33	tsɛn55	tsian51	tsiaŋ12											
711	～断，打～	折	tʃit3	tʃit3	tʃit3	tʃiɛt3	tʃit3	tʃat32	tsiat21	tsiʔ21		tʃit33	tʃit33	tʃit33	tʃiɛt33	tʃit33	tʃiɛt33	tʃit33	tʃit33		番禺, 天河, 花都, 从化, 增城
712	舌头	舌	ʃit3	ʃit3	ʃit3			ʃɛt5	siat5	tsiʔ5		ʃit33	ʃit33	ʃit33			/	ʃit33	ʃik33		
712	舌头	脷				li31	lei31														
713	～计，建～	設	tʃʰit3	tʃʰit3	tʃʰit3	tʃʰiɛt3	tʃʰit3	tsʰɛt32	siat21	siak21											
714	～良，心～	善	ʃin22	ʃin31	ʃin32	ʃiɛn31	ʃin31	ʃɛn55	sian51	siaŋ55											
715	～后，居～	然	jin31	jin21	jin21	ziɛn22	jin21	jɛn21	ian22	iaŋ55		jin31	jin21	jin21	ziɛn22	jin21	jiɛn21	jin21	jiŋ21		1
716	冷～，～情	熱	jit2	jit2	jit2	ŋiɛt2	jit2	ɡɛt5	ŋiat5	zuaʔ5											
717	～坤，～隆	乾	kʰin31	kʰim21	kʰim21	kʰiɛn22	kʰin21	kʰɛn21	kʰian22	kʰiŋ55											
718	事～	件	kin35	kin34	kin32	kʰiɛn31	kin31	kʰɛn55	kʰian51	kiã35		kin35	kin34	kin32	kʰiɛn31	kin31	kiɛn231	kin41	kiŋ31		1
719	～出	傑	kit2	kit2	kit2	kiɛt3	kit2	kɛt32	kʰiat5	kiak5											
720	～长，～安	延	jin31	jin21	jin21	ziɛn22	jin21	jɛn21	ian22	ŋiaŋ55		jin31	jin21	jin21	ziɛn22	jin21	jiɛn21	jin21	jiŋ21		1
721	～员，表～	演	jin35	jin25	jin25	ziɛn35	jin35	jaŋ42	in31	iaŋ51											
722	～设	建	kin33	kin33	kin33	kyɛn33	kin33	kɛn55	kian51	kiaŋ35											
723	～发，～露	揭	kʰit3	kʰit3	kʰit3	kʰiɛt3	kʰit3	kʰɛt32	kʰiat21	kiʔ21											
724	语～	言	jin31	jin21	jin21	ziɛn22	jin21	ji34	ŋian22	ŋuaŋ55		jin31	jin21	jin21	ziɛn22	jin21	jiɛn21	jin21	jiŋ21		1
725	贡～	獻	hin33	hin33	hin33	hiɛn33	hin33	ʃɛn55	hian51	hiaŋ12											
726	～夜（过夜）	歇	hit3	hit3	kʰit3	kʰiɛt3	kʰit3	tʰɛu42	hiat21			hit33	hit33	kʰit33	kʰiɛt33	kʰit33	hiɛt33	kʰit33	hik33		番禺, 天河, 花都, 从化, 增城
727	～疆，旁～	邊	pin55	pin53	pin55	piɛn35		pɛn34	pian33	piaŋ33											
728	圆扁	扁	pin35	pin25	pin25	piɛn35	pin35	pɛn42	pian31	piaŋ51											
729	一～，～面	片	pʰin33	pʰin33	pʰin33	pʰiɛn33	pʰin33	pʰɛn42	pʰian51	pʰiaŋ12											
730	～捺，～开	撇	pʰit3	pʰit3	pʰit3	pʰiɛt3	pʰit3	pʰɛt32	pʰiat5	pʰiak21											
731	～倒	顛	tin53	tin53	tin55	tiɛn55	tin55	tɛn34	tian33	tiaŋ33											
732	～型，词～	典	tin35	tin25	tin25	tiɛn35	tin35	tɛn42	tian31	tiaŋ51											
733	～才	天	tʰin53	tʰin53	tʰin55	hiɛn53	tʰin55	tʰɛn34	tʰian33	tʰiaŋ33		tʰin53	tʰin53	tʰin55	hiɛn53	tʰin55	tʰiɛn53	tʰin55	tʰiŋ55		1
734	～皮	鐵	tʰit3	tʰit3	tʰit3	hiɛt3	tʰit3	tʰɛt32	tʰiat21	tʰiʔ21											
735	种～	田	tʰin31	tʰin21	tʰin21	hiɛn22	tʰin21	tʰɛn21	tʰian22	ʦʰaŋ55		tʰin31	tʰin21	tʰin21	hiɛn22	tʰin21	tʰiɛn21	tʰin21	tʰiŋ21		1
736	触～，～灯	電	tin22	tin22	tin32	tiɛn31	tin31	tʰɛn55	tʰian51	tiaŋ35											
737	～钱，座～	墊	tin35	tin25	tin32	hiɛp5	tin31	tɛn55	tian51	tiaŋ35											
738	过～	年	lin31	nin21	lin21	niɛn22	nin21	ɡɛn21	nian22	nĩ55		lin31	lin21	lin21	liɛn22	nin21	niɛn21	lin21	liŋ21		天河, 从化
739	以指尖捏取小面积	捏	lip2	nin34	lip2	niɛn35	mit5	lɛt32	niat5	nĩʔ5											
740	～习，熟～	練	lin22	nin21	lin32	niɛn31	lin31	lɛn55	lian51	liaŋ22											
741	推～	薦	tʃin33	tʃin33	tʃin33		tʃin33	tsʰun21	tsian51	tsĩ12											
742	～约，竹～	節	tʃit3	tʃit3	tʃit2	tiɛt3	tʃit3	tsɛt32	tsiat21	tsak21											
743	～万	千	tʃʰin53	tʃʰin53	tʃʰin55	tʰiɛn53	tʃʰin55	tsʰɛn34	tsʰian33	ʦʰaĩ33											
744	～菜	切	tʃʰit3	tʃʰit3	tʃʰit3	tʰiɛt3	tʃʰit3	tsʰɛt32	tsʰiat21	tsoiʔ5		tʃʰit33	tʃʰit33	tʃʰit33	tʰiɛt33	tʃʰit33	tʃʰiɛt33	tʃʰit33	tʃʰik33		番禺, 天河, 花都, 从化, 增城
745	～断	截	tʃit2	tʃit2	tʃit2	tʃiɛt2	tʃit3	tsɛt5	tsʰiat5	tsoiʔ5		tʃit22	tʃit22	tʃit22	tʃiɛt22	tʃit33	tʃit22	tʃit33	tʃik31		番禺, 天河, 花都, 从化, 增城
746	祖～，～进，～生	先	ʃin53	ʃin53	ʃin55	ʃiɛn53	ʃin55	sɛn34	sian33	saĩ33											
747	～人，～识	見	kin33	kin33	kin33	kiɛn33	kin33	kɛn55	kian51	kĩ12											
748	～白，清～	潔	kit3	kit3	kit3	kiɛt3	kit2	kɛt32	kiat21	kiak21											
749	～牛花	牽	hin53	hin53	hin55	hiɛn53	hin55	kʰɛn34	kʰian33	kʰaŋ33											
750	～究	研	jin31	jin21	jin21	ziɛn22	jin21	jɛn21	ŋan22	ŋiaŋ33											
751	明～	顯	hin35	hin25	hin25	hiɛn35	hin35	ʃɛn42	ʃian51	hiaŋ51											
752	～惠，圣～	賢	jin31	jin21	jin21	ziɛn22	jin21	sɛn21	ʃian22	hiaŋ55											
753	～在，出～	現	jin33	jin33	jin33	ziɛn31	jin21	ʃɛn55	ʃian51	hiaŋ35											
754	冒～	煙	jin53	jin55	jin55	ziɛn53	jin55	jɛn34	ian33	eŋ33											
755	燕子，～窝	燕	jin33	jin33	jin33	ziɛn33	jin33	jɛn55	ian51	ĩ12											
756	～运	搬	pun53	pun53	pun55	pun53	pœŋ55	pan34	pan33	puã33											
757	一～，～日	半	pun33	pun33	pun33	pun33	pœŋ33	pan55	pan51	puã12											
758	花～（花盆），衣～	鉢	put3	put3	put3	pat3	pœt2	pat32	pat21	puaʔ5											
759	姓	潘	pʰun53	pʰun53	pʰun55	pʰun55	pʰœŋ55	pʰan34	pʰan33	pʰuã33											
760	～断，审～	判	pʰun33	pʰun33	pʰun33	pʰun33	pʰœŋ33	pʰaŋ55	pʰan51	pʰuaŋ12											
761	～水；泼辣	潑	pʰut3	pʰut3	pʰut3		pʰek3	pʰat5	pɔt21	puak5											
762	算～	盤	pʰun31	pʰun21	pʰun21	pʰan22	pʰœŋ21	pʰan21	pʰan22	puã55											
763	～徒，背～	叛	pun22	pun31	pun32	pun31	pœŋ31	pʰan55	pʰan51												
764	～意	滿	mun13	mun34	mun34	man35	mœŋ13	ban34	man33	muã51											
765	～尾	末	mut2	mut2	mut2	mut2	mœt2	but5	mɔt5	muaʔ5		mut22	mut22	mut22	mut22	mut22	mut22	mut22	muk31		番禺, 天河, 花都, 从化, 增城
766	长～	短	tyn35	tyn25	tyn25	tɔn35	tœŋ35	tɔn42	tɔn31	to51		tyn35	tyn25	tyn25	tɔn35	tœŋ35	tyn231	tyn35	tyŋ25		1
767	～鞋，摆～	脫	tʰyt3	tʰyt3	kʰyt3	hɔt3	tʰœt33	tʰɔt32	tɔt21	tʰuk21											
768	～结，～长	團	tʰyn31	tʰyn21	tʰyn21	tʰɔn22	tʰœŋ21	tʰɔn21	tʰɔn22	tʰuaŋ55											
769	线断了[白]	斷	tyn22	tʰyn34	tʰyn34	hɔn33	tœŋ31	tʰɔn34	tʰɔn33	tuaŋ35											
770	姓；阶～	段	tyn22	tyn31	tyn32	tɔn31	tœŋ31	tʰɔn55	tʰɔn51	tuaŋ22											
771	～取	奪	tyt2	tyt2	tyt2	tɔt3	tœt2		tʰɔt5	toʔ5											
772	冷～	暖	lyn13	lyn34	lyn34	lɔn33	nœŋ13	lɔn34	lɔn33	nuaŋ35		lyn13	lyn34	lyn34	lɔn33	nœŋ13	nyn231	lyn13	lyŋ23		1
773	鸡～（鸡蛋），～生	卵	løn35	lœn25	løn25	tʃʰɐn35	lœŋ35	tsʰɔn34	lɔn31	nəŋ35											
774	混～	亂	lyn22	lyn21	lyn32	lɔn31	lœŋ31	lyn42	lɔn51	luaŋ35											
775	捋袖子	捋	lyt2	lyt2	lyt2	liɛp5	lœt2	lu21	lut21	luk5											
776	电～[名]，～石	鑽	tʃyn33	tʃyn55	tʃyn33	tʃyɛn33	tʃin55	tsɔn55	tsɔn51	tsəŋ35											
777	一～毛	撮	tʃʰyt3	tʃʰyt3	tʃʰyt3	tʃɐp5	tʃʰɐp5	tsɛp32	tsep21	tsuk21											
778	～甜	酸	ʃyn53	ʃyn53	ʃyn55	ʃɔn53	ʃœŋ55	sɔn34	sɔn33	səŋ33											
779	大蒜，蒜头	蒜	ʃyn33	ʃyn33	ʃyn34	ʃɔn33	ʃœŋ33	sɔn55	sɔn51	səŋ12											
780	～司，当～	官	kun53	kun53	kun55	kɔn53	kun55	kɔn34	kɔn33	kuã33		kun53	kun53	kun55	kɔn53	kuŋ55	kun53	kun55	kuŋ55		增城
781	～理，气～	管	kun35	kun25	kun25	kɔn35	kun35	kɔn42	kɔn31	kuaŋ51											
782	～溉	灌	kun33	kun33	kun33	kɔn33	kun33	kɔn55	kɔn51	kuaŋ12											
783	包～	括	kʰut3	kʰut3	kʰut3	kʰɔt3	kʰœt3	kʰɔt32		kʰuak21											
784	～松	寬	fun53	fun53	fun55	fɔn53	fun55	kʰɔn34	kʰɔn33	kʰuaŋ33											
785	汇～，拨～	款	fun35	fun25	fun25	fɔn35	fun35	fun42	fun31	kʰuaŋ51											
786	开～	闊	fut3	fut3	fut3	fɔt3	hut3	fat32	fat21	kʰuaʔ21											
787	～具，游～	玩	wan35	waŋ25	wan25	van35	waŋ35	kau42	ŋan51	səŋ51											
788	喜～，～喜	歡	fun53	fun53	fun55	fɔn55	hun55	fɔn34	fɔn33	huã33											
789	肉～，药～	丸	jyn35	jyn25	jyn25	zyɛn35	jin35	jɛn21	ian22	ĩ55											
790	交～[文]	換	wun22	wun21	wun32	vun31	hun31	fɔn55	vɔn51	huã22											
791	生～	活	wut2	wut2	wut2	vut2	hut2	fat5	fɔt5	huaʔ5		wut22	wut22	wut22	vut22	wut22	wut22	wut22	wuk31		番禺, 天河, 花都, 从化, 增城
792	饭～	碗	wun35	wun25	wun25	vun35	wun35	vɔn42	vɔn31	uã51		wun35	wun25	wun25	vun35	wuŋ35	wun231	wun35	wuŋ25		增城
793	～固，～皮	頑	wan31	waŋ21	wan21	ŋan22	ŋan21	van21	ŋan22	ŋuaŋ55											
794	地～，～稽	滑	wat2	wak2	wɐt2	vak2	wak2	vat5	vat5	kuk5											
795	～掘[文]	挖	wat3	wak3	wɐt3	vat3	wa55	vat32	vat21	kuk5											
796	～门，海～	關	kuan53	kuaŋ53	kuan55	kan53	kuaŋ55	kan34	kan33	kuaŋ33											
797	～毛，搜～	刮	kuat3	kuak3	kuɐt3	kak3	kuak3	kat32	kat21	kueʔ21		kuat33	kuak33	kuɐt33	kat33	kuak33	kuat33	kuak33	kuak33		番禺, 天河, 花都, 从化, 增城
798	～钱[白]	還	wan31	waŋ21	wan21	van22	waŋ21	van21	van22	haĩ55											
799	～境	環	wan31	waŋ21	wan21	van22	waŋ21	van21	van22	huaŋ55											
800	转～	彎	wan55	waŋ53	wan55	van55	waŋ55	van34	van33	uaŋ33											
801	～爱	戀	lyn35	lyn25	lyn25	lyɛn35	lœŋ35	lyn34	lian51	nuaŋ51											
802	～质，恶～	劣	lyt2	lyt2	lyt2	lyɛt2	lœt2	tsʰa34	lɔt21	niak5											
803	～部，安～	全	tʃʰyn31	tʃʰyn21	tʃʰyn21	tʃʰyɛn22	tʃʰœŋ21	tsʰɔn21	ʦʰɔn22	tsʰuaŋ55		tʃʰyn31	tʃʰyn21	tʃʰyn21	tʃʰyɛn22	tʃʰœŋ21	tʃʰyn21	tʃʰyn21	tʃʰyŋ21		1
