漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
箸	筷子	tʃʰy⁴³	tsʰi⁵⁵	kʰu⁵⁵	kʰu⁴⁴	tsʰə⁴⁵
助		tsʰu⁴³	tsʰu⁵⁵	─	tsʰɿ⁴⁴	tsʰu⁴⁵
處	處所	tʃʰy²⁴	tsʰi²⁴	kʰu⁴⁵	kʰu⁵⁵	tsʰu³¹³
庶		─	su²⁴	─	─	─
署	專署	ʃy³¹	─	─	ʃɿ²⁴	su³¹³
薯		ʃy¹³	si²¹	ʃɿ²¹	ʃɿ²¹	sə¹¹³
據		ki²⁴	ki²⁴	ku⁴⁵	ku⁵⁵	kiəu³¹³
鋸		kɤ²⁴	ke²⁴	ku⁴⁵	ku⁵⁵	kə³¹³
去		kʰɤ²⁴	kʰu²⁴	kʰu⁴⁵	kʰu⁵⁵	hə³¹³
禦		─	i⁵⁵	─	─	─
譽		y⁴³	i⁵⁵	─	ʒɿ⁴⁴	i⁵³
預		y⁴³	i⁵⁵	─	ʒɿ⁴⁴	iəu⁴⁵
豫		y⁴³	i⁵⁵	─	─	─
夫		fu³³	fu³³	─	fu²²	fu³⁵³
膚		fu³³	fu³³	─	fu²²	fu³⁵³
敷		fu³³；fu¹³	─	─	─	fu³⁵³
俘		fu¹³	fu⁵⁵	─	─	─
孵		pʰu⁴³	pʰu⁵⁵	pʰu⁵⁵	pʰu⁴⁴	pʰu⁴⁵
符		fu¹³	fu²¹	fu²¹；pʰu²¹	fu²¹；pʰu²¹	fu¹¹³
扶		pʰu¹³~起來；fu¹³~養	pʰu²¹	─	─	pʰu¹¹³
芙		fu¹³	fu²¹	fu²¹	fu²¹	fu¹¹³
無		mɑɔ¹³；vu¹³	mau²¹	bo²¹	bo²¹	mau¹¹³
巫		bu¹³	bu²¹	─	─	bu¹¹³
誣		vu³³	─	─	─	─
須		ʃy³³	si³³	ʃi³³~ʃɿ³³	ʃi²²~ʃɿ²²	siəu³⁵³
鬚		ʃy³³	si³³	si³³	si²²	siəu³⁵³
需		ʃy³³	si³³	ʃi³³~ʃɿ³³	ʃi²²~ʃɿ²²	siəu³⁵³
誅		tʃy³³	─	─	─	tsu³⁵³
蛛		─	─	─	─	tsu³⁵³
株		─	─	─	ku²²	─
