"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"扱"	"扱"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"㛼"	"㛼"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"㷅"	"㷅"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"喢"	"喢"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"𤜯"	"𤜯"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"插"	"插"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"閘"	"闸"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"翣"	"翣"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"啑"	"啑"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"帹"	"帹"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"翜"	"翜"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䬊"	"䬊"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"㘝"	"㘝"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㗙"	"㗙"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㑳"	"㑳"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"笝"	"笝"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"魶"	"魶"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"臘"	"腊"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"臈"	"臈"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"䶘"	"䶘"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"鑞"	"镴"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"蠟"	"蜡"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"䗶"	"䗶"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"擸"	"擸"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"搚"	"搚"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"邋"	"邋"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㿴"	"㿴"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"𩭆"	"𩭆"	"tæ̠ʔ˧"	"表示女生下垂的編好的頭髮，同（耷）"	"t"	"æ̠ʔ"	"˧"
"耷"	"耷"	"tæ̠ʔ˧"	"可表示女生下垂的編好的頭髮，同（𩭆）"	"t"	"æ̠ʔ"	"˧"
"矺"	"矺"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"笚"	"笚"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"䓠"	"䓠"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"褡"	"褡"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"䪚"	"䪚"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"郟"	"郟"	"t͡ɕi̯æ̠ʔ˧"	""	"t͡ɕ"	"i̯æ̠ʔ"	"˧"
"筴"	"筴"	"t͡ɕi̯æ̠ʔ˧"	""	"t͡ɕ"	"i̯æ̠ʔ"	"˧"
