汉字	注释	豫灵	灵宝	三门峡	渑池	洛阳	新安	巩义	荥阳	郑州	中牟	开封	兰考	济源	孟州	温县	武陟	原阳	封丘	长垣	濮阳	范县	台前
北		pei⁵²	pei⁵³	peɪ̃⁵³	pei⁴⁴	pei³⁴	pei²⁴	pei³⁵	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pəʔ²³/pei⁴⁴	pei³²	pɐʔ³/pei⁴⁴	pɐʔ⁴	pei²⁴	pei³⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴
墨		mei⁴⁴	mei⁵³	meɪ̃⁵³	mei⁴⁴	mei³⁴	mei²⁴	mei³⁵	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mɐʔ²³/mə̃n⁴⁴	muo³²	mɐʔ³	mɐʔ⁴/mei⁴⁴	mei²⁴	mei³⁴	mei²⁴	mei²⁴	mei²⁴/muə²⁴	mei²⁴/muə²⁴
得		tei³¹	tɤ⁵³	tɛ⁵³	tɤ⁴⁴	tai³⁴	tai²⁴	tei³⁵	tɛ²⁴	tᴇ²⁴	tᴇ²⁴	tɛ⁵³	tɛ²⁴	tɐʔ²³	tɤ³²	tɐʔ³	tɐʔ⁴	tɛ²⁴	tɛ³⁴	tɛ²⁴	tɛ²⁴	tɛ²⁴	tə²⁴
特		tʰɤ⁴⁴	tʰɤ⁵³	tʰɛ⁵³	tʰɤ⁴⁴	tʰai³⁴	tʰai²⁴	tʰei³⁵	tʰɛ²⁴	tʰᴇʔ²⁴	tʰᴇ²⁴	tʰɛ²⁴	tʰɛ²⁴	tʰɐʔ²³	tʰɤ³²	tʰɐʔ³	tʰɐʔ⁴	tʰɛ⁵²	tʰɛ⁵²	tʰɛ⁵²	tʰə³¹²	tʰə³¹²	tʰə³¹²
贼		ʦʰei²⁴	ʦʰei¹¹⁴	ʦeɪ̃⁴¹²	ʦei⁵³	ʦei⁵³	ʦei⁵³	ʦei⁵³	ʦei⁵³	ʦei⁵³	ʦei⁵³⁴	ʦei⁵³	ʦei⁵³⁴	ʦei³¹²	tsei⁵²	tsei³¹²	ʦei³¹²	ʦei⁵²	ʦei⁵²	ʦei⁵²	ʦei⁵³⁴	ʦei⁵²	ʦei⁵³
塞		sei³¹	sɤ⁵³	sɛ⁵³	sɛ⁴⁴	sai³⁴/sai³¹	sei²⁴/sai⁵¹	sɛ³⁵/sɛ³¹	sai²⁴	sᴇʔ²⁴	sᴇ²⁴	sɛ²⁴	sɛ²⁴	sɐʔ²³/sɛ⁴⁴	sɛ³²	sɐʔ³	sɐʔ⁴	sɛ²⁴	sɛ³⁴	sɛ²⁴	sɛ²⁴	sei²⁴	sɛ²⁴
刻		kʰɤ⁴⁴	kʰɤ⁵³	kʰuə⁵³	kʰɤ⁴⁴	kʰai³⁴/kʰə³⁴	kʰai²⁴/kʰə²⁴	kʰɛ³⁵/kʰə³⁵	kʰɛ²⁴	kʰᴇ²⁴	kʰᴇ²⁴	kʰɛ²⁴	kʰɛ²⁴	kʰɐʔ²³	kʰɤ³²	kʰʌʔ³	kʰɐʔ⁴	kʰɛ²⁴	kʰɛ³⁴	kʰɛ²⁴	kʰɛ²⁴	kʰei²⁴/kʰə²⁴	kʰə²⁴
黑		xei³¹	xɯ⁵³	χɯ	xɯ⁴⁴	xɯ³⁴	xɯ²⁴	xɯ³⁵	xɛ²⁴	xᴇˀ²⁴	xᴇ²⁴	xɛ²⁴	xɛ²⁴	xəʔ²³	xɤ³²	xəʔ³	xəʔ⁴	xɯ²⁴	xɛ³⁴	xɛ²⁴	xɛ²⁴	xei²⁴	xɛ²⁴
冰		piŋ³¹	piŋ⁵³	piəŋ⁵³	piŋ⁴⁴	piəŋ³⁴	piəŋ²⁴	piəŋ³⁵	piəŋ²⁴	piəŋ²⁴	piəŋ²⁴	piəŋ²⁴	piəŋ²⁴	piəŋ⁴⁴	piəŋ²⁴	piəŋ⁴⁴	piəŋ⁴⁴	piəŋ²⁴	piəŋ³⁴	piəŋ²⁴	piəŋ²⁴	piəŋ²⁴	piəŋ²⁴
证		tʂəŋ⁴⁴	tʂəŋ²⁴	tʂəŋ²¹³	tʂəŋ³¹	tʂəŋ³¹	tʂəŋ⁵¹	tʂəŋ³¹	tʂəŋ³¹	tʂəŋ³¹	tʂəŋ³¹²	tʂəŋ³¹²	ʦəŋ³¹²	tʂəŋ²⁴	tʂəŋ³¹¹	ʦəŋ²¹³	tʂəŋ¹³	tʂəŋ³¹	tʂəŋ³¹²	tʂəŋ²¹²	ʧiəŋ³¹²/tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ³¹²
秤		tʂʰəŋ⁴⁴	tʂʰəŋ²⁴	tʂʰəŋ²¹³	tʂʰəŋ³¹	tʂʰəŋ³¹	tʂʰəŋ⁵¹	tʂʰəŋ³¹	tʂʰəŋ²⁴/tʂʰəŋ³¹	tʂʰəŋ²⁴/tʂʰəŋ³¹	tʂʰəŋ²⁴/tʂʰəŋ³¹²	tʂʰəŋ³¹²	ʦʰəŋ³¹²	tʂʰəŋ²⁴	tʂʰəŋ³¹¹	ʦʰəŋ²¹³	tʂʰəŋ⁴⁴	tʂʰəŋ³¹	tʂʰəŋ³¹²	tʂʰəŋ²¹²	ʧʰiəŋ³¹²/tʂʰəŋ³¹²	tʂʰəŋ³¹²	tʂʰəŋ³¹²
绳		ʂəŋ²⁴	ʂəŋ¹¹⁴	ʂəŋ⁴¹²	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³⁴	ʂəŋ⁵³	səŋ⁵³⁴	ʂəŋ³¹²	ʂəŋ⁵²	ʂəŋ³¹²	ʂəŋ³¹²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵³⁴	ʂəŋ⁵²	ʂəŋ⁵³
剩		ʂəŋ⁴⁴	ʂəŋ²⁴	ʂəŋ²¹³	ʂəŋ³¹	ʂəŋ³¹	ʂəŋ⁵¹	ʂəŋ³¹	ʂəŋ³¹	ʂəŋ³¹	ʂəŋ³¹²	ʂəŋ³¹²	səŋ³¹²	ʂəŋ²⁴	ʂəŋ³¹¹	ʂəŋ²¹³	ʂəŋ¹³	ʂəŋ³¹	ʂəŋ³¹²	ʂəŋ²¹²	ʃiəŋ³¹²/ʂəŋ³¹²	ʂəŋ³¹²	ʂəŋ³¹²
升		ʂəŋ³¹	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁴⁴	ʂəŋ³⁴	ʂəŋ²⁴	ʂəŋ³⁵	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	səŋ²⁴	ʂəŋ⁴⁴	ʂəŋ²⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ²⁴	ʂəŋ³⁴	ʂəŋ²⁴	ʃiəŋ²⁴/ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴
兴		ɕiŋ⁴⁴	ɕiŋ⁵³	ɕiəŋ²¹³	ɕiŋ³¹	ɕiəŋ³¹	ɕiəŋ⁵¹	ɕiəŋ³¹	ɕiəŋ²⁴	ɕiəŋ²⁴	ɕiəŋ²⁴	ɕiəŋ³¹²	ɕiəŋ²⁴	ɕiəŋ²⁴	ɕiəŋ³¹¹	ɕiəŋ²¹³	ɕiəŋ¹³	ɕiəŋ³¹	ɕiəŋ³¹²	ɕiəŋ²¹²	ɕiəŋ³¹²	ɕiəŋ³¹²	ɕiəŋ³¹²
蝇		iŋ²⁴	iŋ¹¹⁴	iəŋ⁴¹²	iŋ⁵³	iəŋ⁵³	iəŋ⁵³	iəŋ⁵³	iəŋ⁵³	iəŋ⁵³	iəŋ⁵³⁴	iəŋ⁵³	iəŋ⁵³⁴	iəŋ³¹²	iəŋ⁵²	iəŋ³¹²	iəŋ³¹²	iəŋ⁵²	iəŋ⁵²	iəŋ⁵²	iəŋ⁵³⁴	iəŋ⁵²	iəŋ⁵³
逼		pi³¹	pei⁵³	pi⁵³	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi²⁴	pi²⁴	pi²⁴	pi⁵³	pi⁵³⁴	piəʔ²³	pi³²	piəʔ³	piəʔ⁴	pi²⁴	pi³⁴	pi²⁴	pi²⁴	pi²⁴	pi²⁴
力		li³¹	li⁵³	li⁵³	li³¹	li³⁴	li²⁴	li³⁵	li²⁴	li²⁴	li²⁴	li²⁴	li²⁴	liəʔ²³	li³²	liəʔ³	liəʔ⁴	li²⁴	li³⁴	li²⁴	li²⁴	li²⁴	li²⁴
息		ɕi³¹	ɕi⁵³	ɕi⁵³	ɕi⁴⁴	si³⁴	si²⁴	si³⁵	si²⁴	si²⁴	si²⁴	ɕi²⁴	ɕi²⁴	ɕiəʔ²³	ɕi³²/ɕi²⁴	ɕiəʔ³	ɕiəʔ⁴	si²⁴	si³⁴	si²⁴	si²⁴	si²⁴	ɕi²⁴
直		tʂʅ²⁴	tʂʅ¹¹⁴	tʂʅ⁴¹²	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁵³⁴	tʂʅ⁵³	ʦɿ⁵³⁴	tʂəʔ²³/tʂʅ³¹²	tʂʅ³²	tʂəʔ³/tʂʅ³¹²	tʂəʔ⁴	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	ʧi⁵³⁴/tʂʅ⁵³⁴	tʂʅ⁵²	tʂʅ⁵³
侧		ʦʰɤ⁴⁴	ʦɤ¹¹⁴/ʦʰɤ¹¹⁴	ʦʰɛ⁵³/ʦɛ⁴¹²	ʦʰɤ⁵³	ʦai³⁴/ʦʰai³⁴	ʦʰai²⁴	ʦʰɛ³⁵	tʂɤ⁵³	tʂᴇˀ⁵³/ʦʰᴇˀ²⁴	tʂɛ⁵³⁴	tʂɛ⁴⁴/ʦʰɛ²⁴	ʦɛ⁴⁴/ʦʰɛ²⁴	ʦɐʔ²³/ʦʰɐʔ²³	ʦʰɤ³²	ʦʰɐʔ³/tsɐʔ³	tʂɐʔ⁴	ʦʰɛ²⁴	tʂʰɛ³⁴	tʂɛ⁵²/tʂʰɛ²⁴	tʂɛ⁵³⁴/ʦʰɛ²⁴	tʂei²⁴/ʦʰə³¹²	tʂɛ⁵³/ʦʰɛ²⁴
测		ʦʰɤ⁴⁴	ʦʰɤ⁵³	ʦʰɛ⁵³	ʦʰɤ⁴⁴	ʦʰai³⁴	ʦʰai²⁴	ʦʰɛ³⁵	ʦʰɤ²⁴	ʦʰᴇˀ²⁴	ʦʰᴇ²⁴	ʦʰɛ²⁴	ʦʰɛ²⁴	ʦʰɐʔ²³	ʦʰɤ³²	ʦʰɐʔ³	tsʰɐʔ⁴	ʦʰɛ²⁴	ʦʰɛ³⁴	ʦʰɛ²⁴	tʂʰɛ²⁴	ʦʰə²⁴	tʂʰɛ²⁴
色		sei³¹	sɤ⁵³	sɛ⁵³	sɛ⁴⁴	sai³⁴	sai²⁴	sɛ³⁵	ʂai²⁴/sɤ²⁴	ʂᴇʔ²⁴	sɛʔ²⁴	sɛ²⁴	sɛ²⁴	sɐʔ²³	sɤ³²	sɐʔ³	sɐʔ⁴	ʂɛ²⁴/sɤ²⁴	ʂɛ³⁴	ʂɛ²⁴	sɛ²⁴	ʂei²⁴	sɛ²⁴
织		tʂʅ³¹	tʂʅ⁵³	tʂʅ⁵³	tʂʅ⁴⁴	tʂʅ³⁴	tʂʅ²⁴	tʂʅ³⁵	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	ʦɿ²⁴	tʂəʔ²³	tʂʅ³²	tʂəʔ³	tʂəʔ⁴	tʂʅ²⁴	tʂʅ³⁴	tʂʅ²⁴	ʧi²⁴/tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴
食		ʂʅ²⁴	ʂʅ¹¹⁴	ʂʅ⁴¹²	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁵³⁴	ʂʅ⁵³	sɿ⁵³⁴	ʂəʔ²³	ʂʅ³²	ʂəʔ³	ʂəʔ⁴	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʃi⁵³⁴/ʂʅ⁵³⁴	ʂʅ⁵²	ʂʅ⁵³
式		ʂʅ⁴⁴	ʂʅ⁵³	ʂʅ⁵³	ʂʅ³¹	ʂʅ³¹	ʂʅ⁵¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹²	ʂʅ³¹²	sɿ³¹²	ʂəʔ²³	ʂʅ³²	ʂəʔ³	səʔ⁴	ʂʅ³¹	ʂʅ³¹²	ʂʅ²¹²	ʂʅ²⁴	ʂʅ³¹²	ʂʅ²⁴
极		ʨi²⁴	ʨi¹¹⁴	tɕi⁵³	ʨi⁵³	ʨi⁵³	ʨi⁵³	ʨi⁵³	ʨi⁵³	ʨi⁵³	ʨi²⁴	ʨi⁵³	ʨi⁵³⁴	ʨiəʔ²³	ʨi³²	ʨiəʔ³	ʨiəʔ⁴	ʨi²⁴	ʨi³⁴	ʨi²⁴	tɕi⁵³⁴	tɕi⁵²	ʨi⁵³
国		kuɤ²⁴	kuɤ⁵³	kuə⁵³	kuo⁵³	kuə³⁴	kuə²⁴	kuɛ³⁵	kuɛ²⁴/kuɤ²⁴	kuᴇ²⁴/kuə²⁴	kuᴇ²⁴/kuə²⁴	kuɛ²⁴/kuo²⁴	kuɛ²⁴	kuɐʔ²³	kuɛ³²/kuo³²	kuɐʔ³	kuɑʔ⁴	kuɛ²⁴/kuə²⁴	kuɛ³⁴/kuɔ³⁴	kuɛ²⁴/kuə²⁴	kuɛ²⁴/kuə²⁴	kuə⁵⁵	kuɛ²⁴/kuə²⁴
或		xuɤ⁴⁴	xuɤ¹¹⁴	xuɛ⁴¹²	xuo⁵³	xuai³¹	xuai⁵¹/xuə⁵¹	xuɛ³¹	xuai⁵³	xuai⁵³	xuai⁵³⁴/xuə⁵³⁴	xuai³¹²	xuɛ⁵³⁴	xuɐʔ²³	xuo³²	xuɐʔ³	xuɑʔ⁴	xuɛ⁵²	xuɛ⁵²	xuɛ⁵²	xuɛ⁵³⁴/xuei⁵³⁴	xuei⁵²	xuɛ⁵³/xuei⁵³⁴
猛		məŋ⁵²	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁵²	məŋ⁴⁴	məŋ⁵³	məŋ⁵³	məŋ³³	məŋ⁴⁴	məŋ⁴⁴	məŋ⁵⁵	məŋ⁵⁵	məŋ⁴⁴
打		ta⁵²	ta⁴⁴	ta⁴⁴	tɒ̃⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta³³	ta⁴⁴	ta⁴⁴	ta⁵²	ta⁴⁴	ta⁵³	ta⁵³	ta³³	ta⁴⁴	ta⁴⁴	ta⁵⁵	ta⁵⁵	ta⁴⁴
冷		ləŋ⁵²	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁵²	ləŋ⁴⁴	ləŋ⁵³	ləŋ⁵³	ləŋ³³	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁵⁵	ləŋ⁵⁵	ləŋ⁴⁴
生		səŋ³¹	səŋ⁵³	səŋ⁵³	ʂəŋ⁴⁴	səŋ³⁴	ʂəŋ²⁴	səŋ³⁵	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	səŋ²⁴	ʂəŋ⁴⁴	ʂəŋ²⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	səŋ²⁴	ʂəŋ³⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴
省		səŋ⁵²	səŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁵²	ʂəŋ⁴⁴	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ³³	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁵⁵	ʂəŋ⁵⁵	ʂəŋ⁴⁴
更		kəŋ³¹	kəŋ⁵³	kəŋ⁵³	kəŋ⁴⁴	kəŋ³⁴	kəŋ²⁴	kəŋ³⁵	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	ʨiəŋ²⁴/kəŋ²⁴	kəŋ²⁴	kəŋ⁴⁴	kəŋ²⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ²⁴	kəŋ³⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴/ʨiəŋ²⁴	kəŋ²⁴
梗		kəŋ⁵²	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ³³	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁵²	kəŋ⁴⁴	kəŋ⁵³	kəŋ⁵³	kəŋ³³	kəŋ⁴⁴	kəŋ⁴⁴	kəŋ⁵⁵	kəŋ⁵⁵	kəŋ⁴⁴
坑		kʰəŋ³¹	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁴⁴	kʰəŋ³⁴	kʰəŋ²⁴	kʰəŋ³⁵	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ⁴⁴	kʰəŋ²⁴	kʰəŋ⁴⁴	kʰəŋ⁴⁴	kʰəŋ²⁴	kʰəŋ³⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴
硬		ȵiŋ⁴⁴	ȵiŋ²⁴	ȵiəŋ²¹³	ȵiŋ³¹	ɣəŋ³¹	ɣəŋ⁵¹	ɣəŋ³¹	ɣəŋ³¹/iəŋ³¹	ɣəŋ³¹/iəŋ³¹	ɣəŋ³¹²	əŋ³¹²/iəŋ³¹²	ɣəŋ³¹²/iəŋ³¹²	ɣəŋ²⁴/iəŋ²⁴/ȵiəŋ²⁴	iəŋ³¹¹	ȵiəŋ²¹³/ŋəŋ²¹³	ɣəŋ¹³	ɣəŋ³¹/iəŋ³¹	ɣəŋ³¹²/iəŋ³¹²	ɣəŋ²¹²/iəŋ²¹²	ɣəŋ³¹²/iəŋ³¹²	iəŋ³¹²	ɣəŋ³¹²/iəŋ³¹²
行		ɕiŋ²⁴	ɕiŋ¹¹⁴	ɕiəŋ⁴¹²	ɕiŋ⁵³	ɕiəŋ⁵³	ɕiəŋ⁵³	ɕiəŋ⁵³	ɕiəŋ⁵³	ɕiəŋ⁵³	ɕiəŋ⁵³⁴	ɕiəŋ⁵³	ɕiəŋ⁵³⁴	ɕiəŋ³¹²	ɕiəŋ⁵²	ɕiəŋ³¹²	ɕiəŋ³¹²	ɕiəŋ⁵²	ɕiəŋ⁵²	ɕiəŋ⁵²	ɕiəŋ⁵³⁴	ɕiəŋ⁵²	ɕiəŋ⁵³
百		pei⁵²	pei⁵³/pɛ⁵³	pɛ⁵³	pɛ⁴⁴	pai³⁴	pai²⁴	pɛ³⁵	pɛ²⁴	pᴇʔ²⁴	pᴇ²⁴	pɛ²⁴	pɛ²⁴	pɐʔ²³	pɛ⁴⁴/pʰɛ²⁴	pɐʔ³	pɐʔ⁴	pɛ²⁴	pɛ³⁴	pɛ²⁴	pɛ²⁴	pei²⁴	pɛ²⁴
拍		pʰie³¹	pʰie⁵³/pʰɛ⁵³	pʰɛ⁵³	pʰɛ⁴⁴	pʰai³⁴	pʰai²⁴	pʰɛ³⁵	pʰɛ²⁴	pʰᴇʔ²⁴	pʰᴇ²⁴	pʰɛ²⁴	pʰɛ²⁴	pʰɐʔ²³	pʰɛ³²	pʰɐʔ³	pʰɐʔ⁴	pʰɛ²⁴	pʰɛ³⁴	pʰɛ²⁴	pʰiɛ²⁴/pʰɛ²⁴	pʰei²⁴	pʰiɛ²⁴/pʰɛ²⁴
白		pʰie²⁴	pʰie¹¹⁴/pʰɛ¹¹⁴	pʰɛ⁴¹²/pɛ⁴¹²	pʰɛ⁵³	pai⁵³	pai⁵³	pɛⁱ⁵³	pɛ⁵³	pᴇ⁵³	pᴇ⁵³⁴	pɛ⁵³	pɛ⁵³⁴	pɛ³¹²	pɛ³²	pɐʔ³	pɛ³¹²	pɛ⁵²	pɛ⁵²	pɛ⁵²	pɛ⁵³⁴	pei⁵²	pɛ⁵³
拆		ʦʰei³¹	ʦʰɤ⁵³	ʦʰɛ⁵³	ʦʰɛ⁴⁴	ʦʰai³⁴	ʦʰai²⁴	ʦʰɛ³⁵	tʂʰɛ²⁴	tʂʰᴇʔ²⁴	tʂʰᴇ²⁴	tʂʰɛ²⁴	ʦʰɛ²⁴	ʦʰɐʔ²³	ʦʰɛ³²	ʦʰɐʔ³	tʂʰɐʔ⁴	ʦʰɛ²⁴	tʂʰɛ³⁴	tʂʰɛ²⁴	ʧʰiɛ²⁴/tʂʰɛ²⁴	tʂʰei²⁴	ʨʰiɛ²⁴/tʂʰɛ²⁴
择		ʦʰei³¹	ʦʰɤ¹¹⁴	ʦɛ⁴¹²	ʦʰɛ⁵³	ʦai⁵³	ʦai⁵³	ʦɛⁱ⁵³	tsɛ⁵³	tsᴇ⁵³	tsᴇ⁵³⁴	tʂɛ⁵³	ʦɛ⁵³⁴	ʦɐʔ²³/ʦɛ³¹²	ʦɤ³²/ʦɛ³²	ʦɐʔ³/ʦɛ³¹²	tʂɐʔ⁴	ʦɛ⁵²	tʂɛ⁵²	tʂɛ⁵²	tʂɛ⁵³⁴	tʂei⁵²	tʂɛ⁵³
窄		ʦei³¹	ʦɤ⁵³	ʦɛ⁵³	ʦɛ⁴⁴	ʦai³⁴	ʦai²⁴	ʦɛ³⁵	tʂɛ²⁴	tʂᴇˀ²⁴	tʂᴇ²⁴	tʂɛ²⁴	ʦɛ²⁴	ʦɐʔ²³	tsɛ³²	tsɐʔ³	ʦɐʔ⁴	ʦɛ²⁴	tʂɛ³⁴	tʂɛ²⁴	tʂɛ²⁴	tʂei²⁴	tʂiɛ²⁴/tʂɛ²⁴
格		kei³¹	kɤ⁵³	kuə⁵³	kɛ⁵³	kai³⁴/kə³⁴	kai²⁴/kə²⁴	kɛ³⁵/kə³⁵	kɛ²⁴	kᴇˀ²⁴	kᴇ²⁴	kɤ²⁴	kɤ²⁴	kɐʔ²³	kɤ³²	kɐʔ³	kɐʔ⁴	kɛ²⁴/kə²⁴	kɛ³⁴/kɤ³⁴	kɛ²⁴/kə²⁴	kɛ²⁴	kə²⁴	kɛ²⁴
客		kʰɤ³¹	kʰie⁵³/kʰɤ⁵³	kʰɛ⁵³	kʰɛ⁴⁴	kʰai³⁴	kʰai²⁴	kʰɛ³⁵	kʰɛ²⁴/kʰə²⁴	kʰᴇʔ²⁴/kʰə²⁴	kʰᴇ²⁴/kʰə²⁴	kʰɤ²⁴	kʰɛ²⁴	kʰɐʔ²³	kʰɤ³²	kʰɐʔ³	kʰɐʔ⁴	kʰɛ²⁴/kə²⁴	kʰɛ³⁴/kʰə³⁴	kʰɛ²⁴/kʰə²⁴	kʰɛ²⁴	kʰei²⁴	kʰɛ²⁴
额		ŋei³¹	ŋɛ⁴⁴	ŋɛ⁴⁴/ȵiɛ⁵³	ŋɛ⁴⁴	ɣai⁵³	ɣai⁵³	ɣɛⁱ⁵³	ɣə²⁴	ɣᴇʔ²⁴	ɣᴇ⁵³⁴	ɣɤ⁴⁴	ɣɛ²⁴	ɣɤ³¹²	ɣɤ³²	ɣɐʔ³	ɣə²⁴	ɣɛ²⁴	ɣɛ³⁴	ɣɛ²⁴	ɣɛ⁵³⁴/ɣə²⁴	ɣei⁵⁵	ɣɛ⁵³
棚		pʰəŋ²⁴	pʰəŋ¹¹⁴	pʰəŋ⁴¹²	pʰəŋ⁵³	pʰəŋ⁵³	pʰəŋ⁵³	pʰəŋ⁵³	pʰəŋ⁵³	pʰəŋ⁵³	pʰəŋ⁵³⁴	pʰəŋ⁵³	pʰəŋ⁵³⁴	pʰəŋ³¹²	pʰəŋ⁵²	pʰəŋ³¹²	pʰəŋ³¹²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵³⁴	pʰəŋ⁵²	pʰəŋ⁵³
争		ʦəŋ³¹	ʦəŋ⁵³	ʦəŋ⁵³	ʦəŋ⁴⁴	ʦəŋ³⁴	ʦəŋ²⁴	ʦəŋ³⁵	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	ʦəŋ²⁴	tʂəŋ⁴⁴	tʂəŋ²⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	ʦəŋ²⁴	tʂəŋ³⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴
耕		kəŋ³¹	kəŋ⁵³	kəŋ⁵³	kəŋ⁴⁴	kəŋ³⁴	kəŋ²⁴	kəŋ³⁵	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ⁴⁴	kʰəŋ²⁴	kʰəŋ⁴⁴	kəŋ⁴⁴	kəŋ²⁴	kəŋ³⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴
麦		mei³¹	mie⁵³	mɛ⁵³	mɛ⁴⁴	mai³⁴	mai²⁴	mɛ³⁵	mɛ²⁴	mᴇʔ²⁴	mᴇ²⁴	mɛ²⁴	mɛ²⁴	mɐʔ²³	mɛ³²	mɐʔ³	mɐʔ⁴	mɛ²⁴/mai²⁴	mɛ³⁴	mɛ²⁴	mɛ²⁴	mei²⁴	mɛ²⁴
摘		ʦei³¹	ʦɤ⁵³	ʦɛ⁵³	ʦɛ⁴⁴	ʦai³⁴	ʦai²⁴	ʦɛ³⁵	tʂɛ²⁴	tʂᴇʔ²⁴	tʂᴇ²⁴	tʂɛ²⁴	ʦɛ²⁴	ʦɐʔ²³	ʦɛ³²	ʦɐʔ³	ʦɐʔ⁴	ʦɛ²⁴	tʂɛ³⁴	tʂɛ²⁴	tʂɛ²⁴	tʂei²⁴	tʂɛ²⁴
策		ʦʰei³¹	ʦʰɤ⁵³	ʦʰɛ⁵³	ʦʰɛ⁴⁴	ʦʰai³⁴	ʦʰai²⁴	ʦʰɛ³⁵	tʂʰe²⁴/ʦʰɛ²⁴	tʂʰə²⁴/ʦʰᴇʔ²⁴	tʂʰᴇ²⁴	ʦʰɛ²⁴	tsʰɛ²⁴	ʦʰɐʔ²³	ʦʰɤ³²	ʦʰɐʔ³	tʂʰɐʔ⁴	ʦʰɛ²⁴	ʦʰɛ³⁴/ʦʰɤ³⁴	ʦʰɛ²⁴	tʂʰɛ²⁴	tʂʰei²⁴	tʂʰɛ²⁴
