字	罗马字	拟音	注
塍	cheing[2]	tʃeŋ[2]	
情	cheing[2]	tʃeŋ[2]	
正	cheing[5]	tʃeŋ[5]	2弃邪归~
静	cheing[6]	tʃeŋ[6]	安~
净	cheing[6]	tʃeŋ[6]	
清	ch'eing[1]	tʃʰeŋ[1]	
请	ch'eing[3]	tʃʰeŋ[3]	2～求
胜	seing[1]	seŋ[1]	~任
星	seing[1]	seŋ[1]	
□	seing[1]	seŋ[1]	生～：生锈
鍟	seing[1]	seŋ[1]	校补便于匹配：生～：生锈
剩	seing[2]	seŋ[2]	～余
成	seing[2]	seŋ[2]	3赞～
诚	seing[2]	seŋ[2]	
胜	seing[5]	seŋ[5]	～利
姓	seing[5]	seŋ[5]	2
性	seing[5]	seŋ[5]	2～别
圣	seing[5]	seŋ[5]	2～水
剩	seing[6]	seŋ[6]	
盛	seing[6]	seŋ[6]	丰~
均	keing[1]	keŋ[1]	
钧	keing[1]	keŋ[1]	~座
茎	keing[1]	keŋ[1]	
京	keing[1]	keŋ[1]	
竞	keing[1]	keŋ[1]	~争
经	keing[1]	keŋ[1]	2念~，已~
琼	keing[2]	keŋ[2]	
敬	keing[5]	keŋ[5]	
颈	keing[6]	keŋ[6]	
胫	keing[6]	keŋ[6]	
径	keing[6]	keŋ[6]	
倾	k'eing[1]	kʰeŋ[1]	
庆	k'eing[5]	kʰeŋ[5]	
兴	heing[1]	heŋ[1]	复~
兄	heing[1]	heŋ[1]	2
形	heing[2]	heŋ[2]	
刑	heing[2]	heŋ[2]	
兴	heing[5]	heŋ[5]	高～
因	∅eing[1]	ʔeŋ[1]	
姻	∅eing[1]	ʔeŋ[1]	
鹰	∅eing[1]	ʔeŋ[1]	
英	∅eing[1]	ʔeŋ[1]	~俊
婴	∅eing[1]	ʔeŋ[1]	
仍	∅eing[2]	ʔeŋ[2]	
盈	∅eing[2]	ʔeŋ[2]	
应	∅eing[5]	ʔeŋ[5]	动词
荣	being[2]	weŋ[2]	
咏	being[6]	weŋ[6]	
疫	peic[8]	pek[8]	鼠~
璧	p'eic[7]	pʰek[7]	
癖	p'eic[7]	pʰek[7]	
适	teic[7]	tek[7]	1的~确
滴	teic[7]	tek[7]	
掷	teic[8]	tek[8]	
踢	t'eic[7]	tʰek[7]	
栗	leic[7]	lek[7]	
质	cheic[7]	tʃek[7]	体~
织	cheic[7]	tʃek[7]	
职	cheic[7]	tʃek[7]	2
积	cheic[7]	tʃek[7]	
迹	cheic[7]	tʃek[7]	2
迹	cheic[7]	tʃek[7]	
绩	cheic[7]	tʃek[7]	
戚	cheic[7]	tʃek[7]	亲~。不送气音
寂	cheic[8]	tʃek[8]	
漆	ch'eic[7]	tʃʰek[7]	
膝	ch'eic[7]	tʃʰek[7]	
脊	ch'eic[7]	tʃʰek[7]	
蟋	seic[7]	sek[7]	~蟀
失	seic[7]	sek[7]	
室	seic[7]	sek[7]	
息	seic[7]	sek[7]	
媳	seic[7]	sek[7]	
识	seic[7]	sek[7]	
惜	seic[7]	sek[7]	2可~
释	seic[7]	sek[7]	
锡	seic[7]	sek[7]	
晰	seic[7]	sek[7]	
击	keic[7]	kek[7]	
激	keic[7]	kek[7]	
极	keic[8]	kek[8]	
隙	k'eic[7]	kʰek[7]	
吃	k'eic[7]	kʰek[7]	～亏
逆	ngeic[8]	ŋek[8]	2~风
溢	∅eic[7]	ʔek[7]	
益	∅eic[7]	ʔek[7]	
逸	∅eic[8]	ʔek[8]	
翼	∅eic[8]	ʔek[8]	2
译	∅eic[8]	ʔek[8]	
易	∅eic[8]	ʔek[8]	交-
液	∅eic[8]	ʔek[8]	
崩	poung[1]	poŋ[1]	
枋	poung[1]	poŋ[1]	厚木板
房	poung[2]	poŋ[2]	
榜	poung[3]	poŋ[3]	
放	poung[5]	poŋ[5]	1~假
蜂	p'oung[1]	pʰoŋ[1]	
篷	p'oung[2]	pʰoŋ[2]	帆
缝	p'oung[2]	pʰoŋ[2]	裁~
蒙	moung[2]	moŋ[2]	
中	toung[1]	toŋ[1]	空~
忠	toung[1]	toŋ[1]	
同	toung[2]	toŋ[2]	2～时
童	toung[2]	toŋ[2]	
重	toung[2]	toŋ[2]	～复
党	toung[3]	toŋ[3]	
涨	toung[3]	toŋ[3]	
中	toung[5]	toŋ[5]	～意
动	toung[6]	toŋ[6]	2活~
重	toung[6]	toŋ[6]	2~要
窗	t'oung[1]	tʰoŋ[1]	1～门：窗户
通	t'oung[1]	tʰoŋ[1]	3普～
痛	t'oung[5]	tʰoŋ[5]	
郎	noung[2]	noŋ[2]	2~爸：父亲
娘	noung[2]	noŋ[2]	2～奶：母亲
农	noung[2]	noŋ[2]	
浓	noung[2]	noŋ[2]	
龙	loung[2]	loŋ[2]	
朗	loung[3]	loŋ[3]	
宗	choung[1]	tʃoŋ[1]	
终	choung[1]	tʃoŋ[1]	
踪	choung[1]	tʃoŋ[1]	
钟	choung[1]	tʃoŋ[1]	
锺	choung[1]	tʃoŋ[1]	
盅	choung[1]	tʃoŋ[1]	
舂	choung[1]	tʃoŋ[1]	
崇	choung[2]	tʃoŋ[2]	
从	choung[2]	tʃoŋ[2]	～俗
众	choung[5]	tʃoŋ[5]	
纵	choung[5]	tʃoŋ[5]	～容
种	choung[5]	tʃoŋ[5]	动词
聪	ch'oung[1]	tʃʰoŋ[1]	
充	ch'oung[1]	tʃʰoŋ[1]	
冲	ch'oung[1]	tʃʰoŋ[1]	
铳	ch'oung[5]	tʃʰoŋ[5]	
松	soung[1]	soŋ[1]	
松	soung[2]	soŋ[2]	木名
□	soung[2]	soŋ[2]	儍
磉	soung[3]	soŋ[3]	
嗓	soung[3]	soŋ[3]	
爽	soung[3]	soŋ[3]	
讼	soung[6]	soŋ[6]	
□	soung[6]	soŋ[6]	穿
公	koung[1]	koŋ[1]	
工	koung[1]	koŋ[1]	2
功	koung[1]	koŋ[1]	
攻	koung[1]	koŋ[1]	
贡	koung[5]	koŋ[5]	
空	k'oung[1]	kʰoŋ[1]	2悬~
风	houng[1]	hoŋ[1]	
疯	houng[1]	hoŋ[1]	
讽	houng[1]	hoŋ[1]	
丰	houng[1]	hoŋ[1]	
封	houng[1]	hoŋ[1]	
峰	houng[1]	hoŋ[1]	
锋	houng[1]	hoŋ[1]	
洪	houng[2]	hoŋ[2]	
哄	houng[5]	hoŋ[5]	～骗
俸	houng[5]	hoŋ[5]	
奉	houng[6]	hoŋ[6]	
痈	∅oung[1]	ʔoŋ[1]	
影	∅oung[3]	ʔoŋ[3]	1
□	∅oung[5]	ʔoŋ[5]	浇
戎	young[2]	joŋ[2]	
绒	young[2]	joŋ[2]	
容	young[2]	joŋ[2]	
溶	young[2]	joŋ[2]	
用	young[6]	joŋ[6]	
瀑	pouc[7]	pok[7]	小～布
腹	pouc[7]	pok[7]	～肚：肚子
幅	pouc[7]	pok[7]	
辐	pouc[7]	pok[7]	
复	pouc[7]	pok[7]	
卜	pouc[8]	pok[8]	萝~
仆	pouc[8]	pok[8]	女~
覆	p'ouc[7]	pʰok[7]	1趴
木	mouc[8]	mok[8]	
睦	mouc[8]	mok[8]	
目	mouc[8]	mok[8]	2～珠：眼睛，悦～
牧	mouc[8]	mok[8]	
笃	touc[7]	tok[7]	
督	touc[7]	tok[7]	
独	touc[8]	tok[8]	
渎	touc[8]	tok[8]	
毒	touc[8]	tok[8]	～意
□	touc[8]	tok[8]	火~：火柴
□	louc[7]	lok[7]	～溪：涉水
律	louc[8]	lok[8]	2法～
禄	louc[8]	lok[8]	
辘	louc[8]	lok[8]	
录	louc[8]	lok[8]	
陆	louc[8]	lok[8]	
绿	louc[8]	lok[8]	2
祝	chouc[7]	tʃok[7]	
足	chouc[7]	tʃok[7]	
嘱	chouc[7]	tʃok[7]	
族	chouc[8]	tʃok[8]	
触	ch'ouc[7]	tʃʰok[7]	
速	souc[7]	sok[7]	
肃	souc[7]	sok[7]	
宿	souc[7]	sok[7]	夜~
缩	souc[7]	sok[7]	2
束	souc[7]	sok[7]	
术	souc[8]	sok[8]	
熟	souc[8]	sok[8]	
俗	souc[8]	sok[8]	
续	souc[8]	sok[8]	接～
赎	souc[8]	sok[8]	
属	souc[8]	sok[8]	
谷	kouc[7]	kok[7]	山~
谷	kouc[7]	kok[7]	
酷	kouc[7]	kok[7]	残～
福	houc[7]	hok[7]	
覆	houc[7]	hok[7]	2反~
服	houc[8]	hok[8]	
复	houc[8]	hok[8]	～仇
猛	mueng[3]	møŋ[3]	
蠓	mueng[3]	møŋ[3]	~囝:mosquitodelvino
等	tueng[3]	tøŋ[3]	3平～，下～
桶	t'ueng[3]	tʰøŋ[3]	
冷	lueng[3]	løŋ[3]	
信	sueng[5]	søŋ[5]	2确~
弓	kueng[1]	køŋ[1]	
宫	kueng[1]	køŋ[1]	
恭	kueng[1]	køŋ[1]	
供	kueng[1]	køŋ[1]	~应
穷	kueng[2]	køŋ[2]	
港	kueng[3]	køŋ[3]	
巩	kueng[3]	køŋ[3]	
供	kueng[5]	køŋ[5]	～佛
共	kueng[6]	køŋ[6]	2～通性
胸	hueng[1]	høŋ[1]	
凶	hueng[1]	høŋ[1]	
雄	hueng[2]	høŋ[2]	2英～
竹	tuec[7]	tøk[7]	
筑	tuec[7]	tøk[7]	
逐	tuec[8]	tøk[8]	
缩	t'uec[7]	tʰøk[7]	1~头：卷发
肉	nuec[8]	nøk[8]	
粥	chuec[7]	tʃøk[7]	
叔	chuec[7]	tʃøk[7]	
促	ch'uec[7]	tʃʰøk[7]	
曲	kuec[7]	køk[7]	红~。不送气音
玉	nguec[8]	ŋøk[8]	宝~
畜	huec[7]	høk[7]	饲养
□	∅uec[7]	ʔøk[7]	啼哭时的声音
□	li[7]	liʔ[7]	助词，相当于“了”或“掉”
悦	yi[8]	yiʔ[8]	
剥	pu[7]	puʔ[7]	
缚	pu[8]	puʔ[8]	
曝	p'u[8]	pʰuʔ[8]	晒
□	tu[7]	tuʔ[7]	拿，抓
绿	lu[8]	luʔ[8]	1
烛	chu[7]	tʃuʔ[7]	
粟	ch'u[7]	tʃʰuʔ[7]	稻谷
局	ku[8]	kuʔ[8]	
曲	k'u[7]	kʰuʔ[7]	弯；词～
狱	ngu[8]	ŋuʔ[8]	1地~
镬	hu[8]	huʔ[8]	小~：铁锅，sartén
褥	yu[8]	juʔ[8]	
着	tüi[7]	tyiʔ[7]	装，盛
着	tüi[8]	tyiʔ[8]	1遇~；在
若	nüi[8]	nyiʔ[8]	1~伙：多少
箬	nüi[8]	nyiʔ[8]	叶子
借	chüi[7]	tʃyiʔ[7]	
尺	ch'üi[7]	tʃʰyiʔ[7]	
蓆	ch'üi[8]	tʃʰyiʔ[8]	
席	ch'üi[8]	tʃʰyiʔ[8]	校补便于匹配
石	ch'üi[8]	tʃʰyiʔ[8]	
惜	süi[7]	syiʔ[7]	1爱~；□tet7农~：可爱
射	süi[8]	syiʔ[8]	食亦切～箭
□	süi[8]	syiʔ[8]	一。本文中写作“蜀”
一	süi[8]	syiʔ[8]	一。校补，便于匹配
蜀	süi[8]	syiʔ[8]	一。校补，便于匹配
药	yüi[8]	jyiʔ[8]	
百	pa[7]	paʔ[7]	
伯	pa[7]	paʔ[7]	
□	pa[7]	paʔ[7]	目珠～□liʔ7开：睁眼
白	pa[8]	paʔ[8]	1
拍	p'a[7]	pʰaʔ[7]	打
麦	ma[8]	maʔ[8]	
脉	ma[8]	maʔ[8]	
□	ta[7]	taʔ[7]	压
□	t'a[7]	tʰaʔ[7]	~□liu2:玩儿
宅	t'a[8]	tʰaʔ[8]	
□	na[8]	naʔ[8]	拿
仄	cha[7]	tʃaʔ[7]	平~
察	ch'a[7]	tʃʰaʔ[7]	2巡～
册	ch'a[7]	tʃʰaʔ[7]	读~：读书
□	sa[7]	saʔ[7]	洒
隔	ka[7]	kaʔ[7]	
客	k'a[7]	kʰaʔ[7]	1
壁	pie[7]	piɛʔ[7]	
僻	p'ie[7]	pʰiɛʔ[7]	
摘	tie[7]	tiɛʔ[7]	
籴	tie[8]	tiɛʔ[8]	
拆	t'ie[7]	tʰiɛʔ[7]	
雀	chie[7]	tʃiɛʔ[7]	1～囝：鸟儿
迹	chie[7]	tʃiɛʔ[7]	1
只	chie[7]	tʃiɛʔ[7]	
□	chie[7]	tʃiɛʔ[7]	1这
藉	chie[8]	tʃiɛʔ[8]	狼~
食	sie[8]	siɛʔ[8]	吃
额	ngie[8]	ŋiɛʔ[8]	
许	hie[7]	hiɛʔ[7]	1那
薄	po[8]	pɔʔ[8]	1形容词
粕	p'o[7]	pʰɔʔ[7]	渣子
莫	mo[8]	mɔʔ[8]	别，不要
桌	to[7]	tɔʔ[7]	
卓	to[7]	tɔʔ[7]	1
□	to[7]	tɔʔ[7]	鞋～：脚后跟
□	to[8]	tɔʔ[8]	挑选
□	no[7]	nɔʔ[7]	东西。本文中写作“乇”
乇	no[7]	nɔʔ[7]	东西。校补，便于匹配
□	lo[7]	lɔʔ[7]	套
□	lo[7]	lɔʔ[7]	□kɔʔ7~下：腋下
落	lo[8]	lɔʔ[8]	2
络	lo[8]	lɔʔ[8]	1
浊	cho[8]	tʃɔʔ[8]	1
索	so[7]	sɔʔ[7]	1绳子
□	so[7]	sɔʔ[7]	吮吸
欶	so[7]	sɔʔ[7]	校补方便匹配：吮吸
镯	so[8]	sɔʔ[8]	
□	ko[7]	kɔʔ[7]	烙
□	ko[7]	kɔʔ[7]	~□lɔʔ7下：腋下
□	∅o[7]	ʔɔʔ[7]	乖
学	∅o[8]	ʔɔʔ[8]	1
□	kuo[7]	kuɔʔ[7]	开裂
划	buo[8]	wuɔʔ[8]	1～火□tok8：划火柴
□	∅m[6]	ʔm[6]	不
