汉字	IPA	注释
匈	hiɔŋ1	
胸	hiɔŋ1	
乡	hiɔŋ1	
香	hiɔŋ1	
雄	hiɔŋ2	英～
熊	hiɔŋ2	
响	hiɔŋ3	
向	hiɔŋ5	
饷	hiɔŋ5	
央	iɔŋ1	
鸯	iɔŋ1	
秧	iɔŋ1	
泱	iɔŋ1	
殃	iɔŋ1	
秧	iɔŋ1	
鞅	iɔŋ1	
拥	iɔŋ1	
臃	iɔŋ1	
痈	iɔŋ1	
羊	iɔŋ2	
洋	iɔŋ2	
佯	iɔŋ2	
烊	iɔŋ2	
容	iɔŋ2	
溶	iɔŋ2	
熔	iɔŋ2	
蓉	iɔŋ2	
榕	iɔŋ2	
阳	iɔŋ2	
扬	iɔŋ2	
杨	iɔŋ2	
疡	iɔŋ2	
融	iɔŋ2	
庸	iɔŋ2	
养	iɔŋ3	
痒	iɔŋ3	
氧	iɔŋ3	
永	iɔŋ3	
勇	iɔŋ3	
涌	iɔŋ3	
踊	iɔŋ3	
用	iɔŋ5	
佣	iɔŋ5	
样	iɔŋ5	
漾	iɔŋ5	
恙	iɔŋ5	
边	pĩ1	白读
绷	pĩ1	白读，～鼓：绷紧鼓面的皮
平	pĩ2	白读
坪	pĩ2	白读
扁	pĩ3	白读
辫	pĩ4	白读，～仔：辫子
柄	pĩ5	白读
病	pĩ5	白读
篇	pʰĩ1	白读
彭	pʰĩ2	白读，姓
澎	pʰĩ2	白读
□	mĩ1	用五指抓物
棉	mĩ2	白读
绵	mĩ2	白读
盲	mĩ2	白读，青～：眼瞎
冥	mĩ2	一～：一夜
弥	mĩ3	
尾	mĩ3	
面	mĩ5	白读，燥～：挂面
甜	tĩ1	白读
缠	tĩ2	白读
郑	tĩ5	
□	tĩ5	用力（干事）
天	tʰĩ1	白读
添	tʰĩ1	白读
䋎	tʰĩ5	～衫：缝补衣服
□	tʰĩ5	抵
奶	nĩ1	白读
尼	nĩ2	
呢	nĩ2	
泥	nĩ2	
妮	nĩ2	
年	nĩ2	白读
捏	nĩ2	白读，用手～
尔	nĩ3	
你	nĩ3	
耳	nĩ3	
染	nĩ3	白读
呢	nĩ4	语气词
腻	nĩ5	细～，光滑
□	nĩ5	踮着脚跟看
精	tsĩ1	白读，妖～
争	tsĩ1	白读，相～
□	tsĩ1	硬塞
钱	tsĩ2	白读，铜～：钱币
晴	tsĩ2	白读
井	tsĩ3	白读
□	tsĩ3	嫩，幼小
箭	tsĩ5	白读
诤	tsĩ5	以言论相争
将	tsĩ5	白读，马～：麻将
星	tsʰĩ1	白读
青	tsʰĩ1	白读
腥	tsʰĩ1	白读
生	tsʰĩ1	白读，～熟
醒	tsʰĩ3	白读，困一～：睡一觉
生	sĩ1	白读，～病
姓	sĩ5	白读
扇	sĩ5	白读，纸～
盐	sĩ5	～菜：腌菜
更	kĩ1	白读，三～
经	kĩ1	白读，～布
钳	kĩ2	白读，火～
缘	kĩ2	白读，边沿
哽	kĩ3	白读
见	kĩ5	白读，～面
坑	kʰĩ1	白读
□	kʰĩ2	攀
硬	ŋĩ4	白读
砚	hĩ5	白读，墨～：砚台
婴	ĩ1	白读
□	ĩ1	白读，塍～：蜻蜒
圆	ĩ2	白读
院	ĩ5	白读，学～
燕	ĩ5	白读，～仔：燕子
奴	nũ2	
努	nũ2	
怒	nũ5	
爿	pũĩ2	柴～：片柴
反	pũĩ3	白读，翻
枚	mũĩ2	
玫	mũĩ2	
媒	mũĩ2	
煤	mũĩ2	
梅	mũĩ2	
每	mũĩ3	
妹	mũĩ5	
前	tsũĩ2	白读，面～：前面
指	tsũĩ3	白读，尾～：小指头
千	tsʰũĩ1	白读
先	sũĩ1	白读，～去
关	kũĩ1	白读，～门
间	kũĩ1	白读
悬	kũĩ2	白读，高
拣	kũĩ3	白读
茧	kũĩ3	白读
县	kũĩ5	白读
开	kʰũĩ1	白读，～门
横	hũĩ2	白读，～直
妈	mã1	母亲
马	mã3	
码	mã3	
妈	mã3	祖母
骂	mã5	
拿	nã2	
□	nã5	留宿
雅	ŋã3	
□	hã2	答应语气词
□	ã2	追问语气词
平	pĩã2	～仄
饼	pĩã3	白读
丙	pĩã3	白读
摒	pĩã5	～水：倒水
名	mĩã2	白读，～字
命	mĩã5	白读，好～
□	tĩã1	因酒醉等原因走路摇晃的样子
呈	tĩã2	白读
庭	tĩã2	白读，场～：场院
鼎	tĩã3	白读，锅
蝊	tĩã4	
定	tĩã5	白读，～亲：订婚
听	tʰĩã1	白读
厅	tʰĩã1	白读
痛	tʰĩã5	白读
岭	nĩã3	白读
领	nĩã3	白读
正	tsĩã1	白读，～月
精	tsĩã1	白读，～肉：瘦肉
情	tsĩã2	白读，亲～：亲戚
䭕	tsĩã3	淡
正	tsĩã5	白读，～式
□	tsʰĩã2	（搞）坏了
且	tsʰĩã3	
请	tsʰĩã3	白读
□	tsʰĩã4	打擦声
声	sĩã1	白读
城	sĩã2	白读
□	sĩã2	以食物诱捕动物
啥	sĩã3	白读，什么
圣	sĩã5	白读，灵验
□	sĩã5	旧时送礼用的盛具
京	kĩã1	白读
惊	kĩã1	白读
件	kĩã4	白读
镜	kĩã5	白读，目～：眼镜
迎	ŋĩã2	白读，～灯
仰	ŋĩã2	白读
兄	hĩã1	白读
□	hĩã3	搂抱（东西）
□	hĩã4	篮～：篮系几
□	hĩã5	身体后仰，快跌倒的样子
缨	ĩã1	白读，红～
□	ĩã1	水～：圆形的水波
营	ĩã2	白读
赢	ĩã2	白读
影	ĩã3	白读，电～，有～，无～
搬	pũã1	白读
盘	pũã2	白读，～碗，～点
□	pũã4	拂打
半	pũã5	白读
雇	pũã5	白读
潘	pʰũã1	白读，姓
般	pʰũã1	白读
□	pʰũã2	溢
伴	pʰũã4	白读
叛	pʰũã4	白读
判	pʰũã4	白读
雇	pʰũã5	白读，又读
鳗	mũã2	白读
瞒	mũã2	白读
麻	mũã2	白读
满	mũã3	白读
□	mũã5	向：～东，～西
单	tũã1	白读
弹	tũã2	白读，～棉花
坛	tũã2	白读
懒	tũã4	原文“惮”
段	tũã4	白读
旦	tũã5	白读，花～
滩	tʰũã1	白读
摊	tʰũã1	白读
㔊	tʰũã3	～草：锄草
炭	tʰũã5	白读
□	tʰũã5	松，不紧
栏	nũã2	白读，～牛
□	nũã3	～面：揉面
澜	nũã4	唾液
僆	nũã4	鸡～：小母鸡
烂	nũã5	白读
煎	tsũã1	白读，～药
泉	tsũã2	白读，～水
盏	tsũã3	白读
溅	tsũã4	白读
串	tsʰũã5	白读，门～：门闩
山	sũã1	白读
汕	sũã1	白读，～头
散	sũã3	白读，～开，～裂
散	sũã5	白读，分～
线	sũã5	白读
伞	sũã5	白读
肝	kũã1	白读
官	kũã1	白读
棺	kũã1	白读
倌	kũã1	白读
干	kũã1	白读，鱼～
竿	kũã1	白读，竹～
寒	kũã2	白读，～天：冷天
赶	kũã3	白读
寡	kũã3	
掼	kũã4	～水：提水
汗	kũã5	白读
看	kʰũã5	白读，～牛：牧牛
欢	hũã2	白读
岸	hũã5	白读，塍～：田梗
焊	hũã5	白读
□	hũã5	扶住东西，免其倾斜
鞍	ũã1	白读
碗	ũã3	白读
腕	ũã3	白读
旱	ũã4	白读
晏	ũã5	白读，迟，晚
换	ũã5	白读
毛	mɔ̃2	
麻	mɔ̃2	
磨	mɔ̃2	～刀
摩	mɔ̃2	
魔	mɔ̃2	
冒	mɔ̃5	
磨	mɔ̃5	推～
帽	mɔ̃5	
老	nɔ̃3	
佬	nɔ̃3	
考	kʰɔ̃3	
可	kʰɔ̃3	
俄	ŋɔ̃2	
娥	ŋɔ̃2	
蛾	ŋɔ̃2	
鹅	ŋɔ̃2	
熬	ŋɔ̃2	
鏊	ŋɔ̃2	
鳌	ŋɔ̃2	
我	ŋɔ̃3	
饿	ŋɔ̃5	
傲	ŋɔ̃5	
好	hɔ̃3	～坏
火	hɔ̃3	
伙	hɔ̃3	
好	hɔ̃5	～客
货	hɔ̃5	
□	ɔ̃1	哄小孩睡的声音
□	ɔ̃2	语气词，表示遗憾不满情绪
冇	pʰə̃5	内虚，不结实；形容花钱无计划
担	tə̃1	白读，～担，扁～
胆	tə̃3	白读
担	tə̃5	白读，担～
赚	tə̃5	差错
林	nə̃2	白读，树～
篮	nə̃2	白读
挪	nə̃2	
那	nə̃3	
哪	nə̃3	
娜	nə̃3	
□	nə̃3	凹
若	nə̃5	白读，如果
□	tsə̃2	轻跳
三	sə̃1	白读
相	sə̃1	白读，～同
衫	sə̃1	白读，衣裳
监	kə̃1	白读，～牢
柑	kə̃1	白读
□	kə̃2	现在
敢	kə̃3	白读
囝	kə̃3	原文“仔”，椅～：椅子
□	pãĩ4	打锣声
糜	mãĩ1	饭
买	mãĩ3	
卖	mãĩ5	
迈	mãĩ5	
□	tãĩ1	敲小锣的声音
店	tãĩ5	
□	tãĩ5	坚硬
奶	nãĩ1	
□	nãĩ1	扭动身体去痒
乃	nãĩ3	
耐	nãĩ5	
奈	nãĩ5	
荔	nãĩ5	～枝
赖	nãĩ5	
癞	nãĩ5	
□	hãĩ3	那样
闲	ãĩ2	白读
□	ãĩ3	这样
矛	mə̃ũ2	
茅	mə̃ũ2	
蟊	mə̃ũ2	
□	mə̃ũ3	不聪明能干；坏
貌	mə̃ũ5	
脑	nə̃ũ3	
张	tĩũ1	白读
场	tĩũ2	白读
长	tĩũ3	白读，县～
丈	tĩũ4	白读，姑～
帐	tĩũ4	白读，蠓～：蚊帐
胀	tĩũ5	白读
□	nĩũ1	椅仔～：小椅子
娘	nĩũ2	白读
粮	nĩũ2	白读
量	nĩũ2	白读，～米
梁	nĩũ2	白读
两	nĩũ3	白读，斤～
让	nĩũ5	白读
章	tsĩũ1	白读，文～
浆	tsĩũ1	白读，豆～
樟	tsĩũ1	白读
蒋	tsĩũ3	白读
桨	tsĩũ3	白读
痒	tsĩũ4	白读
上	tsĩũ4	白读，～山
□	tsĩũ4	怎么，怎样
酱	tsĩũ5	白读
浆	tsĩũ5	白读
枪	tsʰĩũ1	白读
墙	tsʰĩũ2	白读
厂	tsʰĩũ3	白读
抢	tsʰĩũ3	白读
象	tsʰĩũ4	白读
像	tsʰĩũ4	白读，亲～：相像
上	tsʰĩũ4	白读，～梁
唱	tsʰĩũ5	白读
箱	sĩũ1	白读
□	sĩũ2	形容做事缓慢，不干脆利索
赏	sĩũ3	白读
鲞	sĩũ3	
想	sĩũ4	白读
相	sĩũ5	白读，生～：生肖
姜	kĩũ1	白读，生～
□	kĩũ4	违拗，不听话
腔	kʰĩũ1	白读，～调
香	hĩũ1	白读，烧～
乡	hĩũ1	白读
向	hĩũ5	白读，西～：西面
羊	ĩũ2	白读
洋	ĩũ2	白读
杨	ĩũ2	白读
烊	ĩũ2	白读，冰～：化冰
养	ĩũ3	白读
舀	ĩũ3	～水：舀水
样	ĩũ5	白读
猫	ȵĩãũ1	白读
摇	ȵĩãũ2	白读，轻轻地动；干轻活
鸟	ȵĩãũ3	
□	ȵĩãũ5	粗糙，不光滑
梅	m̩2	白读，树～：杨梅
姆	m̩3	伯母
䘼	m̩3	白读，又读，手～
毋	m̩4	不，原文“吥”
吥	m̩4	不
枫	pŋ̍1	白读，～树
本	pŋ̍3	白读，～钱
□	bŋ̍1	雨～：毛毛细雨
门	bŋ̍2	白读
毛	bŋ̍2	白读
问	bŋ̍5	白读
当	tŋ̍1	白读，～兵
堂	tŋ̍2	白读
肠	tŋ̍2	白读
长	tŋ̍2	白读，～期
转	tŋ̍3	白读，返回
涨	tŋ̍3	白读，潮水～
丈	tŋ̍4	白读，一～
断	tŋ̍4	白读
当	tŋ̍5	白读，～店：当铺
汤	tʰŋ̍1	白读
糖	tʰŋ̍2	白读
脱	tʰŋ̍5	白读，～衫，～裤
烫	tʰŋ̍5	白读
软	lŋ̍3	白读
两	lŋ̍4	白读，～分
卵	lŋ̍4	白读，鸡～：鸡蛋
□	lŋ̍5	钻
装	tsŋ̍1	白读
妆	tsŋ̍1	白读
庄	tsŋ̍1	白读
砖	tsŋ̍1	白读
□	tsŋ̍2	苍蝇～物
全	tsŋ̍2	齐～：齐全
指	tsŋ̍3	白读，～甲
钻	tsŋ̍5	白读，～仔：锥子
仓	tsʰŋ̍1	白读
疮	tsʰŋ̍1	白读
舱	tsʰŋ̍1	白读
穿	tsʰŋ̍1	白读，～针
床	tsʰŋ̍2	白读
串	tsʰŋ̍5	白读
□	tsʰŋ̍5	阴凉药物刺激皮肤的感觉
霜	sŋ̍1	白读
酸	sŋ̍1	白读
损	sŋ̍3	白读
算	sŋ̍5	白读，～数：算帐
光	kŋ̍1	白读
扛	kŋ̍1	
缸	kŋ̍1	白读
杠	kŋ̍2	白读，桥～
广	kŋ̍3	白读
卷	kŋ̍3	白读，～席
钢	kŋ̍5	白读
卷	kŋ̍5	白读，考～
糠	kʰŋ̍1	白读
劝	kʰŋ̍5	白读
囥	kʰŋ̍5	藏
荒	hŋ̍1	白读
方	hŋ̍1	白读
昏	hŋ̍1	白读，冥～：晚上
园	hŋ̍2	白读
哼	hŋ̍3	表示蔑视或不满意
远	hŋ̍4	白读
秧	ŋ̍1	白读
□	ŋ̍1	哄婴儿大便声
黄	ŋ̍2	白读
□	ŋ̍2	应答声
䘼	ŋ̍3	白读，手～：袖子
□	ŋ̍4	表示赞同声
