字音					
#i					
t	[1]墩蹲 [2]唇 [3]囤 [5]顿= [6]钝				
tʰ	[1]吞 [2]尘-{烟尘} [3]蠢- [6]垫-				
l	[1]囵{伸出} [2]轮仑伦纶论沦= [3]忍- [5]□{忍} [6]论□{塗~，蚯蚓}				
ts	[1]尊 [2]船 [3]准 [5]俊 [6]阵-				
tsʰ	[1]村寸春 [3]唇蠢 [5]寸 [6]偆{剩下}				
s	[1]孙 [2]寻纯 [3]笋 [5]舜 [6]顺				
dz	[6]润闰				
k	[1]君根筋均军耕巾- [2]拳裙 [3]颈-滚 [5]棍 [6]近				
kʰ	[1]昆 [2]勤 [3]捆 [5]困=睏				
g	[2]银 [3]㐾{我们}				
h	[1]分=婚熏 [2]魂云 [3]粉 [5]训 [6]恨=				
∅	[1]恩温 [2]匀 [3]允 [5]揾{沾} [6]运				
#iŋ					
p	[1]冰兵 [2]朋平=苹萍瓶 [3]柄= [5]并				
pʰ	[2]评 [5]聘 [6]併				
b	[2]冥暝明= [3]猛 [6]命=				
t	[1]登灯 [2]重-层藤 [3]等顶 [5]邓 [6]定=				
tʰ	[1]汀 [2]程停 [3]挺= [5]听=				
l	[1]茏{青~~} [2]能-零宁龙- [3]冷 [5]□{条状伤痕} [6]令宁				
ts	[1]贞僧争= [2]晴睛情= [3]整肿= [5]种证静 [6]静=				
tsʰ	[1]清=青= [2]□{冲撞，捅} [3]请= [5]秤铳{枪} [6]颂-				
s	[1]升生= [2]蝇成= [3]省 [5]性 [6]杏剩恿{溺爱}				
k	[1]更=宫-经= [2]穷- [3]景 [5]敬				
kʰ	[1]框-轻 [2]琼 [5]庆 [6]共-□{彩虹}				
g	[2]迎=				
h	[1]乡=胸- [2]行=形熊 [5]兴 [6]杏				
∅	[1]英=□{灰尘} [2]容荣 [3]拥涌= [5]应= [6]用-				
#aŋ					
p	[1]帮= [2]房 [3]绑 [5]放- [6]傍				
pʰ	[1]芳-蜂 [2]帆冯- [3]纺- [5]胖 [6]缝-				
b	[1]濛 [2]蚊芒- [3]蠓{蚊子} [6]网梦				
t	[1]东-冬- [2]铜- [3]董- [5]冻-重- [6]动-				
tʰ	[1]窗- [2]虫- [3]统桶 [5]□{延伸}				
l	[1]□{巴~，一种鱼} [2]脓侬人- [3]沦-{瓯语借词，烂~；流氓}拢- [5]□{疏} [6]弄-				
ts	[1]粽- [2]从- [5]粽				
tsʰ	[1]葱- [2]愡{茹~~} [3]耸{~，毛竖立状}				
s	[1]双松- [2]□{“相同”的合音} [5]送-				
k	[1]工-江公- [3]港 [5]降- [6]共-{捉弄}				
kʰ	[1]空- [5]控-				
h	[1]烘- [2]降-杭缝- [3]哄- [5]□{痒} [6]巷项				
∅	[1]翁- [2]红- [5]瓮				
#iaŋ					
p	[1]砰 [6]迸{拟声词，胀破}				
pʰ	[6]庞{个子大}				
t	[1]中-{~央(仅方位)}当{拟声，~~吼}				
l	[1]□{拟声，哩哩~~} [2]凉- [5]亮-				
ts	[1]漳=				
tsʰ	[1]枪= [3]跄{单脚快步跳} [5]呛				
s	[2]□{谁，“啥人”的合音} [5]□{倒下}				
k	[1]僵-				
kʰ	[1]锵				
g	[1]钘 [5]齴{龅牙}				
h	[3]响=				
∅	[1]央= [5]漾=				
#uaŋ					
h	[1]风-				
#ɔŋ					
p	[1]帮= [2]旁 [3]榜= [5]谤{夸海口} [6]磅				
pʰ	[1]乓 [2]棚蓬篷 [3]捧 [5]碰 [6]炐{~~吼}				
b	[2]盲=忙氓 [5]㩚{打} [6]望				
t	[1]当=东= [2]同= [3]党懂 [5]冻= [6]洞=动=撞=幢				
tʰ	[1]通= [3]统= [5]痛				
l	[1]啷 [2]农浓聋 [3]拢= [5]挵{摔破} [6]浪弄				
ts	[1]宗终= [2]崇 [3]总 [5]壮 [6]纵				
tsʰ	[1]匆= [2]床= [5]创				
s	[1]丧松= [2]倯{做事不利索} [3]爽 [5]宋				
k	[1]公=宫=恭 [2]狂 [3]讲广= [5]贡 [6]共□{~门，用横梁将门关牢}				
kʰ	[1]康= [2]狂 [3]孔 [5]抗 [6]啌{~~吼}				
g	[6]戆{傻}				
h	[1]方慌风=丰封 [2]防红= [3]纺= [5]放= [6]凤奉巷-				
∅	[1]汪翁往 [2]王 [3]枉 [5]旺䐥{瓯语借词，臭} [6]滃{烂泥路不好走}				
#iɔŋ					
t	[1]中= [2]重= [3]长= [5]中= [6]仗				
tʰ	[2]虫= [3]宠= [5]畅				
l	[2]娘=良 [3]两= [6]亮谅				
ts	[1]章= 漳-[2]从 [3]奖 [5]众 [6]状{状元}				
tsʰ	[1]穿充冲= [2]墙= [3]厂= [5]倡=				
s	[1]伤商厢=相 [2]尝详祥 [3]想= [5]相= [6]像上=				
dz	[2]绒 [3]嚷				
k	[1]宫=椒- [2]强 [3]拱= [5]供= [6]共=				
kʰ	[1]羌= [3]恐				
h	[1]乡=香=凶 [2]雄= [3]响= [5]向=				
∅	[1]央= [2]杨=阳洋容 [3]勇 [6]样=用=				
#ĩ					
p	[1]边- [2]平- [3]扁- [5]柄- [6]病				
pʰ	[1]篇- [2]彭- [5]片-				
m	[1]㨠{用手抓} [2]棉- [3]眯物-乜{什么} [6]面-				
t	[1]珍-甜 [2]缠- [5]□{用力拉大便} [6]郑				
tʰ	[1]添-天-挣- [2]捏{~悬，撑高} [5]□{用针缝}				
n	[2]泥年- [3]耳染- [8b]捏-				
ts	[1]精-争- [2]钱- [3]井- [5]箭- [6]静-{风~}				
tsʰ	[1]清-青-星- [2]□{扑过来} [3]醒- [5]刺-{刺目}				
s	[1]生-星厢-{瓯语借词，边~；旁边} [3]闪-{金~~} [5]姓-扇- [6]盐-{腌制}				
k	[1]更- [2]钳-舷 [3]杞 [5]见-				
kʰ	[1]坑-				
ŋ	[6]硬-				
h	[1]舷- [5]献- [6]砚				
∅	[1]婴- [2]圆-园- [3]嘤{芳~~} [6]院-燕-				
#ã					
p	[1]叭-{喇叭声}				
pʰ	[5]怕				
m	[1]妈 [2]明-麻=馒- [3]马= [6]骂				
t	[1]担- [2]谭-{重~，错乱} [3]蛋胆打 [5]担- [6]诞-{错}				
tʰ	[3]坦-				
n	[2]林-□{活动同时进行} [3]拿 [5]爁{闪~，闪电} [6]若{几~日}□{箩筐}				
ts	[5]㨻{用瓢取物}				
tsʰ	[5]□{钹声} [6]□{锣钹声，拟声词}				
s	[1]衫-三				
k	[1]柑-监- [3]敢-				
kʰ	[1]坩				
ŋ	[2]颜 [3]雅				
h	[1]哼-{~~吼} [2]焓{热气逼人} [8b]合-{应答声}				
∅	[1]□{~~吼，喇叭声} [2]涵-{袒护} [3]罯{贴近，贴上} [5]揞{弯腰} [6]馅				
#iã					
p	[3]饼 [5]拼-				
pʰ	[1]抨{扔，摔} [2]坪 [3]丙-{量词，片状}				
m	[2]明-{清~}名- [6]命-				
t	[2]㘿 [3]鼎- [6]定-				
tʰ	[1]厅-听- [5]痛-忝-{疼爱}				
n	[3]领岭- [6]尔-{~~，而已}				
ts	[1]精- [2]成- [3]□{味淡} [5]正-				
tsʰ	[2]成- [3]请- [5]倩-{雇佣}				
