單字	松柏(調類)	松柏(調值)	注释
拑	kʰiɐm4	kʰiɐm²¹	
鉗	kʰiɐm4	kʰiɐm²¹	
儉	kim6	kim⁵²	
芡	him3	him⁴⁴	
黔	kʰim4	kʰim²¹	
粘	nim1	nim⁴⁵	
黏	nim1	nim⁴⁵	
躡	nip8	nip³	
聶	nip8	nip³	
鑷	nip8	nip³	白读niɐp³
檢	kim2	kim²¹⁴	
瞼	kim2	kim²¹⁴	
諂			
貶	pin2	pin²¹⁴	又读piɛn²¹⁴
沃	jʊk7	jʊk⁴	
鬆	sʊŋ1	sʊŋ⁴⁵	
宋	sʊŋ3	sʊŋ⁴⁴	
鵠			
酷	hʊk9	hʊk⁵²	
統	tʰʊŋ2	tʰʊŋ²¹⁴	
褥	jʊk9	jʊk⁵²	
農	nʊŋ4	nʊŋ²¹	
膿	nʊŋ4	nʊŋ²¹	
儂	nʊŋ4	nʊŋ²¹	
宗	ʦʊŋ1	ʦʊŋ⁴⁵	
綜	ʦʊŋ1	ʦʊŋ⁴⁵	
䝋			
告	kɐu3	kɐu⁴⁴	忠告
冬	tʊŋ1	tʊŋ⁴⁵	
篤	tʊk7	tʊk⁴	
督	tʊk7	tʊk⁴	
疼			疼痛
疼	tʰʊŋ3	tʰʊŋ⁴⁴	疼愛
彤	tʰʊŋ4	tʰʊŋ²¹	
鼕			
毒	tʊk9	tʊk⁵²	
佟			
淙	ʦʊŋ1	ʦʊŋ⁴⁵	
鬃	ʦʊŋ1	ʦʊŋ⁴⁵	
衷	ʦʊŋ1	ʦʊŋ⁴⁵	
忠	ʦʊŋ1	ʦʊŋ⁴⁵	
中	ʦʊŋ1	ʦʊŋ⁴⁵	中間
中	ʦʊŋ3	ʦʊŋ⁴⁴	中獎
竹	ʦʊk7	ʦʊk⁴	
築	ʦʊk7	ʦʊk⁴	
眾	ʦʊŋ3	ʦʊŋ⁴⁴	
螽	ʦʊŋ1	ʦʊŋ⁴⁵	
終	ʦʊŋ1	ʦʊŋ⁴⁵	
雄	hʊŋ4	hʊŋ²¹	
熊	hʊŋ4	hʊŋ²¹	
甕	ʔʊŋ3	ʔʊŋ⁴⁴	
屋	ʔʊk7	ʔʊk⁴	
彧			
翁	jʊŋ1	jʊŋ⁴⁵	
蓊	jʊŋ2	jʊŋ²¹⁴	
郁	jʊk7	jʊk⁴	
融	jʊŋ4	jʊŋ²¹	
鬻			
粥	ʦʊk7	ʦʊk⁴	
育	jʊk9	jʊk⁵²	
昱	jʊk7	jʊk⁴	
煜			
毓	jʊk7	jʊk⁴	
速	ʦʰʊk7	ʦʰʊk⁴	
嵩	sʊŋ1	sʊŋ⁴⁵	
送	sʊŋ3	sʊŋ⁴⁴	
肅	sʊk7	sʊk⁴	
夙	sʊk7	sʊk⁴	
宿	sʊk7	sʊk⁴	住宿
蓄	ʦʰʊk7	ʦʰʊk⁴	
訌	hʊŋ3	hʊŋ⁴⁴	
洪	hʊŋ4	hʊŋ²¹	
虹	hʊŋ4	hʊŋ²¹	
烘	hʊŋ3	hʊŋ⁴⁴	
紅	hʊŋ4	hʊŋ²¹	紅色
鴻	hʊŋ4	hʊŋ²¹	
哄	hʊŋ3	hʊŋ⁴⁴	哄騙
斛	fʊk9	fʊk⁵²	
汞	kʊŋ3	kʊŋ⁴⁴	
鬨			
空	hʊŋ1	hʊŋ⁴⁵	
穹			
孔	hʊŋ2	hʊŋ²¹⁴	
哭	hʊk7	hʊk⁴	
麴	kʰʊk7	kʰʊk⁴	
俑	jʊŋ2	jʊŋ²¹⁴	
通	tʰʊŋ1	tʰʊŋ⁴⁵	
桶	tʰʊŋ2	tʰʊŋ²¹⁴	
痛	tʰʊŋ3	tʰʊŋ⁴⁴	
禿	tʰʊk7	tʰʊk⁴	
捅	tʰʊŋ2	tʰʊŋ²¹⁴	
侗			
倏	sʊk7	sʊk⁴	
叔	sʊk7	sʊk⁴	
縮	sʊk7	sʊk⁴	
絨	jʊŋ4	jʊŋ²¹	
肉	jʊk9	jʊk⁵²	
戎	jʊŋ4	jʊŋ²¹	
窮	kʰʊŋ4	kʰʊŋ²¹	
聰	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
囪	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
蔥	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
簇	ʦʰʊk7	ʦʰʊk⁴	
蹴			
豐	fʊŋ1	fʊŋ⁴⁵	
撲	pʰuɔk8	pʰuɔk³	又读pʰʊk⁴
醭			
矇	mʊŋ4	mʊŋ²¹	
濛	mʊŋ4	mʊŋ²¹	
朦	mʊŋ4	mʊŋ²¹	
檬	mʊŋ1	mʊŋ⁴⁵	
蒙	mʊŋ4	mʊŋ²¹	
夢	mʊŋ6	mʊŋ⁵²	
懵	mʊŋ5	mʊŋ²¹²	
木	mʊk9	mʊk⁵²	
沐	mʊk9	mʊk⁵²	
睦	mʊk9	mʊk⁵²	
穆	mʊk9	mʊk⁵²	
目	mʊk9	mʊk⁵²	
牧	mʊk9	mʊk⁵²	
苜			
聾	lʊŋ4	lʊŋ²¹	
朧	lʊŋ4	lʊŋ²¹	
嚨	lʊŋ4	lʊŋ²¹	
瓏	lʊŋ4	lʊŋ²¹	
籠	lʊŋ4	lʊŋ²¹	
隆	lʊŋ4	lʊŋ²¹	
窿	lʊŋ1	lʊŋ⁴⁵	
攏	lʊŋ5	lʊŋ²¹²	
弄	nʊŋ6	nʊŋ⁵²	
麓	lʊk7	lʊk⁴	
鹿	lʊk9	lʊk⁵²	
漉	lʊk7	lʊk⁴	
碌	lʊk7	lʊk⁴	
角	kuɔk8	kuɔk³	
祿	lʊk9	lʊk⁵²	
陸	lʊk9	lʊk⁵²	
六	lʊk9	lʊk⁵²	
谷			谷蠡王
戮	lʊk9	lʊk⁵²	
轆	lʊk7	lʊk⁴	
總	ʦʊŋ2	ʦʊŋ²¹⁴	
粽	ʦʊŋ3	ʦʊŋ⁴⁴	
蹙			
椶			
糉			
功	kʊŋ1	kʊŋ⁴⁵	
工	kʊŋ1	kʊŋ⁴⁵	
蚣	kʊŋ1	kʊŋ⁴⁵	
公	kʊŋ1	kʊŋ⁴⁵	
攻	kʊŋ1	kʊŋ⁴⁵	
躬	kʊŋ1	kʊŋ⁴⁵	
宮	kʊŋ1	kʊŋ⁴⁵	
弓	kʊŋ1	kʊŋ⁴⁵	
紅			女紅
貢	kʊŋ3	kʊŋ⁴⁴	
穀	kʊk7	kʊk⁴	
谷	kʊk7	kʊk⁴	山谷
掬	kʊk7	kʊk⁴	
鞠	kʊk7	kʊk⁴	
菊	kʊk7	kʊk⁴	
贛			賜予
轂			
東	tʊŋ1	tʊŋ⁴⁵	
凍	tʊŋ3	tʊŋ⁴⁴	
鶇			
董	tʊŋ2	tʊŋ²¹⁴	
棟	tʊŋ3	tʊŋ⁴⁴	
啄	tiɛk8	tiɛk³	白读tiɛŋ⁴⁵
竺	ʦʊk7	ʦʊk⁴	
桐	tʰʊŋ4	tʰʊŋ²¹	
洞	tʊŋ6	tʊŋ⁵²	
筒	tʰʊŋ4	tʰʊŋ²¹	
銅	tʰʊŋ4	tʰʊŋ²¹	
僮			書僮
童	tʰʊŋ4	tʰʊŋ²¹	
同	tʰʊŋ4	tʰʊŋ²¹	
仝	tʰʊŋ4	tʰʊŋ²¹	
動	tʊŋ6	tʊŋ⁵²	
犢	tʊk9	tʊk⁵²	
獨	tʊk9	tʊk⁵²	
瀆	tʊk9	tʊk⁵²	
讀	tʊk9	tʊk⁵²	朗讀
瞳	tʰʊŋ4	tʰʊŋ²¹	
牘	tʊk9	tʊk⁵²	
侗			倥侗
叢	ʦʰʊŋ4	ʦʰʊŋ²¹	
族	ʦʊk9	ʦʊk⁵²	
鑿	ʦuɔk9	ʦuɔk⁵²	
矗	ʦʰʊk7	ʦʰʊk⁴	
崇	sʊŋ4	sʊŋ²¹	
蟲	ʦʰʊŋ4	ʦʰʊŋ²¹	
沖	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
仲	ʦʊŋ6	ʦʊŋ⁵²	
逐	ʦʊk9	ʦʊk⁵²	
軸	ʦʊk9	ʦʊk⁵²	
筑	ʦʊk7	ʦʊk⁴	
忡			
淑	sʊk9	sʊk⁵²	
熟	sʊk9	sʊk⁵²	
塾	sʊk9	sʊk⁵²	
孰	sʊk9	sʊk⁵²	
充	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
銃			
蓬	pʰʊŋ4	pʰʊŋ²¹	
篷	pʰʊŋ4	pʰʊŋ²¹	
蜂	fʊŋ1	fʊŋ⁴⁵	
梵	fan6	fan⁵²	
馮	fʊŋ4	fʊŋ²¹	馮姓
鳳	fʊŋ6	fʊŋ⁵²	
僕	pʊk9	pʊk⁵²	
服	fʊk9	fʊk⁵²	
匐			
馥			
暴			一暴十寒
瀑	pʊk9	pʊk⁵²	
楓	fʊŋ1	fʊŋ⁴⁵	
風	fʊŋ1	fʊŋ⁴⁵	
俸	fʊŋ6	fʊŋ⁵²	
諷	fʊŋ3	fʊŋ⁴⁴	
蹼	pʊk9	pʊk⁵²	
卜	pʊk7	pʊk⁴	
腹	fʊk7	fʊk⁴	
蝠	fʊk7	fʊk⁴	
福	fʊk7	fʊk⁴	
幅	fʊk7	fʊk⁴	
冢	ʦʊŋ2	ʦʊŋ²¹⁴	
塚	ʦʊŋ2	ʦʊŋ²¹⁴	
鐘	ʦʊŋ1	ʦʊŋ⁴⁵	
忪	ʦʊŋ1	ʦʊŋ⁴⁵	怔忪
鍾	ʦʊŋ1	ʦʊŋ⁴⁵	
踵	ʦʊŋ2	ʦʊŋ²¹⁴	
腫	ʦʊŋ2	ʦʊŋ²¹⁴	
種	ʦʊŋ2	ʦʊŋ²¹⁴	種子
種	ʦʊŋ3	ʦʊŋ⁴⁴	種植
燭	ʦʊk7	ʦʊk⁴	
囑	ʦʊk7	ʦʊk⁴	
矚	ʦʊk7	ʦʊk⁴	
屬			屬文
盅	ʦʊŋ1	ʦʊŋ⁴⁵	
癰			
邕			
壅	jʊŋ1	jʊŋ⁴⁵	
雍	jʊŋ1	jʊŋ⁴⁵	
擁	jʊŋ2	jʊŋ²¹⁴	
谷			吐谷渾
蓉	jʊŋ4	jʊŋ²¹	
溶	jʊŋ4	jʊŋ²¹	
容	jʊŋ4	jʊŋ²¹	
傭	jʊŋ4	jʊŋ²¹	
鎔	jʊŋ4	jʊŋ²¹	
庸	jʊŋ4	jʊŋ²¹	
恿	jʊŋ2	jʊŋ²¹⁴	
蛹	jʊŋ2	jʊŋ²¹⁴	
勇	jʊŋ5	jʊŋ²¹²	
用	jʊŋ6	jʊŋ⁵²	
浴	jʊk9	jʊk⁵²	
慾	jʊk9	jʊk⁵²	
頌	ʦʊŋ6	ʦʊŋ⁵²	
欲	jʊk9	jʊk⁵²	
甬	jʊŋ2	jʊŋ²¹⁴	
踊	jʊŋ5	jʊŋ²¹²	
獄	jʊk9	jʊk⁵²	
玉	jʊk9	jʊk⁵²	
聳	sʊŋ2	sʊŋ²¹⁴	
悚	sʊŋ2	sʊŋ²¹⁴	
慫	sʊŋ2	sʊŋ²¹⁴	
粟	sʊk7	sʊk⁴	
松	ʦʰʊŋ4	ʦʰʊŋ²¹	
訟	ʦʊŋ6	ʦʊŋ⁵²	
誦	ʦʊŋ6	ʦʊŋ⁵²	
續	ʦʊk9	ʦʊk⁵²	
俗	ʦʊk9	ʦʊk⁵²	
旭	jʊk7	jʊk⁴	
凶	hʊŋ1	hʊŋ⁴⁵	
洶	hʊŋ1	hʊŋ⁴⁵	
兇	hʊŋ1	hʊŋ⁴⁵	
匈	hʊŋ1	hʊŋ⁴⁵	
恐	hʊŋ2	hʊŋ²¹⁴	
曲	kʰʊk7	kʰʊk⁴	
舂	ʦʊŋ1	ʦʊŋ⁴⁵	
束	ʦʰʊk7	ʦʰʊk⁴	
茸	jʊŋ4	jʊŋ²¹	
辱	jʊk9	jʊk⁵²	
冗	jʊŋ5	jʊŋ²¹²	
𣭲			
縟	jʊk9	jʊk⁵²	
局	kʊk9	kʊk⁵²	
從	ʦʰʊŋ4	ʦʰʊŋ²¹	從容
促	ʦʰʊk7	ʦʰʊk⁴	
鋒	fʊŋ1	fʊŋ⁴⁵	
烽	fʊŋ1	fʊŋ⁴⁵	
丰	fʊŋ1	fʊŋ⁴⁵	
捧	fʊŋ2	fʊŋ²¹⁴	
濃	nʊŋ4	nʊŋ²¹	白读jʊŋ²¹
龍	lʊŋ4	lʊŋ²¹	
隴	lʊŋ5	lʊŋ²¹²	
綠	lʊk9	lʊk⁵²	
錄	lʊk9	lʊk⁵²	
縱			縱橫
縱	ʦʊŋ3	ʦʊŋ⁴⁴	放縱
蹤	ʦʊŋ1	ʦʊŋ⁴⁵	
樅	ʦʊŋ1	ʦʊŋ⁴⁵	
足	ʦʊk7	ʦʊk⁴	足跡
共	kʊŋ6	kʊŋ⁵²	
恭	kʊŋ1	kʊŋ⁴⁵	
供	kʊŋ1	kʊŋ⁴⁵	提供
供	kʊŋ3	kʊŋ⁴⁴	供奉
鞏	kʊŋ2	kʊŋ²¹⁴	
拱	kʊŋ2	kʊŋ²¹⁴	
鋦	kʊk9	kʊk⁵²	
從	ʦʰʊŋ4	ʦʰʊŋ²¹	跟從
從			從兄弟
贖	sʊk9	sʊk⁵²	
重	ʦʰʊŋ4	ʦʰʊŋ²¹	重新
重	ʦʰʊŋ5	ʦʰʊŋ²¹²	重量
重	ʦʊŋ6	ʦʊŋ⁵²	重要
寵	ʦʰʊŋ2	ʦʰʊŋ²¹⁴	
屬	sʊk9	sʊk⁵²	屬於
蜀	sʊk9	sʊk⁵²	
鐲	ʔɐk7	ʔɐk⁴	训读
憧	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
衝	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	衝鋒
觸	ʦʰʊk7	ʦʰʊk⁴	
逢	fʊŋ4	fʊŋ²¹	
縫	fʊŋ4	fʊŋ²¹	裁縫
縫	fʊŋ4	fʊŋ²¹	裂縫
奉	fʊŋ6	fʊŋ⁵²	
封	fʊŋ1	fʊŋ⁴⁵	
簪	ʦam1	ʦam⁴⁵	
針	ʦɐm1	ʦɐm⁴⁵	
斟	ʦɐm1	ʦɐm⁴⁵	
汁	ʦɐp7	ʦɐp⁴	
執	ʦɐp7	ʦɐp⁴	
枕	ʦɐm2	ʦɐm²¹⁴	枕頭
枕	ʦɐm3	ʦɐm⁴⁴	枕戈待旦
揖	jɐp7	jɐp⁴	
熠			
淫	jɐm4	jɐm²¹	
霪			
心	sɐm1	sɐm⁴⁵	
尋	ʦʰɐm4	ʦʰɐm²¹	
襲	ʦɐp9	ʦɐp⁵²	
習	ʦɐp9	ʦɐp⁵²	
褶	ʦip8	ʦip³	皺褶
潯			
深	sɐm1	sɐm⁴⁵	
審	sɐm2	sɐm²¹⁴	
溼	sɐp7	sɐp⁴	
濕	sɐp7	sɐp⁴	
任	jɐm6	jɐm⁵²	信任
任	jɐm6	jɐm⁵²	任姓
壬	jɐm4	jɐm²¹	
飪	jɐm6	jɐm⁵²	
入	jɐp9	jɐp⁵²	
廿	ja6	ja⁵²	
稔	niɐm1	niɐm⁴⁵	
妊	jɐm6	jɐm⁵²	
紝			
恁	jɐm4	jɐm²¹	
恁			
衽			
沁	jɐm3	jɐm⁴⁴	又读sɐm²¹²
浸	ʦɐm3	ʦɐm⁴⁴	
侵	ʦʰɐm1	ʦʰɐm⁴⁵	
寢	ʦʰɐm2	ʦʰɐm²¹⁴	
緝	ʦʰɐp7	ʦʰɐp⁴	
淋	lɐm4	lɐm²¹	
琳	lɐm4	lɐm²¹	
臨	lɐm4	lɐm²¹	
霖	lɐm4	lɐm²¹	
林	lɐm4	lɐm²¹	
笠	lɐp7	lɐp⁴	
粒	nɐp7	nɐp⁴	
立	lɐp9	lɐp⁵²	
痳			
檁			
廪			
廩			
集	ʦɐp9	ʦɐp⁵²	
輯	ʦʰɐp7	ʦʰɐp⁴	
蕈			
葚			
忱	sɐm4	sɐm²¹	
甚	sɐm6	sɐm⁵²	
什	ʦap9	ʦap⁵²	什錦
十	sɐp9	sɐp⁵²	
拾	sɐp9	sɐp⁵²	
熠			
窨			
陰	jɐm1	jɐm⁴⁵	
瘖	jɐm1	jɐm⁴⁵	
音	jɐm1	jɐm⁴⁵	
飲	jɐm2	jɐm²¹⁴	飲水
飲			飲馬
蔭	jɐm1	jɐm⁴⁵	
邑	jɐp7	jɐp⁴	
吟	jɐm4	jɐm²¹	
岌			
吸	kʰɐp7	kʰɐp⁴	
鑫	jɐm1	jɐm⁴⁵	
欽	jɐm1	jɐm⁴⁵	
泣	jɐp7	jɐp⁴	
森	sɐm1	sɐm⁴⁵	
參	sɐm1	sɐm⁴⁵	人參
滲	sɐm3	sɐm⁴⁴	
澀	kɐp10	kɐp⁴⁵0	
擒	kʰɐm4	kʰɐm²¹	
琴	kʰɐm4	kʰɐm²¹	
凜			
禽	kʰɐm4	kʰɐm²¹	
苙	lɐp7	lɐp⁴	
及	kiɐp9	kiɐp⁵²	
黔	kʰim4	kʰim²¹	
品	pɐn2	pɐn²¹⁴	
賃			
金	kɐm1	kɐm⁴⁵	
襟	kʰɐm1	kʰɐm⁴⁵	
今	kɐm1	kɐm⁴⁵	
禁	kɐm3	kɐm⁴⁴	禁止
禁	kʰɐm1	kʰɐm⁴⁵	禁著
錦	kɐm2	kɐm²¹⁴	
汲	kʰɐp7	kʰɐp⁴	
急	kɐp7	kɐp⁴	
給	kʰɐp7	kʰɐp⁴	
級	kʰɐp7	kʰɐp⁴	
參	ʦʰam1	ʦʰam⁴⁵	參差
涔	sɐm4	sɐm²¹	
岑	sɐm4	sɐm²¹	
沈	sɐm2	sɐm²¹⁴	
湛	ʦam3	ʦam⁴⁴	又读ʦam⁵²
沉	ʦʰɐm4	ʦʰɐm²¹	
朕			
蟄	kɪk7	kɪk⁴	
闖	ʦʰuɔŋ2	ʦʰuɔŋ²¹⁴	
琛	sɐm1	sɐm⁴⁵	
稟	pɐn2	pɐn²¹⁴	
安	ʔuɔn1	ʔuɔn⁴⁵	
案	ʔuɔn3	ʔuɔn⁴⁴	
按	ʔuɔn3	ʔuɔn⁴⁴	
腕	wun2	wun²¹⁴	
晏	ʔan3	ʔan⁴⁴	
遏			
豌	wun2	wun²¹⁴	
剜			
斡			
胺	ʔuɔn1	ʔuɔn⁴⁵	
惋	wun2	wun²¹⁴	
岸	ŋuɔn6	ŋuɔn⁵²	
玩	wan2	wan²¹⁴	玩弄
跚	san1	san⁴⁵	
酸	sin1	sin⁴⁵	
珊	san1	san⁴⁵	
痠	sin1	sin⁴⁵	
姍	san1	san⁴⁵	
散	san2	san²¹⁴	散文
散	san3	san⁴⁴	散步
算	sin3	sin⁴⁴	
傘	san3	san⁴⁴	
蒜	sin3	sin⁴⁴	
薩	sat8	sat³	
歡	fun1	fun⁴⁵	
鼾	huɔn4	huɔn²¹	
奐	wun6	wun⁵²	
喚	fun6	fun⁵²	
漢	huɔn3	huɔn⁴⁴	
煥	fun6	fun⁵²	
豁	kʰut8	kʰut³	
焊	huɔn6	huɔn⁵²	
院	jin6	jin⁵²	
完	jin4	jin²¹	
丸	jin4	jin²¹	
汗	huɔn6	huɔn⁵²	流汗
汗			可汗
桓	fun4	fun²¹	
翰	huɔn6	huɔn⁵²	
寒	huɔn4	huɔn²¹	
韓	huɔn4	huɔn²¹	
棵	kʰuɔ1	kʰuɔ⁴⁵	
浣	wun5	wun²¹²	
旱	huɔn5	huɔn²¹²	
緩	fun6	fun⁵²	又读fun²¹ ;wun²¹
換	wun6	wun⁵²	
悍	huɔn5	huɔn²¹²	
瀚	huɔn6	huɔn⁵²	
褐	huɔt8	huɔt³	
曷			
紈			
莞	wun2	wun²¹⁴	莞爾
捍	huɔn5	huɔn²¹²	
刊	huɔn2	huɔn²¹⁴	
寬	fun1	fun⁴⁵	
看	huɔn3	huɔn⁴⁴	看守
看	huɔn3	huɔn⁴⁴	看待
侃	huɔn2	huɔn²¹⁴	
款	fun2	fun²¹⁴	
闊	fut8	fut³	
渴	huɔt8	huɔt³	
湍	ʦʰin1	ʦʰin⁴⁵	
嘆	tʰan3	tʰan⁴⁴	
攤	tʰan1	tʰan⁴⁵	
灘	tʰan1	tʰan⁴⁵	
坦	tʰan2	tʰan²¹⁴	
瘓	fun6	fun⁵²	
歎	tʰan3	tʰan⁴⁴	
炭	tʰan3	tʰan⁴⁴	
達	tat9	tat⁵²	
獺			
疃			
餐	ʦʰan1	ʦʰan⁴⁵	
璨	ʦʰan3	ʦʰan⁴⁴	
燦	ʦʰan3	ʦʰan⁴⁴	
竄	ʦʰin3	ʦʰin⁴⁴	
拌	pun6	pun⁵²	
潘	pʰun1	pʰun⁴⁵	
判	pʰun3	pʰun⁴⁴	
胖	pun6	pun⁵²	肥胖
胖			心廣體胖
難	nan4	nan²¹	困難
難	nan6	nan⁵²	難民
暖	nun5	nun²¹²	
捺	nat9	nat⁵²	又读nap⁵²
饅	man6	man⁵²	
蔓	man6	man⁵²	蔓菁
鰻	man4	man²¹	
瞞	mun4	mun²¹	
曼	man6	man⁵²	
滿	mun5	mun²¹²	
漫	man6	man⁵²	
幔	man6	man⁵²	
末	mut9	mut⁵²	
抹	mut8	mut³	塗抹
闌	lan4	lan²¹	
巒	lin4	lin²¹	
蘭	lan4	lan²¹	
瀾	lan4	lan²¹	
攔	lan4	lan²¹	
欄	lan4	lan²¹	
懶	lan5	lan²¹²	
卵	lin5	lin²¹²	
亂	lin6	lin⁵²	
爛	lan6	lan⁵²	
鸞	lin4	lin²¹	
捋	lit8	lit³	
剌	lɐk9	lɐk⁵²	
瘌			
鑽	ʦun3	ʦun⁴⁴	
讚	ʦan3	ʦan⁴⁴	
贊	ʦan3	ʦan⁴⁴	
撮	ʦʰit8	ʦʰit³	
灒			
纂	san3	san⁴⁴	
棺	kun1	kun⁴⁵	
奸	kan1	kan⁴⁵	
肝	kuɔn1	kuɔn⁴⁵	
竿	kuɔn1	kuɔn⁴⁵	
觀	kun1	kun⁴⁵	參觀
觀	kun1	kun⁴⁵	道觀
冠	kun1	kun⁴⁵	衣冠
冠	kun3	kun⁴⁴	冠軍
官	kun1	kun⁴⁵	
貫	kun3	kun⁴⁴	
倌			
乾	kuɔn1	kuɔn⁴⁵	乾燥
干	kuɔn1	kuɔn⁴⁵	
管	kun2	kun²¹⁴	
稈	kuɔn2	kuɔn²¹⁴	
鸛	kun3	kun⁴⁴	
杆	kuɔn1	kuɔn⁴⁵	
罐	kun3	kun⁴⁴	
館	kun2	kun²¹⁴	
灌	kun3	kun⁴⁴	
幹	kuɔn3	kuɔn⁴⁴	
聒	kʰut8	kʰut³	
割	kuɔt8	kuɔt³	
活	wut9	wut⁵²	
括	kʰut8	kʰut³	
葛	kuɔk8	kuɔk³	
擀			
莞	kun2	kun²¹⁴	莞草
端	tin1	tin⁴⁵	
單	tan1	tan⁴⁵	單純
殫	tan1	tan⁴⁵	
丹	tan1	tan⁴⁵	
斷	tin6	tin⁵²	恩斷義絕
斷	tin6	tin⁵²	診斷
短	tin2	tin²¹⁴	
旦	tan3	tan⁴⁴	元旦
旦	tan3	tan⁴⁴	花旦
鍛	tin6	tin⁵²	
掇	ʦʰit8	ʦʰit³	
鄲			
團	tʰin4	tʰin²¹	
壇	tʰan4	tʰan²¹	
檀	tʰan4	tʰan²¹	
彈	tan4	tan²¹	彈劾
彈	tʰan6	tʰan⁵²	彈丸
但	tan6	tan⁵²	
斷	tʰin5	tʰin²¹²	白讀
誕	tan3	tan⁴⁴	
袒	tʰan2	tʰan²¹⁴	
緞	tin6	tin⁵²	
憚	tan6	tan⁵²	
段	tin6	tin⁵²	
奪	tit9	tit⁵²	
脫	tʰit8	tʰit³	
膻			
椴	tin6	tin⁵²	
殘	ʦʰan4	ʦʰan²¹	
般			般樂
蹣			
盤	pʰun4	pʰun²¹	
伴	pun6	pun⁵²	罕见pʰun²¹²
叛	pun6	pun⁵²	
畔	pun6	pun⁵²	
跋	pat9	pat⁵²	
鈸	pat9	pat⁵²	
磐	pʰun4	pʰun²¹	
般	pun1	pun⁴⁵	一般
粄			
半	pun3	pun⁴⁴	
絆	pun6	pun⁵²	
撥	put8	put³	
鉢	put8	put³	
蛭	ʦi3	ʦi⁴⁴	
盞	ʦan2	ʦan²¹⁴	
札	ʦat8	ʦat³	
紮	ʦat8	ʦat³	
扎	ʦat8	ʦat³	
揠	ʔat8	ʔat³	
軋			
殷	jɐn1	jɐn⁴⁵	殷紅
眼	ŋan5	ŋan²¹²	
滑	wat9	wat⁵²	光滑
湲			
限	han6	han⁵²	
幻	wan6	wan⁵²	
黠			
猾	wat9	wat⁵²	
閑	han4	han²¹	
莧	jɐn6	jɐn⁵²	
產	ʦʰan2	ʦʰan²¹⁴	
汕	san3	san⁴⁴	
殺	sat8	sat³	殺敵
山	san1	san⁴⁵	
煞	sat8	sat³	
拴	san1	san⁴⁵	
盼	pʰan3	pʰan⁴⁴	
斕	lan4	lan²¹	
楔	siɐp8	siɐp³	
綸	kan1	kan⁴⁵	綸巾
閒	han4	han²¹	
艱	kan1	kan⁴⁵	
揀	kan2	kan²¹⁴	
簡	kan2	kan²¹⁴	
嘎			
頡	kʰit8	kʰit³	
襇			
柬	kan2	kan²¹⁴	
鰥			
鏟	ʦʰan2	ʦʰan²¹⁴	
察	ʦʰat8	ʦʰat³	
潺	san4	san²¹	
棧	ʦan6	ʦan⁵²	
綻	ʦan6	ʦan⁵²	
瓣	pan6	pan⁵²	
辦	pan6	pan⁵²	
捌	pat8	pat³	
八	pat8	pat³	
灣	wan1	wan⁴⁵	
彎	wan1	wan⁴⁵	
頑	ŋan4	ŋan²¹	
顏	ŋan4	ŋan²¹	
雁	ŋan6	ŋan⁵²	
瞎			
環	wan4	wan²¹	
寰	wan4	wan²¹	
鬟	wan4	wan²¹	
還	wan4	wan²¹	
患	wan6	wan⁵²	
皖	wun2	wun²¹⁴	
宦	wan6	wan⁵²	
圜			環繞
豢			
舌	sit9	sit⁵²	
訕	san3	san⁴⁴	
刪	san1	san⁴⁵	
疝			
閂	san1	san⁴⁵	
涮			
汕	san3	san⁴⁴	汕頭
刷	sat8	sat³	
攀	pʰan1	pʰan⁴⁵	
扳	pan1	pan⁴⁵	
襻			
蠻	man4	man²¹	
慢	man6	man⁵²	
帕	pʰɐk7	pʰɐk⁴	
謾	man6	man⁵²	
關	kan1	kan⁴⁵	
姦	kan1	kan⁴⁵	
慣	kan3	kan⁴⁴	
澗	kan3	kan⁴⁴	
諫	kan3	kan⁴⁴	
串	ʦʰin3	ʦʰin⁴⁴	
刮	kʰat8	kʰat³	又读kat³
鐧			
篡	san3	san⁴⁴	
撰	ʦan6	ʦan⁵²	
斑	pan1	pan⁴⁵	
班	pan1	pan⁴⁵	
板	pan2	pan²¹⁴	
版	pan2	pan²¹⁴	
扳	pan1	pan⁴⁵	扳手
舨			
掇			掂掇
折	ʦit8	ʦit³	骨折
專	ʦin1	ʦin⁴⁵	
氈	ʦin1	ʦin⁴⁵	
顫	ʦin3	ʦin⁴⁴	
戰	ʦin3	ʦin⁴⁴	
浙	ʦit8	ʦit³	
拙	ʦʰit8	ʦʰit³	
娟	kin1	kin⁴⁵	
捐	kin1	kin⁴⁵	
兗			
說			同「悅」
筵	jin4	jin²¹	
鳶	jin1	jin⁴⁵	
蜒	jin4	jin²¹	
鉛	jin4	jin²¹	
緣	jin4	jin²¹	
沿	jin4	jin²¹	
延	jin4	jin²¹	
衍	jin2	jin²¹⁴	
演	jin2	jin²¹⁴	
悅	jit9	jit⁵²	
閱	jit9	jit⁵²	
癬	sin2	sin²¹⁴	
褻			
鮮	sin1	sin⁴⁵	鮮美
鮮	sin1	sin⁴⁵	鮮有
