// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
ts	aʔ	入聲	扎2{掙~；~火：生火} 札 軋2{~鋼} 輒 澤 擇{選~} 折3{寧~不彎} 浙 蜇{~人} 蟄3{~伏} 責 則 咋3{~不吃} 窄 酌1{斟~} 蘸 睫1{眼~毛子} 摘著2{~想瓜平~；~愣：耳朵豎起的樣子} 聃{~愣：耳朵豎起的樣子}
ts	aʔ	輕聲	扎3{作動詞、形容詞後綴的讀音} 渣3{~~渣3~~渣3的：第一、第二、第四、第五個~讀輕入，第三個渣3讀本調陰平，第六個渣3讀本調陰平或變調上聲}
tsʰ	aʔ	入聲	察 擦{~倒：滑倒} 礫{~子：擦絲用具} 廁2{~所} 測 惻 拆 冊 徹 焯{給咱把儹點兒菜~一下} 撤2{~退} 綽2{~影兒：捕風捉影；影影~~的：兩個~都讀輕入} 詫{驚~} 插{~關：~手} 剎3{古~} 刺3{~鬧的}
tsʰ	aʔ	輕聲	嚓4{~~嚓4~~嚓4的：第一、第二、第四、第五個~讀輕入，第三個嚓4讀本調陰平，第六個嚓4讀本調陰平或變調上聲} 喳4{~~喳4~~喳4的：第一、第二、第四、第五個~讀輕入，第三個喳4讀本調陰平，第六個喳4讀本調陰平或變調上聲}
s	aʔ	入聲	色{~彩；拉~；垃圾} 殺 揉{~達：因對人不滿而用手摔摔打打} 澀1{苦~} 涉 瑟2 設 嗇2 嗇2 穡2 各{~} 穡2{~地：翻過的喧騰的耕地} 攝1{~取} 煞2 撒2{~腿；~歡兒} 剎4{~車：古~}
s	aʔ	輕聲	曬 老{~} 張望 吵4{~~吵4~~吵4的：第一、第二、第四、第五個~讀輕入，第三個吵4讀本調陰平，第六個吵4讀本調陰平或變調上聲}
z	aʔ	入聲	若 諾4{應~} 弱 熱2{~烈}
k	aʔ	入聲	盒2{~+一~升；不~股：合不來} 鴿1{~子} 蛤2{~蚧} 蚧 葛 革 各 胳1 閣3{~樓；樓~；~子} 格 擱3{~靠其後；~分兒：打撲克術語} 咯4 硌 酪2{油~：榨油時磨成糊狀的胡麻} 恰 老{~道兒：老搭檔} 厴{~伴：交接} 隔1{~離} 隔 隔1{~扇} 戈2{~壁} 個2{~人的}
k	aʔ	輕聲	骼1{骨~} 嘎3{~~嘎3~~嘎3的：第一、第二、第四、第五個~讀輕入，第三個嘎3讀本調陰平，第六個嘎3讀本調陰平或變調上聲}
kʰ	aʔ	入聲	客1{~人} 喀2{~什} 恪{~守} 渴 咳5{~嗽} 殼2{雞蛋~子；地~} 額1{單字音} 可7{~不合~子：量具} 磕 嗑 磕2{~打} 鴝2{~子} 峪{村名}
kʰ	aʔ	輕聲	嗑2{結~子：結巴} 額2{下~子：下巴兒}
x	aʔ	入聲	合4{~起來} 哈5{點頭~腰；不哼不~} 喝{~水；吆~：文讀} 鶴 郝2{姓} 涸2{風~；河流乾~}
Ø	aʔ	入聲	啊4{~霆：模擬打噴嚏的聲音}
Ø	aʔ	輕聲	啊5{~~啊5~~啊5的：詞中第一、第二、第四、第五個~讀輕入，第三個啊5讀本調陰平，第六個啊5讀本調陰平或變調上聲}
// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	m	f	v	k	x
@FIN	ei
@TON	陰平	31
@TON	陽平	22
@TON	上聲	53
@TON	去聲	214
@TON	輕聲	20

// Initial	Final	Tone	CharList (Space separated)
p	ei	陰平	卑 碑 杯 背1{~石頭} 悲 備2{預~起：開始做某事的口令}
p	ei	去聲	貝 倍 輩 悖 背2{脊~；~地} 稗2{水~子：野草名} 鞲{風匣~杆} 卜1{蘿~}
m	ei	陽平	埋 煤 媒 枚 玫 霉 梅
m	ei	上聲	美 每
m	ei	去聲	妹 墨2{~汁} 昧
m	ei	輕聲	沒2{四~子：身體多病不健康的人、沒有一點兒技能什麼都幹不了或做不好的人}
f	ei	陰平	飛{~機；為採光使屋簷上翹另加的一層屋簷} 非1{是~} 啡1{疼的時候或表示否定時會連續用此音表示}
f	ei	陽平	肥
f	ei	上聲	匪 菲 誹 啡2{咖~} 翡{~翠} 妃{~子}
f	ei	去聲	吠 廢 費 肺
v	ei	陰平	偉 違 威 微1{~小} 危 喂1{打招呼或打電話用語} 偎1{圪~} 煨1{拿慢火兒~} 揋{挪動重物} 巍1 圍1{~了圪噠頭巾；~脖兒} 喡{~~：嚎哭，後一個~讀輕聲}
v	ei	陽平	微2{稍~；~~兒的：前一個~讀又音陽平，後一個讀變調陰平或又音陽平} 為1{~人} 唯 維 惟 圍2{包~} 圩 衛1{保~}
v	ei	上聲	委 萎 諉 葳 偽 葦 緯{~度} 尾2{結~} 娓 煨2{~糞}
v	ei	去聲	未 味1 位 為2{因~} 尉 慰2{~問} 蔚2{~然} 衛2{姓~} 胃 謂 蝟{~蟲} 畏 喂2{~飯} 偎2{依~} 魏 遺2
v	ei	輕聲	味2{詞綴“拉~的”中的讀音}
k	ei	上聲	給5{讀書音}
x	ei	陰平	嘿
// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
