汉字	钟山	郎岱	岩脚	响水	鸡场坪	陡箐	玉舍	营盘
瓶	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2
钉名	tin1	tin1	tin1	tin1	tin1	tin1	tin1	tin1
顶	tin3	tin3	tin3	tin3	tin3	tin3	tin3	tin3
厅	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1
听(～见)	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1	tʰin1
停	tʰin2	tʰin2	tʰin2	tʰin2	tʰin2	tʰin2	tʰin2	tʰin2
挺	tʰin3	tʰin3	tʰin3	tʰin3	tʰin3	tʰin3	tʰin3	tʰin3
定	tin5	tin5	tin5	tin5	tin5	tin5	tin5	tin5
零	lin2	nin2	nin2	nin2	lin2	nin2	nin2	lin2
青	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1
星	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1
经	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1
形	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2
壁	pi2	pi2	pi2	pi2	pi2	pi2	pi2	pi2
劈	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2
踢	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2
笛	ti2	ti2	ti2	ti2	ti2	ti2	ti2	ti2
历(农～)	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
锡	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
击	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
吃	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2
横(～竖)	xuen2/xuan2	xuen2	xuen2	xuen2	xuen2	xuen2	xuen2	xuen2/xen2
划(计～)	xua5	xua5	xua5	xua5	xua5	xua5	xua5	xua5
兄	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1
荣	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2
永	ioŋ3	ioŋ3	ioŋ3	ioŋ3	ioŋ3	yn3	yn3	ioŋ3
营	in2	in2	in2	in2	in2	in2	in2	in2
蓬(～松)	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2
东	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1
懂	toŋ3	toŋ3	toŋ3	toŋ3	toŋ3	toŋ3	toŋ3	toŋ3
冻	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5
通	tʰoŋ1	tʰoŋ1	tʰoŋ1	tʰoŋ1	tʰoŋ1	tʰoŋ1	tʰoŋ1	tʰoŋ1
桶	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3
痛	tʰoŋ5	tʰoŋ5	tʰoŋ5	tʰoŋ5	tʰoŋ5	tʰoŋ5	tʰoŋ5	tʰoŋ5
铜	tʰoŋ2	tʰoŋ2	tʰoŋ2	tʰoŋ2	tʰoŋ2	tʰoŋ2	tʰoŋ2	tʰoŋ2
动	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5
洞	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5	toŋ5
聋	loŋ1	noŋ1	noŋ1	noŋ1	loŋ1	noŋ1	noŋ1	loŋ1
弄	loŋ5	noŋ5	noŋ5	noŋ5	loŋ5	noŋ5	noŋ5	loŋ5
粽	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5
葱	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1
送	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5
公	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1
孔	kʰoŋ3	kʰoŋ3	kʰoŋ3	kʰoŋ3	kʰoŋ3	kʰoŋ3	kʰoŋ3	kʰoŋ3
烘(～干)	xoŋ1	xoŋ1	xoŋ1	xoŋ1	xoŋ1	xoŋ1	xoŋ1	xoŋ1
红	xoŋ2	xoŋ2	xoŋ2	xoŋ2	xoŋ2	xoŋ2	xoŋ2	xoŋ2
翁	oŋ1	uoŋ1	oŋ1	oŋ1	oŋ1	oŋ1	oŋ1	oŋ1
木	mu2	mu2	mu2	mu2	mu2	mu2	mu2	mu2
读	tu2	tu2	tu2	tu2	tu2	tu2	tu2	tu2
鹿	lu2	nu2	nu2	nu2	lu2	nu2	nu2	lu2
族	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2
谷(稻～)	ku2	ku2	ku2	ku2	ku2	ku2	ku2	ku2
哭	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2
屋	u2	u2	u2	u2	u2	u2	u2	u2
冬(～至)	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1	toŋ1
统	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3	tʰoŋ3
脓	loŋ2	noŋ2	noŋ2	noŋ2	loŋ2	noŋ2	noŋ2	loŋ2
松(～紧)	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1
宋	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5	soŋ5
毒	tu2	tu2	tu2	tu2	tu2	tu2	tu2	tu2
风	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1
丰	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1
凤	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5
梦	moŋ5	moŋ5	moŋ5	moŋ5	moŋ5	moŋ5	moŋ5	moŋ5
中(当～)	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1
虫	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2	tsʰoŋ2
终	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsoŋ1
充	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1
宫	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1
穷	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2	tɕʰioŋ2
熊	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2
雄	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2	ɕioŋ2
福	fu2	fu2	fu2	fu2	fu2	fu2	fu2	fu2
服	fu2	fu2	fu2	fu2	fu2	fu2	fu2	fu2
目	mu2	mu2	mu2	mu2	mu2	mu2	mu2	mu2
六	lu2	nu2	nu2	nu2	lu2	nu2	nu2	lu2
宿(住～，～舍)	su2	su2	su2	su2	su2	ɕyu2	ɕyu/su2	ɕiu/su2
竹	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2
畜(～生)	tsʰu2	su2/tsʰu2	tsʰu2	tsʰu2	ɕiu2	tsʰu2	tsʰu2	tsʰu2
缩	so2	so2	so2	so2	so2	so2	so2	so2
粥	tsou1	tsou1	tsou1	tsou1	tsou1	tsou1	tsou1	tsou1
叔	su2	su2	su2	su2	su2	su2	su2	su2
熟	su2	su2	su2	su2	su2	su2	su2	su2
肉	zu2	zu2	zu2	zu2	zu2	zu2	zu2	zu2
菊	tɕyu2	tsu2	tɕiu2	tɕiou2	tɕiu2	tɕyu2	tɕyu2	tɕiu2
育	yu2	iəu2	iəu2	iou2	iu2	iəu2	yu2	iu2
封	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1
蜂	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1
缝(一条～)	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5	foŋ5
浓	loŋ2	noŋ2	noŋ2	noŋ2	loŋ2	noŋ2	noŋ2	loŋ2
龙	loŋ2	noŋ2	noŋ2	noŋ2	loŋ2	noŋ2	noŋ2	loŋ2
松(～树)	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1	soŋ1
重(轻～)	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5
肿	tsoŋ3	tsoŋ3	tsoŋ3	tsoŋ3	tsoŋ3	tsoŋ3	tsoŋ3	tsoŋ3
种(～树)	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5	tsoŋ5
冲	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1	tsʰoŋ1
恭	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1	koŋ1
共	koŋ5	koŋ5	koŋ5	koŋ5	koŋ5	koŋ5	koŋ5	koŋ5
凶(吉～)	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1	ɕioŋ1
拥	ioŋ1	ioŋ1	ioŋ1	ioŋ1	ioŋ1	ioŋ1	ioŋ1	ioŋ1
容	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2	ioŋ2
用	ioŋ5	ioŋ5	ioŋ5	ioŋ5	ioŋ5	ioŋ5	ioŋ5	ioŋ5
绿	lu2	nu2	nu2	nu2	lu2	nu2	nu2	lu2
足	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2
烛	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2	tsu2
赎	su2	su2	su2	su2	su2	su2	su2	su2
属	su2	su2	su2	su2	su2	su2	su2	su2
褥	zu3	zu3	zu3	zu3	zu3	zu3	zu3	zu3
曲(～折，歌～)	tɕʰyu2	tsʰu2	tɕʰiu2	tɕʰiou2	tɕʰiu2	tɕʰyu2	tɕʰyu2	tɕʰiu2
局	tɕyu2	tsu2	tɕiu2	tɕiou2	tɕiu2	tɕyu2	tɕyu2	tɕiu2
玉	y5	i5	i5	i5	i5	y5	y5	i5
浴	yu2	iəu2	iəu2	iou2	iou2	yu2		iu2
