	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
ɕiɔ	消宵霄硝逍销嚣箫萧啸𫽐（掀）枭		小晓		孝=（~子）笑肖酵=				
ʔiɔ	幺妖邀腰要（~求）䙅				要（重~）				
ɦiɔ		肴淆摇谣窑姚尧		舀杳		耀鹞效校			
po	巴芭疤把（~脉）饽（~~，儿语）		把（~握，~尿）		霸坝靶				
pʰo	□（~开来，即散开来）				怕				
bo		爬琶杷耙扒				罢（~免）			
mo	□（~得紧，即精打细算）	麻蔴		马		骂码			
tso	查（姓）渣遮				炸诈榨蔗				
tsʰo	叉杈钗差（~不多）车				岔（三~路）				
dzo		茶搽查蛇佘（姓，又音）				昨			
so	沙纱赊砂傻（~瓜）		捨-		赦舍-（环洞~）				
ho	花虾		□（~吃吃：胳肢人）		化花（~钱）				
hɦo				下-		夏-			
ʔo	丫（~头）桠鸦-挜（硬是给予或售予）		哑		垩				
kuo	瓜		寡		挂卦褂				
kʰuo	夸		袴（衣服开口处）		跨				
ŋuo				瓦					
ʔuo	蛙搲（抓取）								
ɦuo		华划（~船）				话画			
pei	蓖杯卑碑悲彼背（~东西）				贝辈背（~脊）褙				
pʰei	胚坯呸				沛配丕辔				
bei		培陪赔				倍佩备陛（又音）裴被（~打）			
mei		梅媒煤楣霉枚	美		妹	昧寐			
tei	堆				对碓				
tʰei	推		腿		退褪（~色）				
dei		颓				队兑			
nei				馁		内			
lei	擂（打：~痛你）	雷		蕾磊垒		儡累类擂（~台）礌（石~：碌碡）			
tsei	追锥				缀（点~）赘醉最				
tsʰei	催崔吹=炊				脆翠				
dzei		随（~便）垂槌锤谁		罪（犯~）		芮睡瑞蕊粹遂隧穗坠			
sei	虽绥		水=		碎岁税锐祟说（游~）				
zei		随（~身）							
kei	裾（衣裳~，即下摆）赅（拥有：~家当）								
gei				徛（站）					
ŋei		鱼-危-							
hei	虚-（浮肿）		许-（许诺）						
kuei	圭闺规归龟轨		诡鬼=		会（~计）桧绘鳜桂贵=癸				
kʰuei	盔魁奎亏窥		傀		块				
guei		逵葵		跪=		溃愧柜=馈匮			
ŋuei		危-伪-							
huei	灰恢诙麾挥辉徽		侮毁		讳烩贿卉喙				
ʔuei	喂（又音）煨萎威		委会（动词）		喂=畏会（~做，~吃）				
ɦuei		回茴危=为（作~）违围伪=圩（又音）				汇卫会（开~）位为（~什么）伟苇纬胃谓蝟慰惠慧魏彗回（转卖）			
ʔm̩	姆								
ɦn̩		儿-（~子）呒（无）		五-你-					
ɦŋ̍				我-哦（语气词）					
pən	奔锛崩		本						
pʰən	喷（~水）烹				喷（~~香）				
bən		盆朋		笨		坌（~地）			
mən	萌	门蚊-盟们闻-	猛		闷	孟问-			
fən	分芬纷		粉		粪奋				
vən		焚文坟纹蚊=闻=				愤忿吻刎份问=			
tən	敦墩蹲登灯		等戥		顿扽凳镫瞪				
tʰən	呑		氽						
dən		豚臀腾謄滕藤疼		囤		盾邓钝			
nən		能□（这样：~好，~多）				嫩			
lən		仑伦沦轮楞邻（~舍）棱淋（~雨）论（~语）				论			
tsən	针斟诊疹珍榛臻真尊遵肫曾（姓）增憎蒸争（战~）筝贞侦正（~月）		准拯整枕（名词）		枕（动词）镇振震证症正政				
tsʰən	村椿春称（~重量）蛏		忖蠢逞□（丑）		趁衬寸称（相~）秤剩舂（又音）				
dzən		沉岑陈尘臣存曾（~经）层澄惩橙乘（~法）承丞呈程成城诚□（~寒豆，即种蚕豆）		仍		阵赠剩郑扔			
sən	森深身申伸僧声（~音）牲笙生（~死）孙升		沈审婶损筍榫		渗逊舜胜圣□（~芦穄）				
zən		神辰晨人=仁唇纯醇绳盛（~满）尘		吮忍（~气吞声）		任（~务）慎肾忍（容~）刃认=韧=顺润盛（兴~）甚			
kən	跟根耕更（~改）				更（~加）				
kʰən	掯（乱翻乱找）		垦恳肯啃		□（皮肤上的污垢）				
gən		□（推）		□（脾气倔）					
hən	哼		很狠（凶，强；能干，麻利）						
hɦən		痕衡恒				恨			
ʔən	恩				摁				
kuən			滚（转动）		棍滚（水开）				
kʰuən	昆嵬坤		捆		困睏				
huən	昏婚荤				□（不称心，恼火，气闷）				
ʔuən	温瘟		稳						
ɦuən		馄魂浑				混			
pin	彬宾槟殡冰兵		稟丙秉饼并		柄迸屏（~口气）鬓				
pʰin	拼姘		品		聘				
bin		贫频凭平坪评瓶屏（~风）萍		並		病並（又音）			
min	闽鸣	民明名铭冥	敏闵悯皿	抿		命			
tin	丁钉疔		顶鼎		钉（动词）订				
