字	注释	南宁老口	南宁万秀	武鸣府城	
澗		kan55	kan55	kan55	
鐧	車鐧		kan55		
顔		ɲan31	ŋan21	ȵan31	
雁		ɲan31	ŋan21	ȵen35	
瞎		jat22		jat33	
轄	管轄	hat12	hat22	ʔat22	
晏	晚也	ʔan24	ʔan55	ʔan35	
鞭		pin55	pin42	pin55	
編		pʰin55	pʰin42	pʰin55	
變		pin24	pin55	pin35	
别	區別	pit32	pit22	pit22	
鼈		pit33	pit33	pit33	
篇		pʰin55	pʰin42	pʰin55	
偏		pʰin55	pʰin42	pʰin55	
騙	騙馬				
騙	欺騙	pʰin24	pʰin55	pʰin35	
便	便宜	pin223	pin21	poi31	
辨		pin223	pin21	pin22	
辯		pin223	pin21	pin22	
汴		tin223	pin21	pin22	
便	方便	pin223	pin21	pin22	
别	離別	pit32	pit22	pit22	
綿		min31	min21	min31	
棉		min31	min21	min31	
免		min21	min33	min21	
勉		min21	min33	min21	
娩	分娩	min21	min33	min21	
緬		min21	min33	min21	
澠	澠池				
面		min223	min21	min22	
滅		mit32	mit13	mit21	
碾		tʃin33	nen13	nen33	
連		lin31	lin21	lin31	
聯		lim31	lim21	lin31	
輦			nen13	nen33	
列		lit32	lit13	lit21	
烈		lit32	lit13	lit21	
裂		lit32	lit13	lit21	
煎		tʃin55	tsin42	tsin55	
剪		tʃin33	tsin33	tsin33	
箭		tʃin24	tsin55	tsin35	
濺	濺一身水	tʃan223			
遷		tʃʰin55	tsʰim42	tsʰun55	
淺		tʃon33	tsʰin33	tsʰɔn33	
錢		tʃin31	tsin21	tsʰin31	
踐		tʃin223	tsʰin33	tsin33	
賤		tʃin223	tsin21	tsin22	
餞	餞行		tsin21		
仙		ɬin55	ɬin42	ɬin55	
鮮	新鮮	ɬin55	ɬin42	ɬin55	
鮮	鮮少	ɬin33	ɬin42	ɬin55	
癬		ɬin33	ɬin33	ɬin33	
綫		ɬin24	ɬin55	ɬin35	
薛		ɬit33	ɬit33	ɬit33	
泄	泄漏	ɬit33	ɬit33	ɬit33	
涎		ʃin31			
涎		ʃan31			
羡		ɬin223	ɬin55	ɬin22	
展		tʃin33	tsin33	tsin33	
哲		tʃit33	tsit33	tsit33	
蜇	蠍子蟄人	lek34	tsit33		
徹		tʃʰit33	tsʰit33	tsʰit33	
撤		tʃʰit33	tsʰit33	tsʰit33	
纏		tʃʰit33	tsin21	ɬin31	
轍		tʃʰit33	tsʰit33	tsʰət33	
氈		tʃin55	tsin42		
戰		tʃin24	tsin55	tsin35	
顫		tʃin24	tsin55	tsin35	
折	折斷	tʃit33	tsit33	tsit33	
浙		tʃit33	tsit33	tsit33	
舌		ʃit32	sit22	sət21	
羶					
搧		ʃin24	sin55	sin35	
扇		ʃin24	sin55	sin35	
設		ʃit33	tsʰit33	sip33	
蟬		ʃim31	sim21	tsan31	
禪	禪宗	ʃin31	sim21	tsan31	
善		ʃin223	sin21	sin22	
膳		ʃin223	sin21	sin22	
單	姓	tan55	sim21	sin22	
禪	禅让	ʃin223	sim21	sin22	
折	弄折了	ʃit32	tsit33	tsit33	
然		hin31	hin21	hin31	
燃		hin31	hin21	hin31	
熱		ŋit32	ȵit13	ȵit21	
囝					
遣		hin24	hin33		
乾	乾坤	kin31	kin21	kin31	
虔			kin21	kin31	
掮					
犍	犍為縣				
件		kin223	kin21	kin22	
傑		kit32	kit22	kit22	
諺		ʔin24	ʔin55	ʔin35	
孽		nip32	nip13	nip21	
蔫	食物不新鮮		ʔin42		
焉	心不在焉	ʔin55	ʔin42	ʔin55	
延		hin31	ʔin21	hin31	
筵		hin31	ʔin55	hin31	
演		ʔim33	ʔim33	ʔim33	
拽	拖				
犍	犍子				
建		kin24	kin55	kin35	
揭		kʰit33	kʰit33	kʰit33	
揭				kit33	
鍵		kin24	kin21	kim35	
健		kin223	kin21	kin22	
腱			kin21	kin22	
言		ŋin31	ʔin21	ȵin31	
軒		hin55	hin42	kin55	
掀		han55	hɐn42	kin55	
憲		hin24	hin55	hin35	
獻		hin24	hin55	hin35	
歇		hit33	hit33	hit33	
蠍		kʰwit33			
蔫	花萎		ʔin42		
堰		ʔin24	ʔin55	ʔin35	
邊		pin55	pin42	pin55	
蝙		pʰin55	pʰin42	pʰin55	
扁		pen33	pen33	pen33	
匾		pen33	pen33	pen33	
遍	一遍	pʰin24	pʰin55	pʰin35	
遍	遍地	pʰin24	pʰin55	pʰin35	
憋		pit33	pit33	pit33	
片		pʰin24	pʰin42	pʰin35	
撇	撇捺，撇開	pʰit33	pʰit33	pit33	
辮		pin55	pin33	pin22	
眠		min31	min21	min31	
麵		min223	min21	min22	
篾	竹篾	mit32	mit13	mit21	
顛		tin55	tin42	tin55	
典		tim33	tim33	tim33	
天		tʰin55	tʰin42	tʰin55	
腆		tim33	tim33	tim33	
鐵		tʰit33	tʰit33	tʰit33	
田		tin31	tin21	tin31	
填		tin31	tin21	tin31	
電		tin223	tin21	tin22	
殿		tin223	tin21	tin22	
奠		tin223	tin21	tin22	
佃		tin31	tin21	tin22	
墊	墊錢	tim223	tim21	tim22	
年		nin31	nin21	nin31	
撚	以指捻碎	nen33		nen33	
攆				nen33	
捏		nip32	nit13	nɛp35	
憐		lin31	lin21	lin31	
蓮		lin31	lin21	lin31	
練		lin223	lin21	lin22	
鏈		lin223	lin21	lin22	
煉		lin223	lin21	lin22	
箋		tʃʰim55	tsʰim42	tsʰim55	
薦		tʃin24	tsin55	tsin55	
節		tʃit33	tsit33	tsit33	
千		tʃʰin55	tsʰin42	tsʰin55	
切	切開	tʃʰit33	tsʰit33	tsʰit33	
前		tʃin21	tsin21	tsin31	
截		tʃit32	tsit22	tsʰit22	
先		ɬin55	ɬin42	ɬin55	
屑	不屑	ɬet22			
屑	木屑		ɬɛk33		
楔	楔子	ɬet22	kʰɐi55		
肩		kin55	kin42	kin55	
堅		kin55	kin42	kin55	
繭		kan33	ken33		
趼		kan33			
筧	以竹通水				
見		kin24	kin55	kin35	
結		kit33	kit33	kit33	
潔		kit33	kit33	kit33	
䥛	鐮刀				
牽		hin55	hin42	hin55	
研		nin55	ʔin21	nen33	
硯		min223	ʔin21	hin35	
顯		hin33	hin33	hin33	
賢		hin31	ʔin21	hin31	
弦		win31	ʔin21	hin31	
現		hin223	ʔin21	hin22	
烟		ʔin55	ʔin42	ʔin55	
燕	燕京，姓	ʔin24	ʔin55	ʔin35	
燕	燕子	ʔin24	ʔin55	ʔin35	
燕	燕子	ʔen24			
嚥		ʔin55		ʔin35	
宴		ʔin24	ʔin55	ʔin35	
噎	噎住了	ʔit33	ʔat33	ʔit33	
搬		pon55	pun42	pan55	
般		pon55	pun42	pun55	
半		pon24	pun55	pun35	
絆		pon223	pun21	pun33	
鉢		pot22	put33	put33	
撥		pot12	put22	put22	
潘		pʰon55	pʰun42	pʰun55	
拚	拚命	pʰəŋ24		pən35	
判		pʰon24	pʰun55	pʰun35	
潑		pʰot22	put22	put22	
潑				put33	
盤		pon31	pun21	pun31	
伴		pon21	pun21	pun22	
拌		pon223	pun21	pun22	
叛		pʰon24	pʰun55	pʰan35	
鈸		pot12	put22	put22	
瞞		man31	mun21	mun31	
饅	饅頭	man223	man21	man22	
滿		man21	man13	mun22	
漫		man223	man21	man22	
幔		man223	man21	man22	
末		mot32	put22	mut21	
沫		mot32	put22	mo31	
抹		mat32	put22	mut21	
端		ton55	tun42	tun55	
短		ton33	tun33	tun33	
斷	斷絕	ton21	tun55	tun21	
鍛	鍛鍊	ton223	tun21	tun22	
掇	拾掇				
掇	掂掇				
疃					
脱		tʰot22	tʰut33	tʰut33	
團		ton21	tun21	tun31	
糰		ton21	tun21	tun31	
斷	斷絕	ton21	tun55	tun21	
段		ton223	tun21	tun22	
緞		ton223	tun21	tun22	
椴			tun21		
奪		tʰot22	tut22	tut22	
暖		non21	nun13	nun21	
鸞		lon31	lɔn21	lɔn31	
卵		lon21	lun13	lun21	
亂		lon223	lun21	lun22	
捋	捋袖				
鑽	動詞	tʃɔn24	tsɔn55	tsɔn35	
纂	編纂	tʃʰɔn24	tsɔn13	tsʰɔn35	
攒	積攢	tʃan33		tsan33	
鑽	木工用具	tʃɔn24	tsɔn55	tsɔn35	
汆	汆丸子				
竄		tʃʰɔn24	tsʰɐn55	tsʰɔn35	
撮	一撮米	tʃot22	tsʰut33		
酸		ɬon55	ɬun42	ɬun55	
算		ɬon24	ɬun55	ɬun35	
蒜		ɬon24	ɬun55	ɬun35	
官		kon55	kun42	kun55	
棺		kon55	kun42	kun55	
觀	參觀	kon55	kun42	kun55	
冠	衣冠	kon55	kun42	kun35	
管		kon33	kun33	kun33	
館		kon33	kun33	kun33	
貫		kon24	kun55	kun35	
灌		kon24	kun55	kun35	
罐		kon24	kun55	kun35	
觀	寺觀	kon55	kun42	kun55	
冠	冠軍	kon55	kun42	kun35	
括	包括	kuat22	kuat33	kuat33	
聒	聒耳朵				
寬		hon55	hon42	hɔt33	
款		hon33	fun33	kɔn33	
闊		hot22	hut33	hut33	
玩	古玩，游玩	wan223	wan33	wan31	
歡		hon55	hun42	hun55	
唤		wan24	ʔun21	ʔun35	
焕		wan24	ʔun21	hun35	
豁	豁然			hat22	
桓		wan31	wan21	wan31	
完		win31	wan21	wan31	
丸	肉丸	wan31	wan21	wan31	
緩		hon223	ʔun13	hun33	
皖	安徽	wan33	ʔun13	hun33	
换		wən223	ʔun21	wən33	
活		wat32	wat13	wat22	
豌	豌豆	ʔon33	ʔun33	ʔun33	
剜					
碗		ʔon33	ʔun33	ʔun33	
腕		wan33	ʔun33	ʔun35	
鰥	鰥寡	kʰɐm55		kwan55	
頑	頑皮	wan31	man21	wan31	
幻		wan223	wan21	wan22	
滑		wat12	wat22	wat22	
猾	狡猾	wat12	wat22	wat22	
挖		wat22	wat33	wɛt33	
篡			tsʰɔn55	tsʰun35	
撰					
閂			san42	tsʰun35	
拴			san42		
涮	涮洗		sat33	sat33	
刷		ʃat22	sat33	sat33	
關		kuan55	kuan42	kuan55	
慣		kuan24	kuan55	kuan35	
刮		kuat22	kuat33	kuat33	
還	還原	wan31	wan21	wan31	
還	還有	wan31	wan21	wan31	
環		wan31	wan21	wan31	
患		wan223	wan21	han22	
宦		wan223	wan21	man22	
彎		wan55	wan42	wan55	
灣		wan55	wan42	wan55	
戀		wan55	wan42	wan55	
劣		lit32	lit13	lit21	
全		tʃin31	tsin21	tsin31	
泉		tʃin31	tsin21	tsin31	
絶		tʃit32	tsit22	tsit33	
宣		kin55	kin42	kin55	
選		ɬin33	ɬin33	ɬin33	
雪		ɬit33	ɬit55	ɬit33	
旋		kin31	sin21	kin31	
旋	旋吃旋做	kin31	sin21	kin33	
鏇	鏇床				
轉	轉送	tʃin33	tsin33	tsin33	
轉	轉螺絲	tʃin33	tsin33	tsin33	
傳	傳達	tʃin31	tsin21	tsin31	
椽		hin31		sin31	
篆			ɬin55		
傳	傳記	tʃin223	tsin21	tsin22	
專		tʃin55	tsin42	tsin55	
磚		tʃin55	tsin42	tsin55	
膞	雞膊				
拙					
川		tʃʰon55	tsʰan42	tsʰun55	
穿		tʃʰon55	tsʰan42	tsʰun55	
喘		tʃʰon33	tsʰan33	tsʰun55	
串		tʃʰon24	tsʰan55	tsʰun35	
船		ʃin31	sin21	sin31	
説	説話	ʃit33	sit55	sit33	
篅	盛穀具				
軟		win21	ȵin13	win21	
捲	捲起	kwin33	kin33	kwin33	
眷		kwin24	kin55	kwin33	
卷		kwin33	kin33	kwin33	
絹		kwin55	kin42	kwin35	
圈	圓圈	kʰwin55	hin42	kʰwin55	
拳		kwin31	kin21	kwin31	
權		kwin31	kin21	kwin31	
顴	顴骨				
圈	豬圈	kʰwin55	hin42	kʰwin55	
倦		kwin223	kin21	kim22	
圓		win31	ʔin21	win31	
員		win31	ʔin21	win31	
院		win223	ʔin21	win22	
緣		win31	ʔin21	win31	
沿		ʃin31	ʔin21	hin31	
鉛		ʃin31	ʔin21	hin31	
捐		kwin55	kin42	kwin55	
兗					
悦		jet32	ʔit13	hit21	
閲		jet32	ʔit13	hit21	
藩		fan31	fan21	fan31	
反		fan33	fan33	fan33	
販		fan24	fan55	fan35	
髮	頭髮	fat22	fat55	fat33	
發		fat22	fat55	fat33	
翻		fan55	fan42	fan55	
番	幾番	fan55	fan42	fan31	
嬔	鳥下蛋				
煩		fan31	fan21	fan31	
藩		fan31	fan21	fan31	
礬		fan31	fan21	fan31	
繁		fan31	fan21	fan31	
飯		fan223	fan21	fan22	
伐		fat32	fat22	fat22	
筏		fat32	fat22	fat22	
罰		fat32	fat22	fat22	
晚		man21	man33	man21	
挽		wam33	wan21	wan55	
萬		man223	man21	man22	
蔓	瓜蔓子	man223	man21	man22	
襪		mat32	mat13	mat21	
厥					
憠	脾氣憠				
勸		kʰwin24	hin55	kʰin35	
券		kwin24	kin55	kwin35	
掘		kʰuɐt32	wɐt33	kuət22	
橛	橛子				
元		win31	ʔin21	win31	
原		win31	ʔin21	win31	
源		win31	ʔin21	win31	
阮		win31	ʔin33	win21	
願		win223	ʔin21	win22	
月		wit32	ȵit13	wit21	
喧		ɬin55	ɬin42	ɬin55	
楦	鞋楦	ɬin31	ɬin42	ɬin55	
冤		win55	ʔin42	win55	
宛			ʔin33	win35	
怨		win24	ʔin55	win35	
噦	乾噦				
袁		win31	ʔin21	win31	
轅		win31	ʔin21	win31	
園		win31	ʔin21	win31	
援	援救	win31	ʔin21	win31	
遠		win21	ʔin33	win21	
越		jet32	ʔit13	hit21	
曰		jet32	jet33	wɛt22	
粤		jet32	ʔit13	hit21	
决		kʰwit33	kʰit33	kʰwit33	
訣		kʰwit33	kʰit33	kʰwit33	
犬		kʰwin33	hin33	kʰwin33	
缺		kʰwit33	kʰit33	kʰwit33	
血		wit33	ʔit33	kʰwit33	
玄		win31	ʔin21	hin31	
懸		win55	ʔin21	hin35	
縣		win223	ʔin21	win22	
眩		win31	ʔin21	win22	
穴		wet32	jet33	hit21	
淵		ʔin55	ʔin42	ʔin55	
吞		tʰɐn55	tʰɐn42	tɐn55	
跟		kɐn55	kɐn42	kɐn55	
懇		hɐn33	kɐn42	hɐn33	
懇				kɐn33	
墾		hɐn33	hɐn33	hɐn33	
墾				kɐn33	
根		kɐn55	kɐn42	kɐn55	
齦	老鼠齦	kʰɐn33		kɐn33	
痕		hɐn31	hɐn21	hɐn31	
很		hɐn33	hɐn33	hɐn33	
恨		hɐn223	hɐn21	hɐn22	
恩		ʔɐn55	ʔɐn42	ʔɐn55	
彬		pɐn55	pɐn42	pɐn55	
賓		pɐn55	pɐn42	pɐn55	
檳	檳榔	pɐn55	pɐn42	pɐn55	
殯		pɐn55	pɐn42	pɐn55	
鬢		pɐn55	pɐn42	pɐn55	
筆		pɐt33	pɐt33	pɐt33	
畢		pɐt33	pɐt33	pɐt33	
必		pit22	pit33	pit33	
匹	一匹布	pʰɐt33	pʰɐt33	pɐt33	
貧		pɐn31	pɐn21	pɐn31	
頻	頻繁	pɐn31	pɐn21	pɐn31	
弼		pet22	pek22	pɐt33	
閩	閩越	mɐn31	mɐn21	mɐn31	
民		mɐn31	mɐn21	mɐn31	
憫		mɐn33	mɐn21	mɐn21	
敏		mɐn21	mɐn33	mɐn21	
抿		mɐn21	mɐn21	mɐn21	
密		mɐt32	mɐt13	mɐt21	
蜜		mɐt32	mɐt13	mɐt21	
鄰		lɐn31	lɐn21	lɐn31	
鱗		lɐn31	lɐn21	lɐm31	
燐		lɐn31	lɐn21	lɐn31	
吝	吝嗇	lɐn223		lɐn22	
栗		lɐt32	lɐt13	loi31	
津		tʃɐn55	tsɐn42	tsɐn55	
儘	儘前	tʃɐn223	tsɐn21	tsɐn22	
進		tʃɐn24	tsɐn55	tsɐn35	
晋		tʃɐn24	tsɐn55	tsɐn35	
親		tʃʰɐn55	tsʰɐn42	tsʰɐn55	
親	親家	tʃʰɐn24	tsʰɐn55	tsʰɐn35	
七		tʃʰɐt33	tsʰɐt33	tsʰɐt33	
漆		tʃʰɐt33	tsʰɐt33	tsʰɐt33	
秦		tʃɐn31	tsɐn21	tsɐn31	
盡		tʃɐn223	tsɐn21	tsɐn22	
疾		tʃɐt32	tsɐt22	tsət22	
辛		ɬɐn55	ɬɐn42	ɬɐn55	
新		ɬɐn55	ɬɐn42	ɬɐn55	
薪		ɬɐn55	ɬɐn42	ɬɐn55	
信		ɬɐn24	ɬɐn55	ɬɐn35	
訊		ɬɐn24	ɬɐn55	ɬɐn35	
悉		ɬɐt33	sɐt33	ɬət33	
膝		ɬɐt33	ɬɐt33	ɬət33	
珍		tʃɐn55	tsɐn42	tsɐn55	
鎮		tʃɐn24	tsɐn55	tsɐn35	
趁		tʃʰɐn24	tsʰɐn55	tsʰɐn35	
陳		tʃɐn31	tsɐn21	tsɐn31	
塵		tʃɐn31	tsɐn21	tsɐn31	
陣		tʃɐn223	tsɐn21	tsɐn22	
姪		tʃɐt32	tsɐt22	tsɐt22	
秩		tip32		tip22	
榛		tʃɐn21			
臻		tʃɐn21	tsɐn42	tsɐn55	
襯		tʃʰɐn24	tsʰɐn55	tsʰɐn35	
瑟		ʃɐt33	sɐt33	sɐt33	
蝨		ʃɐt33	sɐt33	sɐt33	
真		tʃɐn55	tsɐn42	tsɐn55	
診		tʃʰɐn24	tsʰɐn33	sɐm33	
疹		tʃʰɐn24	tsʰɐn33	tsɐn55	
振		tʃɐn24	tsɐn55	tsɐn35	
震		tʃɐn24	tsɐn55	tsɐn35	
質		tʃɐt33	tsɐt33	tsɐt33	
神		ʃɐn31	sɐn21	sɐn31	
實		ʃɐt32	sɐt22	sɐt22	
身		ʃɐn55	sɐn42	sɐn55	
申		ʃɐn55	sɐn42	sɐn55	
伸		ʃɐn55	sɐn42	sɐn55	
娠		ʃɐn55	sɐn21	sɐn55	
失		ʃɐt33	sɐt33	sɐt33	
室		ʃɐt33	sɐt33	sɐt33	
辰		ʃɐn31	sɐn21	sɐn31	
晨		ʃɐn31	sɐn21	sɐn31	
臣		tʃɐn31	tsɐn21	tsɐn31	
腎		ʃɐn21	sɐn13	sɐn21	
慎		ʃɐn223	sɐn21	sɐn22	
人		ɲɐn31	ȵiɐn21	ȵiɐn31	
仁		ɲɐn31	ȵiɐn21	ȵiɐn31	
忍		ɲɐn21	ȵiɐn33	ȵiɐn21	
刃		ɲɐn21	ȵiɐn21	ȵiɐn21	
認		ɲɐn223	ȵiɐn21	ȵiɐn22	
韌		ɲɐn24	ȵiɐn21	ȵiɐn21	
日		ɲɐt32	ȵiɐt13	ȵiɐt21	
巾		kɐn55	kɐn42	kɐn55	
緊		kɐn33	kɐn33	kɐn33	
吉		kɐt33	kɐt33	kɐt33	
僅		kɐn223	kɐn33	kɐn33	
銀		ŋɐn31	ŋɐn21	ŋɐn31	
釁		hən24	hɐn55	hɐn55	
因		ʔɐn55	ʔɐn42	ʔɐn55	
姻		ʔin55	ʔɐn42	ʔɐn55	
洇			ʔɐn42		
印		ʔɐn24	ʔɐn55	ʔɐn35	
乙		ʔit33	ʔit33	ʔit33	
一		ʔɐt33	ʔɐt33	ʔɐt33	
寅		jɐn31	jɐn21	ȵiɐm31	
引		jɐn21	jɐn13	jɐn21	
逸		jɐt32	jɐt55	ʔit33	
斤		kɐn55	kɐn42	kɐn55	
筋		kɐn55	kɐn42	kɐn55	
謹		kɐn24	kɐn33	kɐn33	
勁	有勁	kən24	kɐn55	kən35	
訖		ŋɐt32	hɐt33	koi33	
乞		kʰɐt32	hɐt33	hi31	
勤		kɐn31	kɐn21	kɐn31	
芹		kɐn31	kɐn21	kɐn31	
近		kɐn21	kɐn21	kɐn21	
欣		hɐn55	hɐn42	hin55	
殷		ʔɐn55	ʔɐn42	ʔɐn55	
隱		ʔɐn33	ʔɐn33	ʔɐn33	
奔		pɐn55	pɐn42	pɐn55	
錛					
本		pɔn33	pɔn33	pɔn33	
逩		pɐn55	pɔn42	pɐn55	
不		pɐt33	pɐt33	pɐt33	
噴	噴水	pʰɐn24	pʰɐn55	pɐn35	
噴	噴香	pʰɐn24	pʰɐn55	pɐn35	
盆		pɐn31	pɐn21	pun31	
笨		pɐn223	pɐn21	pɐn22	
勃		pot12	put22	put22	
餑	麵餑		put22	put22	
門		mon31	mun21	mun31	
悶		mon223	mun21	mun22	
没	沉沒；沒有	mot32	mut13	mut21	
敦	敦厚	tɐn55	tɐn42	tɐn55	
墩		tɐn55	tɐn33	tɐn55	
頓		tɐn24	tɐn55	tɐn22	
扽			tɐn55		
褪		tɔi24	toi55	tɔi35	
屯		tɐn31	tɐn21	tɐn31	
豚		tɐn31	tɐn21	tɐn31	
飩	餛飩	tʰɐn55	tɐn21	tɐn31	
臀		tin31			
囤		tɐn31	tɐn21	tɐn31	
盾	矛盾	tɐn223	tɐn21	tɐn22	
沌		tɐn223	tɐn21		
鈍		tɐn223	tɐn21	tɐn22	
遁		tɐn223	tɐn21	tɐn22	
突		tɐt32	tɐt22	tɐt21	
嫩		nɔn223	nɔn21	nɔn22	
論	論語	lɐn223	lɐn21	lɐn22	
崙		lɐn31	lɐn21	lɐn31	
論	議論	lɐn223	lɐn21	lɐn22	
尊		tʃɔn55	tsɔn42	tsɔn55	
撙					
卒	兵卒	tʃɐt33	tsɐt33	tsɐt33	
村		tʃʰɔn55	tsʰɔn42	tsʰɔn55	
忖		tʃʰɔn24			
寸		tʃʰɔn24	tsʰɔn55	tsʰɔn35	
猝	倉猝	tʃɐt33	tsɐt33	tsɐt33	
存		tʃɔn31	tsɔn21	tsɔn31	
蹲		tɐn55	tun42	tɐn55	
孫		ɬɔn55	ɬɔn42	ɬɔn55	
損		ɬɔn33	ɬɔn33	ɬɔn33	
遜		ɬɔn24	ɬɔn55	ɬɔn35	
昆	昆蟲	kʰuɐn55	kʰuɐn42	kʰuɐn55	
崑	崑崙	kʰuɐn55	kʰuɐn42	kʰuɐn55	
滾		kʰuɐn33	kuɐn33	kʰuɐn33	
棍		kuɐn24	kuɐn55	kuɐn35	
骨	筋骨，骨頭	kuɐt33	kuɐt33	kuɐt33	
坤		kʰuɐn55	kʰuɐn42	kʰuən55	
綑		kʰuɐn33	kʰuɐn33	kʰuɐn33	
困		kʰuɐn24	kʰuɐn55	kʰuɐn35	
窟	窟窿	wɐt33	wɐt33	kʰo33	
杌	杌子				
昏		wɐn55	wɐn42	wɐn55	
婚		wɐn55	wɐn42	wɐn55	
忽		kʰuət33	fɐt33	kʰuɐt33	
魂		wən31	wɐn21	wən31	
餛	餛飩	kuən33		kʰuən33	
渾	渾濁	kʰuɐn33	kʰuɐn33	kʰuɐn55	
混	相混	kʰuɐn33	kʰuɐn33	kʰuɐn55	
核		hot12	hɐt22	hɔt22	
温		wɐn55	wɐn42	wɐn55	
瘟		wɐn55	wɐn42	wɐn55	
穩		wɐn33	wɐn33	wɐn33	
倫		lɐn31	lɐn21	lɐn31	
淪		lɐn31	lɐn21	lɐn31	
輪		lɐn31	lɐn21	lɐn31	
律		lɐt32	lɐt13	lɐt21	
率	速率	lɐt32	lɐt13	lɐt21	
遵		tʃɔn55	tsɔn42	tsɔn55	
俊		tʃɐn24	tsɐn55	tsɐn35	
皴	臉皴	ɬən31			
焌	火焌手了				
黢	黢黑				
荀		ɬən31	sɐn21	ɬɐn31	
筍		ɬən33	ɬɐn33	ɬɐn33	
榫	榫頭	ɬən33	ɬɐn33	ɬɐn33	
迅		ɬɐn24	ɬɐn55	ɬɐn35	
濬	濬河				
戌		ɬət33	ɬɐt33	ɬət33	
恤		ɬət33	ɬɐt33	ɬət33	
旬		ɬən31	sɐn21	ɬɐn31	
循		ɬən31	sɐn21	ɬɐn31	
巡		ɬən31	ɬɐn21	tsɐn21	
殉		ɬən31	sɐn21	ɬɐn31	
椿	椿樹	tʃʰhən55	tsʰɐn42	tsʰən55	
朮	白朮	ʃɐt32	ɬɐt22	sɐt22	
率	率領	ɬət33	sɐlt33	sai35	
蟀		ɬət33	sɐlt33	sai35	
肫	肫肝				
準		tʃən33	tsɐn33	tsən33	
准		tʃən33	tsɐn33	tsən33	
春		tʃʰən55	tsʰɐn55	tsʰən55	
蠢		tʃʰən33	tsʰɐn33	tsʰən33	
出		tʃʰət33	tsʰɐt33	tsʰət33	
脣		ʃən31	ɬɐn21	sɐn31	
盾	矛盾	tɐn223	tɐn21	tɐn22	
順		ʃən223	sɐn21	sən22	
術		ʃɐt32	ɬɐt22	sɐt22	
述		ʃɐt32	ɬɐt22	sɐt22	
秫		ʃɐt32	ɬɐt22	sɐt22	
舜		ʃən24	ɬɐn55	sən35	
純		ɬən31	sɐn21	ɬɐn31	
蒓	蒓菜	ɬən31	sɐn21		
醇	酒味醇	ɬən31	sɐn21	ɬɐn31	
潤		ɲən223	ȵiɐn21	ȵiən22	
閏		ɲən223	ȵiɐn21	ȵiən22	
均		kuən55	kuɐn42	kuən55	
鈞		kuən55	kuɐn42	kuən55	
橘		kʰuɐt33	kɐt33	kɐt33	
窘		kʰuən223			
菌		kuən21	kʰuɐn33	kʰuɐn21	
匀		jən31	wɐn21	jɐn31	
允		wɐn21	wɐn13	jɐn21	
尹		jɐn21	wɐn13	jɐn21	
分	分開	fɐn55	fɐn42	fɐn55	
粉		fɐn33	fɐn33	fɐn33	
糞		fɐn24	fɐn55	fɐn35	
奮		fɐn21	fɐn13	fɐn21	
芬		fɐn55	fɐn42	fɐn55	
紛		fɐn55	fɐn42	fɐn55	
彿	仿佛	fɐt33	fɐt13	fɐt22	
焚		fan31	fan21	fɐn31	
墳		fɐn31	fɐn21	fɐn31	
豶	牡豕				
憤		fɐn21	fɐn13	fɐn35	
忿		fɐn21	fɐn13	fɐn35	
份	一份兩份	fɐn223	fɐn21	fɐn22	
佛		fɐt33	fɐt13	fɐt22	
文		fɐn31	fɐn21	fɐn31	
紋		fɐn31	fɐn21	fɐn31	
蚊		fɐn31	mɐn21	mɐn31	
聞		fɐn31	mɐn21	wɐn31	
吻		mɐn21			
刎					
問		mɐn223	mɐn21	mɐn22	
璺	裂璺		mɐn21		
物		fɐt32	mɐt13	fɐt22	
勿		fɐt32	mɐt13	kʰuɐt33	
君		kuən55	kuɐn42	kuən55	
軍		kuən55	kuɐn42	kuən55	
屈		wət33	wɐt33	wɐt33	
羣		kuən31	kuɐn21	kuən31	
裙		kuən31	kuɐn21	kuən31	
郡		kuən223	kuɐn21	kuɐn22	
掘		kuət32			
倔	倔強	wət33	wɐt33		
熏		kʰuɐn55	wɐn42	wɐn55	
勳		kʰuɐn55	wɐn42	kuɐn55	
薰		kʰuɐn55	wɐn42	wɐn55	
葷		wɐn55	wɐn42	wɐn55	
訓		wən24	wɐn55	wən35	
熨					
云	人云亦云	wən31	wɐn21	wən31	
雲	雲集	wən31	wɐn21	wən31	
韻		wən223	wɐn21	wən22	
運		wən223	wɐn21	wən22	
暈		wɐn55	wɐn21	wən31	
幫		paŋ55	paŋ42	paŋ55	
榜		puŋ33	paŋ33	paŋ33	
謗		puŋ33	paŋ33	paŋ35	
博		puk33	puk33	pok33	
滂	滂沱	paŋ31	paŋ42	paŋ31	
泊	梁山泊	pʰek22	pʰɛk33	pɛk33	
旁		paŋ31	paŋ21	paŋ31	
螃	螃蟹	paŋ31	paŋ21	paŋ31	
傍		puŋ33	paŋ55	paŋ31	
薄	薄	puk32	puk22	puk22	
泊		puk32	puk22	pɛk33	
忙		maŋ31	maŋ21	maŋ31	
芒	麥芒兒	maŋ31	maŋ21	maŋ31	
茫		maŋ31	maŋ21	maŋ31	
莽		maŋ21	maŋ13	maŋ21	
蟒		maŋ21	maŋ13	maŋ21	
莫		mok32	muk13	mok21	
膜		mok32	muk13	mo31	
幕		mok32	muk13	mo22	
寞		mok32	muk13		
摸	摹仿	mo55	mo42	mo55	
摸				mu55	
當	當時	taŋ55	taŋ42	taŋ55	
黨		taŋ33	taŋ33	taŋ33	
