汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
疮		tʂʰuo21	tʂʰuo21	ʦʰuo21	ʦʰuo21	tʂʰuo21	tʂʰuo21
床		tʂʰuaŋ24	tʂʰuan24	tʂʰuaŋ24	tʂʰuan24	tʂʰuan24	tʂʰuaŋ24
霜		fo21	ʂuo21	suo21	suo21	ʂuo21	fo21
章		tʂaŋ21	tʂan21	tʂaŋ21	tʂan21	tʂan21	tʂaŋ21
昌		tʂʰaŋ21	tʂʰan21	tʂʰaŋ21	tʂʰan21	tʂʰan21	tʂʰaŋ21
厂		tʂʰaŋ42	tʂʰan42	tʂʰaŋ42	tʂʰan42	tʂʰo24	tʂʰaŋ42
唱		tʂʰaŋ33	tʂʰan24	tʂʰaŋ44	tʂʰan24	tʂʰan24	tʂʰaŋ44
商		ʂaŋ21	ʂan21	ʂaŋ21	ʂan21	ʂan21	ʂaŋ21
伤		ʂaŋ21	ʂan21	ʂaŋ21	ʂan21	ʂan21	ʂaŋ21
上	～山	ʂo53	ʂuo53	ʂo53	ʂo53	ʂo53	ʂo53
让		ʐaŋ53	ʐan53	ʐaŋ53	ʐan53	ʐan53	ʐaŋ53
疆		ʨiaŋ21	ʨian21	ʨiaŋ21	ʨian21	ʨian21	ʨiaŋ21
姜		ʨiaŋ21	ʨian21	ʨiaŋ21	ʨian21	ʨian21	ʨiaŋ21
强		ʨʰio24	ʨʰio24	ʨʰiaŋ24	ʨʰian24	ʨʰio24	ʨʰiaŋ24
香		ɕiaŋ21	ɕian21	ɕiaŋ21	ɕian21	ɕian21	ɕiaŋ21
乡		ɕiaŋ21	ɕian21	ɕiaŋ21	ɕian21	ɕian21	ɕiaŋ21
响		ɕiaŋ42	ɕian42	ɕiaŋ42	ɕio42	ɕio42	ɕiaŋ42
向		ɕiaŋ53	ɕian53	ɕiaŋ53	ɕian53	ɕian53	ɕiaŋ53
央		iaŋ21	ian21	iaŋ21	ian21	ian21	iaŋ21
秧		iaŋ21	ian21	iaŋ21	ian21	ian21	iaŋ21
羊		io24	io24	io24	io24	io24	io24
杨		iaŋ24	ian24	iaŋ24	ian24	ian24	iaŋ24
阳		iaŋ24	ian24	iaŋ24	ian24	ian24	iaŋ24
养		iaŋ42	ian42	iaŋ42	ian42	ian42	iaŋ42
痒		iaŋ42	ian42	iaŋ42	ian42	ian42	iaŋ42
样		iaŋ53	ian53	iaŋ53	ian53	ian53	iaŋ53
雀	麻～	ʨʰio21	ʨʰio21	ʨʰio21	ʨʰio21	ʨʰio21	ʨʰio21
削		ɕio21	ɕio21	ɕio21	ɕye21	ɕio21	ɕio21
脚		ʨio21	ʨie21	ʨie21	ʨie21	ʨie21	ʨio21
约		io21	io21	io21	io21	io21	io21
药		io21	ie21	ie21	ie21	ie21	io21
钥	～匙	io33	ie42	ie44	ie42	ie42	io44
光		kuaŋ21	kuan21	kuaŋ21	kuan21	kuan21	kuaŋ21
广		kuaŋ42	kuan42	kuaŋ42	kuan42	kuan42	kuaŋ42
慌		xuaŋ21	xuan21	xuaŋ21	xuan21	xuan21	xuaŋ21
黄		xuaŋ24	xuan24	xuaŋ24	xuan24	xuan24	xuaŋ24
汪	泪～～；姓	uaŋ21	uan21	uaŋ21	uan21	uan21	uaŋ21
郭		kuo21	kuo21	kuo21	kuo21	kuo21	kuo21
方		faŋ21	fan21	faŋ21	fan21	fan21	faŋ21
放		fo33	fo24	faŋ44	fan24	fo24	faŋ44
芳		faŋ21	fan21	faŋ21	fan21	fan21	faŋ21
妨	～害	faŋ24	fan24	faŋ24	fan24	fan24	faŋ24
纺		faŋ42	fan24	faŋ42	fan24	fan24	fo42
访		faŋ53	fan24	aŋ53	fan24	fan24	faŋ24
房		fo24	fan24	fo24	fo24	fo24	fo24
网		uaŋ42	van42	vo53	van42	vo24	vaŋ42
忘		vo53	uan53	vo53	vo53	vo53	vo53
望		uaŋ53	uan53	uaŋ53	uan53	uan53	vaŋ53
狂		kʰuaŋ24	kʰuan24	kʰuaŋ24	kʰuan24	kʰuan24	kʰuaŋ24
况		kʰuaŋ33	kʰuan53	kʰuaŋ44	kʰuan53	kʰuan53	kʰuaŋ44
枉		uaŋ21	uan21	uaŋ21	uan21	uan21	uaŋ21
王		uaŋ24	uan24	uaŋ24	uan24	uan24	uaŋ24
旺	兴～、火～	uaŋ53	uan53	uaŋ53	uan53	uan53	uaŋ53
邦		paŋ21	pan21	paŋ21	pan21	pan21	paŋ21
绑		paŋ42	pan42	paŋ42	pan42	pan42	paŋ42
棒		paŋ53	pan53	paŋ53	pan53	pan53	paŋ53
桩		tʂuaŋ21	tʂuan21	tʂuaŋ21	tʂuan21	tʂuan21	tʂuaŋ21
窗		tʂʰuo21	tʂʰuo21	ʦʰuo21	tʂʰuo21	tʂʰuo21	tʂʰo21
双		ʂuaŋ21	ʂuo21	so21	ʂuan21	ʂuo21	faŋ21
江		ʨiaŋ21	ʨian21	ʨiaŋ21	ʨian21	ʨian21	ʨiaŋ21
讲		ʨiaŋ42	ʨian42	ʨiaŋ42	ʨian42	ʨian42	ʨiaŋ42
港	～口	kaŋ42	kan42	kaŋ42	kan42	kan42	kaŋ42
虹	天上的～	xuəŋ24	xuə̃24	xuəŋ24	xuə̃24	xuen24	xuəŋ24
夯		xaŋ21	xan21	xaŋ21	xan42	xan42	xaŋ42
降	～伏、投～	ɕiaŋ24	ɕian24	ɕiaŋ24	ɕian24	ɕian24	ɕiaŋ24
项		ɕiaŋ53	ɕian53	ɕiaŋ53	ɕian53	ɕian53	ɕiaŋ53
巷		xo53	xo53	xo53	xo53	xo53	xaŋ53
剥		po21	po21	po21	po21	po21	po21
桌		tʂuo42	tʂuo42	ʦuo42	tʂuo42	tʂuo42	tʂuo42
浊		tʂuo21	tʂuo24	tʂuo21	tʂuo24	tʂuo24	tʂuo24
捉		tʂuo21	tʂuo21	tʂuo21	tʂuo21	tʂuo21	tʂuo21
镯	～子	tʂuo24	tʂuo24	tʂuo24	tʂuo24	tʂuo24	tʂuo24
觉	知～	ʨio21	ʨio21	ʨio21	ʨio24	ʨye24	ʨio21
角		ʨio21=/tio21-	ʨio21=/tio21-	ʨio21=/tio21-	ʨio21=/tio21-	tio21	ʨio21=/tio21-
饺	～子	ʨiao24	ʨiao24	ʨiao24	ʨiao24	ʨiao24	ʨiao24
壳		kʰo24	kʰɤ24	kʰuo24	kʰɤ24	kʰɤ24	kʰo24
岳		io21	io21	io21	io21	io21	io21
学		ɕio24	ɕio24	ɕio24	ɕio24	ɕio24	ɕio24
朋		pʰəŋ24	pʰə̃24	pʰəŋ24	pʰə̃24	pʰen24	pʰəŋ24
登		təŋ21	tə̃21	təŋ21	tə̃21	ten21	təŋ21
灯		ten21	tə̃21	ten21	tə̃21	ten21	ten21
等		ten42	tə̃42	ten42	tə̃42	ten42	təŋ42
凳		təŋ53	-	təŋ53	tə̃53	-	təŋ53
疼		tʰen24	tʰə̃24	tʰen24	tʰə̃24	tʰen24	tʰen24
邓		təŋ33	tə̃53	təŋ44	tə̃53	ten53	təŋ44
能		nəŋ24	nə̃24	nəŋ24	nə̃24	nen24	nəŋ24
增		ʦəŋ21	ʦə̃21	ʦəŋ21	ʦə̃21	ʦen21	ʦəŋ21
层		ʦʰəŋ24	ʦʰə̃24	ʦʰəŋ24	ʦʰə̃24	ʦʰen24	ʦʰəŋ24
僧		səŋ21	sə̃21	səŋ21	sə̃21	sen21	səŋ21
肯		kʰen42	kʰə̃42	kʰen42	kʰə̃42	kʰen42	kʰen42
北		pu21	pei21	pu21	pu21	pu21	pu21
默		mo21	mo21	mo21	mo21	mo21	mo21
得		tɛ21	tɤ21	tɤ21	tɤ21	te21	tə21
德		tɛ21	tɤ21	tɤ21	tɤ21	te21	tə21
肋		lɛ21	lɤ21	lɤ21	lɤ21	le21	lə21
勒		lɛ21	lɤ21	lɤ21	lɤ21	le21	le21
贼		ʦei24	ʦei24	ʦei24	ʦei24	ʦei24	ʦei24
刻	时～	kʰɛ21	kʰɤ21	kʰe21	kʰɤ21	kʰɤ21	kʰe21
黑		xɯ21	xɤ21	xɯ21	xɤ21	xɤ21	xɯ21
冰		piəŋ21	piə̃21	piəŋ21	piə̃21	pien21	piəŋ21
蒸		tʂe21	tʂe21	tʂe21	tʂe21	tʂe21	ʦəŋ21
证		tʂəŋ33	tʂə̃53	tʂəŋ44	tʂə̃53	tʂen24	tʂəŋ44
症		tʂəŋ33	tʂə̃24	tʂəŋ44	tʂə̃24	tʂen24	tʂəŋ44
剩		ʂe53	ʂe53	ʂe53	ʂe53	ʂe53	ʂe53
升		ʂəŋ21	ʂə̃21	ʂəŋ21	ʂə̃21	ʂen21	ʂəŋ21
胜	～败	ʂəŋ33	ʂə̃24	ʂəŋ44	ʂə̃24	ʂen24	ʂəŋ44
承		tʂʰəŋ24	tʂʰə̃24	tʂʰəŋ24	tʂʰə̃24	tʂʰen24	tʂʰəŋ24
鹰		iəŋ21	iə̃21	iəŋ21	iə̃21	ien21	iəŋ21
逼		pi21	pi21	pi21	pi21	pi21	pi21
力		li21	li21	li21	li21	li42	li21
息		ɕi21	ɕi21	ɕi21	ɕi21	ɕi21	ɕi42
熄		ɕi21	ɕi21	ɕi21	ɕi21	ɕi21	ɕi21
直		tʂʅ24	tʂʅ24	tʂʅ24	tʂʅ24	tʂʅ24	tʂʅ24
侧		ʦʰɛ21	ʦʰɤ21	tʂʰe21	ʦʰe21	ʦʰe21	ʦʰe21
测		ʦʰɛ21	ʦʰɤ21	tʂʰe21	ʦʰe21	ʦʰe21	ʦʰe21
色		sɛ21	se21	ʂe21	se21	se21	se21
织		tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21
职		tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21	tʂʅ21
食		ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24
蚀		ʂʅ24	ʂʅ24	ʂʅ21	ʂʅ24	ʂʅ24	ʂʅ24
识		ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ24	ʂʅ21
式		ʂʅ33	ʂʅ24	ʂʅ44	ʂʅ24	ʂʅ24	ʂʅ44
极		ʨi24	ʨi24	ʨi24	ʨi24	ʨi24	ʨi24
忆		i21	i24	i21	i21	i21	i24
亿		i21	i21	i21	i21	i21	i24
国		kuɛ21	kuo21	kue21	kue21	kue21	kue21
彭		pʰəŋ24	pʰə̃24	pʰəŋ24	pʰə̃24	pʰen24	pʰəŋ24
孟		məŋ53	mə̃53	məŋ53	mə̃53	men53	məŋ53
打		ta42	ta42	ta42	ta42	ta42	ta42
冷		lɛ42	le42	le42	le42	le42	le42
生		sɛ21	se21	ʂe21	se21	se21	se21
牲		səŋ21	sə̃21	səŋ21	sə̃21	sen21	səŋ21
省		səŋ42	sə̃42	səŋ42	sə̃42	sen42	səŋ42
庚		kəŋ21	kə̃21	kəŋ21	kə̃21	ken21	kəŋ21
坑		kʰəŋ21	kʰə̃21	kʰəŋ21	kʰə̃21	kʰen21	kʰəŋ21
硬		ȵie53	ȵiə̃53	ȵie53	ȵie53	ȵie53	ȵiəŋ53
衡		xəŋ24	xə̃24	xəŋ24	xə̃24	xen24	xəŋ24
杏		xɛ53	xe53	xe53	xe53	xe53	xe53
百		pɛ21	pe21	pie21	pe21	pe21	pe21
白		pʰe24	pʰe24	pie24	pʰe24	pʰe24	pʰe24
泽		ʦɛ21	ʦe24	tʂe24	ʦe24	ʦe24	ʦe24
窄		ʦɛ21	ʦe21	tʂe21	ʦe21	ʦe21	ʦe21
格		kɛ33	kɤ21	ke44	kɤ24	kɤ21	kə42
客		kʰɛ42	kʰɤ42	kʰe21	kʰɤ21	kʰɤ42	kʰe21
额		ŋɛ21	ŋɤ24	ŋe21	ŋɤ24	ŋɤ24	ŋə42
争		ʦɛ21	ʦə̃21	tʂe21	ʦe21	ʦen21	ʦe21
筝		tʂəŋ21	ʦə̃21	tʂəŋ21	ʦə̃21	tʂen21	tʂəŋ21
睁		ʦɛ21	ʦə̃21	tʂe21	ʦe21	tʂen21	ʦe21
幸		ɕiəŋ53	ɕiə̃53	ɕiəŋ53	ɕiə̃53	ɕien53	ɕiəŋ53
莺		iəŋ21	iə̃21	-	iə̃21	ien21	iəŋ24
鹦	～鹉、～哥	iəŋ21	iə̃21	iəŋ21	iə̃21	ien21	iəŋ21
樱	～桃	iəŋ21	iə̃21	iəŋ21	iə̃21	ien21	iəŋ21
麦		mɛ21	me21	mie21	me21	me21	me21
脉		mai21	me21	mie21	me21	me21	me21
摘		ʦɛ21	ʦe21	tʂe21	ʦe21	ʦe21	ʦe21
责		ʦɛ21	ʦe21	tʂe21	ʦe24	ʦe24	ʦe24
策		ʦʰɛ21	ʦʰe21	tʂʰe21	ʦʰe21	ʦʰe21	ʦʰe21
册		ʦʰɛ21	ʦʰe21	tʂʰe21	ʦʰe21	ʦʰe21	ʦʰe21
革		kɛ21	kɤ21	ke21	kɤ21	kɤ21	ko21
隔		kɛ21	kɤ21	ke21	kɤ21	kɤ21	ke21
兵		piəŋ21	piə̃21	piəŋ21	piə̃21	pien21	piəŋ21
平		pʰie24	pʰie24	pʰie24	pʰie24	pʰie24	pʰie24
评		pʰiəŋ24	pʰiə̃24	pʰiəŋ24	pʰiə̃24	pʰien24	pʰiəŋ24
病		piəŋ53	pʰie53	pʰie53	pʰie53	pʰie53	piəŋ53
明		mie24	miə̃24	mie24	mie24	mie24	mie24
命		mie53	mie53	mie53	mie53	mie53	mie53
京		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
惊		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
景		ʨiəŋ42	ʨiə̃42	ʨiəŋ42	ʨiə̃42	ʨien42	ʨiəŋ42
敬		ʨiəŋ33	ʨiə̃53	ʨiəŋ44	ʨiə̃24	ʨien53	ʨiəŋ44
镜		ʨie53	ʨie53	ʨie53	ʨie53	ʨie53	ʨie53
英		iəŋ21	iə̃21	iəŋ21	iə̃21	ien21	iəŋ21
影		ȵie24	iə̃24	iəŋ21	iə̃24	ien21	ȵie53
映		iəŋ53	iə̃53	iəŋ53	iə̃24	ien53	iəŋ42
剧		ʨy33	ʨy24	ʨy44	ʨy24	ʨy24	ʨy24
饼		piəŋ42	piə̃42	piəŋ42	piə̃24	pien42	pien42
名		mie24	miə̃24	mie24	mie24	mie24	mie24
领		liəŋ42	liə̃42	liəŋ42	liə̃42	lien42	liəŋ42
岭		liəŋ42	liə̃42	liəŋ42	liə̃42	lien42	liəŋ42
令		liəŋ53	liə̃53	liəŋ53	liə̃53	lien53	liəŋ53
精		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
晶		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
睛		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
井		ʨie24	ʨie42	ʨie24	ʨie24	ʨie42	ʨie42
清		ʨʰiəŋ21	ʨʰiə̃21	ʨʰiəŋ21	ʨʰiə̃21	ʨʰien21	ʨʰiəŋ21
请		ʨʰiəŋ42	ʨʰiə̃42	ʨʰiəŋ42	ʨʰiə̃42	ʨʰien42	ʨʰiəŋ42
情		ʨʰiəŋ24	ʨʰiə̃24	ʨʰiəŋ24	ʨʰiə̃24	ʨʰien24	ʨʰiəŋ24
晴		ʨʰie24	ʨʰie24	ʨʰie24	ʨʰie24	ʨʰie24	ʨʰiəŋ24
静		ʨiəŋ42	ʨiə̃42	ʨiəŋ42	ʨiə̃42	ʨien42	ʨiəŋ42
净		ʨʰie53	ʨʰie53	ʨʰie53	ʨiə̃53	ʨʰie53	ʨiəŋ53
姓		ɕiəŋ33	ɕiə̃24	ɕiəŋ44	ɕiə̃24	ɕien24	ɕiəŋ44
程		tʂʰən35	tʂʰə̃24	tʂʰəŋ24	tʂʰə̃24	tʂʰen24	tʂʰəŋ24
郑		tʂəŋ33	tʂə̃53	tʂəŋ44	tʂə̃53	tʂen53	tʂəŋ42
征		tʂəŋ21	tʂə̃21	tʂəŋ21	tʂə̃21	tʂen21	tʂəŋ21
整		tʂəŋ42	tʂə̃24	tʂəŋ42	tʂə̃24	tʂen24	tʂəŋ44
政		tʂəŋ33	tʂə̃24	tʂəŋ44	tʂə̃24	tʂen24	tʂəŋ44
声		ʂəŋ21	ʂə̃21	ʂəŋ21	ʂə̃21	ʂen21	ʂəŋ21
成		tʂʰəŋ24	tʂʰə̃24	tʂʰəŋ24	tʂʰə̃24	tʂʰen24	tʂʰəŋ24
城		tʂʰəŋ24	tʂʰə̃24	tʂʰəŋ24	tʂʰə̃24	tʂʰen24	tʂʰəŋ24
轻	～重、年～	ʨʰiəŋ21	ʨʰiə̃21	ʨʰiəŋ21	ʨʰiə̃21	ʨʰien21	ʨʰiəŋ21
赢		ie24	ie24	ie24	ie24	ie24	ie24
积		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
惜		ɕi21	ɕi21	ɕi21	ɕi21	ɕi21	ɕi21
席		ɕi24	ɕi24	ɕi24	ɕi24	ɕi24	ɕi24
尺		tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21
适		ʂʅ33	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21
益		i42	i42	i42	i42	i42	i42
拼		pʰien21	pʰiə̃21	pʰien21	pʰiə̃21	pʰien21	pʰien21
瓶		pʰiəŋ24	pʰiə̃24	pʰiəŋ24	pʰiə̃24	pʰien24	pʰiəŋ24
屏	围～	pʰiəŋ24	pʰiə̃24	pʰiəŋ24	pʰiə̃24	pʰien24	pʰiəŋ53
萍		pʰiəŋ24	pʰiə̃24	pʰiəŋ24	pʰiə̃24	pʰien24	pʰiəŋ24
丁		tiəŋ21	tiə̃21	tiəŋ21	tiə̃21	tien21	tiəŋ21
钉		tie21	tie21	tie21	tie21	tie21	tiəŋ21
顶		tiəŋ42	tiə̃42	tiəŋ42	tiə̃42	tien42	tiəŋ42
订	～约	tiəŋ33	tiə̃53	tiəŋ44	tiə̃53	tien53	tiəŋ44
听	～见、～话	tʰie21	tʰie21	tʰie21	tʰie21	tʰie21	tʰie21
汀		tiəŋ21	tʰiə̃21	tʰiəŋ21	tʰiə̃21	tʰien21	tʰiəŋ21
亭		tʰiəŋ24	tʰiə̃24	tʰiəŋ24	tʰiə̃24	tʰien24	tʰiəŋ24
停		tʰiəŋ24	tʰiə̃24	tʰiəŋ24	tʰiə̃24	tʰien24	tʰiəŋ24
定		tiəŋ53	tiə̃53	tiəŋ53	tiə̃53	tien53	tiəŋ53
宁	安～、沪～	ȵiəŋ24	ȵiə̃24	ȵiəŋ21	ȵiə̃24	ȵien24	ȵiəŋ24
灵		liəŋ24	liə̃24	liəŋ24	liə̃24	lien24	liəŋ24
零		liəŋ24	liə̃24	liəŋ24	liə̃24	lien24	liəŋ24
铃		lie24	lie24	lie24	lie24	lie24	liəŋ24
青		ʨʰiəŋ21	ʨʰiə̃21	ʨʰiəŋ21	ʨʰiə̃21	ʨʰien21	ʨʰiəŋ21
星		ɕiəŋ21	ɕiə̃21	ɕiəŋ21	ɕiə̃21	ɕien21	ɕiəŋ21
醒		ɕie42	ɕie24	ɕie42	ɕie24	ɕie24	ɕiəŋ44
经		ʨiəŋ21	ʨiə̃21	ʨiəŋ21	ʨiə̃21	ʨien21	ʨiəŋ21
形		ɕiəŋ24	ɕiə̃24	ɕiəŋ24	ɕiə̃24	ɕien24	ɕiəŋ24
刑		ɕiəŋ24	ɕiə̃24	ɕiəŋ24	ɕiə̃24	ɕien24	ɕiəŋ24
壁		pi21	pi42	pi21	pʰi24	pi21	pi21
滴		ti21	ti21	ti21	ti21	ti21	ti21
笛		tʰi24	tʰi24	tʰi24	tʰi24	tʰi24	tʰi24
敌		tie24	ti24	ti24	tie24	tie24	tie24
绩		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
激		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
吃		tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21	tʂʰʅ21
横	～直	xəŋ24	xə̃24	xəŋ24	xə̃24	xen24	xəŋ42
轰		xuəŋ21	xuə̃21	xuəŋ21	xuə̃21	xuen21	xuəŋ21
宏		xuəŋ24	xuə̃24	xuəŋ24	xuə̃24	xuen24	xuəŋ24
兄		ɕyəŋ21	ɕyə̃21	ɕyəŋ21	ɕyə̃21	ɕyen21	ɕyəŋ21
永		yəŋ42	yə̃42	yəŋ42	yə̃42	yen42	yəŋ42
琼		ʨʰyəŋ24	ʨʰyə̃24	ʨʰyəŋ24	ʨʰyə̃24	ʨʰyen24	ʨʰyəŋ24
营		iəŋ24	iə̃24	iəŋ24	iə̃24	ien24	iəŋ24
蒙		məŋ24	mə̃24	məŋ24	mə̃21	men24	məŋ24
东		tuen21	tuə̃21	tuen21	tuə̃21	tuen21	tuen21
董		tuəŋ42	tuə̃42	tuəŋ42	tuə̃42	tuen42	tuəŋ42
懂		tuəŋ42	tuə̃42	tuəŋ42	tuə̃42	tuen42	tuəŋ42
冻		tuen33	tuə̃24	tuen44	tuə̃24	tuen24	tuen44
栋		tuəŋ33	tuə̃24	tuəŋ44	tuə̃24	tuen53	tuəŋ44
通		tʰuəŋ21	tʰuə̃21	tʰuəŋ21	tʰuə̃21	tʰuen21	tʰuəŋ21
桶		tʰuen42	tʰuə̃42	tʰuen42	tʰuə̃42	tʰuen42	tʰuen42
痛		tʰuəŋ33	tʰuə̃24	tʰuəŋ44	tʰuə̃24	tʰuen24	tʰuəŋ44
同		tʰuəŋ24	tʰuə̃24	tʰuəŋ24	tʰuə̃24	tʰuen24	tʰuəŋ24
铜		tʰuen24	tʰuə̃24	tʰuen24	tʰuə̃24	tʰuen24	tʰuəŋ24
童		tʰuəŋ24	tʰuə̃24	tʰuəŋ24	tʰuə̃24	tʰuen24	tʰuəŋ24
动		tʰuen53	tʰuə̃53	tʰuen53	tʰuə̃53	tʰuen53	tuəŋ53
洞		tuəŋ53	tuə̃53	tuəŋ53	tuə̃53	tʰuen53	tuəŋ53
笼		ləŋ24	lə̃24	ləŋ24	lə̃24	len24	luəŋ24
弄		ləŋ53	lə̃53	len53	lə̃53	len53	nuəŋ53
总		ʦuəŋ42	ʦuə̃42	ʦuəŋ42	ʦuə̃42	ʦuen42	tʂuəŋ42
粽		ʨyen53	ʦuə̃53	ʦuəŋ53	ʦuə̃53	ʦuen53	ʦuəŋ53
聪		ʦʰuəŋ21	ʦʰuə̃21	tʂʰuəŋ21	ʦʰuə̃21	ʦʰuen21	tʂʰuəŋ21
葱		ʦʰuen21	ʦʰuə̃21	ʦʰuen21	ʦʰuə̃21	ʦʰuen21	ʦʰuen21
送		suen33	suə̃24	suen44	suə̃24	suen24	suen44
公		kuen21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuen21
工		kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
功		kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
攻	～击	kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
贡		kuəŋ33	kuə̃53	kuəŋ44	kuə̃53	kuen21	kuəŋ44
空	～虚	kʰuen21	kʰuə̃21	kʰuen21	kʰuə̃21	kʰuen21	kʰuen21
孔		kʰuəŋ42	kʰuə̃42	kʰuəŋ42	kʰuə̃24	kʰuen42	kʰuəŋ42
红		xuen24	xuə̃24	xuen24	xuə̃24	xuen24	xuen24
洪		xuəŋ24	xuə̃24	xuəŋ24	xuə̃24	xuen24	xuəŋ24
仆	倒	pʰu21	pʰu21	pʰu21	pʰu24	pʰu21	pʰu42
木		mu21	mu21	mu21	mu21	mu21	mu21
独		tʰu24	tu24	tu24	tu24	tu24	tu24
读		tu24	tu24	tu24	tu24	tu24	tu24
鹿		lou21	lou21	lou21	lou21	lou21	lou21
禄		lou21	lou21	lou21	lou21	lou21	lou21
族		ʦʰou24	ʦuo24	ʦʰou24	ʦuo24	ʦuo24	ʦʰou24
谷		ku42	ku21	ku42	ku21	ku21	ku42
哭		kʰu21	kʰu21	kʰu21	kʰu21	kʰu21	kʰu21
屋		u21	u21	u21	u21	u21	u21
冬		tuen21	tuə̃21	tuen21	tuə̃21	tuen21	tuen21
统		tʰuəŋ42	tʰuə̃24	tʰuəŋ21	tʰuə̃24	tʰuen42	tʰuəŋ42
农		nəŋ24	nə̃24	nəŋ24	nə̃24	nen24	nəŋ24
脓		nen24	nə̃24	nen24	nə̃24	nuen24	nen24
宗		ʦuəŋ21	ʦuə̃21	ʦuəŋ21	ʦuə̃21	ʦuen21	ʦuəŋ21
综		ʦuəŋ33	ʦuə̃53	ʦuəŋ44	ʦuə̃53	ʦuen53	ʦuəŋ44
松		suen21	suə̃21	suen21	suə̃21	suen21	suəŋ21
宋		suəŋ33	suə̃24	suəŋ44	suə̃24	suen53	suəŋ44
毒		tʰu24	tʰu24	tʰu24	tʰu24	tʰu24	tʰu24
风		fen21	fə̃21	fen21	fə̃21	fen21	fen21
疯		fen21	fə̃21	fəŋ21	fə̃21	fen21	fəŋ21
冯		fəŋ24	fə̃24	fen24	fə̃24	fen24	fen24
凤		fəŋ33	fə̃53	fəŋ44	fə̃53	fen53	fəŋ44
梦		men33	mə̃53	məŋ44	mə̃53	men53	məŋ44
隆		luəŋ24	lə̃24	ləŋ24	lə̃24	luen24	luəŋ24
嵩		suəŋ21	suə̃21	suəŋ21	suə̃21	suen21	suəŋ21
中	当～	tʂuəŋ21	tʂuə̃21	tʂuəŋ21	tʂuə̃21	tʂuen21	tʂuəŋ21
虫		tʂʰuen24	tʂʰuə̃24	tʂʰuen24	tʂʰuə̃24	tʂʰuen24	tʂʰuen24
众		tʂuəŋ33	tʂuə̃24	tʂuəŋ44	tʂuə̃53	tʂuen53	tʂuəŋ44
充		tʂʰuəŋ21	tʂʰuə̃21	tʂʰuəŋ21	tʂʰuə̃21	tʂʰuen21	tʂʰuəŋ21
弓		kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
躬		kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
宫		kuəŋ21	kuə̃21	kuəŋ21	kuə̃21	kuen21	kuəŋ21
穷		ʨʰyen24	ʨʰyə̃24	ʨʰyen24	ʨʰyə̃24	ʨʰyen24	ʨʰyəŋ24
熊		ɕyəŋ24	ɕyə̃24	ɕyəŋ24	ɕyə̃24	ɕyen24	ɕyəŋ24
雄		ɕyəŋ24	ɕyə̃24	ɕyəŋ24	ɕyə̃24	ɕyen24	ɕyəŋ24
福		fu21	fu21	fu21	fu24	fu24	fu21
复		fu21	fu21	fu21	fu24	fu24	fu44
服		fu24	fu24	fu21	fu24	fu24	fu24
伏		fu24	fu24	fu24	fu24	fu24	fu24
目		mu21	mu21	mu21	mu24	mu21	mu21
六		ly21	ly21	ly21	ly21	ly21	ly21
陆		lou21	lou21	lou21	lou21	lou21	lou21
竹		tʂu33	tʂu21	tʂu21	tʂu24	tʂu24	tʂu21
缩		fo21	suo21	suo21	suo21	suo21	suo21
祝		tʂu33	tʂu24	tʂu44	tʂu21	tʂu24	tʂu44
叔		ʂu53	ʂu53	ʂu44	ʂu24	ʂu53	fu44
熟	煮～、～悉	fu24	ʂu24	ʂu24	ʂu24	ʂu24	fu24
肉		vu21	ʐu21	vu21	ʐu21	ʐu21	vu21
