	單字	合水(調類)	合水(調值)	注释
2768	窨			
2769	陰	jɐm1	jɐm⁴⁵	
2770	瘖	jɐm1	jɐm⁴⁵	
2771	音	jɐm1	jɐm⁴⁵	
2772	飲	ȵɐm2	ȵɐm³²³	飲水
2773	飲			飲馬
2774	蔭	jɐm1	jɐm⁴⁵	
2775	邑	jɐp7	jɐp⁴⁵	
2776	吟	ȵɐm4	ȵɐm³¹	
2777	岌			
2778	吸	kʰiɐp7	kʰiɐp⁴⁵	
2779	鑫	jɐm1	jɐm⁴⁵	
2780	欽	jɐm1	jɐm⁴⁵	又读hiɐm⁴⁵
2781	泣	jɐp7	jɐp⁴⁵	
2782	森	sɐm1	sɐm⁴⁵	
2783	參	sɐm1	sɐm⁴⁵	人參
2784	滲	sɐm3	sɐm³³	
2785	澀	kiɐp10	kiɐp³¹	
2786	擒	kʰiɐm4	kʰiɐm³¹	
2787	琴	kʰiɐm4	kʰiɐm³¹	
2788	凜			
2789	禽	kʰiɐm4	kʰiɐm³¹	
2790	苙	lɐp7	lɐp⁴⁵	
2791	及	kiɐp9	kiɐp⁵²	
2792	黔	kʰim4	kʰim³¹	
2793	品	pɐn2	pɐn³²³	
2794	賃			
2795	金	kiɐm1	kiɐm⁴⁵	
2796	襟	kʰiɐm1	kʰiɐm⁴⁵	
2797	今	kiɐm1	kiɐm⁴⁵	
2798	禁	kiɐm3	kiɐm³³	禁止
2799	禁	kʰiɐm1	kʰiɐm⁴⁵	禁著
2800	錦	kiɐm2	kiɐm³²³	
2801	汲	kʰiɐp7	kʰiɐp⁴⁵	
2802	急	kiɐp7	kiɐp⁴⁵	
2803	給	kʰiɐp7	kʰiɐp⁴⁵	
2804	級	kʰiɐp7	kʰiɐp⁴⁵	
2805	參	ʦʰam1	ʦʰam⁴⁵	參差
2806	涔	sɐm4	sɐm³¹	
2807	岑	sɐm4	sɐm³¹	
2808	沈	sɐm2	sɐm³²³	
2809	湛	ʦam3	ʦam³³	又读ʦam⁵²
2810	沉	ʦʰɐm4	ʦʰɐm³¹	
2811	朕			
2812	蟄	kɪk7	kɪk⁴⁵	
2813	闖	ʦʰuɔŋ2	ʦʰuɔŋ³²³	
2814	琛	sɐm1	sɐm⁴⁵	
2815	稟	pɐn2	pɐn³²³	
2816	安	ʔuɔn1	ʔuɔn⁴⁵	
2817	案	ʔuɔn3	ʔuɔn³³	
2818	按	ʔuɔn3	ʔuɔn³³	
2819	腕	wun2	wun³²³	
2820	晏	ʔan3	ʔan³³	
2821	遏			
2822	豌	wun2	wun³²³	
2823	剜			
2824	斡			
2825	胺	ʔuɔn1	ʔuɔn⁴⁵	
2826	惋	wun2	wun³²³	
2827	岸	ŋuɔn6	ŋuɔn⁵²	
2828	玩	wan2	wan³²³	玩弄
2829	跚	san1	san⁴⁵	
2830	酸	ɬun1	ɬun⁴⁵	
2831	珊	san1	san⁴⁵	
2832	痠	ɬun1	ɬun⁴⁵	
2833	姍	san1	san⁴⁵	
2834	散	ɬan2	ɬan³²³	散文
2835	散	ɬan3	ɬan³³	散步
2836	算	ɬun3	ɬun³³	
2837	傘	ɬan3	ɬan³³	
2838	蒜	ɬun3	ɬun³³	
2839	薩	ɬat8	ɬat³	
2840	歡	fun1	fun⁴⁵	
2841	鼾	huɔn4	huɔn³¹	
2842	奐	wun6	wun⁵²	
2843	喚	fun6	fun⁵²	
2844	漢	huɔn3	huɔn³³	
2845	煥	fun6	fun⁵²	
2846	豁	kʰut8	kʰut³	
2847	焊	huɔn6	huɔn⁵²	
2848	院	jin6	jin⁵²	
2849	完	jin4	jin³¹	
2850	丸	jin4	jin³¹	
2851	汗	huɔn6	huɔn⁵²	流汗
2852	汗			可汗
2853	桓	fun4	fun³¹	
2854	翰	huɔn6	huɔn⁵²	
2855	寒	huɔn4	huɔn³¹	
2856	韓	huɔn4	huɔn³¹	
2857	棵	kʰuɔ1	kʰuɔ⁴⁵	
2858	浣	wun5	wun³¹²	
2859	旱	huɔn5	huɔn³¹²	
2860	緩	fun6	fun⁵²	又读fun³¹ ;wun³¹
2861	換	wun6	wun⁵²	
2862	悍	huɔn5	huɔn³¹²	
2863	瀚	huɔn6	huɔn⁵²	
2864	褐	huɔt8	huɔt³	
2865	曷			
2866	紈			
2867	莞	wun2	wun³²³	莞爾
2868	捍	huɔn5	huɔn³¹²	
2869	刊	huɔn2	huɔn³²³	
2870	寬	fun1	fun⁴⁵	
2871	看	huɔn3	huɔn³³	看守
2872	看	huɔn3	huɔn³³	看待
2873	侃	huɔn2	huɔn³²³	
2874	款	fun2	fun³²³	
2875	闊	fut8	fut³	
2876	渴	huɔt8	huɔt³	
2877	湍	ʦʰun1	ʦʰun⁴⁵	
2878	嘆	tʰan3	tʰan³³	
2879	攤	tʰan1	tʰan⁴⁵	
2880	灘	tʰan1	tʰan⁴⁵	
2881	坦	tʰan2	tʰan³²³	
2882	瘓	fun6	fun⁵²	
2883	歎	tʰan3	tʰan³³	
2884	炭	tʰan3	tʰan³³	
2885	達	tat9	tat⁵²	
2886	獺			
2887	疃			
2888	餐	ʦʰan1	ʦʰan⁴⁵	
2889	璨	ʦʰan3	ʦʰan³³	
2890	燦	ʦʰan3	ʦʰan³³	
2891	竄	ʦʰun3	ʦʰun³³	
2892	拌	pun6	pun⁵²	
2893	潘	pʰun1	pʰun⁴⁵	
2894	判	pʰun3	pʰun³³	
2895	胖	pun6	pun⁵²	肥胖
2896	胖			心廣體胖
2897	難	nan4	nan³¹	困難
2898	難	nan6	nan⁵²	難民
2899	暖	nun5	nun³¹²	
2900	捺	nat9	nat⁵²	又读nap⁵²
2901	饅	man6	man⁵²	
2902	蔓	man6	man⁵²	蔓菁
2903	鰻	man4	man³¹	
2904	瞞	mun4	mun³¹	
2905	曼	man6	man⁵²	
2906	滿	mun5	mun³¹²	
2907	漫	man6	man⁵²	
2908	幔	man6	man⁵²	
2909	末	mut9	mut⁵²	
2910	抹	mut8	mut³	塗抹
2911	闌	lan4	lan³¹	
2912	巒	lun4	lun³¹	
2913	蘭	lan4	lan³¹	
2914	瀾	lan4	lan³¹	
2915	攔	lan4	lan³¹	
2916	欄	lan4	lan³¹	
2917	懶	lan5	lan³¹²	
2918	卵	lun5	lun³¹²	
2919	亂	lun6	lun⁵²	
2920	爛	lan6	lan⁵²	
2921	鸞	lun4	lun³¹	
2922	捋	lut8	lut³	
2923	剌	lɐk9	lɐk⁵²	
2924	瘌			
2925	鑽	ʦun3	ʦun³³	
2926	讚	ʦan3	ʦan³³	
2927	贊	ʦan3	ʦan³³	
2928	撮	ʦʰut8	ʦʰut³	
2929	灒			
2930	纂	san3	san³³	
2931	棺	kun1	kun⁴⁵	
2932	奸	kan1	kan⁴⁵	
2933	肝	kuɔn1	kuɔn⁴⁵	
2934	竿	kuɔn1	kuɔn⁴⁵	
2935	觀	kun1	kun⁴⁵	參觀
2936	觀	kun1	kun⁴⁵	道觀
2937	冠	kun1	kun⁴⁵	衣冠
2938	冠	kun3	kun³³	冠軍
2939	官	kun1	kun⁴⁵	
2940	貫	kun3	kun³³	
2941	倌			
2942	乾	kuɔn1	kuɔn⁴⁵	乾燥
2943	干	kuɔn1	kuɔn⁴⁵	
2944	管	kun2	kun³²³	
2945	稈	kuɔn2	kuɔn³²³	
2946	鸛	kun3	kun³³	
2947	杆	kuɔn1	kuɔn⁴⁵	
2948	罐	kun3	kun³³	
2949	館	kun2	kun³²³	
2950	灌	kun3	kun³³	
2951	幹	kuɔn3	kuɔn³³	
2952	聒	kʰut8	kʰut³	
2953	割	kuɔt8	kuɔt³	
2954	活	wut9	wut⁵²	
2955	括	kʰut8	kʰut³	
2956	葛	kuɔt8	kuɔt³	又读kuɔk³
2957	擀			
2958	莞	kun2	kun³²³	莞草
2959	端	tun1	tun⁴⁵	
2960	單	tan1	tan⁴⁵	單純
2961	殫	tan1	tan⁴⁵	
2962	丹	tan1	tan⁴⁵	
2963	斷	tun6	tun⁵²	恩斷義絕
2964	斷	tun6	tun⁵²	診斷
2965	短	tun2	tun³²³	
2966	旦	tan3	tan³³	元旦
2967	旦	tan3	tan³³	花旦
2968	鍛	tun6	tun⁵²	
2969	掇	ʦʰut8	ʦʰut³	
2970	鄲			
2971	團	tʰun4	tʰun³¹	
2972	壇	tʰan4	tʰan³¹	
2973	檀	tʰan4	tʰan³¹	
2974	彈	tan4	tan³¹	彈劾
2975	彈	tʰan6	tʰan⁵²	彈丸
2976	但	tan6	tan⁵²	
2977	斷	tʰun5	tʰun³¹²	白讀
2978	誕	tan3	tan³³	
2979	袒	tʰan2	tʰan³²³	
2980	緞	tun6	tun⁵²	
2981	憚	tan6	tan⁵²	
2982	段	tun6	tun⁵²	
2983	奪	tut9	tut⁵²	
2984	脫	tʰut8	tʰut³	
2985	膻			
2986	椴	tun6	tun⁵²	
2987	殘	ʦʰan4	ʦʰan³¹	
2988	般			般樂
2989	蹣			
2990	盤	pʰun4	pʰun³¹	
2991	伴	pun6	pun⁵²	罕见pʰun³¹²
2992	叛	pun6	pun⁵²	
2993	畔	pun6	pun⁵²	
2994	跋	pat9	pat⁵²	
2995	鈸	pat9	pat⁵²	
2996	磐	pʰun4	pʰun³¹	
2997	般	pun1	pun⁴⁵	一般
2998	粄			
2999	半	pun3	pun³³	
3000	絆	pun6	pun⁵²	
3001	撥	put8	put³	
3002	鉢	put8	put³	
3003	蛭	ʦi3	ʦi³³	
3004	盞	ʦan2	ʦan³²³	
3005	札	ʦat8	ʦat³	
3006	紮	ʦat8	ʦat³	
3007	扎	ʦat8	ʦat³	
3008	揠	ʔat8	ʔat³	
3009	軋			
3010	殷	jɐn1	jɐn⁴⁵	殷紅
3011	眼	ŋan5	ŋan³¹²	
3012	滑	wat9	wat⁵²	光滑
3013	湲			
3014	限	han6	han⁵²	
3015	幻	wan6	wan⁵²	
3016	黠			
3017	猾	wat9	wat⁵²	
3018	閑	han4	han³¹	
3019	莧	hiɛn6	hiɛn⁵²	
3020	產	ʦʰan2	ʦʰan³²³	
3021	汕	san3	san³³	
3022	殺	sat8	sat³	殺敵
3023	山	san1	san⁴⁵	
3024	煞	sat8	sat³	
3025	拴	san1	san⁴⁵	
3026	盼	pʰan3	pʰan³³	
3027	斕	lan4	lan³¹	
3028	楔	ɬiɐp8	ɬiɐp³	
3029	綸	kan1	kan⁴⁵	綸巾
3030	閒	han4	han³¹	
3031	艱	kan1	kan⁴⁵	
3032	揀	kan2	kan³²³	
3033	簡	kan2	kan³²³	
3034	嘎			
3035	頡	kʰit8	kʰit³	
3036	襇			
3037	柬	kan2	kan³²³	
3038	鰥			
3039	鏟	ʦʰan2	ʦʰan³²³	
3040	察	ʦʰat8	ʦʰat³	
3041	潺	san4	san³¹	
3042	棧	ʦan6	ʦan⁵²	
3043	綻	ʦan6	ʦan⁵²	
3044	瓣	pan6	pan⁵²	
3045	辦	pan6	pan⁵²	
3046	捌	pat8	pat³	
3047	八	pat8	pat³	
3048	灣	wan1	wan⁴⁵	
3049	彎	wan1	wan⁴⁵	
3050	頑	ŋan4	ŋan³¹	
3051	顏	ŋan4	ŋan³¹	
3052	雁	ŋan6	ŋan⁵²	
3053	瞎			
3054	環	wan4	wan³¹	
3055	寰	wan4	wan³¹	
3056	鬟	wan4	wan³¹	
3057	還	wan4	wan³¹	
3058	患	wan6	wan⁵²	
3059	皖	wun2	wun³²³	
3060	宦	wan6	wan⁵²	
3061	圜			環繞
3062	豢			
3063	舌	sit9	sit⁵²	
3064	訕	san3	san³³	
3065	刪	san1	san⁴⁵	
3066	疝			
3067	閂	san1	san⁴⁵	
3068	涮			
3069	汕	san3	san³³	汕頭
3070	刷	sat8	sat³	
3071	攀	pʰan1	pʰan⁴⁵	
3072	扳	pan1	pan⁴⁵	
3073	襻			
3074	蠻	man4	man³¹	
3075	慢	man6	man⁵²	
3076	帕	pʰɐk7	pʰɐk⁴⁵	
3077	謾	man6	man⁵²	
3078	關	kan1	kan⁴⁵	
3079	姦	kan1	kan⁴⁵	
3080	慣	kan3	kan³³	
3081	澗	kan3	kan³³	
3082	諫	kan3	kan³³	
3083	串	ʦʰin3	ʦʰin³³	
3084	刮	kʰat8	kʰat³	又读kat³
3085	鐧			
3086	篡	san3	san³³	
3087	撰	ʦan6	ʦan⁵²	
3088	斑	pan1	pan⁴⁵	
3089	班	pan1	pan⁴⁵	
3090	板	pan2	pan³²³	
3091	版	pan2	pan³²³	
3092	扳	pan1	pan⁴⁵	扳手
3093	舨			
3094	掇			掂掇
3095	折	ʦit8	ʦit³	骨折
3096	專	ʦin1	ʦin⁴⁵	
3097	氈	ʦin1	ʦin⁴⁵	
3098	顫	ʦin3	ʦin³³	
3099	戰	ʦin3	ʦin³³	
3100	浙	ʦit8	ʦit³	
3101	拙	ʦʰut8	ʦʰut³	
3102	娟	kin1	kin⁴⁵	
3103	捐	kin1	kin⁴⁵	
3104	兗			
3105	說			同「悅」
3106	筵	jin4	jin³¹	
3107	鳶	jin1	jin⁴⁵	
3108	蜒	jin4	jin³¹	
3109	鉛	jin4	jin³¹	
3110	緣	jin4	jin³¹	
3111	沿	jin4	jin³¹	
3112	延	jin4	jin³¹	
3113	衍	jin2	jin³²³	
3114	演	jin2	jin³²³	
3115	悅	jit9	jit⁵²	
3116	閱	jit9	jit⁵²	
3117	癬	ɬin2	ɬin³²³	
3118	褻			
3119	鮮	ɬin1	ɬin⁴⁵	鮮美
3120	鮮	ɬin1	ɬin⁴⁵	鮮有
3121	仙	ɬin1	ɬin⁴⁵	
3122	宣	ɬin1	ɬin⁴⁵	
3123	選	ɬin2	ɬin³²³	
3124	蘚	ɬin2	ɬin³²³	
3125	渲	ɬin3	ɬin³³	
3126	線	ɬin3	ɬin³³	
3127	雪	ɬit8	ɬit³	
3128	薛	ɬit8	ɬit³	
3129	涎			
3130	鏇	ɬin4	ɬin³¹	
3131	璇	ɬin4	ɬin³¹	
3132	旋	sin4	sin³¹	
3133	嬛			便嬛
3134	遣	hin2	hin³²³	
3135	譴	hin2	hin³²³	
3136	設	ʦʰit8	ʦʰit³	
3137	羶			
3138	說	sit8	sit³	講
3139	扇	sin3	sin³³	
3140	煽	sin3	sin³³	
3141	燃	ȵin4	ȵin³¹	
3142	然	ȵin4	ȵin³¹	
3143	軟	ȵin5	ȵin³¹²	
3144	熱	ȵit9	ȵit⁵²	
3145	遷	ʦʰin1	ʦʰin⁴⁵	
3146	詮	ʦʰin4	ʦʰin³¹	
3147	拴	san1	san⁴⁵	
3148	銓			
3149	痊	ʦʰin4	ʦʰin³¹	
3150	翩	pʰin1	pʰin⁴⁵	
3151	篇	pʰin1	pʰin⁴⁵	
3152	偏	pʰin1	pʰin⁴⁵	
3153	扁			一葉扁舟
3154	棉	min4	min³¹	
3155	綿	min4	min³¹	
3156	緬	min5	min³¹²	
3157	面	min6	min⁵²	
3158	滅	mit9	mit⁵²	
3159	沔			
3160	連	lin4	lin³¹	
3161	令			令居，古地名
3162	漣	lin4	lin³¹	
3163	戀	lun5	lun³¹²	又读lin³¹²
3164	劣	lut8	lut³	
3165	冽	lit9	lit⁵²	
3166	烈	lit9	lit⁵²	
3167	裂	lit8	lit³	
3168	輦			
3169	鰱	lin4	lin³¹	
3170	攣	lun4	lun³¹	
3171	煎	ʦin1	ʦin⁴⁵	
3172	剪	ʦin2	ʦin³²³	
3173	翦	ʦin2	ʦin³²³	
3174	箭	ʦin3	ʦin³³	
3175	濺	ʦin6	ʦin⁵²	飛濺
3176	鐫			
3177	絹	kin3	kin³³	
3178	孑			
3179	雋			
3180	全	ʦʰun4	ʦʰun³¹	又读ʦʰin³¹
3181	錢	ʦʰin4	ʦʰin³¹	
3182	泉	ʦʰin4	ʦʰin³¹	
3183	踐	ʦin6	ʦin⁵²	又读ʦʰin³¹²
3184	餞			
3185	賤	ʦin6	ʦin⁵²	
3186	絕	ʦit9	ʦit⁵²	
3187	船	sin4	sin³¹	
3188	折	sit9	sit⁵²	折本
3189	單			單于
3190	單	sin6	sin⁵²	單姓
3191	蟬	sim4	sim³¹	
3192	禪	sin4	sin³¹	禪師
3193	禪	sin6	sin⁵²	禪讓
3194	善	sin6	sin⁵²	
3195	擅	sin6	sin⁵²	
3196	繕	sin6	sin⁵²	
3197	嬋	sin4	sin³¹	
3198	川	ʦʰin1	ʦʰin⁴⁵	
3199	穿	ʦʰin1	ʦʰin⁴⁵	
3200	闡	ʦʰin4	ʦʰin³¹	
3201	舛	ʦʰun2	ʦʰun³²³	
3202	喘	ʦʰun2	ʦʰun³²³	
3203	膳	sin6	sin⁵²	
3204	便	pin6	pin⁵²	便利
3205	便			大腹便便
3206	平	pʰɪŋ4	pʰɪŋ³¹	
3207	鞭	piɛn1	piɛn⁴⁵	又读pin⁴⁵
3208	鱉	pit8	pit³	
3209	憋	pit8	pit³	
3210	綴			綴足
3211	展	ʦin2	ʦin³²³	
3212	輾	ʦin2	ʦin³²³	輾轉
3213	轉	ʦin2	ʦin³²³	轉變
3214	轉	ʦin3	ʦin³³	自轉
3215	哲	ʦit8	ʦit³	
3216	蜇	ʦit8	ʦit³	
3217	圜			天體
3218	焉	jin4	jin³¹	心不在焉
3219	圓	jin4	jin³¹	
3220	焉	jin1	jin⁴⁵	焉知非福
3221	諺	ȵin6	ȵin⁵²	
3222	彥	ȵin6	ȵin⁵²	
3223	這	ʦɛ2	ʦɛ³²³	
3224	孽	nip8	nip³	
3225	嫣	jin1	jin⁴⁵	
3226	騫	hin1	hin⁴⁵	
3227	愆			
3228	栓	san1	san⁴⁵	
3229	乾	kʰin4	kʰin³¹	乾坤
3230	捲	kin2	kin³²³	白读kiɛn³²³;ʔiɛn³²³
3231	虔	kʰin4	kʰin³¹	
3232	蜷	kin2	kin³²³	
3233	鍵	kin6	kin⁵²	
3234	權	kʰin4	kʰin³¹	
3235	卷	kin4	kin³¹	白读kiɛn³²³,kʰiɛn³²³
3236	拳	kʰin4	kʰin³¹	
3237	件	kin6	kin⁵²	
3238	倦	kin6	kin⁵²	
3239	杰	kit9	kit⁵²	
3240	傑	kit9	kit⁵²	
3241	鬈			
3242	顴			
3243	桀	kit9	kit⁵²	
3244	碣	kʰit8	kʰit³	
3245	碾	niɛn2	niɛn³²³	又读ŋan³²³
3246	吶	nap9	nap⁵²	
3247	冕	min5	min³¹²	白读miɛn³¹²
3248	免	miɛn5	miɛn³¹²	
3249	勉	min5	min³¹²	白读miɛn³¹²
3250	娩	min5	min³¹²	白读miɛn³¹²
3251	卷	kin2	kin³²³	試卷
3252	眷	kin3	kin³³	
3253	傳	ʦʰin4	ʦʰin³¹	傳播
3254	傳	ʦin6	ʦin⁵²	自傳
3255	纏	ʦʰin4	ʦʰin³¹	
3256	轍	ʦʰit8	ʦʰit³	
3257	撤	ʦʰit8	ʦʰit³	
3258	徹	ʦʰit8	ʦʰit³	
3259	澈	ʦʰit8	ʦʰit³	
3260	椽			
3261	篆			
3262	鏈	lin6	lin⁵²	
3263	辨	pin6	pin⁵²	
3264	辯	pin6	pin⁵²	
3265	汴	pin6	pin⁵²	
3266	別	pit9	pit⁵²	
3267	變	pin3	pin³³	
3268	胭	jin1	jin⁴⁵	
3269	湮			
3270	燕	jin3	jin³³	燕子
3271	燕	jin1	jin⁴⁵	燕國
3272	淵	jin1	jin⁴⁵	
3273	咽	jin1	jin⁴⁵	咽喉
3274	咽			狼吞虎咽
3275	咽			哽咽
3276	煙	jin1	jin⁴⁵	
3277	宴	jin3	jin³³	
3278	嚥			
3279	噎			
3280	妍	ȵin4	ȵin³¹	
3281	研	ȵin4	ȵin³¹	又读ŋan³¹
3282	硯	ȵin6	ȵin⁵²	
3283	齧			
3284	銑	ɬin2	ɬin³²³	
3285	冼	ɬin2	ɬin³²³	
3286	霰			
3287	先	ɬin1	ɬin⁴⁵	
3288	顯	hin2	hin³²³	
3289	絢			
3290	決	kʰit8	kʰit³	
3291	血	hit8	hit³	
3292	眩			
3293	縣	jin6	jin⁵²	
3294	絃	jin4	jin³¹	
3295	懸	jin4	jin³¹	
3296	賢	jin4	jin³¹	
3297	弦	jin4	jin³¹	
3298	玄	jin4	jin³¹	
3299	見			發見
3300	炫	jin4	jin³¹	
3301	現	jin6	jin⁵²	
3302	頁	jip9	jip⁵²	
3303	穴	jit9	jit⁵²	
3304	縴	hin1	hin⁴⁵	
3305	牽	hin1	hin⁴⁵	
3306	犬	hin2	hin³²³	
3307	缺	hit8	hit³	
3308	契			殷商的始祖
3309	天	tʰin1	tʰin⁴⁵	
3310	腆	tin2	tin³²³	
3311	靦			靦顏事仇
3312	鐵	tʰit8	tʰit³	
3313	倩	ɬin6	ɬin⁵²	
3314	竊	sit8	sit³	
3315	切	ʦʰit8	ʦʰit³	急切
3316	仟	ʦʰin1	ʦʰin⁴⁵	
3317	阡	ʦʰin1	ʦʰin⁴⁵	
3318	千	ʦʰin1	ʦʰin⁴⁵	
3319	沏			
3320	茜	ɬɐi1	ɬɐi⁴⁵	
3321	片	pʰin3	pʰin³³	白读pʰiɛn³³
3322	瞥	pʰit8	pʰit³	
3323	年	nin4	nin³¹	
3324	捏	niɛt9	niɛt⁵²	
3325	撚			
3326	攆	niɛn2	niɛn³²³	
3327	涅	nip9	nip⁵²	
3328	眠	min4	min³¹	
3329	麵	min6	min⁵²	
3330	篾	mit9	mit⁵²	
3331	蔑	mit9	mit⁵²	
3332	捩			捩手
3333	零	lɪŋ4	lɪŋ³¹	
3334	蓮	lin4	lin³¹	
3335	憐	lin4	lin³¹	
3336	練	lin6	lin⁵²	
3337	鍊	lin6	lin⁵²	
3338	楝	lin6	lin⁵²	
3339	淺	ʦʰiɛn2	ʦʰiɛn³²³	
3340	箋			
3341	濺			濺濺
3342	薦	ʦin3	ʦin³³	
3343	節	ʦit8	ʦit³	
3344	癤	ʦit8	ʦit³	
3345	肩	kin1	kin⁴⁵	
3346	堅	kin1	kin⁴⁵	
3347	涓	kin1	kin⁴⁵	
3348	鵑	kin1	kin⁴⁵	
3349	繭	kin2	kin³²³	
3350	見	kin3	kin³³	看見
3351	訣	kʰit8	kʰit³	
3352	桔	kɐt7	kɐt⁴⁵	桔梗
3353	結	kit8	kit³	
3354	鍥	kʰit8	kʰit³	
3355	抉	kʰit8	kʰit³	
3356	潔	kit8	kit³	
3357	譎			
3358	癲	tin1	tin⁴⁵	
3359	巔	tin1	tin⁴⁵	
3360	顛	tin1	tin⁴⁵	
3361	典	tin2	tin³²³	
3362	唸			
3363	闐	tʰin4	tʰin³¹	
3364	田	tʰin4	tʰin³¹	
3365	佃	tin4	tin³¹	佃作
3366	佃	tʰin6	tʰin⁵²	佃農
3367	奠	tin6	tin⁵²	
3368	電	tin6	tin⁵²	
3369	殿	tin6	tin⁵²	
3370	甸	tin6	tin⁵²	
3371	澱	tin6	tin⁵²	
3372	跌	tit8	tit³	
3373	迭	tit9	tit⁵²	
3374	前	ʦʰin4	ʦʰin³¹	
3375	荐	ʦin3	ʦin³³	
3376	截	ʦit9	ʦit⁵²	
3377	胼			
3378	辮	pin1	pin⁴⁵	
3379	癟	pit9	pit⁵²	
3380	駢			
3381	扁	piɛn2	piɛn³²³	扁平
3382	邊	pin1	pin⁴⁵	白读piɛn⁴⁵
3383	蝙	pʰin1	pʰin⁴⁵	
3384	編	pʰin1	pʰin⁴⁵	
3385	匾	piɛn2	piɛn³²³	
3386	遍	pʰin3	pʰin³³	
3387	援	jin4	jin³¹	又读wun³¹
3388	垣	fun4	fun³¹	
3389	園	jin4	jin³¹	
3390	轅	jin4	jin³¹	
3391	猿	jin4	jin³¹	
3392	袁	jin4	jin³¹	
3393	遠			遠小人
3394	遠	jin5	jin³¹²	遠方
3395	粵	jit9	jit⁵²	
3396	曰	jit8	jit³	
3397	越	jit9	jit⁵²	
3398	謁			
3399	蔫			
3400	噦			
3401	鴛	jin1	jin⁴⁵	
3402	冤	jin1	jin⁴⁵	
3403	怨	jin3	jin³³	
3404	宛	wun2	wun³²³	宛然
3405	宛			大宛
3406	蜿	jin1	jin⁴⁵	
3407	堰	jin2	jin³²³	
3408	苑	jin2	jin³²³	
3409	鼴	jin2	jin³²³	
3410	婉	wun2	wun³²³	
3411	源	ȵin4	ȵin³¹	
3412	元	jin4	jin³¹	
3413	阮	ȵin5	ȵin³¹²	
3414	原	ȵin4	ȵin³¹	
3415	言	ȵin4	ȵin³¹	
3416	願	ȵin6	ȵin⁵²	
3417	月	ȵit9	ȵit⁵²	
3418	螈			
3419	掀	hin1	hin⁴⁵	
3420	軒	hin1	hin⁴⁵	
3421	喧	hin1	hin⁴⁵	
3422	暄	hin1	hin⁴⁵	
3423	憲	hin3	hin³³	
3424	歇	hit8	hit³	
3425	蠍	kʰit8	kʰit³	
3426	楦			
3427	萱	ɬin1	ɬin⁴⁵	
3428	券	kʰin3	kʰin³³	
3429	勸	hin3	hin³³	
3430	闕	kʰit8	kʰit³	
3431	圈	kʰiɛn1	kʰiɛn⁴⁵	豬圈
3432	健	kin6	kin⁵²	
3433	竭	kʰit8	kʰit³	
3434	腱			
3435	憠			
3436	碣			
3437	反	fan2	fan³²³	
3438	翻	fan1	fan⁴⁵	
3439	蔓	man6	man⁵²	藤蔓
3440	挽	wan2	wan³²³	
3441	輓	wan2	wan³²³	
3442	晚	man5	man³¹²	
3443	萬	man6	man⁵²	
3444	襪	mat9	mat⁵²	
3445	建	kin3	kin³³	
3446	撅	kʰit8	kʰit³	
3447	蕨	kʰit8	kʰit³	
3448	厥	kʰit8	kʰit³	
3449	孓			
3450	藩	fan1	fan⁴⁵	
3451	樊	fan4	fan³¹	
3452	繁	fan4	fan³¹	
3453	蟠	pʰun4	pʰun³¹	
3454	番	fan1	fan⁴⁵	
3455	蕃			蕃盛
3456	煩	fan4	fan³¹	
3457	飯	fan6	fan⁵²	
3458	罰	fat9	fat⁵²	
3459	拔	pat9	pat⁵²	
3460	筏	fat9	fat⁵²	
3461	伐	fat9	fat⁵²	
3462	礬			
3463	阪			
3464	返	fan2	fan³²³	
3465	販	fan3	fan³³	
3466	髮	fat8	fat³	
3467	發	fat8	fat³	
3468	坂			
3469	區	ʔɐu1	ʔɐu⁴⁵	區姓
3470	歐	ʔɐu1	ʔɐu⁴⁵	
3471	嘔			嘔啞
3472	嘔	ʔɐu2	ʔɐu³²³	嘔吐
3473	謳	ʔɐu1	ʔɐu⁴⁵	
3474	鷗	ʔɐu1	ʔɐu⁴⁵	
3475	瞘			
3476	甌	ʔɐu1	ʔɐu⁴⁵	
3477	毆	ʔɐu1	ʔɐu⁴⁵	
3478	漚	ʔɐu3	ʔɐu³³	
3479	慪			
3480	藕	ŋɐu5	ŋɐu³¹²	
3481	偶	ŋɐu5	ŋɐu³¹²	
3482	藪	ɬɐu2	ɬɐu³²³	
3483	擻	ɬɐu2	ɬɐu³²³	抖擻
3484	叟	ɬɐu2	ɬɐu³²³	
3485	嗽	ɬou3	ɬou³³	
3486	吼	hɐu2	hɐu³²³	
3487	蔻	kʰɐu3	kʰɐu³³	
3488	喉	hɐu4	hɐu³¹	
3489	猴	hɐu4	hɐu³¹	
3490	侯	hɐu4	hɐu³¹	
3491	後	hɐu6	hɐu⁵²	
3492	厚	hɐu5	hɐu³¹²	
3493	后	hɐu6	hɐu⁵²	
3494	逅	hɐu6	hɐu⁵²	
3495	候	hɐu6	hɐu⁵²	
3496	夠	kɐu3	kɐu³³	
3497	口	hɐu2	hɐu³²³	
3498	叩	kʰɐu3	kʰɐu³³	
3499	扣	kʰɐu3	kʰɐu³³	
3500	寇	kʰɐu3	kʰɐu³³	
3501	偷	tʰɐu1	tʰɐu⁴⁵	
3502	透	tʰɐu3	tʰɐu³³	
3503	趣	ʦʰei3	ʦʰei³³	
3504	湊	ʦʰɐu3	ʦʰɐu³³	
3505	耨			
3506	某	mɐu5	mɐu³¹²	
3507	牡	mau5	mau³¹²	
