汉字	注释	隆回荷香桥	隆回六都寨	隆回七江	隆回司门前	隆回金石桥	隆回小沙江	隆回西洋江	隆回横板桥	隆回岩口	隆回罗洪	隆回高坪	洞口石江	洞口江口	洞口长塘	洞口山门	洞口高沙	洞口花园	绥宁金屋塘	绥宁梅坪	绥宁黄土矿	绥宁唐家坊	绥宁瓦屋塘
瞪		tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tə̃55	tə̃55	tə̃55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ33	tẽ33	tẽ33
蒸		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕə̃33	tɕə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
拯		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕə̃312	tɕə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
证		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45	tɕẽ45	tɕə̃55	tɕə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ45	tɕĩ24	tɕĩ35	tɕẽ24	tɕẽ24	tɕĩ35	tɕĩ55	tɕĩ35
称		tɕʰẽ33	tɕʰẽ33	tɕʰẽ33	tɕʰẽ33	tɕʰẽ33	tɕʰẽ33	tɕʰẽ55	tɕʰẽ55	tɕʰiə̃33	tɕʰə̃33	tɕʰiə̃33	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰĩ55	tɕʰĩ55	tɕʰẽ55	tɕʰẽ55	tɕʰĩ33	tɕʰĩ33	tɕʰĩ33
秤		tɕʰẽ45	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ45	tɕʰẽ45	tɕʰiə̃55	tɕʰə̃55	tɕʰiə̃55	tɕʰẽ24	tɕʰẽ24	tɕʰẽ24	tɕʰẽ45	tɕʰĩ24	tɕʰĩ35	tɕʰẽ24	tɕʰẽ24	tɕʰĩ35	tɕʰĩ55	tɕʰĩ35
绳		ɕẽ13	ɕẽ13	ɕyẽ13	ɕyẽ13	ɕyẽ13	ɕẽ13	ɕyẽ13	ɕyẽ13	ɕiə̃13	ɕə̃13	ɕyə̃13	ɕẽ13	ɕẽ13	ɕẽ13	ɕyẽ13	ɕyĩ13	ɕyĩ13	ɕẽ13	ɕẽ13	ɕĩ55	ɕĩ13	ɕĩ13
剩		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕiə̃55	ɕə̃55	ɕiə̃55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕɪ24	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ55	ɕĩ33
升		ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ55	ɕẽ55	ɕiə̃33	ɕə̃33	ɕiə̃33	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ55	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ33	ɕĩ33
胜		ɕẽ45	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕẽ45	ɕiə̃55	ɕə̃55	ɕiə̃55	ɕẽ24	ɕẽ24	ɕẽ24	ɕẽ45	ɕĩ24	ɕĩ35	ɕẽ24	ɕẽ24	ɕĩ35	ɕĩ55	ɕĩ35
承		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰiə̃13	tɕʰə̃13	tɕʰiə̃13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ13	tɕʰĩ13	tɕʰẽ13	tɕʰẽ13	tɕʰɪ55	tɕʰĩ13	tɕʰĩ13
仍		iẽ13	iẽ13	iẽ13	tɕʰẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	iẽ13	ĩ55	ĩ13	ĩ13
凝		n̩13	lẽ13	lẽ13/n̩13	lẽ13	i13	lẽ13	lĩ13	lĩ13	iə̃13	i13	iə̃13	n̩13	lẽ13	n̩13	i13	n̩13	n̩13	lẽ13	lẽ13	n̩13	n̩13	n̩13
兴		ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ55	ɕẽ55	ɕiə̃33	ɕə̃33	ɕiə̃33	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ55	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ33	ɕĩ33
兴		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕẽ45	ɕiə̃55	ɕə̃55	ɕiə̃55	ɕẽ24	ɕẽ24	ɕẽ24	ɕẽ45	ɕĩ35	ɕĩ35	ɕẽ24	ɕẽ24	ɕĩ35	ɕĩ55	ɕĩ35
鹰		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ33	ĩ33
应		iẽ45	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ45	iẽ45	iə̃55	iə̃55	iə̃55	ie24	ie24	ie24	iẽ45	ĩ24	ĩ35	ie24	ie24	ĩ35	ĩ55	ĩ35
蝇		ɕyẽ13	yẽ13	ɕyẽ13	ɕyẽ13	yẽ13	yẽ13	ɕyẽ13	ɕyẽ13	iə̃33	yə̃13	iə̃13	ɕyẽ13	ɕyẽ13	ɕyẽ13	ɕyẽ13	ɕyĩ13	ɕyĩ13	ɕyẽ13	ɕyẽ13	ĩ55	ĩ13	ĩ13
孕		yẽ13	yẽ13	iẽ13	iẽ13	iẽ13	yẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃55	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	iẽ13	ĩ33	ĩ13	ĩ13
弘		xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃13	xə̃55	xə̃13	xə̃13
烹		pʰẽ33	pʰẽ33	pʰẽ33	pʰẽ33	pʰẽ33	pʰẽ33	pʰẽ55	pʰẽ55	pʰə33	pʰə33	pʰə33	pʰẽ55	pʰẽ55	pʰẽ55	ɸẽ55	pʰẽ55	pʰẽ55	pʰẽ55	pʰẽ55	pʰẽ33	pʰẽ33	pʰẽ33
彭		pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰiĩ13	pʰə̃13	pʰiə̃13	pʰẽ13	pʰẽ13	pʰẽ13	ɸẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ55	pʰẽ13	pʰẽ13
虻		mẽ33	mẽ33	mɔ̃33	mɔ̃33	mɔ̃33	mɔ33	mẽ13	mẽ13	mɔ̃13	mə̃33	mɔ̃33	mẽ13	mẽ13	mẽ13	mɔ̃13	mɔ̃13	mɔ̃13	mẽ13	mẽ13	mɔ̃55	mɔ̃13	mɔ̃13
猛		mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312	mə̃312
孟		mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃45	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃55	mə̃33	mə̃55	mə̃33
打		tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312	tᴀ312
撑		tsʰɔ̃33	tsʰɔ̃33	tsʰɔ̃33	tsʰɔ̃33	tsʰɔ̃33	tsʰɔ̃33	tsʰẽ55	tsʰẽ55	tsʰiĩ33	tsʰə̃33	tsʰə̃33	tsʰɔ̃55	tsʰẽ55	tsʰɔ̃55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ33	tsʰõ33	tsʰẽ33
牚		tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰɔ̃55	tsʰɔ̃55	tsʰɔ̃55	tsʰẽ45	tsʰẽ45	tsʰiĩ55	tsʰə̃55	tsʰə̃55	tsʰɔ̃24	tsʰẽ24	tsʰɔ̃24	tsʰẽ45	tsʰe24	tsʰe35	tsʰẽ24	tsʰẽ24	tsʰe35	tsʰe55	tsʰe35
澄		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰə̃13	tɕʰə̃13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰe55	tɕʰẽ13	tɕʰẽ13
生		sẽ33/sɔ̃33	sẽ33/sɔ̃33	sẽ33/sɔ̃33	sẽ33/sɔ̃33	sẽ33/sɔ̃33	sẽ33/sɔ̃33	sẽ55/sɔ̃55	sẽ55/sɔ̃55	siĩ33/sɔ̃33	sə̃33/sɔ̃33	sə̃33/sɔ̃33	sẽ55/sɔ̃55	sẽ55/sɔ̃55	sẽ55/sɔ̃55	sẽ55/sɔ̃55	sẽ55/sɔ̃55	sẽ55/sɔ̃55	sẽ55/sõ55	sẽ55/sõ55	sẽ33/sõ33	sẽ33/sõ33	sẽ33/sõ33
省		sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	siĩ312/sɔ̃312	ɕiə̃312/sɔ̃312	ɕiẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sɔ̃312	sẽ312/sõ312	sẽ312/sõ312	sẽ312/sõ312	sẽ312/sõ312	sẽ312/sõ312
粳		kẽ33/kɔ̃33	kẽ33/kɔ̃33	kẽ33/kɔ̃33	kẽ33/kɔ̃33	kẽ33/kɔ̃33	kẽ33/kɔ33	kẽ55/kɔ̃55	kẽ55/kɔ̃55	kĩ	kə̃33/kɔ̃33	kẽ33/kɔ̃33	kẽ55/kɔ̃55	kẽ55/kɔ̃55	kẽ55/kɔ̃55	kẽ55/kɔ̃55	kẽ55/tɕiɛ55	tɕĩ55	kẽ55/tɕiɛ55	kẽ55/tɕiɛ55	tɕĩ33	tɕĩ33	tɕĩ33
埂		kʰuɔ̃45	kʰuɔ̃5	kʰuɔ̃55	kʰuɔ̃55	kʰuɔ̃55	kʰua55	kʰuã55	kʰuã55	kĩ45	xuɔ̃55	kʰɔ̃55	kʰuã5	kʰuã55	kʰuã55	kẽ312	tɕĩ55	kʰuɔ̃55	kʰuã55	kʰuã55	kʰẽ55	kʰẽ55	kʰẽ55
坑		kʰõ33	kʰõ33	kʰõ33	kʰõ33	kʰõ33	kʰo33	kʰõ55	kʰõ55	kʰõ33	xõ33	kʰõ33	kʰõ55	kʰõ55	kʰõ55	kʰõ55	kʰõ55	kʰõ55	kʰõ55	kʰõ55	kʰõ33	kʰõ33	kʰõ33
硬		ẽ55	ẽ55	ẽ55/õ55	ẽ55	ẽ55/õ55	ẽ55/o55	õ55	õ55	õ55	ə̃55/õ55	ẽ55/õ55	õ55	õ55	õ55	ŋõ55	õ55	õ55	õ55	õ55	n̩33/ŋõ33	n̩33/ŋõ55	n̩33/ŋõ33
亨		xə̃33	xə̃33	xə̃33	xə̃33	xə̃33	xə̃33	xẽ55	xẽ55	xə̃33	xə̃33	xẽ33	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ33	xẽ33	xẽ33
行		ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕiə̃13/xõ13	ɕiə̃13/xõ13	ɕiə̃13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ13/xõ13	ɕẽ55/xõ55	ɕẽ13/xõ13	ɕẽ13/xõ13
杏		xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	ɕẽ55	xẽ45	xẽ45	xĩ55	ɕiə̃55	tʰiẽ55	xẽ55	xẽ55	xẽ55	xẽ45	xẽ24	xẽ35	xẽ55	xẽ55	xĩ33	xĩ55	xĩ35
迸		pə̃55	pə̃55	pə̃55	pə̃55	pə̃55	pə̃55	pẽ45	pẽ45	pə̃55	pə̃55	piẽ55	pe24	pe24	pe24	pẽ45	pẽ24	pẽ35	pe24	pe24	pĩ35	pĩ55	pĩ35
棚		pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	ɸə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə̃13	pʰə55	pʰə̃13	pʰə̃13
蚌		pʰõ55	pʰõ55	pʰõ55	pʰõ55	pʰõ55	pʰo55	pʰõ45	pʰõ45	pʰõ55	pʰõ55	pʰõ55	pʰõ45	pʰõ45	pʰõ45	ɸõ55	pʰõ55	pʰõ55	pʰõ45	pʰõ45	pʰõ33	pʰõ33	pʰõ33
萌		mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mə̃13	mə̃13	mĩ13	mə̃13	mə̃13	mə̃13	mə̃13	mə̃13	mə̃13	mə̃13	mə̃13	mẽ13	mẽ13	mə̃55	mə̃13	mə̃13
争		tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ55/tsõ55	tsẽ55/tsõ55	tsõ33	tɕiə̃33/tsõ33	tsõ33	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ55/tsõ55	tsẽ33/tsõ33	tsẽ33/tsõ33	tsẽ33/tsõ33
耕		kẽ33	kẽ33	kẽ33	kẽ33	kẽ33	kẽ33	kẽ55	kẽ55	kĩ33	kə̃33	kẽ33	kẽ55	kẽ55	kẽ55	kẽ55	tɕĩ55	kẽ55	kẽ55	kẽ55	kẽ33	kẽ33	kẽ33
耿		kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kĩ312	kə̃312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312	kẽ312
茎		tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕiə̃13	tɕə̃13	kɔ̃13	tɕẽ13	tɕẽ13	tɕẽ13	tɕẽ13	tɕɪ55	tɕɪ55	tɕẽ13	tɕẽ13	tɕɪ33	tɕɪ33	tɕɪ33
幸		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕẽ45	ɕiə̃55	ɕə̃55	ɕiə̃55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕĩ35	ɕĩ35	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ55	ɕĩ35
樱		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ33	ĩ33
兵		pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ55	pẽ55	piə̃33	piə̃33	piə̃33	pẽ55	pẽ55	pẽ55	pẽ55	pĩ55	pĩ55	pẽ55	pẽ55	pĩ33	pĩ33	pĩ33
丙		pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	piə̃312	piə̃312	piə̃312	pẽ312	pẽ312	pẽ312	pẽ312	pĩ312	pĩ312	pẽ312	pẽ312	pĩ312	pĩ312	pĩ312
柄		pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	piə̃312	piə̃312	piə̃312	pẽ312	pẽ312	pẽ312	pẽ312	pĩ312	pĩ312	pẽ312	pẽ312	pĩ312	pĩ312	pĩ312
平		pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰiə̃13/pʰiɔ̃13	pʰiə̃13/pʰiɔ̃13	pʰiə̃13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	ɸẽ13/ɸiɔ̃13	pʰĩ13/pʰiɔ̃13	pʰĩ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰẽ13/pʰiɔ̃13	pʰĩ55/pʰiɔ̃55	pʰĩ13/pʰiɔ̃13	pʰĩ13/pʰiɔ̃13
病		pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰiə̃55/pʰiɔ̃55	pʰiə̃55/pʰiɔ̃55	pʰiə̃55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	ɸẽ55/ɸiɔ̃55	pʰĩ24/pʰiɔ̃24	pʰĩ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰẽ55/pʰiɔ̃55	pʰĩ33/pʰiɔ̃33	pʰĩ55/pʰiɔ̃55	pʰĩ33/pʰiɔ̃33
明		mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	miə̃13/miɔ̃13	miə̃13/liɔ̃13	miə̃13/miɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mĩ13/liɔ̃13	mĩ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mĩ55/liɔ55	mɔ̃13	mĩ13/liɔ̃13
命		mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	miə̃55/miɔ̃55	miə̃55/miɔ̃55	miə̃55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mĩ24/miɔ̃55	mĩ55/miɔ̃55	mẽ55/miɔ̃55	mẽ55/miɔ̃55	mĩ33/miɔ̃33	mĩ33/miɔ̃33	mĩ33/miɔ̃33
惊		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
警		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
镜		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45	tɕẽ45	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ45	tɕĩ24	tɕĩ35	tɕe24	tɕe24	tɕĩ35	tɕĩ55	tɕĩ35
庆		tɕʰẽ45	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ45	tɕʰẽ45	tɕʰiə55	tɕʰiə55	tɕʰiə55	tɕʰẽ24	tɕʰẽ24	tɕʰẽ24	tɕʰẽ45	tɕʰĩ24	tɕʰĩ35	tɕʰe24	tɕʰe24	tɕʰĩ35	tɕʰĩ55	tɕʰĩ35
擎		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰiə13	tɕʰiə13	tɕʰiə13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ13	tɕʰĩ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ55	tɕʰĩ13	tɕʰĩ13
竞		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ55	tɕĩ33
英		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ33	ĩ33
影		ie312/iɔ̃312	iẽ312	iẽ312/ɔ̃312	iẽ312/ɔ̃312	iẽ312/ɔ̃312	iẽ312/iɔ312	iẽ312/ɔ̃312	iẽ312/ɔ̃312	iə̃312/iɔ̃312	iə̃312/iɔ̃312	iə̃312/iɔ̃312	iẽ312/ɔ̃312	iẽ312	iẽ312/ɔ̃24	iẽ312/ɔ̃312	ĩ312	ĩ312/ɔ̃312	iẽ312	iẽ312	ĩ312	ĩ312	ĩ312
映		iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iə̃55	iə̃55	iə̃55	iẽ24	iɔ̃24	iɔ̃24	iẽ55	ĩ55	ĩ55	iɔ24	iɔ24	ĩ35	ĩ55	ĩ33
饼		pẽ312/piɔ̃312	pẽ312	pẽ312/piɔ̃45	pẽ312/piɔ̃312	pẽ312/piɔ̃312	pẽ312/piɔ312	pẽ312/piɔ̃312	pẽ312/piɔ45	piə̃45/piɔ̃45	piə̃312/piɔ̃312	piə̃312/piɔ̃312	pẽ312/piɔ̃312	pẽ312/piɔ̃312	pẽ312/piɔ̃312	pẽ312	pĩ312/piɔ̃312	pĩ312/piɔ̃312	pẽ312/piɔ̃312	pẽ312/piɔ̃312	pĩ312/piɔ̃312	pĩ312/piɔ̃312	pĩ312/piɔ̃312
并		pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ45	pẽ45	piə̃55	piə̃55	piə̃55	pẽ24	pẽ24	pẽ24	pẽ45	pĩ24	pĩ5	pẽ24	pẽ24	pĩ35	pĩ55	pĩ35
聘		pʰẽ45	pʰẽ45	pʰẽ45	pʰẽ45	pʰẽ45	pʰe55	pʰẽ45	pʰẽ45	pʰiə̃55	pʰiə̃55	pʰiə̃55	pʰẽ24	pʰẽ24	pʰẽ24	ɸẽ45	pʰĩ24	pʰĩ35	pʰẽ24	pʰẽ24	pʰĩ35	pʰĩ55	pʰĩ35
名		mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ̃13	mẽ13/liɔ13	mẽ13/miɔ̃13	mẽ13/miɔ̃13	miə̃13/liɔ̃13	miə̃13/liɔ̃13	miə̃13/liɔ̃13	mẽ13/miɔ̃13	mẽ13	mẽ13/miɔ̃13	mẽ13	mĩ13	mĩ13	mẽ13	mẽ13	mĩ55/miɔ̃55	mĩ13/miɔ̃13	mĩ13/miɔ̃13
岭		lẽ312/liɔ̃312	lẽ312/liɔ̃312	lẽ312/liɔ̃312	lẽ312/liɔ̃312	lẽ312/liɔ̃312	lẽ312/liɔ312	lẽ312/liɔ̃312	lẽ312/liɔ̃312	liə̃312/liɔ̃312	liə̃312/liɔ̃312	liə̃312/liɔ̃312	lẽ312	lẽ312	lẽ312	lẽ312	lĩ312/liɔ312	lĩ312/liɔ312	lẽ312	lẽ312	lĩ312/liɔ312	lĩ312/liɔ312	lĩ312/liɔ312
令		lẽ45	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ45	lẽ45	liə̃55	liə̃55	liə̃55	lẽ55	lẽ24	lẽ55	lẽ45	lĩ24	lĩ35	lẽ24	lẽ24	lĩ35	lĩ55	lĩ35
精		tsẽ33/tsiɔ̃33	tsẽ33/tsiɔ̃33	tsẽ33/tsiɔ̃33	tsẽ33/tsiɔ̃33	tsẽ33/tsiɔ̃33	tɕẽ33/tɕiɔ33	tsẽ55/tsiɔ̃55	tsẽ55/tsiɔ̃55	tɕiə̃33/tɕiɔ̃33	tɕiə̃33/tɕiɔ̃33	tɕiə̃33/tɕiɔ̃33	tsẽ55/tɕɔ̃55	tsẽ55/tɕiɔ̃55	tsẽ55/tɕiɔ̃55	tsẽ55/tsiɔ̃55	tɕĩ55/tɕiɔ̃55	tsĩ55/tsiɔ̃55	tsẽ55/tsiɔ̃55	tsẽ55/tsiɔ̃55	tɕĩ33/tɕiɔ̃33	tsĩ33/tsiɔ̃33	tsĩ33/tsiɔ̃33
