#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8a上阳入21 8b下阳入24				
n	[1]□{□ha1~:蜻蜓}泥{捼~:搓去身上的泥垢。牙齿~:牙垢}□{□kit8b~:(对物)爱惜}[4]汝尔你拟[5]腻[6]谊						
l	[1]璃[4]李里裏理鲤[5]吏[6]离篱梨蜊利痢厘狸						
ts	[1]支枝肢栀资{资本}姿咨脂兹滋慈磁鹚之芝[3]紫纸只姊旨指梓止趾址[4]似是{唔~:不是}[5]智致至置志誌痣[6]池驰踟匙瓷糍迟雉牸辞词祠痔治□{~日:昨天}字{文~}						
tsʰ	[1]疵稚痴嗤[3]侈耻齿始[5]砌刺翅次矢厕						
s	[1]施师狮蛳尸诗□{□tiu5~: 一种竹子,肉薄脆,竹节细}[3]豕屎[4]氏士仕柿{西红~}俟市[5]示视嗜试[6]是{~非}豉持事时鲥莳恃侍						
ɬ	[1]斯厮撕[3]死[5]四肆[6]伺						
k	[1]奇{~数}饥{~饿}肌几{茶~，~乎}基机讥饑{~荒}[3]企己纪杞几{~个}[4]徛{站立}[5]寄记既[6]奇{~怪}骑岐歧技妓祁鳍其棋期旗麒忌祈□{□kʰɐu6~;凑合}						
kʰ	[5]冀						
h	[1]牺欺嬉熙岂希稀[3]起喜□{屋~:家里}[5]戏器弃气汽						
Ø	[1]倚依[4]议耳{(梁村读ni4)}饵矣已以[5]意[6]儿{(梁村读ni6)}宜{(梁村读ni6)}仪义移易二贰夷姨而疑异						
ʔ	[1]衣医[3]椅						
#iu							
p	[1]膘标錶{手表}彪[3]表{~哥}						
pʰ	[1]飘漂{~亮，~白}鳔[5]票						
m	[1]藐[3]渺秒妙杳						
t	[1]朝刁貂雕丢[3]屌{交合}[5]钓□{发~:癫痫}吊□{~□si1:一种竹子}[6]条						
tʰ	[1]挑调{~皮:顽皮}[5]跳粜						
n	[4]鸟{~类}[3]挠						
l	[4]辽撩了{~结}瞭						
ts	[1]焦蕉椒樵瞧召{~集}昭招[4]赵兆[5]醮照[6]朝潮召{号~}诏						
tsʰ	[1]锹缲悄超□{打□het7b~:打喷嚏}[5]俏						
s	[1]梢捎烧邵[3]少{多~}[5]少{~年}[6]肇						
ɬ	[1]消宵霄硝销逍萧箫[3]小[5]笑鞘						
k	[1]骄娇矫蹻[3]邀缴□{鱼~:捞鱼的工具}[5]叫[6]乔侨桥荞轿						
kʰ	[5]翘窍						
h	[1]枵嚣侥[3]晓						
Ø	[1]幺吆[3]扰绕挠妖浇[4]饶桡舀[6]摇谣窑姚遥耀鹞尧						
ʔ	[1]腰要{~求}[5]要{重~}						
#in							
p	[1]鞭边蝙[5]变						
pʰ	[1]编篇偏[5]骗编遍片						
m	[4]免勉娩缅[6]绵棉眠麵{~条}						
t	[1]颠癲[3]点典腆[5]店[6]甜田填						
tʰ	[1]添舔天						
n	[1]黏□{乳房,乳汁}[5]艳焰鲇拈{拿,提}[6]年						
l	[3]脸[4]敛殓[6]廉镰簾连鲢莲檐{□tʰap7b~蛇:壁虎}						
ts	[1]尖沾粘瞻占毡{毯子}[3]剪践展[4]鳝{黄~}[5]潜估煎箭佔颤荐[6]钱饯缠前						
tsʰ	[1]歼籤签纤迁笺千[3]浅						
s	[3]陕闪癣[4]善鳝{单字}[5]膻搧扇						
ɬ	[1]仙鲜羡先鏾{~鸡:阉过的公鸡}[3]癣[5]线						
k	[1]兼搛掮肩坚[3]检俭[4]件[5]剑见[6]钳乾虔						
h	[1]谦轩掀牵[3]险遣显[5]欠宪献						
ŋ	[6]舷						
Ø	[3]淹掩魇[4]染冉						
ʔ	[1]烟胭[3]阉演□{结~:结痂}[4]延筵衍[5]燕毽厌验[6]盐檐						
#ø							
t	[3]朵躲[5]剁						
tʰ	[3]妥						
s	[6]□{阿~:警察，借自英语“Sir”(先生)，由香港传入广东}						
h	[1]靴						
#øy							
t	[6]苔队						
l	[6]来雷						
ts	[6]栽才材财裁随						
tsʰ	[5]脆翠						
s	[3]髓水						
#iøy							
Ø	[5]锐						
#øn							
t	[6]锻段缎						
tʰ	[5]趟{老一~:长辈}						
n	[6]嫩						
l	[6]联乱□{□lɐm6~:蜗牛}						
ts	[6]传{~播，~记}旋{风~:旋风。头发~}						
tsʰ	[3]铲						
ɬ	[6]旋{~转}						
k	[6]权倦						
ŋ	[5]□{笔~:铅笔刀(指旋着削的那种)}						
Ø	[6]原源愿						
ʔ	[6]悬县眩						
#øŋ							
t	[1]张{一~台}[4]丈[5]胀[6]长{~短}						
l	[3]两{斤~}辆[4]两{~间房}俩[6]良凉量{测~，重~}粮梁梁亮谅						
ts	[1]将{~军(下象棋用语)}张章[3]蒋奖桨象像橡长{生~}掌[4]匠上{~山,上高顶(上面)}[5]将{~来，大~}浆酱涨帐账涨仗杖樟障瘴[6]墙详祥翔场常尝裳偿						
tsʰ	[1]枪[3]抢昌菖窗[5]畅唱倡						
s	[1]商伤[3]赏[6]尚上{~级，~面}						
ɬ	[1]箱厢湘镶[3]想[5]相						
k	[1]疆僵薑礓缰姜羌[3]□{树~:树根}[6]强{坚~}						
h	[1]香乡[3]晌饷享响[5]向						
#iøŋ							
Ø	[1]央秧殃鸯[4]壤攘嚷养痒[6]瓤穰让样酿						
#ɔ							
p	[1]波菠坡玻[6]婆						
pʰ	[3]颇[5]破						
m	[1]魔摩馍[3]摸[6]磨磨蟆						
t	[1]多[6]驼舵紽椭□{句末语气词。住个□mɔi5~:在这里呢}堕垜惰						
tʰ	[1]拖驮{拿，驮起来}驮{驮子}						
n	[1]捼{搓，揉。~泥:搓去身上的泥垢}[6]糯懦						
l	[1]囉{~嗦}[3]□{拿,俗写“攞”}[5]啰{语气词。唔有吹风~:风停了}[6]罗锣箩骡螺脶萝{~卜,藤~}						
ts	[3]阻[4]挫锉坐座[5]左佐[6]做{~糍:做糍粑}锄助						
tsʰ	[1]搓初雏[3]楚础[5]措						
s	[1]梳疏蔬[6]傻						
ɬ	[1]梭唆[3]蓑锁琐所嫂						
k	[1]歌哥[5]个						
h	[1]坷苛[3]可[6]荷河何荷贺						
ŋ	[4]我[5]卧□{□ŋɐm6~:说梦话}[6]蛾鹅俄饿讹						
ʔ	[1]阿{~胶}屙{~屎}						
#uɔ							
f	[3]火夥伙[5]货						
k	[3]果裹餜[5]过						
kʰ	[1]戈蝌[3]颗[5]科棵课						
Ø	[1]倭踒窝涡莴蜗龌[4]祸[5]涴{脏}[6]和禾□{~狸:狐狸}□{~底:外面}						
#ɔi							
p	[3]簸{~箕，~一~}[6]吠痱						
m	[5]□{一处地方。个~:这里}[6]妹昧						
t	[1]堆[4]待[5]对碓兑[6]台臺怠殆代袋逮□{吾~两人:我们两个}						
tʰ	[1]胎推[3]腿[5]退[6]颓						
n	[6]耐奈内						
l	[1]□{铜~:铜钱}[4]屡儡累{劳~，连~，积~}垒[6]擂累儽类泪						
ts	[1]灾追锥[3]宰嘴[4]罪[5]再载{千~，~重，满~}最赘醉[6]在槌锤坠						
tsʰ	[1]催崔吹炊[3]彩采睬[5]菜蔡淬						
s	[1]衰水{雾~}[5]税粹帅[6]垂睡瑞遂隧谁						
ɬ	[1]腮鳃虽[5]赛碎岁粹						
k	[3]该改[5]盖[6]□{累，疲劳，俗写“癐”}						
kʰ	[5]概溉丐慨						
h	[1]开[3]凯海[6]害辖						
ŋ	[6]呆磑碍外						
ʔ	[3]蔼[4]孩亥骇[5]爱						
#iɔi							
Ø	[4]乳蕊[6]穗						
#ɔn							
p	[1]般搬[3]本胖[4]伴拌[5]半绊[6]叛						
pʰ	[1]潘[5]判						
m	[1]瞒[4]满[5]漫幔[6]闷						
s	[1]拴						
k	[1]干{~涉,~湿}肝竿[3]杆秆擀桿赶[5]干{~部}						
h	[3]刊侃罕[5]看{~见，~守}汉[6]鼾韩						
ʔ	[1]安鞍[3]焊[4]岸旱[5]按案[6]汗换						
#ɔŋ							
p	[1]帮邦[3]榜绑[6]谤滂旁螃膀傍庞蚌						
pʰ	[3]耪{名词:锄头。动词:锄地}						
m	[1]□{舌苔}[3]妄[4]忙芒茫莽蟒网辋忘[5]□{个~:这里。□lu5~:哪里}□{霜降禾开~:霜降稻子成熟(开始割稻子了)}[6]亡望						
t	[1]当{~时}铛{铃~}[3]党挡档[4]荡[5]当{典~}[6]堂棠螳唐糖塘宕						
tʰ	[1]汤劏{~猪:杀猪}[3]倘躺[5]□{~衫: 熨衣服}烫趟{单字}						
n	[1]□{男阴}[6]裆囊						
l	[4]朗浪□{~口:漱口}[5]□{楼上，阁楼}[6]郎廊狼螂榔埌{~田:很深的水田}						
ts	[1]赃脏{肮~}庄装妆桩[5]葬壮[6]藏{~好，西~}脏{内~}肠床状撞						
tsʰ	[1]仓苍舱疮[3]闯厂敞[5]创						
s	[1]霜孀双[3]爽						
ɬ	[1]桑丧{~事}[5]磉嗓搡丧{~失}						
k	[1]冈岗刚纲缸江豇肛[3]讲港[5]钢{不锈~}杠降{下~}						
kʰ	[1]康慷扛匡筐眶框[5]抗炕						
h	[1]糠腔[5]炕{~火:烤火}[6]行{银~，行~字}航杭降{投~}						
ŋ	[1]□{~蚁腰:水蛇腰}[4]昂仰						
ʔ	[3]□{手掌~:手心。鸡~:鸡嗉子}[4]项[6]巷□{鸡~:未下蛋的母鸡}						
#uɔŋ							
