序号	汉字	注释	兴安堡里	全州磨头	全州竹塘	全州蛟潭	灌阳椅山	灌阳宅塘	资源瓜里	资源大坨	
880	整		tʃuo53/tʃiŋ53	tsiau35/tsĩn53	kaŋ35/tɕiã35/tɕiŋ53	tɕiɑŋ325/tɕiŋ325	tʃən33	tsən55	tsən53	tsən53	
881	正	～反	tʃiŋ31	tsiau212/tsĩn53	tɕiã212/tɕiŋ212	tɕiɑŋ33/tɕiŋ33	tʃən13	tɕin53	tsa325	tsən35	
882	尺		tʃʰuo51	tsʰia53	tɕʰia53	tɕʰia53	tʃʰiᴇ35	tɕʰie55	tsʰa55	tsʰa55	
883	声		ʃuo35	siau55	ɕiã55	ɕiɑŋ55/ɕiŋ55	ʃən53	ɕin35	sa55	sɤe55/səŋ55/sən55	
884	城		tʃiŋ13	ʑĩn325	dʑĩ325	dʑiŋ212	tʃʰən22	zən212	zən24	zən24	
885	石		ʃuo11	ʑia35	ʑia34	ʑia35	ʃiᴇ41	ʑie33	za214	za214	
886	轻		tʃʰuo35	tsʰiau55	kʰiã55	tɕʰiɑŋ55	cʰin53	tɕʰin35	tɕʰia55	tɕʰie55	
887	益		ie51				i35	i212			
888	赢		ŋio13	iau325	iã325	iɑŋ212	ŋən22	hin212	ȵin214	ie24	
889	壁		pio51	pia53	pia53	pia53	piᴇ35	ɓie55		pia55/pi24	
890	劈		pʰio51		pʰi53	pʰi55	pʰi53	pʰi55/pʰi33	pʰia55	pʰia55	
891	瓶		piŋ13	bĩn325	biã325	biɑŋ212	pʰin22	bin212	bin24	bin24	
892	钉	名词	tio35	tiau55	tiã55	tiɑŋ55	tin53	ɗin35	tia55	tɤe55/tin55	
893	顶		tiŋ53	tĩn35	tiã334	tiɑŋ325/tiŋ325	tən33	ɗin33	tin24	təŋ24	
894	听	～见	tʰio31	tʰiau212	tʰiã212	tʰɑŋ55	tʰin13	tʰin53	tʰia214	tʰa35	
895	厅		tʰiŋ35	tʰĩn55	tʰĩ55		tʰin22	tʰin33	tʰia55/tʰin55	tʰiɤu55/tʰin55	
896	踢		tʰio51	tʰia53	tʰia53	pʰia53	tʰiᴇ35	tʰie55	tʰia55	tʰia55	
897	停		tiŋ13	dĩn325	diŋ325	diŋ55	tʰən41	din212		din24	
898	挺		tʰiŋ53				tʰin22				
899	定		tio11	diau212/dĩn212	diã212/diŋ212	diɑŋ33/diŋ325	tin13	din35	din214	din214	
900	笛		tio11	dia35	diã34	dia35	tʰi41	di33	di33tsɿ0	tʰi24	
901	零		lio13	liau325	ȵiã325	ȵiɑŋ212	ɲin22	ȵin212	ȵin214	die24/din24	
902	历	农～	lio11	li212	li34	lia35	li22	li212	ti214/li214	li214	
903	青		tsʰio35	tsʰiau55	tɕʰiã55	tsʰiɑŋ55/tsʰiŋ55	tsʰin53	tɕʰin35	tɕʰia55	tsʰɤe55	
904	星		sio35	siau55	ɕiã55	siɑŋ55	sin53	ɕin35	ɕia55	sɤe55/ɕin55	
905	锡		sio51	sia53	ɕia53	sia53	siᴇ35		ɕia55	ɕia55	
906	经		tʃuo35/tʃiŋ35	tsĩn55	kiŋ55/tɕiŋ55	tɕiŋ55	kən53	tɕin33	tɕin55	tɕin55	
907	击		tʃi11	tsɿ55	ki53	tɕi53		tɕi33/tɕi212			
908	吃		ie11	iɤu35	iɤu34	i35	i41	iei33	iɤu24	iɤu24	
909	形		ʃiŋ13	hĩn325			hən22	hin212		in24	
910	横	～竖	ye13	au325	uã325	uẽi212	ua22	uã212	ua214	uai214	
911	划	计～	fɑ31	hua212	ua212	ua325	hua41	hua33		ua214	
912	兄		ʃuo35/ʃuŋ35		hye55	ɕiuŋ55		hiuŋ33	ɕia55	fuai55	
913	荣		iuŋ13	iuŋ325	iŋ34	iuŋ212	iuŋ41	iuŋ212	ȵiuŋ24	iuŋ24	
914	永		yən53			ʔyɛ̃214	iuŋ33		iuŋ53	iuŋ53/yən53	
915	营			iuŋ325	iŋ34	iuŋ212	in41	iuŋ212	ȵiuŋ24	iuŋ24/yən24	
916	蓬		huŋ13		buŋ325	bɑŋ212	pʰuŋ22				
917	木		mɑu11	mu35	mũ34	mũ35	mᴇ41	mu33	mu214	mu214	
918	东		taŋ35	taŋ55	taŋ55	tɑŋ53/tuŋ55	taŋ53	ɗaŋ35	taŋ55/tuŋ55	taŋ55/tuŋ55	
919	懂		tuŋ53	tuŋ53	tuŋ53	tuŋ325	tuŋ33	ɗuŋ55	tuŋ53	tuŋ53	
920	冻		taŋ31	taŋ212/tuŋ53	taŋ212	tɑŋ33	taŋ13	ɗaŋ53		taŋ35/tuŋ35	
921	通		tʰuŋ35	tʰuŋ55	tʰuŋ55	tʰuŋ55	tʰuŋ53	tʰuŋ35	tʰuŋ55	tʰuŋ55	
922	桶		tʰaŋ53	tʰaŋ35	tʰaŋ334	tʰɑŋ325	tʰaŋ33	tʰaŋ33	tʰaŋ24	tʰaŋ24	
923	痛		tʰaŋ31	tʰaŋ212	tʰaŋ212	tʰɑŋ33	tʰaŋ13	tʰaŋ53	tʰaŋ325	tʰaŋ35	
924	铜		taŋ13	daŋ325	daŋ325	dɑŋ212	tʰaŋ22	daŋ212	daŋ214	duŋ214	
925	动		taŋ41	daŋ212	daŋ34	dɑŋ214	tʰaŋ33	daŋ55	daŋ53	daŋ24	
926	洞		taŋ11	duŋ212	duŋ212	duŋ214	tʰaŋ41	daŋ33	daŋ24	duŋ214	
927	读			du212	du212	dɤ33	tʰᴇ41	diau33	du214	du214	
928	聋		laŋ13	nuŋ55	naŋ325	nɑŋ212	laŋ22	ȵiaŋ212	naŋ214	naŋ214	
929	弄		laŋ11		naŋ212	nɑŋ22	luŋ13/laŋ13	naŋ33		naŋ214	
930	鹿		lu11				lu41		lu214	lu214	
931	粽		tsaŋ31	tsaŋ212	tsaŋ212	tsɑŋ33	tsaŋ13		tsuŋ325	tsuŋ35	
932	葱		tsʰaŋ35	tsʰaŋ55	tsʰaŋ55	tsʰuŋ55	tsʰaŋ53	tsʰaŋ35	tsʰaŋ55	tsʰaŋ55	
933	族		tsʰu51	zu35	zu34	zu35	tsʰu41	zɤu212	zu214	zu214	
934	送		saŋ31	saŋ212	saŋ212/suŋ212	sɑŋ33	saŋ13	saŋ53	saŋ325	saŋ35	
935	公		kaŋ35/kuŋ35	kuŋ55	kuŋ55	kuŋ55	kaŋ53/kuŋ53	kuŋ35	kuŋ55	kəŋ55/kuŋ55	
936	谷	稻～	kɑu51	ku53	ku53	ku53	kiᴇ35	ku55	ku55	ku55	
937	孔		kʰuŋ53				kʰuŋ33	kʰuŋ55			
938	哭		hɑu51			ʔie53	hiᴇ35	hu55	hu0	fu55	
939	烘		huŋ35	hau212	huɔŋ325	huŋ55	huən53	huõŋ53			
940	红		haŋ13		oŋ325		haŋ22	huŋ212	ŋ214	oŋ24	
941	翁		uŋ13			ʔuŋ55	oŋ22	õŋ33	ŋ214		
942	屋		ɑu51	ʔu53	u53	u53	ᴇ35	u55	u55	u55	
943	冬		taŋ35	taŋ55	taŋ55	tɑŋ55/tuŋ55	taŋ53	ɗaŋ35/ɗuŋ33	taŋ55	tuŋ55	
944	统		tʰuŋ53	tʰuŋ53	tʰuŋ53	tʰuŋ325	tʰuŋ33	tʰuŋ55	tʰuŋ53	tʰuŋ53	
945	毒		tuo11	du35	du34	dɤ35	tʰᴇ41	diau33	du214	du214	
946	脓		naŋ13					nuŋ212			
947	松	～紧	suŋ35	suŋ55	suŋ55	suŋ55	saŋ53	suŋ35	suŋ55	suŋ55	
948	宋		suŋ31			suŋ33	saŋ13	suŋ35		suŋ35	
949	风		huŋ35	huŋ55	huŋ55	fuŋ55	huaŋ53	huŋ35	faŋ55	huŋ55	
950	福		fɑu51	hu35	hu53	fu53	hu35	hu212	hu24	fu24	
951	丰		huŋ35	huŋ55	huŋ55	fuŋ55	huŋ22	huŋ33	huŋ55	huŋ55	
952	凤		huŋ35	huŋ212	oŋ325	võŋ33	huŋ13	huŋ35	huŋ214	oŋ214	
953	服		fu13	hu0	u0	vu35	hu22	hu33/hu212			
954	梦		maŋ11	maŋ212	maŋ212	mɑŋ33	maŋ41	maŋ33	maŋ214	maŋ24	
955	目		mu11	mu35	mũ34	mũ35	mu41	mu212	mu214	mu24	
956	六		liɤu11	lu35	liɤu34	liɯ35	liau41	lei33	lu214	lai214	
957	宿	～舍	su31	su0	su53	siɯ53	ʃu41	sɤu212			
958	中	当～	tsuŋ35	tsuŋ55	tsuŋ55	tsuŋ55	tiuŋ53	ɗiõŋ35/tsuŋ33			
959	竹		tiɤu51	tiɤu53	tiɤu53	tiɯ53	tiau35	ɗei55	tɛi55	tai55	
960	畜	～生	tsʰu51	tsʰu53	tsʰu53	tsʰɤ53	tʃʰu35	tsʰɤu212	tsʰu24	tsʰu24	
961	虫		tiŋ13	zuŋ325	dzuŋ325	diŋ212	tʰən22	din212	duŋ214	dəŋ214	
962	缩			su55	su53	sɑu53	sau35	sɤu212	su55	sɤu55	
963	终		tuŋ35	tsuŋ55	tsuŋ55	tsuŋ55	tʃuŋ53	tsuŋ33	tsuŋ55	tsuŋ55	
964	粥		tʃiɤu51	tsu53	tsu53	tsɤ53	tʃau35	tsei55	tu55	tsu55	
965	充		tsʰuŋ35	tsʰuŋ55	tsʰuŋ55	tsʰuŋ55	tʃʰuŋ53	tsʰuŋ35	tsʰuŋ55	tsʰuŋ55	
966	叔		ʃiɤu51		su53		ʃau35	sei55			
967	熟		ʃiɤu11	zu35	zu34	zɤ35	ʃau41	zei33	zɤu214	zɤu214	
968	肉		tʃuo31	ʔuo35	ʔuo34	ʔuo35	uo33	uo33		tsa35	
969	宫		kuŋ35	kuŋ55	kuŋ55	kuŋ55	kuŋ22	kuŋ33	kuŋ55	kuŋ55	
970	菊		tʃyi11	tsy35	ky53	tɕy53	cʰy35	y212	tɕy214	tɕy24	
971	穷		tʃuŋ13	ʑiuŋ325	ɡiŋ325	dʑiuŋ212		ʑiuŋ212	dʑiuŋ214	dʑiuŋ214	
972	熊		ʃuŋ13	siuŋ55	iŋ325	iuŋ212	çiuŋ22	hiuŋ212	ȵiuŋ214	iuŋ214	
973	雄		ʃuŋ13	iuŋ325	iuŋ55	iuŋ212	çiuŋ22	hiuŋ212	ɕiuŋ214	iuŋ214	
974	育			iɤu35		zu35	iɤu41	hiɤu33/hiɤu212	y55	iɤu35	
975	封		huŋ35	huŋ55	huŋ55	fuŋ55	huaŋ53	huŋ35	huŋ55	huŋ55	
976	蜂		pʰaŋ35	pʰaŋ55	pʰaŋ55	pʰɑŋ55	huaŋ53	pʰaŋ35	pʰaŋ55	pʰaŋ55	
977	缝	一条～	huŋ11			vuŋ33	huŋ13				
978	浓		naŋ13	nuŋ325	nuŋ325	ȵiŋ212	nən22	nuŋ212	nuŋ24		
979	龙		luŋ13	nuŋ325	nuŋ325	ȵiuŋ212	ɲiuŋ22	nuŋ212	nuŋ24	nuŋ214	
980	绿		liɤu11	lu35	liɤu34	liɯ35		liau33			
981	足		tʃiɤu51	tsu53	tsu53	tsu53	tsiɤu35	tsɤu212			
982	松	～树	tsiŋ13	zuŋ325	dzuŋ325	dzuŋ212	tsʰuŋ22	zuŋ212	zuŋ214	zuŋ214	
983	重	轻～	tiŋ41	zuŋ212	dzuŋ34	diŋ214	tʰən33	din55	duŋ53	dəŋ24	
984	肿		tʃaŋ53	tsuŋ35	tsuŋ334	tɕiŋ325	tʃən33	tɕin33	tuŋ24	tsəŋ24	
985	种	～树	tʃaŋ31	tsuŋ212	tsuŋ212	tɕiŋ33	tʃən13				
986	烛		tʃiɤu11	tsu53	tsu53		tsu35	tsei55	tu55	tsɤu0	
987	冲		tsʰuŋ35	tsʰuŋ55	tsʰuŋ55	tsʰuŋ55	tʃʰuŋ53	tsʰuŋ35	tʰuŋ55	tsʰəŋ55/tsʰuŋ55	
988	赎		ʃɑu51		dzu34	zɤ35	ʃau41	sɤu212	zɤu214	zɤu214	
989	属		su11		zu34	zu35	ʃu41	sɤu212	su0	su24	
990	褥										
991	恭		kuŋ35	kuŋ55	kuŋ55	kuŋ55	kuŋ53	kuŋ35			
992	曲	～折	tʃʰyi51/tʃʰye51					tɕʰy33			
993	共		kuŋ35	kuŋ212	ɡuŋ212	kuŋ214	kuŋ13	ɡuŋ35	ɡuŋ214	ɡuŋ214	
994	局		tʃyi11	ʑy35	dʑy34	dʑy35	cy41	ʑy212	dʑy24	dʑy24	
995	玉		yi11	ʔy35		y325	y13	y35	y214	y214	
996	凶	吉～	ʃuŋ35	siuŋ55	hiŋ55	ɕiuŋ55	çiuŋ22	hiuŋ35	ɕiuŋ55	ɕiuŋ55	
997	拥		jiuŋ41				iuŋ22	iuŋ55			
998	容		jiuŋ13	iuŋ325	iŋ325	iuŋ212	iuŋ22	iuŋ212		iuŋ214	
999	用				iuŋ212	iuŋ214		iuŋ35		suɛi24	
1000	浴		yi11								
