来源：	本地方言调查；山佳木 整理录入
ʂ	［5］顺
ʐ	［3］冗［2］戎绒茸［5］闰润
#yŋ	
l	［3］拢{～起去}伦［2］龙{～磺：硫磺}轮［5］论
tɕ	［1］军君莙均钧菌［3］迥窘拱-［5］俊郡粽㓋
tɕʰ	［2］穷琼裙群
ɕ	［1］凶兄胸勋熏薰［3］［2］匈雄熊巡旬荀循［5］训讯=迅=逊殉
Ø	［1］拥痈雍［3］永咏泳勇涌允［2］容蓉镕庸云匀荣=融［5］用孕运韵熨晕
#ɑ(ʔ)	
p	［3］八拔剥{～皮}
m	［3］抹{～下眉眼}
f	［3］发乏伐罚筏法
t	［3］搭达沓答鞑
tʰ	［3］塌溻塔獭拓遢沓榻踏荙{莙～}
n	［3］纳捺衲钠
l	［3］邋腊蜡辣剌拉
x	［3］瞎
ts	［3］杂扎札铡炸
tsʰ	［3］擦插察
s	［3］撒萨杀𢶍
v	［3］袜握
#iɑ(ʔ)	
tɕ	［3］夹甲钾胛
tɕʰ	［3］掐怡洽
ɕ	［3］匣峡狭辖
Ø	［3］押鸭鸦压
#u(ʔ)	
k	［3］刮
x	［3］滑猾
tʂʰ	［3］卓捉桌
tʂ	［3］戳
ʂ	［3］刷甩{～打}
#yɑ(ʔ)	
tɕ	［3］角{～子：同饺子}觉{不～：没有发觉}
#ɤ(ʔ)	
p	［3］拨钵饽驳勃脖卜铂茇博薄
pʰ	［3］泊泼饽{面～：擀面时撒的干面粉}
m	［3］摸膜抹末沫陌莫寞
f	［3］佛
tʰ	［3］特
l	［3］烙酪乐肋洛络落
k	［3］割搁阁革格葛鸽隔=各合
kʰ	［3］磕咳渴刻客壳
x	［3］喝合盒赫
tʂ	［3］螫折哲蛰摺辙褶浙着
tʂʰ	［3］彻撤掣{醋～子：打醋用的深勺子}澈焯{把豆芽～给下}
ʂ	［3］舌设涉摄折
ʐ	［3］热若弱
ts	［3］作则择泽责摘窄
tsʰ	［3］册侧测策拆厕䜺{碎～～：小碎粒}
s	［3］色涩啬瑟虱塞
