	富阳街道	柳家龙岩	古城秀山	莲山水寨	朝东水谷	城北马山	福利毛家	麦岭街道	朝东街道	朝东茶山	白沙黄板桥	石家街道	石家龙湾	葛坡老塘面寨	新华街道	江永桃川	富川保庆话	富川七都话	富川八都话	富川客家话	富川梧州话
鸟	ŋiɑo53	ŋiɔ53	ȵiɑɔ51	ŋiʌ53	ŋiɑo553	ȵiɑɔ453	niɔ53	niɑɔ45	ȵɑɔ55	niɑo51	ȵiɑɔ55	ȵiɔ55	ȵiɑo55	ȵiɑo53	ȵiɑo553		tiɘ14	ɗuei24	liɤɯ211	tiɑo24	niu24
钓	tiɑo35	ȶɔ35	tiɑɔ35	tiʌ35	tiɑo35	tɕiɑɔ24	tiɔ35	tiɑɔ13	ȶɑɔ24	tiɑo24	tiɑɔ24	tiɔ35	tʰiɑo24	tiɑo24	tiɑo224	tiɑɔ13	tiɘ45	ɗuei33	liɤɯ33	tiɑo51	liu503
条	tiɑo31	ȶɔ31	tiɑɔ21	tʰiʌ31	tiɑo31	tʰiɑɔ31	tʰiɔ31	tʰiɑɔ31	tʰiɑɔ31	tʰiɑo31	tʰiɑɔ21	tʰiɔ31	tʰiɑo31	tʰiɑo31	tʰiɑo22	tʰiɑɔ31	tiɘ213	ɗuei22	tʃiɤɯ42	tʰiɑo12	tiu231
料	liɑo35	liɔ35	liɑɔ35	liʌ35	liɑo35	liɑɔ24	liɔ35	liɑɔ13	liɑɔ24	niɑo24	liɑɔ24	liɔ35	liɑo24	liɑo24	ndiɑo224	liɑɔ13	ndiɘ14	liau35	liɤɯ45	liɑo51	liu203
箫	ɕiɑo44	ɕiɔ44	ɕiɑɔ44	ɕiʌ44	ɕiɑo44	ɕiɑɔ33	ɕiɔ44	ɕiɑɔ33	ɕiɑɔ44	ɕiɑo33	ɕiɑɔ33	ɕiɔ44	ɕiɑo33	ɕiɑo33	ɕiɑo44	ɕiɑɔ44	ʃiɘ33	ʃiau33	ʃiɤɯ52	siɑo24	siu51
叫	kiɑo35	kiɔ35	kiɑɔ35	kiʌ35	kiɑo35	tɕiɑɔ24	kiɔ35	ʨiɑɔ13	ʨiɑɔ24	ʨiɑo24	kiɑɔ24	kiɔ35	kiɑo24	tɕiɑo24	kiɑo224	ʨiɑɔ13	tʃiɘ45	kɪu52	ȶɤɯ33	kiɑo51	kiu503
母(丈母娘，舅母)	mu53	mu53	mu51	mu53	mu553	mu453	mu53	mu45	mu55	mu51	mu55	mu55	mu55	mu53	mu553	mu45	muo31	mu42	mɤɯ33	mu24	mu231
抖	tou53	tɵu53	təu51	tɘu53	tou553	tou453	tɘu53	to45	tou55	tɘu51	tɘu55	tou55	tɤu55	tɤu53	tɘɯ553	təu45	tiɘ31	təu42	lɔu211	tiu31	lɔ44
偷	tʰou44	tʰɵu44	tʰəu44	tʰɘu44	tʰou44	tʰou33	tʰɘu44	tʰo33	tʰou44	tʰɘu33	tʰɘu33	tʰou44	tʰɤu33	tʰɤu33	tʰɘɯ44	tʰəu44	tʰiɘ33	tʰəu52	tʰɔu52	tʰiu24	tʰɔ51
头	tou31	tɵu31	təu21	tɘu31	tou31	tʰou31	tʰɘu31/tɘu31	tʰo31	tʰou31	tʰɘu31	tʰɘu21	tou31	tʰɤu31	tʰɤu31	tʰɘɯ22	tʰəu31	tiɘ213	ɗəu22	tɔu42	tʰiu12	tɔ231
豆	tou35	tɵu35	təu35	tɘu35	tou35	tou24	tɘu35	to13	tou24	tɘu24	tɘu24	tou35	tɤu24	tɤu24	tɘɯ224	təu13	tiɘ14	ɗəu35	tɔu45	tʰiu51	tɔ203
楼	lou31	lɵu31	ləu21	lɘu31	lou31	lou31	lɘu31	lo31	lou31	lɘu31	lɘu21	lou31	lɤu31	lɤu31	lɘɯ22	ləu31	ndiɘ213	ləu22	lɔu31	liu12	lɔ231
走	tsou53	tsɵu53	tsəu51	tsɘu53	tsou553	tsou453	tsɘu53	tso45	tsou55	tsɘu51	tsɘu55	tsou55	tsɤu55	tsɤu53	tsɘɯ553	tsəu45	tʃiɘ31	tsəu24	tsɔu211	tʃiu31	tʃɔ44
凑	tsʰou35	tsʰɵu35	tsʰəu35	tsʰɘu35	tsʰou35	tsʰou24	tsʰɘu35	tsʰo13	tsʰou24	tsʰɘu24	tsʰɘu24	tsʰou35	tsʰɤu24	tsʰɤu24	tsʰɘɯ224	tsʰəu13	tʃʰiɘ14	tsʰəu33	tsʰɔu33	tʃʰiu51	tʃʰɔ503
钩	kou44	kɵu44	kəu44	kɘu44	kou44	kou33	kɘu44	ko33	kou44	kɘu33	kɘu33	kou44	kɤu33	kɤu33	kɘɯ44	kəu44	kəu33	kəu52	liɤɯ33	kiu24	kɔ51
狗	kou53	kɵu53	kəu51	kɘu53	kou553	kou453	kɘu53	ko45	kou55	kɘu51	kɘu55	kou55	kɤu55	kɤu53	kɘɯ553	kəu45	tʃiɘ31	kəu24	kɔu211	kiu31	kɔ44
够	kou35	kɵu35	kəu35	kɘu35	kou35	kou24	kɘu35	ko13	kou24	kɘu24	kɘu24	kou35	kɤu24	kɤu24	kɘɯ224	kəu13	kəu14	kəu33	kɔu33	kiu51	kɔ503
口	kʰou53	kʰɵu53	kʰəu51	kʰɘu53	kʰou553	kʰou453	kʰɘu53	kʰo45	kʰou55	kʰɘu51	kʰɘu55	kʰou55	kʰɤu55	kʰɤu53	kʰɘɯ553	kʰəu45	tʃʰiɘ31	həu24	hɔu211	kʰiu31	kʰɔ44
藕	ŋou53	ŋɵu53	ŋəu51	ŋɘu53	ŋou553	ŋou453	ɘu53	ŋo45	ŋou55	ŋɘu51	ŋɘu55	ŋou55	ŋɤu55	ŋɤu53	ŋɘɯ553	ŋəu45	əu31	ŋəu42	ɔu52	ŋiu24	ŋɔ44
后(前~)	xou35	xɵu35	xəu35	xɘu35	xou35	xou24	xɘu35	xo13	xou24	xɘu24	xɘu24	xou35	xɤu24	xɤu24	xɘɯ224	xəu13	xɘ14	həu42	hɔu33	hiu24	ɦɔ231
厚	xou35	xɵu35	xəu35	xɘu35	xou35	xou24	xɘu35	xo13	xou24	xɘu24	xɘu24	xou35	xɤu24	xɤu24	xɘɯ224	xəu13	xɘ31		tʃi211	hiu51	ɦɔ2
富	fu35	fu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	fu24	fu35	fu24	fu24	fu224	fu13	ɸu45	fu35	fu33	fu51	fu503
副	fu35	fu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	fu24	fu35	fu24	fu24	fu224	fu13	ɸu45	fu33	fu33	fu51	fu503
浮	xou31	xɵu31	xəu21	xɘu31	xou31	xou31	xɘu31	fo31	fou31	pʰɑo31/fu243	fɘu21	fou31	fu31	xɤu31	fɘɯ22	fəu31	ɸu213	pɤ22	poɔ42	fiu12	pu231
妇	fu35	fu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	fu24	fu35	fu24	fu24	fu224	fu13	ɸu14	fu35	fu33	fu51	fu503
流	liou31	liɵu31	liɐu21	liɘu31	liou31	liou31	liu31	lio31	liou31	niɘu31	liɘu21	liou31	liɤu31	liɤu31	ndiɘɯ22	liəu31	ndiɘu213	lɪu22	liɔu31	liu12	lɔ231
酒	tɕiou53	tɕiɵu53	tɕiəu51	tɕiɘu53	tɕiou553	tɕiou453	tɕiu53	tɕio45	tɕiou55	tɕiɘu51	tɕiɘu55	tɕiou55	tɕiɤu55	tɕiɤu53	tɕiɘɯ553	tɕiəu45	tʃiɘu31	tʃɪu24	tʃiɔu13	tʃiu31	tɔ44
修	ɕiou44	ɕiɵu44	ɕiəu44	ɕiɘu44	ɕiou44	ɕiou33	ɕiu44	ɕio33	ɕiou44	ɕiɘu33	ɕiɘu33	ɕiou44	ɕiɤu33	ɕiɤu33	ɕiɘɯ44	ɕiəu44	ʃiɘu33	ʃɪu52	ʃiɔu52	siu24	sɔ51
袖	ɕiou35	ɕiɵu35	ɕiəu35	ɕiɘu35	ɕiou35	ɕiou24	ɕiu35	ɕio13	ɕiou24	ɕiɘu24	ɕiɘu24	ɕiou35	ɕiɤu24	ɕiɤu24	ɕiɘɯ224	ɕiəu13	ʃiɘu45	tʃɪu35	ʃiɔu52	siu51	sɔ203
抽	tsʰou44	tsʰɵu44	tsʰəu44	tsʰɘu44	tsʰou44	tsʰou33	tsʰɘu44	tsʰo33	tsʰou44	tɕʰiɘu33	tsʰɘu33	tsʰou44	tsʰɤu33	tsʰɤu33	tsʰɘɯ44	tɕʰiəu44	tʃʰiɘu33	tʃʰəu52	ȶʰɔu52	tʃʰiu24	tʃʰɔ51
绸	tsou31	tsɵu31	tsəu21	tsɘu31	tsou31	tsʰou31	tsʰɘu31	tsʰo31	tsʰou31	tsʰɘu31	tsʰɘu21	tsou31	tsʰɤu31	tsʰɤu31	tsʰɘɯ22	tsʰəu31	ʃiɘ213	tʃɪu22	tʃiɔu42	tʃʰiu12	sɔ231
愁	tsou31	tsʰɵu31	tsəu21	tsʰɘu31	tsou31	tsʰou31	tsʰɘu31	tsʰo31	tsʰou31	tsʰɘu31	tsʰɘu21	tsʰou31	tsʰɤu31	tsʰɤu31	tsʰɘɯ22	tsʰəu31	ʃiɘ213	tsəu22	ʃiɔu42	siu12	sɔ231
瘦	sou35	sɵu35	səu35	sɘu35	sou35	sou24	sɘu35	so13	sou24	sɘu24	sɘu24	sou35	sɤu24	sɤu24	sɘɯ224	səu13	ʃiɘ45	sɿ24	hɑu52	siu51	sɔ503
州	tsou44	tsɵu44	tsəu44	tsɘu44	tsou44	tsou33	tsɘu44	tso33	tɕiou44	tɕʰiɘu33	tɕɘu33	tsou44	tsɤu33	tsɤu33	tsɘɯ44	tɕiəu44	tʃiɘu33	tʃʰəu52	ȶɔu52	tʃiu24	tʃɔ51
臭(香~)	tsʰou35	tsʰɵu35	tsʰəu35	tsʰɘu35	tsʰou35	tsʰou24	tsʰɘu35	tsʰo13	tɕʰiou24	tɕʰiɘu24	tsʰɘu24	tsʰou35	tsʰɤu24	tsʰɤu24	tsʰɘɯ224	tɕʰiəu13	tʃʰiɘu14	tʃʰəu33	ȶʰɔu33	tʃʰiu51	tʃʰɔ503
手	sou53	sɵu53	səu51	sɘu53	sou553	sou453	sɘu53	ɕio45	ɕiou55	ɕiɘu51	sɘu55	sou55	sɤu55	sɤu53	sɘɯ553	ɕəu45	ʃiɘu31	ʃɪu24	ʃiɔu211	ʃiu31	sɔ44
寿	sou35	sɵu35	səu35	sɘu35	sou35	sou24	sɘu35	ɕio13	sou24	ɕiɘu24	sɘu24	sou35	sɤu24	sɤu24	sɘɯ224	ɕiəu13	ʃiɘ45	səu35	ʃiɔu33	ʃiu51	sɔ203
九	kiou53	kiɵu53	kiəu51	kiɘu53	kiou553	ʨiou453	kiu53	ʨio45	ʨiou55	ʨiɘu51	kiɘu55	kiou55	kiɤu55	ʨiɤu53	kiɘɯ553	ʨiəu45	tʃiɘu31	kɪu24	ȶɔu22	kiu31	tʃɔ44
球	kiou31	kiɵu31	kiəu21	kiɘu31	kiou31	ʨʰiou31	kʰiu31	ʨʰio31	ʨʰiou31	ʨʰiɘu31	kʰiɘu21	kʰiou31	kʰiɤu31	ʨʰiɤu31	kʰiɘɯ22	ʨʰəu31	ʃiɘu213	kɪu22	ȶɔu42	kʰiu12	tʃɔ231
舅	kiou35	ʨiɵu35	kiəu35	kiɘu35	kiou35	ʨiou24	kiu35	ʨio13	ʨiou24	ɕiɘu24	kiɘu24	kiou35	kiɤu24	ʨiɤu24	kiɘɯ224	ʨəu13	ʃiɘu31	kɪu52	ȶɔu33	kʰiu24	tʃɔ231
旧	kiou35	kiɵu35	kiəu35	kiɘu35	kiou35	ʨiou24	kiu35	ʨio13	ʨiou24	tɕiɘu24	kiɘu24	ʨiou35	kiɤu24	ʨiɤu24	kiɘɯ224	ʨəu13	ʃiɘu14	kɪu35	tʃiɔu45	kʰiu51	kɔ203
牛	ŋiou31	niɵu31	ȵiəu21	ŋiɘu31	ŋiou31	ȵiou31	niu31	nio31	niou31	niɘu31	ȵiɘu21	ȵiou31	ȵiɤu31	ȵiɤu31	ȵiɘɯ22	niəu31	niɘu213	ŋəu22	ŋɔu42	ŋiu12	ŋɔ231
休	ɕiou44	ɕiɵu44	ɕiəu44	xiɘu44	xiou44	ɕiou33	ɕiu44	ɕio33	ɕiou44	ɕiɘu33	ɕiɘu33	ɕiou44	ɕiɤu33	ɕiɤu33	ɕiɘɯ44	ɕiəu44	ʃiɘu33	ʃɪu52	ʃiɔu52	siu24	ʃiɔ44
优	iou44	iɵu44	iəu44	iɘu44	iou44	iou33	iu44	io33	iou44	iɘu33	iɘu33	iou44	iɤu33	iɤu33	iɘɯ44	iəu44	iɘu33	iɪu33	iɔu33	iu12	iɔ44
有	iou53	iɵu53	iəu51	iɘu53	iou553	iou453	iu53	io45	iou55	iɘu51	iɘu55	iou55	iɤu55	iɤu53	iɘɯ553	iəu45	iɘu31	həu42	iɔu33	iu24	iɔ231
右	iou35	iɵu35	iəu35	iɘu35	iou35	iou24	iu35	io13	iou24	iɘu24	iɘu24	iou35	iɤu24	iɤu24	iɘɯ224	iəu13	iɘu45	iɪu35	iɔu45	iu51	iɔ203
油	iou31	iɵu31	iəu21	iɘu31	iou31	iou31	iu31	io31	iou31	iɘu31	iɘu21	iou31	iɤu31	iɤu31	iɘɯ22	iəu31	iɘu213	iɪu22	iɔu31	iu12	iɔ31
丢	tiou44	tiɵu44	tiəu44	tiɘu44	tiou44	tiou33	tiu44	tio33	ȶou44	tiɘu33	tiɘu33	iiou44	tiɤu33	tiɤu33	tiɘɯ44	ȶtəu44	tiɘu33	tɪu33	ȶɔu33	tiu24	liu203
幼	iou35	iɵu35	iəu35	iɘu35	iou35	iou24	iu35	io13	iou24	iɘu24	iɘu24	iou35	iɤu24	iɤu24	iɘɯ224	iəu13	iɘu45	tʰaŋ33	iɔu33	iu51	iɔ503
贪	tʰã44	tʰæ̃44	tʰæ̃44	tʰã44	tʰã44	tʰaŋ33	tʰã44	tʰã33	tʰã44	tʰã33	tʰã33	tʰɑ̃44	tʰã33	tʰan33	tʰaŋ44	tʰaŋ44	tʰæ̃33	ɗaŋ22	tʰaŋ52	tʰan24	tʰã51
潭	tã31	tæ̃31	tæ̃21	tã31	tã31	tʰaŋ31	tʰã31	tʰã31	tʰã31	tʰã31	tʰã21	tʰɑ̃31	tʰã31	tʰan31	tʰaŋ22	tʰaŋ31	tõ213		taŋ42	tʰan12	tã231
南	nã31	næ̃31	næ̃21	nã31	nã31	naŋ31	nã31	nã31	nã31	lã31	nã21	nɑ̃31	nã31	nan31	naŋ22	naŋ31	næ̃213	nu22/noŋ22	noŋ42	nan12	nã231
蚕	tsã31	tsæ̃31	tsæ̃21	tsã31	tsã31	tsʰaŋ31	tsʰã31	tsʰã31	tsʰã31	tsʰã31	tsʰã21	tsʰɑ̃31	tsʰã31	tsʰan31	tsʰaŋ22	tsʰaŋ31	sæ̃213	tsoŋ22	saŋ33	tʃʰan12	sã231
感	kã53	kæ̃53	kæ̃51	kã53	kã553	kaŋ453	kã53	kã45	kã55	kã51	kã55	kɑ̃55	kã55	kan53	kaŋ553	kaŋ45	kæ̃31	kaŋ24	kaŋ211	kan31	kã44
含(~一口水)	xã31	xæ̃31	xæ̃21	xã31	xã31	xaŋ31	xã31	xã31	xã31	xã31	xã21	xɑ̃31	xã31	xan31	xaŋ22	xaŋ31	xæ̃213	haŋ22	haŋ42	han12	vi231
暗	ŋã35	ŋæ̃35	ŋæ̃35	ŋã35	ŋã35	ŋaŋ24	ŋã35	ŋã13	ŋã24	ŋã24	ŋã24	ŋɑ̃35	ŋã24	ŋan24	ŋaŋ224	ŋaŋ13	æ̃45	aŋ33	aŋ33	an51	œn503
搭	ta213	tɑ213	tɑ13	tɑ213	tɑ213	tɑ31	tɑ31	tɑ31	tɑ31	tɑ31	tɑ21	tɑ31	tɑ31	tɑ31	ta213	tɑ31	tɑ33	ɗu55	lu14	tak2	lɑ503
踏	tʰa213	tʰɑ213	tʰɑ21	tʰɑ213	tɑ213	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ21	tʰɑ31	tʰɑ31	tʰɑ31	tʰa213	tʰɑ31	tʰɑ33	tʰa33	tɤ45	tʰak5	tʰɑ503
拉	la44	lɑ44	lɑ44	lɑ44	lɑ44	lɑ33	lɑ44	lɑ33	lɑ44	lɑ33	lɑ33	lɑ44	lɑ33	lɑ33	la44	lɑ44	lɑ33	lɤ52	tʰɤ52	lai24	liɑ503
杂	tsa213	tsɑ213	tsɑ13	tsɑ213	tsɑ213	tsɑ31	tsɑ31	tsɑ31	tsɑ31	tsɑ31	tsɑ21	tsɑ31	tsɑ31	tsɑ31	tsa213	tsɑ31	tsɑ213	tsa35	tsu14	tʃʰak5	tʃɑ203
鸽	kʰuo213	xuo31	kʰuo13	kuo213	kuo44	xuo31	xuo31	xuo31	xuo31	kuo33	kuo21	kuo31	ko31	kuo33	kuo44	xo31	ku33	kʰu55	kʰu45	huɔ12	kuɤ51
盒	xuo31	xuo31	xuo21	fuo31	xuo31	xuo31	xuo31	xuo31	xuo31	xuo31	xuo21	xuo31	xo31	xuo31	xuo22	xo31	xuo14	hɑu22	fu45	hak5	vuɤ203
胆	tã53	tæ̃53	tæ̃51	tã53	tã553	taŋ453	tã53	tã45	tã55	tã51	tã55	tɑ̃55	tã55	tan53	taŋ553	taŋ45	tæ̃31	ɗoŋ24	noŋ211	tan31	lã44
毯	tʰã53	tʰæ̃53	tʰæ̃51	tʰã53	tʰã553	tʰaŋ453	tʰã53	tʰã45	tʰã55	tʰã51	tʰã55	tʰɑ̃55	tʰã55	tʰan53	tʰaŋ553	tʰaŋ45	tʰæ̃31	ɗoŋ42	tʰaŋ24	tʰan31	tʰã44
淡	tã35	tæ̃35	tæ̃35	tã35	tã35	taŋ24	tã35	tã13	tã24	tã24	tã24	tɑ̃35	tã24	tan24	taŋ224	taŋ13	tæ̃21	li35	toŋ33	tʰan24	tã231
蓝	lã31	læ̃31	læ̃21	lã31	lã31	laŋ31	lã31	lã31	lã31	nã31	lã21	lɑ̃31	lã31	lan31	laŋ22	naŋ31	næ̃213		li42	san12	lã231
三	sã44	sæ̃44	sæ̃44	sã44	sã44	saŋ33	sã44	sã33	sã44	sã33	sã33	sɑ̃44	sã33	san33	saŋ44	saŋ44	sæ̃33	soŋ52	soŋ52	san24	sã51
甘	kã44	kæ̃44	kæ̃44	kã44	kã44	kaŋ33	kã44	kã33	kã44	kã33	kã33	kɑ̃44	kã33	kan33	kaŋ44	kaŋ44	kæ̃33	kaŋ52	kaŋ52	kɔn24	kœn51
敢	kã53	kæ̃53	kæ̃51	kã53	kã553	kaŋ453	kã53	kã45	kã55	kã51	kã55	kɑ̃55	kã55	kan53	kaŋ553	kaŋ45	kæ̃31	kaŋ24	kaŋ211	kan31	kã44
喊	xã53	xæ̃53	xæ̃51	xã53	xã553	xaŋ453	xã53	xã45	xã55	xã51	xã55	xɑ̃55	xã55	xan53	xaŋ553	xaŋ45	xæ̃31	hi33	hi33	hen24	hã44
塔	tʰa213	tʰɑ213	tʰɑ13	tʰɑ213	tʰɑ213	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ31	tʰɑ21	tʰɑ31	tʰɑ31	tʰɑ31	tʰa213	tʰɑ31	tʰɑ14	ɗa21	tʰu14	tʰak2	tʰɑ503
蜡	la213	lɑ213	lɑ13	lɑ213	lɑ213	lɑ31	lɑ31	lɑ31	lɑ31	lɑ31	lɑ21	lɑ31	lɑ31	lɑ31	la213	lɑ31	lɑ45	la35	lu45	lak5	lɑ203
赚	tsã35	tsuən35	tsuɐn35	tsuən35	tsəŋ35	tsuaŋ24	tsuã35	tsuã13	tsuã24	tsã24	tsuã24	tsuɑ̃35	tsuan24	tsuɑŋ24	tsuaŋ224	tsuaŋ13	tsuõ45	tsaŋ35	tʃuɘŋ45	ʃan12	tʃœn203
杉(~木)	sã44	sæ̃44	sæ̃44	sã44	sã44	sa33	sã44	sã33	sã44	sã33	sã33	sɑ44	sɑ33	saan33	saŋ44	sa44	sɑ33	su52	soŋ52	san51	sɑ503
减	kã53	kæ̃53	kæ̃51	kã53	kã553	kaŋ453	kã53	kã45	kã55	kã51	kã55	kɑ̃55	kã55	ʨiɪn53	kaŋ553	kaŋ45	kæ̃31	kaŋ24	ki33	kan31	kã44
咸(~淡)	xã31	xæ̃31	xæ̃21	xã31	xã31	xaŋ31	xã31	xã31	xã31	xã31	xã21	xɑ̃31	xã31	ɕiɪn31	xaŋ22	xaŋ31	xæ̃213	hoŋ22	hɘŋ42	han12	ɦã231
插	tsʰa213	tsʰɑ213	tsʰɑ13	tsʰɑ213	tsʰɑ213	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ33	tsʰɑ21	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰa213	tsʰɑ31	tsʰɑ33	tsʰa55	tsʰa14	tʃʰak2	tʃʰɑ503
闸	tsa213	tsɑ213	tsɑ13	tsɑ213	tsɑ213	tsɑ31	tsɑ31	tsɑ31	tsɑ31	tsɑ24	ʦɑ21	kiɑ31	tsɑ31	tsɑ31	tsa213	tɕiɑ31	tsɑ14	tsa55	tsa14	kiak5	tʃɑ203
夹(~子)	kia213	kiɑ213	kiɑ35	kiɑ213	kiɑ213	tɕiɑ31	kiɑ31	ʨiɑ31	ʨiɑ31	ʨiɑ31	kiɑ21	kiɑ31	kiɑ31	tɕiɑ31	kia213	ʨiɑ31	kɑ33	ka55	ka14	kiak5	kɑ203
衫	sã44	sæ̃44	sæ̃44	sã44	sã44	saŋ33	sã44	sã33	sã44	sã33	sã33	sɑ̃44	sã33	san33	saŋ44	saŋ44	sæ̃33	saŋ33	sɘŋ42	san24	sã51
监	kiẽ44	kiɛn44	kiɛ̃44	kiɛ̃44	kã35	ʨien33	ʨiẽ44	kã13/ʨiẽ33	ʨiɪ̃44	ʨiɛ̃33	kiẽ33	ʨiɪ̃44	kiɛ̃33	kiɪn33	kiẽ44	kaŋ44	tʃiɛ̃33	kien33	tʃien33	kan24	kã51
岩	ŋã31	ŋæ̃31	ŋæ̃21	ŋã31	ŋã31	ŋaŋ31	ŋã31	ŋã31	ŋã31	ŋæe31	ŋã21	ŋɑ̃31	ŋã31	ŋan31	ŋaŋ22	ŋaŋ31	ŋæ̃213	ŋei22	ȵi31	ŋan12	ŋã231
甲	kia213	kiɑ213	kiɑ13	kiɑ213	kiɑ213	ʨiɑ31	kiɑ31	ʨiɑ31	ʨiɑ31	ʨiɑ31	kiɑ21	kiɑ31	kiɑ31	kiɑ31	kia213	ʨiɑ31	tʃiɑ14	ku55/kia35	ku14	kak2	kɑ203
鸭	ia213	iɑ213	iɑ13	iɑ213	iɑ213	iɑ31	iɑ31	iɑ31	iɑ31	iɑ31	iɑ21	iɑ31	iɑ31	iɑ31	ia213	iɑ31	ŋɑ33	u55/ia35	u14	at2	ɑ503
黏(~液)	niẽ44	ŋiɛn44	ȵiɑ44	ŋiɑ44	ŋiɑ44	ȵiɑ33	ȵiɑ44	niɑ33	ȵã44	ȵiɑ31	niẽ33	ȵiɑ44	niɛ̃33	ȵiɑ33	niẽ44	niɑ44	ȵiɑ33	ȵia55	nu14	ŋiɐŋ12	ɲiɑ51
尖	tɕiẽ44	tɕiɛn44	tɕiɛ̃44	tɕiɛ̃44	tɕiẽ44	tɕien33	tɕiẽ44	tɕiẽ33	tɕiɪ̃44	tɕiɛ̃33	tɕiẽ33	tɕiɪ̃44	tɕiɛ̃33	tɕiɪn33	tɕiẽ44	tɕiɪn44	tʃiɛ̃33	tsen52	tsɘŋ52	tʃiɐŋ24	ti51
签(~名)	tɕʰiẽ44	tɕʰiɛn44	tɕʰiɛ̃44	tɕʰiɛ̃44	tɕʰiẽ44	tɕʰien33	tɕʰiẽ44	tɕʰiẽ33	tɕʰiɪ̃44	tɕʰiɛ̃33	tɕʰiẽ33	tɕʰiɪ̃44	tɕʰiɛ̃33	tɕʰiɪn33	tɕʰiẽ44	tɕʰiɪn44	tʃʰiɛ̃33	tsʰen52	tsʰɘŋ52	tʃʰien24	tʰi51
占(~领)	tsã35	tɕæ̃35	tɕiɛ̃35	tsã35	tsã35	tsaŋ24	tsã35	tsã13	tsã24	tsã24	tsã24	tsɑ̃35	tsã24	tsan24	tɕaŋ224	tsaŋ13	tsæ̃45	tsen33	tɪŋ33	tʃan51	tʃi503
染	iẽ53	iɛn53	iɛ̃51	iɛ̃53	iẽ553	ien453	iẽ53	iẽ45	iɪ̃55	iɛ̃51	iẽ55	iɪ̃55	iɛ̃55	iɪn53	iẽ553	iɪn45	ȵiɛ̃31	nen42	nɘŋ45	ien31	ɲi231
钳	kiẽ31	kiɛn31	kiɛ̃21	kiɛ̃31	kiẽ31	ʨʰien31	kʰiẽ31	ʨʰiẽ31	tɕʰiɪ̃31	tɕʰiɛ̃31	kʰiɛ̃21	kʰiɛ31	kʰiɛ̃31	ʨʰiɪn31	kʰiẽ22	tɕʰiɪn31	ʃiɪ̃213	kien22	tʃɘŋ42	kʰiɐŋ12	ki231
验	ŋiẽ35	ŋiɛn35	ȵiɛ̃35	ŋiɛ̃35	niẽ35	ȵien24	niẽ35	niẽ13	liɪ̃24	niɛ̃24	niẽ24	ȵiɪ̃35	niɛ̃24	liɪn24	niẽ224	liɪn13	ȵiɛ̃45	nen35	lɘŋ45	ŋiɐŋ51	ni203
险	ɕiẽ53	xiɛn53	ɕiɛ̃51	ɕiɛ̃53	xiẽ553	ɕien453	ɕiẽ53	ɕiẽ45	ɕiɪ̃55	ɕiɛ̃51	ɕiẽ55	ɕiɪ̃55	ɕiɛ̃55	ɕiɪn53	ɕiẽ553	ɕiɪn45	ʃiɛ̃31	sen24	ʃɪŋ211	ʃien31	ʃi44
厌	iẽ35	iɛn35	iɛ̃35	iɛ̃35	iẽ35	ien24	iẽ35	iẽ13	iɪ̃24	iɛ̃24	iẽ24	iɪ̃35	iɛ̃24	iɪn24	iẽ224	iɪn13	ȵiɛ̃45	ien52	iɪŋ24	ien51	i231
炎	iẽ31	iɛn31	iɛ̃21	iɛ̃31	iẽ31	ien31	iẽ31	iẽ31	iɪ̃31	iɛ̃31	iẽ21	iɪ̃31	iɛ̃31	iɪn31	iẽ22	iɪn31	ȵiɛ̃213	ien22	iɪŋ31	ian12	nie231
盐	iẽ31	iɛn31	iɛ̃21	iɛ̃31	iẽ31	ien31	iẽ31	iẽ31	iɪ̃31	iɛ̃31	iẽ21	iɪ̃31	iɛ̃31	iɪn31	iẽ22	iɪn31	ȵiɛ̃213	ien22	iɪŋ31	ian12	i231
接	tɕie213	tɕie213	tɕie13	tɕie213	tɕiɛ213	tɕie31	tɕie31	tɕie31	tɕie31	tɕiɛ31	tɕiɛ21	tɕiɛ31	tɕie31	tɕie31	tɕie213	tɕie31	tʃi33	tsuei55	tsæi14	tʃiak2	ti51
折(~叠)	tɕie213	tɕie213	tɕie13	tɕie213	tɕiɛ213	tɕie31	tɕie31/ʦə31	tɕie31	tsə31	tɕiɛ31	tɕiɛ21	tsɤ31	tɕie31	tɕie31	tsɤ213	tɕie31	tsɘ14	tʃi55	tsʰu14	tʃiak2	ti51
叶(树~)	ie213	ie213	ie13	ie213	iɛ213	ie31	ie31	ie31	ie31	iɛ31	iɛ21	iɛ31	ie31	ie31	ie213	ie31	i45	i55	i45	iak5	ie203
剑	kiẽ35	kiɛn35	kiɛ̃35	kiɛ̃35	tɕiẽ35	ʨien24	kiẽ35	ʨiẽ13	tɕiɪ̃24	tɕiɛ̃24	kiẽ24	kiɪ̃35	kiɛ̃24	ʨiɪn24	kiẽ224	tɕiɪn13	tʃiɛ̃45	ken33	tɪŋ33	kiɐŋ51	ki503
