□	丨(囗) 一
㧕	扌 卯
㧖	扌 乙
㧗	扌 此
㧘	此 手
㧙	扌 必
㧚	扌 瓦
㧛	丨 手
㧜	扌 匝
㧝	加 手
㧞	扌 友
㧟	扌 汇
㧠	扌 小(厼)
㧡	扌 亥
㧢	扌 因
㧣	扌 朱
㧤	扌 充
㧥	扌 先
㧦	扌 旬
㧧	扌 流(㐬)
㧨	扌 后
㧩	扌 佩(𫥞)
㧪	扌 危
㧫	扌 而
㧬	巩 手
㧭	工(邛) 手
㧮	扌 臼
㧯	扌 老
㧰	扌 乐
㧱	合 手
㧲	扌 宋
㧳	扮 手
㧴	扌 我
㧵	扌 否
㧶	扌 身
㧷	扌 吞
㧸	扌 亨
㧹	扌 得(㝵)
㧺	扌 沓
㧻	扌 豕
㧼	扌 表
㧽	扌 固
㧾	扌 忽
㧿	扌 从
㨀	扌 秉
㨁	扌 直
㨂	扌 東
㨃	扌 享
㨄	扌 周
㨅	扌 内(芮)
㨆	扌 林
㨇	波 手
㨈	扌 齐
㨉	扌 日
㨊	扌 月
㨋	扌 者
㨌	殻(㱿) 手
㨍	封 手
㨎	扌 大
㨏	扌 炭
㨐	扌 保
㨑	扌 夂(㚇)
㨒	扌 奎
㨓	扌 牢
㨔	扌 咸
㨕	扌 盈
㨖	扌 致
㨗	扌 止
㨘	扌 省
㨙	扌 奚
㨚	扌 旬(荀)
㨛	扌 閃
㨜	扌 虔
㨝	扌 屑
㨞	扌 素
㨟	扌 豈
㨠	扌 冥
㨡	扌 豕(圂)
㨢	扌 能
㨣	扌 翁
㨤	扌 隹
㨥	扌 納
㨦	扌 隻
㨧	扌 奋
㨨	扌 留
㨩	扌 庭
㨪	扌 晃
㨫	扌 监
㨬	扌 袁
㨭	扌 邑
㨮	扌 兜
㨯	扌 郭
㨰	扌 袞(衮)
㨱	扌 言
㨲	扌 宋
㨳	扌 寄
㨴	扌 乾
㨵	扌 剪
㨶	扌 鳥
㨷	扌 堇
㨸	扌 密
㨹	扌 彗
㨺	扌 滿(㒼)
㨻	斬 手
㨼	略 手
㨽	扌 副
㨾	扌 永
㨿	扌 處
㩀	扌 勿
㩁	扌 隺
㩂	扌 斗
㩃	扌 寒
㩄	扌 思
㩅	扌 留(畱)
㩆	扌 就
㩇	扌 畫
㩈	扌 窘
㩉	扌 羽(翕)
㩊	扌 寸
㩋	扌 肅
㩌	扌 費
㩍	扌 策
㩎	扌 犬
㩏	扌 黑
㩐	扌 等
㩑	扌 非
㩒	扌 禁
㩓	毁 手
㩔	扌 殿
㩕	扌 零
㩖	扌 畺
㩗	扌 隽
㩘	扌 義
㩙	扌 塞
㩚	扌 蒙
㩛	扌 團
㩜	扌 監
㩝	扌 豪
㩞	扌 榮
㩟	扌 寨
㩠	扌 灬(麃)
㩡	扌 磊
㩢	扌 蔑
㩣	扌 軍
㩤	扌 敷
㩥	扌 韭(韯)
㩦	扌 冏(𮥼)
㩧	扌 暴
㩨	扌 慧
㩩	扌 潁
㩪	扌 頁
㩫	扌 質
㩬	扌 戯
㩭	扌 學
㩮	扌 舉(擧)
㩯	扌 繁
㩰	扌 喿
㩱	扌 爵
㩲	扌 雚
㩳	扌 雙
㩴	扌 瞿
㩵	扌 獻
㩶	扌 爾
㩷	扌 馬(騫)
㩸	扌 宜(疊)
㩹	扌 叠
㩺	比 支
㩻	危 支
㩼	多 支
㩽	束 支
㩾	垂 支
㩿	乞 攵
㪀	于 攵
㪁	今 攴
㪂	气 攴
㪃	可 攴
㪄	弗 攵
㪅	丙 攴
㪆	氐 攴
㪇	先 攵
㪈	圭 攴
㪉	合 攵
㪊	君 攴
㪋	旱 攴
㪌	甬 攴
㪍	孛 攵
㪎	夾 攴
㪏	卑 攴
㪐	戾 攴
㪑	奄 攴
㪒	兒 攴
㪓	乖 攴
㪔	林 攴
㪕	卓 攴
㪖	录 攴
㪗	咅 攴
㪘	佥 攵
㪙	果 攵
㪚	昔 攵
㪛	甚 攴
㪜	耑 攴
㪝	柬 攴
㪞	冒 攴
㪟	亠 攵
㪠	兼 攴
㪡	害 攴
㪢	叟 攴
㪣	高 攵
㪤	畢 攵
㪥	虍 攴
㪦	寅 攵
㪧	合 攴
㪨	善 攴
㪩	肅 攴
㪪	天 攴
㪫	睿 攴
㪬	翟 攴
㪭	盧 攴
㪮	霝 攴
㪯	文 串(㐄)
㪰	文 米
㪱	文 奂
㪲	斗 乙
㪳	斗 乙
㪴	元 斗
㪵	半 斗
㪶	百 斗
㪷	豆 斗
㪸	其 斗
㪹	婁 斗
㪺	大 斗
㪻	孌(䜌) 斗
㪼	可 斤
㪽	一 斤
㪾	各 斤
㪿	屮 斤
㫀	昌 斤
㫁	幺 斤
㫂	庶 斤
㫃	方 人
㫄	亠 方
㫅	方 亓
㫆	方 小(尒)
㫇	於 乙
㫈	於 乙
㫉	方 危
㫊	方 可
㫋	方 冉
㫌	方 正
㫍	方 攸
㫎	方 軍
㫏	方 要
㫐	日 匕
㫑	日 力
㫒	日 廾
㫓	日 乞
㫔	日 上
㫕	日 兀
㫖	上 日
㫗	日 子
㫘	不 日
㫙	日 夫
㫚	勿 日
㫛	日 兄
㫜	日 旦
㫝	日 氐
㫞	日 又
㫟	日 口
㫠	日 半
㫡	日 冬
㫢	日 去
㫣	日 电
㫤	日 永
㫥	日 名
㫦	亻 日
㫧	日 米
㫨	日 安
㫩	卉 日
㫪	春(𡗗) 旧
㫫	日 亚
㫬	日 旬
㫭	日 寺
㫮	此 日
㫯	昌 兀
㫰	日 良
㫱	日 赤
㫲	日 孛
㫳	辰 日
㫴	日 孝
㫵	日 非
㫶	日 帚
㫷	其 日
㫸	日 疌
㫹	日 所
㫺	从 日
㫻	日 侖
㫼	日 制
㫽	日 录
㫾	日 尚
㫿	日 隹
㬀	日 享
㬁	日 洽
㬂	日 禺
㬃	日 火
㬄	日 赤
㬅	日 万(方)
㬆	日 日
㬇	日 奂
㬈	日 昷
㬉	日 大
㬊	日 爰
㬋	日 侯
㬌	日 京
㬍	日 尃
㬎	日 絲
㬏	日 鬲
㬐	日 晋
㬑	日 郭
㬒	日 莽
㬓	日 票
㬔	日 翏
㬕	日 祥
㬖	日 啓(啟)
㬗	日 然
㬘	日 肅
㬙	日 爲
㬚	日 攵
㬛	日 羽(翕)
㬜	至 日
㬝	日 曾
㬞	日 曷
㬟	勿 曾
㬠	日 煞
㬡	日 零
㬢	日 義
㬣	日 對
㬤	日 絲(㬎)
㬥	日 米
㬦	日 蒦
㬧	日 糸
㬨	日 赫
㬩	日 慧
㬪	晶 彑
㬫	燕 日
㬬	日 瞿
㬭	日 爵
㬮	日 難
㬯	日 羊(羸)
㬰	日 人
㬱	先 日
㬲	更 益
㬳	月 午
㬴	月 共
㬵	月 交
㬶	月 告
㬷	月 困
㬸	月 花
㬹	月 争
㬺	月(朕) 巾
㬻	月 荒
㬼	有 复
㬽	月 丂
㬾	医(殹) 月
㬿	月 敦
㭀	月 巫
㭁	木 乃
㭂	木 小
㭃	木 幺
㭄	木 卂
㭅	木 三
㭆	乃 末
㭇	木 允
㭈	木 夬
㭉	艹 木
㭊	木 片
㭋	木 丰
㭌	木 牛
㭍	冫 木
㭎	木 冈
㭏	木 韦
㭐	大 末
㭑	木 未
㭒	木 耜(㠯)
㭓	木 弁
㭔	木 乎
㭕	木 去
㭖	木 代
㭗	木 皿
㭘	木 合
㭙	木 寺
㭚	木 氏(𠂢)
㭛	木 派(𠂢)
㭜	木 戎
㭝	林 九
㭞	木 劣
㭟	共 木
㭠	木 先
㭡	木 囟
㭢	木 刑
㭣	木 问
㭤	木 鸟
㭥	木 负
㭦	木 宅
㭧	舟 木
㭨	木 邪
㭩	木 寽
㭪	木 甫
㭫	木 坐
㭬	木 豕
㭭	木 别
㭮	木 歹
㭯	木 耳
㭰	此 朿
㭱	木 匣
㭲	木 谷
㭳	木 孝
㭴	木 坚
㭵	木 甸
㭶	木 方
㭷	木 男
㭸	木 兔
㭹	木 弦
㭺	木 奄
㭻	木 尚
㭼	木 沓
㭽	木 底
㭾	木 屈
㭿	木 昂
㮀	木 函
㮁	木 肴
㮂	具 木
㮃	木 委
㮄	木 方
㮅	木 隹
㮆	木 羊
㮇	木 忝
㮈	木 奈
㮉	木 侠
㮊	林 予
㮋	木 郁
㮌	木 面
㮍	前 木
㮎	木 皿
㮏	木 奈(柰)
㮐	木 省
㮑	木 臿
㮒	木 土
㮓	木 恒(恆)
㮔	木 重
㮕	木 大
㮖	木 革
㮗	矛(矜) 木
㮘	木 敄
㮙	木 咢
㮚	占 木
㮛	木 是
㮜	木 壯
㮝	木 却(卻)
㮞	木 咨
㮟	林 石
㮠	木 荣
㮡	炬 木
㮢	木 侯
㮣	既 木
㮤	容 木
㮥	木 奋
㮦	木 索
㮧	木 烏
㮨	木 夂(畟)
㮩	木 息
㮪	木 木
㮫	木 害
㮬	木 翁
㮭	木 干(圅)
㮮	木 手
㮯	木 豕(圂)
㮰	木 比
㮱	木 先
㮲	木 芻
㮳	木 朕
㮴	木 叟
㮵	木 丹
㮶	木 朔
㮷	木 旨
㮸	木 送
㮹	木 致
㮺	本 口
㮻	木 蚤
㮼	木 扇
㮽	木 般
㮾	朗 木
㮿	木 畢
㯀	木 旋
㯁	木 陪
㯂	木 帶
㯃	木 桼
㯄	林 巴
㯅	木 卑
㯆	木 産
㯇	木 土
㯈	木 速
㯉	木 乎
㯊	木 焉
㯋	頃 木
㯌	木 逐
㯍	木 將
㯎	林 言
㯏	声(殸) 木
㯐	隋 木
㯑	木 張
㯒	木 覓
㯓	木 羽(翕)
㯔	毛 木
㯕	木 斯
㯖	木 德(㥁)
㯗	木 閑
㯘	木 款
㯙	木 攵
㯚	木 答
㯛	木 壺
㯜	木 萃
㯝	木 路
㯞	木 絹
㯟	林 录
㯠	木 牽
㯡	木 包
㯢	木 巽
㯣	木 木
㯤	來 來
㯥	東 東
㯦	木 木
㯧	木 超
㯨	木 粟
㯩	桑 夷
㯪	木 零
㯫	木 豦
㯬	林 建
㯭	木 虜
㯮	木 蜀
㯯	木 貝
㯰	木 直
㯱	十 木
㯲	木 禁
㯳	木 敬
㯴	木 蓉
㯵	木 董
㯶	木 夂(𡕰)
㯷	木 僕
㯸	木 盡
㯹	木 寸
㯺	臣 木
㯻	十 木
㯼	木 蓋
㯽	木 貝(賔)
㯾	木 遭
㯿	木 巤
㰀	木 黎
㰁	木 磊
㰂	木 審
㰃	木 系
㰄	木 戔
㰅	木 適
㰆	十 木
㰇	木 韭(韯)
㰈	林 連
㰉	木 秦
㰊	木 炎
㰋	木 頻
㰌	木 霍
㰍	龍 木
㰎	木 雋(嶲)
㰏	木 高
㰐	木 隨
㰑	木 木
㰒	木 學
㰓	木 貝
㰔	木 燮
㰕	木 羲
㰖	木 覽(覧)
㰗	木 足
㰘	木 彝
㰙	木 難
㰚	木 離
㰛	木 藥
㰜	木 顛
㰝	巳 欠
㰞	山 欠
㰟	气 欠
㰠	亢 欠
㰡	介 欠
㰢	开 欠
㰣	此 欠
㰤	可 欠
㰥	世 欠
㰦	去 欠
㰧	台 欠
㰨	只 欠
㰩	虫 欠
㰪	圭 欠
㰫	先 欠
㰬	旬 欠
㰭	夸 欠
㰮	辰 欠
㰯	豆 欠
㰰	夾 欠
㰱	千 欠
㰲	或 欠
㰳	亞 欠
㰴	咅 欠
㰵	卒 欠
㰶	咎 欠
㰷	死 欠
㰸	佥(㑒) 欠
㰹	咸 欠
㰺	叚 欠
㰻	吉(壴) 欠
㰼	夾 欠
㰽	匽 欠
㰾	白 欠
㰿	奚 欠
㱀	芻 欠
㱁	祟 欠
㱂	康 欠
㱃	今 欠
㱄	黑 欠
㱅	壹 欠
㱆	虍 欠
㱇	嗇 欠
㱈	禁 欠
㱉	業 欠
㱊	憂 欠
㱋	霍 欠
㱌	聶 欠
㱍	孌(䜌) 欠
㱎	四 欠
㱏	二 止
㱐	二 止
㱑	止 夕
㱒	止 可
㱓	止 令
㱔	此 夕
㱕	止 帚
㱖	止 卒
㱗	止 臭
㱘	厭 止
㱙	歹 丂
㱚	歹 月
㱛	歹 歹
㱜	歹 止
㱝	死 力
㱞	歹 立
㱟	歹 皮
㱠	歹 古
㱡	歹 先
㱢	歹 良
㱣	歹 妥
㱤	歹 析
㱥	歹 夌
㱦	歹 奇
㱧	歹 宛
㱨	歹 定
㱩	歹 卖
㱪	歹 日
㱫	歹 柬
㱬	歹 畏
㱭	歹 段
㱮	歹 贵
㱯	歹 豈
㱰	歹 宰
㱱	歹 鬼
㱲	歹 益
㱳	莫 歹
㱴	歹 責
㱵	歹 賁
㱶	歹 彭
㱷	歹 集
㱸	歹 辟
㱹	歹 歷
㱺	歹 盧
㱻	歹 羊(羸)
㱼	巳 殳
㱽	冘 殳
㱾	亥 殳
㱿	士 殳
㲀	辰 殳
㲁	空 殳
㲂	尚 殳
㲃	占 殳
㲄	殻(㱿) 王
㲅	害 殳
㲆	声(殸) 令
㲇	声(殸) 冬
㲈	声(殸) 召
㲉	殼(㱿) 卵
㲊	睿 殳
㲋	刀 比
㲌	毛 乃
㲍	支 毛
㲎	毛 毛
㲏	片 毛
㲐	毛 今
㲑	毛 水
㲒	句 毛
㲓	毛 戍
㲔	辛 毛
㲕	爪(寽) 毛
㲖	肖 毛
㲗	孚 毛
㲘	貝 毛
㲙	毛 流(㐬)
㲚	沙 毛
㲛	知 毛
㲜	炎 毛
㲝	毛 隹
㲞	卒 毛
㲟	英 毛
㲠	未 毛
㲡	奈(柰) 毛
㲢	扁 毛
㲣	叟 毛
㲤	衰 毛
㲥	唐 毛
㲦	卓 毛
㲧	毛 蚤
㲨	艹 毛
㲩	毛 塌(𦐇)
㲪	登 毛
㲫	菐 毛
㲬	焦 毛
㲭	火 毛
㲮	毛 答
㲯	監 毛
㲰	寧 毛
㲱	毛 巤
㲲	曡(疊) 毛
㲳	氐 失
㲴	气 中
㲵	气 肖
㲶	气 鹵
㲷	气 單
㲸	氵 乙
㲹	氵 几
㲺	氵 七
㲻	亻 水
㲼	氵 乂
㲽	氵 刃
㲾	宀 水
㲿	氵 广
㳀	氵 戈
㳁	氵 人
㳂	氵 公
㳃	氵 十
㳄	氵 欠
㳅	氵 不
㳆	氵 斗
㳇	氵 父
㳈	氵 木
㳉	氵 月
㳊	氵 攵
㳋	氵 丘
㳌	氵 甲
㳍	氵 布
㳎	氵 弁
㳏	氵 史
㳐	氵 札
㳑	氵 皿
㳒	氵 厶
㳓	氵 右
㳔	氵 对
㳕	氵 兰
㳖	氵 衣
㳗	氵 土(圣)
㳘	氵 充
㳙	氵 月
㳚	氵 戍
㳛	氵 臾
㳜	氵 休
㳝	氵 任
㳞	氵 仲
㳟	共 水(氺)
㳠	氵 达
㳡	氵 过
㳢	氵 乔
㳣	氵 老
㳤	氵 廾
㳥	氵 弄
㳦	氵 戒
㳧	氵 耳
㳨	氵 歹
㳩	氵 丹
㳪	氵 否
㳫	水 臼
㳬	氵 疋
㳭	氵 呆
㳮	氵 尿
㳯	氵 辛
㳰	氵 弃
㳱	氵 阳
㳲	氵 汰
㳳	氵 克
㳴	氵 土
㳵	氵 季
㳶	氵 乳
㳷	氵 日
㳸	氵 花
㳹	氵 枉
㳺	氵 子
㳻	氵 昔
㳼	或 水
㳽	氵 弥
㳾	氵 羌
㳿	氵 木
㴀	氵 乏
㴁	氵 井
㴂	氵 冉
㴃	氵 水
㴄	氵 口
㴅	水 口
㴆	氵 帚
㴇	水 水
㴈	氵 岳
㴉	氵 二(亝)
㴊	氵 刂
㴋	氵 肃
㴌	氵 姑
㴍	氵 承
㴎	氵 奈
㴏	氵 王
㴐	氵 丏(眄)
㴑	氵 屰
㴒	氵 弈
㴓	氵 思
㴔	氵 急
㴕	氵 禾
㴖	氵 革
㴗	氵 要
㴘	氵 冒
㴙	氵 臿
㴚	氵 遂(㒸)
㴛	氵 致
㴜	氵 扁
㴝	利 水
㴞	氵 旧
㴟	氵 厚
㴠	氵 又(凾)
㴡	氵 香
㴢	氵 仲
㴣	氵 夷
㴤	氵 柱
㴥	氵 峭
㴦	氵 宫
㴧	氵 息
㴨	氵 朕
㴩	氵 邕
㴪	氵 臬
㴫	氵 郡
㴬	氵 射
㴭	氵 目
㴮	氵 屑
㴯	氵 旨
㴰	氵 能
㴱	氵 大
㴲	氵 虎
㴳	氵 龙
㴴	氵 灭
㴵	氵 皿
㴶	氵 隺
㴷	氵 耽
㴸	氵 閃
㴹	氵 迷
㴺	氵 夾
㴻	氵 寸
㴼	氵 宿
㴽	氵 悉
㴾	氵 攵
㴿	氵 頂
㵀	氵 族
㵁	氵 流(㐬)
㵂	氵 庶
㵃	浊(氵) 它(蛇)
㵄	氵 天
㵅	氵 貪
㵆	氵 告
㵇	氵 甜
㵈	氵 姑
㵉	氵 淋
㵊	氵 最
㵋	氵 買
㵌	氵 循
㵍	氵 悶
㵎	氵 月(閒)
㵏	氵 萃
㵐	氵 厥
㵑	氵 賀
㵒	氵 費
㵓	氵 是
㵔	氵 奢
㵕	氵 心(叅)
㵖	氵 絮
㵗	馮 水
㵘	水 水
㵙	氵 喜
㵚	氵 金
㵛	氵 善
㵜	氵 南
㵝	氵 裔
㵞	氵 愁
㵟	氵 微
㵠	氵 窟
㵡	氵 雹
㵢	氵 雷
㵣	氵 歇
㵤	氵 夾
㵥	氵 皿
㵦	氵 遀
㵧	氵 葛
㵨	辟 水
㵩	氵 葉
㵪	氵 羡
㵫	氵 日
㵬	氵 盈
㵭	氵 煮
㵮	氵 革
㵯	氵 鳳(鳯)
㵰	氵 與
㵱	氵 寸
㵲	氵 舞
㵳	氵 翏
㵴	氵 臧
㵵	氵 聚
㵶	氵 截
㵷	辛 氵
㵸	氵 龠
㵹	氵 莫
㵺	氵 卑
㵻	氵 叟
㵼	氵 冩
㵽	氵 田
㵾	清 見
㵿	氵 白
㶀	氵 膠
㶁	氵 虎
㶂	氵 黄
㶃	氵 無
㶄	氵 閻
㶅	氵 學
㶆	氵 諸
㶇	氵 横
㶈	氵 螢
㶉	溪 鸟
㶊	氵 頁
㶋	氵 生
㶌	氵 聯
㶍	氵 鮮
㶎	氵 睘
㶏	氵 隱
㶐	氵 應
㶑	氵 歛
㶒	氵 闖
㶓	氵 藏
㶔	氵 大
㶕	氵 間
㶖	氵 黑(儵)
㶗	每 泉
㶘	氵 早
㶙	氵 生
㶚	氵 霸(覇)
㶛	氵 與
㶜	氵 刂
㶝	氵 應
㶞	氵 襄
㶟	氵 纍
㶠	氵 驛
㶡	几 火
㶢	火 九
㶣	干 火
㶤	火 夕
㶥	火 干
㶦	火 予
㶧	火 内
㶨	不 灬
㶩	火 冘
㶪	不 火
㶫	大 火
㶬	火 末
㶭	火 幼
㶮	丙 火
㶯	火 卯
㶰	火 甘
㶱	火 本
㶲	火 用
㶳	聿 火
㶴	火 多
㶵	任 灬
㶶	火 农
㶷	火 旬
㶸	火 力
㶹	火 汞
㶺	火 吞
㶻	夆 灬
㶼	火 矣
㶽	火 呙
㶾	西 灭
㶿	火 孛
㷀	火 卂
㷁	火 甬
㷂	臣 火
㷃	火 長
㷄	火 果
㷅	取 火
㷆	火 阜
㷇	多 灰
㷈	火 奄
㷉	尸 寸
㷊	林 灬
㷋	火 炎
㷌	火 帚
㷍	火 侖
㷎	火 曷
㷏	禾 火
㷐	火 土
㷑	火 土
㷒	火 禺
㷓	火 心(怱)
㷔	火 旧
㷕	酋 火
㷖	日 召
㷗	丿 火
㷘	火 木
㷙	火 前
㷚	火 亭
㷛	保 灬
㷜	火 奕
㷝	火 突
㷞	火 厚
㷟	火 追
㷠	炎 舛
㷡	目 火
㷢	差 火
㷣	火 牛
㷤	殼(㱿) 火
㷥	炎 丞
㷦	耿 灬
㷧	火 原
㷨	火 夆
㷩	臣 火
㷪	火 隽
㷫	声(殸) 火
㷬	火 莫
㷭	逢 火
㷮	火 曹
㷯	火 奉
㷰	火 离
㷱	厶(䏻) 灬
㷲	火 動
㷳	雁 火
㷴	厂 火
㷵	火 黑
㷶	亻 灬
㷷	火 巽
㷸	火 日
㷹	火(畾) 卓(䓬)
㷺	臽 火
㷻	火 無
㷼	廿 火
㷽	火 善
㷾	火 豦
㷿	火 僉
㸀	火 土
㸁	火 業
㸂	遂 火
㸃	黑 占
㸄	火 齊
㸅	火 節
㸆	火 靠
㸇	火 贊(賛)
㸈	隹 火
㸉	辛 火
㸊	火 賴
㸋	炙 番
㸌	火 霍
㸍	火 戲
㸎	火 聶
㸏	靡 火
㸐	難 灬
㸑	臼 火
㸒	爪 壬
㸓	爪 日
㸔	乎 目
㸕	爪 隻
㸖	父 且
㸗	父 同
㸘	父 丁
㸙	父 者
㸚	爻 爻
㸛	爿 召
㸜	爿 空
㸝	片 欠
㸞	片 片
㸟	片 旨
㸠	片 兆
㸡	片 朱
㸢	片 用
㸣	片 業
㸤	辛 片
㸥	片 兔(毚)
㸦	丁 丶
㸧	牙 艮
㸨	牛 丩
㸩	牛 干
㸪	牛 川
㸫	牛 斤
㸬	牛 巿
㸭	牛 巴
㸮	牛 分
㸯	牛 斗
㸰	牛 它
㸱	牛 也
㸲	牛 乍
㸳	牛 令
㸴	石 牛
㸵	牛 吉
㸶	牛 因
㸷	丰 牛
㸸	牛 后
㸹	牛 寽
㸺	沙 牛
㸻	牛 矣
㸼	牛 夆
㸽	牛 貝
㸾	牛 忍
㸿	牛 壳
㹀	牛 孛
㹁	牛 京
㹂	臣(臤) 牛
㹃	非 牛
㹄	牛 夂(畟)
㹅	牛 心(怱)
㹆	牛 軍
㹇	牛 曷
㹈	未 牛
㹉	牛 原
㹊	牛 隺
㹋	牛 修
㹌	牛 産
㹍	牛 啇
㹎	牛 累
㹏	牛 堇
㹐	從 牛
㹑	牛 貳
㹒	牛 菐
㹓	牛 堯
㹔	牛 畺
㹕	頑 牛
㹖	牛 豢
㹗	牛 夀(壽)
㹘	牛 需
㹙	牛 目
㹚	牛 營
㹛	牛 夂(夒)
㹜	犬 犬
㹝	犭 氏
㹞	犭 斤
㹟	犭 夬
㹠	犭 屯
㹡	犭 玄
㹢	犭 加
㹣	犭 冬
㹤	犭 去
㹥	犭 主
㹦	犭 召
㹧	犭 央
㹨	犭 由
㹩	犭 圣
㹪	犭 册
㹫	犭 夷
㹬	犭 吏
㹭	犭 曳
㹮	犭 百
㹯	犭 休
㹰	犭 光
㹱	犭 足
㹲	犭 孝
㹳	犭 吾
㹴	犭 更
㹵	犭 巠
㹶	犭 廷
㹷	希 犬
㹸	犭 皃
㹹	犭 庚
㹺	犭 沓
㹻	犭 委
㹼	犭 匊
㹽	犭 戔
㹾	犭 咎
㹿	犭 卓
㺀	犭 忽
㺁	犭 腦(𡿺)
㺂	犭 咸
㺃	犭 句(苟)
㺄	犭 俞
㺅	犭 矦
㺆	犭 贝
㺇	犭 颐(𦣞)
㺈	犭 虫(蚩)
㺉	殼(㱿) 犬
㺊	犭 恙
㺋	犭 翁
㺌	犭 兼
㺍	犭 宾
㺎	犭 庸
㺏	犭 婁
㺐	犭 巢
㺑	犭 參
㺒	犭 翏
㺓	犭 責
㺔	犭 爲
㺕	犭 番
㺖	犭 敢
㺗	犭 單
㺘	犭 焦
㺙	犭 贝
㺚	犭 達
㺛	犭 廾
㺜	犭 農
㺝	犭 監
㺞	犭 與
㺟	犭 翟
㺠	犭 瓜
㺡	犭 歷
㺢	犭 霍
㺣	犭 戲
㺤	犭 韭(韱)
㺥	犭 兔(毚)
㺦	犭 聯
㺧	犭 囂
㺨	王 厶
㺩	王 丩
㺪	王 卜
㺫	王 刂
㺬	王 凡
㺭	王 子
㺮	王 亏
㺯	王 大
㺰	王 帀
㺱	仍 玉
㺲	王 丑
㺳	王 攴
㺴	王 犬
㺵	王 欠
㺶	王 斗
㺷	王 术
㺸	亻 王
㺹	王 弁
㺺	王 目
㺻	王 巿
㺼	王 疋
㺽	王 丕
㺾	王 冋
㺿	王 颐(𦣞)
㻀	王 乂
㻁	王 回
㻂	王 并
㻃	曲 玉
㻄	王 疋
㻅	王 会
㻆	王 月
㻇	王 全
㻈	王 后
㻉	王 步
㻊	王 免
㻋	王 束
㻌	王 余
㻍	王 吴
㻎	大 王
㻏	王 灵
㻐	王 夋
㻑	王 季
㻒	王 囷
㻓	王 取
㻔	王 垂
㻕	王 屈
㻖	王 隶
㻗	非 玉
㻘	王 审
㻙	王 育
㻚	王 朋
㻛	王 易
㻜	王 止
㻝	王 剌
㻞	王 扁
㻟	王 月
㻠	王 突
㻡	王 枼
㻢	王 施
㻣	王 甚
㻤	王 句(苟)
㻥	王 酋
㻦	王 禺
㻧	王 桀
㻨	臣 玉
㻩	王 兼
㻪	王 隽
㻫	王 畢
㻬	王 亏(雩)
㻭	王 率
㻮	王 祭
㻯	王 乎
㻰	王 彗
㻱	王 逢
㻲	王 婁
㻳	王 莉
㻴	王 曼
㻵	王 子(孱)
㻶	王 筆
㻷	王 棘
㻸	王 日
㻹	石 玉
㻺	厂 玉
㻻	王 敦
㻼	王 覃
㻽	王 雋
㻾	雍 玉
㻿	王 蜀
㼀	王 達
㼁	王 義
㼂	臼 玉
㼃	王 巤
㼄	王 田
㼅	王 廣
㼆	王 瑩
㼇	王 雋(嶲)
㼈	王 羅
㼉	瓜 冘
㼊	屯 瓜
㼋	古 瓜
㼌	瓜 瓜
㼍	耒 瓜
㼎	瓜 交
㼏	妥 瓜
㼐	扁 瓜
㼑	柬 瓜
㼒	瓜 昜
㼓	瓜 兼
㼔	昷 瓜
㼕	當 瓜
㼖	瓜 虫(蠡)
㼗	丁 瓦
㼘	山 瓦
㼙	巾 瓦
㼚	亢 瓦
㼛	开 瓦
㼜	央 瓦
㼝	夗 瓦
㼞	平 瓦
㼟	白 瓦
㼠	它 瓦
㼡	朱 瓦
㼢	颐音 瓦
㼣	百 瓦
㼤	丰 瓦
㼥	考 瓦
㼦	巩 瓦
㼧	甬 瓦
㼨	含 瓦
㼩	成 瓦
㼪	夾 瓦
㼫	果 瓦
㼬	幸 瓦
㼭	土(坫) 瓦
㼮	妻 瓦
㼯	東 瓦
㼰	卑 瓦
㼱	北 瓦
㼲	而 瓦
㼳	省 瓦
㼴	禺 瓦
㼵	是 瓦
㼶	俞 瓦
㼷	耑 瓦
㼸	容 瓦
㼹	荒 瓦
㼺	唐 瓦
㼻	從 瓦
㼼	票 瓦
㼽	爽 瓦
㼾	鹿 瓦
㼿	童 瓦
㽀	奠 瓦
㽁	厂 瓦
㽂	合 瓦
㽃	番 瓦
㽄	斯 瓦
㽅	登 瓦
㽆	當 瓦
㽇	臼 瓦
㽈	疑 瓦
㽉	臣 瓦
㽊	燮 瓦
㽋	孌(䜌) 瓦
㽌	雨 瓦
㽍	甘 瓦
㽎	甚 冘
㽏	洽 甘
㽐	甘 兼
㽑	甘 覃
㽒	男 生
㽓	生 生
㽔	业 生
㽕	由 马
㽖	田 力
㽗	田 人
㽘	田 亢
㽙	田 允
㽚	田 牛
㽛	田 句
㽜	夗 田
㽝	列 田
㽞	口 田
㽟	田 寽
㽠	田 夾
㽡	田 卑
㽢	田 奄
㽣	田 或
㽤	田 匊
㽥	田 柔
㽦	瑩(𤇾) 田
㽧	田 兹
㽨	田 差
㽩	田 參
㽪	田 曾
㽫	雍 田
㽬	畐 畐
㽭	田 需
㽮	田(畾) 生
㽯	田 冏(巂)
㽰	朋 疋
㽱	疒 丩
㽲	疒 丂
㽳	疒 于
㽴	疒 丈
㽵	疒 土
㽶	疒 己
㽷	疒 水
㽸	疒 冘
㽹	疒 反
㽺	疒 及
㽻	疒 支
㽼	疒 引
㽽	疒 古
㽾	疒 出
㽿	疒 瓜
㾀	疒 去
㾁	疒 术
㾂	疒 台
㾃	疒 它
㾄	疒 由
㾅	疒 姊(𠂔)
㾆	疒 冉
㾇	疒 目
㾈	疒 付
