	注釋：=文讀，-白讀
l	[1]啷[2]郎{～中}廊{走～}螂榔琅狼瓏朧礱聾{～啞}籠蘢囊農濃儂膿{～包}[3]朗{～讀}攏{拉～}隴籠{又，～罩}壟{～斷}[4]攏{又，使～：挑唆}[5]□{碰撞}[6]浪弄{裏～}
ts	[1]臧{～否}贓髒=宗綜蹤{～影}棕鬃莊{村～}樁{木～}妝{卸～}裝{武～}[2]藏{～書}崇叢{～書}□{奔，跑}[3]總{～結}[5]葬臟{又，肝～}粽壯[6]奘{俗，唐三～：唐僧}藏{又，～族}狀{～況}
tsʰ	[1]倉滄傖艙蒼窗創{刀～}瘡{～疤}匆{～促}蔥{～蘢}聰{～明}[2]床叢{又，～雜}[5]創{又，～造}愴
s	[1]桑={滄～}喪{～事}雙={～親}霜=孀鬆={～緊}[2]□{土氣}[3]爽{～直}𢱤[5]喪{又，～失}宋送={～行}
k	[1]缸=岡綱剛崗扛公{～眾}蚣工{～整}紅{女～}功{～勞}攻光={～榮}胱[2]狂[3]□{竹～：竹簡}廣={～大}獷{粗～}[4]誆{～頭：巫術}[5]贛杠{～杆}□{擲}□{大～：舊式鐵炮}絳{紅～～}
kʰ	[1]康{健～}糠空{～氣}匡筐=眶=框=[2]窮{盤點；清理}[3]慷孔{～雀}[4]□{～～顛：站立不穩}[5]亢伉炕□{狼～：寬闊}抗{抵～}空控{～制}礦{煤～}壙曠
ɡ	[2]昂[6]戇{傻}
h	[1]方={～向}芳={芬～}肪坊{書～}枋豐封{～鎖}峰={山～}蜂={～擁}鋒=烽風={～俗}楓=瘋諷{俗，～刺}轟{～動}哄{～動}烘{～托}肓荒={～亂}慌{～忙}[2]防房=馮=逢={～迎}縫={～補}杭=航=行=紅={又，～顏}虹鴻弘={～揚}泓宏洪={～流}皇惶蝗煌徨隍黃={雄～}璜磺=蟥癀{發～：發炎}簧[3]妨仿紡訪汞{又，種～：種牛痘}哄晃{漂亮}幌恍況[4]奉[5]放={開～}縫=[6]俸鳳哄{起～}晃{又，～動}
∅	[1]汪{姓}翁={主人～}嗡[2]王[3]枉往{來～}[5]旺甕-[6]鳳-{～梨}
#ɔk	
p	[7]暴{～目：眼睛突出}爆{千炒}北駁{反～}搏{拼～}蔔{～卦}[8]暴{又，～動}爆{又，～炸}薄{刻～}礴泊{飄～}縛={束～}僕{奴～}瀑曝={～光}
pʰ	[7]博{賭～}搏{又，～鬥}膊粕撲{～滅}僕{前～後繼}樸{～素}璞蹼[8]噗{拍～仔：鼓掌}曝={一～十寒}
b	[7]沐{掉進；陷入}[8]膜={～拜}莫{～大}漠{～然}瘼木={～器}沐{又，～浴}目={～錄}穆牧睦
t	[7]督篤卓={～越}桌=啄{～木鳥}[8]毒={惡～}獨=瀆{～職}犢鐸
tʰ	[7]拓{開～}託{依～}[8]讀={～物}犢{尺～}
l	[7]漉{濕；糟}簏{紙～：紙袋}[8]樂{又，快～}鹿簏{又，書～}麓祿洛絡烙珞駱落{～後}諾{～言}
ts	[7]作{～業}[8]濁{污～}濯族昨
tsʰ	[7]戳簇齪錯{～綜}[8]戳{俗，郵～}鑿
s	[7]束朔速{～度}宿{～歇}塑溯嗍謖夙肅縮{～小}索={～取}[8]□{吞，吃}
k	[7]胳閣各{～自}穀{～雨}梏郭國幗[8]□{大口地喝}
kʰ	[7]廓鵠殼={火擦～：火柴盒}哭{～泣}酷擴[8]□{又，久煮}涸{凋～～：乾枯}□{木魚}
ɡ	[8]噩愕鱷齶鄂鶚萼
h	[7]福{幸～}幅{～射}蝠複復腹={～部}馥覆{顛～}鵠{又，鴻～}霍[8]服伏袱茯復{又，收～}縛涸{～轍}鶴
∅	[7]惡={又，～毒}屋握={～手}幄=齷=沃={～野千裏}
#iŋ	
p	[1]冰兵={士～}浜[2]朋={又，～友}棚=瓶=憑={～吊}屏[3]丙炳{彪～}餅=屏{又，～棄}秉[4]並{比～：比較}[5]迸{～發}柄{權～}並拼摒{～棄}[6]病=
pʰ	[2]彭={又}澎膨{又，～脹}硼={又}鵬{又}蘋{～果}萍坪=評[5]碰拼{又，～音}姘{～頭}聘
b	[2]盟萌明={光～}名={～目}銘茗冥{～頑}暝瞑{～目}溟螟鳴[3]猛錳蜢皿{器～}酩[6]孟命={～題}
t	[1]登{又}燈=丁叮{～囑}仃{伶～}釘{～梢}疔[2]澄{～清}橙重{雙～}滕=藤=謄{～寫}廷庭{家～}霆[3]等={又，三～五號：各種各樣}戥{厘～：戥子}頂鼎={～立}[5]瞪錠腚碇訂{制～}釘={又}盯橙中{～意}[6]凳鄧定={～居}鄭
tʰ	[1]聽={～閘}汀廳=[2]呈={～報}程={課～}謄{又}騰{又}亭={～午}停婷蜓[3]騁逞挺{堅～}艇鋌[5]牚=聽{又，～候：等候}
l	[1]蘢{青～～：綠油油}[2]棱靈鈴={電～}伶玲齡聆蛉羚泠苓零={～件}囹淩陵綾菱龍-{～鳳}能寧嚀擰檸獰仍[3]冷嶺=領={～導}[4]壟{條狀傷痕}[5]躘{躍起}另令寧{又}冗{鬆動}
ts	[1]懲{俗，～罰}舂{～米}晶{～體}晴精={～力}漳{～州：地名}貞偵楨禎蒸正征徵鐘{吋～}盅{茶～}眾{～生：畜牲}[2]晴={～朗}情={友～}榕{～樹}松{又，～柏}[3]井={～然}阱整腫-{～瘤}種-{～籽}[4]靜={安～}靖[5]正={又，端～}證政症{～狀}諍{～友}眾{又，～人}種-{～作：種田}[6]淨=
tsʰ	[1]稱青={～年}清={～潔}蜻親{～家}[3]請={～求}[5]稱{又，對～}清銃{放～：開槍}沖{冒出}[6]□{穿}
s	[1]升={上～}聲={～明}星={～期}腥={血～}猩[2]成={～就}誠城={～隍}盛{～器}丞承={繼～}乘={～法}繩={準～}[3]省醒={清～}㾪=[4]□{嬌縱}[5]勝聖={～人}盛{又，豐～}乘{又，車～}性姓={～氏}[6]剩=
k	[1]耕{又，～牛}弓-{～箭}宮-{～廟}供-{口～}京={～師}驚={～}鯨涇經{～過}莖荊兢[2]窮-{～苦}[3]耿龔-{姓}拱-景憬境炯迥[5]供-{上供}警頸敬竟鏡競勁徑痙
kʰ	[1]筐-{竹～}眶-框-{鏡～}卿氫=輕={～易}傾[2]瓊-{～脂}窮{又，盤點，清理}[3]頃[4]虹{彩虹}[5]慶={～祝}罄{～盡}磬
ɡ	[1]□{鈴聲}[2]凝={～結}迎={～接}[4]硬=
h	[1]亨馨興{～旺}胸-{～部}兄=[2]恒{又，～星}橫={又}衡={～器}弘-{～一法師}刑形邢=型滎{～陽：地名}行={～為}雄-{又，指蛋的胚胎}螢王{見於同安地名“珩厝”和惠安地名“珩山”，兩地村民均以王姓為主}[4]杏幸悻[5]興{又，～致}[6]橫=行{又，品～}幸{俗，不～}
∅	[1]轟{～埃：塵土飛揚}應{～該}英瑛膺鷹鶯嬰={～兒}櫻纓=鸚{～鵡}雍{姓}[2]榮嶸縈螢={～火蟲}熒瑩塋營={～業}贏{～利}盈{～虧}楹{～聯}蠅{～頭}[3]影={～響}穎湧-{風～：風浪}永泳詠[5]應{又，答～}映{反～}蕹-{～菜}壅{～肥}[6]媵用-{～戶}
#iaŋ	
p	[1]砰[4]龐{又，大～：大個兒}[5]迸{俗，硬～～：硬邦邦}
pʰ	[2]蘋={～果}[3]□{以物顯耀}[5]迸{俗，裂開}
l	[2]凉={～粉}[5]亮={漂～}
tsʰ	[1]槍={機～}鏘{鏗～}[2]腸={臘～}橙{又，～汁}□{沖洗}[3]蹌{跛行}[5]唱={明～：事先講好}
s	[2]□{誰}[5]□{倒下}
kʰ	[1]腔=[5]勥{女性能幹}
ɡ	[1]鉚{～～仔：搖鈴}[5]□{俗，牙齒外突}
h	[3]響餉{發～：發薪金}
∅	[4]漾{在水中涮洗}
#iak	
p	[7]百={～合}柏={～油}逼炻{～火：烤火}壁伯={～仲}擘{巨～}迫[8]白={明～}愎{剛～}帛{玉～}舶擗{摑；鞭打}
pʰ	[7]碧拍={鼓～：鼓板}劈霹癖辟僻{～壤}泊{又，水～}珀魄[8]擗{又，摑}
b	[8]麥={～冬}脈=覓冪汩謐陌墨={～家}默{～寫}
t	[7]德得{心～}嫡{～系}的{又，～確}摘謫竹-{～竿}竺-[8]敵滌狄{姓}糴=笛=迪特宅=翟澤擇蟄{俗，驚～}值=擲{投～}軸{～承}擢{～升}
tʰ	[7]拆斥敕□{漂亮}踢惕剔陟
l	[7]勒{～令}肋{～骨}鰳□{昏倒}[8]力={～爭}歷={～史}瀝櫪靂碌{勞累}綠{～色}褥{～仔：褥子}
ts	[7]積=漬=瘠=脊=跡={事～}寂借叔-責={指～}簀仄窄織=燭-{蠟～}[8]賊=
tsʰ	[7]策冊={～封}測惻側廁{～身}尺={～牘}赤={～膊}刺{～中指：以中指侮辱人}觸{～惡：褻瀆}促{～短：縮短}戚七粟-{稻穀}膝{護～}[8]□{～布袋：抖布袋}
s	[7]塞=嗇穡瑟色蝨識室式拭軾釋飾適宿{成熟}粟{又，金～寺}昔惜=錫悉蟋息{休～}媳熄析浙晳[8]石=熟-{～手}碩=夕=汐=席=
k	[7]革格={～鬥}擊激戟棘[8]屐亟極局-{～長}劇-{～裂}
kʰ	[7]客=刻{吋～}克={～服}曲={唱～}隙=[8]咯{～紅：咯血}
ɡ	[8]逆玉-{～器}
h	[7]嚇{恐～}赫{～然}黑[8]核劃{計～}或惑獲肉-{～皮}域-{區～}蜮
∅	[7]扼=益={利～}溢={洋～}億憶={回～}抑{～制}臆{～造}[8]液{～體}繹驛譯易={又，貿～}役疫逸{～事}翼{～助}亦奕弈域=
#iɔŋ	
t	[1]張={開～}中={～間}忠[2]長={～空}腸={又，斷～草}場=重={～複}□{饞}[3]長={又，成～}[4]丈={～夫}杖仗重{～要}[5]悵長={又，多出}漲=帳=脹={膨～}中={又，看～}[6]仲
tʰ	[1]忡衷{～心}[2]蟲={冬～}[3]寵{得～}塚[4]丈{又}仗{又}杖{又}[5]暢悵{又}
l	[2]狼{又，～狽}良糧=量={測～}粱={高～}梁={棟～}涼={又}龍={～潭}隆{～重}娘=瓤=戎絨茸[3]兩={～性}倆{伎～}輛{車～}嚷壤攘冗[6]量{又，力～}亮諒釀{～造}讓
ts	[1]將{必～}漿=章={～節}漳=獐=樟=蟑=璋彰障{俗}終盅=鐘={～情}[2]崇{又，～武：惠安縣地名}從={服～}[3]獎={～勵}蔣=槳=掌={～握}種={～類}腫踵[5]將{又，大～}醬障幛眾{群～}種[6]狀{又，～元}
tsʰ	[1]昌={～盛}娼猖鯧=沖{～鋒}充槍={～林弾雨}[2]薔{～薇}嬙牆[3]廠敞搶[5]倡唱{～票}沖=匠=縱
s	[1]舂=商傷={受～}觴嵩相={互～}廂={西～}湘箱=襄鑲={～牙}[2]嘗=償常嫦裳=松={又，～木}祥詳翔瘍{齒～：牙垢}□{～仔：誰}[3]嘗{俗～試}償{俗，賠～}賞={獎～}上={～聲}聳慫想=[4]上={又，～山}象={～形}像={畫～}橡=[5]相={又，～貌}[6]尚={高～}上={又，～課}頌誦訟
k	[1]恭弓=躬宮={～殿}供={～應}疆韁僵薑=芎{川～}[2]強={～大}窮={無～}[3]龔=拱{推讓}栱{斗～}強={又，勉～}[5]供=[6]共={～同}
kʰ	[1]姜{又}羌{～族}腔{～調}穹[3]鞏恐
ɡ	[3]仰
h	[1]香={五～}鄉=薌={～劇}凶洶匈胸=[2]雄={英～}熊=[3]享響={又，反～}餉[5]向={方～}
∅	[1]央={中～}殃泱秧鞅鴦=雍=臃癰=擁傭慵容溶={～解}熔={～化}榕={～樹}蓉={芙～}融羊=洋={汪～}烊=佯徉揚={發～}楊=瘍={潰～}陽={太～}庸{～俗}[3]養={撫～}癢=氧仰{俗，敬～}甬勇恿湧{～現}踴蛹俑[5]養{又}樣=漾恙擁{俗，～護}[6]用={作～}傭{又，雇～}
#iɔk	
t	[7]竹={絲～}竺=築[8]逐{～漸}軸著{～重}
tʰ	[7]畜㜅搐蓄
l	[8]六={～親}陸{～地}錄碌{忙～}戮綠={～林}略{策～}掠{～奪}搦{揉搓}瘧{～疾}虐{～待}肉={～搏}辱褥{被～}若箬=弱
ts	[7]爵妁粥燭={花～}囑矚祝酌足[8]嚼=芍{又，～藥}
tsʰ	[7]觸{接～}促{～進}蹙淖雀={麻～}鵲捉{～拿}□{一小～}[8]躍{跳}
s	[7]叔=淑菽宿{又，住～}粟=縮{壓～}削=[8]勺芍=贖屬蜀孰熟={～悉}塾俗={風～}續鐲=
k	[7]腳鞠掬菊=[8]局=劇={戲～}
kʰ	[7]曲{彎～}蛐卻{退～}
ɡ	[7]□{吃}[8]瘧=虐={～待}玉-{～米}
h	[7]旭勖鬱{姓}
∅	[7]鬱約{節～}[8]鑰藥{芍～}育欲浴{淋～}籲{呼～}煜毓躍={～進}
#uaŋ	
h	[1]風{起～：颳風}
∅	[4]□{閒逛}
#ã	
pʰ	[1]□{火一下子燃燒起來}[5]怕泡{又，不堅實}
m	[1]哞{放聲哭}[2]媽{～～}麻{桑～}蟆{蛤～}[3]媽{又，祖母}馬={駿～}碼螞瑪[4]嘛{～是：也是}[6]罵
t	[1]擔-{竹～}丁{今}[2]重{又，重～：重複}[3]打{雙～}膽-{大～}疸{黃～}[4]淡-{鹹～：口重}[5]擔-{又，貨～}訂{～話：說話}賺{錯}
tʰ	[1]他{其～}她它[3]坦{平～}挺{托，扶}
n	[1]娜{人名用字}[2]藍-{姓}拿籃-{～球}林-{樹～}嚨{～喉}岩{俗，龍～：地名}[3]欖{橄～}哪娜{又}乃{如，像}拿{俗，～手}[4]乃{又，如果；僅}[5]那{～有：哪有}[6]乃{又，母～：不只}□{火舌上冒}
ts	[3]斬{半～：腰斬}嶄{齊～：整齊}[4]□{舀取}[5]蘸{～日：曬太陽}
tsʰ	[4]□{操辦}
s	[1]三-{～斤}三-衫{襯～}相{又，～共：幫助}[2]□{狗撲}
k	[1]柑-{紅～}橄-{俗，～欖}監-{～獄}[2]含{又，啊～：表驚奇的嘆詞}[3]敢-{～死}囝-{兒子}[5]酵-{～母}□{為什麼；什麼}
kʰ	[1]坩-{陶罐}[2]銜-{交～：交錯}
ŋ	[2]岩{龍～：地名}[3]雅{文～}
h	[2]含{又，天～鳥：黃昏}焓{～火：烤火}哈{嘆詞，表應答}[4]□{門～：門縫}
∅	[1]□{～～：喇叭}[2]涵{偏祖}[3]罯{靠近}[5]揞{彎下}[6]餡-{豆～}
#ãʔ	
m	[7]□{肉}
n	[7]□{凹}
s	[7]□{緊抱}
h	[7]□{熱氣或味道逼人}[8]合{～～：口頭上答應}
#ɔ̃	
m	[1]虻{俗，牛～}摸{又，用巴掌擊打}[2]毛{～筆}髦魔摩磨{～難}摹摸{又}[6]冒帽=磨={又}幕募暮慕戊[7]膜{又，貼緊，附著}瘼{老～～：人老而乾癟}[8]膜{又，腦～}
n	[2]挪{～用}[3]老{元～}姥佬娜惱腦{～膜}瑙[5]娜{又}懦{懶散}那怒
kʰ	[3]考拷烤可{認～}
ŋ	[2]訛俄娥峨蛾鵝吾{又}吳{又}蜈[3]我{忘～}[6]傲餓捂晤=捂臥
h	[2]乎{又，嘆詞，表驚訝或詢問}[3]好火{虛～}夥[4]呵{嘆詞，表應答}[5]好{又，喜～}貨
∅	[1]捂{俗，拍哄小孩入睡}[2]□{～～：兒語，睡覺}[5]惡{又，可～}誣{應～：發音不清}
#ɔ̃ʔ	
s	[8]□{貌～：沒趣}
#ẽ	
m	[2]妹{俗，～～：小妞}
n	[1]奶{又，～～：兒語，乳汁}
h	[1]□{嘆詞，表應諾}
#ẽʔ	
m	[7]咩{羊～～：羊}
h	[7]□{～過力：用力過度}[8]□{嘆詞，表疑問}
∅	[8]□{哭，叫}
#ĩ	
p	[1]繃-{～直}邊-{山～}鞭{皮～}[2]棚-{戲～}平-{～手}[3]扁-{～形}[4]辮{打辮子等}[5]變-{～面：變臉}[6]便{～罷}
pʰ	[1]篇{長～}偏-{欺負}[2]彭-{姓}澎-{～湖}平-{又，～地：平整土地}[5]片-{影～}
m	[1]□{～沙：抓沙}[2]盲-{青～：眼瞎}彌棉-{～花}綿-{～紙}暝-{暗～夜晩}[3]靡{～～之音}弭[4]弭{卻}[6]麵-{又，～粉}
t	[1]靪{後～：後跟}甜[2]纏-{糾～}[4]滇{替，滿}[5]□{假裝；使勁}[6]鄭-{姓}
tʰ	[1]天-{～氣}添-{～油}[5]□{頂}䋎-{縫補}
n	[1]爾{又，安～：這樣}奶{又，橡～：橡膠}拈[2]連-{黃～}簾{門～}尼妮妮{～絨}泥{又，印～}年-{今～}[3]爾{～後}邇耳={～機}你染{漂～}[6]輦{下～：地名}
ts	[1]櫼{楔子；硬塞}精-{妖～}晶-{水～}氈-{～帽}笙{玉～}爭-{相～}[2]錢-{～財}簷-{厝～：屋簷}[3]譾{幼小：不成熟}井-{水～}[4]靜-{暗～：暗中}[5]煎-{油炸}箭{射～}搢{插入，擠進}諍{爭辯}
tsʰ	[1]淒{～慘}親{～姆：親家母}青-{～色}生-{～漆}鮮-{～炒：一種烹調方法}星-{又，牛郎～}腥-{～氣}[2]前{又，探身}□{耀眼}[3]醒-{提～}[5]搢{向前沖}
s	[1]生-{又，先～}鉎{鑄鐵}[2]禪{東～：地名}鹽-{橄欖～：醃制的橄欖}[5]扇-{紙～}姓-{百～}[6]鹽-{又，醃製}
k	[1]更-{三～}庚-{～帖}羹-{肉～}堿{俗，～仔：純鹼}經{～布：織布}[2]舷{邊～：邊沿}[3]哽梗{桔～：中藥名}[5]見-{～面}
kʰ	[1]坑-{沙～}[2]鉗-{～工}
ŋ	[4]硬-{～性}
h	[5]獻{扔}硯-{墨～}
∅	[1]嬰-{～仔：嬰兒}[2]丸-{肉～}楹-{～仔：房梁}圓-{～規}[5]燕-{～仔：燕子}應{～誣：發音不清}院-{醫～}
#ĩʔ	
m	[7]物{又，什麼}
n	[7]鑷□{眨}[8]捏{～齒膏：擠牙膏}
s	[7]閃-{金～～}
∅	[7]□{芳～～：香噴噴}
#ãi	
m	[1]糜{稀飯，飯}[3]買={～辦}[5]賣={～老}邁
t	[2]□{象聲詞}
n	[3]乃{～至}奶[6]耐奈{～何}
ts	[3]怎{～樣}
tsʰ	[3]□{𣍐乃～：要不得}
h	[1]哼{又，～～呻：呻吟}
∅	[1]唉{～～呻：呻吟}
#ãiʔ	
t	[7]□{一～仔：一點兒}
h	[7]□{後悔}
∅	[8]□{叫}
#iã	
p	[1]兵-{～部}抨-{扔，摔}[2]平-{又，～仄}[3]丙-{～級}餅-{糕～}[5]摒-{傾倒，倒出}拼{～命}
pʰ	[1]𩩍{～支骨：肋骨}[2]平-{又，～本：贏回本錢}坪-{又，海～：海灘地}[3]丙-{又，量詞，片}
m	[2]名-{姓～}明-{又，清～}[6]命-{性～}
t	[2]呈-{～文}埕-{鹽～：鹽場}庭-{法～}[3]鼎-{大～：大鍋}[4]錠{俗，金～}[5]碇{船錨}[6]定-{～貨}
tʰ	[1]廳-{客～}聽-{～話}[2]呈-{又，～送}程-{姓}[5]疼{俗}
n	[2]娘-{母親}[3]嶺-{山～}領-{～帶}
ts	[1]精-{～肉}正-{～月}[2]成-{～年：將近一年}情-{親～：親戚}[3]䭕{淡}[5]正-{～好}[6]淨-{～角}
tsʰ	[1]□{～刺：好生事}清-{福～：地名}[2]成{又，陪送}[3]且{而～}請-{～客}[5]倩{～車：雇車}
s	[1]聲-{～音}[2]成-{又，幾～}城-{～牆}啥□{引誘}[3]甚{什麼}[5]聖-{靈驗}盛{穀倉}
k	[1]京-{～城}驚-{～寒：怕冷}[2]行-{～路}[4]件-{信～}[5]鏡-{～片}[6]健-{勇～：強健}
kʰ	[1]輕-{又，～薄：虛弱}[5]慶-{～賀}
ŋ	[2]迎-{～親}
h	[1]兄-{～妹}[2]衡{～厝：地名}顏{見於晉江地名“型厝”，村民以顏姓為主}燃-{～火：燒火}[3]顯{～目：顯眼}[5]向{搖晃}[6]艾{～條：艾絨}
∅	[1]纓-{請～}[2]營-{軍～}螢-{火～：螢火蟲}贏-{輸～}盈{大～：地名}[3]影-{電～}□{瞧}[4]揚{～扇：揮扇}[5]映{光～～：亮堂堂}
#iãʔ	
n	[7]□{又，～目：睜眼}懾{驚～：驚嚇，害怕}
h	[7]福{～埔：地名}□{～衫：拿衣服}
∅	[7]贏{又，～巾：背小孩用的布巾}[8]贏{又，背負}
#uã	
p	[1]般-{百～}搬-{～運}[2]盤-{～點}[3]阪{後～：地名}[4]拌{撲打}[5]半-{～斤}[6]絆{～馬索}
pʰ	[1]潘-{又，姓}[2]盤-{～墻：翻墻}[4]伴-{同～}[5]判-{裁～}販{～貨：商人買貨}
m	[1]幔{～衫：披衣}[2]麻-{～油}鰻{～魚}瞞{隱～}[3]滿-{～意}
t	[1]單-{貨～}端-{因～：緣故}[2]彈-{子～}壇{文～}[3]□{～～：總是}[4]懶{貧～：懶惰，原文作“惰”}彈{又，心～：心跳}[5]旦{戲～}[6]段-{～落}
tʰ	[1]攤-{～牌}灘-{沙～}[3]剷{～草：鋤草}[5]炭{火～}碳澶{滲開}
n	[2]欄-{報～}攔-{～車}[3]攤-{又，～麵：揉麵}[4]瀾{唾液}[6]懶{行動緩慢}爛-{破～}
ts	[1]煎-{～藥}[2]殘-{～春}泉-{山～}[3]怎{又，按怎：怎樣}盞{酒～}笊{～籬}[4]濺{～水：噴水}[5]煎{～油：熬油}[6]賤-{爛～}
tsʰ	[1]□{篾～：竹刺}[2]□{～草：拔草}[3]癬{狗～：一種皮癬}[4]鱔{黃鱔}[5]串{又，門～：門栓}
s	[1]山-{～泉}[3]產-{～房}散-{藥～}[5]傘{雨～}散-{又，解～}線-{白～}腺{腮～}
k	[1]乾-{菜～：乾菜}肝-{心～}杆{旗～}竿-{竹～}官-{軍～}棺-{～材}倌菅{草名}娟{女名用字}[2]寒-{～熱：瘧疾}[3]趕-{～緊}擀{～皮：去皮}[4]□{～水：提水}[5]觀{道～}[6]汗{流～}
kʰ	[1]寬-{急事～辦：急事緩辦}[3]款{匯～}[5]看-{～見}
h	[1]歡-{～喜}[2]鼾{起～：打鼾}[3]□{～～：模糊}[6]岸-{海～}援{～家：持家}焊{電～}
∅	[1]安-{南～：地名}鞍-{馬～}頞{鼻～}旱-{俗，苦～：乾旱}[3]碗-{飯～}腕-{手～}[4]旱-[5]案-{香～}晏-{早～：早晚}[6]換-{交～}
#iũ	
m	[5]謬
t	[1]張-{緊～；姓}[2]場-{操～}[3]長-{又，隊～}[4]丈-{又，姨～：姨夫}[5]漲-{～潮}帳-{～篷}脹-{～大}
n	[1]妞{～～：不大方}[2]量-{～地}梁-{姓}涼-{～傘}糧-{～食}娘-{又，姑～}[3]兩-{斤～}[5]量-{又，大～：大秤}讓-{～位}
ts	[1]漿-{豆～}章-{文～}樟-{～腦}[2]裳-{衣～}[3]蔣-{姓～}槳-{船～}獎-掌-{巴～}[4]上-{～落：上下}癢-{手～}[5]醬-{～油}幢{喜～}□{怎樣}[6]養-{頭～：頭胎}
tsʰ	[1]鯧-{～魚}槍-{標～}相-{又，像}[2]牆-{城～}薔-蓉{芙～：地名}楊-{又，～梅}揚{又，～粟：揚穀}[3]廠-{工～}搶-{～劫}[4]上-{又，～水：汲水}象-{～牙}橡-{～膠}像-{親～：相像}[5]唱-{～歌}嗆{拍啊～：打噴嚏}[6]匠-{工～}
s	[1]傷-{～大：太大}相-{又，～思}廂-{車～}箱-{鐵～}鑲-{～邊}[2]瘍{粘液；髒}[3]賞[4]鯗{鹹～：鹹魚}想-{～法}[5]相-{又，老～}[6]尚-{和～}
k	[1]薑-{～母：老薑}韁-獐-{山～：獐子}[2]強-{～過：勝過}[4]強{又，～骨：硬骨頭}
kʰ	[1]姜-{又，姓}腔-{地方～}[5]□{欠}
h	[1]鄉-{～裏}香-{～火}[3]響-{聲～}[5]□{那樣}
∅	[1]鴦-{鴛～}秧-{又，菜～：菜苗}[2]熔-溶-羊-{山～}洋-{南～}楊-{～柳}揚{又，～琴}陽-{洛～橋}[3]養-{又，～母}[5]樣-{～品}
#iũʔ	
h	[8]□{～～：心裏癢癢}
#ãuʔ	
m	[7]□{阿～：口中無牙}
n	[7]□{大口咬}
s	[7]□{芋頭等，不鬆}[8]□{嘮叨}
ŋ	[7]□{晃動}[8]□{～～吼：嘈雜亂叫}
h	[7]□{剝落}
∅	[8]□{蛤蟆等叫}
#uĩ	
p	[2]爿{半～：半邊}[3]反-{翻}
pʰ	[6]佩{～死：拼～}
m	[2]梅{～花}酶黴莓枚玫煤媒{～妁}[3]每[6]妹眛
t	[4]填-{又，墊}[5]店-{酒～}[6]橂{質地堅硬}
tʰ	[1]□{反～：變換}[3]體{又，～燈：觀燈}
n	[2]蓮-{～花}鐮{～仔：鐮刀}[3]撚{又，碾壓}[6]荔{～枝}楝-{苦～：苦楝子}
ts	[2]前-{～面}[3]指-{又，中～}
tsʰ	[1]千-{三～}清-{又，～明}[2]蠶-[3]筅-{竹～：竹刷子}□{心跳}
s	[1]芟{刪}先-{頭～：剛才；先頭}
k	[1]關-{～門}間-{房～}肩-{～頭}[2]懸-{高}[3]揀{挑選}襇{褶子}[5]慣-{～勢：習慣}間-{又，～樣：換個樣}[6]縣-{～城}快{又，～活}
ŋ	[2]龍{俗，～眼}[3]研-{碾}眼-{龍～}
h	[2]橫-{～直：橫豎}莖{芋～}[4]莧-{～菜}[5]橫{又，器具上的橫木}[6]惠{～安：地名}□{分別饋贈}
∅	[2]閑-{～時}[3]倚{又，靠近}
#uĩʔ	
m	[7]蜢{草～：蚱蜢}□{無牙咀嚼}[8]蟆{蛤～}
#iãu	
n	[1]貓[3]鳥嫋
ŋ	[1]□{搔癢}[8]□{蠕動}
h	[8]□{～～動：動個不停}
∅	[1]貓{又，～咪}
#uãi	
∅	[1]彎{～儂：騙人；起～：要無賴}
#uãiʔ	
s	[8]□{鋸}
kʰ	[8]□{咬吃}
∅	[7]□{使勁搖晃}
