#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
案	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴
班	pæn³¹²	pæn⁴¹²	pæn³¹²	pæn³¹²	pæ̃¹³	pæ̃¹³	pæ̃¹³	pæ̃¹³
八	pa³¹²	pa⁴¹²	pa³¹²	pa³¹²	pa¹³	pa¹³	pa¹³	pa¹³
扳	pæn³¹²	pæn⁴¹²	pæn³¹²	pæn³¹²	pæ̃¹³	pæ̃¹³	pæ̃¹³	pæ̃¹³
抹	ma³¹²	ma⁴¹²	ma³¹²	ma³¹²	ma¹³	ma¹³	ma¹³	ma¹³
慢	mæn⁴⁴	mæn⁴⁴	mæn⁴⁴	mæn⁴⁴	mæ̃⁴⁴	mæ̃⁴⁴	mæ̃⁴⁴	mæ̃⁴⁴
绽	tsʰæn⁴⁴	tʂʰæn⁴⁴	tsʰæn⁴⁴	tsʰæn⁴⁴	tsʰæ̃⁴⁴	tsʰæ̃⁴⁴	tsʰæ̃⁴⁴	tsʰæ̃⁴⁴
盏	tsæn⁵³	tʂæn⁵³	tsæn⁵³	tsæn⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³
铲	tsʰæn⁵³	tʂʰæn⁵³	tsʰæn⁵³	tsʰæn⁵³	tsʰæ̃⁵³	tsʰæ̃⁵³	tsʰæ̃⁵³	tsʰæ̃⁵³
察	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
山	sæn³¹²	ʂæn⁴¹²	sæn³¹²	sæn³¹²	sæ̃¹³	sæ̃¹³	sæ̃¹³	sæ̃¹³
铡	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
艰	tɕiæn³¹²	tɕiæn⁴¹²	tɕiæn³¹²	tɕiæn³¹²	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³
眼	tɕiæn⁵³	tɕiæn⁵³	tɕiæn⁵³	ȵiæn⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³
颜	iæn¹³	iæn¹³	iæn¹³	iæn¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³
瞎	xa³¹²	xa⁴¹²	xa³¹²	xa³¹²	xa¹³	xa¹³	xa¹³	xa¹³
闲	ɕiæn¹³	ɕiæn¹³	ɕiæn¹³	ɕiæn¹³	ɕiæ̃¹³	ɕiæ̃¹³	ɕiæ̃¹³	ɕiæ̃¹³
鞭	piæn³¹²	piæn⁴¹²	piæn³¹²	piæn³¹²	piæ̃¹³	piæ̃⁴	piæ̃¹³	piæ̃¹³
变	piæn⁴⁴	piæn⁴⁴	piæn⁴⁴	piæn⁴⁴	piæ̃⁴⁴	piæ̃⁴⁴	piæ̃⁴⁴	piæ̃⁴⁴
骗	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴
免	miæn⁵³	miæn⁵³	miæn⁵³	miæn⁵³	miæ̃⁵³	miæ̃⁵³	miæ̃⁵³	miæ̃⁵³
灭	miə³¹²	miə⁴¹²	miə³¹²	miə³¹²	miə¹³	miə¹³	miə¹³	miə¹³
碾	tɕiæn⁵³	tɕiæn⁵³	tɕiæn⁵³	ȵiæn⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³
连	liæn¹³	liæn¹³	liæn¹³	liæn¹³	liæ̃¹³	liæ̃¹³	liæ̃¹³	liæ̃¹³
列	miə³¹²	miə⁴¹²	miə³¹²	miə³¹²	miə¹³	miə¹³	miə¹³	miə¹³
剪	tsiæn⁵³	tsiæn⁵³	tsiæn⁵³	tɕiæn⁵³	tɕiæ̃⁵³	tsiæ̃⁵³	tɕiæ̃⁵³	tɕiæ̃⁵³
浅	tsʰiæn⁵³	tsʰiæn⁵³	tsʰiæn⁵³	tɕʰiæn⁵³	tɕʰiæ̃⁵³	tsʰiæ̃⁵³	tɕʰiæ̃⁵³	tɕʰiæ̃⁵³
贱	tsʰiæn⁴⁴	tsʰiæn⁴⁴	tsʰiæn⁴⁴	tɕʰiæn⁴⁴	tɕʰiæ̃⁴⁴	tsʰiæ̃⁴⁴	tɕʰiæ̃⁴⁴	tɕʰiæ̃⁴⁴
线	siæn⁴⁴	siæn⁴⁴	siæn⁴⁴	ɕiæn⁴⁴	ɕiæ̃⁴⁴	siæ̃⁴⁴	ɕiæ̃⁴⁴	ɕiæ̃⁴⁴
泄	siə⁴⁴	siə⁴⁴	siə⁴⁴	ɕiə⁴⁴	ɕiə⁴⁴	siə⁴⁴	ɕiə⁴⁴	ɕiə⁴⁴
癣	siæn⁵³	siæn⁵³	siæn⁵³	ɕiæn⁵³	ɕiæ̃⁵³	siæ̃⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³
展	tʂæn⁵³	tʂæn⁵³	tʂæn⁵³	tʂæn⁵³	tʂæ̃⁵³	tʂæ̃⁵³	tʂæ̃⁵³	tʂæ̃⁵³
哲	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³
缠	tʂʰæn¹³	tʂʰæn¹³	tʂʰæn¹³	tʂʰæn¹³	tʂʰæ̃¹³	tʂʰæ̃¹³	tʂʰæ̃¹³	tʂʰæ̃¹³
撤	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³	tʂʰə⁵³
战	tʂæn⁴⁴	tʂæn⁴⁴	tʂæn⁴⁴	tʂæn⁴⁴	tʂæ̃⁴⁴	tʂæ̃⁴⁴	tʂæ̃⁴⁴	tʂæ̃⁴⁴
折	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³
扇(~子)	ʂæn⁴⁴	ʂæn⁴⁴	ʂæn⁴⁴	ʂæn⁴⁴	ʂæ̃⁴⁴	ʂæ̃⁴⁴	ʂæ̃⁴⁴	ʂæ̃⁴⁴
然	ʐæn¹³	ʐæn¹³	ʐæn¹³	ʐæn¹³	ʐæ̃¹³	ʐæ̃¹³	ʐæ̃¹³	ʐæ̃¹³
热	ʐə³¹²	ʐə⁴¹²	ʐə³¹²	ʐə³¹²	ʐə¹³	ʐə¹³	ʐə¹³	ʐə¹³
件	tɕiæn⁴⁴	tɕiæn⁴⁴	tɕiæn⁴⁴	tɕiæn⁴⁴	tɕiæ̃⁴⁴	tɕiæ̃⁴⁴	tɕiæ̃⁴⁴	tɕiæ̃⁴⁴
孽	tɕiə³¹²	tɕiə⁴¹²	tɕiə³¹²	tɕiə³¹²	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³
蔫(~了)	tɕiæn³¹²	tɕiæn⁴¹²	tɕiæn³¹²	ȵiæn³¹²	ȵiæ̃¹³	ȵiæ̃¹³	ȵiæ̃¹³	ȵiæ̃¹³
演	iæn⁵³	iæn⁵³	iæn⁵³	iæn⁵³	iæ̃⁵³	iæ̃⁵³	iæ̃⁵³	iæ̃⁵³
拽(托)	iə³¹²	iə⁴¹²	iə³¹²	iə³¹²	iə¹³	iə¹³	iə¹³	iə¹³
匾	piæn⁵³	piæn⁵³	piæn⁵³	piæn⁵³	piæ̃⁵³	piæ̃⁵³	piæ̃⁵³	piæ̃⁵³
憋	piə³¹²	piə⁴¹²	piə³¹²	piə³¹²	piə¹³	piə¹³	piə¹³	piə¹³
片	pʰiæn⁵³	pʰiæn⁵³	pʰiæn⁵³	pʰiæn⁵³	pʰiæ̃⁵³	pʰiæ̃⁵³	pʰiæ̃⁵³	pʰiæ̃⁵³
辩	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæn⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴	pʰiæ̃⁴⁴
眠	miæn¹³	miæn¹³	miæn¹³	miæn¹³	miæ̃¹³	miæ̃¹³	miæ̃¹³	miæ̃¹³
典	tiæn⁵³	tiæn⁵³	tiæn⁵³	tiæn⁵³	tiæ̃⁵³	tiæ̃⁵³	tiæ̃⁵³	tiæ̃⁵³
天	tɕʰiæn³¹²	tɕʰiæn⁴¹²	tʰiæn³¹²	tʰiæn³¹²	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³
铁	tɕʰiə³¹²	tɕʰiə⁴¹²	tʰiə³¹²	tʰiə³¹²	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³
田	tɕʰiæn¹³	tɕʰiæn¹³	tʰiæn¹³	tʰiæn¹³	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³
电	tiæn⁴⁴	tiæn⁴⁴	tiæn⁴⁴	tiæn⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴
年	tɕiæn¹³	tɕiæn¹³	tɕiæn¹³	ȵiæn¹³	ȵiæ̃¹³	ȵiæ̃¹³	ȵiæ̃¹³	ȵiæ̃¹³
撵	tɕʰiæn⁵³	tɕʰiæn⁵³	tɕiæn⁵³	ȵiæn⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³
捏	tɕiə³¹²	tɕiə⁴¹²	tɕiə³¹²	ȵiə³¹²	ȵiə¹³	ȵiə¹³	ȵiə¹³	ȵiə¹³
节	tsiə³¹²	tsiə⁴¹²	tsiə³¹²	tɕiə³¹²	tɕiə¹³	tsiə¹³	tɕiə¹³	tɕiə¹³
千	tsʰiæn³¹²	tsʰiæn⁴¹²	tsʰiæn³¹²	tɕʰiæn³¹²	tɕʰiæ̃¹³	tsʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³
切	tsʰiə³¹²	tsʰiə⁴¹²	tsʰiə³¹²	tɕʰiə³¹²	tɕʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³
前	tsʰiæn¹³	tsʰiæn¹³	tsʰiæn¹³	tɕʰiæn¹³	tɕʰiæ̃¹³	tsʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³
截	tsʰiə¹³	tsʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³
先	siæn³¹²	siæn⁴¹²	siæn³¹²	ɕiæn³¹²	ɕiæ̃¹³	siæ̃¹³	ɕiæ̃¹³	ɕiæ̃¹³
肩	tɕiæn³¹²	tɕiæn⁴¹²	tɕiæn³¹²	tɕiæn³¹²	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³
结	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³
牵	tɕʰiæn³¹²	tɕʰiæn⁴¹²	tɕʰiæn³¹²	tɕʰiæn³¹²	tɕʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³
健	tɕʰiæn⁴⁴	tɕʰiæn⁴⁴	tɕʰiæn⁴⁴	tɕʰiæn⁴⁴	tɕʰiæ̃⁴⁴	tɕʰiæ̃⁴⁴	tɕʰiæ̃⁴⁴	tɕʰiæ̃⁴⁴
研	iæn¹³	iæn¹³	iæn¹³	iæn¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³
献	ɕiæn⁴⁴	ɕiæn⁴⁴	ɕiæn⁴⁴	ɕiæn⁴⁴	ɕiæ̃⁴⁴	ɕiæ̃⁴⁴	ɕiæ̃⁴⁴	ɕiæ̃⁴⁴
显	ɕiæn⁵³	ɕiæn⁵³	ɕiæn⁵³	ɕiæn⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³
堰	iæn⁴⁴	iæn⁴⁴	iæn⁴⁴	iæn⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴
噎	iə³¹²	iə⁴¹²	iə³¹²	iə³¹²	iə¹³	iə¹³	iə¹³	iə¹³
搬	pæn³¹²	pæn⁴¹²	pæn³¹²	pæn³¹²	pæ̃¹³	pæ̃¹³	pæ̃¹³	pæ̃¹³
绊	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴
拨	pə³¹²	pə⁴¹²	pə³¹²	pə³¹²	pə¹³	pə¹³	pə¹³	pə¹³
判	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴
泼	pʰə³¹²	pʰə⁴¹²	pʰə³¹²	pʰə³¹²	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³
伴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæn⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴	pʰæ̃⁴⁴
钹	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³	pʰə¹³
馒	mæn¹³	mæn¹³	mæn¹³	mæn¹³	mæ̃¹³	mæ̃¹³	mæ̃¹³	mæ̃¹³
满	mæn⁵³	mæn⁵³	mæn⁵³	mæn⁵³	mæ̃⁵³	mæ̃⁵³	mæ̃⁵³	mæ̃⁵³
抹	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³	mə⁵³
短	tuæn⁵³	tuæn⁵³	tuæn⁵³	tuæn⁵³	tuæ̃⁵³	tuæ̃⁵³	tuæ̃⁵³	tuæ̃⁵³
断	tʰuæn⁴⁴	tʰuæn⁴⁴	tʰuæn⁴⁴	tʰuæn⁴⁴	tʰuæ̃⁴⁴	tʰuæ̃⁴⁴	tʰuæ̃⁴⁴	tʰuæ̃⁴⁴
掇	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴	tuə⁴⁴
夺	tʰuə¹³	tʰuə¹³	tʰuə¹³	tʰuə¹³	tʰuə¹³	tʰuə¹³	tʰuə¹³	tʰuə¹³
暖	luæn⁵³	luæn⁵³	luæn⁵³	luæn⁵³	luæ̃⁵³	luæ̃⁵³	luæ̃⁵³	luæ̃⁵³
乱	luæn⁴⁴	luæn⁴⁴	luæn⁴⁴	luæn⁴⁴	luæ̃⁴⁴	luæ̃⁴⁴	luæ̃⁴⁴	luæ̃⁴⁴
攒	tsæn⁵³	tsæn⁵³	tsæn⁵³	tsæn⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³
窜	tsʰuæn⁴⁴	tsʰuæn⁴⁴	tsʰuæn⁴⁴	tsʰuæn⁴⁴	tsʰuæ̃⁴⁴	tsʰuæ̃⁴⁴	tsʰuæ̃⁴⁴	tsʰuæ̃⁴⁴
撮	tsuə³¹²	tsuə⁴¹²	tsuə³¹²	tsuə³¹²	tsuə¹³	tsuə¹³	tsuə¹³	tsuə¹³
蒜	suæn⁴⁴	suæn⁴⁴	suæn⁴⁴	suæn⁴⁴	suæ̃⁴⁴	suæ̃⁴⁴	suæ̃⁴⁴	suæ̃⁴⁴
官	kuæn³¹²	kuæn⁴¹²	kuæn³¹²	kuæn³¹²	kuæ̃¹³	kuæ̃¹³	kuæ̃¹³	kuæ̃¹³
括	kʰuə³¹²	kʰuə⁴¹²	kʰuə³¹²	kʰuə³¹²	kʰuə¹³	kʰuə¹³	kʰuə¹³	kʰuə¹³
款	kʰuæn⁵³	kʰuæn⁵³	kʰuæn⁵³	kʰuæn⁵³	kʰuæ̃⁵³	kʰuæ̃⁵³	kʰuæ̃⁵³	kʰuæ̃⁵³
玩	uæn¹³	uæn¹³	uæn¹³	væn¹³	uæ̃¹³	uæ̃¹³	uæ̃¹³	væ̃¹³
欢	xuæn³¹²	xuæn⁴¹²	xuæn³¹²	xuæn³¹²	xuæ̃¹³	xuæ̃¹³	xuæ̃¹³	xuæ̃¹³
豁	xuə³¹²	xuə⁴¹²	xuə³¹²	xuə³¹²	xuə¹³	xuə¹³	xuə¹³	xuə¹³
完	uæn¹³	uæn¹³	uæn¹³	væn¹³	uæ̃¹³	uæ̃¹³	uæ̃¹³	væ̃¹³
腕	uæn⁴⁴	uæn⁴⁴	uæn⁴⁴	væn⁴⁴	uæ̃⁴⁴	uæ̃⁴⁴	uæ̃⁴⁴	væ̃⁴⁴
活	xuə¹³	xuə¹³	xuə¹³	xuə¹³	xuə¹³	xuə¹³	xuə¹³	xuə¹³
撰	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴
拴	ʃʯaŋ³¹²	ʃʯaŋ⁴¹²	ʃʯæn³¹²	ʃʯaŋ³¹²	ʃʯæ̃¹³	ʃʯæ̃¹³	ʃʯæ̃¹³	ʃʯæ̃¹³
涮	ʃʯaŋ⁴⁴	ʃʯaŋ⁴⁴	ʃʯaŋ⁴⁴	ʃʯaŋ⁴⁴	ʃʯæ̃⁴⁴	ʃʯæ̃⁴⁴	ʃʯæ̃⁴⁴	ʃʯæ̃⁴⁴
刷	ʃʯa³¹²	ʃʯa⁴¹²	ʃʯa³¹²	ʃʯa³¹²	ʃʯa¹³	ʃʯa¹³	ʃʯa¹³	ʃʯa¹³
关	kuæn³¹²	kuæn⁴¹²	kuæn³¹²	kuæn³¹²	kuæ̃¹³	kuæ̃¹³	kuæ̃¹³	kuæ̃¹³
刮	kua³¹²	kua⁴¹²	kua³¹²	kua³¹²	kua¹³	kua¹³	kua¹³	kua¹³
还(~钱)	xuæn¹³	xuæn¹³	xuæn¹³	xuæn¹³	xuæ̃¹³	xuæ̃¹³	xuæ̃¹³	xuæ̃¹³
还(~有)	xæn¹³	xæn¹³	xæn¹³	xæn¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³
湾	uæn³¹²	uæn⁴¹²	uæn³¹²	væn³¹²	uæn¹³	uæn¹³	uæn¹³	væn¹³
反	fæn⁵³	fæn⁵³	fæn⁵³	fæn⁵³	fæ̃⁵³	fæ̃⁵³	fæ̃⁵³	fæ̃⁵³
发(头~)	faŋ³¹²	faŋ⁴¹²	fa³¹²	faŋ³¹²	fa¹³	fa¹³	fa¹³	fa¹³
翻	fæn³¹²	fæn⁴¹²	fæn³¹²	fæn³¹²	fæ̃¹³	fæ̃¹³	fæ̃¹³	fæ̃¹³
饭	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴
罚	fa¹³	fa¹³	fa¹³	fa¹³	fa¹³	fa¹³	fa¹³	fa¹³
晚	uæn⁵³	uæn⁵³	uæn⁵³	væn⁵³	uæ̃⁵³	uæ̃⁵³	uæ̃⁵³	væ̃⁵³
泉	tɕʰyæn¹³	tɕʰyæn¹³	tɕʰyæn¹³	tɕʰyæn¹³	tɕʰyæ̃¹³	tɕʰyæ̃¹³	tɕʰyæ̃¹³	tɕʰyæ̃¹³
选	ɕyæn⁵³	ɕyæn⁵³	ɕyæn⁵³	ɕyæn⁵³	ɕyæ̃⁵³	ɕyæ̃⁵³	ɕyæ̃⁵³	ɕyæ̃⁵³
雪	ɕyə³¹²	ɕyə⁴¹²	ɕyə³¹²	ɕyə³¹²	ɕyə¹³	ɕyə¹³	ɕyə¹³	ɕyə¹³
旋(~吃~做)	ɕyæn⁴⁴	ɕyæn⁴⁴	ɕyæn⁴⁴	ɕyæn⁴⁴	ɕyæ̃⁴⁴	ɕyæ̃⁴⁴	ɕyæ̃⁴⁴	ɕyæ̃⁴⁴
转(~圈)	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæn⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴
椽	tʃʰʯæn¹³	tʃʰʯæn¹³	tʃʰʯæn¹³	tʃʰʯæn¹³	tʃʰʯæ̃¹³	tʃʰʯæ̃¹³	tʃʰʯæ̃¹³	tʃʰʯæ̃¹³
篆	tʃʰʯæn⁴⁴	tʃʰʯæn⁴⁴	tʃʯæn⁴⁴	tʃʰʯæn⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴	tʃʯæ̃⁴⁴
专	tʃʯæn³¹²	tʃʯæn⁴¹²	tʃʯæn³¹²	tʃʯæn³¹²	tʃʯæ̃¹³	tʃʯæ̃¹³	tʃʯæ̃¹³	tʃʯæ̃¹³
喘	tʃʰʯæn⁵³	tʃʰʯæn⁵³	tʃʰʯæn⁵³	tʃʰʯæn⁵³	tʃʰʯæ̃⁵³	tʃʰʯæ̃⁵³	tʃʰʯæ̃⁵³	tʃʰʯæ̃⁵³
船	ʃʯæn¹³	ʃʯæn¹³	ʃʯæn¹³	ʃʯæn¹³	ʃʯæ̃¹³	ʃʯæ̃¹³	ʃʯæ̃¹³	ʃʯæ̃¹³
说	ʃʯə³¹²	ʃʯə⁴¹²	ʃʯə³¹²	ʃʯə³¹²	ʃʯə¹³	ʃʯə¹³	ʃʯə¹³	ʃʯə¹³
软	ʒʯæn⁵³	ʒʯæn⁵³	ʒʯæn⁵³	ʒʯæn⁵³	ʒʯæ̃⁵³	ʒʯæ̃⁵³	ʒʯæ̃⁵³	ʒʯæ̃⁵³
卷	tɕyæn⁵³	tɕyæn⁵³	tɕyæn⁵³	tɕyæn⁵³	tɕyæ̃⁵³	tɕyæ̃⁵³	tɕyæ̃⁵³	tɕyæ̃⁵³
劝	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴
圈(猪~)	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæn⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴	tɕʰyæ̃⁴⁴
橛	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³
元	ʑyæn¹³	ʑyæn¹³	ʑyæn¹³	ʑyæn¹³	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³
月	ʑyə³¹²	ʑyə⁴¹²	ʑyə³¹²	ʑyə³¹²	ʑyə¹³	ʑyə¹³	ʑyə¹³	ʑyə¹³
冤	ʑyæn³¹²	ʑyæn⁴¹²	ʑyæn³¹²	ʑyæn³¹²	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³
圆	ʑyæn¹³	ʑyæn¹³	ʑyæn¹³	ʑyæn¹³	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³	ʑyæ̃¹³
远	ʑyæn⁵³	ʑyæn⁵³	ʑyæn⁵³	ʑyæn⁵³	ʑyæ̃⁵³	ʑyæ̃⁵³	ʑyæ̃⁵³	ʑyæ̃⁵³
沿	iæn¹³	iæn¹³	iæn¹³	iæn¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³
越	ʑyə³¹²	ʑyə⁴¹²	ʑyə³¹²	ʑyə³¹²	ʑyə¹³	ʑyə¹³	ʑyə¹³	ʑyə¹³
犬	tɕʰyæn⁵³	tɕʰyæn⁵³	tɕʰyæn⁵³	tɕʰyæn⁵³	tɕʰyæ̃⁵³	tɕʰyæ̃⁵³	tɕʰyæ̃⁵³	tɕʰyæ̃⁵³
缺	tɕʰyə³¹²	tɕʰyə⁴¹²	tɕʰyə³¹²	tɕʰyə³¹²	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³	tɕʰyə¹³
血	ɕiə³¹²	ɕiə⁴¹²	ɕiə³¹²	ɕiə³¹²	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³
穴	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³	ɕiə¹³
吞	tʰəŋ³¹²	tʰəŋ⁴¹²	tʰəŋ³¹²	tʰəŋ³¹²	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³	tʰəŋ¹³
根	kəŋ³¹²	kəŋ⁴¹²	kəŋ³¹²	kəŋ³¹²	kəŋ¹³	kəŋ¹³	kəŋ¹³	kəŋ¹³
很	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³	xəŋ⁵³
恩	kəŋ³¹²	kəŋ⁴¹²	kəŋ³¹²	kəŋ³¹²	kəŋ¹³	kəŋ¹³	kəŋ¹³	kəŋ¹³
宾	piŋ³¹²	piŋ⁴¹²	piŋ³¹²	piŋ³¹²	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³
必	pi³¹²	pi⁴¹²	pi³¹²	pi³¹²	pi¹³	pi¹³	pi¹³	pi¹³
匹	pʰi⁵³	pʰi⁵³	pʰi⁵³	pʰi⁵³	pʰi⁵³	pʰi⁵³	pʰi⁵³	pʰi⁵³
频	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³
邻	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³
进	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴
亲	tsʰiŋ³¹²	tsʰiŋ⁴¹²	tsʰiŋ³¹²	tɕʰiŋ³¹²	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³
辛	siŋ³¹²	siŋ⁴¹²	siŋ³¹²	ɕiŋ³¹²	ɕiŋ¹³	siŋ¹³	ɕiŋ¹³	ɕiŋ¹³
悉	si³¹²	si⁴¹²	si³¹²	ɕi³¹²	ɕi¹³	ɕi¹³	ɕi¹³	ɕi¹³
镇	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴
侄	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
