汉字	注释	环县甜水	环县环城	环县车道	庆城庆城	庆城桐川	庆城太白梁	华池柔远	华池乔川	合水西华池	合水太白	合水段家集	西峰西街	西峰肖金	镇原城关	镇原新城	镇原三岔	宁县新宁	宁县早胜	宁县盘克	正宁山河	正宁宫河	正宁五顷原	正宁三嘉	泾川泾明	泾川城关	泾川玉都	灵台中台	灵台邵寨	华亭东华	华亭神峪	崇信锦屏	崇信木林	崇信新窑	崆峒柳湖汉	崆峒柳湖回	崆峒香莲	崆峒大秦
弱		꜁ʐuə	꜀ʐuɤ	꜀ʐuə	꜀ʐuo	꜀ʐuo	꜀ʒo	꜀ʐuo	꜀ʐuə	꜀ʐuo	꜀ʐuə	꜀ʒo	꜀ʒʒ̍ʷo	꜀ʒo	꜀zuo	꜀zuo	꜀zuə	꜀ʒo	꜀ʒo	꜀ʒo	꜀ʒɤ	꜀ʒo	꜀vo	꜀ʒo	꜀zuə	꜀zuə	꜀zuə	꜀zuo	꜀ʒo	꜀ʐuo	꜀ʐuo	꜀ʒʒ̍ʷo	꜀zuo	꜀ʐuo	꜀vɤ	꜀vɤ	꜀vɤ	꜀ʒo
脚		꜁tɕyə	꜀tɕyɤ	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyɤ	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyə	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyɤ	꜀tɕyɤ	꜀tɕyɤ	꜀tɕyo
虐		꜀lyə/꜀yə	꜀yɤ	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yə	꜀yo	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yə	꜀yo	꜀yo	꜀yo	꜀lyɤ	꜀yo	꜀yo	꜀yo	꜀yə	꜀yə	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yɤ	꜀yɤ	꜀yɤ	꜀yo
向		ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄	ɕiɑŋ꜄
约		꜀yə	꜀yɤ	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yə	꜀yo	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yə	꜀yo	꜀yo	꜀yo	꜀yɤ	꜀yo	꜀yo	꜀yo	꜀yə	꜀yə	꜀yə	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yo	꜀yɤ	꜀yɤ	꜀yɤ	꜀yo
跃		iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄	iɔ꜄
光		꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ	꜀kuɑŋ
郭		꜁kuə	꜀kuɤ	꜁kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜁kuə	꜀kuo	꜁kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜁kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuɤ	꜀kuo	꜀kuo	꜀kuo	꜀kuə	꜀kuə	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuɤ	꜀kuɤ	꜀kuɤ	꜀kuo
慌		꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ	꜀xuɑŋ
劐		꜀xuə	꜀xuɤ	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuo	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuɤ	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuə	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuɤ	꜀xuɤ	꜀xuɤ	꜀xuo
黄		꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ	꜁xuɑŋ
方		꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ
放		fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄	fɑŋ꜄
芳		꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ
纺		꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ
访		꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ	꜂fɑŋ
房		꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ	꜁fɑŋ
筐		꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ	꜀kʰuɑŋ
狂		꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ	꜁kʰuɑŋ
王		꜁vɑŋ	꜁uɑŋ	꜁vɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁vɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁vɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁vɑŋ	꜁vɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁uɑŋ	꜁vɑŋ	꜁uɑŋ
绑		꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ	꜂pɑŋ
剥		꜁puə	꜀puɤ	꜀puə	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po	꜀puə	꜀po剥削/꜀pɔ剥开，剥皮	꜀puə	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀puə	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀puɤ剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀puə剥削/꜀pɔ剥开，剥皮	꜀pə剥削/꜀pɔ剥开，剥皮	꜀pə剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀po剥削/꜀pɔ剥开，剥皮	꜀pɤ剥削/꜀pɔ剥开，剥皮	꜀pɤ	꜀pɤ剥削/꜀pɔ剥开，剥皮	꜀po
胖		pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄
棒		pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pʰɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pɑŋ꜄	pʰɑŋ꜄
攮		꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂lɑŋ	꜂nɑŋ	꜂lɑŋ	꜂lɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ	꜂nɑŋ
桌		꜁tʂuə	꜀tʂuɤ	꜀tʂuə	꜀tʂuo	꜀tʂuo	꜀tʃo	꜀tʂuo	꜀tʂuə	꜀tʂuo	꜀tʂuə	꜀tʃo	꜀tʃʒ̍ʷo	꜀tʃo	꜀tsuo	꜀tsuo	꜀tsuə	꜀tʃo	꜀tʃo	꜀tʃo	꜀tʃɤ	꜀tʃo	꜀pfo	꜀tʃo	꜀tsuə	꜀tsuə	꜀tsuə	꜀tsuo	꜀tʃo	꜀tʂuo	꜀tʂuo	꜀tʃʒ̍ʷo	꜀tsuo	꜀tʂuo	꜀tʂuɤ	꜀tfɤ	꜀tʂuɤ	꜀tsuo
戳		꜁tʂʰuə	꜀tʂʰuɤ	꜀tʂʰuə	꜀tʂʰuo	꜀tʂʰuo	꜀tʃʰo	꜀tʂʰuo	꜀tʂʰuə	꜀tʂʰuo	꜀tʂʰuə	꜀tʃʰo	꜀tʃʰʒ̍ʷo	꜀tʃʰo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuə	꜀tʃʰo	꜀tʃʰo	꜀tʃʰo	꜀tʃʰɤ	꜀tʃʰo	꜀pfho	꜀tʃʰo	꜀tsʰuə	꜀tsʰuə	꜀tsʰuə	꜀tsʰuo	꜀tʃʰo	꜀tʂʰuo	꜀tʂʰuo	꜀tʃʰʒ̍ʷo	꜀tsʰuo	꜀tʂʰuo	꜀tʂʰuɤ	꜀tfhɤ	꜀tʂʰuɤ	꜀tsʰuo
撞		tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʃʰɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʃʰɑŋ꜄	tʃʰʒ̍ʷɑŋ꜄	tʃʰɑŋ꜄	tsʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	pfhɑŋ꜄	tʃʰɑŋ꜄	tʃʰʒ̍ʷɑŋ꜄	tʃʰɑŋ꜄	tʃʰɑŋ꜄	pfhɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tʃʰʒ̍ʷɑŋ꜄	tʃʰɑŋ꜄	tʂʰuɑŋ꜄	tʂʰuɑŋ꜄	tfhɑŋ꜄	tʂʰuɑŋ꜄	tʃʰɑŋ꜄
窗		꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʃʰɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʃʰɑŋ	꜀tʃʰʒ̍ʷɑŋ	꜀tʃʰɑŋ	꜀tsʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀pfhɑŋ	꜀tʃʰɑŋ	꜀tʃʰʒ̍ʷɑŋ	꜀tʃʰɑŋ	꜀tʃʰɑŋ	꜀pfhɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tʃʰʒ̍ʷɑŋ	꜀tʃʰɑŋ	꜀tʂʰuɑŋ	꜀tʂʰuɑŋ	꜀tfhɑŋ	꜀tʂʰuɑŋ	꜀tʃʰɑŋ
镯		꜁tʂuə	꜁tsuɤ	꜁tsuə	꜁tsuo	꜁tsuo	꜁tsʰuo	꜁tsuo	꜁tsuə	꜁tsuo	꜁tsʰuə	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuə	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuɤ	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuə	꜁tsʰuə	꜁tsʰuə	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tsʰuo	꜁tʃʰʒ̍ʷo	꜁tsʰuo	꜁tsʰuo	꜁tsuɤ	꜁tfhɤ	꜁tsʰuɤ	꜁tsʰuo
双		꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʃuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʃuɑŋ	꜀ʃʒ̍ʷɑŋ	꜀ʃɑŋ	꜀sɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀fɑŋ	꜀ʃɑŋ	꜀ʃʒ̍ʷɑŋ	꜀ʃɑŋ	꜀ʃɑŋ	꜀fɑŋ	꜀ʂuɑŋ	꜀ʂuɑŋ	꜀ʃʒ̍ʷɑŋ	꜀ʃɑŋ	꜀ʂuɑŋ	꜀fɑŋ	꜀fɑŋ	꜀fɑŋ	꜀ʃɑŋ
江		꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ	꜀tɕiɑŋ
讲		꜂tɕiɑŋ/꜂kɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ	꜂tɕiɑŋ
角		꜁tɕyə/꜁kə	꜀tɕyɤ/꜁kuɤ	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyə	꜀tɕyə	꜀tɕyə	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyo	꜀tɕyɤ	꜀tɕyɤ	꜀tɕyɤ	꜀tɕyo
