汉字	罗马字	IPA	注释																
忘	bong7	boŋ˨˨	(文)																
網	bang7	baŋ˨˨																	
望	bang7	baŋ˨˨																	
妄	bong7	boŋ˨˨																	
匡	khong1	kʰoŋ˧˧																	
匡	kheng1	kʰeŋ˧˧																	
筐	kheng1	kʰeŋ˧˧	(白)																
筐	khong1	kʰoŋ˧˧	(文)																
框	kheng1	kʰeŋ˧˧	(白)																
框	khong1	kʰoŋ˧˧	(文)																
狂	khong5	kʰoŋ˩˨																	
狂	kheng5	kʰeŋ˩˨																	
況	hong2	hoŋ˥˨																	
況	khong2	kʰoŋ˥˨	又																
況	kheng2	kʰeŋ˥˨																	
枉	ong2	oŋ˥˨																	
枉	eng2	eŋ˥˨																	
王	ong5	oŋ˩˨																	
王	eng5	eŋ˩˨																	
往	eng2	eŋ˥˨	别往年，往会受前入声pat影响为teŋ2																
往	ong2	oŋ˥˨	往来																
旺	ong7	oŋ˨˨																	
旺	eng7	eŋ˨˨																	
郭	kueh4	kueh˦˨																	
擴	khok4	kʰok˦˨																	
廓	khok4	kʰok˦˨																	
霍	hok4	hok˦˨																	
藿	hok4	hok˦˨																	
縛	pak8	pak˩˧	缚骹:缠足																
縛	suinn3	suĩ˨˩	(训)束缚																
邦	pang1	paŋ˧˧																	
綁	pang2	paŋ˥˨																	
胖	phong3	pʰoŋ˨˩	(白)胖肚:贬义吃																
胖	phang3	pʰaŋ˨˩																	
龐	phiang5	pʰiaŋ˩˨	庞庞:胖																
龐	phang5	pʰaŋ˩˨																	
棒	pang7	paŋ˨˨																	
蚌	pang7	paŋ˨˨																	
樁	tseng1	tseŋ˧˧	椿臼面tseŋ1 kʰu7 mi7																
撞	tseng1	tseŋ˧˧																	
撞	tsheng7	tsʰeŋ˨˨	碰见																
撞	tong7	toŋ˨˨																	
撞	long7	loŋ˨˨	同toŋ7																
窗	tʰang1	tʰaŋ˧˧																	
雙	sng1	sŋ˧˧	(白)地名:山格镇双坑村sŋ1 kʰɛ̃1																
雙	siang1	siaŋ˧˧	(文)双春:闰年又带闰月，传统认为这时是大吉，动到风水相关(拾骨，徙新厝，买银等)都该在双春最好																
雙	seng1	seŋ˧˧																	
江	kang1	kaŋ˧˧																	
肛	kng1	kŋ˧˧																	
扛	kng1	kŋ˧˧																	
講	kong2	koŋ˥˨																	
講	kang2	kaŋ˥˨	(文)讲究																
講	kng2	kŋ˥˨	(白)																
港	kang2	kaŋ˥˨																	
降	kang3	kaŋ˨˩																	
降	hang5	haŋ˩˨																	
虹	kheng7	kʰeŋ˨˨	天虹																
腔	khiunn1	kʰiũ˧˧	腔调																
腔	khang1	kʰaŋ˧˧	鼻腔耳腔喙腔																
項	hang7	haŋ˨˨																	
巷	hang7	haŋ˨˨																	
剝	pak4	pak˦˨																	
駁	pak4	pak˦˨	(白)驳壳铳																
駁	pok4	pok˦˨																	
璞	phok4	pʰok˦˨																	
雹	phauh8	pʰauʔ˩˧	冰雹																
卓	toh4	toʔ˦˨	姓氏，定居于古楼敦睦村																
桌	toh4	toʔ˦˨																	
琢	tok4	tok˦˨																	
啄	teh4	teh˦˨	啄食:鸡啄菜																
啄	tok4	tok˦˨	啄交睡																
戳	tshak8	tsʰak˩˧																	
戳	tshok8	tsʰok˩˧	邮戳																
濁	tak8	tak˩˧	(白)形容发物:猪头冇tak8 tak8，食了解过敏																
濁	tsok8	tsok˩˧	繁杂																
捉	tsok4	tsok˦˨																	
鐲	soh8	soʔ˩˧	手镯仔																
朔	sok4	sok˦˨																	
覺	kak4	kak˦˨																	
角	kak4	kak˦˨																	
墼	kat4	kat˦˨	塗墼厝:用土块搭建的房子																
餃	kiau2	kiau˥˨																	
確	khak4	kʰak˦˨																	
殼	khak4	kʰak˦˨																	
嶽	gak8	gak˩˧	监狱																
岳	gak8	gak˩˧	山岳																
學	oh8	oʔ˩˧	(白)学堂																
學	hak8	hak˩˧	(文)学生																
握	ak4	ak˦˨	掌握																
握	at4	at˦˨	握手																
崩	pang5	paŋ˩˨	倒塌:新建村崩坎湖，豆坪村大崩																
朋	peng5	peŋ˩˨																	
登	teng1	teŋ˧˧																	
燈	teng1	teŋ˧˧																	
等	teng2	teŋ˥˨																	
等	tan2	tan˥˨																	
凳	teng3	teŋ˨˩																	
滕	tʰin5	tʰin˩˨	滕水滕茶																
藤	tin5	tin˩˨																	
騰	tʰng7	tʰŋ˨˨																	
疼	tʰiann3	tʰiã˨˩																	
謄	tʰeng5	tʰeŋ˩˨																	
鄧	teng7	teŋ˨˨																	
能	leng5	leŋ˩˨																	
增	tseng1	tseŋ˧˧																	
增	tsan1	tsan˧˧																	
憎	tseng1	tseŋ˧˧																	
曾	tsan1	tsan˧˧	(白)曾姓																
曾	tseng1	tseŋ˧˧																	
曾	tseng5	tseŋ˩˨	曾经																
層	tsan5	tsan˩˨	三层仔																
層	tsian5	tsian˩˨	(文)地名:文峰镇前山村也有写作层山																
層	teng5	teŋ˩˨																	
贈	tsan7	tsan˨˨	赠助																
贈	tseng7	tseŋ˨˨																	
僧	tseng1	tseŋ˧˧																	
肯	kheng2	kʰeŋ˥˨																	
恆	an5	an˩˨	(训)紧紧																
恆	heng5	heŋ˩˨																	
冰	peng1	peŋ˧˧																	
憑	peng5	peŋ˩˨																	
憑	pin5	pin˩˨	同peŋ5																
凌	leng5	leŋ˩˨																	
菱	leng5	leŋ˩˨	菠薐仔																
陵	leng5	leŋ˩˨																	
徵	teng1	teŋ˧˧																	
澄	teng5	teŋ˩˨																	
澄	tʰeng5	tʰeŋ˩˨	地名:九峰镇澄溪																
懲	tin5	tin˩˨																	
橙	tshiam5	tsʰiam˩˨																	
瞪	tɛnn3	tɛ̃˨˩	瞪目珠																
蒸	tsin1	tsin˧˧																	
拯	tsin2	tsin˥˨																	
證	tsin3	tsin˨˩	证明，证据																
證	tseng3	tseŋ˨˩	又																
症	tsin3	tsin˨˩																	
稱	tsheng1	tsʰeŋ˧˧	称呼																
稱	tshin3	tsʰin˨˩	对称，称重																
秤	tshin3	tsʰin˨˩	秤仔																
乘	seng5	seŋ˩˨																	
乘	sin3	sin˨˩	乘势																
繩	sin5	sin˩˨																	
剩	sin7	sin˨˨																	
剩	sun7	sun˨˨	(替)																
剩	tshun7	tsʰun˨˨	(训)除夕夜当晚会把饭剩下留到初一早上食用，以tsʰun7为春，寓意来年有tsʰun7有春																
升	seng1	seŋ˧˧																	
勝	seng3	seŋ˨˩																	
勝	sin3	sin˨˩	地名:南胜县																
承	seng5	seŋ˩˨																	
丞	seng5	seŋ˩˨																	
仍	jeng5	jeŋ˩˨																	
扔	jeng1	jeŋ˧˧																	
兢	kin1	kin˧˧																	
凝	gin5	gin˩˨																	
興	hin1	hin˧˧	兴旺																
興	hin3	hin˨˩	兴趣																
興	heng1	heŋ˧˧	兴旺																
興	heng3	heŋ˨˩	兴趣																
應	in3	in˨˩	(白)回复																
應	eng3	eŋ˨˩	(文)应答																
應	eng1	eŋ˧˧	应该																
鷹	eng1	eŋ˧˧																	
蠅	sin5	sin˩˨	胡蝇旋屎疕:1.爱不释手 2.纠缠不清																
孕	in7	in˨˨																	
北	pak4	pak˦˨																	
墨	bak8	bak˩˧																	
默	bek4	bek˦˨																	
德	tek4	tek˦˨																	
得	tit4	tit˦˨	(白)得到																
得	tek4	tek˦˨	(文)																
特	tek8	tek˩˧																	
肋	lek8	lek˩˧																	
勒	lek8	lek˩˧	阿肥勒仔																
則	tsek4	tsek˦˨																	
則	tsiah4	tsiaʔ˦˨	(替)这么																
賊	tshat8	tsʰat˩˧	贼仔																
賊	tsat8	tsat˩˧	墨贼bat4 tsat8																
塞	tʰat4	tʰat˦˨	(白)1.堵住 2.狼吞虎咽																
塞	sat4	sat˦˨	(白)塞车，塞鼻																
塞	sek4	sek˦˨	(文)闭塞																
塞	seh4	seh˦˨	(训)缝隙中塞入																
塞	tsinn1	tsĩ˧˧	(训)硬塞																
刻	khek4	kʰek˦˨																	
刻	khat4	kʰat˦˨	(白)雕刻:刻木，刻石头																
克	khek4	kʰek˦˨	(文)刻苦																
黑	hek4	hek˦˨	很少用此字，经常训做乌																
逼	pek4	pek˦˨																	
逼	piak4	piak˦˨	煏																
力	lat8	lat˩˧	(白)出力																
力	lek8	lek˩˧	(文)努力																
即	tsit4	tsit˦˨																	
鯽	tsit4	tsit˦˨	鲫仔鱼																
鯽	tsak4	tsak˦˨	地域差异，同tsit4																
稷	tsit4	tsit˦˨																	
息	sit4	sit˦˨																	
熄	sit4	sit˦˨	熄灯																
直	tit8	tit˩˧	条直																
值	tat8	tat˩˧	(白)无所值																
值	tit8	tit˩˧	(文)值日，数值																
側	tshek4	tsʰek˦˨																	
測	tshek4	tsʰek˦˨																	
惻	tshek4	tsʰek˦˨																	
色	sek4	sek˦˨																	
嗇	sek4	sek˦˨																	
嗇	sinn3	sĩ˨˩	(训)ŋi3 sĩ3:吝啬																
織	tsit4	tsit˦˨	针织:针线活																
職	tsit4	tsit˦˨																	
職	tsip4	tsip˦˨																	
食	tsiah8	tsiaʔ˩˧	(白)食新ian1:尝鲜																
食	sit8	sit˩˧	(文)																
食	khe3	kʰe˨˩	(训)啃咬:kʰe3骨头																
食	ham3	ham˨˩	(训)贬义吃:ham3 tou2，应是含肚																
食	tsheh8	tsʰeh˩˧	(训)狼吞虎咽																
食	kut8	kut˩˧	(训)一口接一口:kut8kut8叫																
食	mauh4	mauʔ˦˨	(训)没牙齿的咀嚼																
食	nauh4	nauʔ˦˨	(训)同mauʔ4																
蝕	sih8	siʔ˩˧	蚀本:亏本																
蝕	sit8	sit˩˧	侵蚀																
蝕	ih8	iʔ˩˧	(训)蚀指iʔ7 tsai2:指头因浸水过久溃烂																
識	sit4	sit˦˨																	
式	sit4	sit˦˨																	
飾	sit4	sit˦˨																	
殖	sit8	sit˩˧																	
植	sit8	sit˩˧																	
棘	kit4	kit˦˨																	
極	kit8	kit˩˧																	
極	kip8	kip˩˧	积极tsek4 kip8																
憶	ek4	ek˦˨																	
億	ek4	ek˦˨																	
抑	ah4	aʔ˦˨	连词:还是，或者																
抑	ek4	ek˦˨																	
弋	ek8	ek˩˧																	
翼	sit8	sit˩˧																	
弘	heng5	heŋ˩˨																	
弘	hong5	hoŋ˩˨																	
國	kok4	kok˦˨																	
或	hek8	hek˩˧																	
惑	hek8	hek˩˧																	
域	hek8	hek˩˧																	
烹	pheng1	pʰeŋ˧˧																	
彭	phɛnn5	pʰɛ̃˩˨	(白)地名:彭林pʰɛ̃5 na5																
彭	pheng5	pʰeŋ˩˨																	
膨	pheng5	pʰeŋ˩˨	膨胀																
膨	phong5	pʰoŋ˩˨	pʰin1 pʰoŋ5:康乐果																
膨	phong7	pʰoŋ˨˨	鼓起来:膨皮																
膨	phong3	pʰoŋ˨˩	(替)																
膨	hang3	haŋ˨˩	(训)浮肿:haŋ3 haŋ3，haŋ3肿																
盲	me5	me˩˨																	
盲	bong5	boŋ˩˨																	
猛	me2	me˥˨	较猛:赶紧																
猛	beng2	beŋ˥˨																	
孟	beng7	beŋ˨˨																	
打	tann2	tã˥˨																	
冷	leng2	leŋ˥˨																	
撐	tʰɛnn3	tʰɛ̃˨˩																	
撐	tʰɛnn1	tʰɛ̃˧˧	撑船																
澄	teng5	teŋ˩˨																	
鐺	tang1	taŋ˧˧																	
鐺	tong3	toŋ˨˩	(训)打鼓声																
鐺	khainn1	kʰaĩ˧˧	(训)敲锣声																
生	tshɛnn1	tsʰɛ̃˧˧	(白)食物没熟																
生	sɛnn1	sɛ̃˧˧	(白)生分，生日，(生毛将军?)sɛ̃1 mo5 tsiaŋ1 kun1:一种草药																
生	seng1	seŋ˧˧	(文)																
牲	seng1	seŋ˧˧																	
笙	seng1	seŋ˧˧																	
甥	seng1	seŋ˧˧																	
省	sɛnn2	sɛ̃˥˨																	
更	kɛnn1	kɛ̃˧˧	(白)三更半暝																
更	keng1	keŋ˧˧	(文)更新																
梗	kuainn2	kuaĩ˥˨	芋梗，树梗，竹梗，木梗																
庚	keng1	keŋ˧˧																	
羹	keng1	keŋ˧˧	调羹																
羹	ge5	ge˩˨	(训)汤里的料																
哽	kɛnn2	kɛ̃˥˨																	
坑	khɛnn1	kʰɛ̃˧˧																	
硬	nge7	ŋe˨˨																	
硬	teng7	teŋ˨˨	(训)																
硬	haunnh8	haũʔ˩˧	(训)蔬菜水果表皮生涩或没煮熟																
亨	heng1	heŋ˧˧																	
行	kiann5	kiã˩˨	(白)																
行	hang5	haŋ˩˨	银行																
行	heng5	heŋ˩˨	行为																
行	heng7	heŋ˨˨	品行																
衡	heng5	heŋ˩˨																	
杏	heng7	heŋ˨˨																	
逬	piang3	piaŋ˨˩	大响声																
逬	peng3	peŋ˨˩	迸发																
棚	pɛnn5	pɛ̃˩˨	戏棚																
棚	phɛnn5	pʰɛ̃˩˨	雨棚																
萌	beng5	beŋ˩˨																	
爭	tsɛnn1	tsɛ̃˧˧	(白)																
爭	tseng1	tseŋ˧˧	(文)																
爭	tsɛnn3	tsɛ̃˨˩	(白)争吵"争输赢"																
爭	tsinn3	tsĩ˨˩	(训)争抢争吵:tsĩ3喙																
爭	tʰin7	tʰin˨˨	(训)较量"相tʰin7重"																
爭	tʰit8	tʰit˩˧	(训)较量"tʰit8来tʰit8去"																
箏	tshɛ1	tsʰɛ˧˧	风筝，音变																
睜	tseng1	tseŋ˧˧																	
耕	keng1	keŋ˧˧																	
耿	keng2	keŋ˥˨																	
莖	keng1	keŋ˧˧																	
莖	huɛnn5	huɛ̃˩˨	芋茎:芋头梗																
莖	huann5	huã˩˨	同huɛ̃5																
幸	heng7	heŋ˨˨																	
鶯	eng1	eŋ˧˧																	
鸚	eng1	eŋ˧˧																	
櫻	eng1	eŋ˧˧																	
兵	peng1	peŋ˧˧																	
兵	phiann1	pʰiã˧˧	(白)天兵tʰian1 pʰiã1:形容人身材魁梧																
丙	piann2	piã˥˨	(白)																
丙	peng2	peŋ˥˨	(文)																
秉	peng2	peŋ˥˨																	
柄	pɛnn2	pɛ̃˥˨	(白)																
柄	peng2	peŋ˥˨	(文)																
平	pɛnn5	pɛ̃˩˨	(白)平坦																
平	phɛnn1	pʰɛ̃˧˧	(白)分配:平水，平来平去																
平	phiann5	pʰiã˩˨	(白)三平祖师公																
平	peng5	peŋ˩˨	(文)平和																
坪	pɛnn5	pɛ̃˩˨	霞寨镇大坪村小坪村																
坪	phɛnn5	pʰɛ̃˩˨	地名:秀峰乡坪洄村																
坪	phiann5	pʰiã˩˨	地名:小溪镇豆坪村																
坪	peng5	peŋ˩˨	(文)																
評	peng5	peŋ˩˨																	
病	pɛnn7	pɛ̃˨˨	细病:不至死的疾病，后引申为贬义词"细病死囝仔"，与之相对是大病，避讳直呼绝症而称大病																
明	ma5	ma˩˨	(白)明载																
明	mia5	mia˩˨	(白)明载																
明	me5	me˩˨	(白)明年																
明	beng5	beŋ˩˨	(文)																
鳴	beng5	beŋ˩˨																	
盟	beng5	beŋ˩˨																	
皿	bin2	bin˥˨																	
命	mia7	mia˨˨	(白)																
命	beng7	beŋ˨˨	(文)																
京	kiann1	kiã˧˧	(白)																
京	kɛnn1	kɛ̃˧˧	地名:坂仔镇金京洋村kim1 kɛ̃1 iũ5																
荆	kiunn1	kiũ˧˧	(白)蒲荆																
荆	keng1	keŋ˧˧	(文)																
驚	kiann1	kiã˧˧	(白)																
驚	kɛnn1	kɛ̃˧˧	(白)惊蛰																
驚	keng1	keŋ˧˧	(文)																
境	keng2	keŋ˥˨																	
境	kiann2	kiã˥˨	(白)地名:文峰镇上境																
景	keng2	keŋ˥˨																	
警	keng2	keŋ˥˨																	
敬	keng3	keŋ˨˩																	
竟	keng2	keŋ˥˨																	
鏡	kiann3	kiã˨˩																	
卿	kheng1	kʰeŋ˧˧																	
慶	khiann3	kʰiã˨˩																	
慶	kheng3	kʰeŋ˨˩																	
擎	kheng5	kʰeŋ˩˨																	
擎	gia5	gia˩˨	举，握持																
鯨	keng1	keŋ˧˧																	
競	keng7	keŋ˨˨																	
迎	ngia5	ŋia˩˨	(白)迎王公，迎尪																
迎	geng5	geŋ˩˨	(文)																
英	eng1	eŋ˧˧																	
影	iann2	iã˥˨	(白)知影																
影	ng2	ŋ˥˨	(白)树影，走影:太阳天转阴天																
影	eng2	eŋ˥˨	(文)																
映	iann3	iã˨˩	(白)1.照射 2.浅浅的看																
映	eng3	eŋ˨˩	(文)																
餠	piann2	piã˥˨																	
餠	phiann2	pʰiã˥˨	量词，一片																
幷	peng3	peŋ˨˩																	
並	peng3	peŋ˨˩																	
碰	phoŋ7	pʰoŋ˨˨	碰电:1.触电 2.电路短路																
聘	pheng3	pʰeŋ˨˩	聘金																
𩩍	phiann1	pʰiã˧˧	骹脊𩩍																
名	mia5	mia˩˨	(白)																
名	beng5	beŋ˩˨	(文)																
領	nia2	nia˥˨	(白)一领衫仔，一领被																
領	leng2	leŋ˥˨	(文)																
嶺	nia2	nia˥˨																	
令	leng7	leŋ˨˨	令旗																
精	tsiann1	tsiã˧˧	(白)灵精																
精	tseng1	tseŋ˧˧	(文)精神																
晶	tsinn1	tsĩ˧˧	(白)																
晶	tseng1	tseŋ˧˧	(文)																
睛	tsɛnn5	tsɛ̃˩˨																	
井	tsɛnn2	tsɛ̃˥˨																	
淸	tsheng1	tsʰeŋ˧˧	(文)清心:虔诚地信仰神明																
請	tshiann2	tsʰiã˥˨	(白)																
請	tsheng2	tsʰeŋ˥˨	(文)																
情	tsiann5	tsiã˩˨	(白)																
情	tseng5	tseŋ˩˨	(文)																
靜	tseng7	tseŋ˨˨																	
靜	tsɛnn7	tsɛ̃˨˨	(白)																
靜	tiam7	tiam˨˨	(训)tiam7静																
靜	tim5	tim˩˨	(训)安静:tim5 tim5																
淨	tsinn7	tsĩ˨˨	(白)尖净:面容瘦削																
淨	tseng7	tseŋ˨˨																	
性	seng3	seŋ˨˩	(文)发性																
性	sɛnn3	sɛ̃˨˩	(白)性命																
姓	sɛnn3	sɛ̃˨˩																	
貞	tsin1	tsin˧˧																	
蟶	tʰan1	tʰan˧˧	蛏仔，蛏仔干																
偵	tsin1	tsin˧˧																	
逞	tʰeng2	tʰeŋ˥˨																	
呈	tʰiann5	tʰiã˩˨	(白)呈送																
程	tʰiann5	tʰiã˩˨	(白)姓氏																
程	tʰeng5	tʰeŋ˩˨	(文)程度																
鄭	tɛnn7	tɛ̃˨˨																	
正	tsiann1	tsiã˧˧	(白)新正时																
正	tsiann3	tsiã˨˩	(白)																
正	tseng3	tseŋ˨˩	(文)																
正	tsiah4	tsiaʔ˦˨	这么																
征	tseng1	tseŋ˧˧																	
整	tseng2	tseŋ˥˨																	
政	tseng3	tseŋ˨˩																	
聲	siann1	siã˧˧	(白)																
聲	seng1	seŋ˧˧	(文)																
聖	siann3	siã˨˩	(白)灵验																
聖	seng3	seŋ˨˩	(文)圣人																
城	siann5	siã˩˨	(白)																
城	seng5	seŋ˩˨	(文)																
成	tsiann5	tsiã˩˨	(白)																
成	tshiann5	tsʰiã˩˨	(白)1.成尾:最后收尾 2.成囝仔:把孩子带大																
成	siann5	siã˩˨	(白)																
成	seng5	seŋ˩˨	(文)																
誠	seng5	seŋ˩˨																	
盛	siann7	siã˨˨	盛仔:竹篾编成的器具做喜事时用来装礼品																
盛	sin5	sin˩˨	接:盛水																
盛	sin7	sin˨˨	同seŋ7																
盛	seng7	seŋ˨˨																	
盛	kin5	kin˩˨	(训)倒掉上部液体剩下面部分																
頸	keng2	keŋ˥˨	颔颈																
勁	kin3	kin˨˩	干劲																
勁	keng3	keŋ˨˩																	
輕	khin1	kʰin˧˧																	
輕	khin2	kʰin˥˨	(替)kʰin2眠:睡眠浅																
嬰	ɛnn1	ɛ̃˧˧	(白)婴婴叫， 幼婴:1.幼稚 2.成年人装成小孩子																
嬰	eng1	eŋ˧˧	(文)																
纓	iann1	iã˧˧	(白)红缨枪aŋ5 iã1 tsʰiũ1																
纓	eng1	eŋ˧˧	(文)																
盈	eng5	eŋ˩˨																	
贏	iann5	iã˩˨	(白)																
贏	eng5	eŋ˩˨	(文)																
姘	pheng3	pʰeŋ˨˩	姘头:契兄头，奸夫																
拼	piann3	piã˨˩	(白)																
拼	pheng1	pʰeŋ˧˧	(文)																
甁	pan5	pan˩˨																	
屛	pin5	pin˩˨	(白)																
屛	peng5	peŋ˩˨	(文)																
銘	beng5	beŋ˩˨																	
冥	beng5	beŋ˩˨																	
螟	nɛ1	nɛ˧˧	山螟:蜻蜓																
丁	teng1	teŋ˧˧																	
釘	teng1	teŋ˧˧																	
釘	teng3	teŋ˨˩																	
釘	tɛnn1	tɛ̃˧˧	(训)脚后跟:后tɛ̃1																
頂	teng2	teŋ˥˨																	
鼎	tiann2	tiã˥˨	(白)大鼎																
鼎	teng2	teŋ˥˨	(文)一言九鼎																
訂	teng3	teŋ˨˩																	
聽	tʰiann1	tʰiã˧˧	(白)																
聽	tʰeng1	tʰeŋ˧˧	(文)																
聽	tʰeng3	tʰeŋ˨˩	可以																
汀	tʰiann1	tʰiã˧˧	(白)地名:霞寨镇长汀村，芦溪镇漳汀村																
汀	tʰeng1	tʰeŋ˧˧	(文)																
廳	tʰiann1	tʰiã˧˧	老公厅																
廷	teng5	teŋ˩˨																	
停	tʰeng5	tʰeŋ˩˨																	
亭	tʰeng5	tʰeŋ˩˨																	
庭	teng5	teŋ˩˨																	
庭	tiann5	tiã˩˨	(白)厝庭，门口庭:院子																
蜓	tʰeng5	tʰeŋ˩˨																	
挺	tʰan2	tʰan˥˨	挺直，挺横，挺㩻																
挺	tʰeng2	tʰeŋ˥˨																	
挺	tʰann2	tʰã˥˨	(白)推出去																
挺	teng5	teŋ˩˨	(训)直																
艇	tʰeng2	tʰeŋ˥˨																	
錠	teng3	teŋ˨˩																	
定	tiann7	tiã˨˨	(白)定着:一定																
定	teng7	teŋ˨˨	(文)永定																
寧	leng5	leŋ˩˨																	
佞	leng7	leŋ˨˨																	
靈	leng5	leŋ˩˨																	
零	lan5	lan˩˨	零头，零星仔																
零	leng5	leŋ˩˨																	
鈴	leng5	leŋ˩˨																	
伶	leng5	leŋ˩˨																	
另	leng7	leŋ˨˨																	
靑	tshɛnn1	tsʰɛ̃˧˧	(白)																
靑	tsheng1	tsʰeŋ˧˧	(文)																
蜻	tsheng1	tsʰeŋ˧˧																	
星	tshɛnn1	tsʰɛ̃˧˧	(白)																
星	san1	san˧˧	1.零星:零食 2.零星仔镭:散钱																
星	seng1	seŋ˧˧	(文)																
腥	tshɛnn3	tsʰɛ̃˨˩	臭腥味，涂垢腥:土腥味																
醒	tshɛnn2	tsʰɛ̃˥˨																	
經	kɛnn1	kɛ̃˧˧	(白)1.织:经蜘蛛网 2.绊倒																
經	keng1	keŋ˧˧	(文)																
徑	kɛnn3	kɛ̃˨˩	(白)地名:豆坪村径口kɛ̃3 ia kʰau2																
徑	keng3	keŋ˨˩	(文)																
馨	heng1	heŋ˧˧																	
刑	heng5	heŋ˩˨																	
型	heng5	heŋ˩˨																	
形	heng5	heŋ˩˨																	
百	pɛh4	pɛʔ˦˨	(白)食百二:长命百岁，百二忍:如同一百二十岁的老人，什么大风大浪都能包容，从不发脾气																
百	pek4	pek˦˨	(文)																
柏	pɛh4	pɛʔ˦˨	(白)松柏																
柏	pek4	pek˦˨	(文)人名																
伯	pɛh4	pɛʔ˦˨	土地公，伯公仔，土地伯公，土老伯公																
迫	pek4	pek˦˨																	
拍	phah4	pʰaʔ˦˨	拍碌碡la5 tat8																
拍	piat8	piat˩˧	(训)拍手:鼓掌																
拍	pa1	pa˧˧	(训)扇耳光																
拍	kuat4	kuat˦˨	(训)拍手，拍喙																
拍	tshai7	tsʰai˨˨	(训)用力打																
拍	pauh8	pauʔ˩˧	(训)用力打																
拍	mau1	mau˧˧	(训)用力打																
拍	sut4	sut˦˨	(训)拍打																
拍	khiak8	kʰiak˩˧	(训)五指敲打																
拍	kiaunnh8	kiaũʔ˩˧	(训)五指敲打																
拍	sak4	sak˦˨	(训)手掌推																
拍	sannh4	sãʔ˦˨	(训)手掌猛推																
拍	tsak8	tsak˩˧	(训)拳猛刺																
拍	tu7	tu˨˨	(训)抡拳头																
拍	tsinn1	tsĩ˧˧	(训)踢腿																
拍	tsam7	tsam˨˨	(训)脚猛揣																
拍	leng3	leŋ˨˩	(训)脚揣																
珀	phek4	pʰek˦˨																	
粕	phoh4	pʰoʔ˦˨	渣滓:茶米粕																
魄	phek4	pʰek˦˨																	
白	pɛh8	pɛʔ˩˧	(白)白皮仔饼																
白	pek8	pek˩˧	(文)																
帕	phɛ3	pʰɛ˨˩	奶帕仔:婴儿围巾																
帛	pɛh8	pɛʔ˩˧	(白)																
帛	pek8	pek˩˧	(文)																
陌	bak8	bak˩˧																	
拆	tʰiah4	tʰiaʔ˦˨	拆白讲:说白了																
擇	tek8	tek˩˧																	
擇	toh8	toʔ˩˧	(白)择菜																
澤	tek8	tek˩˧																	
宅	tʰeh8	tʰeh˩˧																	
格	kɛh4	kɛʔ˦˨																	
客	khɛh4	kʰɛʔ˦˨	人客公:没有受到供奉的孤魂野鬼，众公妈是有受到供奉的鬼魂																
咳	khɛnnh8	kʰɛ̃ʔ˩˧																	
咳	ka1	ka˧˧	着咳tsak8:剧烈咳嗽																
咳	khak4	kʰak˦˨	咳鱼刺																
额	hiah8	hiaʔ˩˧	额头																
額	giah8	giaʔ˩˧	够额，无额																
赫	hek4	hek˦˨																	
麥	bɛh8	bɛʔ˩˧	麦仔膏																
脈	mɛh8	mɛʔ˩˧																	
摘	tiak4	tiak˦˨	文摘																
摘	tiah4	tiaʔ˦˨	(训)摘菜																
摘	tiap4	tiap˦˨	(训)尝一小口																
摘	tioh4	tioʔ˦˨	(训)1.拔起:tioʔ4喙齿 2.小调整:tioʔ4咸																
責	tsek4	tsek˦˨																	
策	tshek4	tsʰek˦˨																	
册	tshɛh4	tsʰɛʔ˦˨																	
革	kek4	kek˦˨																	
隔	kɛh4	kɛʔ˦˨																	
隔	kiah4	kiaʔ˦˨	隔壁kiaʔ4 piaʔ4																
厄	ɛh4	ɛʔ˦˨	劫难:蛇伤虎厄天注定																
軛	ɛh4	ɛʔ˦˨	牛轭仔																
碧	phek4	pʰek˦˨																	
戟	kek4	kek˦˨																	
隙	khiah4	kʰiaʔ˦˨	(白)1.落隙，缺一隙 2.地名:豆坪村后湖隙																
劇	kiak8	kiak˩˧																	
屐	kiah8	kiaʔ˩˧	(白)木屐bak8 kiaʔ7																
屐	kiak8	kiak˩˧	(文)樵头屐仔																
逆	gek8	gek˩˧																	
璧	pek4	pek˦˨																	
僻	phiah4	pʰiaʔ˦˨																	
闢	phiah4	pʰiaʔ˦˨	(白)																
闢	phek4	pʰek˦˨	(文)																
積	tsek4	tsek˦˨	积着:受到因果报应																
跡	tsiah4	tsiaʔ˦˨	骹迹																
跡	tsek4	tsek˦˨	(文)事迹																
脊	tsiah4	tsiaʔ˦˨	(白)																
脊	tsit4	tsit˦˨	(文)																
籍	tsip4	tsip˦˨	籍贯																
籍	tsek4	tsek˦˨	祖籍																
昔	sek4	sek˦˨																	
惜	sioh4	sioʔ˦˨																	
席	tshioh8	tsʰioʔ˩˧	(白)席仔																
席	sek8	sek˩˧	(文)主席																
夕	sek8	sek˩˧																	
擲	tɛnn7	tɛ̃˨˨	(训)紧握:tɛ̃7拳头母																
隻	tsiah4	tsiaʔ˦˨	一只猪仔																
炙	tsia3	tsia˨˩																	
赤	tshiah4	tsʰiaʔ˦˨	1.颜色:赤色 2.赤身裸体:赤目澈tsʰiaʔ4 bak4 tʰeʔ4 3.瘙痒:赤痒																
斥	tʰiat4	tʰiat˦˨	排斥																
尺	tshioh4	tsʰioʔ˦˨																	
射	sia7	sia˨˨																	
適	sit4	sit˦˨																	
釋	sek4	sek˦˨																	
