例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
照		效开三去笑章	tʃi35	tʃiᴇ35	tsɑu35	tsou35	tsau55	tsau35	tsɑu55	tʃiᴇ35	tsɑu24	tʃau35	tʃɑu53
少	~年	效开三去笑书		sɑu35{借桂}	sɑu35	sou35	sau55	sau35	sɜ55		ʃɑu24	ʃau35	ʃɑu53
绕		效开三去笑日	kᴇɪ55	kiɑu422	iɑu35	iou44		liau33					iɑu55
轿		效开三去效群	kᴇɪ53	kiᴇ53	tʃiɑu53	kiou21	tʃiau31	tʃiau21	tɕiɑu44	tʃʰiᴇ21	tʃʰiɑu21	tʃiau21	tʃiɑu33
要		效开三去效影	iau35	iᴇ35	iɑu35	iou35	iau55	iau35	iɑu55	iᴇ35	iɑu24	iau35	iɑu53
雕		效开四平萧端		tiᴇ232	tiɑu13	tiou132	tiau24	tiau13	liɑu242	ɗiᴇ33	tiɑu43	tiau42	tiɑu24
条		效开四平萧定	ti21	tiᴇ33	tiɑu33	tiou22	tiau22	tiau533	tiɑu33	tiᴇ33	tiɑu33	tiau33	tiɑu21
聊		效开四平萧来		niɑu33	niɑu33	ȵiou22	liau22	liau533	liɑu33	liɑʊ33{借桂}	ȵiɑu33	liau33	liɑu21
萧		效开四平萧心	sᴇɪ44	ʃiᴇ232	ʃiɑu13	ʃiou132	ʃiau24	ʃiau13	ɕiɑu242	ʃiᴇ422	ʃiɑu43	ʃiau42	siɑu24
浇		效开四平萧见		kiɑu232	tʃiɑu13	kiou132	tʃiau24	tʃiau13	tɕiɑu242	tʃiᴇ422	tʃiɑu43	tʃiau42	tʃiɑu24
鸟		效开四上筱端	tᴇɪ55	tiᴇ422	tiɑu44	tiou44	tiau33	tiau33	liɑu35	ɗiᴇ55	tiɑu55/liɑu55	tiau55	tiɑu55
了		效开四上筱来	lᴇɪ33	niᴇ21	niɑu21	ȵiou44	liau22	liau33	liɑu21	liᴇ35	ȵiɑu52	liau53	liɑu55
缴		效开四上筱见	kᴇɪ55	kiɑu422	tʃiɑu44	kiou44	tʃiau33	tʃiau33	tɕiɑu35	tʃiɑʊ55	tʃiɑu55	tʃiau55	tʃiɑu55
晓		效开四上筱晓	hi55	hi5	ʃiɑu44	hiou44	ʃiau33	ʃiau33	ɕiɑu35	ʃiᴇ55	ʃiɑu55	ʃiau55	ʃiɑu55
钓		效开四去啸端	tᴇɪ35	tiᴇ35	tiɑu35	tiou35	tiau55	tiau35	liɑu55	ɗiᴇ35	tiɑu24	tiau35	tiɑu53
跳		效开四去啸透	tʰᴇɪ35	tʰiᴇ53	tʰiɑu53	tʰiou35	tʰiau55	tʰiau35	tʰiɑu55	tʰiᴇ35	tʰiɑu24	tʰiau35	tʰiɑu53
掉		效开四去啸定		tiᴇ35	tiɑu53	tiou21		15	tiᴇ21	tiᴇ35	tiᴇ5	tiɛ5	tiɑu53
尿		效开四去啸泥	nᴇɪ53	niᴇ53	niɑu53	ȵiou21	liau31	ȵiau21	ȵiɑu44	ȵiᴇ21	ȵiɑu21	ȵiau21	ȵiɑu33
料		效开四去啸来	lᴇɪ53	niᴇ53	niɑu53	ȵiou21	liau31	liau21	liɑu44	liᴇ21	ȵiɑu21	liau21	liɑu33
叫		效开四去啸见	ki35	kiᴇ35	tʃiɑu35	kiou35	tʃiau55	tʃiau35	tɕiɑu55	tʃiᴇ35	tʃiɑu24	tʃiau35	tʃiɑu53
窖		效开四去啸溪		tʃʰiɑu35	tʃʰiɑu35	kʰiou35	tʃʰiau55	tʃʰiau35	tɕʰiɑu55	tʃʰiᴇ35	tʃʰiɑu24	tʃʰiau35	tsʰiɑu53
偷		流开一平侯透	tʰɑʊ44	tʰa232	tʰia13	tʰɑu132	tʰa24	tʰau13	tʰɜ242	tʰɑ422	tʰᴇi43	tʰɛi42	tʰɘi24
头		流开一平侯定	tɑʊ21	ta33	tia33	tɑu22	ta22	tau533	tɜ33	tɑ33	tᴇi33	tɛi33	tɘi21
楼		流开一平侯来	lɑʊ21	na33	nia33	nɑu22	la22	lau533	lɜ33	lɑ33	nᴇi33	lɛi33	lɘi21
钩		流开一平侯见	kɑʊ44	ka232	tʃia13	kɑu132	ka24	tʃiau13	kɜ242	kɑ422	kᴇi43	kɛi42	kɘi24
猴		流开一平侯匣	hɑʊ21	ha33	ʃia33	hɑu22	ha22	hau533	hɜ33	hɑ33	hᴇi33	hɛi22	hɘi21
某		流开一上厚明	mɑʊ33	ma21	mᵘɔu21	mou44	mau13	mau33	mɑu21	moʊ13		mou55	məu55
亩		流开一上厚明	mũ33	mu21	mu21	mʊ44	mu24	mu33	mu21	moʊ13			məu55
母		流开一上厚明		mu21	mu21	mʊ44	mu24	mu33	mu21	mu13		mu53	mu55
斗	一~	流开一上厚端	tɑʊ55	ta422	tia44	tɑu44	ta33	tau33	lɜ35	ɗɑ55	tᴇi55	tɛi55	tɘi55
陡		流开一上厚端		ta422	tia44	tɑu44	ta33	tau33	lɜ35	ɗɑ55	tᴇi55	tɛi55	tɘi55
敨	~气	流开一上厚透	tʰɑʊ55	tʰa21	tʰia21	tʰɑu44		tʰau33	tʰɜ35	tʰɑ55	tʰᴇi55	tʰɛi55/tʰou55	tʰɘi55
篓		流开一上厚来	lɑʊ33		na44	nɑu44	la13	lau33	lɜ35		nou52		lɘi55
走		流开一上厚精	tsɑʊ55	tsa422	tʃia44	tsɑu44	tsa33	tsau33		tsɑ55	tsᴇi55	tsɛi55	tsɘi55
狗		流开一上厚见	kɑʊ55	ka422	tʃia44	kɑu44	ka33	tʃiau33	kɜ35	kɑ55	kᴇi55	kɛi55	kɘi55
口		流开一上厚溪	hɑʊ55	ha21	tʃʰia21	kʰɑu44	kʰa13	tʃʰiau33	kʰɜ35	kʰɑ55	kʰᴇi55	kʰɛi55	kʰɘi55
藕		流开一上厚疑	ŋɑʊ33	au53{借桂}	ia21	ŋɑu44	ŋa33	ȵiau33	ŋɜ21	ŋɑ55	ou52	ŋou55	ɘi55
後		流开一上厚匣	hɑʊ33	ha53	ʃia53	hɑu21	ha31	hau21	hɜ44	hɑ21	hᴇi21	hɛi21	hɘi33
厚		流开一上厚匣	hɑʊ33	ha21	ʃia21	hɑu44	ha31	hau33	hɜ21	hɑ21	hᴇi52	hɛi53	hɘi53
呕		流开一上厚影			15	ŋɑu44	au33	uɤ33	ua35		ou55		ɘi55
斗		流开一去候端	tɑʊ35	tau35	tᵘɔu53/tia53	tɑu35	ta55	tou35	lɜ55	ɗɑ35	tᴇi24	tɛi35{多说}/tou35	tɘi33
透		流开一去候透	tʰɑʊ35	tʰa53	tʰia53	tʰɑu35	tʰa55	tʰau35	tʰɜ55		tʰᴇi24	tʰɛi35	tʰɘi53
豆		流开一去候定	tɑʊ53	ta53	tia53	tɑu21	ta31	tau21	tʰɜ44	tɑ21	tᴇi21	tɛi21	tɘi33
漏		流开一去候来	lɑʊ53	na53	nia53	nɑu21	la31	lau21	lɜ44	lɑ21	nᴇi21	lɛi21	lɘi33
奏		流开一去候精		tsau35{借桂}	15	tsɑu35	tsau55	tsou35				tsɛi35	
凑		流开一去候清	tsʰɑʊ35	tsʰa53	tʃʰia53	tsʰɑu35	tsʰau55	tsʰau35	tsʰɜ55	tsʰɑ35	tsʰᴇi24	tsʰɛi35	
嗽		流开一去候心	sɑʊ35	sa35	ʃia35	sɑu35	sa55	sau35	sɜ55	sɑ35	sᴇi24	sɛi35	sɘi55
够		流开一去候见	kɑʊ35	ka35	tʃia35	kɑu35	ka55	tʃiau35	kɜ55	kɑ35	kᴇi24	kɛi35	kɘi53
勾		流开一去候见			kᵘɔu35	kɑu35	ka55	tʃiau13	kɜ242	koʊ35{借桂}	kᴇi43	kɛi42	kɘi53
扣		流开一去候溪	kʰɑʊ35	kʰa35	tʃʰia53	kʰɑu35	kʰa55	tʃʰiau35	kʰɜ55	kʰɑ35	kʰᴇi24	kʰɛi35	kʰɘi53
候		流开一去候匣	hɑʊ53	huɔ21	ʃia21	hɑu21	ha31	hau21	hɜ44	hɑ21	hᴇi21	hɛi21	hɘi33
沤		流开一去候影	ɑʊ35	a35	ia35	ŋɑu35	ŋa55	ŋau35	ɜ55	ɑ35	ᴇi24	ɛi35	ɘi53
浮		流开三平尤奉	fau21	fu33	fᵘɔu33	pou22	fu22	pau533	fɜ33	fu33	fu33	fu33	
谋		流开三平尤明		mau21{借桂}	mᵘɔu21{借桂}	mou22	mau22	mau533	mɜ33	moʊ33	mou33	mou33	məu21
流		流开三平尤来	liau21	niau33	niᵒu33	ȵiou22	liau22	liou533	liɑu33	liᵒʊ33	ȵiou33	liou33	liəu21
秋		流开三平尤清	tʃʰiau44	tʃʰiau232	tʃʰiᵒu13/tsʰᵘɔu13	tʃʰiou132	tʃʰiau24	tʃʰiou13	tɕʰiɑu242	tʃʰiᵒʊ422	tʃʰiou43	tʃʰiou42	tsʰiəu24
修		流开三平尤心	ʃiau44	ʃiau232	ʃiᵒu13	ʃiou132	ʃiau24	ʃiou13	ɕiɑu242	ʃiᵒʊ422	ʃiou43	ʃiou42	siəu24
囚		流开三平尤邪		kiau33	tʃʰiᵒu21{借桂}	tʃiou22	tʃiau22	tʃiou533	tɕiɑu33		tʃʰiou33	tʃiou33	tʃiəu21
抽		流开三平尤彻	tʃʰiau44	tsʰau232	tsʰᵘɔu13	tʃʰiou132	tsʰau24	tsʰou13	tsʰɑu242	tʃʰiᵒʊ422	tʃʰou43	tʃʰou42	tʃʰiəu24
绸		流开三平尤澄	tʃau21	tsau33	tsᵘɔu33	tsʊ22	tsau22	tsou533	tsɑu33	tʃʰiᵒʊ33	tʃʰou33	tʃou33	tʃɘi21
愁		流开三平尤崇	tʃɑʊ21	tsa33	tsa33	tsɑu22	tsa22	tsau533	tsɜ33	tʃʰɑ33	tʃʰᴇi33	tʃɛi21	tʃɘi21
馊		流开三平尤生	ʃɑʊ44	sa232	ʃia13	sɑu132	sa24	sau13	sɜ242	ʃɑ422	ʃᴇi43	ʃɛi42	ʃɘi24
周		流开三平尤章	tʃɑʊ44	tsau232	tsᵘɔu13	tsʊ132	tsau24	tsou13	tsɑu242	tʃiᵒʊ422	tʃou43	tʃou42	tʃiəu24
收		流开三平尤书	ʃɑʊ44	sau232	sᵘɔu13	sʊ132	sau24	sou13	sɑu242	ʃiᵒʊ422	ʃou43	ʃou42	ʃiəu24
仇		流开三平尤禅	ʃɑʊ21	sau33	sᵘɔu33	sʊ22	sau22	sou533	su33	tʃʰiᵒʊ33	tʃʰou33	tʃou33	tʃɘi21
揉		流开三平尤日		iau33	iᵒu33	iou22	iau22	iou533	iɑu33	iᵒʊ33	iou33	iou33	iəu21
鸠	斑~	流开三平尤见	tʃiɑʊ44	kiau232	tʃiᵒu33{借桂}	kiou132	tʃiau24	tʃiou13	tɕiɑu242	tʃiᵒʊ33{借桂}	tʃiou33{借桂}	tʃiou42	tʃiəu24
求		流开三平尤群	kiɑʊ21	kiau33	tʃiᵒu33	kiou22	tʃiau22	tʃiou533	tɕiɑu33	tʃʰiᵒʊ33	tʃʰiou33	tʃiou33	tʃiəu21
牛		流开三平尤疑	ȵiɑʊ21	a33	ia33	ȵiou22	liau22	ȵiau533	ŋɜ33	ȵiᵒʊ33	ȵiou33	ȵiou33	ȵiəu21
休		流开三平尤晓	hiau44	ʃiau232	ʃiᵒu13	hiou132	ʃiau24	ʃiou13	ɕiɑu242	ʃiᵒʊ422	ʃiou43	ʃiou42	siəu24
优		流开三平尤影	iɑʊ44	iau33{借桂}	iᵒu13	iou132	iau24	iou13	iɑu242	iᵒʊ33{借桂}	iou43	iou42	iəu24
邮		流开三平尤云	iɑʊ21	iau21{借桂}	iᵒu33	iou22	iau22	iou533	iɑu242	iᵒʊ33	iou33	iou33	iəu21
油		流开三平尤以	iɑʊ21	iau33	iᵒu33	iou22	iau22	iou533	iɑu33	iᵒʊ33	iou33	iou33	iəu24
游		流开三平尤以	iɑʊ21	iau33	iᵒu33	iou22	iau22	iou533	iɑu33	iᵒʊ33	iou33	iou33	iəu24
妇		流开三上有奉	fa4/fʊ33	fu53	fu53	fʊ21	fu31	fu21	fu44	fu13	fu24	fu35	fu33
负		流开三上有奉	fʊ33	fu21	fu53	fʊ21	fu55	fu35	fu44	fu13	fu24	fu35	fu53
扭		流开三上有泥	ȵiau33	niau422	niᵒu44	ȵiou44	liau33	ȵiou33	ȵiɑu35	ȵiᵒʊ55	ȵiou52	ȵiou55	ȵiəu55
柳		流开三上有来	liau33	niau422	niᵒu44	ȵiou44	liau33	liou33	ȵiɑu35	liᵒʊ13	ȵiou52	liou55	liəu55
酒		流开三上有精	tʃiau55	tʃiau422	tʃiᵒu44	tʃiou44	tʃiau33	tʃiou33	tɕiɑu35	tʃiᵒʊ55	tʃiou55	tʃiou55	tsiəu55
丑	美~	流开三上有昌	tʃʰau55	tsʰau21	tsʰᵘɔu21	tsʰʊ44	tsʰau13	tsʰou33	tsʰɑu35	tʃʰiᵒʊ35	tʃʰou55	tʃʰou55	tʃʰiəu55
手		流开三上有书	ʃɑʊ55	sau422	sᵘɔu44	sʊ44	sau33	sou33	su35	ʃiᵒʊ55	ʃou55	ʃou55	ʃiəu55
受		流开三上有禅	ʃɑʊ53	sau53	sᵘɔu53	sʊ21	sau31	sou21	su44	ʃy21	ʃou21	ʃou21	ʃiəu33
九		流开三上有见	kiɑʊ55	kiau422	tʃiᵒu44	kiou44	tʃiau33	tʃiou33	kiɑu35	tʃiᵒʊ55	tʃiou55	tʃiou55	tʃiəu55
韭		流开三上有见	kiɑʊ55	kiau422	tʃiᵒu44	kiou44	tʃiau33	tʃiou33	kiɑu35	tʃiᵒʊ55	tʃiou55	tʃiou55	tʃiəu55
舅		流开三上有群	kiɑʊ33	kiau53	tʃiᵒu53	kiou21	tʃiau31	tʃiou21	tɕiɑu44	tʃʰiᵒʊ21	tʃʰiou21	tʃiou35	tʃiəu33
朽		流开三上有晓	hiau55	hiau422	ʃiᵒu44	hiou44	ʃiau33	ʃiou33	ɕiɑu35		ʃiou55	ʃiou55	ʃiəu55
有		流开三上有云	iɑʊ33	iau21	iᵒu21	iou44	iau13	iou33	iɑu21	iᵒʊ13	iou52	iou53	iəu55
富		流开三去宥非	fʊ35	fu35	fu35{借桂}	fʊ35	fu55	fu35	fu55		fu24	fu35	
就		流开三去宥从	tʃiau53	tʃiau53	tʃiᵒu53	tʃiou21	tʃiau31	tʃiou21	tɕiɑu44	tʃʰiᵒʊ21	tʃʰiou21	tʃiou21	tʃiəu33
绣		流开三去宥心	ʃiau35	ʃiau35	ʃiᵒu35	ʃiou35	ʃiau55	ʃiou35	ɕiɑu55	ʃiᵒʊ35	ʃiou24	ʃiou35	siəu53
袖		流开三去宥邪	ʃiau53	tʃiau21	tʃiᵒu21	tʃiou21	ʃiau55	tʃiou21{衣袖}/ʃiou35{领袖}	tɕiɑu44	tʃʰiᵒʊ21	tʃʰiou21	tʃiou21	siəu53
皱		流开三去宥庄	tʃɑʊ35	tsa35	tsᵘɔu35{借桂}	tsou35	tsau55	tsou35	tsɜ55		tsou24	tʃɛi35	tʃɘi53
瘦		流开三去宥生	ʃɑʊ35	sa35	sa35	sɑu35	sa55	sau35	sɜ55	ʃɑ35	ʃᴇi24	ʃɛi35	ʃɘi53
漱		流开三去宥生	ʃiau35	sau35	sᵘɔu35/ʃia35	sʊ35	su55	su35	su55	su35	su24	su35	su53
咒		流开三去宥章	tʃɑʊ35	tsau35	tsᵘɔu35	tsʊ35	tsau55	tsou35	tsu55		tʃou24	tʃou35	
臭	香~	流开三去宥昌	tʃʰɑʊ35	tsʰau53	tsʰᵘɔu53	tsʰʊ35	tsʰau55	tsʰou35	tsʰu55	tʃʰiᵒʊ35	tʃʰou24	tʃʰou35	tʃʰiəu53
兽		流开三去宥书	ʃɑʊ35		sᵘɔu53	sʊ35	sau31	sou21	su55		sou24	ʃou21	ʃiəu33
寿		流开三去宥禅	ʃɑʊ53	sau53	sᵘɔu53	sʊ21	sau31	sou21	su44	ʃiᵒʊ21	ʃou21	ʃou21	ʃiəu33
救		流开三去宥见	kiɑʊ35	kiau35	tʃiᵒu35	kiou35	tʃiau55	tʃiou35	kiɑu55	tʃiᵒʊ35	tʃiou24	tʃiou35	tʃiəu33
旧		流开三去宥群	kiɑʊ53	kiau53	tʃiᵒu53	kiou21	tʃiau31	tʃiou21	tɕiɑu44	tʃiᵒʊ35	tʃʰiou21	tʃiou21	tʃiəu33
又		流开三去宥云	iau21	iau53	iᵒu53	iou21	iau31	iou35	iɑu44	iᵒʊ21	iou21	iou21	iəu33
右		流开三去宥云	iɑʊ53	iau53	iᵒu53	iou21	iau31	iou35	iɑu44	iᵒʊ21	iou21	iou21	iəu33
柚		流开三去宥以	iɑʊ53	iau35	iᵒu35	iou21	iau31	iou35	iɑu44/iɑu44	iᴇ21	iɑu21	iau21	iəu33/iəu33
耽		咸开一平覃端	tɒ̃44	tuo232	tᵘɔ13	tɑŋ132	taŋ24	taŋ13	lan242	ɗɑ̃422	tɑ̃43	tã42	tã24
贪		咸开一平覃透	tʰɒ̃44	tʰan232	tʰᵘɔ13	tʰɑŋ132	tʰɔ24	tʰaŋ13	tʰan242	tʰɑ̃422	tʰɑ̃43	tʰã42	tʰã24
潭		咸开一平覃定	tɒ̃21	tuo33	tᵘɔ33	tɑŋ22	taŋ22	tuo533	tan33	tɑ̃33	tɑ̃33	tã33	tã21
南		咸开一平覃泥	nɒ̃21	nuo33	nᵘɔ33	nᵘɔ22	lɔ22	nuo533	na33	nɑ̃33	nɑ̃33	nã33	nã21
参		咸开一平覃清		tsʰuo232	tsʰᵘɔ13	tsʰᵘɔ132	tsʰɔ24	tʃʰyɔ13	tsan242	tsʰɑ̃33{变调}	tsʰɑ̃43	tsʰã42	tsʰã24
蚕		咸开一平覃从	tsɒ̃21	tsuo33	tsᵘɔ33	tsᵘɔ22	tsɔ22	tsuo533	tsa33	tsʰɑ̃33	tsʰɑ̃33	tsã33	tsã21
含		咸开一平覃匣	hɒ̃21	hɑŋ33	hᵘɔŋ33	hᵘɔ22	hɔ22	huo533	hua33	hʊɑ̃33	hɑ̃33	hã33	hã21
庵		咸开一平覃影	ɒ̃44	uo232	ᵘɔ13	ŋᵘɔ132	ŋɔ24	ŋuo13	an242	miᴇ21{训读}	ɑ̃33{借桂}	ã33	ã24
惨		咸开一上感清	tsʰɒ̃55	tsʰan53{借桂}	tsʰɑŋ21	tsʰɑŋ44	tsʰɔ13	tsʰaŋ33	tsʰan35	tsʰɑ̃55	tsʰɑ̃55	tsʰã55	tsʰã55
感		咸开一上感见		kan53{借桂}	kᵘɔ44	kᵘɔ44	kɔ33	kuo33	kan35	kɑ̃55	kɑ̃55	kã55	kã55
砍		咸开一上感溪		kʰuo21	kʰᵘɔ21	kʰᵘɔ44	kʰɔ13	kʰaŋ5/tsau5{训读}	kʰan35	kʰɑ̃55	kʰɑ̃55	kʰã55	kʰã55
探		咸开一去勘透	tʰɒ̃35	tʰuo53	tʰᵘɔ53	tʰᵘɔ35	tʰɔ55	tʰaŋ35	tʰan55	tʰɑ̃35	tʰɑ̃24	tʰã35	tʰã53
暗		咸开一去勘影	ɒ̃35	ɑŋ35	ŋ35	ŋᵘɔ35	ɔ55	uɔ35	ua55	ʊɑ̃35	ɑ̃24	ã35	ŋã33
答		咸开一入合端	tɒ55	tuo5	tᵘɔ5	tᵘɔ5	tɔ5	tuɔ5	luo21	tɑ̃53	tiɑ5	ta5	ta5
沓		咸开一入合定	tɒ55	tua422	tᵘɔ5	ta21	ta31	ta21	tuo33	tɑ̃53	tiɑ21	ta5	ta5
纳		咸开一入合泥	na21{借桂}	nuo422	15	nᵘɔ22	la22	luo5		nɑ21	na21	na53/na5	na55
拉		咸开一入合来	lɒ4	na232	na13	la44	la33	luo35	la242	lɑ33	na5	la53	la5
杂		咸开一入合从	tsɒ53	tsuo53	tsᵘɔ53	tsᵘɔ21	tsɔ31	tsuɔ21	tsuo33	tsʰɑ21	tʃʰiɑ5	tsa53	tsa5
鸽		咸开一入合见	ko21{借桂}	kuo5	ku5	kᵘɔ5	kuo5	kuo5	kuo242		kuɑ5	hua5	kua5
合		咸开一入合匣	hɒ55/hʊo55	hua422	huɯ53	hᵘɔ5	huo5	huo5	hua21	hʊɔ53	huo33	hua21	hᵘo21
担	~担子	咸开一平谈端	tɒ̃44	tuo232	tᵘɔ13	tᵘɔ132	tɔ24	tuɔ13	lan242	ɗɑ̃33{变调}	tɑ̃43	tã42	tã24
谈		咸开一平谈定	tɒ̃21	tuo33	tᵘɔ33	tᵘɔ22	tɔ22	tuɔ533	tan33	tɑ̃33	tɑ̃33	tã33	tã21
篮		咸开一平谈来	lɒ̃44	nuo232	nᵘɔ33	nᵘɔ22	lɔ22	luɔ533	la33	lɑ̃33	nɑ̃33	lã33	lã24
三		咸开一平谈心	sɒ̃44	suo232	sᵘɔ13	sᵘɔ132	sɔ24	suɔ13	sa242	sɑ̃422	sɑ̃43	sã42	sã24
柑		咸开一平谈见	kʊɒ̃44	kan232	kᵘɔŋ13	kuo132	kuo24	kuo13	kuan242	kʊɑ̃422	kuɑ̃43	kuã42	kuã24
胆		咸开一上敢端	tɒ̃55	tuo422	tᵘɔ44	tᵘɔ44	tɔ33	tuɔ33	lan35	ɗɑ̃55	tɑ̃55	tã55	tã55
毯		咸开一上敢透	tʰɒ̃55	tʰuo21	tʰᵘɔ21	tʰᵘɔ44	tʰɔ13	tʰuɔ33	tʰa35	tʰɑ̃55	tʰɑ̃55	tʰã55	tʰã55
淡		咸开一上敢定	tɒ̃33	tuo21	tᵘɔ21	tᵘɔ44	tɔ13	tuɔ33	ta21	tɑ̃21	tɑ̃52	tã53	tã53
敢		咸开一上敢见	kɒ̃55	həi21	kᵘɔ44	kᵘɔ44	kɔ33	kuɔ33	kan35	kʊɑ̃55	kɑ̃55	kã55	kã55
喊		咸开一上敢晓	hɒ̃55	huo21	hᵘɔ21	hᵘɔ44	hɔ13	huɔ33	ha35	hɑ̃13	hɑ̃55	hã55	hã55
担	~子	咸开一去阚端	tɒ̃35	tuo35	tᵘɔ35	tᵘɔ35	tɔ55	tuɔ35	la55	ɗɑ̃35	tɑ̃24	tã35	tã53
塔		咸开一入盍透	tʰɒ55	tʰuo422	tʰᵘɔ5	tʰᵘɔ5	tʰɔ5	tʰuɔ5	tʰuo21	tu21	tʰa21	tʰa5	tʰa5
腊		咸开一入盍来	lɒ21	nuo422	nᵘɔ5	nᵘɔ5	lɔ5	luɔ5	luo21	lɑ53	ȵiɑ5	la53	la5
磕		咸开一入盍溪	kʰo4	kʰɑu422	kʰuɯ5	kʰᵘɔ21	kʰuo5	kʰuo5	kʰuo21	kʰʊɔ53	kʰuo5	kʰuo5	kʰᵘo5
杉		咸开二平咸生	ʃo44	suo232	15	sᵘɔ132	sɔ24	ʃyɔ13	suo242	ʃɑ̃33	ʃɑ̃43	ʃã42	ʃã24
咸	~味	咸开二平咸匣	hɔ̃21	huo33	hᵘɔ33	hᵘɔ22	hɔ22	huo533	ha33	hɑ̃33	hɑ̃33	hã33	hã21
减		咸开二上赚见	kɒ̃55	kuo422	kᵘɔ44	kᵘɔ44	kɔ33	kuɔ33	kan35	kɑ̃55	kɑ̃55	kã55	kã55
站	车~	咸开二去陷澄		tsuo53	tsᵘɔ53	tsᵘɔ21	tsɔ31	tʃyɔ21	tsan44	tʃɑ̃35	tsɑ̃24	tʃã35	tʃã53
扎	~针	咸开二入洽知	tʃɒ̃21	tsuo33	tsᵘɔ5	tsᵘɔ21		15	tsuo21			tʃa5	
插		咸开二入洽初	tʃʰɒ̃55	tsʰuo422	tsʰᵘɔ5	tsʰᵘɔ5	tsʰɔ5	tʃʰyɔ5	tsʰuo21	tʃʰɑ53	tʃʰa5	tʃʰa5	tʃʰa5
闸		咸开二入洽崇	tʃɒ̃55	tsuo5	tsᵘɔ5	tsᵘɔ21	tsɔ5	tʃyɔ5	tsuo21	tʃɑ53	tʃa5	tʃa5	tʃa5
炸	油~	咸开二入洽生	tʃʊo35	pɑu53{训读}	tsᵘɔ35	tsᵘɔ35	tsɔ5	tʃyɔ21	tsuo55	tʃʰɑ21	tʃʰa21	tʃa21	
夹		咸开二入洽见	kɒ̃55	kuo5	kᵘɔ5	kᵘɔ5	kɔ5	kuɔ5	kuo21	kɑ53	tʃiɑ5{借桂}	ka5	ka5
狭	窄	咸开二入洽匣	hɒ̃53	huo53	tsa5{训读}	hᵘɔ5		15	huo44		ha21	ha21	ha21
衫		咸开二平衔生	ʃɒ̃44	suo232	sᵘɔ13	sᵘɔ132	sɔ24	ʃyɔ13	san242		sɑ̃43	ʃã42	sã24
岩		咸开二平衔疑	ŋɒ̃21	uo33	ᵘɔ33	iɛn21{借桂}	ŋɔ22	ŋuo533	ŋa33	ŋɑ̃33	iᴇ̃21{借桂}	iɛ̃33	ŋã21
甲		咸开二入狎见	kɒ̃55	kuo5	kᵘɔ5	kᵘɔ5	kɔ5	kuɔ5	kuo21	ɑ53	tʃiɑ21{借桂}	ka5	tʃia21/ka5
鸭		咸开二入狎影	ɒ̃55	uo5	ᵘɔ5	ŋᵘɔ5	ŋɔ5	uɔ5	uᴇ21	ɑ53	a5	a5	a5
压		咸开二入狎影	ɒ̃55	uo5	ᵘɔ5	ŋᵘɔ5	ŋɔ5	uɔ5{瓮压}/ia5{压死}	uᴇ21	ɑ53	a5	a5	ŋa5
帘		咸开三平监来	lan21	ni33	niɛ33	ȵie22	lie22	liᴇ533	liᴇn33	liᴇ̃33	ȵiᴇ̃33	liɛ̃33	liɛ̃21
尖		咸开三平监精	tsan44	tʃi232	tʃiɛ13	tʃie132	tʃie24	tʃiᴇ13	tɕiᴇn242	tʃiᴇ̃33{借桂}	tʃiᴇ̃43	tʃiɛ̃42	tsiɛ̃24
签		咸开三平监清		tʃʰi232	tʃʰiɛ13	tʃʰie132	tʃʰie24	tʃʰiᴇ13	tɕʰiᴇn242	tʃʰiᴇ̃33{借桂}	tʃʰiᴇ̃43	tʃʰiɛ̃42	tsʰiɛ̃24
沾		咸开三平监知		tʃi232	niɛ13	15		tʃiᴇ13	tsan242	ȵiɑ̃33	tʃɑ̃33{借桂}	tʃã42	tsã24
钳		咸开三平监群	kan21	ki33	tʃiɛ33	kie22	tʃie22	tʃiᴇ13	tɕin33	tʃʰiᴇ̃33	tʃʰiᴇ̃33	tʃiɛ̃33	tʃiɛ̃21
阉		咸开三平监影	in44	i232	iɛ13	ie132	ie24	iᴇ13	iᴇn242	iᴇ̃422	iᴇ̃43	iɛ̃42	iɛ̃24
炎		咸开三平监云			iɛ33	ȵie5	ie22	iᴇ533/iᴇn533	iᴇn33	iᴇ̃33	iᴇ̃33	ȵiɛ̃33	iɛ̃21
盐		咸开三平监以	in21	i33	iɛ33	ie22	ie22	iᴇ533	iᴇ33/iᴇn33	iᴇ̃33	iᴇ̃33	iɛ̃33	iɛ̃21
闪		咸开三上琰书		tʃiᴇ53	15	sɑŋ44	sɔ33	15	san35	ʃɑ̃55	sɑ̃55	ʃã55	ʃiɛ̃55
染		咸开三上琰日	ŋan33	i21	iɛ21	ȵie44	lie13	iᴇ33	ȵiᴇ21	ȵiᴇ̃21	iᴇ̃52	iɛ̃53	iɛ̃55
检		咸开三上琰见		ki422	tʃiɛ44	kie44	tʃie33	tʃiᴇ33	kiᴇn35	tʃiᴇ̃55	tʃiᴇ̃55	tʃiɛ̃55	tʃiɛ̃55
险		咸开三上琰晓		hiŋ53	ʃiɛ44	hie44		ʃiᴇ33	ɕiᴇn35	ʃiᴇ̃55	ʃiᴇ̃55	ʃiɛ̃55	ʃiɛ̃55
