字	类型	读音
	IPA	roɯ
戶	假名	ウヽ／ウ／フヽ
	IPA	ɯː / ɯ / ɸɯː
戽	假名	スウ
	IPA	sɯː
土	假名	トウ／ト／トヲ
	IPA	toɯ / to / toː
杜	假名	トウ／ドウ／ダウ／トヲ／ドヲ
	IPA	toɯ / doɯ / daɯ / toː / doː
肚	假名	ドウ／トウ
	IPA	doɯ / toɯ
磨	假名	マアヽ／モウ／モ
	IPA	maː / moɯ / mo
磨	假名	マアヽ／モウ／モ
	IPA	maː / moɯ / mo
粗	假名	ツヲヽ
	IPA	tsɯoː
姥	假名	ム
	IPA	mɯ
鏝	假名	マアン／マン
	IPA	maːN / maN
戽	假名	スウ
	IPA	sɯː
滸	假名	フウ
	IPA	ɸɯː
琥	假名	フウ
	IPA	ɸɯː
虎	假名	フウ／フ／フヽ
	IPA	ɸɯː / ɸɯ
努	假名	ノウ／ヌウ
	IPA	noɯ / nɯː
弩	假名	ノウ
	IPA	noɯ
怒	假名	ノウ
	IPA	noɯ
苦	假名	クウ／ク／クヽ
	IPA	kɯː / kɯ
明	假名	ミム／ミン／ミイン
	IPA	mim / miN / miːN
鏝	假名	マアン／マン
	IPA	maːN / maN
五/伍	假名	ウヽ／ウ
	IPA	ɯː / ɯ
午	假名	ウ／ウヽ
	IPA	ɯ / ɯː
堵	假名	トウ
	IPA	toɯ
楮	假名	チユイ
	IPA	tɕijɯi
睹/覩	假名	タウ／ト
	IPA	taɯ / to
肚	假名	ドウ／トウ
	IPA	doɯ / toɯ
賭	假名	トウ／タウ
	IPA	toɯ / taɯ
祖	假名	ツヲヽ／ツウ／ソ／ソ゚／ツ／ツ゚
	IPA	tsɯoː / tsɯː / so / tsɯo / ʔ / tsy
估	假名	クウ
	IPA	kɯː
古	假名	クウ
	IPA	kɯː
沽	假名	クウ
	IPA	kɯː
盬	假名	クウ
	IPA	kɯː
罟	假名	クウ
	IPA	kɯː
賈	假名	クウ／マイ
	IPA	kɯː / mai
鈷	假名	クウ
	IPA	kɯː
鼓/皷	假名	クウ／スウ／ク
	IPA	kɯː / sɯː / kɯ
吐	假名	トウ／トヲ
	IPA	toɯ / toː
土	假名	トウ／ト／トヲ
	IPA	toɯ / to / toː
歟	假名	イユイ
	IPA	ijɯi
礜	假名	イユイ
	IPA	ijɯi
與	假名	イユイ／イ／イ゚／ヨ
	IPA	ijɯi / i / y / jo
蕷	假名	イユイ
	IPA	ijɯi
譽	假名	イユイ
	IPA	ijɯi
輿	假名	イユイ
	IPA	ijɯi
豫/預	假名	チユイ／イユイ／イ゚
	IPA	tɕijɯi / ijɯi / y
鸒	假名	イユイ
	IPA	ijɯi
轝	假名	イユイ
	IPA	ijɯi
慮	假名	リユイ
	IPA	rijɯi
鑢	假名	ロウ
	IPA	roɯ
楚	假名	ツヲウ／ツヲヽ／ツウ／スヲ／ソヲ／スヲヽ
	IPA	tsɯoɯ / tsɯoː / tsɯː / sɯo / soː / sɯoː
女	假名	ヂユイ／ニユイ／ニ
	IPA	dʑijɯi / nijɯi / ni
助	假名	ヅヲヽ／ヅウ
	IPA	dzɯoː / dzɯː
曙	假名	チユイ
	IPA	tɕijɯi
薯	假名	ジユイ
	IPA	dʑijɯi
藷	假名	チユイ
	IPA	tɕijɯi
淤	假名	イユイ
	IPA	ijɯi
如	假名	ジユイ／シユイ／ヅユイ／イ／イ゚／シ゚
	IPA	dʑijɯi / ɕijɯi / dzɯjɯi / i / y / ɕy
處	假名	ヂウイ／チユイ／チユ
	IPA	dʑiɯi / tɕijɯi / tɕijɯ
庶	假名	シユイ／ジユイ
	IPA	ɕijɯi / dʑijɯi
覰/覷	假名	ツユイ
	IPA	tsɯjɯi
去	假名	キユイ／ギ／キ゚
	IPA	kijɯi / gi / ky
箸	假名	チユイ
	IPA	tɕijɯi
除	假名	ヂユイ／チユイ／ヂイ／チユ
	IPA	dʑijɯi / tɕijɯi / dʑiː / tɕijɯ
疏	假名	ソウ／スウ／スヲヽ／ソヲヽ
	IPA	soɯ / sɯː / sɯoː / soːo
御/馭	假名	イユイ／イ゚／ニユイ
	IPA	ijɯi / y / nijɯi
馭	假名	イユイ／イ゚／ニユイ
	IPA	ijɯi / y / nijɯi
語	假名	イユイ／イ／イ゚／ニユイ
	IPA	ijɯi / i / y / nijɯi
箸	假名	チユイ
	IPA	tɕijɯi
著	假名	チヤ／ヂヤ／チヨ
	IPA	tɕija / dʑija / tɕijo
庶	假名	シユイ／ジユイ
	IPA	ɕijɯi / dʑijɯi
沮	假名	ソ
	IPA	so
詎	假名	キユイ
	IPA	kijɯi
據	假名	キユイ
	IPA	kijɯi
鋸	假名	キユイ
	IPA	kijɯi
蕒	假名	マイ
	IPA	mai
駙	假名	フウ
	IPA	ɸɯː
賣	假名	マイ
	IPA	mai
羽	假名	イユイ
	IPA	ijɯi
芋	假名	イユイ
	IPA	ijɯi
雨	假名	イユイ／ユイ／イヒヽ
	IPA	ijɯi / jɯi / içiçi
喻	假名	イユイ／ユ
	IPA	ijɯi / jɯ
籲	假名	ヒユイ
	IPA	çijɯi
諭	假名	イユイ
	IPA	ijɯi
屢	假名	リユイ
	IPA	rijɯi
樹	假名	ジユイ／シユイ／シユ／シ゚ユ
	IPA	dʑijɯi / ɕijɯi / ɕijɯ / ɕyjɯ
付	假名	フウ／フ／ブウ
	IPA	ɸɯː / ɸɯ / bɯː
傅	假名	ヂハユン
	IPA	dʑihajɯN
賦	假名	フウ
	IPA	ɸɯː
聚	假名	ツユイ／ヅユイ／チユ／ジユイ
	IPA	tsɯjɯi / dzɯjɯi / tɕijɯ / dʑijɯi
孺	假名	ジユイ
	IPA	dʑijɯi
務	假名	ウヽ
	IPA	ɯː
芒	假名	マン
	IPA	maN
煦	假名	ヒユイ
	IPA	çijɯi
戍	假名	シユイ
	IPA	ɕijɯi
輸	假名	シユイ／シユ
	IPA	ɕijɯi / ɕijɯ
娶	假名	ツユイ
	IPA	tsɯjɯi
趣	假名	ツユイ／チユ／チユイ
	IPA	tsɯjɯi / tɕijɯ / tɕijɯi
驅	假名	キユイ
	IPA	kijɯi
芒	假名	マン
	IPA	maN
赴	假名	フウ／フ
	IPA	ɸɯː / ɸɯ
住	假名	ヂユイ／チユイ／チユ
	IPA	dʑijɯi / tɕijɯi / tɕijɯ
數	假名	スウ／ソウ／スーウ／スヲ／ソヲ
	IPA	sɯː / soɯ / sɯo / soː
寓	假名	イユイ
	IPA	ijɯi
遇	假名	イユイ
	IPA	ijɯi
住	假名	ヂユイ／チユイ／チユ
	IPA	dʑijɯi / tɕijɯi / tɕijɯ
駐	假名	チユイ
	IPA	tɕijɯi
注／註	假名	チユイ
	IPA	tɕijɯi
炷	假名	チユ
	IPA	tɕijɯ
足	假名	ツオツ／ツヲ／ツユイ／ツヱ／ソ゚／ソヲ／ツヲツ
	IPA	tsɯoʔ / tsɯo / tsɯjɯi / tsɯe / soː
具	假名	キユイ／ギユイ／キ゚／キユ／ク
	IPA	kijɯi / gijɯi / ky / kijɯ / kɯ
懼	假名	ギユイ
	IPA	gijɯi
句	假名	キ゚ユ
	IPA	kyjɯ
瞿	假名	キユイ
	IPA	kijɯi
蒟	假名	キユイ
	IPA	kijɯi
步	假名	ブウ／プウ／ブ／プ／ホ／フウ
	IPA	bɯː / pɯː / bɯ / pɯ / ho / ɸɯː
莽	假名	マン
	IPA	maN
潞	假名	ロウ
	IPA	roɯ
賂	假名	ロウ
	IPA	roɯ
路	假名	ロウ／ルウ／ル／ルヲ／ロヲ
	IPA	roɯ / rɯː / rɯ / rɯo / roː
露	假名	ロウ／ルウ／ル／ロヲ／ルヲ／レヲ
	IPA	roɯ / rɯː / rɯ / roː / rɯo / reo
鷺	假名	ロウ／ルウ
	IPA	roɯ / rɯː
互	假名	ウヽ
	IPA	ɯː
瓠	假名	クハヽ／フウ／ウ
	IPA	kɯɰaː / ɸɯː / ɯ
護	假名	ウヽ／ウ／フ
	IPA	ɯː / ɯ / ɸɯ
度	假名	ド／トウ／ドウ／ト／トヲ／ドヲ
	IPA	do / toɯ / doɯ / to / toː / doː
渡	假名	トウ／ドウ／ダウ
	IPA	toɯ / doɯ / daɯ
鍍	假名	トウ
	IPA	toɯ
蠎	假名	マン
	IPA	maN
蝱/䖟	假名	マン
	IPA	maN
惡	假名	ラ／ウヽ／ヲ
	IPA	ra / ɯː / o
污	假名	ウヽ
	IPA	ɯː
祚	假名	ヅウ
	IPA	dzɯː
胙	假名	ツヲ
	IPA	tsɯo
素	假名	ソウ／スウ／ス／スヲ／ソヲ
	IPA	soɯ / sɯː / sɯ / sɯo / soː
訴	假名	ソウ／スウ
	IPA	soɯ / sɯː
莽	假名	マン
	IPA	maN
曼	假名	マン
	IPA	maN
暮	假名	モウ／ム／モヲ
	IPA	moɯ / mɯ / moː
戽	假名	スウ
	IPA	sɯː
怒	假名	ノウ
	IPA	noɯ
笯	假名	ノウ
	IPA	noɯ
厝	假名	ツヲヽ
	IPA	tsɯoː
措	假名	ツヲヽ／ツユ
	IPA	tsɯoː / tsɯjɯ
醋	假名	ツヲヽ
	IPA	tsɯoː
錯	假名	ツヲヽ
	IPA	tsɯoː
苦	假名	クウ／ク／クヽ
	IPA	kɯː / kɯ
怖	假名	プ
	IPA	pɯ
娛	假名	ウヽ／イユイ
	IPA	ɯː / ijɯi
寤	假名	ウ
	IPA	ɯ
忤	假名	ウヽ
	IPA	ɯː
悟	假名	ウヽ／ウ／コヽ
	IPA	ɯː / ɯ / koko
晤	假名	ウヽ
	IPA	ɯː
誤	假名	ウヽ／ウ
	IPA	ɯː / ɯ
妒/妬	假名	トウ／ドウ／ドヲ
	IPA	toɯ / doɯ / doː
蠹	假名	トウ
	IPA	toɯ
作	假名	ツヲ／ツヲヽ／ソ／ソ゚
	IPA	tsɯo / tsɯoː / so
固	假名	クウ
	IPA	kɯː
故	假名	クウ／ク／クヘ
	IPA	kɯː / kɯ / kɯɰe
棝	假名	クウ
	IPA	kɯː
沽	假名	クウ
	IPA	kɯː
顧	假名	クウ／ク
	IPA	kɯː / kɯ
鯝	假名	クウ
	IPA	kɯː
僱	假名	クウ
	IPA	kɯː
兔	假名	トウ／ト
	IPA	toɯ / to
吐	假名	トウ／トヲ
	IPA	toɯ / toː
菟	假名	ト
	IPA	to
呉	假名	ウヽ
	IPA	ɯː
蘋	假名	ピン／ビン
	IPA	piN / biN
貧	假名	ビン／ピン
	IPA	biN / piN
頻	假名	ピン／ヒン／ビン
	IPA	piN / çiN / biN
嚬/顰	假名	ビン／ピン
	IPA	biN / piN
轔	假名	リン
	IPA	riN
鄰/隣	假名	リン
	IPA	riN
鱗	假名	リン
	IPA	riN
麟	假名	リン
	IPA	riN
宸	假名	シン
	IPA	ɕiN
晨	假名	ジン／シン
	IPA	dʑiN / ɕiN
臣	假名	ヂン／チン／シン
	IPA	dʑiN / tɕiN / ɕiN
辰	假名	シン／ジン
	IPA	ɕiN / dʑiN
蔓	假名	マン
	IPA	maN
鰻	假名	マン
	IPA	maN
因	假名	イン
	IPA	iN
垔/堙	假名	イン
	IPA	iN
姻/婣	假名	イン
	IPA	iN
氤	假名	イン／イユン
	IPA	iN / ijɯN
烟	假名	ヱン／エン
	IPA	eN
禋	假名	イン
	IPA	iN
茵	假名	イン
	IPA	iN
駰／骃	假名	イン
	IPA	iN
秦	假名	シン／ツイン／ヂン／ジン
	IPA	ɕiN / tsɯiN / dʑiN
新	假名	スイン／シン／シイン
	IPA	sɯiN / ɕiN / ɕiːN
薪	假名	スイン
	IPA	sɯiN
辛	假名	スイン／ヒン／シン
	IPA	sɯiN / çiN / ɕiN
人	假名	ジン／シン／シ゚ン／ニン
	IPA	dʑiN / ɕiN / niN
仁	假名	シン／ジン／ニン
	IPA	ɕiN / dʑiN / niN
嗔	假名	デン／チン
	IPA	deN / tɕiN
瞋	假名	チン
	IPA	tɕiN
蠻	假名	マン
	IPA	maN
旻	假名	ヘン
	IPA	heN
鬘	假名	マン
	IPA	maN
伸	假名	シン
	IPA	ɕiN
身	假名	シン
	IPA	ɕiN
親	假名	ツイン／チン／シン
	IPA	tsɯiN / tɕiN / ɕiN
囷	假名	キユイン
	IPA	kijɯiN
塵	假名	チン／ジン／ヂン
	IPA	tɕiN / dʑiN
陳	假名	チン／ヂン
	IPA	tɕiN / dʑiN
垠	假名	ギン
	IPA	giN
銀	假名	イン／キン／ギン
	IPA	iN / kiN / giN
珍	假名	チン
	IPA	tɕiN
鎮	假名	チン
	IPA	tɕiN
唇	假名	ジン／シン
	IPA	dʑiN / ɕiN
振	假名	チン
	IPA	tɕiN
真／眞	假名	シン／チン
	IPA	ɕiN / tɕiN
堇	假名	キン
	IPA	kiN
晨	假名	ジン／シン
	IPA	dʑiN / ɕiN
神	假名	シン／ジン
	IPA	ɕiN / dʑiN
巾	假名	キン
	IPA	kiN
勻	假名	キン／イユイン
	IPA	kiN / ijɯiN
侖／崙	假名	ロヲン／ロエン／ロン／ルン
	IPA	roːN / roeN / roN / rɯN
倫	假名	ルン
	IPA	rɯN
淪	假名	リン／ルン
	IPA	riN / rɯN
綸	假名	ルン
	IPA	rɯN
論	假名	ロヲン／ロン／ルン
	IPA	roːN / roN / rɯN
輪	假名	ロヲン／ロユン／ルン／ロン
	IPA	roːN / rojɯN / rɯN / roN
淳	假名	ジユン／チユン
	IPA	dʑijɯN / tɕijɯN
純	假名	シユイン／シユン
	IPA	ɕijɯiN / ɕijɯN
鶉	假名	トヲン
	IPA	toːN
椿	假名	チユン
	IPA	tɕijɯN
楯	假名	シユン
	IPA	ɕijɯN
輴	假名	チユン
	IPA	tɕijɯN
詢	假名	スユイン
	IPA	sɯjɯiN
春	假名	チユン／チユイン
	IPA	tɕijɯN / tɕijɯiN
逡	假名	チユン
	IPA	tɕijɯN
屯	假名	トヲン
	IPA	toːN
迍	假名	チユン
	IPA	tɕijɯN
遵	假名	ツエン／ツヲン
	IPA	tsɯeN / tsɯoN
均	假名	キユン／キユイン／キン／ギン
	IPA	kijɯN / kijɯiN / kiN / giN
鈞	假名	キユン
	IPA	kijɯN
巡	假名	ジン
	IPA	dʑiN
循	假名	シユン
	IPA	ɕijɯN
楯	假名	シユン
	IPA	ɕijɯN
侁/詵/駪	假名	スイ
	IPA	sɯi
榛	假名	ツイン
	IPA	tsɯiN
墳	假名	フエン
	IPA	ɸɯeN
曼	假名	マン
	IPA	maN
焚	假名	ジエ
	IPA	dʑie
蔓	假名	マン
	IPA	maN
云／雲	假名	イユン／イユイン／イン／イ゚ン／イエン
	IPA	ijɯN / ijɯiN / iN / yN / ieN
耘	假名	イン
	IPA	iN
芸／蕓	假名	イユン
	IPA	ijɯN
鄖	假名	イン
	IPA	iN
分	假名	フン／ウヱン／フウン
	IPA	ɸɯN / ɯeN / ɸɯːN
扮	假名	パン
	IPA	paN
氳	假名	イユイン／ウン／ウヲン
	IPA	ijɯiN / ɯN / ɯoN
蘊	假名	フヲン／イ゚ン／イユン
	IPA	ɸɯoN / yN / ijɯN
鰻	假名	マン
	IPA	maN
紋	假名	ウエン
	IPA	ɯeN
聞	假名	ウヱン／ウエン／ウン
	IPA	ɯeN / ɯN
莽	假名	マン
	IPA	maN
勳	假名	ヒン
	IPA	çiN
曛	假名	ヒン
	IPA	çiN
熏	假名	ヒン／ヒイン／ヒユン
	IPA	çiN / çiːN / çijɯN
葷	假名	ホヲン
	IPA	hoːN
薰	假名	ヒン／ヒイン
	IPA	çiN / çiːN
醺	假名	ヒン
	IPA	çiN
紛	假名	フン
	IPA	ɸɯN
芬	假名	フン
	IPA	ɸɯN
羣／群	假名	ギユイン／キユン／ギユン
	IPA	gijɯiN / kijɯN / gijɯN
裙	假名	ギユン
	IPA	gijɯN
君	假名	キユン／キユイン／キヒン
	IPA	kijɯN / kijɯiN / kiçiN
軍	假名	キエン／キユン／クン／キユイン／キン
	IPA	kieN / kijɯN / kɯN / kijɯiN / kiN
殷	假名	イン
	IPA	iN
欣	假名	ヒン
	IPA	çiN
垠	假名	ギン
	IPA	giN
勤	假名	ギン／キン／チン
	IPA	giN / kiN / tɕiN
芹	假名	ギン／キン
	IPA	giN / kiN
蘄	假名	キン
	IPA	kiN
斤	假名	キン
	IPA	kiN
筋	假名	キン
	IPA	kiN
釿	假名	キン
	IPA	kiN
弼	假名	ミ／ミイ
	IPA	mi / miː
論	假名	ロヲン／ロン／ルン
	IPA	roːN / roN / rɯN
渾	假名	ウヲン／ホン
	IPA	ɯoN / hoN
𤟤	假名	ポイ
	IPA	poi
魂	假名	フヲン／フン／ホヲン
	IPA	ɸɯoN / ɸɯN / hoːN
㹠	假名	ドヲン
	IPA	doːN
屯	假名	トヲン
	IPA	toːN
豚	假名	トヲン
	IPA	toːN
褪	假名	テン
	IPA	teN
奔/犇	假名	ペヱン／ペン／ペエン／ヘン
	IPA	peːN / peN / heN
獼	假名	ミイ
	IPA	miː
溫／温	假名	チヲン／フヲン／ウヲン／ユン／オン
	IPA	tɕioN / ɸɯoN / ɯoN / jɯN / oN
鴛	假名	ユヱン／ヱユン／エン
	IPA	jɯeN / ejɯN / eN
存	假名	ヅヲン／ツヲン／ズン／ゾヲン
	IPA	dzɯoN / tsɯoN / zɯN / zoːN
孫	假名	スヱン／スヲン／ソヲン／ソン／スエン
	IPA	sɯeN / sɯoN / soːN / soN
猻	假名	ソヲン
	IPA	soːN
飱	假名	ザン
	IPA	zaN
捫	假名	メン
	IPA	meN
麋	假名	ミイ
	IPA	miː
婚	假名	ホヲン／ホン
	IPA	hoːN / hoN
昏	假名	ホヲン／ホン／コヲン／フヲン
	IPA	hoːN / hoN / koːN / ɸɯoN
閽	假名	ホン
	IPA	hoN
村	假名	ツヲン／ツエン
	IPA	tsɯoN / tsɯeN
坤	假名	クユン
	IPA	kɯjɯN
噴/歕	假名	ペヱン
	IPA	peːN
惇/敦	假名	ドヲン
	IPA	doːN
尊	假名	ツヲン／ツエン／ヅヲン／ツ゚ヲン
	IPA	tsɯoN / tsɯeN / dzɯoN / tsʰɯoN
樽/罇	假名	ツヲン
	IPA	tsɯoN
昆／崑	假名	クン
	IPA	kɯN
褌	假名	タン
	IPA	taN
鶤	假名	ウヲン
	IPA	ɯoN
痕	假名	ヘン
	IPA	heN
恩	假名	イヱン／ヱヘン／エン／ケン／ゲン／ウエン
	IPA	ieN / eheN / eN / keN / geN / ɯeN
垠	假名	ギン
	IPA	giN
根	假名	ケン／ゲン
	IPA	keN / geN
吞	假名	トン
	IPA	toN
牝	假名	ピン
	IPA	piN
隕	假名	イユイン
	IPA	ijɯiN
引	假名	イン
	IPA	iN
蚓	假名	イン
	IPA	iN
靷	假名	イン
	IPA	iN
蜃	假名	シン
	IPA	ɕiN
盡	假名	ヅイン／ツイン／チン／ズイン
	IPA	dzɯiN / tsɯiN / tɕiN / zɯiN
儘／尽	假名	チン
	IPA	tɕiN
忍	假名	ジン／イン／シン
	IPA	dʑiN / iN / ɕiN
刡	假名	ミン
	IPA	miN
愍/憫	假名	ミン
	IPA	miN
閔	假名	ミン
	IPA	miN
釿	假名	キン
	IPA	kiN
診	假名	チン
	IPA	tɕiN
軫	假名	チン
	IPA	tɕiN
盡	假名	ヅイン／ツイン／チン／ズイン
	IPA	dzɯiN / tsɯiN / tɕiN / zɯiN
菌	假名	キユン
	IPA	kijɯN
緊	假名	キン
	IPA	kiN
允	假名	イユン／イン
	IPA	ijɯN / iN
尹	假名	イン
	IPA	iN
笋／筍	假名	ソヲン
	IPA	soːN
隼/鶽	假名	チユン
	IPA	tɕijɯN
蠢	假名	チユン
	IPA	tɕijɯN
准／準	假名	チユン
	IPA	tɕijɯN
純	假名	シユイン／シユン
	IPA	ɕijɯiN / ɕijɯN
楯	假名	シユン
	IPA	ɕijɯN
盾	假名	ジイン
	IPA	dʑiːN
墳	假名	フエン
	IPA	ɸɯeN
扮	假名	パン
	IPA	paN
扮	假名	パン
	IPA	paN
眉	假名	ミイ／ムイ
	IPA	miː / mɯi
蘊	假名	フヲン／イ゚ン／イユン
	IPA	ɸɯoN / yN / ijɯN
醞	假名	イユン
	IPA	ijɯN
密/宻	假名	ミツ／ミ
	IPA	miʔ / mi
隱	假名	イン
	IPA	iN
近	假名	ギン／キン
	IPA	giN / kiN
堇	假名	キン
	IPA	kiN
槿	假名	キン
	IPA	kiN
謹	假名	キン
	IPA	kiN
棍	假名	クン
	IPA	kɯN
混	假名	ウヲン／クユン／フン
	IPA	ɯoN / kɯjɯN / ɸɯN
渾	假名	ウヲン／ホン
	IPA	ɯoN / hoN
焜	假名	クエン
	IPA	kɯeN
盾	假名	ジイン
	IPA	dʑiːN
遯	假名	ト゜ヲン
	IPA	tʰoːN
𥫱	假名	トヲン
	IPA	toːN
蔤	假名	ミツ
	IPA	miʔ
㒚/穩	假名	ウヲン／ウン
	IPA	ɯoN / ɯN
鱒	假名	ツヲン
	IPA	tsɯoN
損	假名	ソヲン／スユン
	IPA	soːN / sɯjɯN
忖	假名	ツヲン
	IPA	tsɯoN
捆	假名	クン
	IPA	kɯN
袞／衮	假名	クン／クユン
	IPA	kɯN / kɯjɯN
引	假名	イン
	IPA	iN
靷	假名	イン
	IPA	iN
吝/悋	假名	リン
	IPA	riN
轔	假名	リン
	IPA	riN
儭/襯	假名	ツヲン／チン
	IPA	tsɯoN / tɕiN
慎	假名	ジン／シン
	IPA	dʑiN / ɕiN
蜃	假名	シン
	IPA	ɕiN
鬢	假名	ピン／ビン
	IPA	piN / biN
印	假名	イン
	IPA	iN
燼	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
藎	假名	ツイン
	IPA	tsɯiN
信	假名	スイン／シン
	IPA	sɯiN / ɕiN
訊	假名	ジン
	IPA	dʑiN
認	假名	ジン／シン
	IPA	dʑiN / ɕiN
親	假名	ツイン／チン／シン
	IPA	tsɯiN / tɕiN / ɕiN
診	假名	チン
	IPA	tɕiN
陣	假名	チン／ヂン
	IPA	tɕiN / dʑiN
陳	假名	チン／ヂン
	IPA	tɕiN / dʑiN
鎮	假名	チン
	IPA	tɕiN
振	假名	チン
	IPA	tɕiN
震	假名	チン
	IPA	tɕiN
䗯	假名	ツイン
	IPA	tsɯiN
晉	假名	ヂン
	IPA	dʑiN
進	假名	ツイン／シン／チン
	IPA	tsɯiN / ɕiN / tɕiN
覲	假名	キイ／チン
	IPA	kiː / tɕiN
峻	假名	チュン
	IPA	tɕɯN
潤	假名	ジユイ
	IPA	dʑijɯi
舜	假名	シユン／シユイン／スン／チユン
	IPA	ɕijɯN / ɕijɯiN / sɯN / tɕijɯN
俊	假名	ヂン
	IPA	dʑiN
順	假名	シユイ／ジユイ／シユイン／ジユイン／ジユン／シユン／ヂユン
	IPA	ɕijɯi / dʑijɯi / ɕijɯiN / dʑijɯiN / dʑijɯN / ɕijɯN
分	假名	フン／ウヱン／フウン
	IPA	ɸɯN / ɯeN / ɸɯːN
暈	假名	ユイン／イン
	IPA	jɯiN / iN
運	假名	イユン／イン
	IPA	ijɯN / iN
韻／韵	假名	イン
	IPA	iN
鶤	假名	ウヲン
	IPA	ɯoN
奮	假名	フエン
	IPA	ɸɯeN
糞	假名	フン
	IPA	ɸɯN
慍／愠	假名	ユン／イユン
	IPA	jɯN / ijɯN
醞	假名	イユン
	IPA	ijɯN
問	假名	ウヱン／ウエン／ウヘン
	IPA	ɯeN / ɯɰeN
聞	假名	ウヱン／ウエン／ウン
	IPA	ɯeN / ɯN
薰	假名	ヒン／ヒイン
	IPA	çiN / çiːN
訓	假名	ヒユン
	IPA	çijɯN
隱	假名	イン
	IPA	iN
近	假名	ギン／キン
	IPA	giN / kiN
斤	假名	キン
	IPA	kiN
論	假名	ロヲン／ロン／ルン
	IPA	roːN / roN / rɯN
遯	假名	ト゜ヲン
	IPA	tʰoːN
奔	假名	ペヱン／ペン／ペエン／ヘン
	IPA	peːN / peN / heN
鱒	假名	ツヲン
	IPA	tsɯoN
遜	假名	スヲン／ソヲン
	IPA	sɯoN / soːN
悶	假名	モ゚ン／メン／ム／メ
	IPA	məN / meN / mɯ / me
們	假名	モ゚ン
	IPA	məN
媆/嫩	假名	ノヲン／ノン／ネワン
	IPA	noːN / noN / newaN
寸	假名	ツヲン／ツエン／ツン
	IPA	tsɯoN / tsɯeN / tsɯN
困	假名	クン
	IPA	kɯN
噴/歕	假名	ペヱン
	IPA	peːN
敦	假名	ドヲン
	IPA	doːN
頓	假名	トン／トユン
	IPA	toN / tojɯN
恨	假名	へヱン／ヘン／ヘエン／ぺエン／ペン
	IPA	heːN / heN / peːN / peN
狠	假名	へヱン
	IPA	heːN
茛	假名	ヘヱン
	IPA	heːN
蜜	假名	ミツ／ミ
	IPA	miʔ / mi
𮔉	假名	ミツ
	IPA	miʔ
貓	假名	ミヤ◦ウ／メウ
	IPA	mijaɯ / meɯ
溢	假名	イ
	IPA	i
逸	假名	イ
	IPA	i
慄／栗	假名	リツ／リ
	IPA	riʔ / ri
篥	假名	リツ
	IPA	riʔ
昵/暱	假名	ニ
	IPA	ni
衵	假名	ジツ
	IPA	dʑiʔ
必	假名	ピ／ヒ／ビ／ヒツ
	IPA	pi / çi / bi / çiʔ
猫／貓	假名	ミヤウ／ミヤ◦ウ／メウ／マ◦ウ
	IPA	mijaɯ / meɯ / maɯ
螟	假名	ミン
	IPA	miN
茗	假名	ミン
	IPA	miN
名	假名	ミン／ミイン
	IPA	miN / miːN
岷	假名	ミン
	IPA	miN
民	假名	ミン／ミイン
	IPA	miN / miːN
一/壹	假名	イツ／イ
	IPA	iʔ / i
乙	假名	イ
	IPA	i
嫉	假名	ヅヱ
	IPA	dzɯe
疾	假名	ヅヱ／ツヱ／チ
	IPA	dzɯe / tsɯe / tɕi
蒺	假名	スヱツ
	IPA	sɯeʔ
悉	假名	シ／シツ
	IPA	ɕi / ɕiʔ
膝	假名	スヱツ／スヱ／チ
	IPA	sɯeʔ / sɯe / tɕi
蟋	假名	スヱ／スイツ
	IPA	sɯe / sɯiʔ
鶺	假名	スヱツ／スヱ
	IPA	sɯeʔ / sɯe
日	假名	ジツ／ジ／シ
	IPA	dʑiʔ / dʑi / ɕi
衵	假名	ジツ
	IPA	dʑiʔ
叱	假名	シ
	IPA	ɕi
瑁	假名	ムイ
	IPA	mɯi
瑁	假名	ムイ
	IPA	mɯi
枚	假名	ムイ
	IPA	mɯi
袂	假名	ムイ
	IPA	mɯi
失	假名	シ
	IPA	ɕi
室	假名	サツ／シツ／シ／ジ
	IPA	saʔ / ɕiʔ / ɕi / dʑi
七	假名	チツ／ツイツ／チ
	IPA	tɕiʔ / tsɯiʔ / tɕi
漆	假名	ツヱ／チ
	IPA	tsɯe / tɕi
蛣	假名	キ
	IPA	ki
詰	假名	キ
	IPA	ki
姪	假名	ヂ／チ
	IPA	dʑi / tɕi
秩	假名	チ
	IPA	tɕi
率	假名	スヱヽ／ソ゚
	IPA	sɯeː / tsɯo
蟀	假名	スヱ／ジユ／スツ
	IPA	sɯe / dʑijɯ / sɯʔ
蛭	假名	チツ／チ
	IPA	tɕiʔ / tɕi
螲	假名	テ
	IPA	te
侄	假名	ヂ
	IPA	dʑi
蛭	假名	チツ／チ
	IPA	tɕiʔ / tɕi
質	假名	チ
	IPA	tɕi
鑕	假名	チツ
	IPA	tɕiʔ
實	假名	シツ／ジ／シ／ツ
	IPA	ɕiʔ / dʑi / ɕi / ʔ
実	假名	シ
	IPA	ɕi
吉	假名	キ／キツ
	IPA	ki / kiʔ
鱊	假名	キヱツ
	IPA	kieʔ
鷸	假名	ジツ／イツ
	IPA	dʑiʔ / iʔ
律	假名	リ
	IPA	ri
繂	假名	スヱ
	IPA	sɯe
嵂	假名	リ
	IPA	ri
崒	假名	スエツ
	IPA	sɯeʔ
恤	假名	スヱ
	IPA	sɯe
出	假名	チユ／チ／チヒ／チユツ
