"繁体字"	"简体字"	"新晃凳寨"	"声母"	"韵母"	"调值"	"声调"	"国际音标"	"说明"	
"涕"	"涕"	"ti5"	"tʰ"	"i"	45	"去声"	"tʰi45"		
"天"	"天"	"tian1"	"tʰ"	"ien"	13	"阴平"	"tʰien13"		
"添"	"添"	"tian1"	"tʰ"	"ien"	13	"阴平"	"tʰien13"		
"顚"	"顚"	"tian1"	"tʰ"	"ien"	13	"阴平"	"tʰien13"		
"顛"	"颠"	"tian1"	"tʰ"	"ien"	13	"阴平"	"tʰien13"		
"填"	"填"	"tian2"	"tʰ"	"ien"	11	"阳平"	"tʰien11"		
"恬"	"恬"	"tian2"	"tʰ"	"ien"	11	"阳平"	"tʰien11"		
"甜"	"甜"	"tian2"	"tʰ"	"ien"	11	"阳平"	"tʰien11"		
"田"	"田"	"tian2"	"tʰ"	"ien"	11	"阳平"	"tʰien11"		
"鈿"	"钿"	"tian2"	"tʰ"	"ien"	11	"阳平"	"tʰien11"		
"舔"	"舔"	"tian3"	"tʰ"	"ien"	21	"上声"	"tʰien21"		
"靦"	"腼"	"tian3"	"tʰ"	"ien"	21	"上声"	"tʰien21"		
"打"	"打"	"tiang5"	"tʰ"	"iaŋ"	45	"去声"	"tʰiaŋ45"	"白"	
"挑"	"挑"	"tiao1"	"tʰ"	"iau"	13	"阴平"	"tʰiau13"	"文"	
"條"	"条"	"tiao2"	"tʰ"	"iau"	11	"阳平"	"tʰiau11"		
"笤"	"笤"	"tiao2"	"tʰ"	"iau"	11	"阳平"	"tʰiau11"		
"苕"	"苕"	"tiao2"	"tʰ"	"iau"	11	"阳平"	"tʰiau11"		
"調"	"调"	"tiao2"	"tʰ"	"iau"	11	"阳平"	"tʰiau11"		
"迢"	"迢"	"tiao2"	"tʰ"	"iau"	11	"阳平"	"tʰiau11"		
"斢"	"斢"	"tiao21"	"tʰ"	"iau"	21	"上声"	"tʰiau21"	"换"	
"挑"	"挑"	"tiao3"	"tʰ"	"iau"	21	"上声"	"tʰiau21"		
"眺"	"眺"	"tiao5"	"tʰ"	"iau"	45	"去声"	"tʰiau45"		
"跳"	"跳"	"tiao5"	"tʰ"	"iau"	45	"去声"	"tʰiau45"		
"帖"	"帖"	"tie2"	"tʰ"	"ie"	11	"阳平"	"tʰie11"		
"貼"	"贴"	"tie2"	"tʰ"	"ie"	11	"阳平"	"tʰie11"		
"鐵"	"铁"	"tie2"	"tʰ"	"ie"	11	"阳平"	"tʰie11"		
"廳"	"厅"	"tin1"	"tʰ"	"in"	13	"阴平"	"tʰin13"		
"汀"	"汀"	"tin1"	"tʰ"	"in"	13	"阴平"	"tʰin13"		
"亭"	"亭"	"tin2"	"tʰ"	"in"	11	"阳平"	"tʰin11"		
"停"	"停"	"tin2"	"tʰ"	"in"	11	"阳平"	"tʰin11"		
"庭"	"庭"	"tin2"	"tʰ"	"in"	11	"阳平"	"tʰin11"		
"廷"	"廷"	"tin2"	"tʰ"	"in"	11	"阳平"	"tʰin11"		
"蜓"	"蜓"	"tin2"	"tʰ"	"in"	11	"阳平"	"tʰin11"		
"挺"	"挺"	"tin3"	"tʰ"	"in"	21	"上声"	"tʰin21"		
"脡"	"脡"	"tin3"	"tʰ"	"in"	21	"上声"	"tʰin21"		
"艇"	"艇"	"tin3"	"tʰ"	"in"	21	"上声"	"tʰin21"		
"聽"	"听"	"tin5"	"tʰ"	"in"	45	"去声"	"tʰin45"		
"拖"	"拖"	"to1"	"tʰ"	"o"	13	"阴平"	"tʰo13"		
"托"	"托"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"脫"	"脱"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"舵"	"舵"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"託"	"托"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"陀"	"陀"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"馱"	"驮"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"駝"	"驼"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"鴕"	"鸵"	"to2"	"tʰ"	"o"	11	"阳平"	"tʰo11"		
"妥"	"妥"	"to3"	"tʰ"	"o"	21	"上声"	"tʰo21"		
"橢"	"椭"	"to3"	"tʰ"	"o"	21	"上声"	"tʰo21"		
"唾"	"唾"	"to5"	"tʰ"	"o"	45	"去声"	"tʰo45"		
"拓"	"拓"	"to5"	"tʰ"	"o"	45	"去声"	"tʰo45"		
"摞"	"摞"	"to5"	"tʰ"	"o"	45	"去声"	"tʰo45"		
"彤"	"彤"	"tong1"	"tʰ"	"oŋ"	13	"阴平"	"tʰoŋ13"		
"通"	"通"	"tong1"	"tʰ"	"oŋ"	13	"阴平"	"tʰoŋ13"		
"童"	"童"	"tong1"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"同"	"同"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"桐"	"桐"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"瞳"	"瞳"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"筒"	"筒"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"	"一筒"	
"酮"	"酮"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"銅"	"铜"	"tong2"	"tʰ"	"oŋ"	11	"阳平"	"tʰoŋ11"		
"捅"	"捅"	"tong3"	"tʰ"	"oŋ"	21	"上声"	"tʰoŋ21"		
"桶"	"桶"	"tong3"	"tʰ"	"oŋ"	21	"上声"	"tʰoŋ21"		
"筒"	"筒"	"tong3"	"tʰ"	"oŋ"	21	"上声"	"tʰoŋ21"	"筒鞋"	
"統"	"统"	"tong3"	"tʰ"	"oŋ"	21	"上声"	"tʰoŋ21"		
"痛"	"痛"	"tong5"	"tʰ"	"oŋ"	45	"去声"	"tʰoŋ45"		
"偷"	"偷"	"tou1"	"tʰ"	"əu"	13	"阴平"	"tʰəu13"		
"禿"	"秃"	"tou1"	"tʰ"	"əu"	13	"阴平"	"tʰəu13"		
"凸"	"凸"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"圖"	"图"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"塗"	"涂"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"塗"	"涂"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"屠"	"屠"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"徒"	"徒"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"投"	"投"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"突"	"突"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"途"	"途"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"頭"	"头"	"tou2"	"tʰ"	"əu"	11	"阳平"	"tʰəu11"		
"吐"	"吐"	"tou3"	"tʰ"	"əu"	21	"上声"	"tʰəu21"		
"土"	"土"	"tou3"	"tʰ"	"əu"	21	"上声"	"tʰəu21"		
"抖"	"抖"	"tou3"	"tʰ"	"əu"	21	"上声"	"tʰəu21"	"白"	
"兔"	"兔"	"tou5"	"tʰ"	"əu"	45	"去声"	"tʰəu45"		
"吐"	"吐"	"tou5"	"tʰ"	"əu"	45	"去声"	"tʰəu45"		
"透"	"透"	"tou5"	"tʰ"	"əu"	45	"去声"	"tʰəu45"		
"湍"	"湍"	"tuan1"	"tʰ"	"uan"	13	"阴平"	"tʰuan13"		
"團"	"团"	"tuan2"	"tʰ"	"uan"	11	"阳平"	"tʰuan11"		
"哇"	"哇"	"wa1"	"v"	"a"	13	"阴平"	"va13"		
"挖"	"挖"	"wa1"	"v"	"a"	13	"阴平"	"va13"		
"窪"	"洼"	"wa1"	"v"	"a"	13	"阴平"	"va13"		
"蛙"	"蛙"	"wa1"	"v"	"a"	13	"阴平"	"va13"		
"蝸"	"蜗"	"wa1"	"v"	"a"	13	"阴平"	"va13"		
"娃"	"娃"	"wa2"	"v"	"a"	11	"阳平"	"va11"		
"襪"	"袜"	"wa2"	"v"	"a"	11	"阳平"	"va11"		
"搲"	"搲"	"wa3"	"v"	"a"	21	"上声"	"va21"	"搲水"	
"瓦"	"瓦"	"wa3"	"v"	"a"	21	"上声"	"va21"		
"歪"	"歪"	"wai1"	"v"	"ai"	13	"阴平"	"vai13"		
"外"	"外"	"wai5"	"v"	"ai"	45	"去声"	"vai45"		
"宛"	"宛"	"wan1"	"v"	"an"	13	"阴平"	"van13"		
"彎"	"弯"	"wan1"	"v"	"an"	13	"阴平"	"van13"		
"灣"	"湾"	"wan1"	"v"	"an"	13	"阴平"	"van13"		
"豌"	"豌"	"wan1"	"v"	"an"	13	"阴平"	"van13"		
"丸"	"丸"	"wan2"	"v"	"an"	11	"阳平"	"van11"		
"完"	"完"	"wan2"	"v"	"an"	11	"阳平"	"van11"		
"烷"	"烷"	"wan2"	"v"	"an"	11	"阳平"	"van11"		
"玩"	"玩"	"wan2"	"v"	"an"	11	"阳平"	"van11"		
"頑"	"顽"	"wan2"	"v"	"an"	11	"阳平"	"van11"		
"婉"	"婉"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"宛"	"宛"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"惋"	"惋"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"挽"	"挽"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"晚"	"晚"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"皖"	"皖"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"碗"	"碗"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"輓"	"挽"	"wan3"	"v"	"an"	21	"上声"	"van21"		
"腕"	"腕"	"wan5"	"v"	"an"	45	"去声"	"van45"		
"萬"	"万"	"wan5"	"v"	"an"	45	"去声"	"van45"		
"汪"	"汪"	"wang1"	"v"	"aŋ"	13	"阴平"	"vaŋ13"		
"亡"	"亡"	"wang2"	"v"	"aŋ"	11	"阳平"	"vaŋ11"		
"王"	"王"	"wang2"	"v"	"aŋ"	11	"阳平"	"vaŋ11"		
"璜"	"璜"	"wang2"	"v"	"aŋ"	11	"阳平"	"vaŋ11"		
"皇"	"皇"	"wang2"	"v"	"aŋ"	11	"阳平"	"vaŋ11"		
"往"	"往"	"wang3"	"v"	"aŋ"	21	"上声"	"vaŋ21"		
"枉"	"枉"	"wang3"	"v"	"aŋ"	21	"上声"	"vaŋ21"		
"網"	"网"	"wang3"	"v"	"aŋ"	21	"上声"	"vaŋ21"		
"妄"	"妄"	"wang5"	"v"	"aŋ"	45	"去声"	"vaŋ45"		
"忘"	"忘"	"wang5"	"v"	"aŋ"	45	"去声"	"vaŋ45"		
"旺"	"旺"	"wang5"	"v"	"aŋ"	45	"去声"	"vaŋ45"		
"望"	"望"	"wang5"	"v"	"aŋ"	45	"去声"	"vaŋ45"		
"威"	"威"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"巍"	"巍"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"微"	"微"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"煨"	"煨"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"薇"	"薇"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"偎"	"偎"	"wei1"	"v"	"əi"	13	"阴平"	"vəi13"		
"危"	"危"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"唯"	"唯"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"圍"	"围"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"惟"	"惟"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"桅"	"桅"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"濰"	"潍"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"為"	"为"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"維"	"维"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"違"	"违"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"遺"	"遗"	"wei2"	"v"	"əi"	11	"阳平"	"vəi11"		
"偉"	"伟"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"偽"	"伪"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"委"	"委"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"尾"	"尾"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"緯"	"纬"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"萎"	"萎"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"葦"	"苇"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"韋"	"韦"	"wei3"	"v"	"əi"	21	"上声"	"vəi21"		
"位"	"位"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"味"	"味"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"喂"	"喂"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"尉"	"尉"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"慰"	"慰"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"未"	"未"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"渭"	"渭"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"為"	"为"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"畏"	"畏"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"胃"	"胃"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"蔚"	"蔚"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"蝟"	"猬"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"衛"	"卫"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"謂"	"谓"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"餵"	"喂"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"魏"	"魏"	"wei5"	"v"	"əi"	45	"去声"	"vəi45"		
"溫"	"温"	"wen1"	"v"	"ən"	13	"阴平"	"vən13"		
"瘟"	"瘟"	"wen1"	"v"	"ən"	13	"阴平"	"vən13"		
"文"	"文"	"wen2"	"v"	"ən"	11	"阳平"	"vən11"		
"紋"	"纹"	"wen2"	"v"	"ən"	11	"阳平"	"vən11"		
"聞"	"闻"	"wen2"	"v"	"ən"	11	"阳平"	"vən11"		
"蚊"	"蚊"	"wen2"	"v"	"ən"	11	"阳平"	"vən11"		
"吻"	"吻"	"wen3"	"v"	"ən"	21	"上声"	"vən21"		
"穩"	"稳"	"wen3"	"v"	"ən"	21	"上声"	"vən21"		
"紊"	"紊"	"wen3"	"v"	"ən"	21	"上声"	"vən21"		
"問"	"问"	"wen5"	"v"	"ən"	45	"去声"	"vən45"		
"侮"	"侮"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"嗚"	"呜"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"塢"	"坞"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"巫"	"巫"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"汙"	"污"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"烏"	"乌"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"誣"	"诬"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"鎢"	"钨"	"wu1"	"v"	"u"	13	"阴平"	"vu13"		
"吳"	"吴"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"吾"	"吾"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"屋"	"屋"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"梧"	"梧"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"毋"	"毋"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"無"	"无"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"無"	"无"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"物"	"物"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"蕪"	"芜"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"蜈"	"蜈"	"wu2"	"v"	"u"	11	"阳平"	"vu11"		
"五"	"五"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"伍"	"伍"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"午"	"午"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"武"	"武"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"舞"	"舞"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"鵡"	"鹉"	"wu3"	"v"	"u"	21	"上声"	"vu21"		
"務"	"务"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"勿"	"勿"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"悟"	"悟"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"捂"	"捂"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"晤"	"晤"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"誤"	"误"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"霧"	"雾"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"戊"	"戊"	"wu5"	"v"	"u"	45	"去声"	"vu45"		
"瞀"	"瞀"	"wu5"	"v"	"u"	45	"去声"	"vu45"	"视不清"	
"嘻"	"嘻"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"夕"	"夕"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"	"新"	
"嬉"	"嬉"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"希"	"希"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"悉"	"悉"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"棲"	"栖"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"汐"	"汐"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"	"新"	
"烯"	"烯"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"熙"	"熙"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"犀"	"犀"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"犧"	"牺"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"硒"	"硒"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"稀"	"稀"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"蟋"	"蟋"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"需"	"需"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"	"老"	
"須"	"须"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"	"老"	
"鬚"	"须"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"	"老"	
"西"	"西"	"xi1"	"ɕ"	"i"	13	"阴平"	"ɕi13"		
"吸"	"吸"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"媳"	"媳"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"席"	"席"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"徐"	"徐"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"息"	"息"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"惜"	"惜"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"昔"	"昔"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"晰"	"晰"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"析"	"析"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"檄"	"檄"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"熄"	"熄"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"		
"矽"	"硅"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"習"	"习"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"蓆"	"席"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"襲"	"袭"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"錫"	"锡"	"xi2"	"ɕ"	"i"	11	"阳平"	"ɕi11"	"新"	
"喜"	"喜"	"xi3"	"ɕ"	"i"	21	"上声"	"ɕi21"		
"洗"	"洗"	"xi3"	"ɕ"	"i"	21	"上声"	"ɕi21"		
"蟢"	"蟢"	"xi3"	"ɕ"	"i"	21	"上声"	"ɕi21"		
"許"	"许"	"xi3"	"ɕ"	"i"	21	"上声"	"ɕi21"		
"婿"	"婿"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"戲"	"戏"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"系"	"系"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"絮"	"絮"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"緒"	"绪"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"繫"	"系"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"隙"	"隙"	"xi5"	"ɕ"	"i"	45	"去声"	"ɕi45"		
"蝦"	"虾"	"xia1"	"ɕ"	"ia"	13	"阴平"	"ɕia13"		
"挲"	"挲"	"xia1"	"ɕ"	"ia"	13	"阴平"	"ɕia13"	"腿张开"	
"俠"	"侠"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"匣"	"匣"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"峽"	"峡"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"狹"	"狭"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"瞎"	"瞎"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"轄"	"辖"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"郟"	"郏"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"霞"	"霞"	"xia2"	"ɕ"	"ia"	11	"阳平"	"ɕia11"		
"下"	"下"	"xia5"	"ɕ"	"ia"	45	"去声"	"ɕia45"	"文"	
"夏"	"夏"	"xia5"	"ɕ"	"ia"	45	"去声"	"ɕia45"		
"廈"	"厦"	"xia5"	"ɕ"	"ia"	45	"去声"	"ɕia45"		
"廈"	"厦"	"xia5"	"ɕ"	"ia"	45	"去声"	"ɕia45"		
"仙"	"仙"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"	"新"	
"先"	"先"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"	"新"	
"杴"	"杴"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"		
"纖"	"纤"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"	"新"	
"鍁"	"锨"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"		
"鮮"	"鲜"	"xian1"	"ɕ"	"ien"	13	"阴平"	"ɕien13"	"新"	
"咸"	"咸"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"啣"	"衔"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"嫌"	"嫌"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"弦"	"弦"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"暇"	"暇"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"涎"	"涎"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"絃"	"弦"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"舷"	"舷"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"賢"	"贤"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"銜"	"衔"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"閑"	"闲"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"閒"	"闲"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"		
"鹹"	"咸"	"xian2"	"ɕ"	"ien"	11	"阳平"	"ɕien11"	"新"	
"銑"	"铣"	"xian3"	"ɕ"	"ien"	21	"上声"	"ɕien21"		
"險"	"险"	"xian3"	"ɕ"	"ien"	21	"上声"	"ɕien21"		
"顯"	"显"	"xian3"	"ɕ"	"ien"	21	"上声"	"ɕien21"		
"鮮"	"鲜"	"xian3"	"ɕ"	"ien"	21	"上声"	"ɕien21"	"新"	
"憲"	"宪"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"獻"	"献"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"現"	"现"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"線"	"线"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"	"新"	
"縣"	"县"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"羨"	"羡"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"	"新"	
"腺"	"腺"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"	"新"	
"陷"	"陷"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"	"文"	
"餡"	"馅"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"限"	"限"	"xian5"	"ɕ"	"ien"	45	"去声"	"ɕien45"		
"廂"	"厢"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"	"新"	
"湘"	"湘"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"	"新"	
"相"	"相"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"	"新"	
"襄"	"襄"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"	"新"	
"鄉"	"乡"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"		
"鑲"	"镶"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"	"新"	
"香"	"香"	"xiang1"	"ɕ"	"iaŋ"	13	"阴平"	"ɕiaŋ13"		
"祥"	"祥"	"xiang2"	"ɕ"	"iaŋ"	11	"阳平"	"ɕiaŋ11"	"新"	
"翔"	"翔"	"xiang2"	"ɕ"	"iaŋ"	11	"阳平"	"ɕiaŋ11"	"新"	
"詳"	"详"	"xiang2"	"ɕ"	"iaŋ"	11	"阳平"	"ɕiaŋ11"	"新"	
"降"	"降"	"xiang2"	"ɕ"	"iaŋ"	11	"阳平"	"ɕiaŋ11"		
"享"	"享"	"xiang3"	"ɕ"	"iaŋ"	21	"上声"	"ɕiaŋ21"		
"想"	"想"	"xiang3"	"ɕ"	"iaŋ"	21	"上声"	"ɕiaŋ21"	"新"	
"響"	"响"	"xiang3"	"ɕ"	"iaŋ"	21	"上声"	"ɕiaŋ21"		
"像"	"像"	"xiang5"	"ɕ"	"iaŋ"	45	"去声"	"ɕiaŋ45"	"新"	
"向"	"向"	"xiang5"	"ɕ"	"iaŋ"	45	"去声"	"ɕiaŋ45"		
"嚮"	"向"	"xiang5"	"ɕ"	"iaŋ"	45	"去声"	"ɕiaŋ45"		
