#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
ʦhᴇ̃ [1]村春称{~重}蛏[5]趁衬忖寸称{~心}秤逞蠢	
sᴇ̃ [1]森参{人~}深身申伸孙升胜{不~}生={~产}牲={牺~}笙声{~音，笑~}[5]沈婶审损笋榫僧胜{~利}圣渗	
zᴇ̃ [2]任=纴陈尘神辰晨臣人={~民}存唇纯层曾{~经}绳丞成城=诚沉仁={~义}惩橙乘承仍扔程澄[6]肾韧={~带}憎郑甚阵慎忍={残~}顺润赠剩{~余}盛=侺{“是侬”的合音，第二人称单数}	
kᴇ̃ [1]跟根耕更={~正，变~}[5]更={~加}耿	
khᴇ̃ [1]掯[5]恳垦啃肯	
ɡᴇ̃ [6]□{倔强}	
ᴇ̃ [1]恩	
hᴇ̃ [1]哼[5]很擤嗅	
ɦᴇ̃ [2]恒衡[6]痕恨佷{“是侬”的合音，第二人称单数}	
#ĩ	
pĩ [1]彬宾槟滨殡鬓冰兵[5]秉柄饼并{合~}鈵丙	
phĩ [1]拚拼姘乒[5]品聘	
bĩ [2]贫频苹凭平评坪瓶屏萍[6]病并{~且}	
mĩ [1]鸣皿冥闵[2]民明名铭[5]闽悯敏抿[6]命脗{同“吻”}吻-	
vĩ [1]朆{“勿曾”的合音，副词，相当于普通话的“没有”（后面接动词，不能接名词）}	
tĩ [1]丁钉疔叮钉{名词}[5]顶钉{动词}濎订	
thĩ [1]听{~话}厅汀[5]听{~任}挺艇□{剩下}	
dĩ [2]亭停庭廷蜓[6]锭定	
lĩ [1]拎[2]林淋鳞磷邻凌陵菱灵零铃伶翎龄繗临[6]领岭另	
ʦĩ [1]津精晶睛[5]浸枕-{~头}尽{~管}进晋俊浚井	
ʦhĩ [1]亲清青侵[5]寝请	
sĩ [1]心芯辛薪新眚星腥猩蜻[5]荀询信讯迅性姓醒	
