字頭	聲母/韻母/聲調	註釋	錔字
飲	jim55		
□	jim33	[用濕布輕輕擦拭衣物上的汙漬]	
賃	jim22		
貧	pʰin21		
頻	pʰin21		
閩	min24		
民	min21		
抿	min55		
炆	min55	(~餸)[一種做菜的程式]	
□	min33	[快到邊上、盡頭]	𠍁
賓	ɓin24		
彬	ɓin24		
斌	ɓin24		
檳	ɓin24		
品	ɓin55		
稟	ɓin55		
辮	ɓin35	*變調	
殯	ɓin33		
鬢	ɓin33		
進	ɗin33		
晉	ɗin33		
盡	ɗin22		
侭	ɗin22		
親	tʰin24	(~人)	
親	tʰin33	(~家)	
新	ɬin24		
辛	ɬin24		
薪	ɬin24		
信	ɬin33	(~任)	
訊	ɬin33		
珍	ʦin24		
真	ʦin24		
展	ʦin55	(發~)	
鎭	ʦin33		
震	ʦin33		
陣	ʦin22		
陳	ʦʰin21		
塵	ʦʰin21		
診	ʦʰin55		
疹	ʦʰin55		
親	ʦʰin33	[般配]	
趁	ʦʰin33		
仁	ȵin21		
忍	ȵin55	(~讓)	
人	ȵin22		
刃	ȵin22		
靭	ȵin22		
身	sin24		
申	sin24		
伸	sin24	(~怨)	
神	sin21		
辰	sin21		
晨	sin21		
娠	sin21		
臣	sin21		
慎	sin22		
腎	sin22		
斤	kin24		
跟	kin24		
根	kin24		
巾	kin24		
筋	kin24		
僅	kin55		
近	kin22		
勤	kʰin21		
芹	kʰin21		
近	kʰin33		
因	jin24		
姻	jin24		
茵	jin24		
恩	jin24		
洇	jin24		
仁	jin21		
寅	jin21		
隱	jin55		
忍	jin55		
引	jin55		
瘾	jin35	*變調	
印	jin33		
孕	jin22		
集	ɗip2		
習	ɗip2		
襲	ɗip2		
緝	tʰip5		
輯	tʰip5		
粒	nip5	(顆~無收)	
粒	nip3	(一~)	
立	lip2		
膝	ɬip5		
□	ɬip3	[刺進肌肉裏的小刺兒]	
汁	ʦip5	[乳房或指哺乳期婦女的乳汁]	
執	ʦip5		
汁	ʦip3	(果~)	
入	ȵip2		
濕	sip5		
十	sip2		
拾	sip2		
什	sip2		
急	kip5		
級	kʰip5		
給	kʰip5		
吸	kʰip5		
泣	hip5		
揖	jip5		
入	jip2		
弼	ɓit2		
匹	pʰit5		
密	mit2		
蜜	mit2		
筆	ɓit5		
畢	ɓit5		
必	ɓit5		
筆	ɓit3		
啲	ɗit5	(一~)[一些]	
七	tʰit5		
漆	tʰit5		
□	ɗit35	(樽~)[瓶子塞兒]	𣔻
□	ɬit3	[塞住]	
質	ʦit5		
□	ʦit3	(~去~來)[塞來塞去]	挃
侄	ʦit2		
姪	ʦit2		
日	ȵit2		
失	sit5		
室	sit5		
瑟	sit5		
實	sit2		
桔	kit5		
吉	kit5		
□	kit3	[用針或其他尖細的東西刺]	趌
□	kit2	(~腳)	趌
一	jit5		
一	jit3		
日	jit2		
哹	ɓu21	(~口水)	
部	ɓu22		
步	ɓu22		
捕	ɓu22		
埠	ɓu22		
簿	ɓu22		
鋪	pʰu24	(~路)	
葡	pʰu21		
蒲	pʰu21		
菩	pʰu21		
脯	pʰu21		
譜	pʰu55		
普	pʰu55		
鋪	pʰu33	(店~)	
母	mu24	[專指伯母]	
無	mu21		
模	mu21		
募	mu21	(~仿)	
巫	mu21		
誣	mu21		
舞	mu55		
母	mu35	(~親)	
武	mu35		
侮	mu35		
鵡	mu35		
務	mu22		
霧	mu22		
墓	mu22		
暮	mu22		
慕	mu22		
募	mu22		
夫	fu24		
膚	fu24		
呼	fu24		
乎	fu24		
敷	fu24		
俘	fu24		
孵	fu24		
麸	fu24		
扶	fu21		
瓠	fu21		
符	fu21		
芙	fu21		
撫	fu55		
苦	fu55		
虎	fu55		
滸	fu55		
府	fu55		
腑	fu55		
俯	fu55		
甫	fu55		
斧	fu55		
釜	fu55		
傅	fu35		
褲	fu35		
婦	fu35		
副	fu33		
富	fu33		
父	fu22		
付	fu22		
賦	fu22		
赴	fu22		
訃	fu22		
腐	fu22		
輔	fu22		
附	fu22		
負	fu22		
烏	wu24		
汙	wu24		
塢	wu24		
胡	wu21		
湖	wu21		
狐	wu21		
壺	wu21		
補	wu55		
芋	wu35		
惡	wu33	(厭惡)	
布	ɓu33		
佈	ɓu33		
浦	ɓu33		
怖	ɓu33		
戶	wu22		
滬	wu22		
互	wu22		
租	ɗu24		
祖	ɗu55		
組	ɗu55		
做	ɗu33	(~嘢)[工作、做事]	
做	ɗu22	(~作業)	
妒	ɗu22		
杜	ɗu22		
度	ɗu22	(速~)	
渡	ɗu22		
鍍	ɗu22		
杜	ɗu22		
粗	tʰu24		
徒	tʰu21		
屠	tʰu21		
途	tʰu21		
塗	tʰu21		
圖	tʰu21		
土	tʰu55		
兔	tʰu35	*變調	
醋	tʰu33		
吐	tʰu33	(~痰、嘔~)	
措	tʰu33		
奴	nu21		
努	nu55		
怒	nu22		
都	ɗu24		
盧	lu21		
驢	lu21		
蘆	lu21		
鸕	lu21		
廬	lu21		
爐	lu21		
賭	ɗu55		
堵	ɗu55		
肚	ɗu55		
魯	lu35		
櫓	lu35		
虜	lu35		
滷	lu35		
路	lu22		
賂	lu22		
露	lu22		
鷺	lu22		
鬚	ɬu24		
蘇	ɬu24		
酥	ɬu24		
素	ɬu33		
訴	ɬu33		
塑	ɬu33		
姑	ku24		
孤	ku24		
估	ku55		
古	ku55		
牯	ku55		
股	ku55		
故	ku33		
固	ku33		
雇	ku33		
顧	ku33		
枯	kʰu24		
箍	kʰu55	[動詞]	
麾	fui24		
揮	fui24		
輝	fui24		
徽	fui24		
非	fui24		
飛	fui24		
妃	fui24		
肥	fui21		
毁	fui55		
匪	fui55		
翡	fui55		
諱	fui55		
痹	fui33		
費	fui33		
慧	fui22		
嘴	ɗui55		
最	ɗui33		
醉	ɗui33		
罪	ɗui22		
序	ɗui22		
隊	ɗui22		
推	tʰui24		
催	tʰui24		
摧	tʰui24		
崔	tʰui24		
頹	tʰui21		
隨	tʰui21		
𪡷	tʰui21	[氣味]	
腿	tʰui55		
翠	tʰui35	*變調	
退	tʰui33		
蛻	tʰui33		
褪	tʰui33		
脆	tʰui33		
粹	tʰui33		
堆	ɗui24		
騾	lui21		
雷	lui21		
壨	lui21		
對	ɗui33		
兌	ɗui33		
累	lui22		
類	lui22		
淚	lui22		
儡	lui22	(傀~)	
雖	ɬui24		
髓	ɬui24		
綏	ɬui24		
粹	ɬui24	(純~)	
歲	ɬui33		
碎	ɬui33		
瑞	ɬui22		
遂	ɬui22		
隧	ɬui22		
穗	ɬui22		
追	ʦui24		
錐	ʦui24		
墜	ʦui22		
綴	ʦui22		
贅	ʦui22		
吹	ʦʰui24		
炊	ʦʰui24		
捶	ʦʰui21		
錘	ʦʰui21		
槌	ʦʰui21		
乳	ȵui35		
芮	ȵui22	[姓]	
蘂	ȵui22		
衰	sui24		
誰	sui21		
垂	sui21		
水	sui55		
稅	sui33		
睡	sui22		
歸	kui24		
龜	kui24		
圭	kui24		
閨	kui24		
鬼	kui55		
詭	kui55		
軌	kui55		
貴	kui33		
桂	kui33		
季	kui33		
櫃	kui22		
跪	kui22		
規	kʰui24		
盔	kʰui24		
魁	kʰui24		
奎	kʰui24		
突	kʰui24		
窺	kʰui24		
葵	kʰui21		
癸	kʰui21		
攜	kʰui21		
畦	kʰui21	(茶~)	
逵	kʰui21		
傀	kʰui55	(~儡)	
愧	kʰui33		
□	jui24	[蜜蜂的叮咬]	錐
蕊	jui35		
□	jui35	(飯~)[皮膚上結的一些小肉疙瘩]	錐
銳	jui22		
盆	ɓun35	*變調	
笨	ɓun22		
噴	pʰun33		
文	mun21		
紋	mun21		
蚊	mun21		
聞	mun21		
吻	mun35		
刎	mun35		
吻	mun22		
刎	mun22		
分	fun24		
紛	fun24		
氛	fun24		
芬	fun24		
葷	fun24		
熏	fun24		
昏	fun24		
婚	fun24		
墳	fun21		
焚	fun21		
賁	fun21		
獐	fun21		
粉	fun55		
憤	fun35	*變調	
訓	fun33		
忿	fun22		
份	fun22		
溫	wun24		
奔	ɓun24		
瘟	wun24		
雲	wun21		
魂	wun21		
餛	wun21		
勻	wun21		
揾	wun55		
本	ɓun55		
穩	wun55		
允	wun35		
尹	wun35		
圂	wun33	[關禁]	
運	wun22		
渾	wun22		
混	wun22		
韻	wun22		
尊	ɗun24		
遵	ɗun24		
蹲	ɗun24		
臀	ɗun21		
樽	ɗun35		
沌	ɗun22		
鈍	ɗun22		
頓	ɗun22		
遁	ɗun22	(無所~形)	
吞	tʰun24		
村	tʰun24		
存	tʰun21		
秦	tʰun21		
屯	tʰun21		
豚	tʰun21		
臀	tʰun21		
遁	tʰun21	(逃~)	
旬	tʰun21		
循	tʰun21		
巡	tʰun21		
饨	tʰun35		
盾	tʰun35		
寸	tʰun33		
□	tʰun33	[往後移位]	褪
嫩	nun22		
敦	ɗun24		
墩	ɗun24		
倫	lun21		
輪	lun21	(~流)	
鄰	lun21		
鱗	lun21		
崙	lun21		
淪	lun21		
噸	ɗun55		
囤	ɗun55	[堆放]	
□	ɗun33	[因道路崎嶇不平而顛簸]	扽
論	lun22	(~語、議~)	
吝	lun22		
孫	ɬun24		
荀	ɬun24		
損	ɬun55		
筍	ɬun55		
榫	ɬun55		
迅	ɬun33		
殉	ɬun33		
濬	ɬun33	(~河)	
津	ʦun24		
准	ʦun55		
春	ʦʰun24		
椿	ʦʰun24		
蠢	ʦʰun55		
潤	ȵun22		
閏	ȵun22		
純	sun21		
脣	sun21		
蒓	sun21		
醇	sun21		
舜	sun33		
順	sun22		
軍	kun24		
君	kun24		
均	kun24		
鈞	kun24		
滾	kun55	(~水)[開水]	
棍	kun33		
窘	kun22		
郡	kun22		
坤	kʰun24		
昆	kʰun24		
裙	kʰun21		
群	kʰun21		
捆	kʰun55		
滚	kʰun55	(~開)	
菌	kʰun35	*變調	
困	kʰun33		
忽	fut5		
佛	fut5	(仿~)	
窟	fut5		
朏	fut5	(屎~)[屁股]	
□	fut3	(~垃圾)[掃裝垃圾]	拂
佛	fut2		
屈	wut5	(委~)	
不	ɓut5		
鬱	wut5		
屈	wut3	(~曲)[把東西弄彎]	
核	wut2	[果子的核兒]	
卒	ɗut5		
嘬	ɗut5		
猝	ɗut5		
突	ɗut2		
□	nut3	[常指用橡皮來擦字](~去~來)	
律	lut2		
率	lut2		
栗	lut2		
率	ɬut5	(~領)	
摔	ɬut5		
戍	ɬut5		
恤	ɬut5		
蟀	ɬut5		
□	ʦut5	[携別人癢癢，以使別人發笑]	捽
出	ʦʰut5	(一~戲)	
出	ʦʰut3	(~去)	
□	sut5	(~滑梯)	
術	sut2		
述	sut2		
秫	sut2		
骨	kut5	(~子)	
橘	kut5		
骨	kut3	(~節)	
掘	kut2		
倔	kut2		
聚	ɗy22		
趨	tʰy24		
取	tʰy55		
娶	tʰy55		
趣	tʰy33		
女	ny55		
□	ly55	(~骨)[喫東西時吐骨頭]	𦧲
呂	ly35		
縷	ly35		
屢	ly35	*變調	
須	ɬy24		
師	ɬy24		
獅	ɬy24		
茲	ɬy24		
司	ɬy24		
思	ɬy24		
資	ɬy24		
姿	ɬy24		
咨	ɬy24		
斯	ɬy24		
廝	ɬy24		
撕	ɬy24		
雌	ɬy24		
需	ɬy24		
絲	ɬy24	(~線)	
慈	ɬy21		
次	ɬy21		
瓷	ɬy21		
餈	ɬy21		
子	ɬy55		
紫	ɬy55		
此	ɬy55		
柿	ɬy35		
似	ɬy33		
刺	ɬy33		
疵	ɬy33		
賜	ɬy33		
廁	ɬy33		
次	ɬy33		
肆	ɬy33	(放~)	
字	ɬy22		
牸	ɬy22		
伺	ɬy22		
祠	ɬy22		
巳	ɬy22		
寺	ɬy22		
嗣	ɬy22		
飼	ɬy22		
士	ɬy22		
仕	ɬy22		
事	ɬy22		
猪	ʦy24		
諸	ʦy24		
誅	ʦy24		
蛛	ʦy24		
株	ʦy24		
朱	ʦy24		
硃	ʦy24		
珠	ʦy24		
煮	ʦy55		
主	ʦy55		
拄	ʦy55		
注	ʦy33		
駐	ʦy33		
註	ʦy33		
蛀	ʦy33		
鑄	ʦy33		
住	ʦy22		
除	ʦʰy21		
厨	ʦʰy21		
處	ʦʰy35		
柱	ʦʰy35		
如	ȵy21		
汝	ȵy35		
書	sy24		
輸	sy24	(~贏、~送)	
樞	sy24		
薯	sy21		
殊	sy21		
暑	sy55		
薯	sy35	(~仔)[一種身上長著些小刺須的薯類植物]	
恕	sy33		
戍	sy33		
樹	sy22		
豎	sy22		
居	ky24		
舉	ky55		
矩	ky55		
佢	ky35	[代詞,他們]	
句	ky33		
佢	ky33	[他、她或它]	
具	ky22		
俱	ky22		
懼	ky22		
區	kʰy24	(~域)	
拘	kʰy24		
駒	kʰy24		
驅	kʰy24		
渠	kʰy21		
瞿	kʰy21		
距	kʰy35		
虚	hy24		
籲	hy24		
許	hy55		
墟	hy35		
去	hy33	(~向)	
去	hy22	[動詞]	
於	jy24		
迂	jy24		
愚	jy21		
虞	jy21		
娛	jy21		
盂	jy21		
榆	jy21		
逾	jy21		
愉	jy21		
餘	jy21		
愈	jy21		
魚	jy21		
儒	jy21		
擩	jy21	(擩進去)	
淤	jy55		
預	jy22		
遇	jy22		
寓	jy22		
喻	jy22		
裕	jy22		
唔	m21		
吳	ŋ21		
吾	ŋ21		
梧	ŋ21		
五	ŋ55		
伍	ŋ55		
午	ŋ35		
伍	ŋ35		
誤	ŋ22		
悟	ŋ22		
晤	ŋ22		
