声母	韵母	调类	音节(IPA)	字
h	o	阴去	ho˩˩	戽 貨(文)
h	o	阳平	ho˩˧	糊(文) 胡(文) 喉(文) 盂(文) 𢰡(替) 何 河 壕 貉 和 鬍 蝴 葫 狐 侯 荷
h	o	阳去	ho˧˧	互 滬 護 戶 雨(白) 禍 予
	o	阴平	o˥˥	烏 萵 阿(文) 呵(替) 撾 蒿
	o	阴上	o˥˩	摀(替)
	o	阴去	o˩˩	噢 澳 愛(替) 薁 喔
	o	阳平	o˩˧	湖 胡(白) 盂(白) 哦(替) 蠔 瑚 壺 楜
	o	阳去	o˧˧	芋
p	oŋ	阴上	poŋ˥˩	榜(文)
p	oŋ	阴去	poŋ˩˩	謗
p	oŋ	阳平	poŋ˩˧	旁 房(白) 棚(替)
p	oŋ	阳去	poŋ˧˧	磅(替) 爆(替)
pʰ	oŋ	阴平	pʰoŋ˥˥	豐
pʰ	oŋ	阴去	pʰoŋ˩˩	膨(替)
pʰ	oŋ	阳平	pʰoŋ˩˧	篷 蘋 膀 乓(替)
b	oŋ	阴平	boŋ˥˥	摸(替)
b	oŋ	阴上	boŋ˥˩	檬 罔 網(文)
b	oŋ	阳平	boŋ˩˧	肓 茫 忙(文) 芒(文) 雺(替) 亡
b	oŋ	阳去	boŋ˧˧	墓 茉 望(文) 夢(文)
t	oŋ	阴平	toŋ˥˥	東(文) 冬(文) 當(文) 倲(替)
t	oŋ	阴上	toŋ˥˩	董(文)
t	oŋ	阴去	toŋ˩˩	擋 凍(文) 當(文) 噸
t	oŋ	阳平	toŋ˩˧	唐 童 同(文) 銅(文) 筒(文) 堂(文) 桐
t	oŋ	阳去	toŋ˧˧	動(文) 撞(替) 洞
tʰ	oŋ	阴平	tʰoŋ˥˥	通(文) 湯(文)
tʰ	oŋ	阴上	tʰoŋ˥˩	桶(文) 捅(替)
tʰ	oŋ	阴去	tʰoŋ˩˩	燙(文)
tʰ	oŋ	阳去	tʰoŋ˧˧	幢(替)
l	oŋ	阴平	loŋ˥˥	啷(替) 囊
l	oŋ	阴上	loŋ˥˩	籠 攏
l	oŋ	阴去	loŋ˩˩	挵(替)
l	oŋ	阳平	loŋ˩˧	龍 農 聾(文) 襱 狼
l	oŋ	阳去	loŋ˧˧	浪 弄(文)
ts	oŋ	阴平	tsoŋ˥˥	鬃(文) 舂(文) 莊(文) 裝(文)
ts	oŋ	阴上	tsoŋ˥˩	總(文)
ts	oŋ	阴去	tsoŋ˩˩	葬 粽(文)
ts	oŋ	阳平	tsoŋ˩˧	藏(文) 叢 □(替)
ts	oŋ	阳去	tsoŋ˧˧	狀(文)
tsʰ	oŋ	阴平	tsʰoŋ˥˥	滄 葱(文) 倉(文) 瘡(文) 窗(文) 聰
tsʰ	oŋ	阴上	tsʰoŋ˥˩	闖(替)
tsʰ	oŋ	阴去	tsʰoŋ˩˩	創
tsʰ	oŋ	阳平	tsʰoŋ˩˧	床(文)
s	oŋ	阴平	soŋ˥˥	桑(文) 雙(文) 鬆(文) 霜(文) 喪 蔘
s	oŋ	阴上	soŋ˥˩	爽(文)
s	oŋ	阴去	soŋ˩˩	宋 送(文)
s	oŋ	阳平	soŋ˩˧	倯(替)
k	oŋ	阴平	koŋ˥˥	剛 工(文) 公(文) 蚣(文) 缸(文) 光(文) 胱(文) 功
k	oŋ	阴上	koŋ˥˩	管(文) 廣(文) 講(白)
k	oŋ	阴去	koŋ˩˩	摃(替)
k	oŋ	阳平	koŋ˩˧	狂 栱(替)
kʰ	oŋ	阴平	kʰoŋ˥˥	空(文) 筐(文) 康(文) 糠(文) 㾤(替) 倥
kʰ	oŋ	阴上	kʰoŋ˥˩	慷 孔(文) 紺
kʰ	oŋ	阴去	kʰoŋ˩˩	空 囥 曠 焢(替)
kʰ	oŋ	阳去	kʰoŋ˧˧	□(替) 吭(替)
g	oŋ	阳平	goŋ˩˧	忪(替)
g	oŋ	阳去	goŋ˧˧	戇(替)
h	oŋ	阴平	hoŋ˥˥	封 肓 方(文) 芳(文) 荒(文) 蜂(文) 楓(文) 烘 捀(替) 風
h	oŋ	阴上	hoŋ˥˩	仿 紡(文)
h	oŋ	阳平	hoŋ˩˧	皇 蓬 磺 隍 房(文) 黃(文) 紅(文) 洪 馮 虹 癀(替) 防 縫
h	oŋ	阳去	hoŋ˧˧	鳳 奉
	oŋ	阴平	oŋ˥˥	汪 翁(文)
	oŋ	阴上	oŋ˥˩	枉 往(文)
	oŋ	阳平	oŋ˩˧	王
	oŋ	阳去	oŋ˧˧	旺
	op	阴入	op˧	哇(替)
p	ok	阴入	pok˧	暴 卜 剝 北(文)
p	ok	阳入	pok˥	瀑 葡 薄(文)
pʰ	ok	阴入	pʰok˧	博 曝(文)
pʰ	ok	阳入	pʰok˥	噗(替) 瀑
b	ok	阴入	bok˧	㩚(替)
b	ok	阳入	bok˥	牧
t	ok	阴入	tok˧	斲 督 啄 𬑎(替)
t	ok	阳入	tok˥	毒 獨(文)
tʰ	ok	阴入	tʰok˧	托
tʰ	ok	阳入	tʰok˥	讀(文)
l	ok	阴入	lok˧	摝(替) 簏(替) 漉
l	ok	阳入	lok˥	樂 錄 沐(替) 蘿(替) 祿 駱 鹿
ts	ok	阴入	tsok˧	作
ts	ok	阳入	tsok˥	族
tsʰ	ok	阴入	tsʰok˧	撮
s	ok	阴入	sok˧	速 塑 縮 束 索(文)
k	ok	阴入	kok˧	國 穀 各(文) 閣(文) 郭(文)
k	ok	阳入	kok˥	嘓(替) 呱
kʰ	ok	阴入	kʰok˧	酷 觳(替) 擴(替)
kʰ	ok	阳入	kʰok˥	嘓(替) 鱷
h	ok	阴入	hok˧	福 腹(文)
h	ok	阳入	hok˥	袱 縛 服
	ok	阴入	ok˧	惡 沃(文) 握(文)
p	oʔ	阳入	poʔ˥	薄(白)
pʰ	oʔ	阴入	pʰoʔ˧	粕
b	oʔ	阴入	boʔ˧	欲
t	oʔ	阴入	toʔ˧	桌 卓 佗(替)
t	oʔ	阳入	toʔ˥	幬(替) 襗(替) 著(替)
tʰ	oʔ	阴入	tʰoʔ˧	魠
tʰ	oʔ	阳入	tʰoʔ˥	侻(替)
l	oʔ	阳入	loʔ˥	落 勞(替)
ts	oʔ	阴入	tsoʔ˧	昨(替)
tsʰ	oʔ	阴入	tsʰoʔ˧	𧮙(替)
s	oʔ	阴入	soʔ˧	索 𠲿(替)
k	oʔ	阴入	koʔ˧	閣(白) 各(白) 胳(替) 擱(替)
h	oʔ	阴入	hoʔ˧	皜(替)
h	oʔ	阳入	hoʔ˥	鶴
	oʔ	阴入	oʔ˧	惡 喔
	oʔ	阳入	oʔ˥	學(白)
p	io	阴平	pio˥˥	嘌(替)
p	io	阴上	pio˥˩	表(白) 錶(白)
p	io	阳去	pio˧˧	鰾
pʰ	io	阴平	pʰio˥˥	漂 剽
pʰ	io	阴去	pʰio˩˩	票(白)
pʰ	io	阳平	pʰio˩˧	菩 薸
b	io	阴上	bio˥˩	秒
b	io	阳平	bio˩˧	描(白)
b	io	阳去	bio˧˧	廟(白)
t	io	阴去	tio˩˩	釣(白)
t	io	阳平	tio˩˧	潮(白) 跳(白)
t	io	阳去	tio˧˧	趙(白) 兆(替)
tʰ	io	阴平	tʰio˥˥	挑(白)
tʰ	io	阴去	tʰio˩˩	糶(白)
tʰ	io	阳平	tʰio˩˧	頭(文) 塗
l	io	阳平	lio˩˧	樓(文) 撩
l	io	阳去	lio˧˧	尿
ts	io	阴平	tsio˥˥	椒 招(白) 蕉(白)
ts	io	阴上	tsio˥˩	少(白)
ts	io	阴去	tsio˩˩	醮 照(白)
tsʰ	io	阴平	tsʰio˥˥	粗 𪁎(替)
tsʰ	io	阴去	tsʰio˩˩	笑(白)
tsʰ	io	阳去	tsʰio˧˧	耀(白)
s	io	阴平	sio˥˥	燒(白)
s	io	阴上	sio˥˩	小(白)
k	io	阴去	kio˩˩	叫(白)
k	io	阳平	kio˩˧	茄 橋(白)
k	io	阳去	kio˧˧	轎(白)
kʰ	io	阴去	kʰio˩˩	竅
g	io	阳平	gio˩˧	蟯(替) 蕘(替) 鈍(替) 玉(替)
g	io	阳去	gio˧˧	藠 蕌
h	io	阳去	hio˧˧	厚(文) 後(文) 后(文)
	io	阴平	io˥˥	么(白) 邀
	io	阳平	io˩˧	搖(白) 窰(白)
t	ioŋ	阴平	tioŋ˥˥	中 張(文)
t	ioŋ	阴上	tioŋ˥˩	長(文)
t	ioŋ	阴去	tioŋ˩˩	帳(文) 中(文) 漲(文)
t	ioŋ	阳平	tioŋ˩˧	長(文) 重(文) 腸(文) 場(文)
t	ioŋ	阳去	tioŋ˧˧	中 丈(文) 重(文)
tʰ	ioŋ	阴上	tʰioŋ˥˩	塚 寵(文)
tʰ	ioŋ	阴去	tʰioŋ˩˩	暢
tʰ	ioŋ	阳平	tʰioŋ˩˧	蟲(文)
tʰ	ioŋ	阳去	tʰioŋ˧˧	杖(文)
l	ioŋ	阴上	lioŋ˥˩	嚷 兩(文)
l	ioŋ	阳平	lioŋ˩˧	絨 茸 娘(文) 量(文) 糧(文) 梁(文) 龍(文)
l	ioŋ	阳去	lioŋ˧˧	諒 亮 量(文) 讓(文)
ts	ioŋ	阴平	tsioŋ˥˥	障 彰 璋 將 漳 章(文) 樟(文) 漿(文) 鐘(文) 鍾
ts	ioŋ	阴上	tsioŋ˥˩	種(文) 掌(文) 蔣(文) 槳(文)
ts	ioŋ	阴去	tsioŋ˩˩	將 醬(文) 眾(文) 種(文)
ts	ioŋ	阳平	tsioŋ˩˧	從(文)
ts	ioŋ	阳去	tsioŋ˧˧	狀(文)
tsʰ	ioŋ	阴平	tsʰioŋ˥˥	充 昌 槍(文) 冲 沖
tsʰ	ioŋ	阴上	tsʰioŋ˥˩	搶 廠(文)
tsʰ	ioŋ	阴去	tsʰioŋ˩˩	唱(文)
tsʰ	ioŋ	阳平	tsʰioŋ˩˧	牆(文)
tsʰ	ioŋ	阳去	tsʰioŋ˧˧	衝
s	ioŋ	阴平	sioŋ˥˥	商 傷(文) 相(文) 箱(文)
s	ioŋ	阴上	sioŋ˥˩	償 賞(文) 想(文) 尚(文) 象(文)
s	ioŋ	阴去	sioŋ˩˩	象 相(文)
s	ioŋ	阳平	sioŋ˩˧	常 嫦 詳 松(文)
s	ioŋ	阳去	sioŋ˧˧	上 象 誦 像(文) 尚(文)
k	ioŋ	阴平	kioŋ˥˥	芎 薑(文) 弓(文) 供(文) 宮(文)
k	ioŋ	阴上	kioŋ˥˩	強 拱 龔
k	ioŋ	阳平	kioŋ˩˧	強 窮(文)
k	ioŋ	阳去	kioŋ˧˧	共(文) 強(文)
kʰ	ioŋ	阴平	kʰioŋ˥˥	姜 羌
kʰ	ioŋ	阴上	kʰioŋ˥˩	恐
kʰ	ioŋ	阳平	kʰioŋ˩˧	瓊(文)
h	ioŋ	阴平	hioŋ˥˥	凶 鄉(文) 香(文) 胸(文) 兇
h	ioŋ	阴上	hioŋ˥˩	享 響
h	ioŋ	阴去	hioŋ˩˩	向
h	ioŋ	阳平	hioŋ˩˧	雄(文)
	ioŋ	阴平	ioŋ˥˥	央(文) 秧(文)
	ioŋ	阴上	ioŋ˥˩	癢 養(文) 湧(文) 勇
	ioŋ	阳平	ioŋ˩˧	雄 蓉 容 揚 羊(文) 洋(文) 融(文) 楊(文)
	ioŋ	阳去	ioŋ˧˧	用(文) 樣(文)
t	iok	阴入	tiok˧	逐 竹(文)
t	iok	阳入	tiok˥	著(文)
tʰ	iok	阴入	tʰiok˧	畜(文)
l	iok	阳入	liok˥	陸
ts	iok	阴入	tsiok˧	祝 勺 足 酌 燭(文)
tsʰ	iok	阴入	tsʰiok˧	觸 鵲 雀 捉(替)
tsʰ	iok	阳入	tsʰiok˥	踤
s	iok	阴入	siok˧	粟(文)
s	iok	阳入	siok˥	俗 塾 熟(文)
dz	iok	阳入	dziok˥	肉 搦
k	iok	阴入	kiok˧	菊 腳(文)
k	iok	阳入	kiok˥	劇 局
kʰ	iok	阴入	kʰiok˧	麴 曲(文)
g	iok	阳入	giok˥	玉(文) 虐(文)
	iok	阴入	iok˧	約 籲
	iok	阳入	iok˥	藥(文)
t	ioʔ	阴入	tioʔ˧	擢(替)
t	ioʔ	阳入	tioʔ˥	著(替)
l	ioʔ	阳入	lioʔ˥	䀩(替)
ts	ioʔ	阴入	tsioʔ˧	襀(替) 借 幘
ts	ioʔ	阳入	tsioʔ˥	石(白)
tsʰ	ioʔ	阴入	tsʰioʔ˧	尺 𥼶(替)
tsʰ	ioʔ	阳入	tsʰioʔ˥	蓆
s	ioʔ	阴入	sioʔ˧	惜
s	ioʔ	阳入	sioʔ˥	液(替)
k	ioʔ	阴入	kioʔ˧	腳(白)
kʰ	ioʔ	阴入	kʰioʔ˧	挈(替)
g	ioʔ	阳入	gioʔ˥	謔
h	ioʔ	阴入	hioʔ˧	歇
h	ioʔ	阳入	hioʔ˥	箬(替) 鴞
	ioʔ	阴入	ioʔ˧	約(白) 挹(替)
	ioʔ	阳入	ioʔ˥	藥(白)
m	õ	阴平	mõ˥˥	毛
m	õ	阴去	mõ˩˩	冒
m	õ	阳平	mõ˩˧	毛 魔 磨(文) 盲(文) 蘑
m	õ	阳去	mõ˧˧	冒 悟
n	õ	阴上	nõ˥˩	腦(文) 老(文)
n	õ	阴去	nõ˩˩	諾
ŋ	õ	阴上	ŋõ˥˩	我(文) 午(文) 五(文)
ŋ	õ	阳平	ŋõ˩˧	吳 娥 羅(替)
ŋ	õ	阳去	ŋõ˧˧	誤 傲
h	õ	阴上	hõ˥˩	火(文)
	õ	阴平	õ˥˥	嗚(替)
m	õʔ	阴入	mõʔ˧	抩(替)
m	õʔ	阳入	mõʔ˥	膜
h	õʔ	阴入	hõʔ˧	訶(替)
p	u	阴去	pu˩˩	啵
p	u	阳平	pu˩˧	瓠 垺 炰
p	u	阳去	pu˧˧	孵 婦
pʰ	u	阴上	pʰu˥˩	殕
pʰ	u	阳平	pʰu˩˧	芙 浮
pʰ	u	阳去	pʰu˧˧	哱
b	u	阴上	bu˥˩	武
b	u	阳平	bu˩˧	撫
b	u	阳去	bu˧˧	霧
t	u	阴平	tu˥˥	豬 蛛
t	u	阴上	tu˥˩	拄
t	u	阴去	tu˩˩	注
t	u	阳平	tu˩˧	廚 鋤 櫥 躇
t	u	阳去	tu˧˧	佇 詆 筷 箸 櫥 啫
tʰ	u	阴上	tʰu˥˩	拄
tʰ	u	阳平	tʰu˩˧	鋤
l	u	阴平	lu˥˥	擩 嚕
l	u	阴上	lu˥˩	旅 汝 女
l	u	阴去	lu˩˩	攄
l	u	阳平	lu˩˧	驢
l	u	阳去	lu˧˧	呂
ts	u	阴平	tsu˥˥	鮢 珠 朱 書
ts	u	阴上	tsu˥˩	煮 主
ts	u	阴去	tsu˩˩	註
ts	u	阳平	tsu˩˧	薯 蜍
ts	u	阳去	tsu˧˧	駐 自 舒
tsʰ	u	阴平	tsʰu˥˥	舒 趄
tsʰ	u	阴上	tsʰu˥˩	鼠
tsʰ	u	阴去	tsʰu˩˩	覷 處 厝
s	u	阴平	su˥˥	輸 書
s	u	阴上	su˥˩	暑 史
s	u	阴去	su˩˩	四 仕
s	u	阳平	su˩˧	嗣
s	u	阳去	su˧˧	嶼 事 士 輸
dz	u	阴上	dzu˥˩	乳
dz	u	阳平	dzu˩˧	茹 如
k	u	阴平	ku˥˥	拘 龜 裾 痀
k	u	阴上	ku˥˩	韮 矩 舉
k	u	阴去	ku˩˩	句 灸 鋸
kʰ	u	阴平	kʰu˥˥	區 坵 邱 軀
kʰ	u	阴去	kʰu˩˩	瘔 去
kʰ	u	阳平	kʰu˩˧	踞
kʰ	u	阳去	kʰu˧˧	具
g	u	阳去	gu˧˧	寓
h	u	阴平	hu˥˥	膚 拊
h	u	阴去	hu˩˩	訃 咐
h	u	阳平	hu˩˧	魚 符
h	u	阳去	hu˧˧	腐
	u	阴平	u˥˥	趺
	u	阴去	u˩˩	塢 焐
p	ui	阴去	pui˩˩	痱
p	ui	阳平	pui˩˧	肥
p	ui	阳去	pui˧˧	吠
pʰ	ui	阴去	pʰui˩˩	唾
b	ui	阴平	bui˥˥	微
t	ui	阴平	tui˥˥	堆 追
t	ui	阴去	tui˩˩	對
t	ui	阳去	tui˧˧	墜
tʰ	ui	阴平	tʰui˥˥	抽 梯 推
tʰ	ui	阴上	tʰui˥˩	腿
tʰ	ui	阳平	tʰui˩˧	槌 錘 鎚 椎
l	ui	阴平	lui˥˥	鐳
l	ui	阴上	lui˥˩	鉚 蕊
l	ui	阴去	lui˩˩	皵 累
l	ui	阳平	lui˩˧	雷 擂
l	ui	阳去	lui˧˧	縋 累
ts	ui	阴平	tsui˥˥	椎 錐
ts	ui	阴上	tsui˥˩	水
tsʰ	ui	阴去	tsʰui˩˩	喙
s	ui	阴平	sui˥˥	荽 簑 綏
s	ui	阴上	sui˥˩	水 媠
s	ui	阳平	sui˩˧	隨 椹
s	ui	阳去	sui˧˧	遂 祟
k	ui	阴平	kui˥˥	規 胿 歸 龜
k	ui	阴上	kui˥˩	鬼
k	ui	阴去	kui˩˩	瑰 季 貴 桂
k	ui	阳平	kui˩˧	懷
k	ui	阳去	kui˧˧	櫃 膭 跪
kʰ	ui	阳平	kʰui˩˧	癸
g	ui	阳去	gui˧˧	魏
h	ui	阴上	hui˥˩	匪
h	ui	阴去	hui˩˩	廢 費
h	ui	阳平	hui˩˧	危
	ui	阴平	ui˥˥	挖
	ui	阴去	ui˩˩	畏 飫
	ui	阳平	ui˩˧	圍
	ui	阳去	ui˧˧	位 胃
p	un	阴平	pun˥˥	扁 君
p	un	阴去	pun˩˩	糞
p	un	阳平	pun˩˧	歕
p	un	阳去	pun˧˧	笨
pʰ	un	阴上	pʰun˥˩	豶
b	un	阴去	bun˩˩	鼢
b	un	阳平	bun˩˧	文 聞
t	un	阴平	tun˥˥	墩
t	un	阴上	tun˥˩	囤
t	un	阳平	tun˩˧	鶉 脣
t	un	阳去	tun˧˧	燉
tʰ	un	阴平	tʰun˥˥	吞
tʰ	un	阴上	tʰun˥˩	跈
tʰ	un	阴去	tʰun˩˩	忳
tʰ	un	阳平	tʰun˩˧	豚 黗
l	un	阴平	lun˥˥	溫
l	un	阳平	lun˩˧	腀
l	un	阳去	lun˧˧	閏
ts	un	阴上	tsun˥˩	撙
ts	un	阴去	tsun˩˩	震
ts	un	阳去	tsun˧˧	拵
tsʰ	un	阴平	tsʰun˥˥	春 偆
tsʰ	un	阴去	tsʰun˩˩	寸
tsʰ	un	阳平	tsʰun˩˧	忖
s	un	阴平	sun˥˥	孫
s	un	阴上	sun˥˩	榫 筍 恂
s	un	阳平	sun˩˧	巡 純
s	un	阳去	sun˧˧	順
dz	un	阳去	dzun˧˧	潤 韌
k	un	阴平	kun˥˥	斤 巾 筋 根 軍
k	un	阴上	kun˥˩	蚓 頸 滾
k	un	阳平	kun˩˧	裙 𤉙
k	un	阳去	kun˧˧	近
kʰ	un	阴平	kʰun˥˥	髡
kʰ	un	阴去	kʰun˩˩	睏
kʰ	un	阳平	kʰun˩˧	勤 芹
kʰ	un	阳去	kʰun˧˧	混
g	un	阳平	gun˩˧	銀
h	un	阴平	hun˥˥	暈 痻 薰 婚
h	un	阴上	hun˥˩	粉
h	un	阳平	hun˩˧	媒 雲
h	un	阳去	hun˧˧	份
	un	阴平	un˥˥	溫 瘟
	un	阴去	un˩˩	慍 塭 搵
	un	阳平	un˩˧	匀 勻
	un	阳去	un˧˧	運
p	ut	阴入	put˧	不 抔
p	ut	阳入	put˥	菝 佛
pʰ	ut	阴入	pʰut˧	刜
b	ut	阴入	but˧	魩 𢪱
l	ut	阳入	lut˥	律
ts	ut	阴入	tsut˧	卒 悴
ts	ut	阳入	tsut˥	秫
tsʰ	ut	阴入	tsʰut˧	齣 出
s	ut	阴入	sut˧	屑 戌
s	ut	阳入	sut˥	蟀 術 捽
k	ut	阴入	kut˧	骨
k	ut	阳入	kut˥	滑 掘
kʰ	ut	阴入	kʰut˧	窟
kʰ	ut	阳入	kʰut˥	□
h	ut	阴入	hut˧	咈
h	ut	阳入	hut˥	核 佛
	ut	阴入	ut˧	鬱 熨
pʰ	uʔ	阴入	pʰuʔ˧	浦
t	uʔ	阳入	tuʔ˥	揬
tʰ	uʔ	阴入	tʰuʔ˧	拓
s	uʔ	阴入	suʔ˧	笥 斯
k	uiʔ	阴入	kuiʔ˧	刮
h	uiʔ	阴入	huiʔ˧	血
m	ũi	阳平	mũi˩˧	文 玫 媒
k	ũi	阴平	kũi˥˥	關
h	ũi	阴去	hũi˩˩	晃
h	ũi	阳平	hũi˩˧	橫
t	ɨ	阴平	tɨ˥˥	豬
h	ɨ	阳平	hɨ˩˧	魚
h	m	阳平	hm˩˧	茅(白) 媒(白)
	m	阴上	m˥˩	姆(替)
	m	阳平	m˩˧	梅 蕾(替)
	m	阳去	m˧˧	毋
h	mʔ	阴入	hmʔ˧	摁(替)
h	mʔ	阳入	hmʔ˥	默(替)
p	ŋ̍	阴平	pŋ̍˥˥	分 方 楓(白)
p	ŋ̍	阴上	pŋ̍˥˩	榜(白) 本(白)
p	ŋ̍	阳去	pŋ̍˧˧	飯
m	ŋ̍	阴平	mŋ̍˥˥	毛(替)
m	ŋ̍	阳平	mŋ̍˩˧	毛(白) 門(白)
m	ŋ̍	阳去	mŋ̍˧˧	問(白)
t	ŋ̍	阴平	tŋ̍˥˥	張(白) 當(白)
t	ŋ̍	阴上	tŋ̍˥˩	轉(白)
t	ŋ̍	阴去	tŋ̍˩˩	當(白) 頓(白)
t	ŋ̍	阳平	tŋ̍˩˧	堂(白) 唐(白) 塘(白) 長(白) 腸(白)
t	ŋ̍	阳去	tŋ̍˧˧	盪 斷(白) 丈(白)
tʰ	ŋ̍	阴平	tʰŋ̍˥˥	湯(白)
tʰ	ŋ̍	阴去	tʰŋ̍˩˩	燙 褪
tʰ	ŋ̍	阳平	tʰŋ̍˩˧	糖 傳
tʰ	ŋ̍	阳去	tʰŋ̍˧˧	杖(白) 煅(替) 瑭(替)
n	ŋ̍	阴上	nŋ̍˥˩	懍 軟
n	ŋ̍	阴去	nŋ̍˩˩	軁(替)
n	ŋ̍	阳平	nŋ̍˩˧	郎(白) 榔(白) 瓤(白) 圇(替)
n	ŋ̍	阳去	nŋ̍˧˧	卵(白) 兩(白)
ts	ŋ̍	阴平	tsŋ̍˥˥	莊(白) 裝(白) 磚(白) 妝(白)
ts	ŋ̍	阴去	tsŋ̍˩˩	鑽(白)
ts	ŋ̍	阳平	tsŋ̍˩˧	全(白)
ts	ŋ̍	阳去	tsŋ̍˧˧	臟 旋 吮(替)
tsʰ	ŋ̍	阴平	tsʰŋ̍˥˥	伸 瘡 穿(白) 倉(白) 川(替)
tsʰ	ŋ̍	阴去	tsʰŋ̍˩˩	刺(替)
tsʰ	ŋ̍	阳平	tsʰŋ̍˩˧	床(白)
s	ŋ̍	阴平	sŋ̍˥˥	桑(白) 霜(白) 酸(白) 喪
s	ŋ̍	阴上	sŋ̍˥˩	耍 損(白) 爽(白)
s	ŋ̍	阴去	sŋ̍˩˩	算(白) 繏(替)
s	ŋ̍	阳平	sŋ̍˩˧	床(白)
k	ŋ̍	阴平	kŋ̍˥˥	光(白) 扛(白) 缸(白)
k	ŋ̍	阴上	kŋ̍˥˩	廣(白) 管(白) 捲(白)
k	ŋ̍	阴去	kŋ̍˩˩	槓 貫(白) 券(白) 鋼
kʰ	ŋ̍	阴平	kʰŋ̍˥˥	糠(白)
kʰ	ŋ̍	阴去	kʰŋ̍˩˩	匟 勸(白)
h	ŋ̍	阴平	hŋ̍˥˥	方(白) 荒(白) 昏(白)
h	ŋ̍	阳平	hŋ̍˩˧	園(白)
h	ŋ̍	阳去	hŋ̍˧˧	遠(白)
	ŋ̍	阴平	ŋ̍˥˥	央 秧 抰(替)
	ŋ̍	阴上	ŋ̍˥˩	抁(替) 蔭 阮(白) 鈗(替) 䘼
	ŋ̍	阴去	ŋ̍˩˩	仰(白)
	ŋ̍	阳平	ŋ̍˩˧	黃(白)
pʰ	ŋ̍ʔ	阳入	pʰŋ̍ʔ˥	噴(替)
m	ŋ̍ʔ	阳入	mŋ̍ʔ˥	物(白)
tsʰ	ŋ̍ʔ	阳入	tsʰŋ̍ʔ˥	□
s	ŋ̍ʔ	阴入	sŋ̍ʔ˧	□
	ŋ̍ʔ	阳入	ŋ̍ʔ˥	嚶(替) □
