"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"露"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
"路"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
"賂"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
"租"	"tsoo1"	"tsɔ44"	""	""	""	""	""	""	""
"祖"	"tsoo3"	"tsɔ53"	""	""	""	""	""	""	""
"組"	"tsoo3"	"tsɔ53"	""	""	""	""	""	""	""
"做"	"tso5"	"tso21"	""	""	""	""	""	""	""
"粗"	"tshoo1"	"tsʰɔ44"	""	""	""	""	""	""	""
"醋"	"tshoo5"	"tsʰɔ21"	""	""	""	""	""	""	""
"錯"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"措"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"措"	"tshoo5"	"tsʰɔ21"	""	""	""	""	""	""	""
"厝"	"tshu5"	"tsʰu21"	""	""	""	""	""	""	""
"厝"	"tshoo5"	"tsʰɔ21"	""	""	""	""	""	""	""
"蘇"	"soo1"	"sɔ44"	""	""	""	""	""	""	""
"酥"	"soo1"	"sɔ44"	""	""	""	""	""	""	""
"素"	"soo5"	"sɔ21"	""	""	""	""	""	""	""
"塑"	"sook7"	"sɔk32"	""	""	""	""	""	""	""
"訴"	"soo5"	"sɔ21"	""	""	""	""	""	""	""
"嗉"	"soo5"	"sɔ21"	""	""	""	""	""	""	""
"辜"	"koo1"	"kɔ44"	""	""	""	""	""	""	""
"孤"	"koo1"	"kɔ44"	""	""	""	""	""	""	""
"箍"	"khoo1"	"kʰɔ44"	""	""	""	""	""	""	""
"姑"	"koo1"	"kɔ44"	""	""	""	""	""	""	""
"估"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"古"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"賈"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"股"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"鼓"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"蠱"	"koo3"	"kɔ53"	""	""	""	""	""	""	""
"故"	"koo5"	"kɔ21"	""	""	""	""	""	""	""
"顧"	"koo5"	"kɔ21"	""	""	""	""	""	""	""
"固"	"koo5"	"kɔ21"	""	""	""	""	""	""	""
"雇"	"koo5"	"kɔ21"	""	""	""	""	""	""	""
"枯"	"koo1"	"kɔ44"	""	""	""	""	""	""	""
"苦"	"khoo3"	"kʰɔ53"	""	""	""	""	""	""	""
"庫"	"khoo5"	"kʰɔ21"	""	""	""	""	""	""	""
"褲"	"khoo5"	"kʰɔ21"	""	""	""	""	""	""	""
"梧"	"goo2"	"ɡɔ13"	""	""	""	""	""	""	""
"吾"	"goo2"	"ɡɔ13"	""	""	""	""	""	""	""
"吳"	"goo2"	"ɡɔ13"	""	""	""	""	""	""	""
"五"	"goo6"	"ɡɔ22"	"白"	""	""	""	""	""	""
"五"	"ngoo3"	"ŋɔ53"	"文"	""	""	""	""	""	""
