漢字	假名	聲母	韻母	聲調
鎹	ソン	心	通合三送	去
蜥	ツヱ	心	梗開四錫	入
篠	デヤ◦ウ	心	效開四筱	上
鳃	ヒヤイ	心	蟹開一咍	平
議	イヽ/ニイ	疑	止開三寘	去
雅	イヤア/キヤア/ヤアヽ	疑	假開二馬	上
魚	イユイ	疑	遇合三魚	平
愚	イユイ	疑	遇合三虞	平
語	イユイ	疑	遇合三語	上
遇	イユイ	疑	遇合三遇	去
因	イン	疑	臻開三真	平
姻	イン	疑	臻開三真	平
銀	イン/キン	疑	臻開三真	平
吾	ウヽ	疑	遇合一模	平
五	ウヽ	疑	遇合一姥	上
悟	ウヽ	疑	遇合一暮	去
誤	ウヽ	疑	遇合一暮	去
娛	ウヽ	疑	遇合三虞	平
傲	ガ◦ウ	疑	效開一號	去
熬	ガ◦ウ/カ◦ウ	疑	效開一豪	平
艾	ガイ	疑	蟹開一泰	去
礙	ガイ	疑	蟹開一代	去
呆	ガイ/カイ	疑	蟹開一咍	平
危	グイ	疑	止合三支	平
硬	ゲヱン/ゲン/へヱン	疑	梗開二映	去
蛾	ゴウ	疑	果開一歌	平
鵝	ゴウ	疑	果開一歌	平
臥	ゴウ	疑	果合一過	去
我	ゴウ/コウ	疑	果開一哿	上
疑	ニイ	疑	止開三之	平
蟻	ニイ	疑	止開三紙	上
義	ニイ	疑	止開三寘	去
藝	ニイ	疑	蟹開三祭	去
牛	ニウ	疑	流開三尤	平
仰	ニヤン	疑	宕開三養	上
吟	ニン	疑	深開三侵	平
迎	ニン	疑	梗開三庚	平
業	ネ	疑	鹹開三業	入
研	ネン	疑	山開四先	平
嚴	ネン	疑	鹹開三嚴	平
驗	ネン	疑	鹹開三豔	去
藕	ペン	疑	流開一厚	上
堯	ヤ◦ウ	疑	效開四蕭	平
咬	ヤ◦ウ	疑	效開二巧	上
芽	ヤアヽ	疑	假開二麻	平
牙	ヤアヽ/イヤア	疑	假開二麻	平
玉	ヨ/イユイ	疑	通合三燭	入
瓦	ワアヽ	疑	假合二馬	上
外	ワイ	疑	蟹合一泰	去
月	ヱ	疑	山合三月	入
原	ヱユン	疑	山合三元	平
願	ヱユン	疑	山合三願	去
言	ヱン	疑	山開三元	平
眼	ヱン	疑	山開二產	上
演	ヱン	疑	山開三狝	上
宜	イヽ/ニイ	疑	止開三支	平
涯	イヤア	疑	蟹開二佳	平
捱	イヤイ/ヤイ	疑	蟹開二佳	平
梧	ウヽ	疑	遇合一模	平
蜈	ウヽ	疑	遇合一模	平
忤	ウヽ	疑	遇合一姥	上
晤	ウヽ	疑	遇合一暮	去
齬	ウヽ	疑	遇合三語	上
巖	カン/ガン	疑	鹹開二銜	平
偶	ゲ◦ウ	疑	流開一候/流開一厚	上/去
鰐	ネ	疑	宕開一鐸	入
逆	ネ	疑	梗開三陌	入
頑	ワン	疑	山合二山	平
顔	ヱン	疑	山開二刪	平
鴈	ヱン	疑	山開二諫	去
桅	ヲイ	疑	蟹合一灰	平
鯃	ヲヽ	疑	遇合一模	平
哀	アイ	影	蟹開一咍	平
愛	アイ	影	蟹開一代	去
安	アン	影	山開一寒	平
鞍	アン	影	山開一寒	平
按	アン	影	山開一翰	去
案	アン	影	山開一翰	去
暗	アン	影	鹹開一勘	去
醃	アン	影	鹹開三嚴	平
一	イ	影	臻開三質	入
益	イ	影	梗開三昔	入
熨	イ	影	臻合三問	去
衣	イヽ	影	止開三微	平
依	イヽ	影	止開三微	平
倚	イヽ	影	止開三紙	上
意	イヽ/イ	影	止開三志	去
椅	イヽ/ギイ	影	止開三紙	上
淤	イユイ	影	遇合三魚	平
音	イン	影	深開三侵	平
殷	イン	影	臻開三殷	平
陰	イン	影	深開三侵	平
隱	イン	影	臻開三隱	上
英	イン	影	梗開三庚	平
嬰	イン	影	梗開三清	平
鶯	イン	影	梗開二耕	平
纓	イン	影	梗開三清	平
鷹	イン	影	曾開三蒸	平
烏	ウヽ	影	遇合一模	平
溫	ウヲン	影	臻合一魂	平
穩	ウヲン	影	臻合一混	上
翁	ウヲン	影	通合一東	平
襖	ハ◦ウ	影	效開一皓	上
鴨	ヤ	影	鹹開二狎	入
壓	ヤ	影	鹹開二狎	入
約	ヤ	影	宕開三藥	入
腰	ヤ◦ウ	影	效開三宵	平
邀	ヤ◦ウ	影	效開三宵	平
鴉	ヤアヽ	影	假開二麻	平
矮	ヤイ	影	蟹開二蟹	上
央	ヤン	影	宕開三陽	平
殃	ヤン	影	宕開三陽	平
秧	ヤン	影	宕開三陽	平
羊	ヤン	影	宕開三陽	平
洋	ヤン	影	宕開三陽	平
陽	ヤン	影	宕開三陽	平
揚	ヤン	影	宕開三陽	平
楊	ヤン	影	宕開三陽	平
憂	ユウ	影	流開三尤	平
甕	ヨン	影	通合一送	去
挖	ワア	影	山合二黠	入
蛙	ワアヽ	影	蟹合二佳	平
宛	ワン	影	山合三阮	上
碗	ワン	影	山合一緩	上
枉	ワン	影	宕合三養	上
恩	ヱヘン	影	臻開一痕	平
冤	ヱユン	影	山合三元	平
怨	ヱユン	影	山合三願	去
掩	ヱン	影	鹹開三琰	上
握	ヲ	影	江開二覺	入
屋	ヲ	影	通合一屋	入
威	ヲイ	影	止合三微	平
委	ヲイ	影	止合三紙	上
畏	ヲイ	影	止合三未	去
慰	ヲイ	影	止合三未	去
窩	ヲウ	影	果合一戈	平
阿	ア	影	果開一歌	平
懊	ア◦ウ	影	效開一皓/效開一號	上/去
噯	アイ	影	蟹開一咍	上
諳	アン	影	鹹開一覃	平
噎	イ	影	山開四屑	入
揖	イ	影	深開三緝	入
薏	イ	影	曾開三職	入
蛜	イヽ	影	止開三脂	平
鬰	イユ	影	通合三屋	入
茵	イン	影	臻開三真	平
飲	イン	影	深開三寢/深開三沁	上/去
蘡	イン	影	梗開三庚	平
櫻	イン	影	梗開二耕	平
鸚	イン	影	梗開二耕	平
應	イン	影	曾開三蒸/曾開三證	去/平
污	ウヽ	影	遇合一模	平
鰛	ウヲン	影	臻合一魂	平
鏖	ハ◦ウ	影	效開一豪	平
拗	ハ◦ウ	影	效開二巧	上
要	ヤ◦ウ	影	效開三宵/效開三笑	去/平
丫	ヤアヽ	影	假開二麻	平
鴦	ヤン	影	宕開三陽	平
惡	ラ/ウヽ	影	宕開一鐸/遇合一暮	入/去
穵	ワアヽ	影	山合二黠	入
惋	ワン	影	山合一桓	去
汪	ワン	影	宕合一唐	平
鷗	ヱへ◦ウ	影	流開一侯	平
嘔	ヱへ◦ウ	影	流開一厚	上
鴛	ヱユン	影	山合三元	平
胭	ヱン	影	山開四先	平
烟	ヱン	影	山開四先	平
蝘	ヱン	影	山開三仙	上
厴	ヱン	影	鹹開三琰	上
燕	ヱン	影	山開四先/山開四霰	去/平
鴳	ヱン	影	山開二諫	去
齷	ヲ	影	江開二覺	入
蝛	ヲイ	影	止合三微	平
萎	ヲイ	影	止合三支	平
婀	ヲウ	影	果開一歌	平
萵	ヲウ	影	果合一戈	平
亦	イ	喻以	梗開三昔	入
翼	イ	喻以	曾開三職	入
夷	イヽ	喻以	止開三脂	平
姨	イヽ	喻以	止開三脂	平
移	イヽ	喻以	止開三支	平
已	イヽ	喻以	止開三止	上
以	イヽ	喻以	止開三止	上
異	イヽ/イ	喻以	止開三志	去
餘	イユイ	喻以	遇合三魚	平
喻	イユイ	喻以	遇合三遇	去
預	イユイ	喻以	遇合三禦	去
允	イユン	喻以	臻合三准	上
淫	イン	喻以	深開三侵	平
尹	イン	喻以	臻合三准	上
蠅	イン	喻以	曾開三蒸	平
穎	イン	喻以	梗合三靜	上
唯	ウイ	喻以	止合三旨	上
惟	ウイ	喻以	止合三脂	平
躍	ヤ	喻以	宕開三藥	入
藥	ヤ/ヨ	喻以	宕開三藥	入
搖	ヤ◦ウ	喻以	效開三宵	平
謠	ヤ◦ウ	喻以	效開三宵	平
養	ヤン	喻以	宕開三養	上
由	ユウ	喻以	流開三尤	平
油	ユウ	喻以	流開三尤	平
猶	ユウ	喻以	流開三尤	平
遊	ユウ	喻以	流開三尤	平
柚	ユウ	喻以	流開三宥	去
欲	ヨ	喻以	通合三燭	入
容	ヨン	喻以	通合三鐘	平
勇	ヨン	喻以	通合三腫	上
用	ヨン	喻以	通合三用	去
贏	ルイ	喻以	梗開三清	平
緣	ロ	喻以	山合三仙	平
葉	ヱ	喻以	鹹開三葉	入
閱	ヱ	喻以	山合三薛	入
悅	ヱ/ヱ゚	喻以	山合三薛	入
緣	ヱユン	喻以	山合三仙	平
野	ヱヽ	喻以	假開三馬	上
夜	ヱヽ	喻以	假開三祃	去
延	ヱン	喻以	山開三仙	平
筵	ヱン	喻以	山開三仙	平
翌	イ	喻以	曾開三職	入
怡	イヽ	喻以	止開三之	平
鮧	イヽ	喻以	止開三脂	平
苡	イヽ	喻以	止開三止	上
易	イヽ	喻以	梗開三昔/止開三寘	入/去
鷸	イツ	喻以	臻合三術	入
臾	イユイ	喻以	遇合三虞	平
腴	イユイ	喻以	遇合三虞	平
與	イユイ	喻以	遇合三語	上
愈	イユイ	喻以	遇合三麌	上
諭	イユイ	喻以	遇合三遇	去
譽	イユイ	喻以	遇合三禦	去
鸒	イユイ	喻以	遇合三魚	平
蚓	イン	喻以	臻開三軫	上
嬴	イン	喻以	梗開三庚	平
檐	タン	喻以	鹹開三琰	平
珧	チヤ◦ウ	喻以	效開三宵	平
魣	ツウ	喻以	遇合三魚	平
蜴	テ	喻以	梗開三昔	入
迤	ドウ	喻以	止開三支	平
鑰	ヤ	喻以	宕開三藥	入
鳐	ヤ◦ウ	喻以	效開三宵	平
鷂	ヤ◦ウ	喻以	效開三笑	去
佯	ヤン	喻以	宕開三陽	平
痒	ヤン	喻以	宕開三養	上
恙	ヤン	喻以	宕開三漾	去
様	ヤン	喻以	宕開三漾	去
鲔	ユウ	喻以	止合三微	上
蚰	ユウ	喻以	流開三尤	平
游	ユウ.	喻以	流開三尤	平
鹆	ヨ	喻以	通合三燭	入
慾	ヨ	喻以	通合三燭	入
蓉	ヨン	喻以	通合三鐘	平
蠑	ヨン	喻以	梗合三庚	平
鳶	ヱユン	喻以	山合三仙	平
也	ヱヽ	喻以	假開三馬	上
逶	ヲイ	喻以	止合三支	平
𦐂	イ	喻以	曾開三職	入
矣	イヽ	喻雲	止開三止	上
盂	イユイ	喻雲	遇合三虞	平
於	イユイ	喻雲	遇合三虞	平
羽	イユイ	喻雲	遇合三麌	上
雨	イユイ	喻雲	遇合三麌	上
芋	イユイ	喻雲	遇合三遇	去
雲	イユン	喻雲	臻合三文	平
運	イユン	喻雲	臻合三問	去
友	ユウ	喻雲	流開三有	上
有	ユウ	喻雲	流開三有	上
又	ユウ	喻雲	流開三宥	去
右	ユウ	喻雲	流開三宥	去
榮	ヨン	喻雲	梗合三庚	平
熊	ヨン	喻雲	通合三東	平
永	ヨン	喻雲	梗合三梗	上
詠	ヨン	喻雲	梗合三映	去
雄	ヨン/ヒヨン	喻雲	通合三東	平
往	ワン	喻雲	宕合三養	上
曰	ヱ	喻雲	山合三月	入
越	ヱ	喻雲	山合三月	入
園	ヱユン	喻雲	山合三元	平
圓	ヱユン	喻雲	山合三仙	平
遠	ヱユン	喻雲	山合三阮	上
炎	ヱン	喻雲	鹹開三監	平
圍	ヲイ	喻雲	止合三微	平
違	ヲイ	喻雲	止合三微	平
位	ヲイ	喻雲	止合三至	去
謂	ヲイ	喻雲	止合三未	去
于	イユイ	喻雲	遇合三虞	平
云	イユン	喻雲	臻合三文	平
旺	ワン	喻雲	宕合三漾	去
嬛	ワン	喻雲	山合三元	平
援	ヱユン	喻雲	山合三元	平
猿	ヱユン	喻雲	山合三元	平
螈	ヱユン	喻雲	山合三元	平
焉	ヱン	喻雲	山開三仙	平
為	ヲイ	喻雲	止合三寘/止合三支	去/平
韋	ヲイ	喻雲	止合三微	平
葦	ヲイ	喻雲	止合三尾	上
織	チ	照章	曾開三職	入
職	チ	照章	曾開三職	入
執	ヂ	照章	深開三緝	入
州	チウ	照章	流開三尤	平
周	チウ	照章	流開三尤	平
帚	チウ	照章	流開三有	上
咒	チウ	照章	流開三宥	去
酌	チヤ	照章	宕開三藥	入
招	チヤ◦ウ	照章	效開三宵	平
照	チヤ◦ウ	照章	效開三笑	去
章	チヤン	照章	宕開三陽	平
樟	チヤン	照章	宕開三陽	平
掌	チヤン	照章	宕開三養	上
拙	チユ	照章	山合三薛	入
珠	チユイ	照章	遇合三虞	平
諸	チユイ	照章	遇合三魚	平
主	チユイ	照章	遇合三麌	上
注	チユイ	照章	遇合三遇	去
燭	チヨ	照章	通合三燭	入
囑	チヨ	照章	通合三燭	入
終	チヨン	照章	通合三東	平
腫	チヨン	照章	通合三腫	上
眾	チヨン	照章	通合三送	去
遮	チヱヽ	照章	假開三麻	平
者	チヱヽ	照章	假開三馬	上
蔗	チヱヽ	照章	假開三祃	去
戰	チヱン	照章	山開三線	去
專	チヱン	照章	山合三仙	平
磚	チヱン	照章	山合三仙	平
真	チン	照章	臻開三真	平
針	チン	照章	深開三侵	平
斟	チン	照章	深開三侵	平
枕	チン	照章	深開三寢	上
診	チン	照章	臻開三軫	上
整	チン	照章	梗開三靜	上
正	チン	照章	梗開三勁	去
證	チン	照章	曾開三證	去
錐	ツイ	照章	止合三脂	平
贅	ツイ	照章	蟹合三祭	去
之	ツウ	照章	止開三之	平
支	ツウ	照章	止開三支	平
芝	ツウ	照章	止開三之	平
枝	ツウ	照章	止開三支	平
脂	ツウ	照章	止開三脂	平
旨	ツウ	照章	止開三旨	上
指	ツウ	照章	止開三旨	上
紙	ツウ	照章	止開三紙	上
至	ツウ	照章	止開三至	去
志	ツウ	照章	止開三志	去
柘	シ	照章	假開二麻	平
跖	ジ	照章	梗開三昔	入
隻	チ	照章	梗開三昔	入
只	チ	照章	止開三紙	上
蛭	チ	照章	臻開三質	入
彰	チヤン	照章	宕開三陽	平
障	チヤン	照章	宕開三漾	去
准	チユン	照章	臻合三准	上
鍾	チヨン	照章	通合三鐘	平
鐘	チヨン	照章	通合三鐘	平
摺	チヱ	照章	鹹開三葉	入
鷓	チヱヽ	照章	假開三麻	去
氊	チヱン	照章	山開三仙	平
占	チヱン	照章	鹹開三監/鹹開三豔	去/平
鉦	チン	照章	梗開三清	平
拯	チン	照章	曾開三拯	上
症	チン	照章	曾開三證	去
梔	ツウ	照章	止開三支	平
祉	ツウ	照章	止開三止	上
枳	ツウ	照章	止開三紙	上
螽	ツヲン	照章	通合一冬	平
佔	テン	照章	鹹開三鹽	去
折	ツヱ	照章/禪	山開三薛/鹹開三葉	入
盞	サ゚ン	照莊	山開二產	上
斬	サ゚ン/ツアン	照莊	鹹開二	上
裝	チヤン	照莊	宕開三陽	平
壯	チヤン	照莊	宕開三漾	去
捉	チヨ	照莊	江開二覺	入
詐	ツアヽ	照莊	假開二祃	去
榛	ツイン	照莊	臻開三真	平
齊	ツユイ/ヅヱイ	照莊	蟹開二皆	平
側	ツヱ	照莊	曾開三職	入
窄	ツヱ	照莊	梗開二陌	入
皺	ツヱ◦ウ	照莊	流開三宥	去
縐	ツヱ◦ウ	照莊	流開三宥	去
爭	ツヱン	照莊	梗開二耕	平
睜	ツヱン	照莊	梗開二耕	平
箏	ツヱン	照莊	梗開二耕	平
扎	サ゚	照莊	山開二黠	入
札	サ゚	照莊	山開二黠	入
爪	サ゚◦ウ	照莊	效開二巧	上
庄	チヤン	照莊	宕開三陽	平
粧	チヤン	照莊	宕開三陽	平
楂	ツアヽ	照莊	假開二麻	平
揸	ヅアヽ	照莊	假開二麻	平
查	ヅアヽ/ザアヽ	照莊	假開二麻	平
掙	ツヱン	照莊	梗開二耕	平
諍	ツヱン	照莊	梗開二耕	去
紮	サ゚	照莊/知	山開二黠/鹹開二洽	入
張	チヤン	知	宕開三陽	平
帳	チヤン	知	宕開三漾	去
蛛	チユイ	知	遇合三虞	平
竹	チヨ	知	通合三屋	入
築	チヨ	知	通合三屋	入
桌	チヨ	知	江開二覺	入
啄	チヨ	知	江開二覺	入
寵	チヨン	知	通合三腫	上
忠	チヨン	知	通合三東	平
貞	チン	知	梗開三清	平
鎮	チン	知	臻開三震	去
追	ツイ	知	止合三脂	平
智	ツウ	知	止開三寘	去
知	ツウ/チイ	知	止開三支	平
致	ツウ/チイ	知	止開三至	去
置	ツウ/ツユウ	知	止開三志	去
爹	テイ	知	假開三麻	平
着	ヂヤ/チヤ/チヨ	知	宕開三藥	入
嘲	チヤ◦ウ/ヂヤ◦ウ	知	效開二肴	平
楮	チユイ	知	遇合三語	上
猪	チユイ	知	遇合三魚	平
𪂹	チユン	知	臻合三諄	平
鶽	チユン	知	臻合三諄	平
迍	チユン	知	臻合三諄	平
中	チヨン	知	通合三東/通合三送	去/平
轉	チヱン	知	山合三狝/山合三線	上/去
砧	チン	知	深開三侵	平
蜘	ツウ	知	止開三支	平
緻	ツウ	知	止開三致	去
螲	テ	知	臻開三質	入
粘	ネン	知	鹹開三監	平
齋	サ゚イ	莊	蟹開二皆	平
齟	ツヲヽ	莊	遇合三語	上
