序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
100	火鉗		詞目分類索引/器物用品 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 kiam53		夾煤或炭火時所用的鐵鉗子。	例：水滾啊，火毋使恁猛，較緊用火鉗夾一兜仔火炭出來。(水開了，火不必這麼旺，快用火鉗夾些炭出來。)			
101	伙食外開		詞目分類索引/慣用語 詞目分類索引/生活狀態	foo31 shied43 nguai55 koi11		家中不開伙，在外搭伙或外食。	例：年底做鬧熱遐駁子，真多人逐日伙食外開得人請。(年底大拜拜那陣子，很多人每天家中不開伙讓人請客。)	食外頭		
102	火炭		詞目分類索引/器物用品 聲母索引/05 詔安/f/oo/上聲(2/^/31)	foo31 tan31		木炭。是一種將木材密閉於窯中，用火燜薰而成的燃料。或在家中將灶中燒成通紅之柴夾入甕中加蓋冷卻而成。顏色黑、質地硬，也可用來過濾液體和氣體。	例：這下真少人用火炭燸茶啊。(現在很少人用木炭燒茶了。)			
103	歡喜		詞目分類索引/思維心態 聲母索引/05 詔安/n/a/陰平(1/ˇ/11)	fan11 hi31		快樂、高興。	例：阿公䀴著恁多子孫轉來拁佢做生日，心肝底真歡喜。(爺爺看見這麼多子孫來幫他慶生，心裡很高興。)	暢　快活		
104	苦味		詞目分類索引/事物情狀 詞目分類索引/飲食 聲母索引/05 詔安/k/u/上聲(2/^/31)	ku31 bbi55		五味之一。似黃連、膽汁的味道。	例：人講有苦味个物件，食了會用退火。(據說有苦味的東西，吃了可以退火。)			
105	褲腳			ku31 gioo24		褲子的最下端部分。	例：這領新褲个褲腳傷長，愛提轉去改。(（這條新褲子的褲腳太長，要拿回去修改。）)			
106	褲頭		詞目分類索引/衣著裝扮 聲母索引/05 詔安/k/u/上聲(2/^/31)	ku31 teu53		褲腰。褲子最上端，位於腰部，用來繫腰帶的部位。	例：褲頭个鈕子㪐去啊，愛縺倒轉去。(褲頭的鈕釦掉了，要縫回去。)			
107	紅粄		詞目分類索引/宗教民俗 詞目分類索引/飲食 聲母索引/05 詔安/ng/u/陽平(5/ˋ/53)	fung53 ban31		糯米蒸製而成的食品。外觀呈橢圓形，約3公分厚，原料加紅色素，攪拌柔軟後以模具壓製花紋，形似龜殼。餡用綠豆沙等製成。用於家中新生兒滿月或男丁成年時，所舉行的「打新丁」儀式中，故又稱「新丁粄」。	例：屋下若係有添新丁个人，正月半愛提紅粄去廟拜神。(家裡若有添新丁的人家，正月半要拿紅粄去廟裡祭拜神明。)	新丁粄		
108	紅菜		聲母索引/05 詔安/ng/u/陽平(5/ˋ/53)	fung53 coi31		紅鳳菜。一種可食用的菊科植物。葉片正面為深綠色，背面為紫紅色，葉肉厚，水分多。	例：聽講紅菜煮卵酒，食了會用補血。(聽說紅鳳菜煮蛋酒，吃了可以補血。)			
109	風神			fung11 shin53		威風凜凜的樣子。	例：遐個後生子人打扮到派頭派頭，若像真風神个款。(（那個年輕人打扮得時髦氣派，好像非常神氣的樣子。）)			hk0000011826-2-5-1
110	風圍		聲母索引/05 詔安/ng/u/陰平(1/ˇ/11)	fung11 bbi53		防風林。	例：田脣種一兜仔風圍，菜正毋會得風絞到壞去。(田邊種些防風林，菜才不會被風吹壞。)	竹圍		
111	奉工		詞目分類索引/產業勞動 聲母索引/05 詔安/ng/u/去聲(7/ /55)	fung55 gung11		無酬勞替公家做事。	例：這擺做个事，無提半銑錢，做一下奉工。(這次的工作，沒拿半毛錢，全部無酬替公家做。)			
112	奉待		詞目分類索引/人際互動 聲母索引/05 詔安/ng/u/去聲(7/ /55)	fung55 tai55		侍奉。	例：做人子女愛好好奉待爺哀。(為人子女要好好侍奉父母。)	服侍		
113	加減		聲母索引/05 詔安/g/a/陰平(1/ˇ/11)	ga11 giam31		或多或少。	落雨天人客少，有生理即加減趁一兜。 下雨天客人少，有生意就多少賺一點。	多少　加加減減　多多少少		
114	家官		詞目分類索引/宗教民俗 詞目分類索引/稱謂身分 聲母索引/05 詔安/g/a/陰平(1/ˇ/11)	ga11 guan11		公公。丈夫的父親。	例：𠊎家官做小學先生退休。(我公公當小學老師退休。)			
115	耕田人			gang11 teen53 ngin53　俗音ging11 teen53 ngin53		農人。	例：耕田人一年透天攏無通好閒。(（農人一年到頭都没得閒。）)	耕種人農民作穡人作事人		
116	耕種人			gang11 zhung31 ngin53　俗音ging11 zhung31 ngin53		農人。	例：耕種人輒輒愛䀴天食飯。(（農人常常要靠天吃飯。）)	耕田人農民作穡人作事人		
117	交春		詞目分類索引/宗教民俗 詞目分類索引/時間節令 聲母索引/05 詔安/g/au/陰平(1/ˇ/11)	gau11 chin11		立春。國曆二月四日或五日，為春季的開始。	例：交春過後直直落雨，驚會落到清明喔。(立春過後一直下雨，恐怕要下到清明吧。)	立春		
118	交關			gau11 guan11		消費、惠顧。	例：遐間雜貨店價數實在，所以真多人去交關。(那家雜貨店價錢公道，所以很多人去消費。)			
119	交運		詞目分類索引/宗教民俗 詞目分類索引/事物情狀 詞目分類索引/交通通訊 聲母索引/05 詔安/g/au/陰平(1/ˇ/11)	gau11 bbin55		走運。	例：佢這站做麼个生理攏趁錢，𠊎䀴係交運啊。(他這陣子做什麼生意都賺錢，我看是走運了。)	行運		
120	交秋		詞目分類索引/宗教民俗 詞目分類索引/時間節令 聲母索引/05 詔安/g/au/陰平(1/ˇ/11)	gau11 ciu11		立秋。國曆八月七日或八日，為秋天的開始。	例：交秋過後，天氣漸漸仔轉涼。(立秋過後，天氣漸漸轉涼。)	立秋		
121	焿粽		詞目分類索引/飲食 聲母索引/05 詔安/n/i/陰平(1/ˇ/11)	ginn11 zung31		鹼粽。一種加入鹼油製成的粽子，呈金黃色，可蘸糖、蜂蜜或醬油食用。	例：𠊎依五月節和七月半攏會䌈焿粽來拜神。(我媽媽端午節和中元節都會包鹼粽來拜拜。)			
122	髻鬃		詞目分類索引/衣著裝扮 聲母索引/05 詔安/g/i/上聲(2/^/31)	gi31 zung11		髮髻。在頭頂或腦後盤成各種形狀的髮式。	例：阿媽腳手真緊，兩下半即編髻鬃編到靚靚。(奶奶手腳非常俐落，一下子就盤髮髻盤得漂漂亮亮。)	髻　頭摠		
123	撿揫			giam31 ciu11		整理、收拾。	例：食飽飯，𠊎會鬥相共撿揫。(（吃飽飯，我會幫忙收拾碗筷。）)	收揫		hk0000007039-2-5-1
124	桔餅		聲母索引/05 詔安/g/id/陰入(4/ˊ/24)	gid24 biang31		用金桔做成的乾蜜餞。	例：宜蘭个桔餅足出名。(宜蘭的桔餅很有名。)			
125	桔醬		聲母索引/05 詔安/g/id/陰入(4/ˊ/24)	gid24 ziong31		用金桔製成的果醬。先將金桔蒸熟去籽後，加入辣椒絞碎，再以糖、鹽等調味熬煮而成。為客家人特有的沾醬之一。	例：三層肉搵桔醬頭好食。(五花肉蘸桔醬最好吃。)			
126	雞髀		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 bi31		雞腿。	例：今日食到足豐沛，一儕一支雞髀。(今天吃得很豐盛，一人一隻雞腿。)			
127	雞肝		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 gon11		雞的肝臟。	例：阿太無牙，雞肝軟軟粉粉，真堵好食。(曾祖父沒有牙齒，雞肝軟軟粉粉的，很適合他吃。)			
128	雞公		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 gung11		公雞。	例：這兩隻雞公起超啊，恬恬會相啄。(這兩隻公雞發情了，常常會相互咬啄。)	雄雞　雞牯		
129	雞酒		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 ziu31		麻油雞。以薑、麻油爆香後，放入雞肉翻炒，然後加入米酒、枸杞等煮成，常作為產婦的補品。	例：夫娘人做月，真多人會食雞酒來補身體。(婦女坐月子，許多人會吃雞酒補身體。)			
130	雞胗		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 kin11		雞的胃。	例：雞胗毋管用滷、用炒抑係煮湯攏真好食。(雞胗不管用滷、用炒或是煮湯都很好吃。)			
131	雞籠		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 lung53		畜養雞的籠子。	例：暗啊，拁雞么關入雞籠內底去。(天黑了，把小雞關進雞籠裡去。)			
132	雞嫲		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 ma53		母雞。	例：雞嫲生卵會賴孵，抔都抔毋會走。(母雞生蛋會賴著孵蛋，趕都趕不走。)			
133	雞尾		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 mui11		雞屁股、雞尾巴。	例：雞尾臭羴臭羴，毋過猶係有人愛食。(雞尾巴有股臭味，不過還是有人愛吃。)	雞尾椎		
134	雞毛管		聲母索引/05 詔安/g/e/陰平(1/ˇ/11)	ge11 hm11 guen31		膠囊。把藥物裝在膠殼內的製劑，可掩蓋不良氣味或刺激性。	例：食雞毛管愛傍滾水，正吞會落。(吃膠囊要配開水，才吞得下。)			
135	結子		詞目分類索引/植物 聲母索引/05 詔安/g/ied/陰入(4/ˊ/24)	gied24 zu31		結果。植物結出果實。	例：屋脣遐頭牛眼樹花開到真多，毋過結子結無多。(屋旁那棵龍眼樹花開很多，但是結果不多。)	打子		
136	肩頭		詞目分類索引/人體器官 詞目分類索引/疾病醫療 聲母索引/05 詔安/n/ee/陰平(1/ˇ/11)	geen11 teu53		肩膀。頸部下兩臂與身體相連接的部分。	例：粉鳥企在厥肩頭，全然毋會驚人。(鴿子站在他的肩膀上，完全不會怕人。)			
137	見笑			gien31 sio31		丟臉、不好意思。	例：恁大漢啊著衫猶上鈕鈕下鈕，真見笑。(（這麼大了穿衣服還扣錯鈕扣，真丟臉。）)	瀉衰瀉面子否勢	有面子風神	hk0000000958-2-5-1
138	狗嫲		詞目分類索引/動物 聲母索引/05 詔安/g/eu/上聲(2/^/31)	geu31 ma53		母狗。	例：狗嫲降么，見䀴著人即惡豺豺。(母狗生子，每看到人就凶巴巴的。)			
139	狗吠		詞目分類索引/動物 聲母索引/05 詔安/g/eu/上聲(2/^/31)	geu31 pui55		1.狗叫。　2.（貶）指人說話不中聽。	例：昨暗半夜聽著狗吠，吠無歇，係毋係有賊？(昨晚半夜聽到狗叫，叫聲不斷，是不是有小偷？) 例：聽你在遐狗吠，𠊎無恁大个氣力插你！(聽你在那胡扯，我懶得理你！)	2.屙屁		
140	狗蝨		詞目分類索引/動物 聲母索引/05 詔安/g/eu/上聲(2/^/31)	geu31 sed24		跳蚤。昆蟲綱微翅目。體形很小，暗褐色，後腿長而有力，善於跳躍。多寄生在哺乳動物或禽鳥身上，吸吮血液為生，是傳染鼠疫等疾病的媒介。	例：𠊎个狗毋知對哪位穢恁多狗蝨轉來，實在真摝人哦！(我的狗不知道打哪兒傳染這麼多跳蚤回來，實在傷腦筋。)			
141	金斗盎		詞目分類索引/宗教民俗 聲母索引/05 詔安/m/i/陰平(1/ˇ/11)	gim11 deu31 ang11		裝骨灰或骨骸的罈子。	例：厥媽上個月過身，金斗盎愛請地理仙䀴日了正會用進塔。(他奶奶上個月去世，骨灰罈要請地理師看日子後才能進納骨塔。)			
142	金香		詞目分類索引/宗教民俗 聲母索引/05 詔安/m/i/陰平(1/ˇ/11)	gim11 hiong11		祭祀神明所使用的金紙和香。	例：後日初一愛拜神，金香買好吂？(後天初一要拜拜，金紙和香買了沒？)			
143	金銀花		詞目分類索引/疾病醫療 詞目分類索引/植物 聲母索引/05 詔安/m/i/陰平(1/ˇ/11)	gim11 ngun53 fa11		忍冬。忍冬科忍冬屬，多年生纏繞灌木。莖中空，小枝綠色，密被短柔毛及腺毛。葉卵形或橢圓形，經冬不枯。花腋出成對，合瓣花冠，左右對稱，夏開白花，外帶紫斑，有香氣，後變為黃色。果實黑色。花、莖皆可入藥，有清熱、解毒、殺菌之效。	例：在漢藥內底，金銀花會用清熱解毒。(在中藥裡，金銀花可以清熱解毒。)			
144	敬神		詞目分類索引/宗教民俗 聲母索引/05 詔安/n/i/上聲(2/^/31)	gin31 shin53		祭拜神明。	例：過年過節，愛準備牲儀來敬神。(過年過節，要準備牲禮來祭拜神明。)	拜神　拜佛		
145	腳髀			gioo24 bi31		大腿。	例：佢个手骨像你个腳髀恁粗。(（他的手臂像你的大腿一般粗。）)	大腳髀		
146	腳跡			gioo24 zia24		腳印、足跡。腳踏過所留下的痕跡。	例：鞋恁屙糟毋脫，蹬到滿哪位攏係腳跡了了。(（鞋子這麼髒不脫掉，踩得到處都是腳印。）)	腳印影跡腳號		
147	腳盤			gioo24 pan53		腳背。	例：𠊎个腳盤得蚊叮著，癢到喊毋敢。(（我的腳背被蚊子叮到，癢得不得了。）)	腳婆	腳底	
148	腳盆			gioo24 pun53		洗澡用的大盆子。	例：用腳盆拁細子洗膴身，愛特別細義，先放冷水正敨燒水，較安全。(（用澡盆幫小孩洗澡，要特別小心，先放冷水再摻入熱水，比較安全。）)	大面盆		hk0000011274-2-5-1
149	钁頭		詞目分類索引/器物用品 聲母索引/05 詔安/g/io/陰入(4/ˊ/24)	gio24 teu53		鋤頭。用來除草或鬆土的農具。	例：天吂光，佢即擎钁頭去掘菜園。(天還未亮，他就拿著鋤頭去整理菜園。)			
150	薑嫲		詞目分類索引/飲食 詞目分類索引/植物 聲母索引/05 詔安/ng/io/陰平(1/ˇ/11)	giong11 ma53		薑。蘘荷科蘘荷屬，多年生草本。葉呈長形，葉脈平行。地下莖肥大，呈不規則圓塊狀，黃色，味辣，可供調味用。亦可入藥。	例：煮番薯湯囥薑嫲真著味。(煮地瓜湯加薑非常對味。)	薑		
151	九降風		聲母索引/05 詔安/g/iu/上聲(2/^/31)	giu31 gong31 fung11		農曆九月間臺灣新竹一帶所吹的東北季風。九降風乾冷強烈，早期新竹人利用此自然資源風乾仙草、米粉、柿餅等，製成地方特產。	例：想著新竹个九降風，即會想著新竹个米粉。(想到新竹的九降風，就會聯想到新竹的米粉。)	季節風		
152	九腔十八調		詞目分類索引/教育文化 聲母索引/05 詔安/g/iu/上聲(2/^/31)	giu31 kiong11 shib43 beed24 teeu55		形容傳統客家歌謠種類繁多。由於地理上的區隔，客家方言發展出不同的腔調，加以客家山歌有老山歌、平板、山歌子、小調……等多種調式，使得客家歌謠樣貌繁多。	阿媽真會唱山歌，九腔十八調，逐件都恁會。 奶奶很會唱山歌，不管什麼種類，每一種都很在行。			
153	勼筋			giu31 gun11		抽筋。	例：佢跍忒久，一跋起來腳嗄勼筋啊。(（他蹲太久，猛一起身腳就抽筋了。）)			
154	挶屎			giu24 shi31		傲慢、挑剔。原指糞便囤積於腹腔內無法正常排出，延伸指人態度傲慢，難以相處。	例：遐個人真挶屎，和麼儕都毋會和。(（那個人很高傲，和誰都合不來。）)	挶大範	謙卑謙虛	hk0000011572-2-5-1
155	挶心事			giu24 sim11 su55		耍心機、攻心計。	做人愛老實，毋好挶心事去害人。 做人要老實，不要耍心機去陷害人。	想空想缺　想空想縫		
156	弓蕉		詞目分類索引/植物 聲母索引/05 詔安/ng/iu/陰平(1/ˇ/11)	giung11 zio11		香蕉。芭蕉科芭蕉屬，多年生草本。莖短，葉甚寬大，有長柄，夏秋間自偽莖抽出大花軸，上部為雄花，下部為雌花，花淡黃色。屬熱帶果樹。果實長形，稍彎，味香甜。	例：弓蕉價數好遐下，逐儕相賽種，這下便宜貴賤，即無人愛種啊。(香蕉價錢好時，大家都爭相種植，現在非常便宜，就沒有人要種了。)			
157	果盆		聲母索引/05 詔安/g/oo/上聲(2/^/31)	goo31 pun53		統稱用以祭奠的水果籃、罐頭塔等祭品。	例：阿媽過身遐下，厥外家送兩對果盆來。(祖母過世時，她娘家的人送了兩對罐頭塔。)	罐頭塔		
158	過爐		詞目分類索引/宗教民俗 聲母索引/05 詔安/g/oo/上聲(2/^/31)	goo31 lu53		1.爐主輪值供奉神明時，神明由原爐主移駕往新爐主的過程。爐主指負責供奉神明的人。某些地方是將神明迎至家中供奉，「過爐」表示神明從舊爐主家中移駕往新爐主住處。若神明一向安奉於廟中，則「過爐」僅指新舊爐主職務的交接。　2.分廟的神明暫時回到主廟。	例：王爺公過爐遐下，隨香个人真多，真鬧熱喔！(王爺公過爐時，隨行的人很多，非常熱鬧喔！) 例：𠊎莊底个媽祖婆，逐年攏愛轉北港去過爐。(我們村裡的媽祖婆，每年都要回到北港過爐。)	2.割香		
159	過路人		詞目分類索引/人際互動 詞目分類索引/稱謂身分 聲母索引/05 詔安/g/oo/上聲(2/^/31)	goo31 lu55 ngin53		1.路人。　2.陌生人。	例：頭前在整路，過路人愛細義行。(前面在修路，路人要小心行走。) 例：屋邊頭尾愛相借問，毋好像過路人共樣。(鄰居往來要相互問候，不要像陌生人一樣。)	1.過路客　1.路人　2.生份人	2.熟事人	
160	過年過節		聲母索引/05 詔安/g/oo/上聲(2/^/31)	goo31 neen53 goo31 zied24		逢年過節。	例：阿伯徙去美國蹛，連過年過節都罕得轉。(伯父搬去美國住，就連逢年過節也很少回來。)	逢年過節　年年節節	閒時閒節　閒時閒務	
