	單字	ipa_調類	ipa_調值	注释
1010	就	ʦɐu6	ʦɐu⁵²	
3550	舅	kʰiɐu5	kʰiɐu³¹²	
3446	舊	kiɐu6	kiɐu⁵²	
1011	鷲	ʦɐu6	ʦɐu⁵²	
3593	拘	kʰei1	kʰei⁴⁵	
3727	居	kei1	kei⁴⁵	
4981	疽			
3305	掬	kuk7	kuk⁴⁵	
4982	裾			
3594	駒	kʰei1	kʰei⁴⁵	
3306	鞠	kuk7	kuk⁴⁵	
3301	局	kuk9	kuk⁵²	
3393	桔	kit8	kit³	桔柣
3618	桔	kʰɐt7	kʰɐt⁴⁵	桔梗
3307	菊	kuk7	kuk⁴⁵	
3302	鋦	kuk9	kuk⁵²	
3761	橘	kɐt7	kɐt⁴⁵	
339	咀	ʦui2	ʦui³²³	
338	沮	ʦui2	ʦui³²³	沮喪
995	沮	ʦei3	ʦei³³	沮洳
4846	沮			沮水。水名
5296	莒			
3591	矩	kʰei2	kʰei³²³	又读kei³²³
3710	舉	kei2	kei³²³	
3711	櫸	kei2	kei³²³	
3694	巨	kei6	kei⁵²	
3704	句	kei3	kei³³	
3565	拒	kʰei5	kʰei³¹²	
4983	苣			
3695	具	kei6	kei⁵²	
3696	炬	kei6	kei⁵²	
3595	俱	kʰei1	kʰei⁴⁵	又读kei⁵²
3588	据	kʰei3	kʰei³³	
3566	距	kʰei5	kʰei³¹²	
3697	鉅	kei6	kei⁵²	
982	聚	ʦei6	ʦei⁵²	
3548	劇	kʰiɛk8	kʰiɛk³	
3589	踞	kʰei3	kʰei³³	
3590	據	kʰei3	kʰei³³	
3698	遽	kei6	kei⁵²	
3705	鋸	kei3	kei³³	
3699	颶	kei6	kei⁵²	
3700	懼	kei6	kei⁵²	
3417	捐	kin1	kin⁴⁵	
3418	涓	kin1	kin⁴⁵	
3419	娟	kin1	kin⁴⁵	
3420	鵑	kin1	kin⁴⁵	
4984	鐫			
3406	卷	kin4	kin³¹	白读kiɛn³²³,kʰiɛn³²³
3412	卷	kin2	kin³²³	試卷
3413	捲	kin2	kin³²³	白读kiɛn³²³;ʔiɛn³²³
3405	倦	kin6	kin⁵²	
3409	眷	kin3	kin³³	
5297	雋			
5298	雋			
3410	絹	kin3	kin³³	
3513	撅	kʰit8	kʰit³	
4985	孓			
3514	抉	kʰit8	kʰit³	
3515	決	kʰit8	kʰit³	
3753	倔	kɐt9	kɐt⁵²	
3754	掘	kɐt9	kɐt⁵²	
3755	崛	kɐt9	kɐt⁵²	
3516	訣	kʰit8	kʰit³	
3517	厥	kʰit8	kʰit³	
277	絕	ʦut9	ʦut⁵²	
3518	蕨	kʰit8	kʰit³	
3519	獗	kʰit8	kʰit³	
3397	橛	kit8	kit³	木橛子
3510	橛	kʰit9	kʰit⁵²	兩橛
4986	憠			
481	爵	ʦiɛk8	ʦiɛk³	
4987	譎			
482	嚼	ʦiɛk8	ʦiɛk³	
3343	覺	kuɔk8	kuɔk³	直覺
3735	覺	kau3	kau³³	睡覺
4988	钁			
3632	均	kʰɐn1	kʰɐn⁴⁵	
3808	君	kɐn1	kɐn⁴⁵	
3809	軍	kɐn1	kɐn⁴⁵	
3622	菌	kʰɐn5	kʰɐn³¹²	
3633	鈞	kʰɐn1	kʰɐn⁴⁵	
1081	俊	ʦɐn3	ʦɐn³³	
3782	郡	kɐn6	kɐn⁵²	
1082	峻	ʦɐn3	ʦɐn³³	
1083	浚	ʦɐn3	ʦɐn³³	
1084	竣	ʦɐn3	ʦɐn³³	
1085	駿	ʦɐn3	ʦɐn³³	
3882	咖	ka3	ka³³	
5299	喀			
3658	卡	kʰa3	kʰa³³	
4553	揩	hai1	hai⁴⁵	
4337	開	huɔi1	huɔi⁴⁵	
276	凱	ʔuɔi2	ʔuɔi³²³	
3491	慨	kʰuɔi3	kʰuɔi³³	
3874	楷	kai1	kai⁴⁵	楷書
4795	楷			楷樹
15	愷	ʔuɔi2	ʔuɔi³²³	
16	鎧	ʔuɔi2	ʔuɔi³²³	
5300	愾			
4326	刊	huɔn2	huɔn³²³	
4528	勘	hɐm3	hɐm³³	
4534	堪	hɐm1	hɐm⁴⁵	
5301	龕			
4531	坎	hɐm2	hɐm³²³	
4327	侃	huɔn2	huɔn³²³	
4532	砍	hɐm2	hɐm³²³	
3638	檻	kʰam5	kʰam³¹²	門檻
5302	檻			牛檻
4324	看	huɔn3	huɔn³³	看守
4325	看	huɔn3	huɔn³³	看待
5303	崁			
4535	磡	hɐm1	hɐm⁴⁵	又读hɐm³³
3825	瞰	kɐm2	kɐm³²³	
4304	康	huɔŋ1	huɔŋ⁴⁵	
3479	慷	kʰuɔŋ1	kʰuɔŋ⁴⁵	
4305	糠	huɔŋ1	huɔŋ⁴⁵	
5304	扛			
3473	亢	kʰuɔŋ3	kʰuɔŋ³³	高亢
5305	亢			喉嚨
3474	抗	kʰuɔŋ3	kʰuɔŋ³³	
5306	囥			
3475	炕	kʰuɔŋ3	kʰuɔŋ³³	
4465	考	hau2	hau³²³	
4468	拷	hau1	hau⁴⁵	
4469	烤	hau1	hau⁴⁵	
3502	犒	kʰou3	kʰou³³	
3608	靠	kʰɐu3	kʰɐu³³	又读kʰou³³
4347	苛	huɔ1	huɔ⁴⁵	
3495	柯	kʰuɔ1	kʰuɔ⁴⁵	
4638	科	fuɔ1	fuɔ⁴⁵	
4343	蚵	huɔ4	huɔ³¹	
3496	棵	kʰuɔ1	kʰuɔ⁴⁵	
3497	軻	kʰuɔ1	kʰuɔ⁴⁵	
4487	嗑	hɐp7	hɐp⁴⁵	
3498	稞	kʰuɔ1	kʰuɔ⁴⁵	
4989	窠			
5307	磕			
4488	瞌	hɐp7	hɐp⁴⁵	
3499	蝌	kʰuɔ1	kʰuɔ⁴⁵	
3493	顆	kʰuɔ2	kʰuɔ³²³	
4344	可	huɔ2	huɔ³²³	可以
5308	可			可汗
4348	坷	huɔ1	huɔ⁴⁵	又读hɔ³²³
4294	渴	huɔt8	huɔt³	
4538	克	hɐk7	hɐk⁴⁵	
4539	刻	hɐk7	hɐk⁴⁵	又读kɐk⁴⁵
4540	剋	hɐk7	hɐk⁴⁵	
5309	峇			
4541	客	hɐk7	hɐk⁴⁵	
3492	課	kʰuɔ3	kʰuɔ³³	
4500	肯	hɐŋ2	hɐŋ³²³	
4501	啃	hɐŋ2	hɐŋ³²³	
4516	墾	hɐn2	hɐn³²³	
4517	懇	hɐn2	hɐn³²³	
4505	坑	hɐŋ1	hɐŋ⁴⁵	
4300	吭	huɔŋ4	huɔŋ³¹	引吭高歌
4306	吭	huɔŋ1	huɔŋ⁴⁵	吭聲
4506	鏗	hɐŋ1	hɐŋ⁴⁵	
4283	空	huŋ1	huŋ⁴⁵	
3459	孔	kʰuŋ2	kʰuŋ³²³	又读huŋ³²³
4281	恐	huŋ2	huŋ³²³	又读kʰuŋ³²³
4303	控	huɔŋ3	huɔŋ³³	
3615	摳	kʰɐu1	kʰɐu⁴⁵	
4990	瞘			
4464	口	hɐu2	hɐu³²³	
3609	叩	kʰɐu3	kʰɐu³³	
3610	扣	kʰɐu3	kʰɐu³³	
3611	寇	kʰɐu3	kʰɐu³³	
3612	蔻	kʰɐu3	kʰɐu³³	
3501	枯	kʰu1	kʰu⁴⁵	
4290	哭	huk7	huk⁴⁵	
3616	窟	kʰɐt7	kʰɐt⁴⁵	
5310	骷			
4671	苦	fu2	fu³²³	
4659	庫	fu3	fu³³	
4289	酷	huk9	huk⁵²	
4660	褲	fu3	fu³³	
3659	夸	kʰa1	kʰa⁴⁵	
3660	誇	kʰa1	kʰa⁴⁵	
4991	侉			
3661	垮	kʰa1	kʰa⁴⁵	
3662	跨	kʰa1	kʰa⁴⁵	
4992	蒯			
4765	快	fai3	fai³³	
3646	塊	kʰai3	kʰai³³	
3647	筷	kʰai3	kʰai³³	
5311	膾			
4594	寬	fun1	fun⁴⁵	
4592	款	fun2	fun³²³	
4307	匡	huɔŋ1	huɔŋ⁴⁵	
4308	筐	huɔŋ1	huɔŋ⁴⁵	
3539	狂	kʰiɛŋ4	kʰiɛŋ³¹	
3476	況	kʰuɔŋ3	kʰuɔŋ³³	
4309	框	huɔŋ1	huɔŋ⁴⁵	
3480	眶	kʰuɔŋ1	kʰuɔŋ⁴⁵	又读huɔŋ⁴⁵
3477	曠	kʰuɔŋ3	kʰuɔŋ³³	
3276	礦	kuŋ2	kuŋ³²³	
3468	盔	kʰui1	kʰui⁴⁵	又读kɐi⁴⁵
3652	窺	kʰɐi1	kʰɐi⁴⁵	
3653	虧	kʰɐi1	kʰɐi⁴⁵	
4993	奎			
3639	逵	kʰɐi4	kʰɐi³¹	
5312	揆			
3640	葵	kʰɐi4	kʰɐi³¹	
3469	魁	kʰui1	kʰui⁴⁵	
3641	睽	kʰɐi4	kʰɐi³¹	
4994	夔			
3470	傀	kʰui1	kʰui⁴⁵	傀儡
5313	傀			傀偉
5314	喟			
3643	愧	kʰɐi3	kʰɐi³³	
3464	匱	kʰui3	kʰui³³	
3465	潰	kʰui3	kʰui³³	
3466	餽	kʰui3	kʰui³³	
3467	饋	kʰui3	kʰui³³	
3634	坤	kʰɐn1	kʰɐn⁴⁵	
3635	昆	kʰɐn1	kʰɐn⁴⁵	
3810	崑	kɐn1	kɐn⁴⁵	
3636	錕	kʰɐn1	kʰɐn⁴⁵	
3637	鯤	kʰɐn1	kʰɐn⁴⁵	
3630	捆	kʰɐn2	kʰɐn³²³	
142	壼	wu4	wu³¹	
3631	綑	kʰɐn2	kʰɐn³²³	
3628	困	kʰɐn3	kʰɐn³³	
3629	睏	kʰɐn3	kʰɐn³³	
3457	括	kʰut8	kʰut³	
3485	廓	kʰuɔk8	kʰuɔk³	
3478	擴	kʰuɔŋ3	kʰuɔŋ³³	
4565	闊	fut8	fut³	
3168	垃	lɐp9	lɐp⁵²	
3262	拉	lai1	lai⁴⁵	
3157	邋	lat8	lat³	
3235	剌	lɐk9	lɐk⁵²	
3265	喇	la1	la⁴⁵	喇嘛
3266	喇	la1	la⁴⁵	喇叭
5315	瘌			
3154	辣	lat9	lat⁵²	
3170	臘	lap9	lap⁵²	
3171	蠟	lap9	lap⁵²	
4995	鑞			
3267	啦	la1	la⁴⁵	
2842	來	luɔi4	luɔi³¹	
2843	萊	luɔi4	luɔi³¹	
2841	睞	luɔi6	luɔi⁵²	
3245	賴	lai6	lai⁵²	
3246	瀨	lai6	lai⁵²	
3247	癩	lai6	lai⁵²	
3248	籟	lai6	lai⁵²	
3228	婪	lam4	lam³¹	
3229	嵐	lam4	lam³¹	
3230	藍	lam4	lam³¹	
3198	闌	lan4	lan³¹	
3199	攔	lan4	lan³¹	
3200	蘭	lan4	lan³¹	
3231	籃	lam4	lam³¹	
3201	瀾	lan4	lan³¹	
3202	欄	lan4	lan³¹	
3203	斕	lan4	lan³¹	
3181	懶	lan5	lan³¹²	
3220	覽	lam5	lam³¹²	
3221	攬	lam5	lam³¹²	
3222	欖	lam5	lam³¹²	
3218	纜	lam6	lam⁵²	
3219	濫	lam6	lam⁵²	
3180	爛	lan6	lan⁵²	
2820	郎	luɔŋ4	luɔŋ³¹	
2821	狼	luɔŋ4	luɔŋ³¹	
2822	琅	luɔŋ4	luɔŋ³¹	
2823	廊	luɔŋ4	luɔŋ³¹	
2824	瑯	luɔŋ4	luɔŋ³¹	
2825	榔	luɔŋ4	luɔŋ³¹	
2826	螂	luɔŋ4	luɔŋ³¹	
2819	朗	luɔŋ5	luɔŋ³¹²	
2817	浪	luɔŋ6	luɔŋ⁵²	波浪
5316	浪			滄浪
2906	撈	lou1	lou⁴⁵	捞面
3148	撈	lau1	lau⁴⁵	打捞
2877	牢	lou4	lou³¹	
2878	勞	lou4	lou³¹	勤勞
2879	勞	lou4	lou³¹	慰勞
2880	嘮	lou4	lou³¹	
2881	嶗	lou4	lou³¹	
2869	老	lou5	lou³¹²	
2898	佬	lou2	lou³²³	
4996	姥			天姥
5317	姥			姥姥
2870	硓	lou5	lou³¹²	
2836	烙	luɔk8	luɔk³	
2837	酪	luɔk8	luɔk³	乳酪
2838	酪	luɔk8	luɔk³	杏仁酪
2863	澇	lou6	lou⁵²	
2910	了	liu5	liu³¹²	
3236	勒	lɐk9	lɐk⁵²	
2810	雷	lui4	lui³¹	
2811	擂	lui4	lui³¹	
4997	羸			
2812	鐳	lui4	lui³¹	
5318	耒			
2798	磊	lui5	lui³¹²	
2813	蕾	lui4	lui³¹	
2799	儡	lui5	lui³¹²	
2800	壘	lui5	lui³¹²	堡壘
3149	壘	lɐt9	lɐt⁵²	神荼鬱壘
2801	纍	lui5	lui³¹²	
3237	肋	lɐk9	lɐk⁵²	
2792	累	lui6	lui⁵²	受累；連累
2802	累	lui5	lui³¹²	累積
2803	累	lui5	lui³¹²	果實累累，同「纍」
2793	淚	lui6	lui⁵²	
2794	類	lui6	lui⁵²	
3016	棱	leŋ4	leŋ³¹	
3017	楞	leŋ4	leŋ³¹	楞角
5319	楞			發楞
3018	稜	leŋ4	leŋ³¹	
3175	冷	lɐŋ5	lɐŋ³¹²	
5320	愣			
3073	哩	lei5	lei³¹²	英哩
5321	哩			哩嚕
3082	厘	lei4	lei³¹	
3083	狸	lei4	lei³¹	
3084	梨	lei4	lei³¹	
3251	犁	lɐi4	lɐi³¹	
3109	喱	lei1	lei⁴⁵	
3085	漓	lei4	lei³¹	
3086	璃	lei4	lei³¹	琉璃
3110	璃	lei1	lei⁴⁵	玻璃又读lei³¹
3252	黎	lɐi4	lɐi³¹	
3087	罹	lei4	lei³¹	
3088	釐	lei4	lei³¹	釐定
4434	釐	hei1	hei⁴⁵	恭賀新釐
3089	離	lei4	lei³¹	
4998	蠡			
3090	籬	lei4	lei³¹	
5322	驪			
5323	鸝			
3074	李	lei5	lei³¹²	
3075	里	lei5	lei³¹²	
3076	理	lei5	lei³¹²	
3077	裡	lei5	lei³¹²	
3249	豊	lɐi5	lɐi³¹²	
3078	裏	lei5	lei³¹²	
3096	鋰	lei2	lei³²³	
3250	禮	lɐi5	lɐi³¹²	
3079	鯉	lei5	lei³¹²	
4999	醴			
5324	邐			
3044	力	lek9	lek⁵²	
3169	立	lɐp9	lɐp⁵²	
3066	吏	lei6	lei⁵²	
3067	利	lei6	lei⁵²	
3173	苙	lɐp7	lɐp⁴⁵	
3239	例	lɐi6	lɐi⁵²	
5325	戾			
3240	荔	lɐi6	lɐi⁵²	又读lai⁵²
3068	俐	lei6	lei⁵²	
3069	莉	lei6	lei⁵²	
3150	栗	lɐt9	lɐt⁵²	
3174	笠	lɐp7	lɐp⁴⁵	
2473	粒	nɐp7	nɐp⁴⁵	
3070	痢	lei6	lei⁵²	
3151	慄	lɐt9	lɐt⁵²	
3241	厲	lɐi6	lɐi⁵²	
3242	勵	lɐi6	lɐi⁵²	
3045	歷	lek9	lek⁵²	
3046	曆	lek9	lek⁵²	
1564	隸	tɐi6	tɐi⁵²	
3243	麗	lɐi6	lɐi⁵²	
3062	瀝	lek7	lek⁴⁵	瀝乾
5326	瀝			大瀝，地名
3063	礫	lek7	lek⁴⁵	
3244	蠣	lɐi6	lɐi⁵²	
3064	靂	lek7	lek⁴⁵	
2958	連	lin4	lin³¹	
2959	蓮	lin4	lin³¹	
2980	廉	lim4	lim³¹	
2960	漣	lin4	lin³¹	
5000	奩			
2961	憐	lin4	lin³¹	
2759	聯	lun4	lun³¹	又读lin³¹
2981	簾	lim4	lim³¹	
2982	鐮	lim4	lim³¹	
2962	鰱	lin4	lin³¹	
2977	斂	lim5	lim³¹²	
2978	臉	lim5	lim³¹²	
2949	楝	lin6	lin⁵²	
2950	煉	lin6	lin⁵²	
2951	練	lin6	lin⁵²	
2979	殮	lim5	lim³¹²	
2952	鍊	lin6	lin⁵²	
2953	鏈	lin6	lin⁵²	
2954	戀	lin5	lin³¹²	又读lin³¹²
2989	良	liɛŋ4	liɛŋ³¹	
2990	涼	liɛŋ4	liɛŋ³¹	
2991	梁	liɛŋ4	liɛŋ³¹	
2827	蜋	luɔŋ4	luɔŋ³¹	
2992	粱	liɛŋ4	liɛŋ³¹	
2993	糧	liɛŋ4	liɛŋ³¹	
2433	兩	niɛŋ5	niɛŋ³¹²	兩個
2997	兩	liɛŋ2	liɛŋ³²³	十兩
2434	倆	niɛŋ5	niɛŋ³¹²	
2985	亮	liɛŋ6	liɛŋ⁵²	
2986	量	liɛŋ6	liɛŋ⁵²	重量
2994	量	liɛŋ4	liɛŋ³¹	測量
2818	晾	luɔŋ6	luɔŋ⁵²	
5001	踉			
2988	輛	liɛŋ5	liɛŋ³¹²	
2987	諒	liɛŋ6	liɛŋ⁵²	
3011	撩	liɐu4	liɐu³¹	
2911	聊	liu4	liu³¹	
2912	僚	liu4	liu³¹	
2913	寥	liu4	liu³¹	
2914	遼	liu4	liu³¹	
2915	嘹	liu4	liu³¹	
2916	獠	liu4	liu³¹	
2924	潦	liu4	liu³¹	潦倒
4809	潦			流潦
2917	寮	liu4	liu³¹	
2918	燎	liu4	liu³¹	
2919	療	liu4	liu³¹	
2920	繚	liu4	liu³¹	
2908	料	liu6	liu⁵²	
2909	廖	liu6	liu⁵²	
2921	瞭	liu4	liu³¹	瞭望
2922	瞭	liu4	liu³¹	明瞭
2923	鐐	liu4	liu³¹	
2939	列	lit9	lit⁵²	
2736	劣	lut8	lut³	
2940	冽	lit9	lit⁵²	
2941	烈	lit9	lit⁵²	
5327	捩			琵琶撥法
5328	捩			捩手
2946	裂	lit8	lit³	
2983	獵	liɐp9	liɐp⁵²	
5002	鬣			
3043	拎	leŋ1	leŋ⁴⁵	
3223	林	lɐm4	lɐm³¹	
3224	淋	lɐm4	lɐm³¹	
3225	琳	lɐm4	lɐm³¹	
3182	鄰	lɐn4	lɐn³¹	
3183	粼	lɐn4	lɐn³¹	
3184	嶙	lɐn4	lɐn³¹	
3185	遴	lɐn4	lɐn³¹	
3226	霖	lɐm4	lɐm³¹	
3186	燐	lɐn4	lɐn³¹	
3227	臨	lɐm4	lɐm³¹	
3187	磷	lɐn4	lɐn³¹	
3188	鱗	lɐn4	lɐn³¹	
3189	麟	lɐn4	lɐn³¹	
5329	凜			
5003	廪			
5004	廩			
5005	檁			
3177	吝	lɐn6	lɐn⁵²	
5006	賃			
3178	藺	lɐn6	lɐn⁵²	
5330	躪			
3019	伶	leŋ4	leŋ³¹	
3020	玲	leŋ4	leŋ³¹	
3021	凌	leŋ4	leŋ³¹	
3022	陵	leŋ4	leŋ³¹	
3023	聆	leŋ4	leŋ³¹	
3024	菱	leŋ4	leŋ³¹	
3025	蛉	leŋ4	leŋ³¹	
3026	羚	leŋ4	leŋ³¹	
3027	零	leŋ4	leŋ³¹	
3028	鈴	leŋ4	leŋ³¹	
3029	綾	leŋ4	leŋ³¹	
3030	鯪	leŋ4	leŋ³¹	
3031	齡	leŋ4	leŋ³¹	
3032	靈	leŋ4	leŋ³¹	
3014	領	leŋ5	leŋ³¹²	
3015	嶺	leŋ5	leŋ³¹²	
3012	另	leŋ6	leŋ⁵²	
3013	令	leŋ6	leŋ⁵²	命令
4810	令			令居，古地名
5331	令			令狐
5332	令			一令紙
3146	溜	lɐu1	lɐu⁴⁵	
3119	留	lɐu4	lɐu³¹	
3120	流	lɐu4	lɐu³¹	
3121	琉	lɐu4	lɐu³¹	
3122	硫	lɐu4	lɐu³¹	
3123	榴	lɐu4	lɐu³¹	
3124	劉	lɐu4	lɐu³¹	
3125	瘤	lɐu4	lɐu³¹	
5333	餾			
3126	瀏	lɐu4	lɐu³¹	
3113	柳	lɐu5	lɐu³¹²	
2770	六	luk9	luk⁵²	
3147	遛	lɐu1	lɐu⁴⁵	
2741	隆	luŋ4	luŋ³¹	
2742	龍	luŋ4	luŋ³¹	
2756	窿	luŋ1	luŋ⁴⁵	
2743	嚨	luŋ4	luŋ³¹	
2744	瓏	luŋ4	luŋ³¹	
2745	朧	luŋ4	luŋ³¹	
2746	籠	luŋ4	luŋ³¹	
2747	聾	luŋ4	luŋ³¹	
2738	隴	luŋ5	luŋ³¹²	
2739	攏	luŋ5	luŋ³¹²	
2740	壟	luŋ5	luŋ³¹²	
3127	嘍	lɐu4	lɐu³¹	
3128	樓	lɐu4	lɐu³¹	
5007	耬			
3129	髏	lɐu4	lɐu³¹	
3114	摟	lɐu5	lɐu³¹²	
3115	簍	lɐu5	lɐu³¹²	
3111	陋	lɐu6	lɐu⁵²	
3112	漏	lɐu6	lɐu⁵²	
5008	瘻			
3116	鏤	lɐu5	lɐu³¹²	
2907	嚕	lou1	lou⁴⁵	
2882	盧	lou4	lou³¹	
5009	壚			
2883	蘆	lou4	lou³¹	
2884	廬	lou4	lou³¹	
2885	瀘	lou4	lou³¹	
2886	爐	lou4	lou³¹	
2887	顱	lou4	lou³¹	
2888	鸕	lou4	lou³¹	
2871	鹵	lou5	lou³¹²	
2872	虜	lou5	lou³¹²	
2873	滷	lou5	lou³¹²	
2874	魯	lou5	lou³¹²	
2875	擄	lou5	lou³¹²	
2876	櫓	lou5	lou³¹²	
2771	陸	luk9	luk⁵²	
2772	鹿	luk9	luk⁵²	
2773	祿	luk9	luk⁵²	
2782	碌	luk7	luk⁴⁵	
2864	賂	lou6	lou⁵²	
2865	路	lou6	lou⁵²	
2783	漉	luk7	luk⁴⁵	
2774	戮	luk9	luk⁵²	
2775	錄	luk9	luk⁵²	
2866	璐	lou6	lou⁵²	
2784	轆	luk7	luk⁴⁵	
2785	麓	luk7	luk⁴⁵	
2867	露	lou6	lou⁵²	
2868	鷺	lou6	lou⁵²	
2760	巒	lun4	lun³¹	
2761	攣	lun4	lun³¹	
2762	鸞	lun4	lun³¹	
2758	卵	lun5	lun³¹²	
2757	亂	lun6	lun⁵²	
5334	掄			
3190	侖	lɐn4	lɐn³¹	
3191	倫	lɐn4	lɐn³¹	
3192	崙	lɐn4	lɐn³¹	
3193	圇	lɐn4	lɐn³¹	
3194	淪	lɐn4	lɐn³¹	
3195	綸	lɐn4	lɐn³¹	垂綸
3816	綸	kan1	kan⁴⁵	綸巾
3196	輪	lɐn4	lɐn³¹	
3179	論	lɐn6	lɐn⁵²	討論
3197	論	lɐn4	lɐn³¹	論語
5010	腡			
2847	螺	luɔ4	luɔ³¹	
2848	羅	luɔ4	luɔ³¹	
2849	騾	luɔ4	luɔ³¹	
2850	儸	luɔ4	luɔ³¹	
2851	蘿	luɔ4	luɔ³¹	
2852	邏	luɔ4	luɔ³¹	
2853	籮	luɔ4	luɔ³¹	
2854	鑼	luɔ4	luɔ³¹	
2859	裸	luɔ2	luɔ³²³	
5011	瘰			
2839	洛	luɔk8	luɔk³	
2831	落	luɔk9	luɔk⁵²	落下
5335	落			落低
2840	絡	luɔk8	luɔk³	
2860	摞	luɔ2	luɔ³²³	
2855	囉	luɔ4	luɔ³¹	囉嗦
2856	囉	luɔ4	luɔ³¹	嘍囉
2804	櫚	lui5	lui³¹²	
2889	驢	lou4	lou³¹	
2805	呂	lui5	lui³¹²	
2806	侶	lui5	lui³¹²	
2737	捋	lut8	lut³	
3080	旅	lei5	lei³¹²	
2807	鋁	lui5	lui³¹²	
2808	屢	lui5	lui³¹²	
3081	履	lei5	lei³¹²	
3117	縷	lɐu5	lɐu³¹²	
3152	律	lɐt9	lɐt⁵²	
3153	率	lɐt9	lɐt⁵²	效率
3158	率	ɬɐt7	ɬɐt⁴⁵	率領
2776	氯	luk9	luk⁵²	
2777	綠	luk9	luk⁵²	
3071	慮	lei6	lei⁵²	
2795	濾	lui6	lui⁵²	
3004	掠	liɛk9	liɛk⁵²	
3005	略	liɛk9	liɛk⁵²	
2723	媽	ma5	ma³¹²	
2731	麻	ma4	ma³¹	
2724	嗎	ma5	ma³¹²	嗎啡
2733	嗎	ma1	ma⁴⁵	助詞
5336	痲			
5012	痳			
2732	嫲	ma4	ma³¹	
5337	蟆			
2725	馬	ma5	ma³¹²	
2726	獁	ma5	ma³¹²	
2727	瑪	ma5	ma³¹²	
2728	碼	ma5	ma³¹²	
2729	螞	ma5	ma³¹²	螞蟻
2730	螞	ma5	ma³¹²	螞蚱
5338	螞			螞螂
2722	罵	ma6	ma⁵²	
5339	嘛			喇嘛
2719	埋	mai4	mai³¹	
2720	霾	mai4	mai³¹	
2717	買	mai5	mai³¹²	
2705	脈	mɐk9	mɐk⁵²	
2706	麥	mɐk9	mɐk⁵²	
2714	賣	mai6	mai⁵²	
2715	邁	mai6	mai⁵²	
2508	瞞	mun4	mun³¹	
2677	饅	man6	man⁵²	
2703	鰻	man4	man³¹	
2704	蠻	man4	man³¹	
2506	滿	mun5	mun³¹²	
2507	蟎	mun5	mun³¹²	
2678	曼	man6	man⁵²	
2679	蔓	man6	man⁵²	蔓菁
2680	蔓	man6	man⁵²	藤蔓
2681	幔	man6	man⁵²	
2682	漫	man6	man⁵²	
2683	慢	man6	man⁵²	
2684	謾	man6	man⁵²	
2533	芒	muɔŋ4	muɔŋ³¹	光芒
2541	芒	muɔŋ1	muɔŋ⁴⁵	芒果
2534	忙	muɔŋ4	muɔŋ³¹	
2673	盲	mɐŋ4	mɐŋ³¹	
2535	氓	muɔŋ4	muɔŋ³¹	
2536	茫	muɔŋ4	muɔŋ³¹	
2529	莽	muɔŋ5	muɔŋ³¹²	
2530	蟒	muɔŋ5	muɔŋ³¹²	
2608	貓	miɐu1	miɐu⁴⁵	
2570	毛	mou4	mou³¹	
2659	矛	mau4	mau³¹	
2660	茅	mau4	mau³¹	
2578	髦	mou1	mou⁴⁵	
2661	錨	mau4	mau³¹	
2652	卯	mau5	mau³¹²	
5013	昴			
2643	茂	mɐu6	mɐu⁵²	
2555	冒	mou6	mou⁵²	冒犯
2707	冒	mɐk9	mɐk⁵²	冒頓
2644	袤	mɐu6	mɐu⁵²	
2556	帽	mou6	mou⁵²	
2645	貿	mɐu6	mɐu⁵²	
5014	瑁			玳瑁
5015	瑁			珪瑁
2646	貌	mɐu6	mɐu⁵²	
3960	么	jiu1	jiu⁴⁵	
2551	麼	muɔ1	muɔ⁴⁵	
2491	沒	mut9	mut⁵²	
2520	玫	mui4	mui³¹	
2521	枚	mui4	mui³¹	
2630	眉	mei4	mei³¹	
2522	莓	mui4	mui³¹	
2523	梅	mui4	mui³¹	
2631	嵋	mei4	mei³¹	
2632	湄	mei4	mei³¹	
2524	媒	mui4	mui³¹	
2633	楣	mei4	mei³¹	
2525	煤	mui4	mui³¹	
2518	酶	mui5	mui³¹²	
2526	霉	mui4	mui³¹	
2527	黴	mui4	mui³¹	
2519	每	mui5	mui³¹²	
2626	美	mei5	mei³¹²	
2627	鎂	mei5	mei³¹²	
2517	妹	mui6	mui⁵²	
2621	昧	mei6	mei⁵²	
2622	寐	mei6	mei⁵²	
2634	媚	mei4	mei³¹	
2623	魅	mei6	mei⁵²	
2509	門	mun4	mun³¹	
2504	悶	mun6	mun⁵²	
2505	燜	mun6	mun⁵²	
2510	們	mun4	mun³¹	
2537	虻	muɔŋ4	muɔŋ³¹	
2674	萌	mɐŋ4	mɐŋ³¹	
2498	蒙	muŋ4	muŋ³¹	
2675	盟	mɐŋ4	mɐŋ³¹	
2499	濛	muŋ4	muŋ³¹	
2503	檬	muŋ1	muŋ⁴⁵	
2500	朦	muŋ4	muŋ³¹	
2501	矇	muŋ4	muŋ³¹	
2670	猛	mɐŋ5	mɐŋ³¹²	
2671	蜢	mɐŋ5	mɐŋ³¹²	
5340	艋			
2672	錳	mɐŋ5	mɐŋ³¹²	
2497	懵	muŋ5	muŋ³¹²	
2502	蠓	muŋ4	muŋ³¹	
2669	孟	mɐŋ6	mɐŋ⁵²	
2496	夢	muŋ6	muŋ⁵²	
2642	咪	mei1	mei⁴⁵	
2721	眯	mɐi3	mɐi³³	又读mi⁴⁵
2718	迷	mɐi4	mɐi³¹	
2712	醚	mɐi6	mɐi⁵²	
