#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
乃	nai3	
耐	nai5	
奈	nai5	
来	lai2	文读
雷	lai2	白读，打～
梨	lai2	白读
籁	lai3	
赖	lai6	文读
癞	lai6	
灾	tsai1	
栽	tsai1	
知	tsai1	
斋	tsai1	
财	tsai2	
豺	tsai2	
材	tsai2	
宰	tsai3	
载	tsai3	年～
指	tsai3	白读
再	tsai5	
载	tsai5	～重
债	tsai5	文读
寨	tsai5	
在	tsai6	文读
猜	tsʰai1	
差	tsʰai1	出～
钗	tsʰai1	
裁	tsʰai2	
彩	tsʰai3	
采	tsʰai3	
菜	tsʰai5	
蔡	tsʰai5	
腮	sai1	
屎	sai3	
赛	sai5	
晒	sai5	白读
该	kai1	
皆	kai1	
阶	kai1	
改	kai3	
解	kai3	文读
界	kai5	
疥	kai5	文读
尬	kai5	
屈	kai5	
戒	kai5	
丐	kai5	
开	kʰai1	
揩	kʰai1	～油
凯	kʰai3	
楷	kʰai3	
慨	kʰai5	
概	kʰai5	
溉	kʰai5	
呆	ŋai2	不好
碍	ŋai6	
孩	xai2	
械	xai2	
海	xai3	
亥	xai6	
害	xai6	
骇	xai6	
哀	ai1	
埃	ai1	
挨	ai1	
癌	ai2	又读
爱	ai5	文读
包	pau1	
胞	pau1	
雹	pau2	文读
饱	pau3	文读
豹	pau5	
爆	pau5	
鲍	pau5	～鱼
□	pau5	眼凸
刨	pau6	～土
抛	pʰau1	～弃
跑	pʰau2	
剖	pʰau3	
否	pʰau3	文读
炮	pʰau5	
泡	pʰau5	～茶
抛	pʰau5	丢掉
泡	pʰau6	气～
矛	mau1	
茅	mau1	
谋	mau1	
卯	mau3	
□	mau5	～遮盖
貌	mau6	
贸	mau6	
茂	mau6	
兜	tau1	
投	tau2	
斗	tau3	升～
陡	tau3	
罩	tau5	
斗	tau5	战～
昼	tau5	白读
豆	tau6	
胆	tau6	
逗	tau6	
偷	tʰau1	
头	tʰau2	
㪗	tʰau3	解开
透	tʰau5	
跷	nau2	蹊～
铙	nau2	
恼	nau3	
绕	nau3	围～
闹	nau6	
捞	lau1	
楼	lau2	
流	lau2	白读
刘	lau2	白读
留	lau2	
□	lau5	拉肚子
落	lau5	～下
漏	lau6	白读
老	lau6	白读
糟	tsau1	
遭	tsau1	
剿	tsau2	
巢	tsau2	
爪	tsau3	～牙
找	tsau3	
蚤	tsau3	
走	tsau3	
灶	tsau5	
奏	tsau5	
骤	tsau5	
骤	tsau6	又读
抄	tsʰau1	～写
钞	tsʰau1	～票
愁	tsʰau2	
吵	tsʰau3	
草	tsʰau3	文读
凑	tsʰau5	
稍	sau1	
捎	sau1	
稍	sau3	又读
扫	sau5	文读，～地
哨	sau5	
嗽	sau5	
交	kau1	
郊	kau1	
沟	kau1	
钩	kau1	
勾	kau1	
胶	kau1	白读
猴	kau2	
搞	kau3	
咬	kau3	白读
狗	kau3	
垢	kau3	
九	kau3	白读
教	kau5	～育
校	kau5	～对
较	kau5	
到	kau5	白读，遭～
购	kau5	
厚	kau6	
抠	kʰau1	
箍	kʰau1	
口	kʰau3	
靠	kʰau5	
扣	kʰau5	
叩	kʰau5	
□	ŋau2	健壮
偶	ŋau3	
藕	ŋau6	
薅	xau1	
侯	xau2	
喉	xau2	
酵	xau5	文读
孝	xau5	文读
效	xau6	
校	xau6	学～
厚	xau6	文读
后	xau6	文读
候	xau6	
瓯	au1	
欧	au1	
呕	au3	～吐
拗	au5	文读
懊	au5	～恼
后	au6	白读
钹	pia1	
簸	pia5	白读
拨	pia7	白读
壁	pia7	
钵	pia7	
披	pʰia1	白读
破	pʰia5	白读
劈	pʰia7	白读
僻	pʰia7	
避	pʰia7	白读，让开
末	mia1	粉～
麻	mia2	
磨	mia2	
抹	mia7	
爹	tia1	
籴	tia1	
摘	tia7	
豺	tʰia2	白读
拆	tʰia7	
獭	tʰia7	
热	nia1	
惹	nia3	
竻	lia1	
烈	lia5	白读，快也
□	lia5	拖鞋]
遮	tsia1	
笊	tsia1	
姐	tsia3	
者	tsia3	
纸	tsia3	
蔗	tsia5	
漈	tsia5	
迹	tsia7	
车	tsʰia1	
奢	tsʰia1	
斜	tsʰia2	
且	tsʰia3	
赤	tsʰia7	
刺	tsʰia7	白读
赊	sia1	又读
邪	sia2	
余	sia2	
畲	sia2	
写	sia3	
泻	sia5	
卸	sia5	
射	sia6	
削	sia7	
揭	kia1	白读，高举
笳	kia1	
袈	kia1	
枷	kia2	
笳	kia2	又读
寄	kia5	
下	kia6	低矮
□	kia7	粘住了
□	kʰia2	拿也、取也
崎	kʰia5	陡也
徛	kʰia6	站立
隙	kʰia7	白读
额	ŋia1	
鹅	ŋia1	
蚁	ŋia5	白读
外	ŋia5	白读
食	ɕia1	白读
赊	ɕia1	
蛇	ɕia2	
捨	ɕia3	
赦	ɕia5	
舍	ɕia5	
社	ɕia6	
射	ɕia6	
椰	ia1	
曰	ia1	
也	ia1	
爷	ia2	
野	ia2	
冶	ia2	
夜	ia2	
益	ia7	
别	pie1	～离
别	pie7	区～
鳖	pie7	
必	pie7	
毕	pie7	
逼	pie7	
璧	pie7	
碧	pie7	
撇	pʰie3	
匹	pʰie3	
辟	pʰie3	
癖	pʰie3	
碧	pʰie3	又读
灭	mie1	
蜜	mie1	
篾	mie1	
蝶	tie1	
蛰	tie1	
侄	tie1	
笛	tie1	
秩	tie1	
特	tie1	
敌	tie1	
直	tie1	
值	tie1	白读
叠	tie1	
哲	tie7	
得	tie7	
的	tie7	
跌	tʰie1	
彻	tʰie7	
撒	tʰie7	
赐	tʰie7	
剔	tʰie7	
入	nie1	
日	nie1	
立	lie1	
笠	lie1	
列	lie1	
烈	lie1	
力	lie1	
历	lie1	
之	tsie1	
籍	tsie1	
辑	tsie1	
捷	tsie1	
截	tsie1	
揖	tsie1	文读
疾	tsie1	
集	tsie1	
寂	tsie1	
即	tsie7	
鲫	tsie7	
织	tsie7	
职	tsie7	
积	tsie7	
迹	tsie7	文读
脊	tsie7	文读
质	tsie7	
接	tsie7	
缉	tsie7	
执	tsie7	
睫	tsie7	
浙	tsie7	
节	tsie7	
渍	tsie7	
□	tsʰie1	海蟹
妾	tsʰie7	
切	tsʰie7	
窃	tsʰie7	
七	tsʰie7	
戚	tsʰie7	
彻	tsʰie7	
砌	tsʰie7	
翼	sie1	白读，翅膀
习	sie1	
袭	sie1	
植	sie1	
殖	sie1	
席	sie1	
夕	sie1	
湿	sie2	
泄	sie2	
设	sie2	
悉	sie2	
息	sie2	
媳	sie2	
饰	sie2	
惜	sie2	
昔	sie2	
适	sie2	
析	sie2	
释	sie2	
及	kie1	
杰	kie1	
极	kie1	
吉	kie7	
桔	kie7	
急	kie7	
血	xie7	～压
穴	xie7	
□	xie7	焖
实	ɕie1	
食	ɕie1	
失	ɕie7	
室	ɕie7	
蚀	ɕie7	
式	ɕie7	
识	ɕie7	
逸	ie1	
易	ie1	
液	ie1	
译	ie1	
疫	ie1	
役	ie1	
热	ie1	
叶	ie1	
一	ie7	
乙	ie7	
益	ie7	文读
壹	ie7	
亦	ie7	
邑	ie7	
揖	ie7	白读
标	pio1	
表	pio3	
飘	pʰio1	
票	pʰio5	
苗	mio2	
庙	mio6	
都	tio1	
徒	tio2	
途	tio2	
图	tio2	
条	tio2	
堵	tio3	
赌	tio3	
肚	tio3	
妒	tio5	
钓	tio5	
吊	tio5	上～
召	tio5	
调	tio5	～动
蠹	tio5	
杜	tio6	
度	tio6	
镀	tio6	
渡	tio6	
赵	tio6	
挑	tʰio1	白读，～唆
挑	tʰio2	白读，～选
涂	tʰio2	泥～
土	tʰio3	
吐	tʰio5	
兔	tʰio5	
粜	tʰio5	
奴	nio2	
努	nio2	
怒	nio3	白读，讨厌
尿	nio6	
怒	nio6	气愤
卢	lio2	
庐	lio2	
炉	lio2	
鲁	lio3	
卤	lio3	
