例字	蓉城（客）	蓉城（土）	老洲
章	tsɑ̃31	tsã31	tsɔ̃31
掌	tsɑ̃223b	tsã213	tsɔ̃313
昌	tsʰɑ̃31	tsʰã31	tsʰɔ̃31
廠	tsʰɑ̃223b	tsʰã213	tsʰɔ̃313
唱	tsʰɑ̃33	tsʰã33	tsʰɔ̃44
傷	sɑ̃31	sã31	sɔ̃31
賞	sɑ̃223b	sã213	sɔ̃313
嘗	tsʰɑ̃33	tsʰã223	tsʰɔ̃323
裳	sɑ̃31	sã33	sɔ̃44
上	sɑ̃33	sã33	sɔ̃44
壤	ɹɑ̃223b	ɹã213	ɻɔ̃313
讓	ɹɑ̃33	ɹã33	ɻɔ̃44
姜	tɕiɑ̃31	tɕiã31	tɕiɔ̃31
羌	tɕʰiɑ̃31	tɕʰiã31	tɕʰiɔ̃31
強	tɕʰiɑ̃223a	tɕʰiã223	tɕʰiɔ̃323
強	tɕiɑ̃33	tɕiã33	tɕiɔ̃44
仰	ȵiɑ̃223b	ŋã213	liɔ̃313
香	ɕiɑ̃31	ɕiã31	ɕiɔ̃31
響	ɕiɑ̃223b	ɕiã213	ɕiɔ̃313
向	ɕiɑ̃33	ɕiã33	ɕiɔ̃44
秧	iɑ̃31	iã31	iɔ̃31
羊	iɑ̃223a	iã223	iɔ̃323
癢	iɑ̃223b	iã213	iɔ̃313
樣	iɑ̃33	iã33	iɔ̃44
縛	fəʔ5	foʔ5	fəʔ5
掠	ȵyoʔ5	ȵioʔ5	lioʔ5
爵	tɕioʔ5	tɕioʔ5	tɕioʔ5
雀	tɕʰioʔ5	tɕʰioʔ5	tɕʰioʔ5
鵲	tɕʰioʔ5	tɕʰioʔ5	tɕʰioʔ5
嚼	tɕioʔ5	tɕiɔ213	tɕioʔ5
削	ɕyoʔ5	ɕioʔ5	ɕyoʔ5
酌	tsoʔ5	tsoʔ5	tyoʔ5
綽	tsʰoʔ5	tsʰoʔ5	tʰyoʔ5
勺	soʔ5	soʔ5	ɕyoʔ5
弱	ȵyoʔ5	ɹoʔ5	ɻoʔ5
腳	tɕioʔ5	tɕioʔ5	tɕioʔ5
卻	tɕʰioʔ5	tɕʰioʔ5	tɕʰioʔ5
虐	ȵyoʔ5	ȵioʔ5	lioʔ5
約	yoʔ5	ioʔ5	ioʔ5
藥	yoʔ5	ioʔ5	ioʔ5
邦	pɑ̃31	pã31	pɔ̃31
胖	pʰɑ̃33	pʰã33	pʰɔ̃44
龐	pʰɑ̃223a	pʰã223	pʰɔ̃323
棒	pɑ̃33	pã33	pɔ̃44
樁	tɕyɑ̃31	tʃyã31	tyɔ̃31
撞	tɕyɑ̃33	tʃyã33	tyɔ̃44
窗	tɕʰyɑ̃31	tʃʰyã31	tʰyɔ̃31
雙	ɕyɑ̃31	ʃyã31	ɕyɔ̃31
江	kɑ̃31	kã31	kɔ̃31
港	kɑ̃223b	kã213	kɔ̃313
虹	kɑ̃33	kã33	kɔ̃44
降	tɕiɑ̃33	tɕiæ̃33	tɕiæ̃44
腔	tɕʰiɑ̃31	tɕʰiã31	tɕʰiɔ̃31
降	ɕiɑ̃223a	tɕʰiã223	ɕiæ̃323
項	ɕiɑ̃33	xã33	xɔ̃44
巷	ɕiɑ̃33	xã33	xɔ̃44
剝	poʔ5	poʔ5	poʔ5
雹	pʰɔ33	pɔ33	pɔ44
桌	tsoʔ5	tsoʔ5	tyoʔ5
戳	tsʰoʔ5	tʃʰioʔ5	tʰyoʔ5
戳	tɕʰuəʔ5	tsʰoʔ5	tsʰoʔ5
濁	tsoʔ5	tsoʔ5	tyoʔ5
捉	tsoʔ5	tsoʔ5	tyoʔ5
榷	tɕʰioʔ5	tɕʰioʔ5	tɕʰioʔ5
角	koʔ5	koʔ5	koʔ5
角	tɕioʔ5	tɕioʔ5	tɕioʔ5
殼	kʰoʔ5	kʰoʔ5	kʰoʔ5
確	tɕʰioʔ5	tɕʰioʔ5	tɕʰyoʔ5
岳	yoʔ5	ioʔ5	ioʔ5
學	ɕyoʔ5	ɕioʔ5	ɕyoʔ5
國	koʔ5	koʔ5	koʔ5
或	xoʔ5	xoʔ5	xoʔ5
北	peʔ5	peʔ5	peʔ5
蔔	poʔ5	pʰo31	po31
墨	meʔ5	məʔ5	meʔ5
德	teʔ5	təʔ5	teʔ5
特	tʰəʔ5	tʰəʔ5	tʰeʔ5
肋	ȵieʔ5	ləʔ5	lei44
則	tseʔ5	tsəʔ5	tseʔ5
賊	tseʔ5	tsəʔ5	tseʔ5
塞	səʔ5	səʔ5	səʔ5
刻	kʰeʔ5	kʰəʔ5	kʰeʔ5
黑	xəʔ5	xəʔ5	xəʔ5
崩	pən31	pən31	pɘn31
朋	pʰoŋ223a	pʰoŋ223	pʰoŋ323
燈	tən31	tən31	tɘn31
等	tən223b	tən213	tɘn313
凳	tən33	tən33	tɘn44
藤	tʰən223a	tʰən223	tʰɘn323
鄧	tən33	tən33	tɘn44
能	lən223a	lən223	lɘn323
棱	ȵiən223a	ȵiɘn223	lɘn323
楞	lən33	lən33	lɘn44
增	tsən31	tsən31	tsɘn31
層	tsʰən223a	tsʰən223	tsʰɘn323
贈	tsən31	tsən31	tsɘn44
僧	tsən31	tsən31	tsɘn31
肯	kʰən223b	kʰən213	kʰɘn313
恒	xən223a	xən223	xɘn323
冰	piən31	piɘn31	piɘn31
憑	pʰiən223a	pʰiɘn223	pʰiɘn323
菱	ȵiən223a	ȵiɘn223	liɘn323
癥	tsən33	tsən33	tsɘn44
懲	tsʰən223b	tsʰən213	tsʰɘn313
蒸	tsən31	tsən31	tsɘn31
拯	tsən223b	tsən213	tsɘn313
證	tsən33	tsən33	tsɘn44
稱	tsʰən31	tsʰən31	tsʰɘn31
秤	tsʰən33	tsʰən33	tsʰɘn44
繩	sən223a	sən223	sɘn323
剩	sən33	sən33	sɘn44
升	sən31	sən31	sɘn31
勝	sən33	sən33	sɘn44
承	tsʰən223a	tsʰən223	tsʰɘn323
仍	ɹən33	ɹən31	ɻɘn44
認	ɹən33	ɹən33	ɻɘn44
兢	tɕiən31	tɕiɘn33	tɕiɘn31
凝	ȵiən223a	ȵiɘn223	liɘn323
興	ɕiən33	ɕiɘn33	ɕiɘn44
鷹	iən31	iɘn31	iɘn31
應	iən33	iɘn33	iɘn44
蠅	iən223a	iɘn31	iɘn323
域	yeʔ5	yəʔ5	yəʔ5
逼	piəʔ5	piəʔ5	piəl5
力	ȵiəʔ5	ȵiəʔ5	liəʔ5
即	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
媳	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
直	tsəʔ5	tsəʔ5	tsəʔ5
側	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
廁	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
色	seʔ5	səʔ5	seʔ5
織	tsəʔ5	tsəʔ5	tsəʔ5
食	səʔ5	səʔ5	səʔ5
式	sɿ33	sɿ33	sɿ44
植	tsəʔ5	tsəʔ5	tsəʔ5
棘	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
極	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
憶	i33	i33	i44
翼	i33	i33	iəʔ5
橫	xuən223a	xuɘn223	xuɘn323
烹	pʰən31	pʰən31	pʰɘn31
彭	pʰən223a	pʰən223	pʰɘn323
盲	mɑ̃223a	mã223	mɔ̃323
猛	moŋ223b	moŋ213	moŋ313
孟	moŋ33	moŋ33	moŋ44
打	ta223b	ta213	ta313
撐	tsʰən31	tsʰən31	tsʰɘn31
生	sən31	sən31	sɘn31
省	sən223b	sən213	sɘn313
更	kən31	kən31	kɘn31
哽	kən223b	kən213	kɘn313
更	kən33	kən33	kɘn44
坑	kʰən31	kʰən31	kʰɘn31
硬	ŋən33	ŋən33	ŋɘn44
亨	xən31	xən31	xɘn31
行	ɕiən223a	ɕiɘn223	ɕiɘn323
衡	xən223a	xən223	xɘn323
杏	ɕiən33	ɕiɘn33	ɕiɘn44
兄	ɕyoŋ31	ɕioŋ31	ɕyoŋ31
榮	yoŋ223a	ioŋ223	yoŋ323
永	yən223b	yɘn213	yɘn313
兵	piən31	piɘn31	piɘn31
丙	piən223b	piɘn213	piɘn313
柄	piən33	piɘn33	piɘn44
平	pʰiən223a	pʰiɘn223	pʰiɘn323
病	piən33	piɘn33	piɘn44
盟	moŋ223a	moŋ223	moŋ323
鳴	miən223a	miɘn223	miɘn323
皿	miən223b	miɘn213	miɘn313
命	miən33	miɘn33	miɘn44
京	tɕiən31	tɕiɘn31	tɕiɘn31
境	tɕiən33	tɕiɘn33	tɕiɘn44
警	tɕiən223b	tɕiɘn213	tɕiɘn313
鏡	tɕiən33	tɕiɘn33	tɕiɘn44
慶	tɕʰiən33	tɕʰiɘn33	tɕʰiɘn44
鯨	tɕiən31	tɕiɘn31	tɕiɘn31
迎	iən223a	iɘn223	iɘn323
英	iən31	iɘn31	iɘn31
影	iən223b	iɘn213	iɘn313
映	iən33	iɘn33	iɘn44
轟	xoŋ31	xoŋ31	xoŋ31
宏	xuən223a	xoŋ223	xoŋ323
拼	pʰiən31	pʰiɘn31	pʰiɘn31
萌	moŋ223a	moŋ223	moŋ323
橙	tsʰən223a	tsʰən223	tsʰɘn323
爭	tsən31	tsən31	tsɘn31
耕	kən31	kən31	kɘn31
耿	kən223b	kən213	kɘn313
幸	ɕiən33	ɕiɘn33	ɕiɘn44
櫻	iən31	iɘn31	iɘn31
莖	tɕiən31	tɕiɘn31	tɕiɘn31
獲	xoʔ5	xoʔ5	xoʔ5
脈	meʔ5	məʔ5	meʔ5
麥	meʔ5	meʔ5	meʔ5
摘	tseʔ5	tsəʔ5	tseʔ5
責	tseʔ5	tsəʔ5	tseʔ5
冊	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
柵	tsaʔ5	tsaʔ5	tsaʔ5
隔	keʔ5	kəʔ5	keʔ5
劃	xua33	xua33	xua44
軛	ŋeʔ5	ŋəʔ5	ŋeʔ5
伯	peʔ5	peʔ5	peʔ5
迫	pʰeʔ5	pʰoʔ5	pʰeʔ5
拍	pʰeʔ5	pʰoʔ5	pʰeʔ5
白	peʔ5	peʔ5	peʔ5
陌	moʔ5	moʔ5	meʔ5
拆	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
澤	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
窄	tseʔ5	tsəʔ5	tseʔ5
格	keʔ5	kəʔ5	keʔ5
客	kʰeʔ5	kʰəʔ5	kʰeʔ5
揢	kʰaʔ5	kʰaʔ5	kaʔ5
額	ŋeʔ5	ŋəʔ5	ŋeʔ5
嚇	xeʔ5	xəʔ5	xeʔ5
赫	xəʔ5	xəʔ5	xeʔ5
戟	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
隙	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
逆	ȵiəʔ5	ȵiəʔ5	liəʔ5
螢	iən223a	iɘn223	iɘn323
姘	pʰiən31	pʰiɘn31	pʰiɘn31
瓶	pʰiən223a	pʰiɘn223	pʰiɘn323
並	piən33	piɘn33	piɘn44
冥	miən223a	miɘn223	miɘn313
丁	tiən31	tiɘn31	tiɘn31
頂	tiən223b	tiɘn213	tiɘn313
訂	tiən33	tiɘn33	tiɘn44
廳	tʰiən33	tʰiɘn31	tʰiɘn31
停	tʰiən223a	tʰiɘn223	tʰiɘn323
挺	tʰiən223b	tʰiɘn213	tʰiɘn313
佞	ȵiən33	ȵiɘn33	liɘn44
鈴	ȵiən223a	ȵiɘn223	liɘn323
令	ȵiən33	ȵiɘn33	liɘn44
青	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
星	ɕiən31	ɕiɘn31	ɕiɘn31
醒	ɕiən223b	ɕiɘn213	ɕiɘn313
經	tɕiən31	tɕiɘn31	tɕiɘn31
徑	tɕiən33	tɕiɘn33	tɕiɘn44
馨	ɕiən31	ɕiɘn31	ɕiɘn31
形	ɕiən223a	ɕiɘn223	ɕiɘn323
傾	tɕʰiən223b	tɕʰyɘn223	tɕʰiɘn31
營	iən223a	iɘn223	iɘn323
穎	iən223b	iɘn213	iɘn313
餅	piən223b	piɘn213	piɘn313
并	piən33	piɘn33	piɘn44
聘	pʰiən223a	pʰiɘn33	pʰiɘn44
名	miən223a	miɘn223	miɘn323
領	ȵiən223b	ȵiɘn213	liɘn313
睛	tɕiən31	tɕiɘn31	tɕiɘn31
井	tɕiən223b	tɕiɘn213	tɕiɘn313
清	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
請	tɕʰiən223b	tɕʰiɘn213	tɕʰiɘn313
晴	tɕʰiən223a	tɕʰiɘn223	tɕʰiɘn323
淨	tɕiən33	tɕiɘn33	tɕiɘn44
省	ɕiən223b	ɕiɘn213	ɕiɘn313
姓	ɕiən33	ɕiɘn33	ɕiɘn44
貞	tsən31	tsən31	tsɘn31
鄭	tsən33	tsən33	tsɘn44
征	tsən31	tsən31	tsɘn31
整	tsən223b	tsən213	tsɘn313
整	kən223b	kən213	kɘn313
正	tsən33	tsən33	tsɘn44
聲	sən31	sən31	sɘn31
聖	sən33	sən33	sɘn44
盛	tsʰən223a	tsʰən223	tsʰɘn323
盛	sən33	sən33	sɘn44
頸	tɕiən223b	tɕiɘn213	tɕiɘn313
輕	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
嬰	iən31	iɘn31	iɘn31
贏	iən223a	iɘn223	iɘn323
疫	yeʔ5	yəʔ5	yəʔ5
璧	piəʔ5	piəʔ5	piəʔ5
鯽	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
籍	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
惜	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
席	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
隻	tsəʔ5	tsəʔ5	tsəʔ5
尺	tsʰəʔ5	tsʰəʔ5	tsʰəʔ5
適	səʔ5	səʔ5	səʔ5
石	səʔ5	səʔ5	səʔ5
液	ieʔ5	i33	iəʔ5
壁	piəʔ5	piəʔ5	piəʔ5
劈	pʰieʔ5	pʰiəʔ5	pʰiəʔ5
嫡	tiəʔ5	tiəʔ5	tiəʔ5
踢	tʰiəʔ5	tʰiəʔ5	tʰiəʔ5
笛	tiəʔ5	tiəʔ5	tiəʔ5
曆	ȵiəʔ5	ȵiəʔ5	liəʔ5
績	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
戚	tɕʰiəʔ5	tɕʰiəʔ5	tɕʰiəʔ5
寂	tɕʰiəʔ5	tɕʰiəʔ5	tɕieʔ5
錫	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
激	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
喫	tɕʰiəʔ5	tɕʰiəʔ5	tɕʰiəʔ5
冬	toŋ31	toŋ31	toŋ31
農	loŋ223a	loŋ223	loŋ323
宗	tsoŋ31	tsoŋ31	tsoŋ31
鬆	soŋ31	soŋ31	soŋ31
宋	soŋ33	soŋ33	soŋ44
篷	pʰoŋ223a	pʰoŋ223	pʰoŋ323
蒙	moŋ223a	moŋ223	moŋ44
東	toŋ31	toŋ31	toŋ31
懂	toŋ223b	toŋ213	toŋ313
凍	toŋ33	toŋ33	toŋ44
通	tʰoŋ31	tʰoŋ31	tʰoŋ31
桶	tʰoŋ223b	tʰoŋ213	tʰoŋ313
痛	tʰoŋ33	tʰoŋ33	tʰoŋ44
銅	tʰoŋ223a	tʰoŋ223	tʰoŋ323
動	toŋ33	toŋ33	toŋ313
洞	toŋ33	toŋ33	toŋ44
籠	loŋ223a	loŋ223	loŋ323
攏	loŋ223b	loŋ213	loŋ313
弄	loŋ33	loŋ33	loŋ44
椶	tsoŋ31	tsoŋ31	tsoŋ31
總	tsoŋ223b	tsoŋ213	tsoŋ313
糉	tsoŋ33	tsoŋ33	tsoŋ44
聰	tsʰoŋ31	tsʰoŋ31	tsʰoŋ31
叢	tsʰoŋ223a	tsʰoŋ223	tsʰoŋ323
送	soŋ33	soŋ33	soŋ44
公	koŋ31	koŋ31	kuoŋ31
貢	koŋ33	koŋ33	kuoŋ44
空	kʰoŋ31	kʰoŋ31	kʰuoŋ31
孔	kʰoŋ223b	kʰoŋ213	kʰuoŋ313
空	kʰoŋ33	kʰoŋ33	kʰuoŋ44
烘	xoŋ31	xoŋ31	xuoŋ31
紅	xoŋ223a	xoŋ223	xuoŋ323
汞	koŋ223b	koŋ213	kuən313
哄	xoŋ223b	xoŋ213	xuoŋ313
哄	xoŋ33	xoŋ33	xuoŋ44
翁	oŋ31	ʔoŋ31	uoŋ31
風	foŋ31	foŋ31	foŋ31
諷	foŋ31	foŋ33	foŋ313
馮	foŋ223a	foŋ223	foŋ323
鳳	foŋ33	foŋ33	foŋ44
夢	moŋ33	moŋ33	moŋ44
隆	loŋ223a	loŋ223	loŋ323
嵩	soŋ31	soŋ31	soŋ31
中	tɕoŋ31	tsoŋ31	tyoŋ31
沖	tɕʰyoŋ31	tsʰoŋ31	tʰyoŋ31
蟲	tɕʰyoŋ223a	tsʰoŋ223	tʰyoŋ323
崇	tsʰoŋ223a	tsʰoŋ223	tsʰoŋ323
終	tɕoŋ31	tsoŋ31	tyoŋ31
充	tɕʰyoŋ31	tsʰoŋ31	tʰyoŋ31
銃	tɕʰyoŋ33	tsʰoŋ33	tʰyoŋ31
絨	yoŋ223a	ioŋ223	yoŋ323
窮	tɕʰyoŋ223a	tɕʰioŋ223	tʰuoŋ323
雄	ɕyoŋ223a	ɕioŋ223	ɕyoŋ323
融	yoŋ223a	ioŋ223	yoŋ323
毒	təʔ5	toʔ5	təʔ5
酷	kʰoʔ5	kʰuəʔ5	kʰuəʔ5
沃	yoʔ5	uoʔ5	uəʔ5
撲	pʰoʔ5	pʰoʔ5	pʰəʔ5
瀑	pʰoʔ5	pʰoʔ5	pʰəʔ5
木	məʔ5	moʔ5	məʔ5
禿	tʰəʔ5	tʰəʔ5	tʰəʔ5
讀	təʔ5	toʔ5	təʔ5
鹿	ləʔ5	loʔ5	loʔ5
族	tsʰoʔ5	tsʰoʔ5	tsʰəʔ5
速	soʔ5	soʔ5	səʔ5
榖	kuəʔ5	kuəʔ5	kuəʔ5
哭	kʰuəʔ5	kʰuəʔ5	kʰuəʔ5
屋	uəʔ5	uoʔ5	uəʔ5
福	fəʔ5	foʔ5	fəʔ5
覆	fəʔ5	foʔ5	fəʔ5
服	fəʔ5	foʔ5	fəʔ5
六	ləʔ5	loʔ5	ləʔ5
肅	soʔ5	soʔ5	səʔ5
竹	tɕyəʔ5	tʃyəʔ5	tyəʔ5
軸	tɕyəʔ5	tsoʔ5	tyəʔ5
逐	tsoʔ5	tsoʔ5	tyəʔ5
縮	soʔ5	soʔ5	soʔ5
粥	tɕyəʔ5	tʃyəʔ5	tyəʔ5
叔	soʔ5	suəʔ5	ɕyəʔ5
熟	ɕyəʔ5	ʃyəʔ5	ɕyəʔ5
肉	ɹɘɯᵘ33	ɹɘɯᵘ33	ɻɐu44
菊	tɕyəʔ5	tʃyəʔ5	tyəʔ5
畜	ɕyoʔ5	ɕyəʔ5	ɕyəʔ5
育	yoʔ5	ioʔ5	yəʔ5
封	foŋ31	foŋ31	foŋ31
蜂	foŋ31	foŋ31	foŋ31
捧	pʰoŋ223b	pʰoŋ213	pʰoŋ313
縫	foŋ223a	foŋ223	foŋ323
奉	foŋ33	foŋ33	foŋ44
縫	foŋ33	foŋ33	foŋ44
龍	loŋ223a	loŋ223	loŋ323
樅	oŋ31	tsoŋ31	tsoŋ31
縱	tsoŋ33	tsoŋ33	tsoŋ44
從	tsʰoŋ223a	tsʰoŋ223	tsʰoŋ323
松	soŋ31	soŋ31	soŋ31
頌	soŋ33	soŋ33	soŋ44
寵	tsʰoŋ223b	tsʰoŋ213	tʰyoŋ313
重	tsʰoŋ223a	tsʰoŋ223	tʰyoŋ323
鐘	tɕoŋ31	tsoŋ31	tyoŋ31
種	tɕoŋ223b	tsoŋ213	tyoŋ313
種	tɕoŋ33	tsoŋ33	tyoŋ44
衝	tɕʰyoŋ31	tsʰoŋ31	tʰyoŋ31
舂	tɕʰyoŋ31	tsʰoŋ31	tʰyoŋ31
茸	yoŋ223a	ioŋ223	yoŋ323
恭	koŋ31	koŋ31	kuoŋ31
拱	koŋ223b	koŋ213	kuoŋ313
供	koŋ33	koŋ33	kuoŋ44
恐	kʰoŋ223b	kʰoŋ213	kʰuoŋ313
共	koŋ33	koŋ33	kuoŋ44
胸	ɕyoŋ31	ɕioŋ31	ɕyoŋ31
雍	yoŋ31	ioŋ223	yoŋ31
容	yoŋ223a	ioŋ223	yoŋ323
勇	yoŋ223b	ioŋ213	yoŋ313
用	yoŋ33	ioŋ33	yoŋ44
綠	ləʔ5	loʔ5	ləʔ5
足	tsəʔ5	tsoʔ5	tsəʔ5
促	tsʰoʔ5	tsʰoʔ5	tsʰəʔ5
粟	soʔ5	soʔ5	səʔ5
俗	soʔ5	soʔ5	səʔ5
燭	tɕyəʔ5	tʃyəʔ5	tyəʔ5
觸	tsoʔ5	tʃyəʔ5	tʰyəʔ5
贖	soʔ5	ʃyəʔ5	ɕyəʔ5
束	suəʔ5	soʔ5	ɕyəʔ5
辱	yəʔ5	ɹoʔ5	yəʔ5
曲	tɕʰyəʔ5	tʃʰyəʔ5	tʰyəʔ5
局	tɕyəʔ5	tʃyəʔ5	tyəʔ5
獄	yoʔ5	ioʔ5	yəʔ5
玉	y33	y33	y44
旭	ɕyoʔ5	ɕiəʔ5	ɕyəʔ5
欲	yoʔ5	ɹoʔ5	yəʔ5
浴	yoʔ5	y33	yəʔ5
