漢字	IPA	IPA调类	注释
喧	hɵn⁴⁵	hɵn1	
汗	hɵn⁵²	hɵn6	
焊	hɵn⁵²	hɵn6	
翰	hɵn⁵²	hɵn6	
瀚	hɵn⁵²	hɵn6	
紅	hoŋ²¹	hoŋ2	
虹	hoŋ²¹	hoŋ2	
洪	hoŋ²¹	hoŋ2	
鴻	hoŋ²¹	hoŋ2	
黌	hoŋ²¹	hoŋ2	～宫：古代称学宫
雄	hoŋ²¹	hoŋ2	
孔	hoŋ³⁵	hoŋ3	
恐	hoŋ³⁵	hoŋ3	
哄	hoŋ⁴⁴³	hoŋ5	
烘	hoŋ⁴⁴³	hoŋ5	
訌	hoŋ⁴⁴³	hoŋ5	内～
控	hoŋ⁴⁴³	hoŋ5	
空	hoŋ⁴⁵	hoŋ1	
崆	hoŋ⁴⁵	hoŋ1	
凶	hoŋ⁴⁵	hoŋ1	
匈	hoŋ⁴⁵	hoŋ1	
洶	hoŋ⁴⁵	hoŋ1	
恟	hoŋ⁴⁵	hoŋ1	
胸	hoŋ⁴⁵	hoŋ1	
吽	hoŋ⁵²	hoŋ6	佛教用字，嘛呢～
喝	hɵt⁴	hɵt7b	
喝	hɵt⁴	hɵt7b	动词，把刀放在石头等处摩擦，以使其锋利
渴	hɵt⁴	hɵt7b	
血	hɵt⁴	hɵt7b	
許	hy³⁵	hy3	
詡	hy³⁵	hy3	
栩	hy³⁵	hy3	
煦	hy³⁵	hy3	
去	hy⁴⁴³	hy5	
酗	hy⁴⁴³	hy5	又读，～酒
虛	hy⁴⁵	hy1	
墟	hy⁴⁵	hy1	～市，又写作“圩”
噓	hy⁴⁵	hy1	
漪	i³⁵	i3	
噫	i³⁵	i3	叹词，表惊讶
倚	i³⁵	i3	
椅	i³⁵	i3	
意	i⁴⁴³	i5	
薏	i⁴⁴³	i5	
臆	i⁴⁴³	i5	
伊	i⁴⁵	i1	
衣	i⁴⁵	i1	
醫	i⁴⁵	i1	
依	i⁴⁵	i1	
躽	in³⁵	in3	动词，挺起，故意摆弄、炫耀
也	ja²¹	ja2	～许
野	ja²¹	ja2	～种
也	ja⁵²	ja6	～得：也行
夜	ja⁵²	ja6	
曳	jɐi²¹	jɐi2	差，次，劣，水平低
曳	jɐi⁴⁵	jɐi1	小，细
曳	jɐi⁵²	jɐi6	摇～
約	jak⁴	jak7b	
躍	jak⁴	jak7b	
瘧	jak⁵²	jak8	
虐	jak⁵²	jak8	
若	jak⁵²	jak8	
弱	jak⁵²	jak8	
藥	jak⁵²	jak8	
吟	jɐm²¹	jɐm2	
淫	jɐm²¹	jɐm2	
飲	jɐm³⁵	jɐm3	
蔭	jɐm⁴⁴³	jɐm5	福～
蔭	jɐm⁴⁴³	jɐm5	用手把口袋抓回
陰	jɐm⁴⁵	jɐm1	
蔭	jɐm⁴⁵	jɐm1	树～
蔭	jɐm⁴⁵	jɐm1	树～
音	jɐm⁴⁵	jɐm1	
賃	jɐm⁵²	jɐm6	
壬	jɐm⁵²	jɐm6	
任	jɐm⁵²	jɐm6	
凝	jɐn²¹	jɐn2	
人	jɐn²¹	jɐn2	
仁	jɐn²¹	jɐn2	
仍	jɐn²¹	jɐn2	
刑	jɐn²¹	jɐn2	
