汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
冤		ue⁴⁴	yan¹³	yan⁴⁴	ye⁵⁵	vai³⁵	ye⁵⁵
怨		ue³³	yan⁴⁵	yan⁵⁵	ye³³	yan³⁵	ye³³
袁		ue²²	ye²¹	yan²⁴	ye¹¹²	yan¹²	yan¹¹
园		ue²²	ye²¹	ve²⁴	ye¹¹²	vai¹³	ve¹¹
远		ue³³	ye³³	ve³³	ye³³	vai²²	ye²²
越		ue²¹³	ue¹¹	/	ue³¹	vei²²	ye²¹¹
决		tɕye²¹³	tɕye⁴⁴	tɕye²⁴	kye¹¹²	tɕye¹³	kye¹¹
诀		tɕye²¹³	tɕye⁴⁴	tɕye²⁴	kye¹¹²	tɕye¹³	kye¹¹
缺		tɕʰye²¹³	tɕʰye⁴⁴	kʰue³³	kʰye¹¹²	kʰuei²²	kʰye¹¹
血		fe²¹³	fɤu⁴⁴	fe³³~豆腐；fɤ³³猪~	fei¹¹²	fei²²	fei¹¹
县		fe⁴⁴	ɕyan³³	fe¹¹	fie⁴²	fai¹¹	ɕian³⁵
吞		/	tʰin⁴⁴	tʰin⁵⁵	/	tʰoŋ³⁵	tʰen³³
跟		kaŋ⁴⁴	kaŋ¹³	kai⁵⁵	kai⁵⁵	kai³⁵	kai⁵⁵
根		kaŋ⁴⁴	kaŋ¹³	kaŋ⁵⁵	kaŋ⁵⁵	kaŋ³⁵	kaŋ⁵⁵
很		xe⁵⁵	xən⁴⁵	haŋ³³	hen³¹	hai²²	hai⁵²
恨		xoŋ⁵³	xaŋ³³	haŋ³³	hin²⁴	haŋ¹¹	hen³⁵
恩		ən⁴⁴	nin⁴⁴	ŋen⁵⁵	aŋ⁵⁵	ŋen³³	aŋ⁵⁵
宾		pin⁴⁴	pin⁴⁴	pin⁵⁵	pin³³	pin³³	pin³³
笔		pi²¹³	pi⁴⁴	pi³³	pi¹¹²	pi²²	pi¹¹
毕		pi²¹³	pi⁴⁴	pi²⁴	pi¹¹²	pi¹³	pi¹¹
必		pi²¹³	pi⁴⁴	pi²⁴	pi¹¹²	pi¹³	pi¹¹
贫		pʰin²¹³	pʰin²¹	pʰin²⁴	bin¹¹²	bin¹²	pʰin¹¹
民		min²¹³	min²¹	min²⁴	min¹¹²	min¹²	min¹¹
密		mi²¹³	mie¹¹	mi⁵⁵	mi⁵⁵	min¹³	mi²¹¹
蜜		mi²¹³	mie¹¹	mie¹¹	mie³¹	mie¹¹	mie²¹¹
邻		lin²¹³	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
鳞		lin²¹³	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
栗		li²¹³	li¹¹	lia⁵⁵	lie⁴²	li³⁵	lie²¹¹
津		tsin⁴⁴	tsin¹³	/	tsin⁵⁵	tɕin³³	tɕin³³
进		tsie³³	tsin³³	/	tsin⁵⁵	tɕin³⁵	tɕin³⁵
亲	亲戚	tsʰin⁴⁴	tsʰin¹³	tsʰin⁵⁵	tsʰin⁵⁵	tɕʰin³⁵	tʰin⁵⁵
亲	亲家	tsʰin⁴⁴	tsʰin³³	tsʰin⁵⁵	tsʰin⁵⁵	tɕʰin³⁵	tʰin⁵⁵
七		tsʰi²¹³	tsʰi⁴⁴	tsʰi³³	tsʰi¹¹²	tɕʰi²²	tʰi¹¹
漆		tsʰi²¹³	tsʰi⁴⁴	tsʰi³³	tsʰi¹¹²	tɕʰi²²	tʰi¹¹
秦		tsʰin²²	tsʰin²¹	/	dzin¹¹²	dʑin¹²	tɕʰin¹¹
尽		tsin³³	tsin³³	dʑin²⁴	tsin²²	dʑin²²	tɕin³⁵
疾		/	tsʰi¹¹	/	tsi¹¹²	dʑi¹³	tɕi²¹¹
辛		sin⁴⁴	sin⁴⁴	sin⁵⁵	sin⁵⁵	ɕin³³	ɬin⁵⁵
新		sin⁴⁴	sin⁴⁴	sin⁵⁵	sin⁵⁵	ɕin³⁵	ɬin⁵⁵
信		sin³³	sin³³	sin⁴⁴	sin³³	ɕin³³	ɬin³³
膝		tsʰi²¹³	tsʰi⁴⁴	/	si¹¹²	tɕʰi²²	ɬʅ¹¹
珍		tɕin⁴⁴	tɕin¹³	tɕin⁴⁴	tsin⁵⁵	tsen³³	tsin³³
镇		tɕin³³	tɕin³³	tɕin⁵⁵	tsin⁵⁵	tsen³⁵	tsin³⁵
陈		tɕin²²	tɕʰin²¹	dʑin²⁴	dzin¹¹²	dʑin¹³	tsʰin¹¹
侄		tɕi³¹²	tɕi¹¹	dʑi²⁴	tɕʰi⁵⁵	dʑi¹³	tɕi¹¹
衬		/	tɕʰin³³	/	tsʰin⁵⁵	tsʰen³⁵	tsʰin³⁵
虱		sai²¹³	sai⁴⁴	ɕiai³³	sai¹¹²	ɕiai²²	ɬai¹¹
真		tɕin⁴⁴	tɕin¹³	tɕi⁵⁵	tsin⁵⁵	tɕin³⁵	tɕin⁵⁵
诊		tɕin³³	tɕin³³	/	tsin²²	tɕin²²	tsen²²
振		tɕin⁵³	/	/	tsin⁵⁵	tɕin³³	tsen³⁵
震		tɕin⁵³	tɕin³³	/	tsin⁵⁵	tsen³³	tsen³⁵
质		tɕi²¹³	tɕi⁴⁴	/	tɕi¹¹²	tsɿ¹³	tɕi¹¹
神		ɕin²²	ɕin²¹	ʑin²⁴	sin¹¹²	in¹³	ɕin¹¹
实		ɕi²¹³	ɕi²¹	ɕi²⁴	ɕi¹¹²	ɕi¹³	ɕi¹¹
身		ɕin⁴⁴	ɕin⁴⁴	ɕin⁵⁵	ɕin⁵⁵	ɕin³⁵	ɕin⁵⁵
申		ɕin⁴⁴	ɕin⁴⁴	ɕin⁵⁵	ɕin⁵⁵	sen³³	ɕin⁵⁵
伸		ɕin⁴⁴	ɕin⁴⁴	tɕʰin⁵⁵	ɕin⁵⁵	tʰin³⁵	tʰin⁵⁵
失		ɕi²¹³	ɕi¹¹	ɕi²⁴	ɕi¹¹²	sɿ¹³	ɕi¹¹
室		ɕi²¹³	ɕi⁴⁴	ɕi⁴⁴	ɕi¹¹²	ɕi¹³	ɕi¹¹
臣		tɕin²²	tɕin²¹	/	dʑin¹¹²	dʑin¹³	tsʰin¹¹
肾		ɕin⁵³	ɕin³³	ɕin⁵⁵	ɕin⁵⁵	sen³⁵	sin³⁵
人		ŋ̍²²	ŋ̍²¹	ŋ̍²⁴	ŋ̍¹¹²	ŋ̍¹³	ŋ̍¹¹
仁		in²²	in²¹	in²⁴	in¹¹²	zen²²	/
忍		in³³	in³³	in³³	nin²²	ȵin²²	ȵin²²
认		in³³	in³³	nin¹¹	in⁴²	ȵin¹¹	/
日		ŋ̍³¹²	ŋ̍¹¹	ŋ̍¹¹	nie³¹	ŋ̍¹¹	ȵi²¹¹
巾		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³⁵	tɕin⁵⁵
紧		tɕin⁵³	tɕin⁴⁵	tɕin³³	tɕin²²	tɕin²²	tɕin³³
吉		tɕi²¹³	tɕi⁴⁴	tɕi²⁴	tɕi¹¹²	tɕi¹³	tɕi¹¹
仅		tɕin³³	tɕʰin⁴⁵	/	tɕʰin⁵⁵	tɕin¹³	tɕin²²
银		nin²²	nin²¹	nin²⁴	nin¹¹²	ȵin¹³	ȵin¹¹
因		in⁴⁴	in¹³	in⁴⁴	in³³	in³³	in³³
印		in³³	in³³	in⁴⁴	in³³	in³⁵	in³³
乙		ie²¹³	ie⁴⁴	i²⁴	i¹¹²	ie¹³	ie¹¹
一		i²¹³	i¹³	i³³	i¹¹²	i¹³	i¹¹
引		in³³	in³³	in³³	in³³	in³³	in²²
斤		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³⁵	tɕin⁵⁵
筋		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³⁵	tɕin⁵⁵
劲		tɕin³³	tɕin³³	/	tɕin⁵⁵	tɕin³³	tɕin³³
勤		tɕin²²	tɕʰin²¹	dʑin²⁴	dʑie¹¹²	dʑin¹³	dʑin¹¹
芹		tɕin²²	tɕʰin²¹	dʑin²⁴	tɕʰin¹¹²	dʑin¹²	dʑin¹¹
近		tɕin³³	tɕʰin³³	dʑin³³	dʑin²²	dʑin²²	dʑin²²
殷		in⁴⁴	in¹³	in⁵⁵	in³³	in³³	in³³
隐		in³³	in³³	in³³	in²²	in²²	in²²
奔		/	/	pin⁵⁵	pin⁵⁵	pen³³	pen³³
本		poŋ⁵³	poŋ⁴⁵	poŋ³³	poŋ²²	poŋ²²	poŋ²²
不		pu²¹³	/	pu⁴⁴	pu³³	pu³³	pu¹¹
喷		pʰoŋ⁴⁴	foŋ³³	fin⁵⁵	pʰoŋ⁵⁵	pʰoŋ³⁵	pʰoŋ³³
盆		poŋ²²	poŋ²¹	boŋ²⁴	boŋ¹¹²	boŋ¹³	boŋ¹¹
门		maŋ²²	moŋ²¹	moŋ²⁴	moŋ¹¹²	moŋ¹³	moŋ¹¹
闷		mən⁵³	moŋ³³	min⁵⁵	min²⁴	moŋ¹¹	men³⁵
没	淹没	/	/	/	/	me¹³	mə²¹¹
墩		/	/	/	tin⁵⁵	toŋ³³	tin⁵⁵
顿		toŋ³³	toŋ³³	/	tin⁵⁵	ten³⁵	ten³⁵
盾		/	/	/	tin⁵⁵	/	/
钝		/	/	/	/	/	toŋ³³
嫩		noŋ³³	noŋ³³	noŋ¹¹	noŋ⁴²	loŋ¹¹	noŋ⁵²
论	议论	/	lin³³	len⁵⁵	/	loŋ¹¹	len³⁵
尊		tsin⁴⁴	tsin¹³	tsin⁵⁵	tsin⁵⁵	tsen³³	tsen³³
卒		tsu²¹³	tsʰu⁴⁴	tsu²⁴	tsu¹¹²	tsɤu¹³	tsu¹¹
村		tsʰin⁴⁴	tsʰin¹³	tsʰin⁴⁴	tsʰin⁵⁵	tsʰen³³	tsʰen³³
寸		tsʰoŋ³³	tsʰoŋ³³	tsʰoŋ⁴⁴	tsʰoŋ³³	tsʰoŋ³³	tʰoŋ³³
孙	孙子	soŋ⁴⁴	soŋ¹³	soŋ⁵⁵	soŋ⁵⁵	soŋ³⁵	ɬoŋ⁵⁵
损		/	/	sin³³	sin²²	sen²²	sin²²
昆		/	kʰin¹³	kʰun⁵⁵	kʰun³³	kʰun³³	kʰun³³
滚		kin⁵³	kun⁴⁵	koŋ³³	kun²²	kun²²	kun²²
棍		kun³³	/	koŋ⁴⁴	koŋ³³	koŋ³³	koŋ³³
骨		/	ki⁴⁴	kuei³³	kvi¹¹²	kuei²²	kvi¹¹
捆		/	/	kʰun³³	/	kʰun²²	kʰun²²
困		kʰun⁵³	kʰun³³	kʰun⁵⁵	kʰun⁵⁵	/	kʰun³⁵
昏		fən⁴⁴	fen⁴⁴	fin⁴⁴	fin⁵⁵	fen³³	fin³³
婚		fən⁴⁴	fen⁴⁴	fin⁴⁴	fin⁵⁵	fen³³	fin³³
魂		fən²²	fen²¹	hoŋ²⁴	voŋ¹¹²	oŋ¹³	oŋ¹¹
浑	浑浊	/	fen²¹	hoŋ²⁴	fin³³	ven¹³	/
混	混沌	/	fen³³	/	fin¹¹²	ven¹³	fin³⁵
温		oŋ⁴⁴	uoŋ¹³	oŋ⁵⁵	voŋ⁵⁵	voŋ³⁵	voŋ⁵⁵
稳		oŋ⁵³	uoŋ³³	oŋ³³	voŋ²²	voŋ²²	voŋ²²
轮		lin²²	lin²¹	lin²⁴	lin¹¹²	len¹³	len¹¹
俊		tɕyn⁵³	/	tsin⁵⁵	tsin³³	tsen³⁵	tsun³⁵
笋		soŋ⁵³	soŋ⁴⁵	soŋ³³	soŋ²²	soŋ²²	ɬoŋ²²
戌	戌时	ɕy⁴⁴	ɕy⁴⁴	ɕy²⁴	sei¹¹²	ɕy²²	/
巡		ɕyn²¹³	/	/	daŋ¹¹²	dzen¹²	daŋ¹¹地名
椿	椿树	tɕʰyn⁴⁴	tɕʰyn¹³	tʰoŋ⁵⁵	tsʰaŋ⁵⁵	tɕʰioŋ³⁵	tʰaŋ⁵⁵
准		tɕyn⁵³	tsoŋ⁴⁵	kun³³	kyn²²	tɕioŋ²²	tsun²²
春		tɕyn⁴⁴	tɕʰyn¹³	tʰoŋ⁵⁵	tʰoŋ⁵⁵	tɕʰioŋ³⁵	tʰoŋ⁵⁵
蠢		tɕʰyn⁵³	tɕʰyn⁴⁵	kʰun³³	tɕʰyn²²	tɕʰyn²²	tɕʰyn²²
出		tɕʰy²¹³	tɕʰy⁴⁴	tʰiu³³	tʰei¹¹²	tɕʰyei²²	tʰei¹¹
顺		ɕyn³³	ɕyn³³	ɕyn¹¹	soŋ³³	ɕioŋ¹¹-；zen¹³-	sun³⁵
术		ɕy³¹²	ɕy¹¹	ɕy⁴⁴	ɕy⁵⁵	ɕy³⁵	su¹¹
纯		/	ɕyn²¹	/	ʑyn¹¹²	/	sen¹¹
闰		yn³³	yn³³	vin¹¹	ioŋ⁴²	ȵin¹¹	yn³⁵
均		tɕyn⁴⁴	tɕyn¹³	tɕyn⁴⁴	tɕyn⁵⁵	tɕyn³³	tɕyn³³
橘		tɕy²¹³	tɕy⁴⁴	tɕy²⁴	tɕy¹¹²	tɕy¹³	tɕy¹¹
菌		koŋ³³	koŋ³³	ɡoŋ³³	ɡoŋ²²	ɡoŋ²²	ɡoŋ²²
匀		yn²²	yn²¹	/	voŋ¹¹²	hoŋ¹³	yn¹¹
分		xoŋ⁴⁴	foŋ¹³	poŋ⁵⁵	poŋ⁵⁵	poŋ³⁵	poŋ⁵⁵
粉		xoŋ⁵³	foŋ⁴⁵	hoŋ³³	foŋ²²	foŋ²²	hoŋ²²
粪		fən⁵³	/	fen⁵⁵	foŋ³³	fin³⁵	hoŋ³³
坟		fən²²	poŋ²¹	vin²⁴	fin¹¹²	ven¹³	fin¹¹
愤		fən⁵³	/	fen⁵⁵	fin⁵⁵	/	fin³⁵
份		fən⁵³	foŋ³³	/	fin²⁴	boŋ¹¹	fen³⁵
佛		fu²¹³	fu¹¹	fu¹¹	fu¹¹²	fu¹³	fu²¹¹
蚊		moŋ⁴⁴	moŋ²¹	moŋ⁵⁵	moŋ⁵⁵	moŋ³⁵	moŋ⁵⁵
问		un³³	un³³	vin¹¹	vin⁴²	yn¹¹	yn⁵²
物		u²¹³	u⁴⁴	/	vu³³	vu¹³	vu²¹¹
君		tɕyn⁴⁴	tɕyn⁴⁴	kyn⁴⁴	tɕyn³³	tɕyn³³	tɕyn³³
军		tɕyn⁴⁴	tɕyn⁴⁴	kyn⁴⁴	tɕyn³³	tɕyn³³	tɕyn³³
裙		koŋ²²	kʰoŋ²¹	ɡoŋ²⁴	ɡyn¹¹²	ɡoŋ¹³	ɡoŋ¹¹
薰		ɕyn⁴⁴	ɕyn²¹	hoŋ⁴⁴	foŋ⁵⁵	/	hoŋ⁵⁵
荤		fən⁴⁴	/	hoŋ⁴⁴	/	foŋ³⁵	/
训		ɕyn³³	ɕyn³³	/	fin⁵⁵	ɕyn³⁵	ɕyn³⁵
云		oŋ²²	uoŋ²¹	hoŋ²⁴	voŋ¹¹²	hoŋ¹³	oŋ¹¹
运		yn⁵³	yn⁴⁵	yn¹¹	vin⁵⁵	yn¹¹	yn³⁵
帮		paŋ⁴⁴	paŋ¹³	po⁵⁵	paŋ⁵⁵	paŋ³³	paŋ⁵⁵
榜		paŋ⁵³	paŋ³³	paŋ³³	paŋ²²	paŋ²²	paŋ²²
旁		pʰaŋ²¹³	paŋ²¹	bo²⁴	baŋ¹¹²	bo¹³	baŋ¹¹
薄	厚薄	pəu³¹²	po¹¹	po¹¹	bo³¹	bɤu¹¹	bo²¹¹
忙		maŋ²²	maŋ²¹	maŋ²⁴	maŋ¹¹²	mo¹³	maŋ¹¹
蟒		maŋ³³	maŋ³³	maŋ³³	maŋ²²	maŋ²²	maŋ²²
莫		məu³¹²	mo⁴⁴	mo¹¹	ma³¹	ma¹¹	mɑ²¹¹
摸		məu³¹²	mo⁴⁴	mo⁴⁴	/	mo³⁵	/
当	应当	təu⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁵⁵	to³⁵	to⁵⁵-~兵；taŋ³³=应~
党		taŋ³³	taŋ³³	taŋ³³	taŋ²²	taŋ²²	taŋ²²
汤		tʰəu⁴⁴	tʰo¹³	tʰo⁵⁵	tʰo⁵⁵	tʰo³⁵	tʰo⁵⁵
烫		la³³训读㸊	la³³训读㸊	lia³³训读㸊	lai⁵⁵训读㸊	lia³³训读㸊	tʰaŋ³⁵
托		tʰo²¹³	tʰo⁴⁴	tʰo²⁴	tʰo¹¹²	tʰo¹³	tʰo¹¹
堂		təu²²	to²¹	daŋ²⁴	daŋ¹¹²	do¹³	do¹¹
唐		taŋ¹³	to²¹	daŋ²⁴	tʰaŋ¹¹²	do¹³	daŋ¹¹
糖		təu²²	to²¹	do²⁴	do¹¹²	do¹³	do¹¹
塘		təu²²	to²¹	do²⁴	do¹¹²	do¹³	do¹¹
郎		ləu²²	lo²¹	lo²⁴	lo¹¹²	lo¹³	lo¹¹
狼		laŋ²²	laŋ²¹	laŋ²⁴	laŋ¹¹²	laŋ¹²	laŋ¹¹
浪		laŋ⁵³	laŋ³³	laŋ⁵⁵	laŋ⁵⁵	laŋ³⁵	laŋ³⁵
落		lo²¹³	lo¹¹	lo¹¹	lo³¹	lɤu¹¹	lo²¹¹
乐		lo²¹³	lo⁴⁴	/	lo¹¹²	lo¹³	/
葬		/	/	tso⁵⁵	tso³³	/	tsaŋ³⁵
作	工作	tso²¹³	tso⁴⁴	tso²⁴	tso¹¹²	tso¹³	tso¹¹
仓		tsʰəu⁴⁴	tsʰo³	tsʰo⁵⁵	tsʰo⁵⁵	tsʰo³⁵	tʰo⁵⁵
藏	隐藏	tsəu²²	tsʰo²¹	dzo²⁴	dzo¹¹²	dzo¹³	ɮo¹¹
藏	西藏	tsaŋ⁵³	tsaŋ³³	/	tsaŋ⁵⁵	dzuaŋ¹³	tsaŋ³⁵
脏		tsaŋ³³	tsaŋ³³	/	/	/	/
凿		tsəu³¹²	tsʰo¹¹	tso¹¹	dzo³¹	/	ɮo²¹¹
昨		tɕiaŋ²²训读	tsʰo¹¹	tsaŋ¹¹训读	/	dzaŋ¹¹训读	/
桑		səu⁴⁴	so¹³	so⁵⁵	so⁵⁵	ɕio³⁵	ɬo⁵⁵
丧	婚丧	saŋ⁴⁴	saŋ⁴⁴	sa⁵⁵	saŋ⁵⁵	saŋ³⁵	ɬɑ⁵⁵
索	绳索	səu²¹³	so⁴⁴	so³³	so¹¹²	sɤu²²	ɬo¹¹
刚		kaŋ⁴⁴	kaŋ⁴⁴	kaŋ⁴⁴	kaŋ³³	kaŋ³³	kaŋ³³
钢		kəu⁴⁴	ko¹³	ko⁵⁵	kaŋ³³	ko³⁵	ko⁵⁵
缸		kəu⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	ko³⁵	ko⁵⁵
各		ko²¹³	ko⁴⁴	ko²⁴	ko¹¹²	kɤu²²	ko¹¹
糠		xəu⁴⁴	kʰo¹³	ho⁵⁵	ho⁵⁵	kʰo³⁵	ho⁵⁵
抗		kʰaŋ⁵³	kʰaŋ⁴⁴	/	kʰaŋ⁵⁵	kʰaŋ³⁵	kʰaŋ³⁵
行	银行	xaŋ²¹³	xaŋ²¹	ɦaŋ²	ɦaŋ¹¹²	haŋ¹²	haŋ¹¹
鹤		xo²¹³	xo¹¹	ho²⁴	ɦo¹¹²	ho¹³	ho³⁵
恶	善恶	o²¹³	o¹¹	o³³	o¹¹²	o¹³	o¹¹
娘		nio⁴⁴	niaŋ²¹	/	niɑ⁴²	ȵia²²-；ȵiaŋ²²=	ȵiɑ⁵²
良		liaŋ²²	liaŋ²¹	io²⁴	io¹¹²	lio¹³	lio¹¹
凉		liəu²²	lio²¹	liaŋ²⁴	io¹¹²	lio¹³	lio¹¹
量	量长短	liaŋ²²	lio²¹	liaŋ²⁴	io¹¹²	lio¹³	lio¹¹
粮		liaŋ²²	lio²¹	liaŋ²⁴	io¹¹²	lio¹³	lio¹¹
两	两个	liəu³³	lio³³	lio³³	io²²	lio²²	io²²
两	几两	liəu³³	lio³³	lio³³	io³³	lio²²	io²²
亮		liəu³³	lio³³	io¹¹	io⁵⁵	lio³³	io³³
量	数量	liaŋ³³	liaŋ³³	liaŋ⁵⁵	liaŋ⁵⁵	lio²²	liaŋ³⁵
将	将来	/	/	tɕiaŋ⁴⁴	tɕiaŋ³³	tɕio³⁵	tɕiaŋ³³
浆		tsiəu⁴⁴	tsio¹³	tsio⁵⁵	tsio⁵⁵	tɕio³⁵	tsio⁵⁵
蒋		tɕiaŋ³³	tsiaŋ³	tɕiaŋ³³	tɕiaŋ²²	tɕio²²	tɕiaŋ²²
奖		tɕiaŋ³³	tsiaŋ³³	tɕiaŋ³³	tɕiaŋ²²	tɕio²²	tɕiaŋ²²
酱		tsiəu³³	tsiaŋ⁴⁵	tɕiaŋ⁴⁵	tɕiaŋ⁵⁵	tɕio³³	tɕiaŋ³⁵
将	大将	tɕiaŋ³³	tsiaŋ⁴⁵	tɕiaŋ⁴⁵	tɕiaŋ⁵⁵	tɕiaŋ³⁵	tɕiaŋ³⁵
雀	麻雀	tsʰiəu³³	/	tsʰio⁵⁵	tsʰio⁵⁵	/	tsʰio¹¹
枪		tsʰiəu⁴⁴	tsʰio¹³	tsʰio⁵⁵	tsʰio⁵⁵	tɕʰio³⁵	/
抢		tsʰiəu³³	tsʰio⁴⁵	tsʰio³³	tsʰio²²	tɕʰio²²	tɕʰio²²
鹊	喜鹊	tsʰye²¹³	tɕʰio¹³	/	tɕʰia³³	/	tɕʰio¹¹
墙		tsiəu²²	tsʰio²¹	ka⁴⁴训读	dzio¹¹²	dʑio¹³	tɕʰiaŋ¹¹
匠		tsiəu⁴⁴	tsʰio³³	tsio¹¹	tsio³³	tɕio¹¹	tɕio⁵²
相	互相	siəu⁴⁴	sio¹³	ɕiaŋ⁴⁴	sio⁵⁵	ɕiaŋ³³	ɬio⁵⁵
箱		siəu⁴⁴	sio¹³	sio⁵⁵	sio⁵⁵	ɕio³⁵	ɬio⁵⁵
湘		ɕiaŋ⁴⁴	ɕiaŋ⁴⁴	ɕiaŋ⁴⁴	ɕiaŋ³³	ɕiaŋ³³	ɕiaŋ³³
想		siəu⁵³	sio⁴⁴	sio³³	sio²²	ɕio²²	ɕio²²
相	相貌	siəu³³	sio³³	sio³³	sio³³	ɕio³³	ɕiaŋ³⁵
削		siəu²¹³	siu⁴⁴	sio³³	sio¹¹²	ɕiɤu²²	ɕio¹¹
详		ɕiaŋ²¹³	tsʰiaŋ²¹	dʑiaŋ²⁴	ɕiaŋ¹¹²	dʑiaŋ¹²	tɕʰiaŋ¹¹
祥		ɕiaŋ²¹³	tsʰiaŋ²¹	/	ɕiaŋ¹¹²	dʑiaŋ¹²	tɕʰiaŋ¹¹
象		siəu³³	tsʰiaŋ³³	sio³³	ɕiaŋ³³	ɕio²²	tɕio⁵²
像		tsiəu³³	tsʰiaŋ³³	sio³³	dzio²²	tɕio¹¹	tɕiaŋ³⁵
张		tsaŋ⁴⁴	tɕiaŋ¹³	tɕio⁵⁵	tɕio⁵⁵	tio³⁵~饭；tɕio³⁵姓~	tɕio⁵⁵
长	生长	tiəu⁵³	tiu⁴⁵	dʑio³³	dʑio¹¹²	tɕio²²	tɕio²²
涨		tiəu⁵³	tiu⁴⁵	dʑio³³	tɕio²²	tɕio²²	tɕio²²
帐		tsəu³³	tio³³	tɕiaŋ⁴⁴	tɕiaŋ³³	tɕio²²	to³³
账		tsəu³³	tio³³	tɕio⁴⁴	tɕio³³	tɕio³³	to³³
胀		tiəu³³	tio³³	tɕio⁴⁴	tɕio³³	tio³³	tɕio³³
着	着衣	tiəu²¹³	tiu⁴⁴	tɕio³³	tɕio¹¹²	tɤu²²	tɕio¹¹
畅		/	/	/	tsʰaŋ⁵⁵	tsʰaŋ³⁵	tsʰaŋ³⁵
长	长短	tiəu²²	tʰio²¹	dʑio²⁴	dʑio¹¹²	dio¹³	dʑio¹¹
肠		tiəu²²	tʰio²¹	dʑio²⁴	dʑio¹¹²	dio¹³	dʑio¹¹
场		tiəu²²	tʰio²¹	dʑiaŋ²⁴	tsʰaŋ¹¹²	dzaŋ¹²	tsʰaŋ¹¹
丈	单位	tiəu³³	tso³³	dʑio³³	dʑio²²	dio²²	dʑio²²
仗		tɕiəu³³	tso³³	tɕio⁴⁴	tsaŋ²⁴	tɕio²²	tɕio²²
杖		tsaŋ³³	/	/	dʑio²²	daŋ¹³	/
着	睡着	/	tʰio¹¹	tɕio¹¹	dʑio³¹	tɕio²²	/
庄		tsəu⁴⁴	tso¹³	tsaŋ⁴⁴	to⁵⁵	tɕio³⁵	tsaŋ³³
装		tsəu⁴⁴	tso¹³	to⁵⁵	to⁵⁵	tɕio³⁵	tsaŋ³³
壮		tsəu³³	tso³³	to⁴⁴	to³³	tɕio³³	to³³
疮		tsʰəu⁴⁴	tsʰo¹³	tʰo⁵⁵	tʰo⁵⁵	tɕʰio³⁵	tʰo⁵⁵
闯		/	tsʰaŋ³³	tsʰaŋ³³	tsʰaŋ²²	tsʰuaŋ²²	tsʰuaŋ²²
床		tsəu²²	tsʰo²¹	do²⁴	du¹¹²	dʑio¹³	du¹¹
状		tsəu⁴⁴	tsʰo³³	to¹¹	to⁴²	tɕio¹¹	to⁵²
霜		səu⁴⁴	so¹³	so⁵⁵	so⁵⁵	ɕio³⁵	ɬo⁵⁵
爽		/	/	/	suaŋ²²	suaŋ²²	suaŋ²²
章		tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁵⁵	tɕio⁵⁵	tɕiaŋ³³	tɕio⁵⁵
樟		tɕiaŋ⁴⁴	tɕio¹³	tɕiaŋ⁵⁵	tɕio⁵⁵	tɕiaŋ³³	tɕio⁵⁵
掌		tɕiəu³³	tɕio⁴⁵-巴~；tɕiaŋ³³=仙人~	tɕio³³	tɕiaŋ³³	tsaŋ²²	tsaŋ²²
昌		tɕʰiaŋ⁴⁴	tsʰaŋ⁴⁴	tɕʰiaŋ⁵⁵	/	tsʰaŋ³³	tsʰaŋ³³
厂		tɕʰiəu⁵³	tsʰaŋ³³	tɕʰio³³	tɕʰio²²	tɕʰio²²	tɕʰio²²
唱		tɕʰiəu³³	tɕʰio³³	tɕʰio⁴⁴	tɕʰio³³	tɕʰio³³	tɕʰio³³
商		ɕiaŋ⁴⁴	ɕiaŋ¹³	saŋ⁵⁵	ɕio⁵⁵	ɕio³⁵	saŋ³³
伤		ɕiaŋ⁴⁴	ɕio¹³	ɕio⁵⁵	ɕio³⁵	ɕio³⁵	ɕio⁵⁵
赏		/	ɕiaŋ³³	/	ɕiaŋ²²	dʑio¹³	saŋ²²
常		tɕiaŋ²²	tsʰaŋ¹³	dʑio²⁴	dʑio¹¹²	dzaŋ¹²	saŋ¹¹
尝		tsʰaŋ²²	tɕʰio²¹	dʑio²⁴	dʑio¹¹²	dʑio¹³	ʑiaŋ¹¹
偿		/	/	dʑio²⁴	ʑiaŋ¹¹²	zaŋ¹³	ʑiaŋ¹¹
上	上山	ɕiəu³³	tɕʰio³³	dʑio³³	dʑio²²	dʑio²²	tɕio⁵²
尚		ɕiəu³³	ɕio³³	tɕio¹¹	ɕiaŋ²⁴	tɕio¹¹	tɕio⁵²
上	上面	ɕiəu³³	tɕʰio³³	iaŋ²⁴	dʑio²²	dʑio²²	tɕio⁵²
让		iəu⁴⁴	iaŋ³³	io¹¹	io⁴²	tɕio¹¹	ȵio⁵²
若		/	/	/	io¹¹²	io¹³	/
弱		/	/	/	nio²⁴	io¹³	ȵio⁵⁵
