"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"tsʰau"	1	55	"操抄钞超"		
	"tsʰau"	3	42	"草炒吵"		
	"tsʰau"	6	24	"造糙躁"		
	"dzau"	2	12	"曹槽皂朝[~代]潮"		
	"dzau"	6	24	"赵兆召"		
	"sau"	1	55	"骚燥梢捎烧"		
	"sau"	3	42	"嫂稍少[多~]"		
	"sau"	5	35	"潲[~食]绍邵少[~年]扫[~把,~地]"		
	"zau"	2	12	"饶韶[~关]"		
	"zau"	3	42	"扰绕[围~,~线]"		
	"kau"	1	55	"高膏篙羔糕"		
	"kau"	3	42	"稿搞"		
	"kau"	5	35	"告觉-[睡~]教-[~书]窖-"		
	"kʰau"	1	55	"敲"		
	"kʰau"	3	42	"考烤"		
	"kʰau"	6	24	"靠搞"		
	"ŋau"	1	55	"穮"		
	"ŋau"	2	12	"熬"		
	"ŋau"	3	42	"袄咬-"		
	"ŋau"	5	35	"奥懊[~恼,~悔]坳[山~]傲"		
	"xau"	1	55	"篙薅"		
	"xau"	3	42	"好[~坏]"		
	"xau"	5	35	"好[喜~]耗"		
	"ɣau"	2	12	"豪壕毫"		
	"ɣau"	6	24	"浩号[呼~,~数]"		
	"piau"	1	55	"膘标彪"		
	"piau"	3	42	"表"		
	"pʰiau"	1	55	"飘"		
