			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			189	歪	vai45	vai45	vai25	vai45	vai55	vai221	vai55	vai55	vai45
			190	画	va22	vɒ22	viak4	vak2	vak2	vak3	va44	vak3	va22
			191	快	fai44	fai44	fai11	fai44	vai21	vai113	vai24	vai24	fai51
			192	话	va22	vɒ22	vuɒ33	va22	va21	va221	va44	va33	va22
			193	岁	ɬui44	ɬui44	ɬui11	ɬui44	ɬoi21	ɬui113	ɬu24	ɬui24	ɬui51
			194	卫	vɐi22	vɐi22	vɐi33	vɐi22	vɐi21	vɐi221	vɐi44	vɐi33	vɒi22
			195	肺	fi44	fi44	fi11	fi44	fɐi21	fei113	foi24	fei24	fui51
			196	桂	kuɐi44	kuɐi44	kuɐi11	kuɐi44	kuɐi21	kuɐi113	kuɐi24	kuɐi24	kuɒi51
			197	碑	pi45	pi45	pi25	pi45	pɐi55	pei33	poi11	pei11	pui45
			198	皮	pʰi44	pʰi44	pʰi44	pʰi44	pʰɐi42	pʰei32	pʰoi31	pʰei31	pʰui35
			199	被{～子}	pʰi22	pʰi22	pʰi33	pʰi22	pʰɐi33	pʰei221	pʰoi33	pʰei33	pʰui13
			200	紫	tʃi24	tʃi13	tʃi11	tʃi13	tʃi24	tʃi55	tʃoi55	tsei55	tʃui33
			201	刺	tʃʰi44	tʃʰi44	tʃʰi11	tʃʰi44	tʃʰi21	tʃʰi113	tʃʰoi24	tsʰi24	tʃʰui51
			202	知	tʃi45	tʃi45	tʃi25	tʃi45	tʃi55	tʃi33	tʃoi11	tsi11	tʃui45
			203	池	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi42	tʃʰi32	tʃʰoi31	tsʰi31	tʃʰui35
			204	纸	tʃi24	tʃi13	tʃi11	tʃi13	tʃi24	tʃi55	tʃoi55	tsi55	tʃui33
			205	儿	ȵi44	ȵi44	ȵi44	ȵi44	ȵi42	ȵi221	ȵioi31	ȵi31	ȵiui35
			206	寄	ki44	ki44	ki11	ki44	kɐi21	kei113	koi24	kei24	kui51
			207	骑	kʰi44	kʰi44	kʰi44	kʰi44	kʰɐi42	kʰei32	kʰoi31	kʰei31	kʰui35
			208	蚁	ȵi24	ȵi13	ŋɐi11	ȵi13	ŋɐi33	ȵi221	ŋɐi33	ŋɐi33	ŋɒi13
			209	义	ȵi22	ȵi22	ȵi44	ȵi22	ȵi21	ȵi221	ȵioi44	ȵi33	ȵiui22
			210	戏	hi44	hi44	hi11	hi44	hɐi21	hei113	hoi24	hei24	hui51
			211	移	ʔi44	i44	i44	i44	hɐi42	hei32	hoi31	hei31	hui35
			212	比	pi24	pi13	pi11	pi13	pɐi24	pei55	poi55	pei55	pui33
			213	屁	pʰi44	pʰi44	pʰi11	pʰi44	pʰɐi21	pʰei113	pʰoi24	pʰei24	pʰui51
			214	鼻	pʰɐt2	pʰɐt2	pʰɐt3	pi22	pʰɐt3	pʰei221	pʰɐt3	pʰɐt3	pʰɐt2
			215	眉	mi44	mi44	mi44	mi44	mɐi42	mei32	moi31	mei31	mui35
			216	地	tʰi22	tʰi22	tʰi33	tʰi22	tʰɐi21	tʰei221	tʰoi44	tʰei33	tʰui22
			217	梨	li44	li44	lɐi44	li44	lɐi42	lei32	loi31	lei31	lui35
			218	资	tʃi45	tʃi45	tʃi25	tʃi45	tʃi55	tʃi33	tʃoi11	tsi11	tʃui45
			219	死	ɬi24	ɬi13	ɬi11	ɬi13	ɬɐi24	ɬei55	ɬoi55	ɬei55	ɬui33
			220	四	ɬi44	ɬi44	ɬi44	ɬi44	ɬɐi21	ɬei113	ɬoi24	ɬei24	ɬui51
			221	迟	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi42	tʃʰi32	tʃʰoi31	tsʰi31	tʃʰui35
			222	师	ʃi45	ʃi45	ʃi25	ʃi45	ʃɐi55	ʃɐi33	ʃɐi11	sɐi11	ʃui45
			223	指	tʃi24	tʃi13	tʃi11	tʃi13	tʃi24	tʃi55	tʃoi55	tsi55	tʃui33
			224	二	ȵi22	ȵi22	ȵi33	ȵi22	ȵi21	ȵi221	ȵioi44	ȵi33	ȵiui22
			225	饥{～饿}	ki45	ki45	ki25	ki45	kɐi55	kei33	koi11	kei11	kui45
			226	器	hi44	hi44	hi11	hi44	hɐi21	hei113	hoi24	hei24	hui51
			227	姨{2}	ʔi44	i44	i44	i44	i42	hei32	hoi31	hei31	hui35
			228	李	li24	li13	li11	li13	lɐi33	lei33	loi33	lei33	lui13
			229	子	tʃi24	tʃi13	tʃi11	tʃi13	tʃɐi24	tʃi55	tʃoi55	tsei55	tʃui33
			230	字	tʃʰi22	tʃʰi22	tʃʰi33	tʃʰi22	tʃʰi21	tʃʰi221	tʃʰoi44	tsʰi33	tʃʰui22
			231	丝	ɬi45	ɬi45	ɬi25	ɬi45	ɬɐi55	ɬei33	ɬoi11	ɬei11	ɬui45
			232	祠	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi44	tʃʰi42	tʃʰi32	tʃʰoi31	tsʰi31	tʃʰui35
			233	寺	tʃʰi22	tʃʰi22	ʃi33	tʃʰi22	tʃʰi21	tʃʰi32	tʃʰoi31	tsʰi33	tʃʰui22
			234	治	tʃʰi22	tʃʰi22	tʃʰi33	tʃʰi22	tʃʰi21	tʃʰi221	tʃʰoi44	tsʰi33	tʃʰui22
			235	柿	ʃi22	ʃi22	ʃu33	ʃi22	ʃɐi33	ʃi113	ʃai33	sai33	ʃui22
			236	事	ʃi22	ʃi22	ʃi33	ʃi22	ʃɐi21	ʃɐi221	ʃɐi44	sɐi33	ʃui22
			237	使	ʃɐi24	ʃɐi13	ʃɐi11	ʃɐi13	ʃɐi24	ʃɐi55	ʃɐi55	sɐi55	ʃiɒi33
			238	试	ʃi44	ʃi44	ʃi11	ʃi44	ʃi21	ʃi113	ʃoi24	si24	ʃui51
			239	时	ʃi44	ʃi44	ʃi44	ʃi44	ʃi42	ʃi32	ʃoi31	si31	ʃui35
			240	市	ʃi22	ʃi22	ʃi11	ʃi22	ʃi33	ʃi33	ʃoi44	si33	ʃui22
