字	IPA	備注（常用：ʰ ŋ ȵ ɿ ȶ ç）h、ŋ、ȵ、ɿ、ȶ、ç □	#說明 到格拉夫整理自大柘鎮城东社区70後姚女士，這一代大柘人剛失去am/aŋ和ap/ak對立，少部分原-am/-ap字輕微合嘴，按系統合併處理，語音面貌屬中派。劉濤和凌飛霞的調值和描寫都有誤，黃曉煜的是相對準確的，可一併參考。							
中	tuŋ5	～手指，中指。								
凍	tuŋ5									
棟	tuŋ5									
咚	tuŋ5	～～條，威風轟轟的。								
崠	tuŋ5	頂。								
他	tʰa1									
它	tʰa1									
牠	tʰa1									
她	tʰa1									
弟	tʰai1	阿～牯，小夥子。								
啼	tʰai2									
蹄	tʰai2									
大	tʰai5									
太	tʰai5									
汰	tʰai5									
態	tʰai5									
待	tʰai5	等～。								
怠	tʰai5									
泰	tʰai5									
塔	tʰak7									
塌	tʰak7	～方。								
䌈	tʰak7	【替字】綁。								
□	tʰak7	綁。								
笛	tʰak8									
踏	tʰak8									
糴	tʰak8									
攤	tʰan1									
灘	tʰan1									
癱	tʰan1									
壇	tʰan2									
彈	tʰan2									
檀	tʰan2									
歎	tʰan3									
坦	tʰan3									
毯	tʰan3									
旦	tʰan5	元～。								
但	tʰan5									
炭	tʰan5									
蛋	tʰan5									
碳	tʰan5									
詑	tʰat7	【替字】～人，騙人。								
□	tʰat7	～人，騙人。								
達	tʰat8									
廳	tʰaŋ1									
聽	tʰaŋ1									
貪	tʰaŋ1									
探	tʰaŋ1	～出去。								
淡	tʰaŋ1	味～。								
罈	tʰaŋ2									
庭	tʰaŋ2	禾～。								
談	tʰaŋ2									
痰	tʰaŋ2									
譚	tʰaŋ2									
潭	tʰaŋ2									
探	tʰaŋ3	～礦。								
淡	tʰaŋ5	～水。								
剃	tʰe5									
替	tʰe5									
偷	tʰei1									
頭	tʰei2									
投	tʰei2									
骰	tʰei2									
敨	tʰei3	～氣，呼吸。								
豆	tʰei5									
逗	tʰei5									
透	tʰei5									
痘	tʰei5									
疼	tʰen2									
填	tʰen2									
騰	tʰen2									
謄	tʰen2									
藤	tʰen2									
滕	tʰen2									
挺	tʰen3									
艇	tʰen3									
鄧	tʰen5									
趁	tʰen5	【替字】～得上，配得上。								
□	tʰen5	～得上，配得上。								
黑	tʰet7									
踢	tʰet7									
塌	tʰet8	～撇了，塌掉了。								
堤	tʰi2									
提	tʰi2									
題	tʰi2									
醍	tʰi2									
體	tʰi3									
地	tʰi5									
弟	tʰi5	兄～。								
屜	tʰi5									
帝	tʰi5									
剔	tʰi5									
遞	tʰi5									
涕	tʰi5									
第	tʰi5									
逮	tʰi5									
締	tʰi5									
帖	tʰiak7									
墊	tʰiak7									
諜	tʰiak8									
疊	tʰiak8									
碟	tʰiak8									
蝶	tʰiak8									
挑	tʰiau1									
條	tʰiau2									
迢	tʰiau2									
調	tʰiau2									
跳	tʰiau2	咚咚～，猛猛的。								
斢	tʰiau3	交換。								
調	tʰiau5									
掉	tʰiau5									
跳	tʰiau5									
糶	tʰiau5									
添	tʰiaŋ1									
恬	tʰiaŋ2									
甜	tʰiaŋ2									
舔	tʰiaŋ3									
掂	tʰiaŋ5	【替字】搞～，搞定。								
□	tʰiaŋ5	搞～，搞定。								
簟	tʰiaŋ5									
天	tʰien1									
曾	tʰien1	吂～，還沒。								
田	tʰien2									
腆	tʰien3									
電	tʰien5									
佃	tʰien5									
甸	tʰien5									
澱	tʰien5									
淀	tʰien5									
奠	tʰien5									
殿	tʰien5									
幐	tʰien5	～手，幫手。								
鐵	tʰiet7									
忒	tʰiet7									
廷	tʰin2									
亭	tʰin2									
庭	tʰin2									
停	tʰin2									
蜓	tʰin2									
定	tʰin5									
滌	tʰit7									
惕	tʰit7									
迪	tʰit8									
特	tʰit8									
敵	tʰit8									
導	tʰo1									
妥	tʰo1									
拖	tʰo1									
濤	tʰo1	人名。								
滔	tʰo1									
蹈	tʰo1									
韜	tʰo1									
馱	tʰo2									
駝	tʰo2									
逃	tʰo2									
桃	tʰo2									
鴕	tʰo2									
濤	tʰo2									
陶	tʰo2									
掏	tʰo2									
萄	tʰo2									
淘	tʰo2									
佗	tʰo2									
坨	tʰo2									
綯	tʰo2	綁。								
討	tʰo3									
橢	tʰo3									
套	tʰo5									
唾	tʰo5									
盜	tʰo5									
悼	tʰo5									
墮	tʰo5									
道	tʰo5									
惰	tʰo5									
稻	tʰo5									
台	tʰoi1	～州。								
胎	tʰoi1									
梯	tʰoi1									
臺	tʰoi2									
台	tʰoi2	～灣。兄～。								
抬	tʰoi2									
苔	tʰoi2									
代	tʰoi5									
貸	tʰoi5									
待	tʰoi5	～人。								
袋	tʰoi5									
托	tʰok7									
託	tʰok7									
拓	tʰok7									
擇	tʰok8	～菜。								
踱	tʰok8									
斷	tʰon1	～了。								
團	tʰon2									
糰	tʰon2									
摶	tʰon2									
段	tʰon5									
斷	tʰon5	判～。								
緞	tʰon5									
脫	tʰot7									
奪	tʰot8									
湯	tʰoŋ1									
唐	tʰoŋ2									
堂	tʰoŋ2									
棠	tʰoŋ2									
塘	tʰoŋ2									
膛	tʰoŋ2									
糖	tʰoŋ2									
搪	tʰoŋ2									
螳	tʰoŋ2									
倘	tʰoŋ3									
淌	tʰoŋ3									
躺	tʰoŋ3									
燙	tʰoŋ5									
趟	tʰoŋ5									
躺	tʰoŋ5	～底，鞋墊。								
宕	tʰoŋ5	～睡，睡過頭。								
圖	tʰu2									
途	tʰu2									
塗	tʰu2									
屠	tʰu2									
土	tʰu3									
吐	tʰu5									
杜	tʰu5									
妒	tʰu5									
兔	tʰu5									
度	tʰu5									
渡	tʰu5									
鍍	tʰu5									
推	tʰui1									
頹	tʰui2									
兌	tʰui3									
退	tʰui3	～色。								
蛻	tʰui3									
腿	tʰui3									
退	tʰui5									
褪	tʰui5									
毒	tʰuk8	～性。								
獨	tʰuk8									
讀	tʰuk8									
鐲	tʰuk8									
吞	tʰun1									
飩	tʰun1									
屯	tʰun2									
囤	tʰun2									
豚	tʰun2									
臀	tʰun2									
盾	tʰun3									
鈍	tʰun5									
凸	tʰut8									
禿	tʰut8									
突	tʰut8									
動	tʰuŋ1									
通	tʰuŋ1									
同	tʰuŋ2									
彤	tʰuŋ2									
桐	tʰuŋ2									
銅	tʰuŋ2									
筒	tʰuŋ2									
童	tʰuŋ2									
瞳	tʰuŋ2									
佟	tʰuŋ2									
統	tʰuŋ3									
捅	tʰuŋ3									
桶	tʰuŋ3									
洞	tʰuŋ5									
痛	tʰuŋ5									
侗	tʰuŋ5									
哇	va1									
窪	va1									
蛙	va1	牛～。								
椏	va1									
娃	va2									
話	va5	～話，講話。								
歪	vai1	十分～，十分壞。								
哇	vai3	【替字】哇哇叫。								
□	vai3	哇哇叫。								
劃	vak7	～過來。								
劃	vak8	計～。								
彎	van1									
灣	van1									
蜿	van1									
鯇	van1									
還	van2	～錢。								
完	van2	～成。								
玩	van2	去哪～。								
宛	van3									
挽	van3									
晚	van3									
惋	van3									
婉	van3									
皖	van3									
腕	van3									
萬	van5									
挖	vat7									
猾	vat8									
滑	vat8									
橫	vaŋ2									
橫	vaŋ5	～下，倒下。								
穢	ve5	污～。								
域	vet7									
威	vi1									
萎	vi1									
為	vi2	因～。～了。								
爲	vi2	因～。～了。								
違	vi2									
圍	vi2									
唯	vi2									
帷	vi2									
惟	vi2									
維	vi2									
遺	vi2									
偉	vi3									
緯	vi3									
委	vi3									
慰	vi3									
韋	vi3									
衛	vi5									
為	vi5	～什麼。								
爲	vi5	～什麼。								
未	vi5									
諱	vi5									
位	vi5									
畏	vi5									
胃	vi5									
偎	vi5									
謂	vi5									
尉	vi5									
喂	vi5									
蝟	vi5									
蔚	vi5									
渦	vo1									
窩	vo1									
蝸	vo1									
禾	vo2									
和	vo2	～尚。								
唩	vo3	【替字】～佢做事，叫他幹活。								
□	vo3	～佢做事，叫他幹活。								
煨	voi1									
會	voi5	毋～，不會。								
沃	vok7									
握	vok7									
㱿	vok7	【替字】搧打。								
□	vok7	搧打。								
霍	vok8									
鑊	vok8									
完	von2	～隻，整個。								
環	von2	～境。								
碗	von3									
豌	von3									
換	von5									
汪	voŋ1									
往	voŋ1									
王	voŋ2									
皇	voŋ2	～天								
黃	voŋ2									
簧	voŋ2									
枉	voŋ3									
妄	voŋ5									
旺	voŋ5									
烏	vu1									
汙	vu1									
嗚	vu1									
武	vu1									
侮	vu1									
鵡	vu1									
無	vu2	～聊。								
蕪	vu2									
舞	vu3									
戊	vu5									
務	vu5									
芋	vu5									
霧	vu5									
屋	vuk7									
溫	vun1									
瘟	vun1									
文	vun2									
紋	vun2									
聞	vun2									
渾	vun2									
雯	vun2									
吻	vun3									
紊	vun3									
穩	vun3									
汶	vun3									
困	vun5	～等，困住。								
溷	vun5									
鬱	vut7									
屈	vut7	腳～等，腿卡着。								
窟	vut7	～湖，挖坑。								
勿	vut8									
物	vut8									
翁	vuŋ1									
嗡	vuŋ1									
希	çi1									
犧	çi1									
酗	çi1									
虛	çi1									
稀	çi1									
攜	çi1									
墟	çi1									
熙	çi1									
稽	çi1									
兮	çi1									
嬉	çi1	兒～，兒戲。								
嘻	çi2									
許	çi3									
起	çi3									
喜	çi3									
氣	çi5									
去	çi5									
戲	çi5									
系	çi5	～統。								
棄	çi5									
汽	çi5									
器	çi5									
繫	çi5									
踦	çia1	【替字】張開；吹捧。								
□	çia1	張開；吹捧。								
協	çiak8									
匣	çiak8									
俠	çiak8									
脅	çiak8									
峽	çiak8									
軒	çian1									
掀	çian1									
玄	çian2									
賢	çian2									
弦	çian2									
懸	çian2									
舷	çian2	～邊，旁邊。								
顯	çian3									
螼	çian3	～公，蚯蚓。								
䘆	çian3	～公，蚯蚓。								
現	çian5									
炫	çian5									
憲	çian5									
絢	çian5									
獻	çian5									
血	çiat7									
歇	çiat7									
穴	çiat8									
薟	çiaŋ1	尿臊味。								
嫌	çiaŋ2									
險	çiaŋ3									
欠	çiaŋ5	開～，打哈欠。								
僥	çiei1									
囂	çiei1									
囂	çiei1	【替字】玩弄。								
□	çiei1	玩弄。								
梟	çiei1									
姣	çiei2	騷氣。								
曉	çiei3									
翹	çiei5									
興	çin1	時～。								
馨	çin1									
刑	çin2									
形	çin2									
型	çin2									
興	çin3	咹～，這麼高興。								
靴	çio1									
鄉	çioŋ1									
香	çioŋ1									
享	çioŋ3									
響	çioŋ3									
晌	çioŋ3									
向	çioŋ5									
嚮	çioŋ5									
曏	çioŋ5									
隙	çit7									
熻	çit7	悶；欺負。								
丘	çiu1									
休	çiu1									
蚯	çiu1									
邱	çiu1									
朽	çiu3									
旭	çiuk7									
畜	çiuk7									
蓄	çiuk7									
欣	çiun1									
勳	çiun1									
熏	çiun1									
訓	çiun5									
馴	çiun5	～練習。								
凶	çiuŋ1									
兇	çiuŋ1									
兄	çiuŋ1									
匈	çiuŋ1									
洶	çiuŋ1									
胸	çiuŋ1									
雄	çiuŋ2									
鱅	çiuŋ2									
你	ȵa1	～，你的。								
惹	ȵa1									
掿	ȵa3	【替字】舉起。								
□	ȵa3	舉起。								
掿	ȵa5	【替字】翹。								
□	ȵa5	翹。								
埝	ȵak7	凹陷。								
攝	ȵak7	～相，拍照。～上來，捻上來。								
癟	ȵak7									
額	ȵak7									
苶	ȵak7									
業	ȵak8									
逆	ȵak8									
年	ȵan2									
言	ȵan2									
原	ȵan2									
源	ȵan2									
顏	ȵan2									
撚	ȵan3									
眼	ȵan3									
攆	ȵan3									
碾	ȵan3									
唁	ȵan5									
諺	ȵan5									
願	ȵan5									
愿	ȵan5									
聶	ȵat7									
孽	ȵat7									
鎳	ȵat7									
月	ȵat8									
熱	ȵat8									
鳥	ȵau1	～鳴。								
堯	ȵau2									
撓	ȵau2									
尿	ȵau5									
拈	ȵaŋ1									
嚴	ȵaŋ2									
迎	ȵaŋ2									
粘	ȵaŋ2									
釅	ȵaŋ2	～茶，濃茶。								
黏	ȵaŋ2									
冉	ȵaŋ3									
染	ȵaŋ3	感～。								
念	ȵaŋ5									
染	ȵaŋ5	～色。								
驗	ȵaŋ5									
艾	ȵe5									
饒	ȵei2									
擾	ȵei3									
紐	ȵei3									
繞	ȵei3									
翹	ȵei5	【替字】翹。								
□	ȵei5	翹。								
爾	ȵi1	輕輕～，輕輕的樣子。								
語	ȵi1									
儀	ȵi2									
你	ȵi2									
宜	ȵi2									
誼	ȵi2									
隅	ȵi2									
愚	ȵi2									
癡	ȵi2									
疑	ȵi2									
嶷	ȵi2									
爾	ȵi3									
耳	ȵi3									
汝	ȵi3									
擬	ȵi3									
餌	ȵi3									
二	ȵi5									
義	ȵi5									
藝	ȵi5									
議	ȵi5									
貳	ȵi5									
遇	ȵi5									
毅	ȵi5									
鈕	ȵiei3	～穩，扣穩。								
人	ȵin2									
宜	ȵin2	便～。								
認	ȵin5									
任	ȵin5	～務。								
日	ȵit7									
入	ȵit8									
揉	ȵo1	～皺。								
虐	ȵok7									
箬	ȵok7									
蠚	ȵok7	刺癢。小網。網魚、鳥。								
若	ȵok8									
瘧	ȵok8									
弱	ȵok8									
軟	ȵon1									
娘	ȵoŋ2									
釀	ȵoŋ2	酒～。								
仰	ȵoŋ3									
樣	ȵoŋ3	～子，怎麼。								
讓	ȵoŋ5									
讓	ȵoŋ5	【替字】～皮一下食，連帶皮一起吃。								
□	ȵoŋ5	～皮一下食，連帶皮一起吃。								
樣	ȵoŋ5	～子，怎麼。								
釀	ȵoŋ5									
妞	ȵu1									
牛	ȵu2									
揉	ȵu2									
扭	ȵu3									
扭	ȵu5	～頭，轉過頭。								
肉	ȵuk7									
玉	ȵuk8									
獄	ȵuk8									
辱	ȵuk8									
褥	ȵuk8									
忍	ȵun1									
銀	ȵun2									
刃	ȵun5									
紉	ȵun5									
韌	ȵun5									
濃	ȵuŋ2	～茶。								
穠	ȵuŋ2									
讓	ȵuŋ5	【替字】～轉，縱力、鬆弛；彎回。								
□	ȵuŋ5	～轉，縱力、鬆弛；彎回。								
吳	ŋ2									
魚	ŋ2									
梧	ŋ2									
蜈	ŋ2									
女	ŋ3									
五	ŋ3									
午	ŋ3									
伍	ŋ3									
我	ŋa1	～，我的。								
牙	ŋa2									
芽	ŋa2									
崖	ŋa2									
涯	ŋa2									
衙	ŋa2									
伢	ŋa2	哦～子，嬰兒。								
瓦	ŋa3									
訝	ŋa3									
雅	ŋa3									
我	ŋai2									
䑥	ŋak7									
𥋙	ŋak7	打～，打瞌睡。								
研	ŋan1									
頑	ŋan2									
刓	ŋan2									
玩	ŋan5	～具。								
翫	ŋan5									
岸	ŋan5									
硯	ŋan5									
雁	ŋan5									
齧	ŋat7	咬								
齧	ŋat8	～穩，緊壓着。								
咬	ŋau1									
肴	ŋau2									
淆	ŋau2									
熬	ŋau2									
翱	ŋau2									
摮	ŋau2	【替字】歪。								
□	ŋau2	歪。								
傲	ŋau5									
岩	ŋaŋ1	～倒，撞到。～出，突出。								
頷	ŋaŋ1	下～，下巴。								
啱	ŋaŋ1	【替字】碰巧。對。								
岩	ŋaŋ2									
癌	ŋaŋ2									
顉	ŋaŋ3	點頭。								
硬	ŋaŋ5									
頷	ŋaŋ5	【替字】搖頭。								
偶	ŋei1									
藕	ŋei3									
我	ŋo1	～國。								
訛	ŋo2									
俄	ŋo2									
峨	ŋo2									
娥	ŋo2									
鵝	ŋo2									
蛾	ŋo2									
臥	ŋo5									
餓	ŋo5									
呆	ŋoi2									
外	ŋoi5									
礙	ŋoi5									
噩	ŋok7	咹～，這麼差。								
嶽	ŋok8									
岳	ŋok8									
鄂	ŋok8									
愕	ŋok8									
噩	ŋok8	～耗。								
鱷	ŋok8									
昂	ŋoŋ1									
戇	ŋoŋ5									
吾	ŋu2									
娛	ŋu2									
誤	ŋu5									
悟	ŋu5									
危	ŋui2									
巍	ŋui2									
偽	ŋui3									
僞	ŋui3									
魏	ŋui5									
據	ȶa1	【替字】手～～，手僵。								
□	ȶa1	手～～，手僵。								
厥	ȶa1	【替字】他的。								
佢	ȶa1	～，他的。								
階	ȶai1									
皆	ȶai1									
街	ȶai1									
解	ȶai3									
介	ȶai5									
戒	ȶai5									
芥	ȶai5									
尬	ȶai5									
屆	ȶai5									
界	ȶai5									
誡	ȶai5									
夾	ȶak7	～菜。								
劫	ȶak7									
劫	ȶak7	【替字】粗糙的澀味。								
□	ȶak7	粗糙的澀味。								
頰	ȶak7									
憿	ȶak7	快。								
夾	ȶak8	～子。								
挾	ȶak8									
奸	ȶan1									
奸	ȶan1	nen5 ～，又犟又壞、不講道理。								
姦	ȶan1									
堅	ȶan1									
間	ȶan1									
肩	ȶan1									
艱	ȶan1									
捐	ȶan1									
娟	ȶan1									
絹	ȶan1									
鵑	ȶan1									
卷	ȶan3									
捲	ȶan3									
建	ȶan3									
繭	ȶan3									
柬	ȶan3									
倦	ȶan3									
簡	ȶan3									
鹼	ȶan3	【替字】～水。								
𨣇	ȶan3	～水，鹼水。								
見	ȶan5									
澗	ȶan5									
眷	ȶan5									
揀	ȶan7									
決	ȶat7									
訣	ȶat7									
潔	ȶat7									
結	ȶat7									
揭	ȶat7									
竭	ȶat7									
蠍	ȶat7									
厥	ȶat7									
蕨	ȶat7									
羯	ȶat7									
澆	ȶau1									
餃	ȶau2									
叫	ȶau5	～喚。								
荊	ȶaŋ1									
兼	ȶaŋ1									
驚	ȶaŋ1									
尷	ȶaŋ1									
儉	ȶaŋ3									
撿	ȶaŋ3									
檢	ȶaŋ3									
頸	ȶaŋ3									
堿	ȶaŋ3									
鹼	ȶaŋ3	酸～值。								
劍	ȶaŋ5									
鹼	ȶaŋ5	滷～水。								
鏡	ȶaŋ5									
跔	ȶo1	【替字】蜷縮。								
□	ȶo1	蜷縮。								
腳	ȶok7									
钁	ȶok7	～頭，鋤頭。								
薑	ȶoŋ1									
僵	ȶoŋ1									
韁	ȶoŋ1									
疆	ȶoŋ1									
強	ȶoŋ3	～逼，強迫。								
糾	ȶu1									
九	ȶu3									
久	ȶu3									
玖	ȶu3									
韭	ȶu3									
灸	ȶu5									
究	ȶu5									
疚	ȶu5									
救	ȶu5									
逐	ȶuk7	【替字】追。								
□	ȶuk7	追。								
局	ȶuk8	～等，關住。								
軍	ȶun1									
均	ȶun1									
君	ȶun1									
鈞	ȶun1									
僅	ȶun3									
窘	ȶun3									
謹	ȶun3									
弓	ȶuŋ1									
供	ȶuŋ1	～房。								
拱	ȶuŋ1									
宮	ȶuŋ1									
恭	ȶuŋ1									
躬	ȶuŋ1									
鞏	ȶuŋ3									
拱	ȶuŋ3	背～～。								
供	ȶuŋ5	～細人子，生小孩。								
掎	ȶʰa1	【替字】抓撓。								
□	ȶʰa1	張開；抓撓。								
掎	ȶʰa2	【替字】抓舉。								
□	ȶʰa2	抓舉。								
䗁	ȶʰa2	【替字】蟧～，大蜘蛛。								
□	ȶʰa2	la2～，大蜘蛛。								
踦	ȶʰa5	【替字】跨。								
掎	ȶʰa5	【替字】抓刷。								
□	ȶʰa5	跨。								
□	ȶʰa5	抓刷。								
歉	ȶʰak									
怯	ȶʰak7									
劇	ȶʰak7									
峽	ȶʰak8									
屐	ȶʰak8									
縴	ȶʰan1									
牽	ȶʰan1									
圈	ȶʰan1									
權	ȶʰan2									
拳	ȶʰan2									
乾	ȶʰan2									
虔	ȶʰan2									
犬	ȶʰan3									
券	ȶʰan3									
遣	ȶʰan3									
譴	ȶʰan3									
勸	ȶʰan5									
件	ȶʰan5									
健	ȶʰan5									
鍵	ȶʰan5									
芡	ȶʰan5	～粉，澱粉。								
缺	ȶʰat7									
傑	ȶʰat8									
蹶	ȶʰat8	抓刨。								
僑	ȶʰau2									
輕	ȶʰaŋ1									
謙	ȶʰaŋ1									
檻	ȶʰaŋ1									
鉗	ȶʰaŋ2									
擎	ȶʰaŋ2									
黔	ȶʰaŋ2									
欠	ȶʰaŋ5									
儆	ȶʰaŋ5									
茄	ȶʰo2									
瘸	ȶʰo2									
䠩	ȶʰoi5	還～，好累。								
攰	ȶʰoi5	還～，好累。								
□	ȶʰoi5	累。								
卻	ȶʰok8									
框	ȶʰoŋ1									
眶	ȶʰoŋ1									
筐	ȶʰoŋ1									
腔	ȶʰoŋ1									
匡	ȶʰoŋ1									
羌	ȶʰoŋ1									
框	ȶʰoŋ2	【替字】～袋子，撐開袋子。								
□	ȶʰoŋ2	～袋子，撐開袋子。								
強	ȶʰoŋ2									
丘	ȶʰu1	一～田。								
舅	ȶʰu1									
囚	ȶʰu2									
求	ȶʰu2									
球	ȶʰu2									
舊	ȶʰu5									
臼	ȶʰu5									
曲	ȶʰuk7									
麴	ȶʰuk7									
菊	ȶʰuk7									
局	ȶʰuk8									
近	ȶʰun1	好～。								
菌	ȶʰun1	～子，菇子。								
芹	ȶʰun2									
瓊	ȶʰun2									
裙	ȶʰun2									
勤	ȶʰun2									
群	ȶʰun2									
近	ȶʰun5	附～。								
屈	ȶʰut7	～膝。								
倔	ȶʰut7									
掘	ȶʰut7									
崛	ȶʰut7									
窮	ȶʰuŋ2									
穹	ȶʰuŋ2									
恐	ȶʰuŋ3									
共	ȶʰuŋ5									
