例字	注释	中古音	公平	九屋	潭下	甘棠
奶		蟹开二上蟹泥	na21{指乳房}/na33{奶奶}	nɛ422{奶水}/na422{奶奶}	nai35{指乳房}/nai44{奶奶}	nai44
解	~开	蟹开二上蟹见	ka55	kuo422	ka44	ka44
矮		蟹开二上蟹影	ᴇ55	uo422	a44	ŋa44
派		蟹开二去卦滂	pʰᴇ35	pʰuo35	pʰa35	pʰa35
卖		蟹开二去卦明	mᴇ53	muo53	ma53	mua21
债		蟹开二去卦庄			15	tsai35
晒		蟹开二去卦生	ʃiᴇ35	suo35	sa35	sua35
败		蟹开二去夬並	pæ53	puo53	pa53	pua21
迈		蟹开二去夬明	mᴇ53	muo53	ma53	mua21
寨		蟹开二去夬崇	tʃiᴇ53	tsa53	tsa53	tsua21
币		蟹开三去祭並	pᴇ53	pi35{借桂}	pi53	pi21
厉		蟹开三去祭来	læ53	ni35{借桂}	ni53	ni21
际		蟹开三去祭精		tʃi35{借桂}	tʃi35{借桂}	tʃi35
制	~造	蟹开三去祭章	tsʊo55{训读}	tsɿ35	tsɿ35	tsɿ35
世		蟹开三去祭书	sᴇɪ35	ʃiᴇ35	ʃiɛ35	ʃi35
艺		蟹开三去祭疑	ȵi53	i35{借桂}	i35	i35
蓖		蟹开四平齐帮	pæ44	pi35{借桂}	pi35{借桂}	pi21
批		蟹开四平齐滂	pʰᴇɪ44	pʰi232	pʰi13	pʰi132
迷		蟹开四平齐明	mæ21	mi21{借桂}	mi33	mi5
低		蟹开四平齐端	tᴇɪ44	tɛ232	ti13	ti132
梯		蟹开四平齐透	tʰᴇɪ44	tʰɛ232	tʰiɛ13	tʰi44{变调}
提		蟹开四平齐定	tᴇɪ21	tɛ33	ti33	ti22
泥		蟹开四平齐泥	nᴇɪ21	nɛ33	niɛ33	na22
犁		蟹开四平齐来	lᴇɪ21	nɛ33	niɛ33	ni22
齐		蟹开四平齐清	tsᴇɪ21	tsɛ33	tʃiɛ33	tʃi22
西		蟹开四平齐心	sᴇɪ44	sɛ232	ʃi13	ʃi132
鸡		蟹开四平齐见	kᴇɪ44	kɛ232	tʃiɛ13	ki132
米		蟹开四上荠明	mᴇɪ33	mɛ21	miɛ21	mi44
底		蟹开四上荠端	tᴇɪ55	tɛ422	tiɛ44	ti44
体		蟹开四上荠透	tʰᴇɪ55	tʰi33	tʰi44	tʰi44
弟		蟹开四上荠定	tᴇɪ33	tɛ33{变调}	tiɛ33{变调}	ta44
礼		蟹开四上荠来	læ33	ni21	ni21	ȵi44
挤		蟹开四上荠精	tsi55	tsɛ5	tʃi44	tʃi44
洗		蟹开四上荠心	sᴇɪ55	sɛ422	ʃiɛ44	ʃi44
启		蟹开四上荠溪		tʃʰi53	tʃʰi53{借桂}	kʰi44
闭		蟹开四去霁帮	pᴇɪ35	pɛ35	pi35	pi21
鐾	~刀	蟹开四去霁並	pᴇɪ53		piɛ53	15
谜		蟹开四去霁明	mᴇɪ53	mi21{借桂}	mi35	mi21
替		蟹开四去霁透	tʰᴇɪ35	tʰi53	tʰi53	tʰi35
第		蟹开四去霁定	tᴇɪ53	tɛ53	ti53	ti21
细		蟹开四去霁心	si35	sɛ35	ʃi35	ʃi35
计		蟹开四去霁见	tʃi35{借桂}	tʃi35	tʃi35	ki35
杯		蟹合一平灰帮	pᴇɪ44	pɤᵊ232	puɯ13	pei132
胚		蟹合一平灰滂		pʰɤᵊ232	15	pʰei132
赔		蟹合一平灰並	pʊ21	pɤᵊ33	puɯ33	pei22
煤		蟹合一平灰明	mʊ21	mɤᵊ33	muɯ33	mei22
堆		蟹合一平灰端	tʊ44	tɤᵊ232	tuɯ13	tʏ132
推		蟹合一平灰透	tʰʊ44	tʰɤᵊ232	tʰuɯ13	tʰʏ132
雷		蟹合一平灰来	lʊ21	nɤᵊ33	nuɯ33	ȵʏ22
催		蟹合一平灰清	tsʰʊ44	tsʰɤᵊ232	tʃʰy13	tsʰei132
灰		蟹合一平灰晓	fʊ44	hɤᵊ232	huɯ13/fuɯ13	huei132
回		蟹合一平灰匣	u21	ɤᵊ33	uai33	uei22
倍		蟹合一上贿並	pʊ53	pɤᵊ53	puɯ53	pei21
每		蟹合一上贿明		mɤᵊ21	mei21	mei44
腿		蟹合一上贿透	ki4{训读}	tʰɤᵊ21	tʰuɯ44	kiɑu5
罪		蟹合一上贿从	tsʊ33	tsɤᵊ53	tsuɯ53	tʃʏ21
悔		蟹合一上贿晓		huᴇi53{借桂}	fei44	huei44
汇		蟹合一上贿匣		hɤᵊ53	huɯ53	huei21
辈		蟹合一去队帮	pʊ35	pɤᵊ35	puɯ35	pei21
配		蟹合一去队滂	pʰʊ35	pʰɤᵊ53	pʰuɯ53	pʰei35
背	~诵	蟹合一去队並	pʊ53	pɤᵊ53	puɯ35	pei35
妹		蟹合一去队明	mʊ53	mai35	mei35	mei35
对		蟹合一去队端	tʊ35	tiəu53	tiɑu53/tuɯ35	tʏ35
退		蟹合一去队透	tʰʊ35	tʰɤᵊ53	tʰuɯ53	tʰʏ35
队		蟹合一去队定	tʊ35	tɤᵊ35	tuɯ53	tʏ35
内		蟹合一去队泥	nʊ53	nɤᵊ53	nuɯ53	nei21
累	困乏	蟹合一去队来	lʊ21/la35	nɯ53	ny53	ȵʏ21
碎		蟹合一去队心	sʊ35	sɤᵊ35	sᵘɔ35/suɯ35	ʃʏ35
块		蟹合一去队溪	fa35	hua53	kʰua53	kʰua35
最		蟹合一去泰精	tsᴇɪ35{借桂}	tsu35{借桂}	tsuei35	tsuei35
外		蟹合一去泰疑	ʊᴇ53	mɤᵊ53	muɯ53	uai21
会	开~	蟹合一去泰匣	fʊ53	hɤᵊ53	huɯ53	huei21
怀		蟹合二平皆匣		hua33	huai21{借桂}	huai22
怪		蟹合二去怪见	kʊᴇ35	kua35	kua35	kua35
坏		蟹合二去怪匣	fᴇ53	hua53	hua53	hua21
歪		蟹合二平佳晓	ʊᴇ44	ua232	ua13	ua132
