IPA	调值	调类	Hanzi
xᴀ	212	3	哈（~巴狗）
xᴀ	24	2	虾蛤
xᴀ	32	1	哈铪
y	212	3	与予屿偻宇羽雨语龉
y	24	2	于予余妤盂鱼臾谀娱萸渔逾渝愉瑜榆虞愚舆觎
y	32	1	迂纡淤瘀
y	52	5	与玉驭芋吁郁育狱昱彧峪浴预域欲遇喻御寓愈誉熨豫
yu	212	3	汝乳辱
yu	24	2	如茹儒嚅濡孺蠕
yu	52	5	入溽褥
yei	52	5	锐瑞睿
yn	212	3	允狁陨殒
yn	32	1	晕氲
yn	52	5	闰润孕运晕酝愠韵蕴熨
yu	212	3	汝乳辱
yu	24	2	如茹儒嚅濡孺蠕
yu	52	5	入溽褥
yŋ	212	3	冗永甬咏泳勇涌恿蛹踊
yŋ	24	2	戎绒茸荣容嵘蓉溶榕融
yŋ	32	1	佣拥痈庸雍慵壅臃
yŋ	52	5	用佣
yə	52	5	若偌弱
yɛ	32	1	曰约
yɛ	52	5	月乐岳阅悦跃越粤
yɛn	212	3	软远
yɛn	24	2	元园员原圆援缘猿源辕
yɛn	32	1	鸢鸳冤深箢
yɛn	52	5	苑怨院愿
ȵi	212	3	拟你
ȵi	24	2	尼呢泥霓
ȵi	32	1	妮
ȵi	52	5	昵逆匿腻溺
ȵin	24	2	您
ȵiŋ	212	3	拧
ȵiŋ	24	2	宁拧柠凝
ȵiŋ	52	5	宁佞
ȵiɑŋ	24	2	娘
ȵiɑŋ	52	5	酿
ȵiɔ	52	5	尿
ȵiəu	212	3	扭忸纽
ȵiəu	24	2	牛
ȵiəu	52	5	拗
ȵiɛ	32	1	捏
ȵiɛ	52	5	涅嗫镊镍蹑孽
ȵiɛn	212	3	捻碾
ȵiɛn	24	2	年粘鲶黏
ȵiɛn	32	1	拈蔫
ȵiɛn	52	5	念
ȵy	212	3	女
ɕi	212	3	洗玺徙喜屣
ɕi	24	2	习席袭媳檄
ɕi	32	1	夕兮西吸希昔析茜栖牺息奚悉淅惜晰稀犀锡溪熙熄嘻膝熹蹊蟋
ɕi	52	5	戏系细隙
ɕiaŋ	212	3	享响饷想
ɕiaŋ	24	2	详降祥翔
ɕiaŋ	32	1	乡相厢湘箱襄镶
ɕiaŋ	52	5	向项巷相象像橡
ɕin	32	1	心芯辛欣锌新忻歆薪馨鑫
ɕin	52	5	信
ɕiŋ	212	3	省醒
ɕiŋ	24	2	刑邢行形型钘
ɕiŋ	32	1	兴星猩惺腥
ɕiŋ	52	5	兴杏幸性姓悻
ɕiɔ	212	3	小晓
ɕiɔ	32	1	枭削骁逍消宵萧硝销箫霄嚣
ɕiəu	212	3	朽宿
ɕiəu	32	1	休咻修脩羞
ɕiəu	52	5	秀岫嗅袖绣宿锈
ɕiɛ	212	3	写血
ɕiɛ	24	2	协邪胁挟偕斜谐携鞋
ɕiɛ	32	1	些楔歇蝎
ɕiɛ	52	5	泄泻卸屑械亵谢解邂懈蟹
ɕiɛn	212	3	显险猃藓
ɕiɛn	32	1	仙先纤籼掀鲜闲贤弦咸涎娴衔嫌
ɕiɛn	52	5	苋县现限线宪陷馅羡献腺
ɕiᴀ	24	2	匣侠峡狭遐瑕暇辖霞黠
ɕiᴀ	32	1	虾瞎
ɕiᴀ	52	5	下吓夏
ɕy	212	3	许栩
ɕy	24	2	徐
ɕy	32	1	吁须虚需
ɕy	52	5	旭序叙恤畜酗绪续絮蓄
ɕyuŋ	24	2	雄熊
ɕyuŋ	32	1	凶兄匈汹胸
ɕyɛ	212	3	雪鳕
ɕyɛ	24	2	穴学噱
ɕyɛ	32	1	削靴薛
ɕyɛ	52	5	血谑
ɕyɛn	212	3	选癣
ɕyɛn	24	2	旬寻巡询荨循
ɕyɛn	32	1	轩宣萱喧煊勋熏薰
ɕyɛn	52	5	炫绚旋渲训讯汛迅驯徇逊殉
ɚ	212	3	尔耳饵迩
ɚ	24	2	儿而
ɚ	52	5	二贰
ɻi	52	5	日
ʃan	212	3	闪陕
ʃan	52	5	讪汕苫疝扇善禅擅膳嬗鳝
ʃu	212	3	暑黍属署鼠数薯曙
ʃu	24	2	孰赎塾熟
ʃu	32	1	书抒枢叔殊梳淑舒
ʃu	52	5	术束树竖恕庶数
ʃuan	32	1	闩拴栓
ʃuan	52	5	涮
ʃuei	212	3	水
ʃuei	24	2	谁
ʃuei	52	5	说税睡
ʃuæ	212	3	甩
ʃuæ	32	1	衰摔
ʃuɑŋ	212	3	爽
ʃuɑŋ	32	1	双霜孀
ʃuə	52	5	妁烁铄朔硕数
ʃuən	212	3	吮
ʃuən	52	5	顺舜瞬
ʃuᴀ	212	3	耍
ʃuᴀ	32	1	刷唰（~白）
ʃæ	212	3	色
ʃæ	32	1	筛
ʃæ	52	5	晒
ʃɑŋ	212	3	上晌赏
ʃɑŋ	32	1	伤汤殇商
ʃɑŋ	52	5	上尚
ʃɔ	212	3	少
ʃɔ	24	2	勺芍苕韶
ʃɔ	32	1	捎烧稍
ʃɔ	52	5	少召邵绍捎哨潲
ʃə	212	3	舍
ʃə	24	2	舌折佘蛇
ʃə	32	1	奢赊
ʃə	52	5	设社舍拾射涉赦摄慑麝
ʃən	212	3	沈审哂婶
ʃən	24	2	什神
ʃən	32	1	申伸身绅莘深娠
ʃən	52	5	肾甚蜃慎
ʃəu	212	3	手守首
ʃəu	24	2	熟
ʃəu	32	1	收
ʃəu	52	5	寿受狩授售兽瘦
ʃəŋ	212	3	省
ʃəŋ	32	1	升生声牲甥
ʃəŋ	52	5	圣胜乘盛剩
ʃʅ	212	3	史矢使始驶屎
ʃʅ	24	2	十什石时识实拾食
ʃʅ	32	1	尸失师诗虱狮施湿
ʃʅ	52	5	士氏世市式似势事饰试视柿是适室逝
ʃᴀ	212	3	傻
ʃᴀ	24	2	啥
ʃᴀ	32	1	杀沙纱刹砂莎铩煞鲨
ʃᴀ	52	5	厦歃煞霎
ʋan	24	2	丸纨完玩顽
ʋan	32	1	弯剜湾蜿豌
ʋan	52	5	万腕
