漢字	iPA	注釋
伯	pɛʔ7	
迫	pɛk7	
拍	pʰaʔ7	
珀	pʰɛk7	
魄	pʰɛk7	
魄	tʰɔʔ7	又
白	pɛʔ8	
帛	pɛʔ8	
陌	mɛk8	
拆	tʰiaʔ7	
擇	tɔʔ8	
澤	tsɛk8	
宅	tʰɛʔ8	
窄	tsa5	
格	kɛʔ7	
客	kʰɛʔ7	
客	kʰaʔ7	又
咳	ka1	
額	hiaʔ8	
赫	hɛʔ7	
麥	bɛʔ8	
脈	mɛʔ8	
摘	tiaʔ7	
責	tsɛʔ7	
策	tsʰɛʔ7	
冊	tsʰɛʔ7	
柵	tsaʔ8	
柵	saŋ1	又
革	kɛk7	
隔	kɛʔ7	
核	huk8	俗
核	hɛk7	文
厄	ɛʔ7	
扼	ɛʔ7	
軛	ɛʔ7	
碧	pʰɛk7	
戟	kɛk7	
隙	kʰiaʔ7	
劇	kiaʔ8	
屐	kiaʔ8	
逆	ŋɛk8	
璧	piaʔ7	
僻	pʰiaʔ8	
辟	pʰɛk7	
積	tsɛʔ7	
積	tsɛk7	文，~惡
跡	tsiaʔ7	
脊	tsiaʔ7	
脊	tsik7	文
籍	tsia4	
藉	tsiaʔ4	
昔	sɛk7	
惜	siɔʔ7	
席	tsʰiɔʔ8	
席	siaʔ8	又，酒~
夕	sɛk7	
擲	sɛk7	
只	tsiaʔ7	
炙	tsʰiaʔ7	
赤	tsʰiaʔ7	
斥	tsʰɛk7	
尺	tsʰiɔʔ7	
射	iaʔ7	通“斁”
適	sɛk7	
釋	sɛk7	
石	tsiɔʔ8	
碩	sɛk7	
益	iaʔ7	
亦	ia6	訓“也”
亦	ɛk8	
譯	ɛk8	
易	iaʔ8	白，~經
易	ɛk8	
液	ɛk8	
腋	ɛk8	
壁	piaʔ7	
霹	pʰɛk7	
劈	pʰɛk7	
劈	pʰɔʔ7	又
覓	mɛk8	
滴	tiʔ7	
嫡	tiaʔ7	白
嫡	tɛk8	
的	tɛk8	
的	ti1	文
踢	tʰak7	
踢	nɛk7	俗
踢	tʰɛk7	文
剔	tʰak7	
剔	tʰɛk7	文
狄	tɛk8	
笛	tɛk8	
敵	tɛk8	
糴	tiaʔ7	
溺	nɛk8	
曆	lɛʔ8	
歷	lɛʔ8	
績	tsɛʔ7	
戚	tsʰɛk7	
寂	sɔk7	
錫	siaʔ7	
析	sɛk7	
擊	kʰɛk7	
激	kɛk7	
喫	ŋɛk7	
喫	ŋiak7	又
礦	kʰuaŋ5	
橫	huɛ ̃2	
轟	hɔŋ1	
宏	hɔŋ2	
兄	hia ̃1	
榮	iɔŋ2	
永	iɔŋ3	
泳	iɔŋ5	
詠	iɔŋ5	
傾	kʰuaŋ1	
頃	kʰuaŋ3	
瓊	kʰuaŋ2	
營	ia ̃2	
塋	ɛŋ2	
穎	tʰɛŋ3	
螢	iɔŋ2	
迥	kuaŋ3	
虢	kʰiak7	
獲	uak8	
劃	uɛʔ8	
役	hiaʔ8	
疫	mɔk8	俗
疫	ɛk8	
篷	pʰaŋ2	
篷	pʰɔŋ2	
蓬	pʰɔŋ2	
蓬	pɔu2	莲蓬
蒙	mɔu2	
懵	mɔu3	
東	taŋ1	
東	tɔŋ1	文
董	taŋ3	白，姓氏
董	tɔŋ3	
懂	tɔŋ3	
棟	tɔŋ5	
凍	taŋ5	白，結~
凍	tɔŋ5	
通	tʰaŋ1	白
通	tʰaŋ5	又
通	tʰɔŋ1	
桶	tʰaŋ3	
捅	tʰəŋ3	白
捅	tʰɔŋ3	
痛	tʰia ̃5	
痛	tʰɔŋ5	
同	taŋ2	
同	tʰɔŋ2	
銅	taŋ2	
桐	tʰɔŋ2	
筒	taŋ2	
筒	taŋ4	俗
童	tʰɔŋ2	
瞳	tʰɔŋ2	
動	taŋ4	
動	tʰaŋ4	又
動	tɔŋ4	文
洞	taŋ6	
洞	tʰɔŋ2	又文，~庭湖
洞	tɔŋ6	文
籠	laŋ2	
籠	naŋ2	灯～
籠	lɔŋ3	又，~統
聾	laŋ6	
攏	lɔŋ3	
弄	lɔŋ4	
棕	tsaŋ1	
鬃	tsaŋ1	
總	tsɔŋ3	
粽	tsaŋ5	
聰	tsʰɔŋ1	
匆	tsʰɔŋ1	
蔥	tsʰɔŋ1	
囪	tsʰɔŋ1	
叢	tsaŋ2	
送	saŋ5	
公	kɔŋ1	
工	kaŋ1	
工	kʰaŋ1	俗，~課
功	kɔŋ1	
攻	kɔŋ1	
貢	kɔŋ5	
空	kʰaŋ1	
空	kʰɔŋ1	文
孔	kʰɔŋ3	
控	kʰɔŋ5	
烘	hɔŋ1	
烘	hɔŋ2	又
哄	hɔŋ1	
哄	hɔŋ3	又
哄	hɔŋ5	又
紅	aŋ2	
紅	kaŋ1	又，女~
紅	hɔŋ2	文
洪	aŋ2	
洪	hɔŋ2	文
鴻	hɔŋ2	
虹	kʰɛŋ4	俗
虹	hɔŋ2	
汞	kɔŋ5	
閧	hɔŋ5	
翁	aŋ1	白，丈夫
翁	ɛŋ1	又白，姓氏
翁	ɔŋ1	
甕	aŋ5	
冬	taŋ1	
統	tʰɔŋ3	
農	lɔŋ2	又
膿	laŋ2	
膿	lɔŋ2	文
宗	tsɔŋ1	
松	saŋ1	
松	sɔŋ1	文
宋	sɔŋ5	
風	huaŋ1	
風	hɔŋ1	文
瘋	hɔŋ1	
諷	hɔŋ5	
豐	hɔŋ1	
馮	paŋ2	
鳳	hɔŋ4	
夢	maŋ6	
隆	lɔŋ2	
嵩	sɔŋ1	
中	taŋ1	
中	tɔŋ1	文
忠	tɔŋ1	
中	tɛŋ5	
中	tɔŋ5	文
蟲	tʰaŋ2	
仲	tɔŋ4	
崇	tsʰɔŋ2	
終	tsɔŋ1	
眾	tsɛŋ5	
充	tsʰɔŋ1	
銃	tsʰɛŋ5	
絨	dzɔŋ2	
戎	dzɔŋ2	
弓	kɛŋ1	
躬	kiɔŋ1	
宮	kɛŋ1	
穹	kiɔŋ1	俗
穹	kʰiɔŋ2	
窮	kʰiɔu1	訓
窮	kʰiɔŋ2	
熊	hiŋ2	
雄	hiɔŋ2	
融	iɔŋ2	
封	hɔŋ1	
峰	hɔŋ1	
蜂	pʰaŋ1	
鋒	hɔŋ1	
捧	pʰɔŋ3	
逢	pʰɔŋ2	白
逢	hɔŋ2	
縫	pʰɔŋ2	白
縫	hɔŋ2	文
奉	hɔŋ4	
俸	hɔŋ4	
縫	pʰaŋ6	
濃	lɔŋ2	
龍	lɛŋ2	
隴	lɛŋ3	
壟	lɔŋ3	
蹤	tsɔŋ1	
縱	tsɔŋ5	
從	tsʰɔŋ2	
慫	sɔŋ3	
松	sɔŋ2	
誦	sɔŋ4	
頌	sɔŋ4	
訟	sɔŋ4	
塚	tʰɔŋ3	
寵	tsʰɔŋ3	
重	tɛŋ2	
重	taŋ4	
重	tɔŋ4	又文
鐘	tsɛŋ1	
盅	tsɛŋ1	
種	tsɛŋ3	
腫	tsɛŋ3	
種	tsɛŋ5	
沖	tsʰɔŋ1	
舂	tsɛŋ1	
茸	dzɔŋ2	
冗	dzɔŋ3	
恭	kiɔŋ1	
供	kɛŋ1	
拱	kiɔŋ3	
鞏	kʰiɔŋ3	
恐	kʰiɔŋ3	
共	kaŋ6	
胸	hɛŋ1	
凶	hiɔŋ1	
雍	iɔŋ1	
擁	ɔŋ4	俗
擁	iɔŋ5	
擁	iɔŋ1	又
容	iɔŋ2	
熔	iɔŋ2	
庸	iɔŋ1	
甬	iɔŋ3	
勇	iɔŋ3	
湧	tsʰɔŋ1	又
湧	ɛŋ3	
湧	iɔŋ3	文
用	ɛŋ6	
蔔	pɔk7	
蔔	pɔk8	
撲	pʰɔk7	
僕	pʰɔk7	
僕	pɔk8	
曝	pʰak8	
曝	pau4	又，~光
瀑	pʰak8	
木	bak8	
沐	mɔk8	
禿	tʰuk7	
禿	tʰɛk7	
禿	tʰɔk7	
獨	tɔk8	
讀	tʰak8	
讀	tau6	
牘	tɔk8	
鹿	tɛk8	
漉	lɔk7	
祿	lɔk8	
族	tsɔk8	
速	sɔk7	
穀	kɔk7	
哭	kʰau5	俗
哭	kʰɔk7	
斛	hɔk8	
屋	ɔk7	
篤	tɔk7	
督	tɔk7	
毒	tak8	
酷	kʰɔk7	
沃	ak7	
沃	ɔk7	文
福	hɔk7	
幅	pak7	
蝠	hɔk7	
複	hɔk7	
複	hɔk8	又
腹	pak7	
覆	hɔk8	
服	hɔk8	
伏	hɔk8	
袱	hɔk8	
目	mak8	
目	mɔk8	文
穆	mɔk8	
牧	mɔk8	
六	lak8	
陸	lɛk8	
陸	lɔk8	文，海~豐
戮	lɔk8	
肅	sɔk7	
夙	sɔk7	
宿	suaʔ7	
竹	tɛk7	
築	tɔk7	
畜	tʰiɔk7	
逐	tɔk8	
軸	tɛk8	
縮	sɔk7	
祝	tsɔk7	
粥	tsɔk8	
叔	tsɛk7	
叔	sɔk7	文，李~同
熟	sɛk8	
淑	sɔk7	
肉	nɛk8	
肉	baʔ7	訓
菊	kɛk7	
畜	tʰiɔk7	
蓄	tʰiɔk7	
鬱	hiɔk7	
鬱	uk7	
育	iɔk8	
綠	lɛk8	
錄	lɔk8	
足	tsɔk7	
促	tsʰɔk7	
粟	tsʰɛk7	
俗	sɔk8	
續	sɔk8	
燭	tsɛk7	
囑	tsɔk7	
觸	tsʰɔk7	
贖	sɔk8	
束	sɔk7	
蜀	tsuak8	
屬	sɔk8	
辱	dzɔk8	
褥	dzɔk8	
鋦	kɛk8	
鞠	kiɔk7	
曲	kʰɛk7	
曲	kʰiɔk7	文
局	kɛk8	
玉	gɛk8	
獄	gɛk8	
旭	hiɔk7	
浴	ɛk8	
欲	ai ̃5	俗，訓“愛”
欲	iɔk8	
卜	pɔk7	
匕	pi5	
几	ki3	
干	kaŋ1	
榦	kaŋ1	
于	i1	
個	kɔ4	
個	kai2	俗
箇	kɔ4	
麽	mɔʔ7	
尸	si1	
丰	hɔŋ1	
匃	kai5	
匄	kai5	
紥	tsak7	
扎	tsak7	
歹	tai3	
歹	pʰai3	俗
昇	sɛŋ1	
仆	pɔk8	
讐	tsʰiu5	
兇	hiɔŋ1	
亢	kʰaŋ5	
予	ə3	
扑	pʰɔk7	
扒	pɛ2	
夯	haŋ1	
卡	kʰa3	
佔	tsiaŋ5	
凸	tuk8	
叮	tɛŋ1	
衹	tsi3	
隻	tsiaʔ7	
叭	pa1	
嘰	ki1	
叼	tiɔu1	
嘆	taŋ5	
凹	au1	
們	muŋ2	
仔	kia ̃3	训读
甩		
册	tsʰɛʔ7	
彙	huɛ4	
它	tʰa1	
齣	tsʰuk7	
嬭	nɛ1	俗
台	tʰai2	
檯	tʰai2	
颱	tʰai2	
颱	tʰai1	俗读
釦	kʰau5	
託	tʰɔʔ7	
圾	kik7	
朴	pʰɔʔ7	
朴	pʰiɔu2	
樸	pʰɔk7	
机	ki1	
頁	hiɔʔ8	訓，本字“葉”
夸	kʰua1	
划	ua2	
吁	ɔ1	
麯	kʰak7	
麴	kʰak7	
衕	tʰɔŋ2	
弔	tiɔu5	
吃	ŋək7	
嗎	mɛ1	
吆	iɔu1	
嶼	sə2	
屹	ŋək7	
硃	tsu1	
丢	tiu1	
迄	ŋək7	
乒	piŋ1	
乓	pɔŋ2	
倣	huaŋ3	
伙	huɛ3	
僞	ŋui4	
嚮	hiaŋ5	
曏	hiaŋ3	
匈	hiɔŋ1	
衝	tsʰɔŋ1	
妝	tsəŋ1	
産	sua ̃3	
闖	tsʰuaŋ3	
幷	pɛg4	
污	u1	
汛	sɛŋ5	
那	na3	
弛	tsʰi2	
她	tʰa1	
馴	suŋ5	
紉	dziŋ3	
玖	kiu2	
瑪	ma3	
韌	dzuŋ6	
撦	tsʰɛ3	
壩	pa5	
掄	luŋ2	
坊	huaŋ3	
殻	kʰak7	
誌	tsi5	
抒	ə3	
芙	pʰu2	
蕪	bu2	
蘆	lɔu2	
芯	siŋ1	
杠	kaŋ5	
肖	siɔu4	
肖	siɔ ̃5	
盯	tɛŋ1	
助	tsɔ5	
吱	ki1	
呀	ia1	
噸	tuŋ1	
呐	nak8	
吩	huŋ1	
嗚	u1	
吭	haŋ2	
吧	pa1	
吮	tsəŋ4	替
嶇	kʰu1	
佑	iu4	
傭	iɔŋ1	
囱	tsʰɔŋ1	
返	huaŋ3	
谷	kɔk7	
甸	tiaŋ4	
狽	puɛ4	
删	saŋ1	
彤	tʰɔŋ2	
繫	ki5	
繫	hi4	
療	liɔu5	
這	tsɛ3	
竈	tsau5	
灼	tsiak7	
汰	tʰai5	
瀝	lɛk8	
洶	hiɔŋ1	
滄	tsʰaŋ1	
沈	tiŋ2	
沁	tsʰiŋ5	
忱	taŋ1	
啓	kʰi3	
靑	tsʰɛ ̃1	
坷	kʰɔ1	
拓	tʰak7	
搨	tʰak7	
坪	pʰia ̃2	
拄	tu3	
垃	naʔ7	
拌	pua ̃4	
擰	lɛŋ2	
擡	tʰai2	
茉	muak8	
蘋	pʰɛŋ2	
苑	uaŋ3	
苞	pau1	
茁	tsuak8	
匱	kʰui4	
闆	paŋ1	
鬆	sɔŋ1	
楓	paŋ1	
厠	tsʰɛ5	
歧	tsi ̃1	
尙	siaŋ4	
崐	kʰuŋ1	
哎	hai ̃6	
咕	ku4	
呵	hɔ1	
嚨	lɛŋ2	
迪	tɛk8	
呻	sɛŋ1	
咋	tsɔ5	
咐	hu5	
咄	tuaʔ7	
咖	kia1	
幟	tsi5	
帕	pʰɛ5	
貯	tiu3	
製	tsi5	
氛	huŋ1	
颳	kuaʔ7	
岳	ŋak8	
僥	hiɔu1	
姪	tiak8	
僑	kʰiɔu2	
珮	puɛ4	
捨	sia5	
刹	sak8	
刹	suaʔ7	又
骯	aŋ1	
獰	lɛŋ2	
疙	ŋiak7	
疚	kiu4	
劑	tsi5	
凈	tsɛŋ4	
氓	maŋ2	
炬	kə4	
沽	kɔu1	
霑	tsiaŋ1	
沮	tsu3	
濘	lɛŋ2	
怔	tsɛŋ1	
衫	sa ̃1	
屉	tʰuaʔ7	
弧	hu2	
妮	ni2	
姆	m3	
迢	tʰiɔu2	
叁	sa ̃1	
綫	sua ̃5	
紳	sɛŋ1	
繹	ɛk8	
玷	tiaŋ1	
玲	lɛŋ5	
拭	tsʰɛk7	
挂	kʰua5	
拷	kʰau3	
挎	kʰua1	
攩	taŋ3	
拽	tsʰuaʔ7	
哉	tsai1	
垛	tɔ2	
掙	tsɛ ̃1	
荆	kɛŋ1	
茬	tsʰa2	
茵	ɛŋ1	
熒	iɔŋ2	
藥	iɔʔ8	
柿	sai4	
檸	lɛŋ2	
硏	ŋɔi3	
釐	li2	
砂	sua1	
泵	pɔŋ2	
竪	su4	
盹	tuŋ1	
哇	ua1	
咧	liʔ8	
趴	pʰak7	
螞	ma3	
嚥	iak7	
駡	mɛ5	
嘩	hua1	
咱	naŋ3	訓
哈	haʔ7	
哆	tɔ1	
齩	ka4	
咪	mi1	
哪	na3	
喲	iɔ1	
鈣	kai5	
鍾	tsɛŋ1	
鈉	nak8	
鈎	kau1	
鈕	niu3	
氊	tsaŋ1	
氫	kʰɛŋ1	
怎	tsɔ5	
怎	tsa3	
復	hɔk7	
倆	liaŋ3	
俐	li6	
徊	huai2	
衍	iaŋ4	
敍	su4	
朧	lɔŋ2	
猙	tsɛŋ1	
狠	həŋ3	
巒	luaŋ2	
奬	tsiaŋ5	
迹	tsiaʔ7	
閥	huak8	
姜	kiaŋ1	
籽	tsi3	
婁	lu2	
爍	iak7	
炰	pu2	
炫	hiaŋ5	
洼	ua1	
柒	tsʰɛk7	
瀏	lau2	
恆	hɛŋ2	
恬	tʰiaŋ2	
竊	kʰiɔu1	训
誡	kai5	
誨	huɛ5	
説	suɛʔ7	
旣	ki5	
屛	pʰɛŋ2	
姥	bɔu3	
姥	lau4	
姥	ma3	
娜	nɔ2	
絢	suŋ5	
絶	tsɔʔ8	
耘	uŋ2	
耙	pɛ2	
埂	kɛ ̃3	
捂	u5	
赶	kua ̃3	
捍	haŋ3	
捌	pɔiʔ7	
撿	kiaŋ3	
挫	tsʰɔ2	
摯	tsi5	
搗	tau3	
捱	ŋai2	
萊	lai2	
莉	li4	
瑩	iɔŋ2	
眞	tsɛŋ1	
框	kʰuaŋ1	
梆	paŋ1	
桔	kiak7	
栖	tsʰi1	
檔	taŋ5	
樺	hua2	
栓	tsʰua ̃5	
慄	lɛk8	
砸	tsak8	
砰	pʰɔŋ6	
礫	lɛʔ7	
礎	tsʰɔ3	
破	pʰua5	
緻	ti5	
哮	hau1	
晃	huaŋ3	
哺	pɔu6	
晌	hiaŋ3	
畔	pɔi ̃2	训
畔	puɛ ̃2	又，郊～埕
畔	pʰuaŋ5	
蚣	kaŋ1	
蚪	kʰuɛ1	
蚓	uŋ3	
哨	sau5	
哩	li1	
圃	pʰɔu3	
哦	ɔ4	
鴦	iɔ ̃1	
唁	ŋaŋ5	
哼	həŋ1	
喞	tsɛk7	
啊	a1	
峭	tsʰiɔu5	
峨	ŋɔ2	
峻	tsuŋ5	
贜	tsəŋ1	
鉀	kak7	
氧	iaŋ3	
氨	aŋ1	
笋	suŋ2	
値	tɛk8	
倚	ua3	
俺	naŋ3	训
艙	tsʰəŋ	
拏	nɔ5	
聳	sɔŋ3	
胰	i2	
鴕	tʰɔʔ8	
畱	liu2	
鴛	uaŋ1	
凌	lɛŋ2	
凄	tsʰi1	
衷	tsʰɔŋ1	
準	tsuŋ3	
癥	tsʰɛŋ5	
紊	buŋ3	
甁	pʰɛŋ2	
兼	kiaŋ1	
烟	ɛŋ1	
菸	huŋ1	訓，本字“薰”
澇	lau5	
渦	ɔ1	
塗	tʰɔu2	
渙	huaŋ5	
滌	tɛk8	
澗	kaŋ1	
涌	iɔŋ3	
悖	puɛ4	
悍	haŋ1	
寛	kʰuaŋ1	
誹	hui3	
祟	sui5	
娟	kiaŋ1	
娥	ŋɔ2	
駿	tsuŋ5	
琅	laŋ2	
捶	tui2	
捻	niaŋ5	
摻	tsʰaŋ1	
聆	lɛŋ2	
蔆	lɛŋ2	
蘿	lɔ2	
萎	ui3	
萍	pʰiɔ2	训
萍	pʰɛŋ2	
菠	pɔ1	
菠	puɛ1	
菇	kɔu1	
梗	kɛ ̃3	
醖	uŋ5	
酗	hu5	
硅	kui1	
顱	lu2	
眶	kʰuaŋ1	
眯	mi1	
眯	bi2	
啪	pʰaʔ7	
啦	la1	
曼	buaŋ4	
啡	hui1	
啃	kʰɛŋ2	
蚯	kʰiu1	
蚯	kau4	训
蛀	tsu5	
唬	hɔu ̃3	
啤	pi2	
啥	sa4	
崎	kʰi1	
嶄	tsaŋ3	
邏	lɔ2	
崛	kuk8	
銬	kʰau5	
鋁	lə4	
秸	kiak7	
犂	lɔi2	
偎	ui5	
您	lə6	训
軀	kʰu1	
衅	hiaŋ5	
徘	pʰai2	
舶	pɔʔ8	
够	kau5	
凰	huaŋ2	
猖	tsʰiaŋ1	
餡	a ̃6	
凑	tsɔu5	
痒	tsiɔ ̃4	
闡	siaŋ2	
羚	lɛŋ2	
翦	tsiaŋ3	
焊	haŋ3	
淌	tʰaŋ3	
淘	tʰau2	
淳	suŋ2	
澱	tiaŋ4	
涵	haŋ2	
悼	tau5	
惕	tʰɛk7	
惟	dzui2	
惦	tiaŋ6	
惋	uaŋ3	
窑	iɔ2	
逮	tai4	
尉	uɛ6	
隋	sui2	
隅	ŋɔ2	
綳	paŋ1	
綜	tsɔŋ1	
琳	liŋ2	
斑	paŋ1	
斑	paŋ1	
揍	tsʰɔu5	
擱	kɔ1	
壹	ɛk7	
搔	sau1	
葫	hɔu2	
葡	pʰu2	
葱	tsʰaŋ1	
蔕	tiʔ7	
棱	lɛŋ2	
椎	tsui1	
棉	miaŋ2	
棉	mi2	
棺	kua ̃1	
榔	nɔ2	槟榔
橢	tʰɔ1	
厦	hɛ6	
厦	ɛ4	厦门
确	kʰak7	
頰	kiak7	
靂	lɛk8	
翹	kʰiɔu5	
敞	tsʰiaŋ3	
棠	tʰaŋ2	
晴	tsɛ ̃2	
睞	lai5	
晰	sɛk7	
喳	tsa1	
喇	la1	
遏	hak7	
晾	nɛ2	
疇	tʰiu2	
蜒	iaŋ2	
鵑	kiaŋ1	
餧	ui4	
喩	dzu4	
鏈	liaŋ5	
銹	siu5	
鋅	sɛŋ1	
掰	pɛh7	
氮	ta ̃4	
賸	sɛŋ6	
箏	tsɛŋ1	
皓	hau2	
粤	uak8	
御	gə	
猩	sɛŋ1	
猬	ui3	
憊	pi4	
饋	kʰui4	
斌	piŋ1	
痘	tau6	
瘓	huaŋ5	
翔	siaŋ2	
湘	siaŋ1	
渤	puak8	
温	uŋ1	
湃	pʰai5	
渝	dzu2	
渲	suaŋ1	
漑	kʰai5	
愕	ŋɔʔ8	
愣	lɛŋ2	
惶	huaŋ2	
謡	iɔu2	
締	ti5	
瑙	nau3	
塡	tʰiaŋ2	
搏	pʰak7	
鞾	hia1	
靶	pɛ3	
蓉	iɔŋ2	
楡	dzu2	
楡	tiu2	俗
槪	kʰai5	
碘	tiaŋ3	
碰	pʰɔŋ5	
碌	lɔk8	
輻	pak7	
齡	lɛŋ2	
鑑	kaŋ5	
睹	tu3	
睦	mɔk8	
瞄	miɔu2	
睫	tsiak8	
嗦	sɔ1	
畸	kʰi1	
蹺	kʰiɔu1	
跺	tɔ2	
跤	kau1	
蜈	gɔu2	
蜈	gɛ2	
蛻	tɔ5	
嗡	ɔŋ1	
幌	huaŋ3	
錨	mau2	
錳	mɛŋ3	
毁	hui3	
癒	dzu3	
遙	iɔu2	
腺	sua ̃2	
鵬	pʰɔŋ2	
猿	uaŋ2	
煞	suaʔ7	
饃	mɔ2	
餾	liu2	
靖	tsɛŋ4	
煤	buɛ2	
煌	huaŋ2	
漠	mɛk8	
滇	tiaŋ1	
灕	li2	
溢	ɛk8	
溯	suak7	
濱	piŋ1	
溶	iɔŋ2	
愼	siŋ3	
塞	sak7	
褂	kua5	
嫉	tsik8	
繽	piŋ1	
勦	tsʰau1	
墻	tsʰiɔ ̃2	
摧	tsʰui1	
摹	mɔ2	
蔓	buaŋ1	
蔑	mɛk8	
衊	mak7	
蔚	uɛ5	
檻	kʰaŋ3	
橊	liu2	
榕	iɔŋ2	
碟	tiak8	
碟	tiʔ8	
鹼	kiaŋ3	
碳	tʰua ̃5	
瞅	tsʰiu1	
踊	iɔŋ5	
蜘	ti1	
嘛	ma6	
嘀	tɛk8	
箕	ki1	
輿	ə2	
僚	liɔu2	
魅	mi4	
膊	pʰak7	
膀	paŋ3	肩～
膀	pʰaŋ2	～胱
孵	pu2	
瘩	tak7	
彰	tsiaŋ1	
鎔	iɔŋ2	
煽	siaŋ1	
瀟	siɔu1	
漾	iaŋ4	
褐	hak7	
撬	kiɔu4	
蕉	tsiɔ1	
蘊	uŋ5	
槽	tsʰau2	
橡	tsʰiɔ ̃4	
磊	lui3	
磅	pɔŋ6	
霉	buɛ2	
嘶	sə1	
嘲	tsʰiɔu2	
嘹	liɔu2	
踩	tsʰai3	
蝴	hu5	
蝎	hiak7	
蝌	kuɛ1	
嘿	hɛʔ7	
幢	tɔŋ2	
鎬	kɔ3	
殭	kiaŋ1	
艘	sɔu1	
膛	tʰaŋ2	
癟	piʔ7	
癅	liu2	
癱	tʰua ̃1	
凛	liŋ3	
糊	kɔu2	
澎	pʰɛ ̃2	
鯊	sua1	
澳	ɔ5	
澈	tʰiak7	
瀾	laŋ2	
憔	tsiɔu2	
翩	pʰiaŋ1	
譴	kʰiaŋ3	
憨	haŋ1	
繚	liɔu2	
攂	lui3	
蕾	lui3	
噩	ŋak8	
櫥	tu2	
蹂	dziu2	
螃	pʰaŋ2	
噪	tsau5	
黔	kʰiaŋ2	
癮	əŋ3	
糙	tsʰɔ5	
瀕	piŋ1	
窿	lɔŋ2	
繮	kiaŋ1	
檬	mɔu2	
檐	siaŋ2	
檐	tsi ̃2	
礁	tsiɔu1	
瞭	liɔu2	
矚	tsu5	
曙	su3	
蹋	tʰak7	
蹈	tau4	
蟋	tɛk7	
嚎	hau2	
簧	huaŋ2	
簇	tsʰɔk7	
朦	mɔu2	
鰐	ŋak8	
癌	ŋaŋ2	
燥	tsʰau5	
懦	nɔ5	
蹦	paŋ1	
孼	ŋiak8	
蘑	mua2	
藻	tsʰau5	
蹭	tsʰɛŋ5	
蹬	tɛŋ1	
巓	tiaŋ1	
鬢	pɛŋ5	
蠕	dzu2	
躪	lɛŋ5	
黯	aŋ5	
贛	kaŋ5	
矗	tsʰɔk7	
乂	ŋi4	
乜	miʔ7	训读
兀	uk7	
幺	iɔu1	
亓	kʰi2	
韋	ui3	
廿	dziak8	
廿	dziʔ8	
丏	miaŋ3	
仄	tsɛʔ7	
仃	tɛŋ1	
仉	tsiɔ ̃3	
仂	lɛk8	
爻	ŋau2	
卞	piaŋ4	
夬	kuai5	
爿	pɔi ̃2	
邗	haŋ2	
邛	kʰiɔŋ2	
艽	kɔu3	
艿	ni4	
札	tsak7	
叵	pʰɔ3	
帀	tsak7	
匜	i2	
勱	mai4	
卟	pɔk7	
叱	tsʰɛk7	
叻	lak8	石叻
仨	sa ̃1	
仕	sə4	
仟	tsʰɔi ̃1	
仡	kʰək7	
仫	mɔʔ7	
仞	dziŋ3	
卮	tsi1	
巵	tsi1	
氐	ti3	
犰	kʰiu2	
鄺	kʰuaŋ5	
邙	maŋ2	
訐	kiak7	
訌	hɔŋ3	
訖	ŋək7	
尻	ka1	
阡	tsʰiaŋ1	
尕	ka5	
弁	piaŋ4	
馭	gə2	
耒	lui3	
玎	tɛŋ1	
璣	ki1	
邢	hia ̃2	
圩	hə1	
圬	u1	
扦	tsʰiaŋ1	
圪	ŋək7	
圳	tsuŋ5	
壙	kʰuaŋ5	
捫	muŋ2	
圮	pi3	
圯	i2	
芊	tsʰiaŋ1	
芄	uaŋ2	
芨	kik8	
芑	kʰi3	
芎	kiɔŋ1	
薌	hiaŋ1	
厙		
夼	kʰuaŋ5	
尥	liɔu5	
乩	ki1	
旯	la1	
曳	ɛk8	
岌	kʰik7	
屺	ki3	
凼	taŋ4	
囡	naŋ2	
釔	ɛk8	
缶	hu3	
氘	tau1	
氖	nai2	
伎	ki4	
傴	u3	
伢	gɛ2	
佤	ua1	
仵	ŋɔu3	
倀	tsʰiaŋ5	
傖	tsʰaŋ1	
伉	kʰaŋ5	
佇	tiu3	
囟	sɛŋ5	
汆	suaŋ5	
刖	guɛʔ8	
旮	ka1	
獷	kʰuaŋ5	
獁	ma3	
鳧	hu2	
鄔	ɔu1	
餳	tsʰɛŋ2	
汕	sua ̃1	
汔	ŋək7	
汐	sɛk7	
汜	sə2	
詎	kə4	
祁	kʰi2	
訥		
聿	luk8	
艮	kəŋ5	
厾	tɔk7	
阱	tsɛ ̃3	
阪	paŋ3	
阪	pua ̃3	
妁	tsiak7	
牟	mɔu2	
紆	u1	
紇	hɛk7	
玕	kaŋ1	
璵	ə2	
摶	tʰuaŋ2	
抔	pʰɔu2	
圻	kʰi2	
坂	paŋ3	
抃	piaŋ5	
抉	kuak7	
㧐		
芫	uaŋ2	
芸	uŋ2	
芾	hui5	
藶	lɛʔ8	
苣	kə4	
芷	tsi3	
芮	dzuɛ6	
芼	mau5	
萇	tsʰiaŋ2	
蓯	tsʰɔŋ2	
芩	kʰiŋ2	
芪	kʰi2	
芡	kʰiaŋ4	
芟	saŋ1	
苄	piaŋ4	
苡	i2	
杌	uk7	
杓	siaʔ8	
忑	tʰɛk7	
孛	puak8	
邴	pɛŋ3	
邳	pʰi1	
磯	ki1	
歟	ə6	
軔	dziŋ3	
邶	puɛ4	
忐	tʰaŋ	
卣	iu3	
鄴	ŋiak8	
旰	kua5	
呋	hu1	
嘸	bɔ2	
呔	tʰai3	
嚦	lɛʔ8	
