səu	3	手首守擞																																															
səu	5	受授寿售兽瘦																																															
kəu	1	勾钩沟																																															
kəu	3	狗苟枸																																															
kəu	5	构购够垢																																															
kʰəu	1	抠{∽痒}扣																																															
kʰəu	2	抠{白，吝啬}																																															
kʰəu	3	口																																															
kʰəu	5	扣叩寇																																															
ŋəu	1	欧鸥																																															
ŋəu	3	偶藕呕殴																																															
ŋəu	5	怄沤																																															
xəu	1	瘊{嗓子哑}																																															
xəu	2	侯喉猴																																															
xəu	3	吼																																															
xəu	5	后厚候																																															
tiəu	1	丢																																															
tiəu	2	□{一小点，∽∽嘎}																																															
niəu	1	溜瘤榴																																															
niəu	2	牛刘流硫留																																															
niəu	3	柳扭纽																																															
niəu	5	溜{滑溜}扭{白，动弹}																																															
tɕiəu	1	纠赳揪炙																																															
tɕiəu	2	揪{抓}																																															
tɕiəu	3	九久韭酒																																															
tɕiəu	5	就救究旧舅																																															
tɕʰiəu	1	秋丘邱蚯鳅																																															
tɕʰiəu	2	求球裘囚																																															
tɕʰiəu	5	瞅																																															
ɕiəu	1	修休羞																																															
ɕiəu	3	朽																																															
ɕiəu	5	秀绣锈袖嗅宿{星~}																																															
iəu	1	优忧悠幽																																															
iəu	2	由油尤犹游																																															
iəu	3	有友酉																																															
iəu	5	又幼右佑																																															
paŋ	1	邦梆帮																																															
paŋ	2	□{量词}																																															
paŋ	3	榜膀绑																																															
paŋ	5	棒蚌谤傍磅泵																																															
pʰaŋ	2	旁滂螃庞																																															
pʰaŋ	3	膀{蹄∽}掽{动词，碰}碰{即“掽}																																															
pʰaŋ	5	胖																																															
maŋ	1	□{胖}																																															
maŋ	2	忙芒茫盲氓																																															
maŋ	3	莽																																															
faŋ	1	方芳																																															
faŋ	2	房防妨																																															
faŋ	3	仿访纺																																															
faŋ	5	放																																															
taŋ	1	当裆																																															
taŋ	2	□{量词}																																															
taŋ	3	党挡																																															
taŋ	5	当荡宕凼																																															
tʰaŋ	1	汤趟{∽路}																																															
tʰaŋ	2	堂唐																																															
tʰaŋ	3	躺																																															
tʰaŋ	5	烫趟																																															
naŋ	1	躴{细}																																															
naŋ	2	囊郎廊螂狼																																															
naŋ	3	朗□{晃荡}																																															
naŋ	5	浪□{晾，∽衣裳}																																															
tsaŋ	1	赃脏张章																																															
tsaŋ	3	长涨掌																																															
tsaŋ	5	葬藏脏丈账																																															
tsʰaŋ	1	仓苍昌																																															
tsʰaŋ	2	藏长肠场																																															
tsʰaŋ	3	厂敞																																															
tsʰaŋ	5	畅唱倡																																															
saŋ	1	桑商伤丧裳																																															
saŋ	2	尝																																															
saŋ	3	嗓赏偿搡																																															
saŋ	5	上尚丧{∽气}绱																																															
zaŋ	2	瓤□{不结实}																																															
zaŋ	3	壤嚷																																															
zaŋ	5	让																																															
kaŋ	1	冈刚岗纲钢																																															
kaŋ	2	杠□{扔石头}																																															
kaŋ	3	港□{一会儿}																																															
kaŋ	5	虹杠																																															
kʰaŋ	1	康糠慷																																															
kʰaŋ	2	扛																																															
kʰaŋ	3	㝩{盖}冚{盖}																																															
