	注釋：=文讀，-白讀
l	[7]裂{又，～開、～一缺}[8]搦{抓，～人}掠{俗寫，抓，～人}□{量詞，大拇指與中指伸直的長度}□{筊～：竹器}
ts	[7]隻{量詞}脊跡則{拄～：剛才}者{這麼，～多；這些，～的}□{骹～底：腳掌}[8]食{吃}
tsʰ	[7]赤刺{編織，～羊毛衫}□{鏟削，～土}[8]勺{飯～}
s	[7]削錫
dz	[7]跡{量詞，用於痕跡，一～}
k	[8]屐揭{舉，～高，～手}
kʰ	[7]隙{孔～}
ɡ	[7]揭{挑、摳，～蠔仔}[8]額{數量，夠～}揭{舉，～高，～手}
h	[7]□{那麼，～多；那些，～的}□{疑問詞，是嗎}[8]額{～tsiã3：前額}
∅	[7]挖益{～春：人名}[8]頁役{差～}疫{瘟～}驛{～站}易{～經}蝶{替字，尾～：蝴蝶}
#uaʔ	
p	[7]撥缽簸{～箕}[8]跋{跌，翻}□{賭}鈸{銅～}
pʰ	[7]潑□{長柄鐮刀}□{削，～岸、～草}[8]佩{披掛}撥{量詞，一～水}
b	[7]抹□{滇～～：水滿；甜～～：夠甜}[8]□{老鷹捕食，～雞仔}末{粉末}沫
t	[8]奪{～～：氣衝衝}
tʰ	[7]屜獺脫{敨～：留有餘地}□{把拉鏈拉開或合上}
l	[7]捋{打}瀨{水淺流急之處}□{鋪壓，～平、～厝瓦}□{大吃，～一頓}[8]捋{又，梳，～頭鬃；翻，～面：翻臉}辣
ts	[7]□{搖晃、溢出，搖～～}[8]□{走～：走樣}□{ka1～：蟑螂}□{誰}
tsʰ	[7]泄{瀉、拉，～屎}掣{拽、猛拉，～斷；抖動，厚厚～：發抖}礤{～番薯簽}□{～慶：易衝動}[8]□{斜，～尾羅仔：斜對面}□{差錯}
s	[7]煞{結束，戲～}撒殺{七～：相命語}
dz	[8]熱
k	[7]割葛刮括{歸～：一夥}
kʰ	[7]闊渴
h	[7]喝[8]伐{腳步，大～}
∅	[7]□{浸漬，～堿仔水：由草木灰浸出堿水}[8]活劃{又}
#ɔʔ	
∅	[7]嘔{嘔吐聲}堊
#iɔʔ	
h	[8]諾{表肯定的應詞，是、對}
#oʔ	
p	[7]博{～定：也許、說不定}[8]薄箔泊
pʰ	[7]粕樸璞
b	[8]勿{禁止語}
t	[7]卓桌[8]著{燃起，～火}擇{～菜}
tʰ	[8]柁{遲鈍，顛～：犯傻}
l	[7]落{～後日：大後天}[8]落{～雨}洛{豐～：地名}□{砍削，～杉刺}□{～索：抬重物的套繩}
ts	[7]作{種～}[8]昨{～日：前天}□{生～：慌張}□{～喙䫌：摑耳光}
tsʰ	[7]□{粗話罵人}
s	[7]索{繩子}□{～竹篙：順竿爬}□{吮吸}[8]鐲
k	[7]胳{～空下：腋下}閣{內～}擱廓各{～樣：異樣}□{再、又，～來}
h	[8]鶴{又，丹頂～}
∅	[7]惡{難，～做；慢，較～}[8]學
#ioʔ	
t	[7]□{拉直，衫～～的}釣[8]著{對}
l	[8]略{～～仔：稍微}
ts	[7]借-□{棉～：棉絮}斫{～樹}□{秧～：育秧地}□{骹～底：腳掌}□{犁～：犁的部件}[8]石-{～頭}
tsʰ	[7]尺{～寸}□{浸漬，～衫；潰爛狀，傷口～～}□{鵝鴨吃食}[8]蓆{～草}
s	[7]惜[8]液{手～：手汗}□{行動緩慢，～～}□{老無～：嘮叨乏味}□{餿，臭～}
dz	[8]□{～～：皺而軟}褥{～瘡}□{～身：喻情況嚴重}
k	[7]腳{角色，好～數}角{旦～、淨～}
kʰ	[7]挈{拾取，～姐：接生婆}
ɡ	[8]虐{彆扭；納悶，礙～}
h	[8]箬{葉子}鸮{lai6～：老鷹}
∅	[7]約{猜}[8]藥鑰{～鉤：大鑰匙}
#ɛʔ	
p	[7]百□{爬，～梯}伯柏{扁～}擘{張開；掰；剝}□{～腹：掛心、焦慮}[8]白帛{腳～：裹腳布}
b	[8]麥密{～～}
t	[7]硩{壓，～重}笮{壓，～重}□{涵～食：饞占吃}[8]□{籃～仔：小篷船}
tʰ	[7]澈{白～：白淨}□{裸，脫腹～}貼{～沙：魚名}[8]宅{厝～}
l	[7]咧{～鬥：很好、很漂亮}靂{辟～}[8]裂{pit7～：裂開}□{鮫～魚}□{割破，～一空}
ts	[7]仄鷓績{紡～：紡紗}寂{恬～～：靜悄悄}睫{目～毛}□{～～：糟透}
tsʰ	[7]冊{書}廁{～所}[8]唶{嘶啞，破～聲}
s	[7]屑{碎、零星，粙～：收割之後掉在地上的稻穗；樓～仔}□{小雨，雨仔～～}
k	[7]格隔{隔開；竹～仔：竹簾}膈{頂～：上脘}□{撥，～開}骼□{土～：堅硬土層}[8]逆{對～：對立，跟人作對}搭{卡住，～著}□{～～死：聲音大}
kʰ	[7]客
h	[7]嚇{恫嚇，～著}□{語氣詞，表威脅的語氣}
∅	[7]厄{～運}軛
#iuʔ	
t	[7]搐{～～彈：一陣一陣地痛}晝{～夜}
ts	[7]□{密～～：嚴密}[8]□{～～叫：小雞、鳥叫聲}
k	[8]□{象聲詞，～～叫：哇哇叫}
kʰ	[8]䊆{韌～～：食物韌，咬不斷}
ɡ	[7]□{酸～～：酸溜溜}
#eʔ	
p	[7]八捌[8]拔
b	[7]□{將要，天～光}
t	[7]啄□{狹～：狹窄}
tʰ	[8]□{拿}
l	[7]灑{～水：地名}[8]笠
ts	[7]節漬{吸幹水分}[8]絕{～後代}
tsʰ	[7]切{心～、苦～}啜{～氣：抽噎}□{敞～：有決斷}
s	[7]雪揳{塞，～空}[8]硩{轉圈}□{頷～：小兒的涎巾}
k	[7]鍥{～仔：鐮刀}莢{量詞，—～花生}
kʰ	[7]□{擠}□{合眼，放～}篋{匣子，～仔}挈{～油：榨油}
h	[8]挨{摩擦，～過}
∅	[7]欸{喂，呼人開頭語}狹{～teʔ7：狹窄}[8]狹呃{喊～：打飽嗝}
#ueʔ	
pʰ	[8]垡{土～：田土塊；飯～：米湯上浮的泡沫及塊狀}
b	[7]□{要}[8]襪
tsʰ	[7]啜{喝，～湯}
s	[7]說{解～}
k	[7]郭廓刮蕨{～仔：蕨菜}鱖{～魚}[8]□{濕而爛，醬～～}□{蹭，～著蜘蛛絲}□{量詞，段，一～}
kʰ	[7]缺{欠～}[8]□{煮，～米糊}
ɡ	[8]月
h	[7]血
∅	[7]挖{用手指刮柔軟物，～糊、～喙䫌：刮臉頰}喂{又}[8]□{破裂，～開}
#auʔ	
p	[7]暴{鼓起、突出，～牙、～芽}[8]□{～～：吃半熟穀類的感覺}
pʰ	[7]胖{～奶：嬰兒胖}[8]雹{又}
b	[8]□{全包、全買，～龍眼}
t	[7]督{蒂～：叩頭蟲}[8]□{象聲詞，嘀～～：骨節動聲}
l	[8]落{掉下，交～}
ts	[7]□{軟～～：極軟}[8]嘈{嘮叨，～歸日：嘮叨整天}
tsʰ	[8]嘈{又，～～念：嘮叨}
k	[7]□{把東西包裹在另一個東西裏，～薄餅}□{輾}□{漚}□{油～：量油器}□{軟～～：很軟}[8]□{～～念：嘮叨}浹{又}□{～～碾：滾動}
kʰ	[8]□{～～掉：哆嗦}
h	[8]□{在開水中略煮}
#iauʔ	
ts	[7]悄{靜～～}□{吱吱～～：嘰嘰喳喳}[8]□{吱吱～～：嘰嘰喳喳}
k	[8]□{嘰嘰～～：嘰裏呱啦}
kʰ	[8]□{硬～～：極硬}□{敧～～：硬物撞擊聲、不平}
#mʔ	
h	[7]□{猛力向下砸、打}[8]□{～～：不說話、不出聲}
#ŋʔ	
p	[7]□{～～叫：很有能耐}
ts	[8]□{糾纏}
tsʰ	[7]嗆{把異物從鼻子裏吹出}□{極快穿過，～過去}[8]嗆{又，嗤嗤～～：鼻子不暢}
s	[8]□{象聲詞，～～叫：飛快}
k	[8]□{～～叫：鼾聲等}
#ĩʔ	
m	[7]乜{“甚物”合音，某～人：某人}[8]物{～件}
t	[8]挃{希望保持，不想扔掉或給他人，要，beʔ7～：想要，毋～：不想要}
n	[7]□{～目：眨眼}
s	[7]閃{～爁：閃電}
∅	[8]□{用勁時之聲}
#ãʔ	
n	[7]凹{清～：蕁麻疹}爁{金～～：金光耀眼}哪{什麼，講～}□{在火上烤一下即移開}
s	[7]□{～～叫：形容急切的心態；撲上去抓住，～鳥鼠：抓老鼠}□{略曬，～日仔}□{閃光，金爁～}□{涮，～豬肝}啥{什麼，講～}
h	[7]焓{熱氣或味道通人，～火}哈{語氣助詞，表詢問：我來去～：我去可以嗎？}
#iãʔ	
h	[7]嚇{搭～：驚嚇}□{取軟物，～衫}
ŋ	[8]愕{昂～：驚訝}
#ɔ̃ʔ	
m	[7]□{乾癟}膜{～壁：貼牆}魔{又，鬼～}□{偷偷取去}[8]膜{又，薄～}
k	[8]□{鼻息聲，～～叫}
h	[7]乎{語氣助詞，表詢問，安乃～：這樣是嗎}
∅	[7]唔{拍小兒入眠聲，～～～}
#ɛ̃ʔ	
m	[7]蜢{草～：蚱蜢}咩{羊叫聲，羊～～；呼羊}[8]脈□{鋒利，刀真～}
n	[7]躡{踮起，～骹尾}[8]□{beʔ7～：要幹什麼}
ts	[7]雀{厝頭～仔：麻雀；～盲：夜盲症}
kʰ	[7]喀{又，象聲詞，～～嗽}[8]喀{又}
ŋ	[7]夾{～仔：夾子}[8]夾{又，～佇胳空下：夾在腋下}
h	[7]歇{～睏：休息}曷{又，語助詞，安乃～：這樣是嗎？}
∅	[7]□{發語詞，表驚疑、有所醒悟，～，你猶未去：咦，你還沒去？}
#ãuʔ	
m	[7]□{口中無牙，乜～}□{食～～：有得吃、有得賺}
n	[7]呶{大略提起，～～聲}[8]呶{又，嘮叨，～～叫}
s	[7]□{～～：食物脆且多汁}
k	[7]□{吃硬物聲，～～叫}
ŋ	[7]偶{成對，一～一～}□{狗吠聲}
h	[7]□{稀稀～～：鬆散}[8]□{豬狗吃食聲}□{芋頭、紅薯或蘿蔔等因不夠成熟，吃起來有水分較多的感覺，芋仔～～}
∅	[7]□{吚～仔：發音不清的人}
#iãuʔ	
ŋ	[7]□{～啊～：動彈；～～：死了}撓{～疕：吝嗇}[8]蟯{蟲蠕動}□{疑～：懷疑，猶豫}
#uãiʔ	
s	[8]□{～～叫：不平物摩擦聲；吱物聲}
h	[8]□{肥～～：很肥胖}
∅	[7]□{走不穩狀，～啊～}
#ip	
l	[8]立笠粒
ts	[7]執[8]集
tsʰ	[7]□{足底擦地小步走}輯楫緝葺戢蕺
s	[7]濕[8]十=拾什{～錦}習
dz	[8]入
k	[7]急級給{供～}亟{～待}[8]及芨
kʰ	[7]吸汲笈伋岌圾[8]扱{使勁搔；用五指抓緊}
ɡ	[8]□{～～：眾聲繁雜}
h	[7]翕{攝取，～影：照像}□{閉合；憋悶}熻{停火後不揭蓋使食物變軟，～飯}
∅	[7]揖邑浥□{～仔：漁具}□{以少量的水燜煮，～米糕}挹
#ap	
t	[7]答=褡=搭=[8]遝踏=
tʰ	[7]榻遢拓{～印}塌{下陷，～方；填補，～位}□{～衫：為死人穿衣}
l	[7]垃□{踹}□{陷下，～～空}[8]納衲{縫}拉{～雜}訥呐鈉臘=蠟=獵=
ts	[7]紮劄{信～}匝咂砸[8]雜十-拾什
tsʰ	[7]插={參與，～手；理睬}歃{～血}
s	[7]霎{雨～仔：毛毛雨}雪{～文：肥皂}虱颯卅□{～氣：小氣}
k	[7]鴿夾{照管，～細囝}合{按藥方抓藥，～藥貼；～冊：用紙包裹書本}蛤{塍～仔：青蛙}䑪{～板：一種大船}[8]□{稠物，醪～～}
kʰ	[7]□{仰面翻扣，碗～下}恰磕{～頭}[8]磕{又}
h	[7]夾{夾或壓}□{騙，～仙}[8]合闔閤
∅	[7]壓魘□{魚呼吸狀}[8]盒壓{又，烏～～}盍{何不}
#iap	
t	[7]嗒{用唇吸一小口}輒[8]諜牒蝶碟蝶喋蹀□{打～：修理；展～：緊湊}
tʰ	[7]貼{補～}帖{字～}[8]疊迭
l	[7]聶囁攝□{～襇：縫合衣服時其中的一片布在特定的位置，疊起來以達到某種效果}□{括約肌收縮}懾躡鑷顳𥍉涅捏{以手指取物，～淡薄起來}[8]粒拉立{～捷}
ts	[7]接汁睫[8]健{連續多次，～～來}
tsʰ	[7]妾竊
s	[7]澀卌{四十}虱□{～空}[8]□{以菅草占卦}攝{鬼怪迷人，～人}□{挈粒～：不因东西小而浪费，仔细}
dz	[8]廿{二十”的合音}顳{又}
k	[7]夾{～仔}峽莢筴篋愜缺頰劫
kʰ	[7]□{壞、差，車～去、～勢：不漂亮}怯
ɡ	[8]業鄴
h	[7]吸{～鐵：磁鐵}[8]協脅勰俠挾狹葉{～韻}洽{接～}
∅	[7]挹{掩藏，～尾狗、手～後}燁曄□{～角仔：旮旯}[8]葉{姓}頁
#ɔp	
t	[7]□{吞，私～}
l	[7]□{套，～頭衫}□{算計，互人～去：被人家算計；賠，～本}[8]□{揍}
ts	[8]□{咀嚼，～～叫：咀物聲}
tsʰ	[8]□{在水裏蕩一蕩}
s	[8]□{大口快吃，一喙～落去}
k	[8]□{粘稠糊狀，～～}呷{吞咽聲}
kʰ	[7]□{反扣上}
h	[7]□{用網捕捉}[8]□{～阿～：魚以口呼吸}
#it	
p	[7]筆必畢嗶蹕篳蓽{～撥}□{器物裂痕}[8]弼鼻{～祖}壁
pʰ	[7]匹{又}
b	[8]密=蜜宓汨{～羅江}□{～尾：淹沒}
t	[7]得著{得到}的{有～放矢}[8]侄直值蟄{驚～}
tʰ	[7]它他勅飭
l	[7]窒{～息}
ts	[7]織職質鯽即{立～；～項：這項}櫛脊瘠唧{～筒}桎騭窒{又}摭[8]疾蒺嫉一{訓讀，數詞}禃{一，數詞}蜀{一，數詞}
tsʰ	[7]七柒拭□{～佗：玩耍}
s	[7]息熄媳式室失悉軾識蟋[8]實食蝕翼襲植殖席{主～}
dz	[8]日
k	[7]吉桔佶[8]□{濃、稠}
kʰ	[7]乞[8]□{攪拌使稠，～米糊}橛{木釘，牛～}□{烏～：鳥名}
ɡ	[7]迄訖屹吃{口～}
h	[7]迄{遠指代詞：彼、那，～個、～陣}[8]□{懸蕩}
∅	[7]二壹乙噎弋憶{～著：看在某某分上}□{鳥名}[8]逸軼溢聿佾鷸
#ut	
p	[7]不□{扒摟，～糞掃}撥{又，登力擊倒，～倒}[8]孛勃鵓餑渤
pʰ	[7]□{刀砍}怫{～～跳：憤怒}[8]怫{又}
b	[7]□{甜～～}□{～仔魚}□{極細小，～～仔}[8]物勿□{棍擊}沒{～收}歿
t	[7]咄{～～逼人}[8]突咄{～～叫：話不流暢}術{白～：中藥}凸
tʰ	[7]脫{用力推擦，～毛}禿黜{～職}怵□{用足蹂}[8]禿{又，～～，～頭}脫{滑落}
l	[7]□{肥～～：極胖}□{摔下，～去}脫{脫落}□{詐騙，～仔}[8]訥{又}率律捋{捋擠，～腸仔瘍}□{～～叫：說話流暢}
ts	[7]卒猝悴{鬱～：憂愁}[8]秫{～米：糯米}□{磨、擦，亂～}
tsʰ	[7]出齣
s	[7]屑{鋸～灰}捽{抽打}瞬{～一目}率恤蟀戍{～邊}戌{戊～}窣{窸～～}□{吃}[8]術述□{吃的聲音}
k	[7]骨{骨頭；莖}榾{木名}□{雞～：說話帶刺}[8]滑-猾-掘崛倔{～強}
kʰ	[7]屈窟{水～：水窪地}[8]□{孤～：孤僻、～～：孤單}□{半～仔：半長大衣}
ɡ	[8]兀屼杌{梼～}
h	[7]忽惚□{相～：打架}□{～了了：吃光}笏怫弗狒拂氟紼紱[8]佛{～祖}核
∅	[7]鬱郁{～熱：悶熱}熨尉{姓}[8]□{隨意塗抹，～兩字、掃帚～一下}
#at	
p	[7]八=捌般{～若：佛語}[8]別{～人}
b	[7]別{認識，相～；曾經，～去}[8]密
t	[8]達韃□{～仔魚}值笛笪{穀～：曬穀用的竹席}
tʰ	[7]踢窒靼撻蹋{糟～}闥[8]□{泄水使幹，～水}
l	[7]漯{～河：地名}[8]力栗瘰{癘～：瘰鬁}鰳{～魚}辣刺喇
ts	[7]節{量詞}紮軋{～鋼}[8]實賊{墨～仔：墨魚}
tsʰ	[7]漆察擦刹{古～}[8]賊
s	[7]煞刹{～車}薩殺虱{木～：臭蟲}塞{堵住，～鼻}櫛{～篦：梳子}撒{彌～}
k	[7]葛{姓}結□{土～：未燒的土坯}恰{正好，～象}
kʰ	[7]渴克{忍受，～苦}□{舀，～飯}
h	[7]曷喝褐轄瞎豁[8]核{淋巴結，牽～：淋巴結腫大}涸
∅	[7]遏{拗折，～斷；壓擠，～飲：把米湯壓擠舀出}軋{傾～}
#iat	
p	[7]別={分～：辨別}憋鱉=[8]別={個～}
pʰ	[7]撇瞥蹩[8]□{搧，振，～翅}□{捕，～落去}□{碟}
b	[8]滅蔑篾蠛
t	[7]哲[8]秩跌迭瓞耋轍
tʰ	[7]徹撤澈鐵彳{～亍}
l	[8]列烈冽冽裂咧{象聲詞}
ts	[7]折{拍～：打折}節浙䇽癤蜇{海～}踅□{哈喇}[8]截捷{又，～報}婕倢{又}睫{又}蠘
tsʰ	[7]切沏砌[8]□{象聲詞，～～叫}
s	[7]設{謊言騙人，～人}泄卨{萬俟～：人名}屑絏薛{姓}燮[8]舌□{刀削聲，～～叫}
dz	[7]□{咬斷，剪斷}[8]熱=
k	[7]結{～果}潔劫桔{～槔}羯[8]傑桀磔劇揭竭碣
kʰ	[7]揭{又，～發；火～仔：打火石}孑契{～闊}頡擷拮詰黠[8]砝{硬，幹～}硈{坎～}□{用手指節敲}
ɡ	[7]齧[8]孽蘖鎳謔
h	[7]血歇{～後語}□{扔、擲，～去}□{花～：花而不實}[8]穴絜{～矩之道}□{飄揚，～啊～}
∅	[7]咽{嗚～}噎{又}蠍{全～}謁[8]曳{～風：扇風}
#uat	
p	[7]跋{跛行}撥缽{衣～}般{又，～若：佛語}[8]拔{～河}跋{序～}鈸魃{旱～}菝{籃仔～：番石榴}
pʰ	[7]潑{活～}
b	[7]秣{～馬厲兵}抹[8]末沫茉襪妹{～喜：古人名}
t	[7]輟綴掇裰[8]奪
tʰ	[7]脫{～仔：雜種}
l	[7]劣[8]捋
ts	[7]茁□{轉，～走：非法轉給他人}[8]絕{～對}
tsʰ	[7]拙啜蕞茁{又}撮
s	[7]說雪[8]□{訣～：用計騙取}□{刀割聲}
k	[7]決訣□{用掌打}括刮{抹，～灰}聒適{南宮～：古人名}譎{～仙}
kʰ	[7]缺炔括{又}厥蕨獗蹶闕闋闊
ɡ	[8]月刖軏
h	[7]發髪法砝{～碼}琺{～琅}[8]乏活閥罰伐筏猾=滑=
∅	[7]斡{轉，～彎}挖[8]悅閱戉鉞越粵曰斡{回轉，～頭}樾
#ik	
p	[7]百=柏=伯=迫逼壁=璧檗愎煏[8]白=帛舶
pʰ	[7]辟闢{又，開～}璧{又，～玉}擘劈癖僻薜匹{又}霹碧魄
b	[8]墨默{又}覓麥脈陌冪貊驀萬{～俟，姓}
t	[7]竹德得的{又}滴鏑摘嫡謫[8]澤擇笛{又}迪特敵滌翟{姓}狄荻擲躑糴=
tʰ	[7]斥拆惕剔踢倜逖{祖～：人名}忑忒叱禓[8]宅□{抖使直，～阿～}
l	[7]栗傈溧慄勒{～索}礫肋[8]力歷曆匿勒{肥～佛：彌勒佛}靂瀝□{刀削剖，～肉油}鬁屴{崱～峰：地名}箓櫟陸{雙～：賭具}溺綠-碌氯□{～手䘼：捋起袖子}
ts	[7]責績嘖脊瘠{又}則崱積燭叔□{因猛力而受傷}跡即唧{又}鯽{又}隻={～身}仄昃稷遮窄[8]寂賊=籍藉
tsʰ	[7]測側廁惻策戚粟{穀子}冊{～封}赤=□{犯邪，～著}促{靠近}尺=[8]□{上下振動、跳躍}
dz	[7]□{追}□{擠出，～齒膏：擠出牙膏}
s	[7]色適{～合}釋析瑟飾皙宿{成熟}錫索=淅虱=昔惜=嗇穡塞{又，閉～}[8]熟-碩石=席夕汐穸
k	[7]革擊激棘戟格{𠢕～：裝出有派頭的樣子}隔膈嗝殛骼亟□{溺}[8]極屐
kʰ	[7]刻克剋客=曲陟隙喫绤{𫄨～：粗夏布}虢{古國名}
ɡ	[8]逆額
h	[7]黑赫郝{姓}嚇洫[8]獲穫或域惑閾蜮核劾檄覡
∅	[7]億憶益溢抑扼厄軛呃縊隘臆[8]役疫浴亦翼譯驛繹懌液掖腋奕弈易{交～}蜴翊翌弋{又}劃{計～}射{僕～}
#ak	
p	[7]北剝{～皮}幅腹駁福{長～：地名}[8]縛□{又，包～：壟斷}煿{以糖熟煮食物}
pʰ	[7]覆{伏，趴}[8]曝{曬}
b	[7]□{沾，～手}[8]木-墨-目{～珠：眼睛}嘜{～頭：商標}茉{～莉}
t	[7]□{著～：腳踢到石頭等}□{牛羊以角相鬥，牛相～}□{撥動，～算盤}妲{～己}□{～喙鼓：本地傳統民間曲藝}[8]逐{每、各，～人}獨{孤～}濁{發物}碡{碌～}
tʰ	[7]斥{體～：指責、數落}[8]讀
l	[7]落{倒，～出來；下落，～價}漉{新布在水中浸}轆{～鑽}□{袋子，～袋仔}[8]六-陸搦{以手指抓、捏}
ts	[7]□{ak7～：因地方狹小或天氣悶熱而感到煩躁}[8]□{刺，～落去}
tsʰ	[8]鑿戳
s	[7]□{推搡}
k	[7]角{牛～；雄禽，雞～：雄雞}穀玨桷{～仔：檁條}[8]□{扔、擲}
kʰ	[7]殼確麯榷[8]咯{吐，～痰}
ɡ	[8]嶽嶽獄樂{音～}
h	[7]蓄{購置，～家私}[8]學□{廁所}斛{量具}槲{石～}
∅	[7]沃{澆，～水}握{把～}□{～tsak7：因地方狹小或天氣悶熱而感到煩躁}□{鑲金}幄齷[8]□{紗～仔：繞絲、紗線的工具}
#iak	
p	[7]□{～開：爆裂}煏{火爆，～油}
pʰ	[7]□{披～：布類飄動聲}□{射中物聲}
t	[7]□{用手指彈，～珠仔}
l	[7]□{白～皙：白晃晃}[8]□{又}略掠
ts	[7]酌芍勺=妁灼爵嚼[8]著{～落、沉～}
tsʰ	[7]雀鵲綽[8]□{驚愕聲}
s	[7]皙摔{～倒}爍鑠
dz	[8]弱若箬{～笠}
k	[7]□{聲尖}[8]矍攫
kʰ	[7]怯卻
ɡ	[8]虐瘧
∅	[7]約=[8]藥={芍～}躍鑰籲{呼～}龠{古樂器}
#ɔk	
p	[7]蔔{～卦}駁北=剝={～落}[8]暴{～露}爆薄=迫箔蔔{蘿～}僕{～人}縛匐亳粕舶{又}卟{象聲詞}□{piʔ4～：火聲}
pʰ	[7]博搏膊撲樸僕{前～後繼}璞粕{又}馎{～仔餅：一種油炸的餡餅}[8]瀑曝噗{拍～仔：鼓掌；魚～：魚鰾}
b	[8]目=眭苜鉬木=沐莫寞漠牧穆
t	[7]卓桌掉督啄琢涿斫{剁，～肉丸仔}篤[8]獨濁毒牘瀆黷犢櫝碡纛{又，旗～廟}鐸躅髑蠹
tʰ	[7]托拓柝魄{落～}□{～鼎：民間幼兒遊戲}籜萚[8]讀=牘{又}
l	[7]漉{爛糊狀，醬～～}簏{袋子，紙～仔；繩套，張箍～仔：設圈套}甪{～裏}[8]樂{快～}碌祿鹿麓轆絡洛落烙酪珞諾駱
ts	[7]作[8]族濁{～～：不清；繁雜}昨{今是～非}酢怍濯擢
tsʰ	[7]簇齪撮錯{又}[8]鑿{～一空}戳
s	[7]速束簌觫漱朔嗍塑槊搠縮{收～}謖
k	[7]穀{山～}各閣擱國幗腘郭=廓槨轂觳穀[8]咯{母雞叫聲}□{大口快喝，～落去}
kʰ	[7]擴酷嚳哭□{硬～～：形容很硬}□{動物腿部，雞～槌：雞的大腿，豬骹～仔：豬腳趾端的角質物}[8]□{柝；木魚；～仙：聊天}□{久煮，～肉}
ɡ	[8]愕齶萼鄂鱷鍔諤鶚噩{又}
h	[7]福輻蝠復{～習}複{～雜}覆腹幅蝮馥霍{姓}藿籗壑[8]伏茯袱復{恢～}服菔鶴鑊
∅	[7]惡{罪～}沃={肥～}屋齷幄握喔{象聲詞}堊{又}
#iɔk	
t	[7]築竹=竺[8]軸妯舳觸逐
l	[8]六=陸=錄綠=碌{又}戮繆箓
ts	[7]足祝酌{又，斟～}囑矚燭粥
tsʰ	[7]促齪蹙捉尺{又}觸蹴矗亍{彳～}
s	[7]叔俶淑宿{～舍}縮{又}蓿肅倏夙菽粟={姓}謖{又}[8]俗孰熟=塾續贖屬蜀
dz	[8]辱褥溽蓐縟□{用力揉搓掌中物}弱肉
k	[7]菊掬鞠鞫□{用力掙，～開}[8]局侷焗
kʰ	[7]曲蛐
ɡ	[8]玉鈺獄
h	[7]畜{～牧}蓄{儲～}旭郁{馥～}彧勖頊{顓～}
∅	[8]育浴欲慾峪毓昱煜鬻
