"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"磻"	"磻"	"bœ̃2"	""	"鄉音字類"	""	""	""
"蟠"	"蟠"	"bœ̃2"	""	"鄉音字類"	""	""	""
"胖"	"胖"	"bœ̃2"	""	"鄉音字類"	""	""	""
"柈"	"柈"	"bœ̃2"	""	"鄉音字類"	""	""	""
"縏"	"縏"	"bœ̃2"	""	"鄉音字類"	""	""	""
"璠"	"璠"	"bœ̃2"	""	"鄉音字類"	""	""	""
"𨃞"	"𨃞"	"bœ̃2"	"圈~坐"	"蘇州同音常用字彙"	""	""	""
"畔"	"畔"	"bœ̃6"	""	"鄉音字類"	""	""	""
"叛"	"叛"	"bœ̃6"	""	"鄉音字類"	""	""	""
"絆"	"絆"	"bœ̃6"	""	"鄉音字類"	""	""	""
"褒"	"褒"	"bəʏ2"	"減少：~多益寡。據《集韻》：蒲侯切"	"蘇州同音常用字彙"	""	""	""
"襔"	"襔"	"mœ̃1"	"棉~"	"蘇州同音常用字彙"	""	""	""
"顢"	"颟"	"mœ̃2"	""	"蘇州同音常用字彙"	""	""	""
"滿"	"满"	"mœ̃4"	""	"鄉音字類"	""	""	""
"懣"	"懣"	"mœ̃4"	""	"鄉音字類"	""	""	""
"墁"	"墁"	"mœ̃6"	""	"鄉音字類"	""	""	""
"漫"	"漫"	"mœ̃6"	"水~金山"	"鄉音字類"	""	""	""
"幔"	"幔"	"mœ̃6"	""	"鄉音字類"	""	""	""
"耽"	"耽"	"tœ̃1"	""	"鄉音字類"	""	""	""
"眈"	"眈"	"tœ̃1"	""	"鄉音字類"	""	""	""
"聃"	"聃"	"tœ̃1"	""	"鄉音字類"	""	""	""
"端"	"端"	"tœ̃1"	"~午"	"鄉音字類"	""	""	""
"短"	"短"	"tœ̃3"	""	"鄉音字類"	""	""	""
"紞"	"紞"	"tœ̃3"	""	"鄉音字類"	""	""	""
"湍"	"湍"	"tʰœ̃1"	""	"鄉音字類"	""	""	""
"探"	"探"	"tʰœ̃1"	""	"鄉音字類"	""	""	""
"貪"	"贪"	"tʰœ̃1"	"~小失大"	"鄉音字類"	""	""	""
"撢"	"撢"	"tʰœ̃1"	""	"鄉音字類"	""	""	""
"彖"	"彖"	"tʰœ̃5"	""	"鄉音字類"	""	""	""
"探"	"探"	"tʰœ̃5"	"偵~"	"蘇州同音常用字彙"	""	""	""
"覃"	"覃"	"dœ̃2"	""	"鄉音字類"	""	""	""
"潭"	"潭"	"dœ̃2"	""	"鄉音字類"	""	""	""
"罈"	"坛"	"dœ̃2"	""	"鄉音字類"	""	""	""
"醰"	"醰"	"dœ̃2"	""	"鄉音字類"	""	""	""
"曇"	"曇"	"dœ̃2"	""	"鄉音字類"	""	""	""
"漙"	"漙"	"dœ̃2"	""	"鄉音字類"	""	""	""
"摶"	"抟"	"dœ̃2"	""	"鄉音字類"	""	""	""
"團"	"团"	"dœ̃2"	""	"鄉音字類"	""	""	""
"剸"	"剸"	"dœ̃2"	""	"鄉音字類"	""	""	""
"慱"	"慱"	"dœ̃2"	""	"鄉音字類"	""	""	""
"剬"	"剬"	"dœ̃2"	""	"鄉音字類"	""	""	""
"萏"	"萏"	"dœ̃4"	""	"鄉音字類"	""	""	""
"窞"	"窞"	"dœ̃4"	""	"鄉音字類"	""	""	""
"斷"	"断"	"dœ̃6"	""	"鄉音字類"	""	""	""
"鍛"	"锻"	"dœ̃6"	""	"鄉音字類"	""	""	""
"籪"	"簖"	"dœ̃6"	""	"鄉音字類"	""	""	""
"段"	"段"	"dœ̃6"	"姓"	"鄉音字類"	""	""	""
"緞"	"缎"	"dœ̃6"	"綢~"	"鄉音字類"	""	""	""
"南"	"南"	"nœ̃2"	""	"鄉音字類"	""	""	""
"喃"	"喃"	"nœ̃2"	""	"鄉音字類"	""	""	""
"楠"	"楠"	"nœ̃2"	""	"鄉音字類"	""	""	""
"枏"	"枏"	"nœ̃2"	""	"鄉音字類"	""	""	""
"男"	"男"	"nœ̃2"	"~人"	"鄉音字類"	""	""	""
"諵"	"諵"	"nœ̃2"	""	"鄉音字類"	""	""	""
"蝻"	"蝻"	"nœ̃4"	"蝗蟲的幼蟲。聲調可能存疑"	"蘇州同音常用字彙"	""	""	""
"暖"	"暖"	"nœ̃4"	""	"鄉音字類"	""	""	""
"煖"	"暖"	"nœ̃4"	"~鍋"	"蘇州同音常用字彙"	""	""	""
"鑾"	"銮"	"lœ̃2"	""	"鄉音字類"	""	""	""
"巒"	"峦"	"lœ̃2"	""	"鄉音字類"	""	""	""
"欒"	"栾"	"lœ̃2"	""	"鄉音字類"	""	""	""
"鸞"	"鸾"	"lœ̃2"	""	"鄉音字類"	""	""	""
"攣"	"挛"	"lœ̃2"	""	"鄉音字類"	""	""	""
"孿"	"孪"	"lœ̃2"	""	"鄉音字類"	""	""	""
"嵐"	"岚"	"lœ̃2"	""	"鄉音字類"	""	""	""
"婪"	"婪"	"lœ̃2"	""	"鄉音字類"	""	""	""
"圝"	"圞"	"lœ̃2"	"團~"	"蘇州同音常用字彙"	""	""	""
"灤"	"滦"	"lœ̃2"	""	"蘇州同音常用字彙"	""	""	""
"亂"	"乱"	"lœ̃6"	""	"鄉音字類"	""	""	""
"孌"	"娈"	"lœ̃6"	""	"鄉音字類"	""	""	""
"臠"	"脔"	"lœ̃6"	""	"鄉音字類"	""	""	""
"孿"	"孪"	"lœ̃6"	""	"鄉音字類"	""	""	""
"干"	"干"	"kœ̃1"	""	"鄉音字類"	""	""	""
"竿"	"竿"	"kœ̃1"	"長竹~"	"鄉音字類"	""	""	""
"玕"	"玕"	"kœ̃1"	""	"鄉音字類"	""	""	""
"肝"	"肝"	"kœ̃1"	""	"鄉音字類"	""	""	""
"奸"	"奸"	"kœ̃1"	""	"鄉音字類"	""	""	""
"甘"	"甘"	"kœ̃1"	""	"鄉音字類"	""	""	""
"泔"	"泔"	"kœ̃1"	"米~水"	"鄉音字類"	""	""	""
"柑"	"柑"	"kœ̃1"	"金~"	"鄉音字類"	""	""	""
"疳"	"疳"	"kœ̃1"	""	"鄉音字類"	""	""	""
"感"	"感"	"kœ̃3"	""	"鄉音字類"	""	""	""
"敢"	"敢"	"kœ̃3"	""	"鄉音字類"	""	""	""
"趕"	"赶"	"kœ̃3"	"~緊"	"鄉音字類"	""	""	""
"灨"	"赣"	"kœ̃3"	""	"鄉音字類"	""	""	""
"淦"	"淦"	"kœ̃5"	""	"鄉音字類"	""	""	""
"榦"	"干"	"kœ̃5"	""	"鄉音字類"	""	""	""
"幹"	"干"	"kœ̃5"	""	"鄉音字類"	""	""	""
"簳"	"簳"	"kœ̃5"	""	"鄉音字類"	""	""	""
"戡"	"戡"	"kʰœ̃1"	""	"鄉音字類"	""	""	""
"堪"	"堪"	"kʰœ̃1"	"不~"	"鄉音字類"	""	""	""
"龕"	"龛"	"kʰœ̃1"	""	"鄉音字類"	""	""	""
"刊"	"刊"	"kʰœ̃1"	""	"鄉音字類"	""	""	""
"看"	"看"	"kʰœ̃1"	""	"鄉音字類"	""	""	""
"栞"	"栞"	"kʰœ̃1"	""	"鄉音字類"	""	""	""
"砍"	"砍"	"kʰœ̃3"	""	"鄉音字類"	""	""	""
"坎"	"坎"	"kʰœ̃3"	""	"鄉音字類"	""	""	""
"欿"	"欿"	"kʰœ̃3"	""	"鄉音字類"	""	""	""
"侃"	"侃"	"kʰœ̃3"	""	"鄉音字類"	""	""	""
"闞"	"阚"	"kʰœ̃5"	""	"鄉音字類"	""	""	""
"瞰"	"瞰"	"kʰœ̃5"	""	"鄉音字類"	""	""	""
"勘"	"勘"	"kʰœ̃5"	"踏~"	"鄉音字類"	""	""	""
"鼾"	"鼾"	"hœ̃1"	"~聲大作，即打昏"	"蘇州同音常用字彙"	""	""	""
"酣"	"酣"	"hœ̃1"	"~卧"	"鄉音字類"	""	""	""
"蚶"	"蚶"	"hœ̃1"	"~子"	"鄉音字類"	""	""	""
"憨"	"憨"	"hœ̃1"	"~~泉"	"鄉音字類"	""	""	""
"罕"	"罕"	"hœ̃3"	"稀~"	"鄉音字類"	""	""	""
"暵"	"暵"	"hœ̃5"	""	"鄉音字類"	""	""	""
"漢"	"汉"	"hœ̃5"	"好~"	"鄉音字類"	""	""	""
"紺"	"绀"	"hœ̃5"	""	"鄉音字類"	""	""	""
"函"	"函"	"ɦœ̃2"	"信~"	"鄉音字類"	""	""	""
"涵"	"涵"	"ɦœ̃2"	"包~"	"鄉音字類"	""	""	""
"含"	"含"	"ɦœ̃2"	"~胡"	"鄉音字類"	""	""	""
"韓"	"韩"	"ɦœ̃2"	"姓"	"鄉音字類"	""	""	""
"寒"	"寒"	"ɦœ̃2"	"飢~交迫"	"鄉音字類"	""	""	""
"邗"	"邗"	"ɦœ̃2"	""	"鄉音字類"	""	""	""
"崡"	"崡"	"ɦœ̃2"	""	"鄉音字類"	""	""	""
"旱"	"旱"	"ɦœ̃4"	""	"鄉音字類"	""	""	""
"菡"	"菡"	"ɦœ̃4"	""	"鄉音字類"	""	""	""
"撼"	"撼"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"汗"	"汗"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"扞"	"扞"	"ɦœ̃6"	"~衛"	"鄉音字類"	""	""	""
"捍"	"捍"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"悍"	"悍"	"ɦœ̃6"	"強~"	"鄉音字類"	""	""	""
"閈"	"闬"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"旰"	"旰"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"頷"	"颔"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"翰"	"翰"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"瀚"	"瀚"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"轗"	"轗"	"ɦœ̃6"	""	"鄉音字類"	""	""	""
"憾"	"憾"	"ɦœ̃6"	"抱~"	"蘇州同音常用字彙"	""	""	""
"豌"	"豌"	"ɦœ̃2"	"白讀：~豆藤"	"蘇州同音常用字彙"	""	""	""
"岸"	"岸"	"ŋœ̃6"	""	"鄉音字類"	""	""	""
"喭"	"喭"	"ŋœ̃6"	""	"鄉音字類"	""	""	""
"豻"	"豻"	"ŋœ̃6"	""	"鄉音字類"	""	""	""
"犴"	"犴"	"ŋœ̃6"	""	"鄉音字類"	""	""	""
"安"	"安"	"œ̃1"	""	"鄉音字類"	""	""	""
"鞍"	"鞍"	"œ̃1"	""	"鄉音字類"	""	""	""
"鞌"	"鞍"	"œ̃1"	"~轡"	"鄉音字類"	""	""	""
"諳"	"谙"	"œ̃1"	""	"鄉音字類"	""	""	""
"蓭"	"庵"	"œ̃1"	""	"鄉音字類"	""	""	""
"盦"	"盦"	"œ̃1"	""	"鄉音字類"	""	""	""
"暗"	"暗"	"œ̃5"	""	"鄉音字類"	""	""	""
"晻"	"晻"	"œ̃5"	""	"鄉音字類"	""	""	""
"按"	"按"	"œ̃5"	""	"鄉音字類"	""	""	""
"案"	"案"	"œ̃5"	""	"鄉音字類"	""	""	""
"簪"	"簪"	"ʦœ̃1"	"~子"	"蘇州同音常用字彙"	""	""	""
"鑽"	"钻"	"ʦœ̃1"	""	"鄉音字類"	""	""	""
"鑽"	"钻"	"ʦœ̃5"	"扶~~眼"	"蘇州同音常用字彙"	""	""	""
"纘"	"缵"	"ʦœ̃5"	""	"鄉音字類"	""	""	""
"纂"	"纂"	"ʦœ̃5"	""	"鄉音字類"	""	""	""
"篹"	"篹"	"ʦœ̃5"	""	"鄉音字類"	""	""	""
"參"	"参"	"ʦʰœ̃1"	"~觀"	"鄉音字類"	""	""	""
"驂"	"骖"	"ʦʰœ̃1"	""	"鄉音字類"	""	""	""
"餐"	"餐"	"ʦʰœ̃1"	""	"鄉音字類"	""	""	""
"汆"	"汆"	"ʦʰœ̃1"	"白讀：~糟魚"	"蘇州同音常用字彙"	""	""	""
"慘"	"惨"	"ʦʰœ̃3"	"悲~"	"鄉音字類"	""	""	""
"憯"	"憯"	"ʦʰœ̃3"	""	"鄉音字類"	""	""	""
"篡"	"篡"	"ʦʰœ̃5"	""	"鄉音字類"	""	""	""
"竄"	"窜"	"ʦʰœ̃5"	""	"鄉音字類"	""	""	""
"爨"	"爨"	"ʦʰœ̃5"	"分~"	"鄉音字類"	""	""	""
"酸"	"酸"	"sœ̃1"	""	"鄉音字類"	""	""	""
"痠"	"酸"	"sœ̃1"	""	"鄉音字類"	""	""	""
"狻"	"狻"	"sœ̃1"	""	"鄉音字類"	""	""	""
"糝"	"糁"	"sœ̃3"	"米~"	"蘇州同音常用字彙"	""	""	""
"算"	"算"	"sœ̃5"	"~盤"	"鄉音字類"	""	""	""
"蒜"	"蒜"	"sœ̃5"	"大~"	"鄉音字類"	""	""	""
"蠶"	"蚕"	"zœ̃2"	"~寶寶"	"鄉音字類"	""	""	""
"巑"	"巑"	"zœ̃2"	""	"鄉音字類"	""	""	""
"欑"	"攒"	"zœ̃2"	""	"鄉音字類"	""	""	""
"官"	"官"	"kuœ̃1"	"~場"	"鄉音字類"	""	""	""
"倌"	"倌"	"kuœ̃1"	"堂~"	"鄉音字類"	""	""	""
"棺"	"棺"	"kuœ̃1"	"~材"	"鄉音字類"	""	""	""
"冠"	"冠"	"kuœ̃1"	"衣~中人"	"鄉音字類"	""	""	""
"觀"	"观"	"kuœ̃1"	""	"鄉音字類"	""	""	""
"琯"	"琯"	"kuœ̃3"	""	"鄉音字類"	""	""	""
"管"	"管"	"kuœ̃3"	"姓"	"鄉音字類"	""	""	""
"筦"	"筦"	"kuœ̃3"	""	"鄉音字類"	""	""	""
"錧"	"錧"	"kuœ̃3"	""	"鄉音字類"	""	""	""
"痯"	"痯"	"kuœ̃3"	""	"鄉音字類"	""	""	""
"館"	"馆"	"kuœ̃3"	""	"鄉音字類"	""	""	""
"灌"	"灌"	"kuœ̃5"	"澆~"	"鄉音字類"	""	""	""
"瓘"	"瓘"	"kuœ̃5"	""	"鄉音字類"	""	""	""
"貫"	"贯"	"kuœ̃5"	"連~"	"鄉音字類"	""	""	""
"盥"	"盥"	"kuœ̃5"	""	"鄉音字類"	""	""	""
"祼"	"祼"	"kuœ̃5"	""	"鄉音字類"	""	""	""
"爟"	"爟"	"kuœ̃5"	""	"鄉音字類"	""	""	""
"矔"	"矔"	"kuœ̃5"	""	"鄉音字類"	""	""	""
"寬"	"宽"	"kʰuœ̃1"	"~厚"	"鄉音字類"	""	""	""
"款"	"款"	"kʰuœ̃3"	"~子"	"鄉音字類"	""	""	""
"窽"	"窾"	"kʰuœ̃3"	""	"鄉音字類"	""	""	""
"梡"	"梡"	"kʰuœ̃3"	""	"鄉音字類"	""	""	""
"歡"	"欢"	"huœ̃1"	"~喜"	"鄉音字類"	""	""	""
"讙"	"欢"	"huœ̃1"	""	"鄉音字類"	""	""	""
"驩"	"欢"	"huœ̃1"	""	"鄉音字類"	""	""	""
"貛"	"獾"	"huœ̃1"	""	"鄉音字類"	""	""	""
"䝔"	"獾"	"huœ̃1"	"狗~"	"蘇州同音常用字彙"	""	""	""
"懽"	"懽"	"huœ̃1"	""	"鄉音字類"	""	""	""
"奐"	"奂"	"huœ̃5"	""	"鄉音字類"	""	""	""
"煥"	"焕"	"huœ̃5"	""	"鄉音字類"	""	""	""
"渙"	"涣"	"huœ̃5"	"~散"	"鄉音字類"	""	""	""
"喚"	"唤"	"huœ̃5"	""	"鄉音字類"	""	""	""
"唤"	"唤"	"huœ̃5"	""	"蘇州同音常用字彙"	""	""	""
"焕"	"焕"	"huœ̃5"	"顕~"	"蘇州同音常用字彙"	""	""	""
"丸"	"丸"	"ɦuœ̃2"	"文讀：~藥"	"鄉音字類"	""	""	""
"完"	"完"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"汍"	"汍"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"芄"	"芄"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"紈"	"纨"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"瓛"	"瓛"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"萑"	"萑"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"桓"	"桓"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"亘"	"亘"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"垸"	"垸"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"垣"	"垣"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"刓"	"刓"	"ɦuœ̃2"	""	"鄉音字類"	""	""	""
"捖"	"捖"	"ɦuœ̃4"	""	"鄉音字類"	""	""	""
"捥"	"捥"	"ɦuœ̃4"	""	"鄉音字類"	""	""	""
"掔"	"掔"	"ɦuœ̃4"	""	"鄉音字類"	""	""	""
"皖"	"皖"	"ɦuœ̃4"	""	"鄉音字類"	""	""	""
"玩"	"玩"	"ɦuœ̃6"	"游~"	"鄉音字類"	""	""	""
"翫"	"玩"	"ɦuœ̃6"	""	"鄉音字類"	""	""	""
"忨"	"忨"	"ɦuœ̃6"	""	"鄉音字類"	""	""	""
"換"	"换"	"ɦuœ̃6"	""	"鄉音字類"	""	""	""
"剜"	"剜"	"uœ̃1"	""	"鄉音字類"	""	""	""
"宛"	"宛"	"uœ̃3"	""	"鄉音字類"	""	""	""
"琬"	"琬"	"uœ̃3"	""	"鄉音字類"	""	""	""
"婉"	"婉"	"uœ̃3"	""	"鄉音字類"	""	""	""
"腕"	"腕"	"uœ̃3"	"手~"	"鄉音字類"	""	""	""
"畹"	"畹"	"uœ̃3"	""	"鄉音字類"	""	""	""
"睕"	"睕"	"uœ̃3"	""	"鄉音字類"	""	""	""
"踠"	"踠"	"uœ̃3"	""	"鄉音字類"	""	""	""
"碗"	"碗"	"uœ̃3"	"飯~"	"鄉音字類"	""	""	""
"盌"	"碗"	"uœ̃3"	""	"鄉音字類"	""	""	""
"莞"	"莞"	"uœ̃3"	""	"鄉音字類"	""	""	""
"睆"	"睆"	"uœ̃3"	""	"鄉音字類"	""	""	""
"浣"	"浣"	"uœ̃3"	""	"鄉音字類"	""	""	""
"澣"	"浣"	"uœ̃3"	""	"鄉音字類"	""	""	""
"緩"	"缓"	"uœ̃3"	"~一日"	"鄉音字類"	""	""	""
"豌"	"豌"	"uœ̃3"	""	"蘇州同音常用字彙"	""	""	""
"翾"	"翾"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"嬛"	"嬛"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"蠉"	"蠉"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"儇"	"儇"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"獧"	"狷"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"蠲"	"蠲"	"ʨiœ̃1"	"~免"	"鄉音字類"	""	""	""
"鵑"	"鹃"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"蜎"	"蜎"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"涓"	"涓"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"捐"	"捐"	"ʨiœ̃1"	"募~"	"鄉音字類"	""	""	""
"娟"	"娟"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"悁"	"悁"	"ʨiœ̃1"	""	"鄉音字類"	""	""	""
"卷"	"卷"	"ʨiœ̃3"	""	"鄉音字類"	""	""	""
"捲"	"卷"	"ʨiœ̃3"	""	"鄉音字類"	""	""	""
"琄"	"琄"	"ʨiœ̃3"	""	"鄉音字類"	""	""	""
"絹"	"绢"	"ʨiœ̃5"	"~踢"	"鄉音字類"	""	""	""
"眷"	"眷"	"ʨiœ̃5"	"親~"	"鄉音字類"	""	""	""
"狷"	"狷"	"ʨiœ̃5"	""	"鄉音字類"	""	""	""
"罥"	"罥"	"ʨiœ̃5"	""	"鄉音字類"	""	""	""
"睊"	"睊"	"ʨiœ̃5"	""	"鄉音字類"	""	""	""
"犬"	"犬"	"ʨʰiœ̃1"	""	"鄉音字類"	""	""	""
"畎"	"畎"	"ʨʰiœ̃1"	""	"鄉音字類"	""	""	""
"甽"	"甽"	"ʨʰiœ̃1"	""	"鄉音字類"	""	""	""
"綣"	"绻"	"ʨʰiœ̃1"	""	"鄉音字類"	""	""	""
"勸"	"劝"	"ʨʰiœ̃5"	""	"鄉音字類"	""	""	""
"券"	"券"	"ʨʰiœ̃5"	"禮~"	"鄉音字類"	""	""	""
"卷"	"卷"	"ʥiœ̃2"	""	"鄉音字類"	""	""	""
"踡"	"踡"	"ʥiœ̃2"	""	"鄉音字類"	""	""	""
"鬈"	"鬈"	"ʥiœ̃2"	""	"鄉音字類"	""	""	""
"顴"	"颧"	"ʥiœ̃2"	"~骨"	"鄉音字類"	""	""	""
"權"	"权"	"ʥiœ̃2"	"~力"	"鄉音字類"	""	""	""
"拳"	"拳"	"ʥiœ̃2"	"~頭"	"鄉音字類"	""	""	""
"圈"	"圈"	"ʥiœ̃4"	"白讀：豬~。聲調據《廣韻》：渠篆切"	"蘇州同音常用字彙"	""	""	""
"倦"	"倦"	"ʥiœ̃6"	"疲~"	"鄉音字類"	""	""	""
"元"	"元"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"沅"	"沅"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"黿"	"鼋"	"ȵiœ̃2"	"癩頭~"	"鄉音字類"	""	""	""
"原"	"原"	"ȵiœ̃2"	"~諒"	"鄉音字類"	""	""	""
"源"	"源"	"ȵiœ̃2"	"~頭上"	"鄉音字類"	""	""	""
"嫄"	"嫄"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"杬"	"杬"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"岏"	"岏"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"縓"	"縓"	"ȵiœ̃2"	""	"鄉音字類"	""	""	""
"泫"	"泫"	"ȵiœ̃4"	""	"鄉音字類"	""	""	""
"鉉"	"铉"	"ȵiœ̃4"	""	"鄉音字類"	""	""	""
"阮"	"阮"	"ȵiœ̃4"	""	"鄉音字類"	""	""	""
"苑"	"苑"	"ȵiœ̃4"	""	"鄉音字類"	""	""	""
"願"	"愿"	"ȵiœ̃6"	"情~"	"鄉音字類"	""	""	""
"愿"	"愿"	"ȵiœ̃6"	""	"鄉音字類"	""	""	""
"萱"	"萱"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"喧"	"喧"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"諠"	"諠"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"暄"	"暄"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"煖"	"煖"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"諼"	"谖"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"蘐"	"萱"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"貆"	"貆"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"塤"	"埙"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"壎"	"埙"	"ɕiœ̃1"	""	"鄉音字類"	""	""	""
"咺"	"咺"	"ɕiœ̃3"	""	"鄉音字類"	""	""	""
"烜"	"烜"	"ɕiœ̃3"	""	"鄉音字類"	""	""	""
"渲"	"渲"	"ɕiœ̃5"	"~染"	"蘇州同音常用字彙"	""	""	""
"員"	"员"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"㘣"	"㘣"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"圜"	"圜"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"湲"	"湲"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"袁"	"袁"	"ɦiœ̃2"	"姓"	"鄉音字類"	""	""	""
"猿"	"猿"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"轅"	"辕"	"ɦiœ̃2"	"~門"	"鄉音字類"	""	""	""
"園"	"园"	"ɦiœ̃2"	"花~"	"鄉音字類"	""	""	""
"爰"	"爰"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"援"	"援"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"猨"	"猨"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"緣"	"缘"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"櫞"	"橼"	"ɦiœ̃2"	"香~"	"鄉音字類"	""	""	""
"懸"	"悬"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"玄"	"玄"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"鍰"	"锾"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"蚿"	"蚿"	"ɦiœ̃2"	""	"鄉音字類"	""	""	""
"遠"	"远"	"ɦiœ̃4"	"~水弗救近火"	"鄉音字類"	""	""	""
"苑"	"苑"	"ɦiœ̃4"	"理論上應讀[iø⁵¹]"	"蘇州同音常用字彙"	""	""	""
"縣"	"县"	"ɦiœ̃6"	"吳~"	"鄉音字類"	""	""	""
"炫"	"炫"	"ɦiœ̃6"	""	"鄉音字類"	""	""	""
"眩"	"眩"	"ɦiœ̃6"	"頭~"	"鄉音字類"	""	""	""
"院"	"院"	"ɦiœ̃6"	""	"鄉音字類"	""	""	""
"媛"	"媛"	"ɦiœ̃6"	""	"鄉音字類"	""	""	""
"瑗"	"瑗"	"ɦiœ̃6"	""	"鄉音字類"	""	""	""
"淵"	"渊"	"iœ̃1"	""	"鄉音字類"	""	""	""
"鼘"	"鼘"	"iœ̃1"	""	"鄉音字類"	""	""	""
"鳶"	"鸢"	"iœ̃1"	"紙~"	"鄉音字類"	""	""	""
"駌"	"駌"	"iœ̃1"	""	"鄉音字類"	""	""	""
"眢"	"眢"	"iœ̃1"	""	"鄉音字類"	""	""	""
"鵷"	"鹓"	"iœ̃1"	""	"鄉音字類"	""	""	""
"冤"	"冤"	"iœ̃1"	""	"鄉音字類"	""	""	""
"寃"	"冤"	"iœ̃1"	"同“冤”"	"蘇州同音常用字彙"	""	""	""
"惌"	"惌"	"iœ̃1"	""	"鄉音字類"	""	""	""
"怨"	"怨"	"iœ̃5"	"~恨"	"鄉音字類"	""	""	""
"茲"	"茲"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"滋"	"滋"	"ʦɿ1"	"~潤"	"鄉音字類"	""	""	""
"镃"	"镃"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"孜"	"孜"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"耔"	"耔"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"仔"	"仔"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"孳"	"孳"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"鼒"	"鼒"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"嵫"	"嵫"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"姿"	"姿"	"ʦɿ1"	"~質"	"鄉音字類"	""	""	""
"資"	"資"	"ʦɿ1"	"~本"	"鄉音字類"	""	""	""
"咨"	"咨"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"粢"	"粢"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"訿"	"訿"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"訾"	"訾"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"髭"	"髭"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"觜"	"觜"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"貲"	"貲"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"𦺱"	"𦺱"	"ʦɿ1"	""	"鄉音字類"	""	""	""
"緇"	"緇"	"ʦɿ1"	""	"鄉音字類"	""	""	""
