字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
弄		nəŋ⁴¹	nəŋ⁴¹/\nnuŋ⁴¹	nuŋ⁴¹	nuŋ⁴¹	nuŋ⁴¹	nuŋ⁴¹	nuŋ⁴¹	nuŋ⁴¹	
历		li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	li⁴¹	
绩		tsi⁴¹	tsi²⁴	tsi²⁴	tsi²⁴	tsi⁴¹	tsi⁴¹	tsi⁴¹	tsi⁴¹	
青		tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	
戚		tsʰi²⁴	tsʰi²⁴	tsʰi²⁴	tsʰi²⁴	tsʰin⁴⁴	tsʰi²⁴	tsʰi²⁴	tsʰi²⁴	
星		siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	
腥		siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	siŋ²⁴	
醒		siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	
析		si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	
经		tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	
激		tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	tɕi²⁴	
形		ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	
矿		kʰuaŋ⁴¹	kʰuaŋ⁴\n¹	kʰuaŋ⁴¹	kʰuaŋ⁴¹	kʰuaŋ⁴¹	kʰuaŋ⁴¹	kʰuaŋ⁴¹	kʰuaŋ⁴¹	
横	~直	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	xuŋ⁴¹	
