例字	老派	新派	
銹	ɕiəu213	ɕiəu213	
宿	ɕy21	ɕiəu45	
囚	ɕiəu21	ɕiəu21	
泅	ʨʰiəu21	ʨʰiəu21	
袖	ɕiəu213	ɕiəu213	
肘	tsəu53	tsəu53	
晝	tsəu213	tsəu213	
抽	tsʰəu45	tsʰəu45	
丑	tsʰəu53	tsʰəu53	
綢	tsʰəu21	tsʰəu21	
稠	tsʰəu21	tsʰəu21	
籌	tsʰəu21	tsʰəu21	
紂	tsəu213	tsəu213	
宙	tsəu213	tsəu213	
鄒	tsəu45	tsəu45	
掫	tsʰəu45	tsəu45	
皺	tsoŋ213	tsəu213	
縐	tsəu213	tsəu45	
矁	tsʰəu53	tsʰəu53	
愁	tsʰəu21	tsʰəu21	
驟	tsʰəu213	tsəu213	
搜	səu45	səu45	
飕	səu45	səu45	
餿	səu45	səu45	
蒐	səu45	səu45	
瘦	səu213	səu213	
漱	su213	su213	
休	ɕiəu45	ɕiəu45	
朽	ɕiəu53	ɕiəu53	
嗅	ɕiəu213	ɕiəu213	
優	iəu45	iəu45	
憂	iəu45	iəu45	
尤	iəu21	iəu21	
郵	iəu21	iəu21	
有	iəu53	iəu53	
友	iəu53	iəu53	
又	iəu213	iəu213	
右	iəu213	iəu213	
祐	iəu213	iəu213	
由	iəu21	iəu21	
油	iəu21	iəu21	
游	iəu21	iəu21	
猶	iəu21	iəu21	
悠	iəu45	iəu45	
酉	iəu53	iəu53	
莠	iəu213	iəu213	
誘	iəu213	iəu213	
柚	iəu213	iəu213	
釉	iəu213	iəu213	
彪	piau45	piau45	
謬	miəu213	miəu213	
丢	tiəu45	tiəu45	
糾	ʨiəu45	ʨiəu45	
幽	iəu45	iəu45	
幼	iəu213	iəu213	
耽	tan45	tan45	
搭	ta21	ta21	
答	ta21	ta21	
貪	tʰan45	tʰan45	
探	tʰan213	tʰan213	
踏	tʰa21	tʰa21	
搨	tʰa21	tʰa21	
潭	tʰan21	tʰan21	
谭	tʰan21	tʰan21	
壜	tʰan21	tʰan21	
沓	tʰa21	tʰa213	
南	lan21	lan21	
男	lan21	lan21	
籃	lan21	lan21	
覽	lan53	lan53	
攬	lan53	lan53	
欖	lan53	lan53	
濫	lan213	lan213	
纜	lan53	lan53	
臘	la21	la21	
蠟	la21	la21	
镴	tsʰəu45	la21	
慚	tsʰan21	tsʰan21	
暫	tsan213	tsan213	
鏨	tsan213	tsan53	
三	san45	san45	
甘	kan45	kan45	
柑	kan45	kan45	
泔	kan45	kan45	
敢	kan53	kan53	
橄	kan53	kan53	
磕	kʰo21	kʰo21	
憨	xan45	xan45	
喊	xan53	xan53	
酣	xan45	xan45	
站	tsan213	tsan213	
劄	tsa21	tsa21	
賺	tsuan213	tsuan213	
站	tsan213	tsan213	
斬	tsan53	tsan53	
蘸	tsan213	tsan213	
眨	tsa21	tsa21	
插	tsʰa21	tsʰa21	
饞	tsʰan21	tsʰan21	
讒	tsʰan21	tsʰan21	
閘	tsa21	tsa21	
煠	tsa21	tsa21	
杉	sa45	sa45/san45	
尷	kan45	kan45	
减	ʨiɛn53	ʨiɛn53	
鹼	ʨiɛn53	ʨiɛn53	
夾	ʨia21	ʨia21	
裌	ʨia21	ʨia21	
掐	ʨʰia45	ʨʰia21	
籤	ʨʰiɛn45	ʨʰiɛn45	
簽	ʨʰiɛn45	ʨʰiɛn45	
扦	ʨʰiɛn45	ʨʰiɛn213	
妾	ʨʰie21	ʨʰie213	
潛	ʨʰiɛn21	ʨʰiɛn53	
漸	ʨiɛn213	ʨiɛn213	
捷	ʨʰie21	ʨie21	
纖	ʨʰiɛn45	ʨʰiɛn45/ɕiɛn45	
沾	tsan45	tsan45	
粘	tsan45	tsan45	
瞻	tsan53	tsan45	
占	tsan45	tsan45	
佔	tsan213	tsan213	
摺	tse21	tse21	
褶	tse21	tse21	
陝	san53	san53	
閃	san53	san53	
攝	se21	se21	
蟾	tsʰan21	tsʰan21	
涉	se21	se213	
染	zan53	zan53	
冉	zan53	zan53	
檢	ʨiɛn53	ʨiɛn53	
臉	liɛn53	liɛn53	
鉗	ʨʰiɛn21	ʨʰiɛn21	
儉	ʨiɛn213	ʨiɛn213	
驗	ȵiɛn213	ȵiɛn213	
險	ɕiɛn53	ɕiɛn53	
淹	ŋan45	iɛn45/ŋan45	
閹	san213	iɛn45	
掩	iɛn53	iɛn53	
魇	iɛn213	iɛn213	
厭	iɛn213	iɛn213	
靨	iɛn213	iɛn213	
炎	iɛn45	iɛn45	
鹽	iɛn21	iɛn21	
閻	ȵiɛn21	iɛn21	
檐	iɛn21	iɛn21	
豔	iɛn213	iɛn213	
鹽	iɛn45	iɛn21	
焰	iɛn213	iɛn213	
協	ɕie21	ɕie21	
俠	ɕia21	ɕia21	
法	xua21	fa21	
泛	xuan213	fan213	
凡	xuan21	fan21	
帆	fan21	fan45	
範	xuan213	fan213	
范	xuan213	fan213	
犯	xuan213	fan213	
梵	xuan21	fan21	
乏	xua21	fa21	
禀	pin53	pin53	
品	pʰin53	pʰin53	
賃	lin213	lin213	
林	lin21	lin21	
淋	lin21	lin21	
臨	lin21	lin21	
檩	lin53	lin53	
凛	lin53	lin53	
立	li21	li21	
笠	li21	li21	
粒	li21	li21	
怎	tsən53	tsən53	
浸	ʨʰin213	ʨʰin213	
侵	ʨʰin213	ʨʰin213	
寢	ʨʰin53	ʨʰin53	
緝	ʨi21	ʨi21	
集	ʨi21	ʨi21	
輯	ʨi21	ʨi21	
心	ɕin45	ɕin45	
芯	ɕin45	ɕin45	
尋	ɕyn21	ɕin21/ɕyn21	
習	ɕi21	ɕi21	
襲	ɕi21	ɕi21	
砧	tsən45	tsan45	
沉	tsʰən21	tsʰən21	
蟄	tsɿ213	tse21	
簪	tsan45	tsan45	
參	tsʰən45	tsʰən45	
岑	tsʰən21	tsʰən21	
森	sən45	sən45	
吟	in21	ȵin21	
吸	ʨi21	ɕi21	
音	in45	in45	
陰	in45	in45	
飲	in53	in53	
陰	in45	in45	
窨	in45	in45	
飲	in53	in213	
揖	i21	i45	
邑	i21	i213	
淫	in21	in21	
丹	tan45	tan45	
單	tan45	tan45	
撣	tʰan53	tan53	
疸	tan53	tan53	
旦	tan213	tan213	
灘	tʰan45	tʰan45	
攤	tʰan45	tʰan45	
癱	tʰan45	tʰan45	
坦	tʰan53	tʰan53	
歎	tʰan213	tʰan213	
炭	tʰan213	tʰan213	
獺	tʰa21	tʰa21	
檀	tʰan21	tʰan21	
壇	tʰan21	tʰan21	
彈	tʰan21	tʰan21	
誕	tan213	tan213	
但	tan213	tan213	
彈	tan213	tan213	
蛋	tan213	tan213	
達	ta21	ta21	
難	lan21	lan21	
難	lan213	lan213	
捺	la21	la21	
蘭	lan21	lan21	
攔	lan21	lan21	
欄	lan21	lan21	
懶	lan53	lan53	
爛	lan213	lan213	
辣	la21	la21	
瘌	la21	lai213	
安	ŋan45	ŋan45	
鞍	ŋan45	ŋan45	
按	ŋan213	ŋan213	
案	ŋan213	ŋan213	
扮	pan213	pan213	
八	pa21	pa21	
盼	pʰan213	pʰan213	
辦	pan213	pan213	
瓣	pan213	pan213	
拔	pʰa21	pa21	
抹	ma21	ma21	
綻	tsʰan213	tsʰan213	
盞	tsan53	tsan53	
札	tsa21	tsa21	
紮	tsa21	tsa21	
鏟	tsʰuan53	tsʰuan53	
察	tsʰa21	tsʰa21	
山	san45	san45	
産	tsʰan53	tsʰan53	
殺	sa21	sa21	
艱	ʨiɛn45	ʨiɛn45	
間	ʨiɛn45	ʨiɛn45	
間	ʨiɛn45	ʨiɛn45	
簡	ʨiɛn53	ʨiɛn53	
柬	ʨiɛn53	ʨiɛn53	
揀	ʨiɛn53	ʨiɛn53	
間	ʨiɛn213	ʨiɛn213	
眼	iɛn53	iɛn53	
閑	ɕiɛn21	ɕiɛn21	
閑	ɕiɛn21	ɕiɛn21	
限	xan213	xan213/ɕiɛn213	
莧	xan213	ɕiɛn213	
莧	xan213	xan213	
軋	tsa21	ia213	
班	pan45	pan45	
斑	pan45	pan45	
扳	pan45	pan45	
頒	pan45	pan45	
板	pan53	pan53	
版	pan53	pan53	
攀	pʰan45	pʰan45	
烈	lie21	lie21	
裂	lie21	lie21/lie213	
煎	ʨiɛn45	ʨiɛn45	
剪	ʨiɛn53	ʨiɛn53	
箭	ʨiɛn213	ʨiɛn213	
濺	tsan213	ʨiɛn213	
遷	ʨʰiɛn45	ʨʰiɛn45	
淺	ʨʰiɛn53	ʨʰiɛn53	
錢	ʨʰiɛn21	ʨʰiɛn21	
踐	ʨiɛn53	ʨiɛn213	
賤	ʨiɛn213	ʨiɛn213	
仙	ɕiɛn45	ɕiɛn45	
鮮	ɕyɛn45	ɕyɛn45/ɕiɛn45	
鮮	ɕyɛn45	ɕiɛn45	
癬	ɕyɛn53	ɕyɛn53	
綫	ɕiɛn213	ɕiɛn213	
薛	ɕye21	ɕye45	
泄	ɕie213	ɕie213	
涎	ɕyɛn21	ɕiɛn21	
羡	ɕiɛn213	ɕiɛn213	
展	tsan53	tsan53	
哲	tse21	tse21	
蜇	tse21	tse21	
撤	tsʰe21	tsʰe21	
徹	tsʰe21	tsʰe21	
纏	tsʰan21	tsʰan21	
轍	tsʰe21	tse21	
澈	tsʰe21	tsʰe21	
氈	tsan45	tsan45	
戰	tsan213	tsan213	
顫	tsan213	tsan213/tsʰan213	
折	tse21	tse21	
浙	tse21	tse21	
舌	se21	se21	
搧	san213	san45	
扇	san213	san213	
設	se21	se21	
蟬	san21	tsʰan21	
禪	san21	tsʰan21	
善	san213	san213	
膳	san213	san213	
蝙	piɛn53	piɛn53	
扁	piɛn53	piɛn53	
匾	piɛn53	piɛn53	
遍	pʰiɛn213	piɛn213	
遍	pʰiɛn213	piɛn213	
憋	pie45	pie45	
片	pʰiɛn213	pʰiɛn213	
撇	pʰie45	pʰie45	
辮	piɛn213	piɛn213	
癟	pie53	pie53	
蹩	pie45	pie45	
眠	miɛn21	miɛn21	
麵	miɛn213	miɛn213	
篾	mie21	mie21	
衊	mie21	mie21	
顛	tiɛn45	tiɛn45	
癲	tiɛn45	tiɛn45	
典	tiɛn53	tiɛn53	
天	tʰiɛn45	tʰiɛn45	
腆	tʰiɛn53	tʰiɛn53	
鐵	tʰie21	tʰie21	
田	tʰiɛn21	tʰiɛn21	
填	tʰiɛn21	tʰiɛn21	
電	tiɛn213	tiɛn213	
殿	tiɛn213	tiɛn213	
奠	tiɛn213	tiɛn213	
佃	tiɛn53	tiɛn213	
墊	tiɛn213	tiɛn213	
澱	tiɛn213	tiɛn213	
迭	tie21	tie21	
年	ȵiɛn21	ȵiɛn21	
撚	ȵiɛn213	ȵiɛn45	
捏	ȵie21	ȵie21/ȵie45	
憐	lin21	liɛn21	
蓮	liɛn21	liɛn21	
練	liɛn213	liɛn213	
煉	liɛn213	liɛn213	
鏈	liɛn213	liɛn213	
楝	liɛn213	liɛn213	
鍊	liɛn213	liɛn213	
箋	ʨʰiɛn45	ʨʰiɛn45	
拚	pin45	pin45	
判	pʰan213	pʰan213	
潑	pʰo21	pʰo21/pʰo45	
盤	pʰan21	pʰan21	
伴	pan213	pan213	
拌	pan213	pan213	
畔	pʰan213	pʰan213	
叛	pʰan213	pʰan213	
鈸	po21	po21	
瞞	man21	man21	
饅	man21	man21	
鰻	man213	man213	
滿	man53	man53	
漫	man213	man213	
幔	man213	man213	
末	mo21	mo21	
沫	mo21	mo21	
抹	mo53	mo53	
端	tuan45	tuan45	
短	tuan53	tuan53	
斷	tuan213	tuan213	
鍛	tuan213	tuan213	
脱	tʰo21	tʰo21	
團	tʰuan21	tʰuan21	
糰	tʰuan21	tʰuan21	
斷	tuan213	tuan213	
段	tuan213	tuan213	
緞	tuan213	tuan213	
奪	tʰo21	tʰo21/to21	
暖	luan53	luan53	
鸞	luan21	luan21	
卵	luan53	luan53	
亂	luan213	luan213	
捋	ly53	lyu53/ly53	
鑽	tsuan213	tsuan213/tsuan45	
纂	tsʰuan213	tsuan213	
攒	tsan53	tsan53	
鑽	tsuan213	tsuan213	
汆	tsʰuan45	tsʰuan45	
躥	tsʰuan213	tsʰuan213	
竄	tsʰuan213	tsʰuan213	
猾	xua21	xua21	
挖	ua45	ua45	
篡	tsuan213	tsuan213	
撰	tsuan213	tsuan213	
閂	suan213	suan45	
拴	suan45	suan45	
涮	suan213	suan213	
刷	sua21	sua21	
關	kuan45	kuan45	
慣	kuan213	kuan213	
摜	kuan213	kuan213	
刮	kua21	kua21	
還	xuan21	xuan21	
還	xai21	xai21	
環	xuan21	xuan21	
患	xuan213	xuan213	
宦	xuan213	xuan213	
彎	uan45	uan45	
灣	uan45	uan45	
戀	liɛn213	liɛn213	
劣	ȵie21	lie21	
全	ʨʰyɛn21	ʨʰyɛn21	
泉	ʨʰyɛn21	ʨʰyɛn21	
絶	ʨye21	ʨye21	
宣	ɕyɛn45	ɕyɛn45	
選	ɕyɛn53	ɕyɛn53	
雪	ɕye21	ɕye21	
旋	ɕyɛn21	ɕyɛn21	
旋	ɕyɛn213	ɕyɛn213	
轉	tsuan53	tsuan53	
轉	tsuan213	tsuan213	
傳	tsʰuan21	tsʰuan21	
椽	tsʰuan45	tsʰuan21	
篆	tsuan213	tsuan213	
傳	tsuan213	tsuan213	
專	tsuan45	tsuan45	
磚	tsuan45	tsuan45	
拙	tso21	tso21	
川	tsʰuan45	tsʰuan45	
穿	tsʰuan45	tsʰuan45	
喘	tsʰuan53	tsʰuan53	
蕨	ʨʰye21	ʨʰye21	
憠	ʨye213	ʨye213	
勸	ʨʰyɛn213	ʨʰyɛn213	
券	ʨyɛn213	ʨyɛn213	
掘	ʨye21	ʨye21	
橛	ʨye21	ʨye21	
元	yɛn21	yɛn21	
原	yɛn21	yɛn21	
源	yɛn21	yɛn21	
阮	zuan53	zuan53	
願	yɛn213	yɛn213	
月	ye21	ye21	
喧	ɕyɛn45	ɕyɛn45	
楦	ɕyɛn213	ɕyɛn213	
冤	yɛn45	yɛn45	
宛	uan45	uan53	
怨	yɛn213	yɛn213	
噦	xuei213	xuei213	
袁	yɛn21	yɛn21	
轅	yɛn21	yɛn21	
園	yɛn21	yɛn21	
援	yɛn21	yɛn21	
猿	yɛn21	yɛn21	
遠	yɛn53	yɛn53	
曰	ye45	ye45	
越	ye21	ye21	
粤	ye21	ye21	
决	ʨye21	ʨye21	
訣	ʨye21	ʨye21	
犬	ʨʰyɛn53	ʨʰyɛn53	
缺	ʨʰye21	ʨʰye21	
血	ɕie21	ɕie21	
玄	ɕyɛn21	ɕyɛn21	
懸	ɕyɛn21	ɕyɛn21	
縣	ɕiɛn213	ɕiɛn213	
眩	ɕyɛn213	ɕyɛn213	
穴	ɕie21	ɕye21	
淵	yɛn45	yɛn45	
吞	tʰən45	tʰən45/tʰuən45	
跟	kən45	kən45	
根	kən45	kən45	
瀙	ʨʰin213	ʨʰin213	
七	ʨʰi21	ʨi22/ʨʰi21	
漆	ʨʰi21	ʨʰi21	
秦	ʨʰin21	ʨʰin21	
盡	ʨin213	ʨin213	
疾	ʨi21	ʨi21	
辛	ɕin45	ɕin45	
薪	ɕin45	ɕin45	
新	ɕin45	ɕin45	
信	ɕin213	ɕin213	
訊	ɕyn213	ɕyn213	
悉	ɕi21	ɕi21	
膝	ɕi21	ʨʰi21/ɕi21	
蟋	ɕi21	ɕi45	
珍	tsən45	tsən45	
鎮	tsən213	tsən213	
趁	tsʰən213	tsʰən213	
陳	tsʰən21	tsʰən21	
塵	tsʰən21	tsʰən21	
陣	tsən213	tsən213	
侄	tsɿ21	tsɿ21	
秩	tsʰɿ21	tsɿ213	
榛	tsən45	tsən45	
臻	tsən45	tsən45	
襯	tsʰən213	tsʰən213	
瑟	se21	se21	
蝨	se21	sɿ45	
真	tsən45	tsən45	
診	tsən45	tsən53	
疹	tsən45	tsən53	
振	tsən53	tsən213	
震	tsən213	tsən213	
質	tsɿ21	tsɿ21	
神	sən21	sən21	
實	sɿ21	sɿ21	
身	sən45	sən45	
申	sən45	sən45	
伸	sən45	sən45	
娠	sən45	sən45	
失	sɿ21	sɿ21	
室	sɿ21	sɿ21	
奔	pən45	pən45	
本	pən53	pən53	
不	pu21	pu21	
噴	pʰən45	pʰən213/pʰən45	
噴	pʰoŋ213	pʰoŋ213	
盆	pʰən21	pʰən21	
笨	pən213	pən213	
脖	po21	po21	
勃	po21	po21	
門	mən21	mən21	
悶	mən213	mən213/mən45	
没	mo21	mo213	
敦	tən45	tən45/tuən45	
墩	tən45	tən53	
頓	tən213	tən213/tuən213	
扽	tən213	tən213	
褪	tʰuei213	tʰuei213	
屯	tən213	tʰuən21	
豚	tʰən21	tʰən21/tʰuən21	
臀	tʰən21	tʰən21/tʰuən21	
盾	tən213	tən213/tuən213	
沌	tən213	tuən213	
鈍	tən213	tən213/tuən213	
遁	tən213	tən213/tuən213	
突	tʰu21	tʰu21	
凸	tʰu21	tʰu21	
嫩	lən213	lən213	
論	lən213	luən21	
侖	lən21	lən21/luən21	
論	lən213	lən213/luən213	
尊	tsən45	tsən45/tsuən45	
撙	tsən45	tsən45	
卒	ʨyu21	tsu21	
村	tsʰən45	tsʰən45/tsʰuən45	
忖	tsʰən213	tsʰən213	
寸	tsʰən213	tsʰən213/tsuən213	
猝	tsʰu21	tsʰu213/tsʰu21	
存	tsʰən21	tsʰən21/tsʰuən21	
蹲	tən45	tən45/tuən45	
孫	sən45	sən45/suən45	
損	sən53	sən53/suən53	
椿	tsʰuən45	tsʰuən45	
朮	tsʰu21	tsʰu213	
率	suai213	suai213	
蟀	suai213	suai213	
摔	suai53	suai45	
肫	tsən45	tsən45	
準	tsuən53	tsuən53	
圳	tsən213	tsən213	
春	tsʰuən45	tsʰuən45	
蠢	tsʰuən53	tsʰuən53	
出	tsʰu21	tsʰu21	
脣	suən21	tsʰuən21	
吮	suən45	suən53	
盾	tən213	tən213/tuən213	
順	suən213	suən213	
述	su213	su213	
術	su213	su213	
舜	suən213	suən213	
純	suən21	suən21/tsʰuən21	
醇	suən21	suən21/tsʰuən21	
蓴	suən21	tsʰuən21	
閏	zuən213	zuən213	
潤	zuən213	zuən213	
鈞	ʨyn45	ʨyn45	
均	ʨyn45	ʨyn45	
橘	ʨy21	ʨyu21/ʨy21	
菌	ʨyn213	ʨyn45	
匀	yn21	yn21	
允	yn53	yŋ53/yn53	
尹	yn53	in53	
分	fən45	fən45	
吩	fən45	fən45	
粉	fən53	fən53	
糞	fən213	fən213	
奮	fən213	fən213	
弗	fu21	fu21	
芬	fən45	fən45	
紛	fən45	fən45	
彿	fu21	fu21	
焚	fən21	fən21	
墳	fən21	fən21	
螃	pʰaŋ21	pʰaŋ21	
傍	paŋ213	paŋ213	
泊	po21	po21	
薄	po21	po21	
忙	maŋ21	maŋ21	
芒	maŋ21	maŋ21	
茫	maŋ21	maŋ21	
莽	maŋ53	maŋ45/maŋ53	
蟒	maŋ53	maŋ53	
莫	mo213	mo213	
膜	mo21	mo21	
幕	mo213	mu213	
寞	mo213	mo213	
摸	mo45	mo45	
當	taŋ45	taŋ45	
襠	taŋ45	taŋ45	
黨	taŋ53	taŋ53	
擋	taŋ53	taŋ53	
當	taŋ213	taŋ213	
檔	taŋ53	taŋ53	
湯	tʰaŋ45	tʰaŋ45	
倘	tʰaŋ53	tʰaŋ53	
躺	tʰaŋ53	tʰaŋ53	
燙	tʰaŋ213	tʰaŋ213	
趟	tʰaŋ213	tʰaŋ213	
托	tʰo21	tʰo21	
託	tʰo21	tʰo21	
拓	tʰo21	tʰo213	
堂	tʰaŋ21	tʰaŋ21	
棠	tʰaŋ21	tʰaŋ21	
螳	tʰaŋ21	tʰaŋ21	
唐	tʰaŋ21	tʰaŋ21	
糖	tʰaŋ21	tʰaŋ21	
塘	tʰaŋ21	tʰaŋ21	
盪	tʰaŋ213	tʰaŋ45	
蕩	taŋ213	taŋ213	
宕	taŋ213	taŋ213	
度	to21	to21	
踱	to213	to21	
鐸	to21	to21	
囊	laŋ21	laŋ21	
槓	kaŋ213	kaŋ213	
胳	ko21	ko21	
各	ko21	ko21	
閣	ko21	ko21	
擱	ko21	ko45	
康	kʰaŋ45	kʰaŋ45	
糠	kʰaŋ45	kʰaŋ45	
慷	kʰaŋ45	kʰaŋ45	
抗	kʰaŋ213	kʰaŋ213	
炕	kʰaŋ213	kʰaŋ213	
囥	kʰaŋ53	kʰaŋ53	
昂	ŋaŋ21	ŋaŋ21/aŋ21	
鄂	ŋo21	o213	
鰐	o21	ŋo21	
腭	o21	o21	
愕	ŋo21	o213	
郝	xau53	xau53	
行	xaŋ21	xaŋ21	
航	xaŋ21	xaŋ21	
杭	xaŋ21	xaŋ21	
鶴	xo21	xo213	
骯	ŋaŋ45	ŋaŋ45/aŋ45	
惡	ŋo21	ŋo21/o21	
娘	ȵiaŋ21	ȵiaŋ21	
釀	zaŋ53	liaŋ213	
良	liaŋ21	liaŋ21	
凉	liaŋ21	liaŋ21	
量	liaŋ213	liaŋ213	
糧	liaŋ21	liaŋ21	
梁	liaŋ21	liaŋ21	
粱	liaŋ21	liaŋ21	
兩	liaŋ53	liaŋ53	
兩	liaŋ53	liaŋ53	
亮	liaŋ213	liaŋ213	
諒	liaŋ213	liaŋ213	
輛	liaŋ53	liaŋ53	
量	liaŋ213	liaŋ213	
略	lyo21	lyo21/ly21	
掠	lyo21	lyo21/ly21	
將	ʨiaŋ45	ʨiaŋ45	
漿	ʨiaŋ45	ʨiaŋ213	
杖	tsaŋ213	tsaŋ213	
着	tsau21	tso21	
莊	tsuaŋ45	tsuaŋ45	
裝	tsuaŋ45	tsuaŋ45	
妝	tsuaŋ45	tsuaŋ45	
壯	tsuaŋ213	tsuaŋ213	
瘡	tsʰuaŋ45	tsʰuaŋ45	
闖	tsʰuaŋ53	tsʰuaŋ53	
創	tsʰuaŋ213	tsʰuaŋ213	
牀	tsʰuaŋ21	tsʰuaŋ21	
狀	tsuaŋ213	tsuaŋ213	
霜	suaŋ45	suaŋ45	
爽	suaŋ53	suaŋ53	
章	tsaŋ45	tsaŋ45	
樟	tsaŋ45	tsaŋ45	
蟑	tsaŋ45	tsaŋ45	
掌	tsaŋ53	tsaŋ53	
障	tsaŋ213	tsaŋ213	
瘴	tsaŋ213	tsaŋ213	
酌	tsu21	tso21	
昌	tsʰaŋ45	tsʰaŋ45	
菖	tsʰaŋ45	tsʰaŋ45	
娼	tsʰaŋ45	tsʰaŋ45	
廠	tsʰaŋ53	tsʰaŋ53	
唱	tsʰaŋ213	tsʰaŋ213	
倡	tsʰaŋ213	tsʰaŋ213	
綽	tsʰo21	tsʰo21	
商	saŋ45	saŋ45	
傷	saŋ45	saŋ45	
賞	saŋ53	saŋ53	
晌	saŋ53	sa53	
餉	ɕiaŋ53	ɕiaŋ53	
常	saŋ21	saŋ21/tsʰaŋ21	
嘗	saŋ21	saŋ21/tsʰaŋ21	
裳	saŋ21	saŋ21	
償	saŋ53	saŋ21/tsʰaŋ21	
上	saŋ213	saŋ213	
尚	saŋ213	saŋ213	
上	saŋ213	saŋ213	
勺	so21	sua21	
芍	so21	sau21	
光	kuaŋ45	kuaŋ45	
廣	kuaŋ53	kuaŋ53	
郭	ko21	ko21/ko45	
曠	kʰuaŋ213	kʰuaŋ213	
廓	kʰue21	kʰue21	
擴	kʰue21	kʰue21/kʰuo21	
荒	xuaŋ45	xuaŋ45	
慌	xuaŋ45	xuaŋ45	
謊	xuaŋ53	xuaŋ53	
霍	xo21	xo213	
藿	xo21	xo21	
黄	xuaŋ21	xuaŋ21	
簧	xuaŋ21	xuaŋ21	
皇	xuaŋ21	xuaŋ21	
蝗	xuaŋ21	xuaŋ21	
蟥	xuaŋ21	xuaŋ21	
凰	xuaŋ21	xuaŋ21	
晃	xuaŋ53	xuaŋ53/xuaŋ213	
汪	uaŋ45	uaŋ45	
方	faŋ45	faŋ45	
坊	faŋ45	faŋ45	
肪	faŋ21	faŋ21	
倣	faŋ53	faŋ53	
放	faŋ213	faŋ213	
芳	faŋ45	faŋ45	
妨	faŋ21	faŋ21	
紡	faŋ53	faŋ53	
仿	faŋ53	faŋ53	
彷	faŋ53	faŋ53	
訪	faŋ53	faŋ53	
房	faŋ21	faŋ21	
防	faŋ21	faŋ21	
縛	fu213	fu213	
亡	uaŋ21	uaŋ21	
芒	maŋ21	maŋ21	
網	uaŋ53	uaŋ53	
望	uaŋ213	uaŋ213	
妄	uaŋ213	uaŋ213	
忘	uaŋ21	uaŋ213	
筐	kʰuaŋ45	kʰuaŋ45	
框	kʰuaŋ45	kʰuaŋ45	
角	ko21	ʨyo21	
餃	ʨiau53	ʨiau53	
覺	ʨyo21	ʨyo21/ʨye21	
腔	ʨʰiaŋ45	ʨʰiaŋ45	
確	ʨʰyo21	ʨʰyo21	
殼	kʰo21	kʰo21	
樂	yo21	yo21/ye21	
嶽	yo21	yo21/ye21	
岳	yo21	yo21/ye21	
握	o21	uo213	
夯	xaŋ45	xaŋ45	
降	ʨiaŋ213	ʨiaŋ21	
項	xaŋ213	xaŋ213/ɕiaŋ213	
巷	xaŋ213	xaŋ213/ɕiaŋ213	
學	ɕyo21	ɕyo21/ɕye21	
崩	pən45	pən45	
北	pie21	pe21	
朋	pʰoŋ21	pʰoŋ21	
墨	mie21	mei21/mo21	
默	mie21	mei21/mo21	
登	tən45	tən45	
燈	tən45	tən45	
等	tən53	tən53	
戥	tən53	tən53	
凳	tən213	tən213	
得	tie21	te21	
德	tie21	te21	
藤	tʰən21	tʰən21	
騰	tʰən21	tʰən21	
謄	tʰən21	tʰən21	
鄧	tən213	tən213	
澄	tsən213	tən213	
特	tʰie21	te21	
能	lən21	lən21	
棱	lən21	lən21	
勒	lie21	lei21	
肋	lie21	lei21	
增	tsən45	tsən45	
曾	tsən45	tsən45	
憎	tsən213	tsən213	
則	tse21	tse21	
證	tsən213	tsən213	
症	tsən213	tsən213	
織	tsɿ21	tsɿ21	
職	tsɿ21	tsɿ21	
稱	tsʰən45	tsʰən45	
稱	tsʰən213	tsʰən213	
秤	tsʰən213	tsʰən213	
乘	sən21	tsʰən21	
繩	suən21	suən21/sən21	
剩	sən213	sən213	
食	sɿ21	sɿ21	
蝕	sɿ213	sɿ21	
升	sən45	sən45	
勝	sən213	sən213	
勝	sən213	sən213	
式	sɿ213	sɿ213	
識	sɿ21	sɿ21	
飾	sɿ213	sɿ213	
承	tsʰən21	tsʰən21	
丞	tsʰən21	tsʰən21	
植	tsɿ21	tsɿ21	
殖	tsɿ21	tsɿ21	
仍	in21	zən21	
扔	zən53	zən45	
棘	ʨi21	ʨi21	
極	ʨie21	ʨi21	
凝	lin213	lin21	
興	ɕin45	ɕin45	
興	ɕin213	ɕin213	
應	in213	in45	
鷹	in45	in45	
應	in213	in213	
抑	i21	i213	
憶	i213	i213	
億	i213	i213	
蠅	in45	in45	
孕	zuən213	zuən213/yn213	
翼	i213	i213	
國	kue21	kue21/kuo21	
弘	xoŋ21	xoŋ21	
或	xue21	xue21/xuo21	
更	kən213	kən213	
格	ke21	ka21/ke21	
骼	ke21	ke21	
坑	kʰən45	kʰən45	
客	kʰe21	kʰa21/kʰe21	
硬	ŋən213	ŋən213	
額	ŋe21	ŋe21	
亨	xən45	xən45	
哼	xən45	xən45	
赫	xe21	xo213	
嚇	xe21	xe21	
行	ɕin21	ɕin21	
衡	xən21	xən21	
杏	xən213	xən213/ɕin213	
行	ɕin21	ɕin21	
繃	poŋ45	poŋ45	
浜	paŋ45	paŋ45	
迸	poŋ213	poŋ213	
擘	po21	po21	
棚	pʰoŋ21	pʰoŋ21	
蚌	pan213	pan213/paŋ213	
萌	moŋ21	moŋ21	
氓	maŋ21	maŋ21	
脈	me21	me21	
麥	me21	me21	
摘	tse21	tse21	
橙	tsʰən21	tsʰən21	
争	tsən45	tsən45	
