汉字	临沧	凤庆	云县	双江	永德	镇康	耿马	沧源
脏{内~}葬藏{~青色}	tsã²¹³	tsã⁴⁵	tsᴀ̃²¹³	tsã²¹³	tsɑ̃⁴⁵	tsɑ̃⁴⁵	tsɑ̃²¹³	tsɑ̃²¹³
仓沧苍舱	tsʰã⁴⁴	tsʰã⁵⁵	tsʰᴀ̃⁵⁵	tsʰã⁵⁵	tsʰɑ̃⁴⁴	tsʰɑ̃⁵⁵	tsʰɑ̃⁴⁴	tsʰɑ̃⁴⁴
藏{~书}	tsʰã³¹	tsʰã³¹	tsʰᴀ̃³¹	tsʰã³¹	tsʰɑ̃³¹	tsʰɑ̃³¹	tsʰɑ̃³¹	tsʰɑ̃³¹
丧{吊~}桑	sã⁴⁴	sã⁵⁵	sᴀ̃⁵⁵	sã⁵⁵	sɑ̃⁴⁴	sɑ̃⁵⁵	sɑ̃⁴⁴	sɑ̃⁴⁴
嗓搡	sã⁵³	sã⁴²	sᴀ̃⁵³	sã⁵³	sɑ̃⁴²	sɑ̃⁴²	sɑ̃⁵³	sɑ̃⁵³
丧{~失}	sã²¹³	sã⁴⁵	sᴀ̃²¹³	sã²¹³	sɑ̃⁴⁵	sɑ̃⁴⁵	sɑ̃²¹³	sɑ̃²¹³
肮	ã⁴⁴	ã⁵⁵	ᴀ̃⁵⁵	ã⁵⁵	ɑ̃⁴⁴	ɑ̃⁵⁵	ɑ̃⁴⁴	ɑ̃⁴⁴
昂	ã³¹	ã³¹	ᴀ̃³¹	ã³¹	ɑ̃³¹	ɑ̃³¹	ɑ̃³¹	ɑ̃³¹
崩嘣绷{~带}	poŋ⁴⁴	poŋ⁵⁵	poŋ⁵⁵	poŋ⁵⁵	poŋ⁴⁴	poŋ⁵⁵	poŋ⁴⁴	poŋ⁴⁴
绷{~着脸}	poŋ⁵³	poŋ⁴²	poŋ⁵³	poŋ⁵³	poŋ⁴²	poŋ⁴²	poŋ⁵³	poŋ⁵³
蚌泵	poŋ²¹³	poŋ⁴⁵	poŋ²¹³	poŋ²¹³	poŋ⁴⁵	poŋ⁴⁵	poŋ²¹³	poŋ²¹³
蹦	poŋ⁴⁴	poŋ⁵⁵	poŋ⁵⁵	poŋ⁵⁵	poŋ⁴⁴	poŋ⁵⁵	poŋ⁴⁴	poŋ⁴⁴
怦抨砰	pʰoŋ⁴⁴	pʰoŋ⁵⁵	pʰoŋ⁵⁵	pʰoŋ⁵⁵	pʰoŋ⁴⁴	pʰoŋ⁵⁵	pʰoŋ⁴⁴	pʰoŋ⁴⁴
澎{~湃}	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹
朋棚硼鹏澎膨蓬篷	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹	pʰoŋ³¹
捧	pʰoŋ⁵³	pʰoŋ⁴²	pʰoŋ⁵³	pʰoŋ⁵³	pʰoŋ⁴²	pʰoŋ⁴²	pʰoŋ⁵³	pʰoŋ⁵³
碰	pʰoŋ²¹³	pʰoŋ⁴⁵	pʰoŋ²¹³	pʰoŋ²¹³	pʰoŋ⁴⁵	pʰoŋ⁴⁵	pʰoŋ²¹³	pʰoŋ²¹³
蒙{瞎~}	moŋ⁴⁴	moŋ⁵⁵	moŋ⁵⁵	moŋ⁵⁵	moŋ⁴⁴	moŋ⁵⁵	moŋ⁴⁴	moŋ⁴⁴
萌盟檬朦蒙{~受}	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹
勐猛锰蜢蠓懵	moŋ⁵³	moŋ⁴²	moŋ⁵³	moŋ⁵³	moŋ⁴²	moŋ⁴²	moŋ⁵³	moŋ⁵³
蒙{~古}	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹	moŋ³¹
孟梦	moŋ²¹³	moŋ⁴⁵	moŋ²¹³	moŋ²¹³	moŋ⁴⁵	moŋ⁴⁵	moŋ²¹³	moŋ²¹³
丰风枫疯封峰烽锋蜂	foŋ⁴⁴	foŋ⁵⁵	foŋ⁵⁵	foŋ⁵⁵	foŋ⁴⁴	foŋ⁵⁵	foŋ⁴⁴	foŋ⁴⁴
冯逢缝{～补}	foŋ³¹	foŋ³¹	foŋ³¹	foŋ³¹	foŋ³¹	foŋ³¹	foŋ³¹	foŋ³¹
讽	foŋ⁵³	foŋ⁴²	foŋ⁵³	foŋ⁵³	foŋ⁴²	foŋ⁴²	foŋ⁵³	foŋ⁵³
凤奉俸缝{门~}	foŋ²¹³	foŋ⁴⁵	foŋ²¹³	foŋ²¹³	foŋ⁴⁵	foŋ⁴⁵	foŋ²¹³	foŋ²¹³
灯登噔蹬{~脚}	tẽĩ⁴⁴	tə̃⁵⁵	tə̃⁵⁵	tə̃⁵⁵	tə̃⁴⁴	tə̃⁵⁵	tə̃⁴⁴	tə̃⁴⁴
等	tẽĩ⁵³	tə̃⁴²	tə̃⁵³	tə̃⁵³	tə̃⁴²	tə̃⁴²	tə̃⁵³	tə̃⁵³
邓登瞪澄{水~清了}	tẽĩ²¹³	tə̃⁴⁵	tə̃²¹³	tə̃²¹³	tə̃⁴⁵	tə̃⁴⁵	tə̃²¹³	tə̃²¹³
疼誉腾滕藤	tʰẽĩ³¹	tʰə̃³¹	tʰə̃³¹	tʰə̃³¹	tʰə̃³¹	tʰə̃³¹	tʰə̃³¹	tʰə̃³¹
能	nẽĩ³¹	nə̃³¹	nə̃³¹	nə̃³¹	nə̃³¹	nə̃³¹	nə̃³¹	nə̃³¹
棱楞	lẽĩ³¹	lə̃³¹	lə̃³¹	lə̃³¹	lə̃³¹	lə̃³¹	lə̃³¹	lə̃³¹
冷	lẽĩ⁵³	lə̃⁴²	lə̃⁵³	lə̃⁵³	lə̃⁴²	lə̃⁴²	lə̃⁵³	lə̃⁵³
愣	lẽĩ²¹³	lə̃⁴⁵	lə̃²¹³	lə̃²¹³	lə̃⁴⁵	lə̃⁴⁵	lə̃²¹³	lə̃²¹³
更{~改}庚赓羹	kẽĩ⁴⁴	kə̃⁵⁵	kə̃⁵⁵	kə̃⁵⁵	kə̃⁴⁴	kə̃⁵⁵	kə̃⁴⁴	kə̃⁴⁴
耿埂哽梗	kẽĩ⁵³	kə̃⁴²	kə̃⁵³	kə̃⁵³	kə̃⁴²	kə̃⁴²	kə̃⁵³	kə̃⁵³
更{~加}	kẽĩ²¹³	kə̃⁴⁵	kə̃²¹³	kə̃²¹³	kə̃⁴⁵	kə̃⁴⁵	kə̃²¹³	kə̃²¹³
吭{~气}坑铿	kʰẽĩ⁴⁴	kʰə̃⁵⁵	kʰə̃⁵⁵	kʰə̃⁵⁵	kʰə̃⁴⁴	kʰə̃⁵⁵	kʰə̃⁴⁴	kʰə̃⁴⁴
亨哼	xẽĩ⁴⁴	xə̃⁵⁵	xə̃⁵⁵	xə̃⁵⁵	xə̃⁴⁴	xə̃⁵⁵	xə̃⁴⁴	xə̃⁴⁴
恒衡	xẽĩ³¹	xə̃³¹	xə̃³¹	xə̃³¹	xə̃³¹	xə̃³¹	xə̃³¹	xə̃³¹
横{~竖}	xuẽĩ³¹	xuẽ³¹	xuẽ³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹
横{~财}	xuẽĩ³¹	xuẽ³¹	xuẽ³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹	xuə̃³¹
正{~月}征烝蒸	tʂẽĩ⁴⁴	tʂə̃⁵⁵	tʂə̃⁵⁵	tʂə̃⁵⁵	tʂə̃⁴⁴	tʂə̃⁵⁵	tsə̃⁴⁴	tsə̃⁴⁴
争峥狰睁铮	tsẽĩ⁴⁴	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁴⁴
挣{~扎}	tsẽĩ²¹³	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³	tsə̃⁴⁵	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
筝	tsẽĩ⁴⁴	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁴⁴
拯整	tʂẽĩ⁵³	tʂə̃⁴²	tʂə̃⁵³	tʂə̃⁵³	tʂə̃⁴²	tʂə̃⁴²	tsə̃⁵³	tsə̃⁵³
正证政郑症{~状}	tʂẽĩ²¹³	tʂə̃⁴⁵	tʂə̃²¹³	tʂə̃²¹³	tʂə̃⁴⁵	tʂə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
挣{~断}	tsẽĩ²¹³	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³	tsə̃⁴⁵	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
称	tʂʰẽĩ⁴⁴	tʂʰə̃⁵⁵	tʂʰə̃⁵⁵	tʂʰə̃⁵⁵	tʂʰə̃⁴⁴	tʂʰə̃⁵⁵	tsʰə̃⁴⁴	tsʰə̃⁴⁴
撑瞠	tsʰẽĩ⁴⁴	tsʰə̃⁵⁵	tsʰə̃⁵⁵	tsʰə̃⁵⁵	tsʰə̃⁴⁴	tsʰə̃⁵⁵	tsʰə̃⁴⁴	tsʰə̃⁴⁴
成诚城澄{~清}盛{~饭}	tʂʰẽĩ³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹
承呈乘橙惩	tʂʰẽĩ⁵³	tʂʰə̃⁴²	tʂʰə̃⁵³	tʂʰə̃⁵³	tʂʰə̃⁴²	tʂʰə̃⁴²	tsʰə̃⁵³	tsʰə̃⁵³
逞	tʂʰẽĩ⁵³	tʂʰə̃⁴²	tʂʰə̃⁵³	tʂʰə̃⁵³	tʂʰə̃⁴²	tʂʰə̃⁴²	tsʰə̃⁵³	tsʰə̃⁵³
骋	tʂʰẽĩ³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tʂʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹
秤	tʂʰẽĩ²¹³	tʂʰə̃⁴⁵	tʂʰə̃²¹³	tʂʰə̃²¹³	tʂʰə̃⁴⁵	tʂʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³
升声	ʂẽĩ⁴⁴	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁴⁴	ʂə̃⁵⁵	sə̃⁴⁴	sə̃⁴⁴
生牲笙甥	ʂẽĩ⁴⁴	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁴⁴	ʂə̃⁵⁵	sə̃⁴⁴	sə̃⁴⁴
绳	ʂuẽĩ³¹	ʂuẽ³¹	ʂuẽ³¹	ʂuə̃³¹	ʂuə̃³¹	ʂuə̃³¹	suə̃³¹	suə̃³¹
省	ʂẽĩ⁵³	ʂə̃⁴²	ʂə̃⁵³	ʂə̃⁵³	ʂə̃⁴²	ʂə̃⁴²	sə̃⁵³	sə̃⁵³
圣胜盛剩	ʂẽĩ²¹³	ʂə̃⁴⁵	ʂə̃²¹³	ʂə̃²¹³	ʂə̃⁴⁵	ʂə̃⁴⁵	sə̃²¹³	sə̃²¹³
扔	ʐẽĩ⁴⁴	ʐə̃⁵⁵	ʐə̃⁵⁵	ʐə̃⁵⁵	ʐə̃⁴⁴	ʐə̃⁵⁵	zə̃⁴⁴	zə̃⁴⁴
仍	ʐẽĩ⁵³	ʐə̃⁴²	ʐə̃⁵³	ʐə̃⁵³	ʐə̃⁴²	ʐə̃⁴²	zə̃⁵³	zə̃⁵³
曾{~孙}增	tsẽĩ⁴⁴	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁵⁵	tsə̃⁴⁴	tsə̃⁴⁴
憎	tsẽĩ²¹³	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³	tsə̃⁴⁵	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
赠	tsẽĩ²¹³	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³	tsə̃⁴⁵	tsə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
甑{~子}	tʂẽĩ²¹³	tʂə̃⁴⁵	tʂə̃²¹³	tʂə̃²¹³	tʂə̃⁴⁵	tʂə̃⁴⁵	tsə̃²¹³	tsə̃²¹³
层曾{~经}	tsʰẽĩ³¹	tsʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹	tsʰə̃³¹
蹭	tsʰẽĩ²¹³	tsʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³	tsʰə̃⁴⁵	tsʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³
僧	sẽĩ⁴⁴	sə̃⁵⁵	sə̃⁵⁵	sə̃⁵⁵	sə̃⁴⁴	sə̃⁵⁵	sə̃⁴⁴	sə̃⁴⁴
娘	niã⁴⁴	niɛ̃⁵⁵	niᴀ̃⁵⁵	niã⁵⁵	niɑ̃⁴⁴	niɑ̃⁵⁵	niɑ̃⁴⁴	niɑ̃⁴⁴
粱{高~}	liã⁴⁴	liɛ̃⁵⁵	liᴀ̃⁵⁵	liã⁵⁵	liɑ̃⁴⁴	liɑ̃⁵⁵	liɑ̃⁴⁴	liɑ̃⁴⁴
两俩{伎~}	liã⁵³	liɛ̃⁴²	liᴀ̃⁵³	liã⁵³	liɑ̃⁴²	liɑ̃⁴²	liɑ̃⁵³	liɑ̃⁵³
亮谅晾辆量{数~}	liã²¹³	liɛ̃⁴⁵	liᴀ̃²¹³	liã²¹³	liɑ̃⁴⁵	liɑ̃⁴⁵	liɑ̃²¹³	liɑ̃²¹³
豇{~豆}	kã⁴⁴	kã⁵⁵	kᴀ̃⁵⁵	kã⁵⁵	kɑ̃⁴⁴	kɑ̃⁵⁵	kɑ̃⁴⁴	kɑ̃⁴⁴
奖讲蒋桨	tɕiã⁵³	tɕiɛ̃⁴²	tɕiᴀ̃⁵³	tɕiã⁵³	tɕiɑ̃⁴²	tɕiɑ̃⁴²	tɕiɑ̃⁵³	tɕiɑ̃⁵³
匠降{~落}酱将{大~}	tɕiã²¹³	tɕiɛ̃⁴⁵	tɕiᴀ̃²¹³	tɕiã²¹³	tɕiɑ̃⁴⁵	tɕiɑ̃⁴⁵	tɕiɑ̃²¹³	tɕiɑ̃²¹³
枪羌腔锵	tɕʰiã⁴⁴	tɕʰiɛ̃⁵⁵	tɕʰiᴀ̃⁵⁵	tɕʰiã⁵⁵	tɕʰiɑ̃⁴⁴	tɕʰiɑ̃⁵⁵	tɕʰiɑ̃⁴⁴	tɕʰiɑ̃⁴⁴
呛{喝水~着}	tɕʰiã⁵³	tɕʰiɛ̃⁴²	tɕʰiᴀ̃⁵³	tɕʰiã⁵³	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁵³	tɕʰiɑ̃⁵³
强墙蔷樯	tɕʰiã³¹	tɕʰiɛ̃³¹	tɕʰiᴀ̃³¹	tɕʰiã³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹
抢强{勉~}	tɕʰiã⁵³	tɕʰiɛ̃⁴²	tɕʰiᴀ̃⁵³	tɕʰiã⁵³	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁵³	tɕʰiɑ̃⁵³
襁{~褓}	tɕʰiã³¹	tɕʰiɛ̃³¹	tɕʰiᴀ̃³¹	tɕʰiã³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹
呛{烟~着}	tɕʰiã⁵³	tɕʰiɛ̃⁴²	tɕʰiᴀ̃⁵³	tɕʰiã⁵³	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁴²	tɕʰiɑ̃⁵³	tɕʰiɑ̃⁵³
乡香厢箱襄镶湘	ɕiã⁴⁴	ɕiɛ̃⁵⁵	ɕiᴀ̃⁵⁵	ɕiã⁵⁵	ɕiɑ̃⁴⁴	ɕiɑ̃⁵⁵	ɕiɑ̃⁴⁴	ɕiɑ̃⁴⁴
降{投~}	ɕiã³¹	ɕiɛ̃³¹	ɕiᴀ̃³¹	ɕiã³¹	ɕiɑ̃³¹	ɕiɑ̃³¹	ɕiɑ̃³¹	ɕiɑ̃³¹
详祥翔	tɕʰiã³¹	tɕʰiɛ̃³¹	tɕʰiᴀ̃³¹	tɕʰiã³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹	tɕʰiɑ̃³¹
享响想	ɕiã⁵³	ɕiɛ̃⁴²	ɕiᴀ̃⁵³	ɕiã⁵³	ɕiɑ̃⁴²	ɕiɑ̃⁴²	ɕiɑ̃⁵³	ɕiɑ̃⁵³
向象相像	ɕiã²¹³	ɕiɛ̃⁴⁵	ɕiᴀ̃²¹³	ɕiã²¹³	ɕiɑ̃⁴⁵	ɕiɑ̃⁴⁵	ɕiɑ̃²¹³	ɕiɑ̃²¹³
巷项	xã²¹³	xã⁴⁵	xᴀ̃²¹³	xã²¹³	xɑ̃⁴⁵	xɑ̃⁴⁵	xɑ̃²¹³	xɑ̃²¹³
央泱殃秧鸯	iã⁴⁴	iɛ̃⁵⁵	iᴀ̃⁵⁵	iã⁵⁵	iɑ̃⁴⁴	iɑ̃⁵⁵	iɑ̃⁴⁴	iɑ̃⁴⁴
羊佯洋徉扬杨阳疡	iã³¹	iɛ̃³¹	iᴀ̃³¹	iã³¹	iɑ̃³¹	iɑ̃³¹	iɑ̃³¹	iɑ̃³¹
仰{~望}	niã⁵³	niɛ̃⁴²	niᴀ̃⁵³	niã⁵³	niɑ̃⁴²	niɑ̃⁴²	niɑ̃⁵³	niɑ̃⁵³
样恙漾	iã²¹³	iɛ̃⁴⁵	iᴀ̃²¹³	iã²¹³	iɑ̃⁴⁵	iɑ̃⁴⁵	iɑ̃²¹³	iɑ̃²¹³
冰槟兵	pĩ⁴⁴	pĩ⁵⁵	pĩ⁵⁵	piẽ⁵⁵	piẽ⁴⁴	piẽ⁵⁵	pĩẽ⁴⁴	pĩn⁴⁴
丙柄炳秉饼摒{~弃}	pĩ⁵³	pĩ⁴²	pĩ⁵³	piẽ⁵³	piẽ⁴²	piẽ⁴²	pĩẽ⁵³	pĩn⁵³
并病	pĩ²¹³	pĩ⁴⁵	pĩ²¹³	piẽ²¹³	piẽ⁴⁵	piẽ⁴⁵	pĩẽ²¹³	pĩn²¹³
乒{~乓球}	pĩ⁴⁴	pĩ⁵⁵	pĩ⁵⁵	piẽ⁵⁵	piẽ⁴⁴	piẽ⁵⁵	pĩẽ⁴⁴	pĩn⁴⁴
平评坪苹秤萍凭屏瓶	pʰĩ³¹	pʰĩ³¹	pʰĩ³¹	pʰiẽ³¹	pʰiẽ³¹	pʰiẽ³¹	pʰĩẽ³¹	pʰĩn³¹
名铭明鸣冥螟暝	mĩ³¹	mĩ³¹	mĩ³¹	miẽ³¹	miẽ³¹	miẽ³¹	mĩẽ³¹	mĩn³¹
酩{~酊大醉}	mĩ³¹	mĩ³¹	mĩ³¹	miẽ³¹	miẽ³¹	miẽ³¹	mĩẽ³¹	mĩn³¹
命	mĩ⁵³	mĩ⁴²	mĩ⁵³	miẽ⁵³	miẽ⁴²	miẽ⁴²	mĩẽ⁵³	mĩn⁵³
丁仃叮疗町盯钉	tĩ⁴⁴	tĩ⁵⁵	tĩ⁵⁵	tiẽ⁵⁵	tiẽ⁴⁴	tiẽ⁵⁵	tĩẽ⁴⁴	tĩn⁴⁴
顶鼎	tĩ⁵³	tĩ⁴²	tĩ⁵³	tiẽ⁵³	tiẽ⁴²	tiẽ⁴²	tĩẽ⁵³	tĩn⁵³
订钉定锭	tĩ²¹³	tĩ⁴⁵	tĩ²¹³	tiẽ²¹³	tiẽ⁴⁵	tiẽ⁴⁵	tĩẽ²¹³	tĩn²¹³
厅	tʰĩ⁴⁴	tʰĩ⁵⁵	tʰĩ⁵⁵	tʰiẽ⁵⁵	tʰiẽ⁴⁴	tʰiẽ⁵⁵	tʰĩẽ⁴⁴	tʰĩn⁴⁴
汀听	tʰĩ²¹³	tʰĩ⁴⁵	tʰĩ²¹³	tʰiẽ²¹³	tʰiẽ⁴⁵	tʰiẽ⁴⁵	tʰĩẽ²¹³	tʰĩn²¹³
廷庭霆亭婷	tʰĩ³¹	tʰĩ³¹	tʰĩ³¹	tʰiẽ³¹	tʰiẽ³¹	tʰiẽ³¹	tʰĩẽ³¹	tʰĩn³¹
挺梃铤	tʰĩ⁵³	tʰĩ⁴²	tʰĩ⁵³	tʰiẽ⁵³	tʰiẽ⁴²	tʰiẽ⁴²	tʰĩẽ⁵³	tʰĩn⁵³
□{拧，~手巾}	niəu⁵³	niəu⁴²	niəu⁵³	niəu⁵³	niəu⁴²	niəu⁴²	niəu⁵³	niəu⁵³
宁咛狞	lĩ³¹	lĩ³¹	lĩ³¹	liẽ³¹	liẽ³¹	liẽ³¹	lĩẽ³¹	lĩn³¹
凝	ni³¹	ni³¹	ni³¹	ni³¹	ni³¹	ni³¹	ni³¹	ni³¹
拧{~螺丝}	niəu⁵³	niəu⁴²	niəu⁵³	niəu⁵³	niəu⁴²	niəu⁴²	niəu⁵³	niəu⁵³
宁{~可}泞{泥~}	lĩ⁵³	lĩ⁴²	lĩ⁵³	liẽ⁵³	liẽ⁴²	liẽ⁴²	lĩẽ⁵³	lĩn⁵³
佞{奸~}	lĩ²¹³	lĩ⁴⁵	lĩ²¹³	liẽ²¹³	liẽ⁴⁵	liẽ⁴⁵	lĩẽ²¹³	lĩn²¹³
伶玲铃玲龄零灵陵凌绫	lĩ³¹	lĩ³¹	lĩ³¹	liẽ³¹	liẽ³¹	liẽ³¹	lĩẽ³¹	lĩn³¹
岭领	lĩ⁵³	lĩ⁴²	lĩ⁵³	liẽ⁵³	liẽ⁴²	liẽ⁴²	lĩẽ⁵³	lĩn⁵³
另令	lĩ²¹³	lĩ⁴⁵	lĩ²¹³	liẽ²¹³	liẽ⁴⁵	liẽ⁴⁵	lĩẽ²¹³	lĩn²¹³
京惊经鲸睛荆精晶粳	tɕĩ⁴⁴	tɕĩ⁵⁵	tɕĩ⁵⁵	tɕiẽ⁵⁵	tɕiẽ⁴⁴	tɕiẽ⁵⁵	tɕĩẽ⁴⁴	tɕĩn⁴⁴
泾茎兢	tɕĩ²¹³	tɕĩ⁴⁵	tɕĩ²¹³	tɕiẽ²¹³	tɕiẽ⁴⁵	tɕiẽ⁴⁵	tɕĩẽ²¹³	tɕĩn²¹³
井景警憬	tɕĩ⁵³	tɕĩ⁴²	tɕĩ⁵³	tɕiẽ⁵³	tɕiẽ⁴²	tɕiẽ⁴²	tɕĩẽ⁵³	tɕĩn⁵³
颈刭儆	tɕĩ²¹³	tɕĩ⁴⁵	tɕĩ²¹³	tɕiẽ²¹³	tɕiẽ⁴⁵	tɕiẽ⁴⁵	tɕĩẽ²¹³	tɕĩn²¹³
敬劲径痉净静竞竟境靖	tɕĩ²¹³	tɕĩ⁴⁵	tɕĩ²¹³	tɕiẽ²¹³	tɕiẽ⁴⁵	tɕiẽ⁴⁵	tɕĩẽ²¹³	tɕĩn²¹³
青清蜻轻氢卿	tɕʰĩ⁴⁴	tɕʰĩ⁵⁵	tɕʰĩ⁵⁵	tɕʰiẽ⁵⁵	tɕʰiẽ⁴⁴	tɕʰiẽ⁵⁵	tɕʰĩẽ⁴⁴	tɕʰĩn⁴⁴
倾	tɕʰĩ⁵³	tɕʰĩ⁴²	tɕʰĩ⁵³	tɕʰiẽ⁵³	tɕʰiẽ⁴²	tɕʰiẽ⁴²	tɕʰĩẽ⁵³	tɕʰĩn⁵³
情晴	tɕʰĩ³¹	tɕʰĩ³¹	tɕʰĩ³¹	tɕʰiẽ³¹	tɕʰiẽ³¹	tɕʰiẽ³¹	tɕʰĩẽ³¹	tɕʰĩn³¹
氰{~化物}擎{~天柱}	tɕʰĩ⁴⁴	tɕʰĩ⁵⁵	tɕʰĩ⁵⁵	tɕʰiẽ⁵⁵	tɕʰiẽ⁴⁴	tɕʰiẽ⁵⁵	tɕʰĩẽ⁴⁴	tɕʰĩn⁴⁴
请	tɕʰĩ⁵³	tɕʰĩ⁴²	tɕʰĩ⁵³	tɕʰiẽ⁵³	tɕʰiẽ⁴²	tɕʰiẽ⁴²	tɕʰĩẽ⁵³	tɕʰĩn⁵³
顷	tɕʰĩ³¹	tɕʰĩ³¹	tɕʰĩ³¹	tɕʰiẽ³¹	tɕʰiẽ³¹	tɕʰiẽ³¹	tɕʰĩẽ³¹	tɕʰĩn³¹
庆亲{~家}罄	tɕʰĩ²¹³	tɕʰĩ⁴⁵	tɕʰĩ²¹³	tɕʰiẽ²¹³	tɕʰiẽ⁴⁵	tɕʰiẽ⁴⁵	tɕʰĩẽ²¹³	tɕʰĩn²¹³
星兴惺腥猩	ɕĩ⁴⁴	ɕĩ⁵⁵	ɕĩ⁵⁵	ɕiẽ⁵⁵	ɕiẽ⁴⁴	ɕiẽ⁵⁵	ɕĩẽ⁴⁴	ɕĩn⁴⁴
刑型邢形行	ɕĩ³¹	ɕĩ³¹	ɕĩ³¹	ɕiẽ³¹	ɕiẽ³¹	ɕiẽ³¹	ɕĩẽ³¹	ɕĩn³¹
省{反~}醒擤	ɕĩ⁵³	ɕĩ⁴²	ɕĩ⁵³	ɕiẽ⁵³	ɕiẽ⁴²	ɕiẽ⁴²	ɕĩẽ⁵³	ɕĩn⁵³
兴杏幸悻性姓	ɕĩ²¹³	ɕĩ⁴⁵	ɕĩ²¹³	ɕiẽ²¹³	ɕiẽ⁴⁵	ɕiẽ⁴⁵	ɕĩẽ²¹³	ɕĩn²¹³
英莺婴樱鹦鹰缨	ĩ⁴⁴	ĩ⁵⁵	ĩ⁵⁵	iẽ⁵⁵	iẽ⁴⁴	iẽ⁵⁵	ĩẽ⁴⁴	ĩn⁴⁴
应{~届}膺{义愤填~}	ĩ²¹³	ĩ⁴⁵	ĩ²¹³	iẽ²¹³	iẽ⁴⁵	iẽ⁴⁵	ĩẽ²¹³	ĩn²¹³
迎荧萤营莹盈楹赢	ĩ³¹	ĩ³¹	ĩ³¹	iẽ³¹	iẽ³¹	iẽ³¹	ĩẽ³¹	ĩn³¹
蝇{苍~}	ĩ⁴⁴	ĩ⁵⁵	ĩ⁵⁵	iẽ⁵⁵	iẽ⁴⁴	iẽ⁵⁵	ĩẽ⁴⁴	ĩn⁴⁴
郢颖影	ĩ⁵³	ĩ⁴²	ĩ⁵³	iẽ⁵³	iẽ⁴²	iẽ⁴²	ĩẽ⁵³	ĩn⁵³
瘿{猴子~袋}	ĩ⁴⁴	ĩ⁵⁵	ĩ⁵⁵	iẽ⁵⁵	iẽ⁴⁴	iẽ⁵⁵	ĩẽ⁴⁴	ĩn⁴⁴
应{~对}映	ĩ²¹³	ĩ⁴⁵	ĩ²¹³	iẽ²¹³	iẽ⁴⁵	iẽ⁴⁵	ĩẽ²¹³	ĩn²¹³
硬	ẽĩ²¹³	ə̃⁴⁵	ə̃²¹³	ə̃²¹³	ə̃⁴⁵	ə̃⁴⁵	ə̃²¹³	ə̃²¹³
