#詞語	音標	解釋
咸水	xæ̃ ʂuei3	水的碱性很高,不能饮用。
咸菜	xæ̃ tsʰεi5	用盐水腌制的蔬菜。
寒惨	xæ̃ tsʰəŋ	可怜:那么老咧冻死着雪堆里,你看~吗!②不近人情地:你说~不~,冰天雪地的不让老人进门。
寒露	xæ̃ lu	节气之一。
寒毛	xæ̃ mɔu	人体皮肤表面的细毛。
喊叫	xæ̃3 tɕiɔu	大声叫嚷。
喊	xæ̃5	斥责:美美地~给咧几声!
旱地	xæ̃5 ti	不能引水灌溉的耕地。
旱烟	xæ̃5 iæ̃	黄花烟草。
汗眼	xæ̃5 ȵiæ̃3	寒毛毛孔。
汗衫子	xæ̃5 sæ̃ tsɿ	衬衫。也说“汗褂褂”。
汗津津的	xæ̃5 tɕiŋ tɕiŋ ti	额头或身体上出汗的感觉。
汗泼流水	xæ̃5 pʰɤ liəu ʂuei3	形容大汗淋漓的样子。
捍时三分	xæ̃5 sɿ sæ̃2 fəŋ	立刻、很短的一会儿。
鞭	piæ̃2	雄性动物的外生殖器。
鞭炮子	piæ̃2 pʰɔu5 tsɿ	鞭炮。
编壳	piæ̃2 kʰuɤ	撒谎、虚构:那是给人~着呢,你当是真的?
编排	piæ̃2 pʰεi	添油加醋、夸大其辞地向别人描述某人或某事:姓张的没少在其他人跟前~我。
缏	piæ̃3	卷起裤腿或袖子:河水深着呢,把裤腿~起来。《广韵·铣韵》:“方典切。褰裳。”
扁刃	piæ̃3 ʐəŋ	本义为刀刃失去锋芒,引申为人处于下风:在领导跟前他~着呢!
扁豆子	piæ̃3 təu tsɿ	豆类的一种,形状扁平、呈褐色。
扁扁子	piæ̃3 piæ̃3 tsɿ	扁平,指物体受外力影响变形:一下子下去,铝壶压成咧个~。
揙	piæ̃	吃(含贬义):二话没说,~咧一肚子走咧。②击打:王五身上让人~给咧几刀子。③插、别在(腰间):不等你说话呢,乜家可加已经~上走咧。
谝言子	pʰiæ̃3 iæ̃ tsɿ	指经常说方言的人学着说普通话或其他方言。也说“谝言子嫽语子”。
变蛋	piæ̃5 tæ̃5	松花蛋:炸上点花生米,切上几个~,下酒吃。
变狗	piæ̃5 kəu3	指小孩子生病。
变脸失色	piæ̃5 liæ̃3 ʂʅ sei	由于惊吓而害怕的表情。吓得人~的!②面部表情喜怒无常、说变就变:乜~的,不知道想干啥!
便宜	piæ̃5 i5	现成,方便:有~的饭呢吃些算咧。
偏方子	pʰiæ̃2 faŋ tsɿ	偏方儿。
偏刃子斧头	pʰiæ̃2 ʐəŋ5 tsɿ fu3 tʰəu	木工专用斧头,用来取直。引申为偏心:弄啥要一碗水端平呢,不咧~砍咧!
缏	pʰiæ̃	把衣服边折起再用针缝住:新买的裤子要~裤边子呢。《说文·系部》:“缏,衣也。”《广韵·仙韵》:“房连切。”
扁	pʰiæ̃3	用刀或斧头斜着砍下去:~上几个木楔子。
谝	pʰiæ̃3	说、讲:~上个段子小故事,让大家笑一下。
谝子手	pʰiæ̃3 tsɿ ʂəu3	也说“谝子客”。①爱闲聊的人:听咧一早上~的话,啥都没弄成。②说话不真实、不负责任的人:你听那个~的呢,尽哄人着呢。
谝闲传	pʰiæ̃3 ɕiæ̃ tʂʰuæ̃	闲聊:一天价不好好干工作,刚知道~。②对别人所说的话或发生的事实持怀疑、惊讶的态度:~着呢,那不可能吧?也说“谝传”。
辨来	pʰiæ̃5 lεi	明白。
辨不来	pʰiæ̃5 pu lεi	不明白。
辨不来山形	pʰiæ̃5 pu lεi sæ̃ ɕiŋ	看不明白形势。
骗子手	pʰiæ̃5 tsɿ ʂəu3	骗子。
腼腆	miæ̃ tʰiæ̃	害羞,不自然。
棉帽子	miæ̃ mɔu5 tsɿ	棉帽。
绵	miæ̃	食物熟透后显得很软的感觉。②(性情)温和。③柔软:乜的个手~得很!
绵绵子	miæ̃ miæ̃ tsɿ	物品变得很软的样子。
绵绵儿的	miæ̃ miæ̃ rti	感觉很柔软的样子。
绵醢醢	miæ̃ xεi xεi	形容软得令人厌恶的一种感觉。
面面	miæ̃5 miæ̃	粉末儿:把这些草药拿着去粉成~,装着胶囊里吃。
面面子	miæ̃5 miæ̃ tsɿ	同“面面”。
面面子话	miæ̃5 miæ̃ tsɿ xua	门面话,应酬的或冠冕堂皇不解决实际问题的话:那个人说起~来,没人能赶上。
面面子光	miæ̃5 miæ̃ tsɿ kuaŋ	表面上、形式上好看:△驴粪蛋儿——~。
面子	miæ̃5 tsɿ	面皮,脸面:把人家的~还给伤着咧。②粉末儿。今儿到市场里给咱们称上些粉~、辣~、调和~。
面水	miæ̃5 ʂuei	指粮食作物快成熟时子粒当中浆液状的胚乳:麦子正是熟~的时候,天气就要好好地晒呢。
面饽	miæ̃5 pʰɤ	擀面时洒的干面粉。
面筋	miæ̃5 tɕiŋ	面粉和成面团,再用清水反复搓洗,最后留下非常有筋骨的面团。
面疙瘩	miæ̃5 kɤ ta	猪血面。和好面,擀成片儿,再将用猪血和好的面也擀成同样大小的片,一层一层的摞在一起,然后上笼蒸熟即成。吃时切成小薄片,或炒或煮均可。
面叶子	miæ̃5 iε tsɿ	面擀好后,切成小菱形面食。
面梨子	miæ̃5 li tsɿ	一种野果,体小,味涩苦。
面糊糊	miæ̃5 xu5 xu	面粉刷成的糊状食物。
面情软	miæ̃5 tɕʰiŋ ʐuæ̃3	脸面薄、好说话。
掂	tiæ̃	用手拿起物品估量轻重:你~一下,看有二斤吗?②用手托着:那个人手里~咧个十几斤重的大洋芋。
掂检	tiæ̃2 tɕiæ̃3	掂量、检查。
颠山	tiæ̃2 sæ̃	指在农村两口子争吵后,女方离家出走。动不动乜就~咧,这日子没法过咧。
颠懂	tiæ̃2 tuŋ	年老糊涂:你爷爷活~咧,说下的话你心里不咧去。典tiæ̃53租用:一家人没处去,~咧一间房暂时住下。
点点子	tiæ̃3 tiæ̃3 tsɿ	点儿:灒咧一身泥~。②点子:这是谁给你出下的坏~。
点捻子	tiæ̃3 ȵiæ̃3 tsɿ	出主意:这肯定是谁给~咧,不然他给能想起这么弄。
点眼药	tiæ̃3 ȵiæ̃3 yɤ	当面奉承某人或对某人说别人的坏话:见咧面就是个~,弄得乜高兴的。
奠酒	tiæ̃5 tɕiəu3	指喝酒前将酒滴洒在地上,以示对天地鬼神的敬意。
垫	tiæ̃5	触着凸起的硬东西觉得疼或不舒服:床太硬咧,~得人一晚上没睡好。
垫圈	tiæ̃5 tɕyæ̃5	在牲畜圈舍内撒压一层土,起洁净、积肥的作用。
垫垫子	tiæ̃5 tiæ̃5 tsɿ	垫子。
垫背的	tiæ̃5 pei5 ti	替罪羊。
电棒	tiæ̃5 paŋ	日光灯管。②电警棍。
电壶	tiæ̃5 xu	暖水瓶。
电奔子	tiæ̃5 pəŋ2 tsɿ	当地人对摩托车的称呼。
电磨子	tiæ̃5 mɤ5 tsɿ	用电做动力的磨面机。
电灯泡	tiæ̃5 təŋ2 pʰɔu	灯泡。②指剃的光头。
店房	tiæ̃5 faŋ	小旅店。
天狗吃月亮	tʰiæ̃2 kəu3 tʂʰʅ yɤ2 liaŋ5	月食。
天晓得	tʰiæ̃2 ɕiɔu3 tei	表示难以理解或无法分辨。也说“天知道”。
天至一毫	tʰiæ̃2 tsɿ3 i xɔu	形容达到极点:当小工子一天挣80块钱就~咧。
天干火着	tʰiæ̃2 kæ̃ xuɤ3 tʂuɤ	形容非常炎热、干旱。
填补	tʰiæ̃ pu	补充不足:你出去做活,我摆个碎摊摊,多多少少能~一些。
填还	tʰiæ̃ xuæ̃	迷信的说法,意为前世欠人的今世要还给人家:掌不知道得多少着给~。
填黑麻眼	tʰiæ̃ xei2 ma ȵiæ̃	喻指将钱物用在了不明不白之处:挣咧几个钱全~咧!
填箱	tʰiæ̃2 ɕiaŋ	指出嫁女儿时女方家置办酒席待客等活动。
甜	tʰiæ̃	像糖和蜜的味道:今年的苹果~得很。②淡、无盐:你咋做饭着呢,~的一点味道没有的。③不苦(与“苦”相对仅限于指水)。
甜醅子	tʰiæ̃ pʰei tsɿ	将小麦或小燕麦煮熟后,加上甜酒曲发酵制成带有酒味儿的食品。也说“酒腐子”。
甜唧唧	tʰiæ̃ tɕi tɕi	对食品带的甜味表示厌恶的说法:吃去~,一点不好吃。也说“甜哇哇、甜兮兮、甜不唧唧、甜不兮兮”。
甜核儿	tʰiæ̃ xu r	指没有苦味的杏仁,可食:园子里的杏儿都是~。
甜核杏儿	tʰiæ̃ xu ɕiŋ3 r	仁儿不苦的杏子:上树摘上几个大~吃去。
舔尻子	tʰiæ̃3 kəu2 tsɿ	喻指走后门,拉关系,行不正之风。
舔尻子货	tʰiæ̃3 kəu2 tsɿ xuɤ5	善于阿谀奉承、攀附关系之人。
舔尻溜渠	tʰiæ̃3 kəu liəu5 tɕʰy	同“舔尻子”。
连	liæ̃	(连词)和、跟、与:你~他一搭里去。②介词:你~他都没认下吗?
连欠	liæ̃ tɕʰiæ̃5	一共、总共:~有多少钱呢,你还叫人偷着走咧!连共liæ̃21kuŋ44同“连欠”。
连锅面	liæ̃ kuɤ miæ̃5	汤、面、菜、各种调味品放在一起做成的面食。
连明昼夜	liæ̃ miŋ tʂəu5 iε5	夜以继日。
连吃带筛活	liæ̃ tʂʰʅ2 tεi5 sεi3 xuɤ	比喻挥霍浪费。
联手	liæ̃ ʂəu	伙伴、朋友。
莲花白	liæ̃ xua pei	卷心菜。也说“包包白”。
帘帘子	liæ̃ liæ̃ tsɿ	帘子。
脸蛋子	liæ̃3 tæ̃5 tsɿ	脸蛋儿。②容貌:女娃娃~长得心疼很!脸盆子liæ̃53pʰəŋ24tsɿ21脸盆儿。
脸皮子	liæ̃3 pʰi tsɿ	脸皮。
脸子	liæ̃3 tsɿ	不愉快的脸色:动不动就给人给个~。
脸势	liæ̃3 ʂʅ	气色:这一向你~还可以。②指不好的脸色:~就给人给扎咧!
链链子	liæ̃5 liæ̃5 tsɿ	链子。
链锁	liæ̃5 ʂuɤ3	形状像链子一样的一种锁。
尖	tɕiæ̃	末端锐利:铅笔不咧削得太~咧。②(耳、眼、鼻)灵敏:△瘦狗鼻子~,闻着稀屎跑三天。
奸	tɕiæ̃2	机灵、狡猾:那~得连啥一样,你能给哄得过。
奸心	tɕiæ̃2 ɕiŋ	贪心、不良之心。
奸顽	tɕiæ̃2 væ̃	聪明,心眼多(含贬义):王家大女子~得差大!奸巧tɕiæ̃213tɕʰiɔu53同“奸顽”。
尖尖	tɕiæ̃2 tɕiæ̃	尖儿。②尖子:他是我们这达的人物~一个。③比喻某人志得意满的气势:这一下把娃娃的~给捼咧。
间口	tɕiæ̃2 kʰəu3	房屋的左右宽度。
犍牛	tɕiæ̃2 ȵiəu	阉割过的公牛。
搛菜	tɕiæ̃2 tsʰæ̃5	用筷子夹菜。
兼	tɕiæ̃	正在:乜~说着呢,就一个巴掌朝我脸上来咧。
瀽	tɕiæ̃3	(把饭、液体等)从整体中分出一部分。
拣菜	tɕiæ̃3 tsʰεi5	摘除蔬菜中不能吃的部分,留下可以吃的部分。简麻tɕiæ̃53ma21身手敏捷灵活。
碱面子	tɕiæ̃3 miæ̃5 tsɿ	食用碱。
剪发头	tɕiæ̃3 fa tʰəu	女式短发。
荐	tɕiæ̃5	席地而卧或斜靠着某物:站咧半天乏得很,拿我~一阵。
见功	tɕiæ̃5 kuŋ2	(病人用药后)有了好的效果。
见不得	tɕiæ̃5 pu tei	看不惯,不愿见到。
见天价	tɕiæ̃5 tʰiæ̃ tɕia	每天。
见样学样	tɕiæ̃5 iaŋ ɕyɤ iaŋ	看见别人做什么,自己也跟着做什么。贱tɕiæ̃44①下贱:你看你~吗不~!②便宜、低价:东西剩得不多咧,赶紧一下~卖咧去!
贱皮子	tɕiæ̃5 pʰi tsɿ	指不自重或不知好歹的人。
腱核	tɕiæ̃5 xu	腱子肉,动物大腿上的肌肉,有肉膜包裹,内藏筋,硬度适中,纹路规则。
千层饼	tɕʰiæ̃2 tsʰəŋ piŋ3	有好多层数的烙饼。
千儿八百	tɕʰiæ̃2 εr pa pei	八九百,不到一千。
扦子	tɕʰiæ̃2 tsɿ	竹制或铁制的两头带尖儿的细棍儿,用来织毛衣。迁返tɕʰiæ̃213fæ̃53形容某人心眼儿多,不实在。
牵心	tɕʰiæ̃2 ɕiŋ	牵肠挂肚,关心。
鹐	tɕʰiæ̃2	鸟禽用尖嘴啄食。
鹐舌子	tɕʰiæ̃2 tʂʰɤ tsɿ	指舌头短小,口齿不清之人。
前儿个	tɕʰiæ̃ rkɤ	前天。
前年个	tɕʰiæ̃ ȵiæ̃ kɤ	前年。
前门牙	tɕʰiæ̃ məŋ ia	门牙。
前胛子	tɕʰiæ̃ tɕia tsɿ	猪、牛的前肢部分。
前头	tɕʰiæ̃ tʰəu	前面。
前心贴后背	tɕʰiæ̃ ɕiŋ tʰiε xəu5 pei5	比喻人瘦弱或饥饿的状态。
浅窝	tɕʰiæ̃3 vɤ	大腿和腹部相连的部分,即腹股沟。
浅看	tɕʰiæ̃3 kʰæ̃	小看、瞧不起。
蔫绌绌	ȵiæ̃2 tʂʰu3 tʂʰu	形容人不吱声,不活泼的样子。也说“蔫不绌绌的”。
蔫绌绌子	ȵiæ̃2 tʂʰu tʂʰu tsɿ	形容物品失去水分变蔫的样子。
蔫头耷拉	ȵiæ̃ tʰəu ta la	形容生长着的植物因缺少水分,枝叶、穗头下垂的样子。②形容人的情绪不高,垂头丧气的样子。
蔫拐	ȵiæ̃2 kuεi3	不动声色地使坏。
年三十儿功	iæ̃ sæ̃2 ʂʅ r	农历腊月三十。
念唢儿功	iæ̃5 suɤ3 r	伊斯兰教宗教仪式之一。
掀	ɕiæ̃2	推、搡。
先人	ɕiæ̃2 ʐəŋ	祖先,父辈:亏你们老~去,你朝那么个做事情着呢。
先前	ɕiæ̃2 tɕʰiæ̃	以前或某个时间以前。
仙板骨	ɕiæ̃2 pæ̃3 ku	牛羊的肩胛骨。
苋麻	ɕiæ̃ ma	多年生草本植物,茎叶上的蜇毛有毒性(过敏反应),人及动物一旦碰上就如蜂蛰般疼痛难忍,它的毒性使皮肤接触后立刻引起刺激性皮炎,如瘙痒、红肿等。
闲淡话	ɕiæ̃ tæ̃5 xua5	废话、无关紧要的话。
闲耍无意	ɕiæ̃ ʂua3 vu i5	打耍之间偶然发生。
先后	ɕiæ̃5 xəu	即妯娌,兄弟的妻子之间关系的称谓。
现世宝	ɕiæ̃5 ʂʅ pɔu3	使家人丢脸出丑的人:我还笑话人家娃娃着呢,咱们家就有一个没出息的~呢。
献奸	ɕiæ̃5 tɕiæ̃	献殷勤。
献饭	ɕiæ̃5 fæ̃	给神灵或死者摆放的食品。
线板子	ɕiæ̃5 pæ̃3 tsɿ	做针线活时的用具,即缠绕棉线的板子。②炸制面食时做成线板形状的食品。
烟把把	iæ̃2 pa5 pa	烟头。
烟锅子	iæ̃2 kuɤ3 tsɿ	旱烟袋。
烟嘴子	iæ̃2 tʂuei3 tsɿ	烟嘴儿,通常用金属或玉制成。
烟洞眼	iæ̃2 tuŋ5 ȵiæ̃	烟囱。
烟筒子	iæ̃2 tʰuŋ3 tsɿ	用铁皮打制的炉筒子。喻指抽烟过多的人。烟屎iæ̃213sɿ53烟袋中积存下来的烟油。
烟熏火燎	iæ̃2 ɕyŋ xuɤ3 liɔu3	形容生火做饭或取暖时烟雾弥漫的样子。
芫荽	iæ̃ suei	香菜。一年生草本植物,茎叶有特殊香气,做调味蔬菜。全草或种子能入药,可透疹、健胃。
言传	iæ̃ tʂʰuæ̃	吭声,告诉。
沿	iæ̃	把窄的布条沿着衣服或布鞋的边儿缝在衣服或布鞋上。
研	iæ̃	研磨,引申为击打:娃娃叫他妈拉住~咧一顿。
研礼	iæ̃ li3	婚俗之一。指婚事初步定下后,男方到女方家就聘礼与女方进行商议的活动。
研价	iæ̃ tɕia5	讨价还价。
宴席头儿	iæ̃ ɕi tʰəu εr	指结婚时,女方送亲队伍里出面与男方进行面对面交流并组织本方人员的人。也说“掠客的”。
燕面	iæ̃5 miæ̃5	小燕麦磨的面粉,可食用。
燕面糅糅	iæ̃5 miæ̃5 ʐəu ʐəu	当地小吃。用燕麦面粉和面,加工成
堰	iæ̃3	本义为用土堵水,引申为支、垫:床放得不稳当,拿个东~给一下。《广韵·阮韵》:“于宪切。壅水也。”
魇	iæ̃3	做噩梦说梦话:夜来黑咧把人给~住咧。《广韵·叶韵》:“于叶切。噩梦。”
溢	iæ̃3	容器受到摇晃,液体流出。
演	iæ̃3	孩子调皮:你娃娃不咧~,~呢~呢就招上咧。
演花	iæ̃3 xua	同“演”。
黡子	iæ̃3 tsɿ	皮肤上生的青色或黑褐色的小斑点,多是先天性的:这个人吃嘴~长得多,不愁吃穿。
掩棺	iæ̃3 kuæ̃2	死者入殓后将棺材盖钉严实。
酽	iæ̃5	茶水汁浓、味厚苦:彻上一壶~茶好熬夜。《广韵·酽韵》:“鱼欠切。酽,酒醋味厚。”
咽气	iæ̃5 tɕʰi5	停止呼吸。
咽舌子	iæ̃5 ʂɤ tsɿ	小舌。
燕叽叽	iæ̃5 tɕi tɕi	燕子。
晏驾	iæ̃5 tɕia5	皇上去世。常在地方戏曲中使用。
端	tuæ̃2	直:△走得~,行得正。/这个树长得~得很。
端端儿	tuæ̃2 tuæ̃ εr	恰巧、正好:我还想着这一下弄瞎咧,没想到乜~地停着中间咧。②偏偏:怕绳子断呢乜就~地断咧。③直直地:你~地往南走就到咧。
端直子	tuæ̃2 tʂʅ tsɿ	直直地。
端立子	tuæ̃2 li2 tsɿ	直立。
短	tuæ̃	与“长”相对。②缺少,欠:你~人家多少钱?③缺点:要知道自己都有哪些~处?④心胸狭窄:咱不做心屈义~的人。
短事	tuæ̃3 sɿ	缺德的事。
断	tuæ̃	驱赶:那个人没票想坐车,结果让人家给~下来咧。/把人~得跑趟子呢。②按批发价购买:这是老张~堆堆弄来的。
断顿	tuæ̃5 tuŋ5	吃了上顿没下顿。
断系子	tuæ̃5 ɕi5 tsɿ	(绳索)断开:挎包带子快~咧,赶紧缝给一下。②(供应)中断:水龙头里淌咧一阵阵儿就~咧。
断堆子	tuæ̃5 tuei2 tsɿ	按堆论价卖。
獾猪子	tʰuæ̃2 tʂu tsɿ	獾。
团	tʰuæ̃	折腾:~咧一天乏得很!
暖床	nuæ̃3 tʂʰuaŋ	婚俗。新婚之夜,贵人(一般由婆家指定的有福气的人担当)将核桃、枣子、花生等一边往床上撒,一边用笤帚扫,让新郎、新娘背对背坐在上面,用梳子、篦子梳理他们的头发,嘴里念念有词,祝福早生贵子。
暖帽	nuæ̃3 mɔu5	棉帽。
暖锅子	nuæ̃3 kuɤ tsɿ	一种砂质或铜质火锅。火生在中间,四周装上菜肴供食用。
攣	luæ̃2	做、干:不知道整天价~啥着呢,真是个胡~~。
卵子	luæ̃2 tsɿ	阴囊。
卵脬子	luæ̃2 pʰɔu tsɿ	同“卵子”。
乱弹	luæ̃5 tʰuæ̃	地方戏曲秦腔因用弹拨乐器伴奏而被称为乱弹。乱拔毛luæ̃44pa24mɔu24没有计划、组织地胡乱做。
乱麻咕冬	luæ̃5 ma ku tuŋ	形容说话东拉西扯,或房间非常零乱的样子。
钻	tsuæ̃	穿过、进入:老鼠从这个洞里~着进去咧。②结交:半辈子咧刚~下些子酒肉朋友。
纂纂子	tsuæ̃3 tsuæ̃ tsɿ	纂儿,妇女梳在头后面的发髻:△拉住和尚绾~呢么。
□	tsuæ̃3	视觉敏锐:眼睛~得很,一下子就找着咧。
撺	tsʰuæ̃2	从旁鼓动人(做某事),怂恿。经不住他在一傍个的~,我还是听咧他的。/那个人本来好着呢,硬叫人~着变咧。
撺板	tsʰuæ̃2 pæ̃3	哄骗某人使上当。
蹿天杨	tsʰuæ̃2 tʰiæ̃2 iaŋ	杨树的一种,长得又直又高。
蹿天猴	tsʰuæ̃2 tʰiæ̃2 xəu	烟火的一种,点燃后向上蹿起,有的可带哨声。
穿	tsʰuæ̃2	通过(孔、隙、缝):奶奶眼睛花咧,你帮着把针给~上。
攒	tsʰuæ̃	集中起来:用笤帚把地下的瓜子皮扫~。②量词,堆儿:小气得很!就给咧这么一~~。
攒山	tsʰuæ̃ sæ̃2	当地葬俗。指埋葬死者后的第三天,亲属给新坟添土。
爨	tsʰuæ̃5	香味浓郁飘散:咋这么~,这谁家做好吃的呢。
窜活	tsʰuæ̃5 xuɤ	身手敏捷灵活。
酸唧唧	suæ̃2 tɕi3 tɕi	形容酸味让人生厌的样子。也说“酸不唧唧”。
酸不溜秋	suæ̃2 pu liəu tɕʰiəu	酸味不正、口感欠佳:~的,没啥吃头。②形容人迂腐或做作的样子:一点也看不上他~的样子。
酸溜溜	suæ̃2 liəu3 liəu	沙棘。浑身有棘刺,叶子条状披针形,背面披淡白色鳞片,叶柄极短。花先于枝叶开放,小而淡黄,雌雄异株,果实近于球形。叶、皮、果实及种子均可入药。抗风沙,耐水湿,适应性极强。
蒜苗子	suæ̃5 miɔu tsɿ	青蒜。
蒜薹	suæ̃5 tʰεi	蒜的花轴,嫩的可以吃。
蒜窝窝	suæ̃5 vɤ vɤ	放置蒜瓣儿并与蒜槌配合捣碎蒜瓣儿的器具。
蒜槌槌	suæ̃5 tʂʰuei tʂʰuei	将蒜捣碎的槌子。
砖头	tʂuæ̃2 tʰəu	砖。②不完整的砖,碎砖块。
砖头瓦渣	tʂuæ̃ tʰəu va3 tsa	破砖烂瓦的通称。②引申为话语夹
砖块子	tʂuæ̃2 kʰuεi3 tsɿ	压紧后形状像砖块的茶叶块儿。
转	tʂuæ̃5	改变方向或主意:说呢说呢可~咧。
转过	tʂuæ̃5 kuɤ5	转身。
转筋	tʂuæ̃5 tɕiŋ	指人的小腿肚子肌肉痉挛。
转腾	tʂuæ̃5 tʰəŋ	活动身体:你不咧一天都坐着咧,要起来~着呢。
转坨坨	tʂuæ̃5 tʰuɤ tʰuɤ	形容满地转圈的样子。
转磨磨	tʂuæ̃5 mɤ5 mɤ	同“转坨坨”。
转欢子	tʂuæ̃5 xuæ̃ tsɿ	喻指时常改变主意或犹豫不决的人。
川里	tʂʰuæ̃2 ȵi	指山间或河流两边平坦低洼的地域。
穿衣镜	tʂʰuæ̃2 i tɕiŋ5	可以照见全身的大镜子,也叫“大镜子”。
椽	tʂʰuæ̃	放在檩条上架着屋面板和瓦的木条。
串门子	tʂʰuæ̃5 məŋ tsɿ	串门儿。
拴媳妇子	ʂuæ̃2 ɕi2 fu tsɿ	订婚。
槫	ʂuæ̃	农村用来存放粮食的囤。
船姑娘	ʂuæ̃ ku ȵiaŋ	民间社火表演中跑旱船的女性角色。
涮	ʂuæ̃	摇动器物里面的水使器物冲洗干净。②水冲刷:墙根子叫水~得不牢咧。
涮嘴	ʂuæ̃5 tsuei3	漱口。
软浆	ʐuæ̃3 tɕiaŋ	指人体格不够强壮。
软骨子	ʐuæ̃3 ku tsɿ	得软骨病的人。②没有气节的人。
软不拉唧	ʐuæ̃3 pu la tɕi	同“软不拉嗒”。
软□□	ʐuæ̃3 pia pia	形容软得拿不起来或挺不起来的样子。
软囊囊	ʐuæ̃3 naŋ2 naŋ	摸上去感觉软乎乎的。
软硬不吃	ʐuæ̃3 ȵiŋ5 pu tʂʰʅ	指某人很难对付,用什么办法都不能使接受。
官场	kuæ̃2 tʂʰaŋ	公用的打碾粮食的空地。
官名	kuæ̃2 miŋ	大名、学名。与乳名(小名)相对。
官官子	kuæ̃2 kuæ̃ tsɿ	官儿。
关家	kuæ̃2 tɕia	猜拳喝酒时和每一个人都划拳的人。
关门	kuæ̃2 məŋ	商店停止营业。
观点	kuæ̃2 tiæ̃3	看,打量:拿我细致地再~一下。
棺材瓤瓤子	kuæ̃ tʂʰæ̃ ʐaŋ ʐaŋ tsɿ	上年纪之人的自称。②对上了年纪之人的谑称:眼看着成~咧,还硬挣着呢。
馆子	kuæ̃3 tsɿ	饭馆。
罐罐子	kuæ̃5 kuæ̃5 tsɿ	罐子。
罐罐茶	kuæ̃5 kuæ̃5 tsʰa	用小罐儿在火炉上熬的茶水。
灌米汤	kuæ̃5 mi3 tʰaŋ	比喻用甜言蜜语奉承人迷惑人:那是给你~着呢,你给是相信他呢。
灌耳音	kuæ̃5 εr3 iŋ	在一定的环境中受传授或宣传的影响,无意识地获取某方面的知识。
灌缝子	kuæ̃5 fəŋ5 tsɿ	本义为建筑术语,引申为饭后喝汤。
宽展	kʰuæ̃2 tʂæ̃	地方宽敞:家里~着呢,住上两晚上再走。②心情宽松:这么一说,人心里~咧不少。③经济宽裕:过完年,手里~咧再盖几间房。
宽心	kʰuæ̃2 ɕiŋ	解除心中的焦急愁闷:你纯粹是给人~着呢么!
欢	xuæ̃	起劲、高兴:今儿个把几个娃娃给耍~咧。②热闹:今儿个街上~得很。
欢欢	xuæ̃2 xuæ̃2	热闹的事:这个人到底爱看~得很!
还人情	xuæ̃ ʐəŋ tɕʰiŋ	回报别人给自己的恩情或馈赠礼物。
缓	xuæ̃3	休息,休养:有点乏,拿我~一阵。/你把病~好咧再说。《广韵·缓韵》:“胡管切。舒也。”
缓咧	xuæ̃3 liε	人由黑瘦变得白胖,体质增强:你这一段时间~,人明显有精神咧么!
缓过阳气	xuæ̃3 kuɤ5 iaŋ tɕʰi5	指人遭受打击或生活窘迫,经过一段时间努力后精神焕发或生活有了起色。
臠	lyæ̃	瘫痪:他~到炕上几年咧。《广韵·桓韵》:“落官切。病瘠貌。”
灓	lyæ̃5	(米汤、粥)黏:给病人喝的米汤要烧得~些。
卷烟	tɕyæ̃3 iæ̃	雪茄烟。
卷剥	tɕyæ̃3 pɤ	全部拿走,一点儿也不留:张老汉的钱让老婆子~着走咧。②痛斥:听着听着听不惯咧,让我给~咧一顿。
卷毛子	tɕyæ̃3 mɔu tsɿ	指头发卷曲的人:这个娃娃是个~,心疼得很。
卷子	tɕyæ̃5 tsɿ	试卷。
圈圈子	tɕʰyæ̃ tɕʰyæ̃ tsɿ	圈儿。
圈子	tɕʰyæ̃2 tsɿ	扑克牌中的“Q”。②集体或个人交往的范围:在他们的那个~里对他的评价还可以。
圈	tɕʰyæ̃	用栅栏把家禽家畜围起来。②把人关起来:~着房里把人急死咧!
圈脸胡	tɕʰyæ̃5 liæ̃3 xu	络腮胡子。
鲜净	ɕyæ̃2 tɕiŋ5	干净整洁。
玄	ɕyæ̃	玄虚,不切实际:你看你说得~吗!
旋门纸	ɕyæ̃ məŋ tsɿ3	当地丧俗。指未埋葬死者之前,在灵堂或大门外烧纸以示对过路鬼神的敬意。
旋	ɕyæ̃5	用车床或刀子转着圈地削:又没~你的肉,你叫唤啥呢。
旋子	ɕyæ̃5 tsɿ	卷笔刀,削铅笔的工具。
旋儿	ɕyæ̃5 εr	头顶头发长成旋涡状的地方。
旋旋风	ɕyæ̃5 ɕyæ̃ fəŋ	螺旋状运动的风。
旋	ɕyæ̃5	边……边……,现……现……:麦子~黄就~割咧去。/~走~吃。
旋顶	ɕyæ̃5 tiŋ	头顶脱发。也说“谢顶”。
原	yæ̃	用在动词前面,表示恢复原状:~给他还回去,我不稀罕!原先yæ̃24ɕiæ̃21起初、原来。
原照	yæ̃ tʂɔu5	原样、照旧。
原汤化原食	yæ̃ tʰaŋ xua5 yæ̃ ʂʅ	指吃面条或饺子后,再喝煮过面条或饺子的汤。
塬	yæ̃	受流水冲刷后形成的一种地貌,呈台状,四周陡峭,顶上平坦。
圆圪	yæ̃ kɤ	解释,打圆场:一看说不下去咧,赶紧出来~咧几句。
圆蛋蛋	yæ̃ tæ̃5 tæ̃	像球的形状。
圆疙瘩	yæ̃ kɤ2 ta	同“圆蛋蛋”。
圆凳子	yæ̃ təŋ5 tsɿ	凳面为圆形的凳子。
圆鼓隆咚	yæ̃ ku luŋ2 tuŋ	形容物体呈圆球形状。
