#漢字	音標	解釋
#簡稱	/	宜昌
#全稱	/	宜昌話
#聲母	/	
#韻母	/	
#聲調	/	35 1 1a 陰平 ꜀,212 2 1b 陽平 ꜁,32 3 2 上 ꜂,24 5 3 去 ꜄
#版本	/	2022-03-10
#錄入人	/	峽江流月
#參考資料	/	《宜昌方言研究》
#說明	/	
昔	ɕi2	
昕	ɕin1	
星	ɕin1	
春	tsʰuən1	
昧	mei4	
昨	tsuo2	
是	sɿ4	
晝	tsəu4	
顯	ɕiɛn3	
晉	tɕin4	
晌	saŋ3	
曬	sai4	
曉	ɕiau3	
暈	xuən1	
晦	xuei4	
晨	sən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
晷	kuei3	
智	tsɿ4	
暫	tsan4	
暇	ɕia2	
暑	su3	
暖	nuan3	
暮	mo4	
暱	ni2	
暴	pau4	
暹	ɕiɛn1	
曝	pʰu2	
更	kən1	～换
更	kən4	～加
曷	xɤ2	
曹	tsʰau2	
曼	man4	
曾	tsən1	姓
曾	tsʰən2	～经
替	tʰi4	
最	tsuei4	
朋	pʰoŋ2	
朔	suo2	
朗	naŋ2	
期	tɕʰi1	
朦	moŋ2	
木	mu2	
末	mo2	
本	pən3	
札	tsa2	
术	su2	
朱	tsu1	
朴	pʰu2	
朵	tuo3	
機	tɕi1	
朽	ɕiəu3	
殺	sa2	
雜	tsa2	
權	tɕʰyɛn2	
杈	tsʰa1	枝～
杉	san1	
李	ni3	
杏	xən4	白
杏	ɕin4	文
材	tsʰai2	
