#漢字	音標	解釋
撑	tsʰaŋ5	
撒	ɬat7b	撒手，撒種
撕	ɬei1	
撞	tsœŋ6	
撥	pʊt7b	
擀	køn3	擀麵
擁	ʔoŋ3	
擇	tsak8	擇菜，選擇
擊	kək7a	
擋	tœŋ3	阻擋
操	tsʰøu1	操作，操演
擎	kəŋ2	
擒	tsəm2	
擔	tam1	擔任
擔	tam5	挑擔
據	kʊi6	
擠	ŋɐi4	
擦	tsʰat7b	
擩	nʊi4	擩進去
擴	kʰuk7b	擴充
擺	pai3	
攀	pʰan1	
攏	loŋ4	
攔	lan2	
攜	xei2	
攝	ɕip7b	
攤	tʰan1	
攬	lam4	
支	tɕi1	
收	ʃou1	
改	kʏ3	
攻	koŋ1	攻擊
放	fuŋ5	
政	tsəŋ5	
故	kou5	
效	ȵau6	
敏	mən4	
救	tsou5	
敗	pai6	
教	tsau5	教書
教	tsau5	教育，教他去
敝	pɐi4	
敢	køm3	
散	ɬan3	鞋帶散了
散	ɬan5	分散
敬	kəŋ5	
敲	xau1	
整	tsəŋ3	
敵	tək8	
敷	fou1	
數	ʃou3	動詞
數	ʃou5	名詞
斃	pɐi4	
文	fɐn2	
斑	pan1	
斗	tɐu3	
料	liou6	
斟	tsəm1	
斤	kən1	
斥	tsʰək7a	
斧	fou3	
斬	tsam3	
斯	ɬei1	
新	ɬən1	
斷	tʊn4	決斷
斷	tʊn4	斷絕
方	fuŋ1	
於	xʊi2	
施	ɕi1	
旁	puŋ2	
旅	lʊi4	
族	tsok8	
旗	kei2	
既	kei5	
日	ȵət8	
旦	tan5	
旨	tɕi3	
早	tsøu3	
旬	tsəm2	
旱	xøn4	
旺	xuŋ6	興旺，火旺
昆	kʰən1	
昌	tɕʰiɛŋ1	
明	məŋ2	
昏	wɐn1	
易	xei6	難易
昔	ɬək7a	
星	ɬəŋ1	
映	ʔəŋ3	
春	tsʰən1	
昧	mʊi6	
昨	tsok8	
是	ɕi4	
時	ɕi2	
晃	wɐŋ4	晃眼
晉	tsən5	
晌	ɕiɛŋ3	晌午
晚	man4	
晨	sən2	
普	pʰou1	
景	kəŋ3	
晴	tsəŋ2	
晶	tsəŋ1	
智	tɕi5	
暈	ŋən2	
暑	ʃʊi5	
暖	nʊn4	
暗	ʔøm5	
暢	tɕʰiɛŋ5	
暫	tsam6	
暮	mou6	
暴	pøu6	
曆	lək8	農曆
曉	niou3	
曠	kʰuŋ5	
曡	tɕip7b	
曬	sai5	
曲	kʰok7a	曲折，歌曲
更	kaŋ1	更換，五更
更	kaŋ5	更加
書	ʃʊi1	
曾	tsɐŋ1	姓
替	tʰɐi5	
最	tsʊi3	
會	wai5	會計
會	wei6	開會
會	wei6	會不會
月	ȵʊt8	
有	jou4	
朋	pɐŋ2	
服	fok8	
朗	lœŋ4	
望	muŋ6	
朝	tɕiou1	今朝
朝	tɕiou2	朝代
期	kei2	時期
木	mok8	
未	mei6	
末	mʊt8	
本	pʊn3	
札	tsat7b	
朱	tʃʊi1	
朶	tou3	
杆	køn3	
杈	tsʰa5	枝杈
李	lei4	
杏	xaŋ6	
材	tsai2	
村	tsʰʊn1	
杜	tou4	
杞	ki3	
杞	kei3	
束	tʃʰok7a	
杠	kœŋ5	
杭	xœŋ2	
杯	pʊi1	
東	toŋ1	
杵	tʃʰʊi3	
杷	pa2	枇杷
松	tsoŋ2	
板	pan3	
枇	pa2	枇杷
枇	pi2	枇杷
析	ɬək7a	
枕	tsəm3	
林	ləm2	
枚	mʊi2	
果	kʏ3	
枝	tɕi1	
枯	xou1	
架	tsa5	
柄	pəŋ5	
柏	pak7b	
柏	pak7b	黃檗(柏)，藥名
某	mau4	
柑	køm1	
染	ȵim4	
柔	jou2	
柚	jou2	
查	tsa2	山查
查	tsa2	調查
柱	tʃʊi4	
柳	lou4	
柴	sai2	
柿	sɐi4	
校	ȵau6	學校
株	tʃʊi1	
核	xøp8	審核
核	wɐt8	果子核
根	kɐn1	
格	kak7b	
栽	tsai1	
栿	fok8	梁
桂	kei5	
桃	tɐu4	
桃	tøu2	
案	ʔøn5	
桌	tʃuk7b	
桐	toŋ2	
桑	ɬœŋ1	
桶	tʰoŋ3	
梁	liɛŋ2	
梅	mʊi2	
梗	kaŋ3	梗子，莖
條	tiou2	
梢	ɬiou1	樹梢
梧	ŋou2	梧桐
梨	lei2	
梯	tʰɐi1	
械	tsai5	
梳	ʃou1	梳頭
棄	xei5	
棉	min2	
棋	kei2	
棍	kɐn5	
棒	paŋ4	
棕	tsoŋ1	
棗	tsau3	
棗	tsøu3	
棚	paŋ2	
棟	toŋ6	
棠	tœŋ2	
棧	tsan6	
森	sɐm1	
棵	xou1	
棺	kʊn1	
椅	ʔei3	
植	tsək8	
椒	tɕiou1	
椴	tʊn6	
楊	jiɛŋ2	
楓	foŋ1	
楚	tʃʰou3	
楣	mei2	
業	ȵip8	
業	jip8	
極	kək8	
概	kʰʏ5	
榆	xʊi2	
榜	paŋ3	
榨	tsa5	榨油
榮	wəŋ2	
榴	lou2	石榴
構	kɐu5	
槌	tʃʊi2	
槍	tɕʰiɛŋ1	
槐	wai2	
槳	tɕiɛŋ3	
槽	tsøu2	馬槽
樁	tsœŋ1	
樂	ȵak8	音樂
樂	lœk8	
樓	lɐu2	
標	piou1	
樞	ʃʊi1	
樟	tɕiɛŋ1	
模	mou2	模子
模	mou2	模範
樣	jiɛŋ6	
樹	ʃʊi6	
橄	køm3	橄欖
橋	kiou2	
橙	tsəŋ2	
橙	tsəŋ2	橙子
機	kei1	
橡	tɕiɛŋ4	橡樹
橢	tʰʏ3	橢圓
橫	waŋ2	橫直
檀	tan2	
檐	jin2	
檢	kʰim3	
檳	pən1	檳榔
櫃	kei6	
櫓	lou4	
櫻	ʔəŋ1	櫻桃
欄	lan2	
權	kʊn2	
